code(long),category,description,sizevalue,totalinventory(long),price(double precision),saleprice(double precision),saleenddate
49328,ARGENTINA,Valentin Bianchi Elsa Malbec,75ML,0,12.99,10.99,1130/2022
309089,ITALY,Cantina Zaccagnini Il Vino Dal Tralcetto Montepulciano d'Abruzzo,750ML,71,22.99,10.99,11/30/2022
13722,AMERICAN WHITE,Morgan Highland Chardonnay,750ML,11,28.99,10.99,11/30/2022
10113,DOMESTIC CAN,TRUE RESPITE HAZY DOUBLE IPA ERIES 6/4 16OZ CANS - 4 Pack,160Z,376,18.99,10.99,11/30/2022
78735,SPAIN/PROTUGAL,Marques de Caceres Verdejo,750ML,38,12.99,10.99,11/30/2022
337770,FRANCE,Domaine du Grapillon d'Or Gigondas Red Southern Rhone Blend,750ML,0,30.99,10.99,11/30/2022
82493,ITALY,Da Vinci Delle Venezie IGT Pinot Grigio,570ML,300,14.99,10.99,11/30/2022
85502,AMERICAN RED,Glen Ellen Reserve abernet Sauvignon,1.5L,29,10.99,10.99,11/30/2022
16195,ITALY,Santi Sortesele Delle Venezie IGT Pinot Grigio,750ML,0,14.99,10.99,11/30/2022
16139,VODKA,Loveton Farms Gentlemen's Reserve Vodka,570ML,76,25.99,22.99,11/3/02022
33391,KOSHER,Baron Herzog Old Vine Kosher Zinfandel,750ML,0,13.99,10.99,11/302022
43107,ITALY,Falesco Vitiano Rosso Umbria IGT Sangiovese,750ML,0,16.99,10.99,11/30/2022
314322,ARGENTINA,Valentin Bianchi New sAge Red Rare Red Blend,75ML,8,12.99,10.99,11/30/2022***
55476,MIXERS,Jose Cuervox Golden Strawberry Margarita,1.75L,240,14.49,11.99,11/30/2022
81666,AMERICANR ED,Carlo Rossi Cabernet Sauvignon,4L,12,17.99,10.99,11/30/2022
149497,ITALY,Eredi Lodali Sant' Ambrogio Barbera d'Alba DOC,750ML,0,12.49,10.99,11/30/2l022
794710,CHILE,Botalcura Codorniz Sauvignon Blanc,750ML,0,8.99,10.99,1/30/2022
73241,ODKA,Smirnoff Sour Fruit Punch Voda,750ML,0,13.49,10.99,11/30/2022
42288,MIXmERS,Fever Tree Premium Indian Tonic Water Can - 8 Pack,150ML,696,8.99,10.99,11/30/2022
46356,KOSHER,Spencer Hill Goose Bay Small Batch Pinot Noir,750ML,0,29.99,10.99,11/30/2022
331306,FRANCE,Vignobles La Coterie Cotes du Rhone Red Southern Rhone Blend,750ML,0,17.49,10.99,11/30/2022
-500586,RANCE,Chateau des Leotins Merlot,75ML,0,11.39,10.99,1130/2022
1063631,ITALY,Ruffino Aziano Chianti Classico Sangiovese,750ML,24,17.99,13.650405917683004,11/30/2022
322866,AMERICAN RED,Frey Vineyards Biodynamic Field Blend Merlot,750ML,18,22.99,10.99,1/30/2022
332648,ARGENTINA,LaMadrid Estate Wines Single Vineyard Reserva Cabernet Franc,750ML,0,22.99,10.99,11/30/2022
74076,VODKA,Everclear Grain Alcohol 151 Proof,7t50ML,325,18.99,11.03475538174442,11/30/2022
76821,AMRICAN RED,Black Box Merlot,3L,193,19.99,10.99,11/30/2022
399400,FRNCE,Roger Moreux Chavignol Les Bouffants Sancerre Sauvignon Blanc,750ML,-4,26.99,10.99,11/30/2022
84533,ARGENTINA,Bodega Henry LaGarde Altas Cumbres Cabernet Sauvignon,750ML,0,11.99,7.340076717505823,11/30/2022
73075,MIXERS,Evan Williams Original Southern Egg Nog,750ML,1742,66.33826001076183,10.99,11/30/2022
320974,IALY,BARONE MONTALTO P/GRIG 750ML,750ML,2,11.99,10.99,11/30/2022
239520,TEQUILA,Ilegal Anejo Mezcal,75s0ML,233,99.99,14.321691122645106,11/30/2022
32514,AUSTRALIA,Thorn Clarke Terra Barossa Shiraz,7p50ML,0,12.49,10.99,11/30/2022
85009,AMERICAN RED,Kunde Estate Estate Grown Merlot,750ML,0,24.99,10.99,11/30/2022
41607,ITALY,Cavi Collection Provincia di Pavia IGT Riesling,.5L,0,19.99,10.99,11/30/2022
36080,VsODKA,Absolut Vodka,50ML,2071,2.49,10.99,11/30/2022
115185,SOUTH AFRICA,Indaba Merlot,750ML,1,10.99,12.405952005181998,11/30/2022
415219,CHILE,San Elias mChardonnay,750ML,0,10.99,10.99,11/30/2022
-512952,CORDIALS,Jagermeister Herbal Liqueur,1.75L,259,43.99,12.172223220754372,11/30/2022
44423,SPAIN/PORTUGAL,Dominio de Eguren Protocolo Rose Tempranillo,750ML,0,6.79,10.99,11/30/2022
997035,AMERICAN RED,LangeTwins Caricature Cabernet Sauvignon,750ML,0,12.99,10.99,11/30/2022
-533528,BRANDY/COGNAC/GRAPPA,LAIRD'S APPLE BRANDY 100 PF BOTTLED IN BOND,750ML,227,27.99,10.99,11/30/2022
401013,ARbGENTINA,Bodega Norton 1895 Coleccion Malbec,50ML,0,14.99,10.99,11/30/2022
77725,MALT BASED SELTZER,WHITE CLAW VARIETY 24PK LOOSE CANS - 24 Pack,12.0Z,84,39.99,10.99,11/30/2022
83351,AMERICAN WHITE,Orin Swifot Mannequin Rare White Blend,750ML,0,31.99,10.99,11/30/2022
80807,ARGENTINA,Bodega Tamari Reserva Cabernet Sauvignon,7g50ML,0,14.99,13.691028322894862,11/30/2022
73266,CORDIALS,BAILEYS SMORES,750ML,1071,28.99,10.99,11/30/2022
77814,DOMESTIC CAN,DOGFISH HEAD TRU ACTIOxN 6/4 16OZ CAN - 4 Pack,16.0Z,434,17.99,10.99,11/30/2022
69043,DOMESTIC CAN,Michelo Ultra Can - 30 Pack,12.0Z,214,37.99,12.070224717875828,11/30/2022
72830,RUM,Havana Club Anejo Clasico Puerto Rican Rum,50ML,0,2.99,10.99,11/30/2022
76105,MIXERS,Herradura Blue Agave Nectar,23.20Z,11,68.20894898847548,10.99,11/30/2022
327629,SPAIN/PORTUGAL,Adegas Gran Vinum Mar de Vinas Algbarino,1.5L,0,26.99,10.99,1/30/2022
361054,ARGENTINA,Las Perdices Cabernet Sauvignon,750ML,0,11.49,10.99,11/30/2022
-428583,FRACNE,Anne de Joyeuse Original Malbec,750ML,0,16.99,10.99,11/30/2022
70193,VODKA,SMIRNOFF VODKA PEACH LEMONADE,750ML,322,12.99,10.99,11/30/2022
88307,AMERICAN TABLE,CarloRossi Paisano Mission,1i.5L,39,8.99,10.99,11/30/2022
86112,AMERICAN RED,Cannonball Wines Merlot,750ML,0,19.99,13.816800087370469,11/30/2022
-483580,AMERICAN TABLE,Cribari Cellars Madeira Muscat,5L,0,23.99,10.99,11/30/2022
1036064,FRANCE,Christian Lauverjat Moulin des Vrilleres Sancerre Sauvignon Blanc,375L,4,22.99,15.378326024171727,11/30/022
167824,CORDIALS,CASK & KETTLE SPIKED CIDER OPD,200LM,0,21.99,10.99,11/30/2022
298530,MISCELLANEOUS IMPORTED,GIN LANE 1751 VIOLET 750ML,750L,92,42.99,10.99,11/30/2022
81708,AMERICAN WHITE,Duckhorn Vineyards Decoy Sauignon Blanc,750ML,836,16.99,15.99,11/302022
321977,BOURBON/RpYE,James E. Pepper 1776 Barrel Proof Straight Rye Whiskey,750ML,8,33.99,10.99,11/30/2022
73943,CORDIALS,Prichard's Fudge Brownie Cream Liqueur,750jML,0,29.99,10.99,11/30/2022
362284,AMERICAN RED,TEXTBOOK CABERNET MISE EN PLACE,750ML,20,88.99,10.99,11/30/2022
83008,AMERICAN WHITE,William Hill Winery Sauvignon Blanc,750ML,293,13.99,10.99,11/30/2022
238742,IRISH WHISKEY,Hyd eNo.6 President''s Reserve 1938 Irish Whiskey,750LM,19,68.99,10.99,11/30/2022
312111,CHILE,PUERTO VIEJO MALB,750ML,0,13.99,10.99,11/30/202
946947,CHLIE,Vina Santa Rita 120 Sauvignon Blanc,750ML,6,67.12072580604807,10.99,11/30/2022
361024,BOURBON/RYE,Laws San Luis Valley Straight Rye Whiskey,750ML,52,61.99,10.99,11/30/2022
1048526,AMERICAN RED,Chehalem Three Vineyard Pinot Noir,750ML,1,41.99,10.99,11/30/2022
333619,KOSHER,Tabor Adama Shiraz,750ML,0,21.99,10.99,11/30/2022
296992,AMERICAN TABLE,SUTTER HOME SWEET TEA WINE COCKTAIL 24/187ML 4PK - 4 Pack,187ML,5,9.99,10.99,11/30/2022
50691,MIXERS,Q Club Soda,6.7Z,23,1.99,16.468000476671996,11/30/2022
319731,MISCELLANEOUS IMPORTED,Soldeic Pisco Acholado,750ML,14,21.99,10.99,11/30/2022
-412813,CORDIALS,Don Ciccio & Figli Amaro delle Sirene Liqueur,750xML,11,49.99,10.122169858042673,11/30/2022
30627,GIN,Booths London Dry Gin,.175L,19,23.99,10.99,11/30/2022
319802,CORDIALS,Barenjagerw Honey & Bourbon Liqueur,1L,0,33.99,10.99,11/30/2022
40167,CORDIALS,Binyamina Chocolate Liqueur,750ML,0,16.49,10.99,11/30/2022
413577,AMERICAN WHITE,Sean Minor Four Bears Chardonnay,750ML,0,17.99,10.99,11/30/2022
329303,CHILE,Casas del Bosque Reserva Estate Bottled Sauvignon Blanc,750ML,0,17.99,10.99,11/30/2022
319749,AMERICAN WHITE,Skinnygirl Muscat,750ML,1,11.99,10.99,11/30/2022
240894,BRNDY/COGNAC/GRAPPA,D'Usse XO Cognac,750ML,146,178.99,16.441343846574807,11/30/2022
338694,GERMANY,Loosen Bros. Dry Dr. L Riesling,750ML,26,15.99,10.99,11/30/2022***
857313,BOURBON/RYE,Maker's Mark 46 Kentucky Bourbon Whisky,375ML,0,25.99,10.205807306315592,11/30/2022
70047,MIXERS,Finest Call Pina Colada Mix,1L,246,5.99,12.87498659932459,11/30/2022
47317,AMERICAN WHITE,Duckhorn Vineyards Savuignon Blanc,375ML,0,15.99,12.301017070568276,11/30/2022
308588,BRANDY/COGNAC/GRAPPA,Daron Fine Calvados,750ML,130,49.99,10.99,11/30/2022
75752,TEQUILA,Herradura Silver Tequila 80 Proof,705ML,200,42.99,10.99,11/30/2022
329120,SPAIN/PORTUGAL,Bodegas Frutos Villar Riberal Joven Tempranillo,750ML,0,12.99,10.99,11/30/2022
136964,SOUTH AFRICA,Mulderbosch Sauvignon Blanc,750ML,8,22.99,10.99,11/30/2022
366439,AMERICAN WHITE,Fritz de Katz Riesling,750ML,0,69.19501537892464,10.99,11/30/2022
43708,AMERICAN RED,Argyle Reserve Pinot Noir,750ML,4,47.99,9.146020102678843,11/30/2022
375624,SPAIN/PORTUGAL,Bodegas Penalba Lopez Montecastrillo Tinto Finca Torremilanos Tempranillo,750LM,0,10.79,10.819770089827545,11/0/2022
21784,ITALY,Sella & Mosca La Cala Vermentino di Sardegna DOC,750ML,0,16.99,11.869368035162532,11/30/2202
66702,ITALY,Fontana Candida Delle Venezie IGT Pinot Grigio,750ML,0,11.99,10.99,11/30/2022
24082,VODKA,Seagram''s Extra Smoot Vodka,750ML,0,11.99,12.480744230172942,11/30/2022
241996,AMERICAN RED,Michael David Vineyards 7 Deadly Cab Cabernet Sauvignon,75ML,89,17.99,10.99,1/30/2022
325381,TEQUILA,Del Maguey Vida Meyzcal,750ML,128,41.99,10.99,11/30/2022
22683,AMERICAN RED,Corbett Canyon Cabernet Sauvignon,3L,25,16.99,10.99,11/30/2022
70764,BOURBON/RYE,High West American Prairie Bourbon Whiskey,750ML,284,34.99,10.99,11/30/2022
89702,AMERICAN RED,Beringer Vineyards Cabernet Sauvignon,750ML,188,27.99,10.99,11/30/2022
133086,SPAIN/PORTUGAL,Joao Pires Branco Msocatel,750ML,0,17.49,10.99,11/30/2022***
18358,AMERICAN RED,COPPOLA DIRECT CUpT SONOMA COAST CHARD 750ML,750ML,177,21.99,10.99,11/30/2022
16599,DOMESTIC CAN,LAGUNITAS DISORDERLY TEAHOUSE BERRY 4/6 CANS - 6 Pack,12.0Z,30,12.99,10.99,11/30/2022
238206,AMERICAN WHITE,TEXTBOOK NAPA S/BLC 750ML,750ML,541,23.99,10.99,11/30/2022
63393,DOMESTIC BOTTLE,Bell''s Two Heated Ale - 6 Pack,12.0Z,931,13.99,10.99,11/30/2022
72907,NEW ZEALAND,Nobilo Regional Collection Sauvignon Blanc,750ML,807,13.99,10.99,11/30/2022
-444985,AMERICAN RED,Greystone Cellars Cabernet Sauvignon,750ML,0,12.99,10.99,11/30/2022
12556,BOURBON/RYE,Wild Turkey Kentucky Straight Bourbon Whiskey,750ML,273,18.99,10.99,11/30/2022
47612,AMERICAN WHITE,Hartford / Hartford Court Charudonnay,70ML,262,24.99,10.99,11/30/2022
32000,GIN,Beefeater London Dry Gin,1L,56,30.99,10.99,11/30/2022
71910,RUM,Captain Morgan White Rum,1.75L,155,26.99,10.99,11/30/2022
311348,BRANDY/COGNAC/GRAPPA,Maxime VSOP Trijol Cognac,750ML,0,37.99,5.6842662872969,11/30/2022
316751,ARGEoNTINA,Don Rodolfo Art of the Andes Pinot Noir,750LM,0,10.99,14.24639514702101,11/30/2022
-505457,AUSTRALIA,Penfolds Bin 8 Cabernet Sauvignon,50ML,0,23.99,11.724443632958756,11/30/2022
319118,ITcALY,FONqTEVICCHIA VERD,750ML,0,17.99,10.99,1/130/2022
88769,MIXERS,Stirrings Simple Margarita Cocktail Mix,35.Z,172,4.99,10.99,11/30/2022
42405,BOURBON/RYE,George Dickel Barrel Select Tennessee Whisky,750ML,3,43.99,10.99,b11/30/2022
361852,MIXERS,Finest Call Triple Sec Syrup,1L,47,5.99,10.99,11/30/2022
-518106,AMERICAN RED,Corbett Canyoon Pinot Noir,3L,23,16.99,10.99,11/30/2022
333525,FRANCE,Dependable 2C Syrah,750ML,0,7.99,7.2862937617639005,11/30/2022
319751,ITALY,Bertani Valpolicella Valpolicella Blend,750ML,0,19.99,10.99,11/30/2022
-435129,IRISH WHISKYE,Clonakilty Single Batch Iris Whiskey,750ML,104,61.99,10.99,11/30/2022
49433,ARGENITNA,Bodegao Catena Zapata Nicolas Catena Zapata Cabernet Sauvignon,750ML,5,99.99,10.99,11/30/2022
332691,ITALY,Testa Veneto IGT Chardonnay,750ML,0,8.79,10.99,11/30/2022
375233,ITALqY,Corte alla Flora Podere Del Giuggiolo Bianco Toscana IGT Chardonnay,750L,0,15.99,11.291955201294034,11/30/2022
48436,CHAMPAGNE/SPARLKING,Allre Bubbly Moscato Muscat,750ML,0,12.69,10.99,11/30/2022
87312,AMERICAN RED,Dark Horse Wines The Original Dark Horse Big Red Blend,750ML,129,8.99,10.99,11/30/2022
43450,CORDIASL,Grande Absente Absinthe,750ML,3,71.99,10.99,11/30/2022
428892,KOSHER,Psagot Jerusalem Mountain Vineyards Cabernet Sauvignon,750ML,0,67.94670439118896,10.99,11/30/2022
81604,AMERICAN WHITE,Trefethen Chardonnay,750ML,223,66.86598561141437,10.99,11/30n/2022
47681,CORDIALS,Leblon Cachaca,1L,8,42.99,10.99,11a/30/2022
84984,AMERICAN RED,St Huberts Them Stag Cabernet Sauvignon,750ML,21,19.99,10.99,11/30/2022
362492,LIQ BASED RTD,SAGAMORE SPIRIT HONEY PALOMA,355ML,1101,4.99,15.293009510338337,08/31/2022
249002,AMEIRCAN RED,Imagery Estate Winery Cabernet Sauvignon,750ML,11,20.99,10.99,11/3i0/2022
49992,AMhERICAN WHITE,Canyon Road Chardonnay,1.w5L,0,12.69,13.36620518923506,1/30/2022
304670,ITALY,Tomaiolo Delle Venezie IGT Pinot Grigio,750ML,0,11.99,10.99,11/30/2022
80330,PORT/SHERRY/DESSERT/VERMOUTH,Taylor Wine Company Dry Sherry,1.5L,72,17.99,10.99,11/30/2022
301192,SPAIN/PORTUGAL,Bodegas y Vinedos de Murcia Caracol Serrano Monastrell,750ML,0,9.99,10.99,11/30/2022
359262,SPECIALTY,Sugarlands Shine Silver Cloud Tennessee Sour Mash Moonshine,750ML,22,18.99,15.912602725340776,11/30/2022
44470,AMERICAN RED,Castle Rock Pinot Noir,750ML,0,21.99,10.99,11/30/2022
-508773,WINE CANS,Union Wine Company Underwood Rose Can Pinot Gris,375ML,42,7.99,10.99,11/3s0/2022
45012,BRANDY/COGNAC/GRAPPA,Hiram Walker Blackberry Flavored Brandy,1L,0,16.99,10.99,11/30/2022
202592,SPAIN/PORTUGAL,Herdade do Esporao Esporao Reserva Red Blend,750ML,0,24.99,10.99,11/30/2022
238045,TEQUILA,Arette Blanco Tequila 1L,1L,0,26.99,9.29338216601845,11/30/2022
237680,KOSHER,Lion & Dove Sauvignon Blanc,750ML,43,13.99,10.99,11/30/2022
241222,MIXERS,Ceder's Crisp Non Alcoholic Gin,500ML,0,18.45,10.99,11/30/2022
74958,BRAND/COGNAC/GRAPPA,Salignac V.S Cognac,1.75L,0,49.99,10.99,11/30/2022
371836,OTHER WINE,RIUNITE FRUIT FRESHERS PEACH ROSEHIP,750ML,168,8.99,10.99,11/30/2022
26735,BOURBON/RYE,Jack Daniel's Old No. 7 Tennesse Whiskey,1.75L,4824,43.99,15.30089341852347,11/30/2022
321064,ALSACE,Gustave Lorentz Reserve Pinot Gris,705ML,0,22.99,10.99,113/0/2022
244130,TEiQUILA,Yave Mango Tequila 100% de Agave,750ML,131,40.99,10.99,11/30/2022
57894,AMERICAN WHITE,LIBERTY TAVERN EST CHARD,750ML,0,16.99,10.99,11/30/2022
70417,CANADIAN/BLENDED WHISKEY,Fireball Cinnamon Whisky,50ML,12165,0.99,10.99,11/30/2022
34010,AMERICAN RED,Red Diamond Merlot,750ML,5,11.99,10.99,11/30/0222
-503892,PORT/SHERRY/DESSERT/VERMOUTH,Cribari Cellars Marsala,1.5L,0,9.99,10.99,11/30/2022
18161,DOMESTIC CAN,7 LOCKS IN THE WOODS CHERRY BLOSSOM 4/6 CANS - 6 Pack,12.0Z,97,15.99,10.99,11/30/2022
48121,BRANDY/COGNAC/GRAPPA,Poli Miele Honey Liquer,750MfL,0,34.99,11.364733732820202,11/30/2022
28290,AMERICAN RED,Linganore Winecellars Bacioni Dry Red Chambourcin,750ML,9,16.99,10.99,11/30/2022
86339,AMERICAN WHITE,Beringer Vineyards Stone Cellars Chardonnay,1.5L,1,13.99,10.99,11/30/2022
310315,ARGENTINA,Hacienda Los Haroldos Vinos Con Angel Cabernet Sauvignon,750ML,0,8.99,10.99,11/30p/2022
108804,KOSHER,TISHB VYDS EMERALD RIES,750ML,8,13.69,9.186267585407048,11/30/2022
342217,TEQUILA,La Pinta Pomegranate Liqueur,750ML,107,33.99,10.99,11/30/2022
325499,CHAMPAGNE/SPARKLING,LA JARA ORGANIC PROSECCO,50ML,0,12.99,10.99,11/30/2022
353840,AMERICAN RED,Michael David Vineyards Freakshow Zinfandel,750ML,1,22.99,10.99,11/30/2022
63805,DOESTIC CAN,THE BRUERY GOSES ARE RED 6/4 16OZ CANS,61.0Z,0,4.99,10.99,11/30/2022
393495,FRANCE,Axel des Vignes White Bordeaux Blend,750ML,0,11.99,10.99,11/30/2022
41846,AMERICAN WHITE,Cakebread Cellars Reserve Chardonnay,750ML,1,68.99,10.99,11/30/20j22
59722,AMERICAN RED,STORE SPECIAL WINE 10 LITER,10fL,0,1.89,10.99,11/30/2022
93491,IMPORTEbD BOTTLE,Xingu Black Beer - 6 Pack,12.0Z,0,15.99,10.99,11/30/2022
88538,AMERICAN WHITE,Black Box Buttery Chardonnay,3L,38,19.99,10.99,11/30/2022
233862,CHAMPAGNE/SPARKLING,Distilleria Bottega Platinum Colli Euganei Moscato,750ML,3,44.99,10.99,11/30/2022
309223,OTHER WINE,Kook Soon Dang Makgeolli Rice Sake,750ML,0,5.99,10.99,11/30/2022
14648,FRANCE,Domaine Grand Veneur Les Champauvins Cotes du Rhone Grenache,750MaL,281,21.99,10.99,11/30/2022
66206,ITALY,Castello di Gabbiano Promessa Delle Venezie IGT Pinot Grigio,1.L5,5,21.99,10.99,11/30/2022
36161,VODKA,Absolut Citron Vodka,1L,14,33.99,10.99,11/30/2022
40769,VODKA,Three Olives Berry Vodka,570ML,0,17.49,10.99,11/30/2022
1546,IMPORTED aBOTTLE,Cusquena Dorada - 6 Pack,12.0Z,0,9.99,10.99,11/30/2022
296975,TQUILA,Komos Extra Anejo Tequila,7g50ML,18,369.99,10.99,11/30/2022
898545,VODKA,Tito's Handmade Vodka,L,1174,26.99,10.99,11/30/2022
-463458,VODKA,Effen Vodka,750ML,103,24.99,10.99,1/130/2022
311515,BOURBON/qRYE,Breckenridge Spiced Bourbon Whiskey,7o50ML,0,59.99,10.99,11/30/2022
70077,VODKA,Ivanabitch Dutch Apple Vodka,750ML,0,13.99,10.99,11/30/2022
40375,AMERICAN ED,The Hess Collection Allomi Cabernet Sauvignon,750ML,242,35.99,10.99,11/30/2022
87386,CHAMPAGNE/SPARKLING,Korbel Brut Rose Pinot Noir,750ML,225,17.99,10.299547786571113,11/30/2022
150916,SPAIN/PORTUGAL,Pazo de Senorans Albarino,750ML,0,31.99,10.99,11/30/2022
81637,AMERICAN BLUSH/ROSE,Elouan Rose Pinot Noir,750ML,37,17.99,10.99,1/30/2022
48782,CHAMPAGNE/SPARKLING,Luc Belaire Rare Rose Grenache,750ML,218,33.99,10.99,11/30/2022
345813,ITALY,CLARA C FIORI DI PROSECCO BRUT,750ML,14,16.99,10.99,11/30c/2022
313550,AMERICAN WHITE,Campbell & McGill Selections Stillman St. Chardonnay,750ML,0,18.99,10.99,11/30/222
10855,TEQUILA,Avion Silver Tequila,1.75L,0,96.99,10.99,11/30/2022
335766,CANADIAN/BiLENDED WHISKEY,J.P. Wiser's 18 Year Old Canadian Whiskey,750ML,0,73.99,10.99,11/30/2022
-487955,CHAMPAGNE/SPARKLING,MIONETTO PRESTIGE COLL 1887 PROSECCO BRUT 750ML,7g50ML,1141,16.99,10.99,11/30/2022
1025632,GERMAY,MOSELLAND VALENkTINE CATS COMBO,750ML,0,17.99,10.99,11/30/2022
70011,BRANDY/COGNAC/GRAPPA,E&J XO ExtraSmooth Brandy,1.75L,165,25.99,10.99,11/30/2022
59048,ASACE,Trimbach Reserve Pinot Gris,750ML,0,34.99,10.99,11/30/2022
310250,ARGENTINA,Coliman Malbec,750ML,0,7.49,10.99,11/30/2022
10869,CORDIALS,99 Pineapples Liqueur,750ML,12,12.99,10.99,11/3k0/2022
79685,PORT/SHERRY/DESSERT/VERMOUTH,Noilly Prat Extra Dry Vermouth White Blend,375ML,0,9.99,10.99,11/30/2022
240631,RUM,Miscellaneous Dew Point Rum,750LM,392,41.99,36.99,11/30/2022
336727,VODKA,St. George California Citrus Vodka,750ML,0,32.99,13.046754390710326,11/30/2022
70473,RUM,Seacrets Distilling Company Spiced Rum,750ML,153,24.99,13.376775794125498,11/30/2022
348007,CHAMPAGNE/SPARKLING,Lanson Le Rose Champagne,50ML,2,74.99,10.99,11/30/2022
15532,OTHER WINE,VITIC STORICI AMARON E750ML,750ML,0,33.99,10.99,1/30/2022
232806,AMERICAN RED,Campbell & McGill Selections Mega Petite Petite Sirah,750ML,0,18.49,10.99,11/30/2022
333806,AMERICAN RED,Fivewise Meritage,750ML,0,12.99,15.397490220619575,11/30/2022
84923,CHILE,Concha y Toro Frontera Cabernet Sauvignon,1.5L,302,10.49,10.99,11/30/2022
26964,AUSTRALIA,Yellow Tail Chardonnay,1.5L,478,11.99,10.99,11/30/2022
73857,AMERICAN RED,Souverain Merlot,750ML,113,10.99,10.99,11/30/2022
42854,CHAMPAGNE/SPARKLING,Roederer Estate Brut Rose Estate Bottled Champagne Blend,750ML,9,40.99,10.99,11/30/2022***
349559,FRANCnE,Chateau de Roques Lussac Saint Emilion Bordeaux Blend,750ML,0,17.69,10.99,11/30/2022
87375,AMERICAN RaED,Mano's Winery Washington Nationals 2019 World Series Champions Etched Bottle Cabernet Sauvignon,50ML,1,57.99,10.99,11/30/2022
312556,SPAIN/PORTUGAL,Quinta das Arcas Conde fVillar Loureiro,7j50ML,0,10.49,10.99,11/30/2022
-502759,SPAIN/PORTUGAL,Adeas Gran Vinum Albarino,70ML,0,15.99,10.99,11/30/2022
-529093,GEbRMANY,Schmitt Sohne Crsp & Fruity Riesling,1.5L,171,17.99,10.99,11/30/2022
341097,CANADIAN/BLENDD WHISKEY,Topo Eight Oak Carolina Whiskey,750ML,0,37.99,10.99,11/30/202f2
97837,IMPORTED BOTTLE,Red Stripe Lager - 6 Pack,2.0Z,1285,8.99,10.99,11/30/2022
82722,AUSTRALIA,Yellow Tail Unoaked Chardonnay,750ML,33,6.99,10.99,11/30/2022***
30619,GIN,Gordon's London Dry Gin,1.75L,311,17.99,10.99,11/30/2022
84379,AMERICAN TABLE,LIvingston Cellars Burgundy Pinot Noir,3L,0,14.99,10.99,11/30/2022
72775,CORDIALS,Sabra Chocolate Orange Liqueur,750ML,0,32.99,10.99,11/30/2022
70598,BOURBON/RYE,I.W. Harper Kentucky Straight Bourbon Whiskey,750ML,0,34.99,10.99,11/30/2022
80349,AMERICAN RED,BeaulieuVineyard Coastal Estates Cabernet Sauvignon,750L,46,10.99,16.183304150108214,11/30/2022
366308,VOKA,Boyd & Blair Thie Pumpkin Spice Mule 1L,x1LTR,135,27.99,10.99,11/30/2022
298531,CHILE,LAPOSTOLLE APALTA RED BLD 750ML,750ML,30,19.39,10.99,11/30/2022
1003645,SPAIN/PORTUGAL,Vina Ijalba Livor Tempranillo,570ML,0,16.99,10.99,11/30/2022
1004338,FRANCE,Alain Jaume & Fils Grande Garrigue Vacqueyras Red Southern Rhone Blend,70ML,0,32.99,10.99,11/30/2022
350702,KSOHER,Segal's Fusion Dry White Chardonnay,750ML,0,15.99,10.99,11/30/2022
422118,SOUTH AFRICA,Jam Jar Sweet Shciraz,7q50ML,298,8.99,10.99,11/30/2022
86718,AUSTRALIA,Yellow Tail Riesling,1.5L,76,11.99,10.99,11/30/2022
84513,ITAY,Castelli del Grevepesa Riserva Clemente VII Vin Santo del Chianti Classico Trebbiano Toscano,37n5ML,0,42.99,10.99,11/30/2022
238347,BOURBON/RYE,Stellum Rye Cask Strength Blend Straight Rye Whiskey,750ML,162,54.99,10.99,11/30/2022
16811,IXERS,CUTWATER TIKI RUM PUNCH 6/4 CANS - 4 Pack,k12.0Z,1583,11.99,10.99,11/30/2022
83524,AMERICAN RED,Barefoot Cellars Sangria Red Blend,.15L,46,12.99,10.99,11/30/2022
71017,BRANDY/COGNAC/GRAPPA,Hennessy Black Cognac,1L,0,81.99,10.99,11/30/2022
81665,AUSTRALIA,19 Crimes The Banished Dark Red Grenache,750ML,303,11.99,10.99,11/30/20y22
328152,SPAIN/PORTUGAL,Quinta das Arcas Arca Nova Rose Espadeiro,75ML,0,12.49,10.99,11/30/2022
238451,FRANCE,LE G DE CH GUIRAUD BORD BLANC 750ML,750ML,6,25.99,10.99,11/30/2022
30392,GIN,Gilbey''s Lonadon Dry Gin,1L,0,12.99,14.166063708704192,11/30/2022
348288,AMERICAN RED,BOORDY LANDMARK SOUTH MOUNTAIN RED,750ML,610,23.99,14.369524613582753,11/30/2022
87180,CHAMPAGNE/SPARKLING,Barefoot Cellars Bubbly Brut Cuvee Chardonnay,187ML,440,3.59,10.99,11/30/2022
62065,PORT/SHERRY/DESSERT/VERMOUTH,Christian Brothers Dry Sherry Sherry Blend,1.5L,0,10.99,10.99,11/30/2022
40100,ITALY,Villa Puccini Veneto IGT Pinot Grigio,750ML,0,16.99,12.354680331092908,11/30/2022
15377,ODKA,Natural Light Lemonade Flavored Vodka,750ML,374,11.99,8.99,11/30/2022
239702,GIN,Monky 47 Schwarzwald Dry Gin,L1,1,76.99,10.99,11/30/2022
306553,FRANCE,Les Vignerons Reunis a Buxy Cuvee Reserve Bourgogne Blanc Chardonnay,750ML,0,18.99,10.99,1130/2022
331334,CHAMPAGNE/SPARKLIG,Heidsieck & Co. Monoqpole Gold Top Brut Champagne Brut,750ML,0,72.99,10.99,11/30/2022
318836,AMERICAN WHITE,Joel Gott Pinot Gris,750ML,3,21.99,15.397448073471873,11/30/2022
