communityareaname,communityareanumber(long),propertytype,propertyname,address,zipcode(long),phonenumber,managementcompany,units(long),xcoordinate(double precision),ycoordinate(double precision),latitude(double precision),longitude(double precision),locationvalue
West Ridge,2,Senior,Lincoln Village Senior Apts.,6057 N. Lincoln Ave.,60659,773-338-5900,Perlmark Realty Management,99,1153825.547,1940243.379,41.99186565,-87.70954508,"(41.9918656495183, -87.7095450826125)"
West Town,24,ARO,1447 N. Superior Holding,1447 W. Superior St.,72983,312.600.4501,Honore Properties,2,1166436.78,1905072.949,41.89509487,-48.04062353826964,"(41.8950948696761, -87.664167197744)"
Near West Side,28,ARO,1125 Van Buren LLC,1125 W. Van Buren St.,66007,312-262-6406,Tandem Property Management,5,1168864.113,1341069.4743171046,41.87643774,-127.13067714457117,"(41.8764377440362, -87.6554489851593)"
East Garfield Park,27,Multifamily,Homan Square Apartments Phase VI,3609 W. Arthington St.,60624,773-722-7320,Realty & Mortgage Co.,52,1152417.178,1895758.869,49.32971475610936,-87.71590385,"(41.8698245594426, -87.7159038458016)"
Lake View,6,ARO,Viridian on Sheridan,734 W. Sheridan Rd.,60613,847-250-4900,rmk Management,2,1170305.662,1926158.031,41.95286969,-102.75752733284398,"(41.9528696876172, -87.6493401793848)"
Near West Side,28,Multifamily,Westhaven Park Phase IIB,110 N. Wood St.,60612,312-491-1114,Interstate Realty Management Co.,176,1164349.325,1900851.12,41.88355426,-60.47815329261675,"(41.8835542602409, -87.6719533671956)"
Near North Side,8,Senior,Evergreen Towers II,1343 N. Cleveland Ave.,75725,773-904-0170,UP Holdings,101,1172779.714,1909442.309,41.90694652,-87.64074187,"(41.90694651905692, -87.64074186564679)"
Logan Square,22,ARO,Logan Apts.,2480-2522 N. Milwaukee Ave.,60647,773-525-6570,Spaces Real Estate,22,1155727.042,1916381.376,41.92634863,-87.70319622,"(41.9263486263737, -87.7031962197989)"
Uptown,3,Multifamily,850 Eastwood,850 W. Eastwood Ave.,60640,773-275-6877,Mercy Housing,69,783798.6680404977,1712452.500680706,41.96652845,-87.65171856,"(41.9665284532214, -87.6517185639434)"
Auburn Gresham,71,Multifamily,Stone Terrace,8440 S. Parnell Ave.,63783,773-651-9234,East Lake Management & Development Corp.,56,1174067.016,1848682.074,46.39380072476677,-87.63781991,"(41.7401863579865, -87.6378199127676)"
Logan Square,22,Multifamily,Tierra Linda Apts.,1812 N. Drake Ave.,60647,773-276-5338,LUCHA,3,854910.7574933739,1911884.938,41.91407463,-120.48722770055346,"(41.9140746342917, -87.7152028390309)"
Douglas,35,Multifamily,Park Boulevard IIA,17 W. 36th St.,60609,773-548-8792,"Urban Property Advisors, LLC",238,1176708.767,2394788.8978006262,61.42766968594754,-87.62716568,"(41.8290621082689, -87.62716567775)"
Norwood Park,10,Senior,Senior Suites of Norwood Park,5700 N. Harlem Ave.,60631,888-339-2315,Senior Lifestyle,84,1127328.815,1937441.873,41.98466628,-87.80707301,"(41.9846662832426, -87.8070730078682)"
Grand Boulevard,38,Multifamily,Geneva Gables,4420-24 S. Michigan Ave.,58397,773-924-7700,Tri-Mart Management Co.,65,1177858.686,1875634.197,41.81406086,-87.62311222,"(41.8140608614135, -87.6231122243036)"
West Town,24,Multifamily,Borinquen Bella Apts.,"1414,1451 N. Washtenaw Ave.",60622,773-276-5338,LUCHA,23,1158113.714,2210403.5488271504,41.90708504,-87.69461792,"(41.9070850396306, -87.6946179241723)"
Uptown,3,Supportive Housing,Sarah's on Sheridan,1005 W. Leland Ave.,60640,312-913-7400,Sarah's Circle,38,1168715.467,1931350.065,41.96715149,-87.65503471,"(41.967151487077, -87.6550347050185)"
Montclare,18,ARO,2815-19 N. Natoma,2815-19 N. Natoma Ave.,60634,872-256-8321,The Brixen,2,1131639.88,1918054.962,41.93139277,-87.7916678,"(41.9313927728181, -87.7916677976395)"
West Town,24,Multifamily,North and Talman Family Apts.,2654 W. North Ave.,60647,773-486-7410,Hispanic Housing Dev. Corp.,30,1158184.401,1910570.961,32.29471373741125,-87.69432564,"(41.9103544922391, -87.6943256396865)"
Woodlawn,42,Multifamily,65th Street Apts.,817 E. 64th St.,60637,773-684-2056,"Urban Property Advisors, LLC",6,1182886.226,1862714.794,41.77849343,-87.60507242,"(41.7784934339328, -87.6050724236176)"
Englewood,68,Multifamily,Antioch Homes II,301 W. Marquette Road,60621,773-994-4546,"Universal Management Service, Inc.",69,1175444.813,1860492.084,41.77256377,-50.71424896575998,"(41.772563768909, -87.6324193182049)"
Lake View,6,ARO,Clarkview Apts.,3228 N. Clark St.,60657,773-281-0701 ext. 1014,Glascott Realty,2,1260699.8375432317,1921699.272,41.94064621,-87.65140951,"(41.9406462132724, -87.6514095081283)"
Oakland,36,Multifamily,Lakefront Phase II,1113 E. Bowen Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",6,1217014.0490665822,1677273.862597061,41.81857981,-96.19280572754528,"(41.818579809058, -87.5993837218511)"
Lincoln Square,4,ARO,4646 Damen Apts.,4646 N. Damen Ave.,60625,773-883-1200,Northside Properties Inc.,2,913087.1405289456,2315560.209661861,24.4809338986266,-87.6792672,"(41.9664930631947, -87.6792672013702)"
North Lawndale,29,Multifamily,Lawndale Restoration II Apts. (scattered sites),10 N. Hamlin Ave.,60613,312-337-5339,Holsten Management Corp.,170,883450.228500328,1654485.0571422875,41.88109233,-87.72091009,"(41.8810923305496, -87.7209100899284)"
West Town,24,ARO,Seven 10 West,710 W. Grand Ave.,60654,414-369-3511,Outlook Management,1,1171305.699,1903732.364,47.52285573820792,-87.64632446,"(41.8913106255178, -87.646324463052)"
Grand Boulevard,38,Supportive Housing,Washington Park SRO,5000 S. Indiana Ave.,60615,773-924-1107,"East Lake Management Group, Inc.",96,1178406.437,1871882.896,41.80375452,-87.62121706,"(41.8037545211771, -87.6212170565254)"
New City,61,Multifamily,Senior Suites of New City,4845 S. Western Blvd.,60609,773-523-9333,Senior Lifestyle Co.,115,609567.2127161011,1872314.959,48.97106970044828,-87.68362994,"(41.8053101772522, -87.6836299381718)"
Near South Side,33,Senior,G&A Senior Residences at Eastgate Village,300 E. 26th Street,60616,773-381-7400,Eastgate Village Partners LP,127,1178501.162,2809593.223864472,41.8457959,-72.95416759676664,"(41.8457959044222, -87.6204033747469)"
Lower West Side,31,Multifamily,Casa Chiapas,1712 W. 17th St.,60608,312-666-1323,The Resurrection Project,72,1165119.373,1891824.739,41.85876878,-87.66938208,"(41.8587687803028, -87.6693820787239)"
North Lawndale,29,Multifamily,Dr. King Apts.,1550 S. Hamlin Ave.,60623,773-776-7233,Lawndale Christian Residential Svcs.,256,1151263.623,1891891.93,41.85923592,-87.7202403,"(41.8592359222937, -87.7202402979576)"
Avondale,21,Multifamily,Hairpin Lofts,3414 W. Diversey Ave.,60647,773-292-6360,Leasing & Management Co. Inc.,-128,1153078.89,1918447.998,41.93207259,-65.45496648915397,"(41.9859315141827, -87.7283692100341)"
Brighton Park,58,Multifamily,El Zócalo,3246 W. 47th St.,60632,312-870-4747,H&J Real Estate Management,30,1155315.538,1205804.5885975389,41.80820589,-87.70586474,"(41.8082058904121, -87.7058647387343)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,526 N. Troy St.,37711,773-227-6332,Bickerdike Apts.,6,1104611.0148743163,2121984.9662404503,54.54635636636592,-62.97522594431106,"(41.8911727353719, -87.7053383382248)"
Oakland,36,Multifamily,"Oakwood Shrs 1A, 1B, 2A, 2B1 (scattered sites)",3859 S. Vincennes Ave.,60653,773-373-1300,The Community Builders Inc.,534,1180730.096,1879250.693,61.24347143596802,-87.61246844,"(41.8239192006736, -87.6124684434156)"
Near South Side,33,Senior,Senior Suites of Central Station,1400 S. Indiana Ave.,60605,312-913-9333,Senior Lifestyle Corp.,276,1177842.094,1893842.68,53.18220191112506,-87.62262043,"(41.864026664933, -87.6226204269935)"
East Garfield Park,27,ARO,2824 Van Buren,2824 W. Van Buren St.,60612,708-997-0164,Sergio & Banks Real Estate,6,1540098.1353395036,1898074.933,23.402078175594568,-87.69715773,"(41.8760781065366, -87.697157729784)"
South Chicago,46,Supportive Housing,Bettendorf Place SRO,8425 S. Saginaw Ave.,60617,773-359-4902,Alexian Brothers Bonaventure House,23,1195337.919,1849509.651,41.74195912,-87.5598599,"(41.7419591237961, -87.5598598952004)"
Lake View,6,ARO,Wrigleyville Lofts,949 W. Dakin St.,60613,312-985-0121,Draper and Kramer,8,1169013.814,1926369.564,41.95347834,-87.65408289,"(41.95347833510141, -87.65408288861626)"
Rogers Park,1,Senior,James Sneider Apts.,7450 N. Rogers Ave.,60626,773-743-3699,Hispanic Housing Dev. Corp.,57,1163640.709,2101885.675488461,42.01714971,-126.1233613372733,"(42.0171497110557, -87.6731785733257)"
South Lawndale,30,Multifamily,Casa Tabasco,3515-17 W. 23rd St.,59626,312-248-8355,The Resurrection Project,8,1153205.149,1888451.562,41.84975688,-87.71320473,"(41.8497568840392, -87.7132047259626)"
Montclare,18,Senior Supportive Living,Victory Centre of Galewood,2370 N. Newcastle Ave.,40434,773-917-8383,Pathway Senior Living,78,1130150.063,1915088.087,41.923277,-87.79721089,"(41.92327700208769, -87.79721089340802)"
Austin,25,Multifamily,Rebecca Walker Complex,223-9 S. Central Ave.,35006,773-261-1550,Affordable Property Management Specialist,12,1509673.991383451,2264213.231309007,41.87759814,-87.76461864,"(41.8775981391756, -87.7646186402379)"
Humboldt Park,23,Multifamily,Tierra Linda Apts.,1749-51 N. Drake Ave.,60647,773-276-5338,LUCHA,225,1152581.854,1911572.616,41.91321582,-87.71488081,"(41.9132158158413, -87.7148808096933)"
Humboldt Park,23,Multifamily,Rosa Parks Apts.,521 N. St. Louis Ave.,41556,773-227-6332,Bickerdike Apts.,6,1152991.429,2167180.7805777006,41.89090793,-87.71359179,"(41.8909079268645, -87.7135917922844)"
Belmont Cragin,19,Senior,Senior Suites of Belmont-Cragin,6045 W. Grand Ave.,60639,773-237-1333,Senior Lifestyle Corp.,86,1135526.174,2541712.843069934,34.36831615132916,-87.77747755,"(41.9207910104657, -87.7774775507649)"
Englewood,68,Supportive Housing,Rowan Trees Apts.,500 W. Englewood Ave.,62567,773-572-5272,The Thresholds,167,1174002.16,1863521.643,41.78090936,-87.63761782,"(41.7809093635647, -87.6376178170027)"
Uptown,3,Supportive,Carlton Terrace,4626 N. Magnolia Ave.,60640,773-649-4639,Mercy Housing Management Group,70,1273712.4583280948,1929651.057,41.96252489,-87.66112652,"(41.96252489219771, -87.66112652498248)"
Logan Square,22,Multifamily,Tierra Linda Apts.,1929 N. Drake Ave.,60647,773-276-5338,LUCHA,3,663622.2324024391,1159511.558330717,41.91632842,-94.0055659250943,"(41.9163284200712, -87.7149775129236)"
Washington Park,40,Multifamily,St. Edmund's Village,6253 S. Michigan Ave.,43138,773-493-2411,St. Edmund's Village LP,31,902916.0024138289,2419727.625614193,36.32336229543994,-111.88668002116496,"(41.7804036945444, -87.6218374891699)"
Logan Square,22,Multifamily,Lorington Apts.,3126 W.Palmer Blvd.,60647,773-235-1004,Realty & Mortgage Co.,229,1154841.949,1914634.492,41.92157284,-87.70649546,"(41.92157283868392, -87.706495460099)"
Lake View,6,ARO,The Bel,941 W. Belmont Ave.,60657,773-327-4975,33 Realty,4,585675.4494589311,1921391.341,41.93981159,-130.22209604797524,"(41.9398115920219, -87.6531639140428)"
North Lawndale,29,Multifamily,Park Douglas,1260 S. Fairfield Ave.,86395,773-893-4800,Interstate Realty Management Co.,1,1158196.48,1413214.28464891,41.86472904,-100.8238646476527,"(41.8647290397995, -87.6947358194861)"
East Garfield Park,27,Multifamily,Ike Sims Village,3333 W. Maypole Ave.,60624,773-638-1818,Village Green Management Co.,222,1153978.229,1900741.035,41.88346519,-87.71003991,"(41.8834651917068, -87.7100399090678)"
South Shore,43,Senior,Senior Suites of South Shore,2355 E. 67th St.,60649,773-324-2333,Senior Lifestyle Corp.,55,1193073.323,1860960.163,41.77343579,-87.56778382,"(41.7734357917325, -87.5677838210307)"
Garfield Ridge,56,Senior,Senior Suites of Garfield Ridge,5839 S. Harlem Ave.,60638,773-229-1533,Senior Lifestyle Corp.,87,601072.6199978498,1864822.912,54.926806931809296,-87.801098,"(41.7853541248735, -87.8010979955144)"
Near West Side,28,ARO,1218 W Lexington St,1218 W. Lexington St.,60607,312-600-4501,Honore Properties,3,964128.245166501,1896799.341,41.87235139,-87.65756071,"(41.8797620924696, -87.6589883360869)"
West Town,24,ARO,Avenir,730 N. Milwuakee Ave.,60642,312-837.3920,Tandem Inc.,39,1169262.136,1905082.493,41.89506012,-87.65379018,"(41.8950601208968, -87.6537901783628)"
Uptown,3,ARO,4533 N Clark St.,4533 N. Clark St.,60640,312-600-4501,Honore Properties,2,1165627.535,1930345.788,41.96446223,-81.22512841772361,"(41.96446223237479, -87.66641734463559)"
West Englewood,67,Multifamily,Clara's Village,2115 W. 63rd St,60636,773-434-4929,Interfaith Housing Corp.,52,1096648.5712396142,1862800.707,41.77916282,-87.6770312,"(41.7791628235362, -87.67703119707)"
Woodlawn,42,Multifamily,65th Street Apts.,6600 S. Greenwood Ave.,60511,773-684-2056,"Urban Property Advisors, LLC",42,627164.1279939691,1726642.420752984,41.77493196,-48.72594682783716,"(41.7749319631987, -87.5998709116872)"
Uptown,3,ARO,4420 N. Sheridan Apts.,4420 N. Sheridan Road,60640,312-850-2620,Quest Chicago,1,749003.8374410225,1929620.837,41.96240536,-87.65490367,"(41.9624053580997, -87.6549036656042)"
Near West Side,28,Multifamily,Westhaven Park Phase IIA,2237 W. Maypole Ave.,88588,312-455-0009,Interstate Realty Management Co.,92,1161390.347,1900920.966,58.52081547091119,-87.68281702,"(41.8838079875001, -87.6828170157199)"
Near North Side,8,Multfamily,Parkside of Old Town IIB,1151 N. Cleveland Ave.,60622,312-944-8500,Holsten Real Estate Dev. Corp.,283,1713271.4311936346,1907999.787,42.29415840320917,-87.64104289,"(41.9029897210002, -87.6410428924515)"
Logan Square,22,ARO,2400 Cortland,2404-14 W. Cortland St.,60647,312-489-1600,Laramar Group,2,1159990.635,1912594.267,41.91586948,-87.68763427,"(41.9158694795437, -87.687634267083)"
West Town,24,ARO,Centrum Wicker Park,1664 W. Division St.,60622,312-330-3210,Centrum Partners,6,1164833.069,1908092.562,41.90341508,-87.66997144,"(41.9034150774464, -87.6699714414076)"
Near West Side,28,Senior,McCrory Senior Apts.,1637-59 W. Washington Blvd.,60612,312-243-3333,Leasing & Management Co. Inc.,-134,1165323.057,2350582.3441911098,41.88316474,-87.66838158,"(41.8831647382271, -87.6683815808488)"
Humboldt Park,23,Supportive Housing,Pierce House,3533 W. North Ave.,60647,773-276-4900,"La Casa Norte, Inc.",266,1152358.007,1910361.089,41.9098957,-87.71573523,"(41.9098957006716, -87.7157352286005)"
Portage Park,15,ARO,Clarendale Six Corners,4715 W. Irving Park Road,60641,872-278-4179,Life Care Services,11,1143974.592,1926130.299,41.95332945,-87.74613601,"(41.95332945388426, -87.74613600967054)"
Auburn Gresham,71,Senior,Auburn Commons,1626 W. 87th St.,60620,773-238-0850,"Urban Property Advisors, LLC",72,1166895.24,2266096.633223706,41.73588515,-87.66414272,"(41.7358851522607, -87.6641427165593)"
Kenwood,39,Multifamily,Jazz on the Boulevard (scattered sites),4657 S. Drexel Blvd,60653,312-660-1300,Heartland Housing,81,1183149.455,1874094.41,41.80971394,-87.60375337,"(41.8097139385796, -87.6037533682576)"
Oakland,36,Multifamily,Lakefront Phase II,1128 E. Bowen Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",3,1184422.552,1877469.629,41.81894603,-87.59897812,"(41.818946027635, -87.5989781156333)"
Douglas,35,Multifamily,Park Boulevard IIA,3640 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",80,1575476.799190638,2509518.0988098867,41.82792531,-87.62663572,"(41.827925310886, -87.6266357171471)"
North Lawndale,29,Multifamily,Park Douglas,1317-19 S. Fairfield Ave.,60608,773-893-4800,Interstate Realty Management Co.,29,1158282.873,1893724.634,59.077303745992594,-87.69442467,"(41.8641246191184, -87.694424669823)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,614 N. Spaulding Ave.,60624,773-227-6332,Bickerdike Apts.,270,1154224.542,1903987.92,41.89237005,-87.70904868,"(41.8923700513216, -87.7090486845158)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,607 N. Sawyer Ave.,76895,773-227-6332,Bickerdike Apts.,6,1154639.548,1903911.993,54.649537396512216,-98.14784894101304,"(41.8921534052465, -87.7075265659001)"
Roseland,49,Supportive Housing,Wentworth Commons,11045 S. Wentworth Ave.,60628,773-568-7804,Mercy Housing Lakefront,50,1057990.3623147842,1831516.016,41.69301591,-87.62776735,"(41.6930159120977, -87.6277673462214)"
West Lawn,65,Seniors,Senior Suites of Midway Village,6800 S. Keating Ave.,60629,888-339-2315,Senior Lifestyle Corp.,89,1145974.074,1859144.924,41.76947523,-87.74048606,"(41.7694752347327, -87.7404860550053)"
Grand Boulevard,38,Senior,Park Boulevard Tower/Grand Renaissance Apts.,4257 S. King Dr.,60653,773-268-4642,"East Lake Management Group, Inc.",24,1179612.436,1876628.605,41.81674964,-87.61664895,"(41.8167496438949, -87.6166489474972)"
Near West Side,28,ARO,The Jax,1220 W. Jackson Blvd.,60607,847-324-8957,Cagan Management Group,33,1168192.563,2710190.9876989457,26.39242516900272,-87.65789958,"(41.8778863348772, -87.6578995834111)"
Washington Heights,73,Supportive Housing,Brainerd Park Apts.,8920 S. Loomis St.,60025,312-535-3157,Full Circle Management,4,1168524.176,963976.3056875272,41.73148212,-87.65822063,"(41.7314821221761, -87.6582206279217)"
Lower West Side,31,ARO,Woodwork Lofts,1414-48 W. 21st St.,60608,312-576-7392,Stellar Performance Inc.,-130,1687268.6698704236,1890229.839,41.85434832,-87.66187526,"(41.8543483215561, -87.6618752555649)"
Washington Park,40,Artist/Family,KLEO Art Residences,5504 S. Michigan Ave.,60637,773-268-4660,"Leasing and Management Co., Inc.",49,1178058.043,1868394.472,58.058671827304536,-87.62260056,"(41.79418987604286, -87.62260056397874)"
Grand Boulevard,38,Multifamily,Hearts United II-The Quincy (scattered sites),701-27 E. 43rd St.,60653,773-924-2100,Bonheur Realty Services Corp.,81,1181681.401,1876615.505,41.81666609,-87.60905996,"(41.81666609459, -87.6090599646745)"
Logan Square,22,Multifamily,Tierra Linda Apts.,3572 W. Palmer St.,60647,773-276-5338,LUCHA,3,1152116.497,2391899.74865889,46.70142277886262,-87.71651501,"(41.9210580042957, -87.7165150148412)"
North Center,5,ARO,The Henry,1819 W. Montrose Ave.,60613,855-443-5287,FLATS Leasing,4,1163245.359,1648259.8895913316,41.96139512,-87.67520801,"(41.9613951199669, -87.6752080062593)"
East Garfield Park,27,Multifamily,Rockwell Gardens Phase IA & IIA,2653 W. Madison St.,75193,312-492-6645,East Lake Management & Development Corp.,252,1158623.238,1899872.888,41.88098907,-87.69300683,"(41.880989071675494, -87.69300683002724)"
Woodlawn,42,Multifamily,65th Street Apts.,6400 S. Maryland Ave.,60637,773-684-2056,"Urban Property Advisors, LLC",15,1182961.608,1862758.255,41.77861094,-121.06577687424787,"(41.7786109443603, -87.6047947202511)"
Lake View,6,ARO,SOBE Apts.,3208 N. Southport Ave.,83935,773-680-8644,Newport Realty,1,1166360.814,1514281.1887660024,41.94005906,-87.6639765,"(41.9400590614586, -87.663976501825)"
West Town,24,Supportive Housing,Wicker Park Renaissance,1527-31 N. Wicker Park Ave.,60622,773-278-8602,"RRG Development, Inc.",102,1162934.319,1910028.946,26.65820447939309,-87.67689152,"(41.9087687358883, -87.6768915181969)"
Washington Park,40,Senior,TRC Senior Village I,346 E. 53rd St.,60615,773-924-9270,The Renaissance Collaborative,35,1179447.49,1869994.898,41.79854996,-104.92026819052774,"(41.7985499558127, -87.6174566934006)"
West Town,24,ARO,1038 N. Ashland,1038-40 N. Ashland Ave.,60622,312-600-4501,Honore Properties,2,1165493.322,1274727.7006495409,41.90089079,-87.66757227,"(41.9008907948967, -87.6675722718045)"
Washington Park,40,Multifamily,St. Edmund's Meadows,6100 S. Michigan Ave.,47294,773-493-2411,St. Edmund's Redevelopment Corp.,56,1811211.9255109036,1864572.055,32.80163382220676,-87.62232714,"(41.78369838167961, -87.62232713678218)"
Woodlawn,42,Multifamily,65th Street Apts.,6522 S. Ingleside Ave.,60637,773-684-2056,"Urban Property Advisors, LLC",18,1183642.029,1861850.344,41.77610371,-87.60232857,"(41.7761037074244, -87.6023285745515)"
Lincoln Park,7,ARO,The Apartments at Lincoln Common,2345 N. Lincoln Ave.,72093,773-989-8000,Realty & Mortgage Co.,54,1170870.95,1915911.798,41.92474121,-87.64756347,"(41.9247412087562, -87.6475634736031)"
Gage Park,63,Senior,Senior Suites of Gage Park,3244 W. 59th St.,60629,773-434-4333,Senior Lifestyle Corp.,59,1155572.425,1865354.407,41.78632804,-87.70513618,"(41.7863280449868, -87.7051361750491)"
Oakland,36,Senior,Oakwood Shores Terrace,3755 S. Cottage Grove Ave.,81594,773-373-1300,"The Community Builders, Inc.",148,1181955.52,958640.840427847,41.82631731,-87.60794545,"(41.8263173139507, -87.6079454471381)"
West Town,24,ARO,945 Western,945 N. Western Ave.,60622,773-278-8078,Wicker Park Apartments Inc.,2,1160270.739,1906410.572,41.89889515,-87.68677643,"(41.8988951503, -87.6867764252445)"
Uptown,3,Multifamily,Uptown Preservation Apts.,4431 N. Clifton Ave.,60640,773-286-5400,Leasing & Management Co. Inc.,18,1167869.511,1929704.264,41.96265369,-87.65819285,"(41.9626536880938, -87.6581928458592)"
Humboldt Park,23,Multifamily,Harold Washington Unity Coop,647-49 N. Troy St.,31650,773-227-6332,Bickerdike Apts.,-154,1155294.387,1904337.577,41.89330812,-87.70511017,"(41.89330811630709, -87.70511016740511)"
Austin,25,Supportive/Teenage Moms,Home for New Moms,5327 W. Chicago Ave.,60651,773-610-7696,"New Moms, Inc.",40,1140544.652,1904774.781,46.16592282175127,-87.75927048,"(41.8947914313504, -87.7592704827665)"
Grand Boulevard,38,Multifamily,Williard Square Apts.,4907 S. St. Lawrence Ave.,60615,773-536-0200,"Metroplex, Inc.",100,1181127.01,1872564.798,41.80556343,-87.61121843,"(41.805563433030365, -87.61121843419868)"
Chatham,44,Senior,Senior Suites of Chatham,8300 S. Cottage Grove Ave.,60619,773-488-1333,Senior Lifestyle Corp.,90,1182964.716,1850099.444,41.74387382,-120.55254630674416,"(41.7438738210116, -87.6051761605565)"
North Lawndale,29,Supportive/Youth/Kinship Families,Sankofa House,4041 W. Roosevelt Road,86899,773-257-8800,Interfaith Housing Corp.,32,1149479.823,1894358.781,55.76960429118814,-87.72672414,"(41.8660400255621, -87.7267241436599)"
West Pullman,53,Senior,West Pullman School Senior Housing,11941 S. Parnell Ave.,60628,773-952-8004,5T Management,-146,1174831.25,2083099.849091911,41.67666008,-87.63570683,"(41.67666008040136, -87.63570682972224)"
Humboldt Park,23,Multifamily,Tierra Linda Apts.,1649-51 N. Drake Ave.,85165,773-276-5338,LUCHA,6,1152601.045,1910933.782,24.41989833641075,-87.71482723,"(41.9114624187205, -87.7148272291204)"
East Garfield Park,27,Multifamily,Homan Square Apartments Phase I,750 S. Homan Ave.,60624,773-722-7320,Realty & Mortgage Co.,50,938054.5864051298,1896268.991,41.87119717,-74.70840063530828,"(41.8711971734122, -87.7108484249133)"
Grand Boulevard,38,Multifamily,Mayfair Apts.,4832 S. Vincennes Ave.,60615,773-752-0382,TLC Management Co.,67,1180363.274,1872953.096,41.80664653,-87.61400757,"(41.80664652807751, -87.61400757005497)"
North Lawndale,29,Multifamily,Park Douglas,1220 S. Talman Ave.,60608,773-893-4800,Interstate Realty Management Co.,10,1158851.587,1894355.407,41.86584389,-87.69231965,"(41.865843892007, -87.6923196474984)"
Logan Square,22,ARO,MiCA,2733 W. Belden Ave.,60647,312-702-2519,2293NMA LLC,22,1771348.7480496948,1915110.094,41.92282434,-87.69674313,"(41.9228243439568, -87.696743126238)"
Grand Boulevard,38,Multifamily,Cornerstone Apts.,633 E. 50th St.,60615,312-577-5555,The Community Builders Inc.,7,1181425.624,1871964.801,41.8039101,-87.61014176,"(41.8039101011155, -87.6101417642929)"
Logan Square,22,ARO,2211 N. Milwaukee Ave.,2201-31 N. Milwaukee Ave.,60647,773-327-4975,33 Management LLC,12,1158283.98,1914416.08,41.92090376,-114.58983092406736,"(41.9209037607771, -87.6938544995202)"
Albany Park,14,Senior,Darul Amaan Senior Living,4814-58 N. Kedzie Ave.,61575,773-463-3004,East Lake Management & Development Corp.,-143,1154133.125,1931889.16,41.96893506,-87.70863783,"(41.9689350644141, -87.7086378257316)"
Lower West Side,31,Multifamily,Casa Colima,1427 W. Cullerton St.,40256,312-666-1323,The Resurrection Project,3,1167051.022,1890476.213,41.8550271,-87.66233036,"(41.8550270973189, -87.6623303609038)"
North Lawndale,29,Multifamily,Resurrection Homes,1910 S. Albany Ave.,60623,312-248-8355,The Resurrection Project,2,1383462.762244168,1890430.854,29.67824421795755,-87.7030674,"(41.8551333960945, -87.7030673956673)"
Lake View,6,ARO,Optima Lakeview,3460 N. Broadway,60657,773-828-1700,Optima Real Estate,11,1775773.179337511,1923235.211,41.94482827,-87.64589349,"(41.94482826560603, -87.64589348837235)"
West Ridge,2,Senior,West Ridge Senior Apts.,6142 N. California Ave.,60659,773-381-7400,West Ridge Senior Corp.,117,1156512.51,1940837.411,41.99344157,-87.69964542,"(41.9934415657216, -87.699645424939)"
Near West Side,28,ARO,The Venn,855 W. Madison St.,60607,312-625-8500,John Buck Cos.,59,1277234.676096303,1036573.0731616472,35.08031118941536,-87.6495476,"(41.8816311368659, -87.6495475984714)"
West Town,24,ARO,713 Milwaukee,713 N. Milwaukee Ave.,33158,312-235-6708,CA Urban Living,1,1169534.021,1904952.077,41.89469634,-87.65279542,"(41.8946963389876, -87.652795420646)"
Oakland,36,Multifamily,Drexel Street Properties,848 E. 40th St.,33438,312-842-5500,East Lake Management,61,1466947.605761955,1878499.666,41.82180819,-87.6045465,"(41.82180819274104, -87.60454649932994)"
Woodlawn,42,Multifamily,Strand Hotel,6321 S. Cottage Grove Ave.,60637,312-274-9169,Holsten Real Estate Dev. Corp.,63,1182692.163,1863173.729,41.7797573,-67.35643530056672,"(41.7797573035967, -87.6057696254993)"
West Town,24,Multifamily,Borinquen Bella Apts.,"1318,1456 N. Rockwell Ave.",60622,773-276-5338,LUCHA,24,1158786.704,1150552.004913448,41.905458,-87.69216188,"(41.9054579980481, -87.6921618816492)"
Near South Side,33,Multifamily,Hilliard Homes Phase II,2031 S. Clark St.,60616,312-326-1455,Holsten Management Corp.,176,1175862.866,1261462.0740213078,41.8544114,-87.62999188,"(41.8544114000898, -87.6299918763962)"
Rogers Park,1,Multifamily,The Concord at Sheridan,6438 N. Sheridan Road,60626,773-856-0451,The Habitat Co.,57,1282507.949139211,1942855.196,41.99875752,-87.66076276,"(41.99875752497431, -87.66076275537927)"
South Chicago,46,Senior Supportive Living,Victory Center of South Chicago,3251 E. 92nd St.,60617,773-449-2600,Pathway Senior Living,112,1199523.085,2539259.626759524,41.72821355,-48.707289413373765,"(41.7282135463978, -87.5446927938825)"
West Town,24,Multifamily,Boulevard Court Family Housing,1723-33 N. Humboldt Blvd.,60647,773-486-7410,Hispanic Housing Dev. Corp.,52,975340.7704141164,1911419.569,41.91272269,-87.70144893,"(41.9127226903358, -87.7014489336157)"
South Lawndale,30,Multifamily,Casa Sor Juana,2700 S. Drake Ave.,60623,312-850-1935,The Resurrection Project,270,1153098.302,1885797.728,41.84247656,-87.71366715,"(41.8424765579916, -87.7136671490412)"
