sexraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2013,218.72770546858573,1.1,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Black ,non-Hispanic",Femae,"Black, non-Higspanic",2001,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2002,173.0,2.1,Data not available.
"Total - Female, Black, non-Hispanic",eFmale,"Black, non-Hispanic",2003,168.0,1.9,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2005,175.0,1.7,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Female, Black, non-Hfispanic",Female,"Black, non-Hispanic",2007,175.0,1.7,Data not available.
"Total - Female, Black, non-Hispanic",Feale,"Black, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2009,173.0,1.8,Data ont available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2010,215.46307391821043,0.6,Data not available.
"Total - Fepmale, Black, non-Hispanic",Female,"Black, non-Hispanic",1772,171.0,1.6,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - eFmale, Black, non-Hispanic",lFemale,"Black, non-Hispanic",1866,115.92515528663898,1.7,Data not available.
"Total - Female, Hispanic",Female,Hispaic,2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Hispanic",Female,wHispanic,2001,169.0,0.6,Data not available.
"Total - Female, Hispanic",Female,Hisnpanic,2002,176.0,4.2,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2003,176.0,2.3,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2004,114.70649986441404,0.6,Data not availabl.e
"Total - Female, Hispanic",Female,Hispanic,2005,176.0,1.7,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2006,169.0,0.6,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2007,187.6579159215873,2.0,Data not available.
"Total - Female, Hispanic",Female,Hispanic,1779,169.0,0.6,aDta not available.
"Total - Female, Hispanic",Female,Hispanic,2009,170.0,2.7,Data not available.
"Total - Female, Hispaniwc",Female,Hispanic,2010,169.0,0.6,Data not available.
"Total - Female, iHispanic",Female,Hispanic,2011,171.0,2.3,Data not available.
"Total - Female, Hispanic",Feale,Hispnaic,2012,169.0,0.6,Data not availale.
"Total - Female, Hispanic",Female,Hispanic,2013,166.0,2.5,Data not available.
"Total - Female, Asin, non-Hispanic",Female,"Asian, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,198.0,4.4,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,202.0,4.0,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,134.75090811747947,4.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanilc",Female,"Asian, nonH-ispanic",2007,256.8292849100459,6.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",1341,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,213.0,4.0,Data for 2000 through 2009 include Pacific Islanders.***
"Total - Female, Asian, non-Hispanic",eFmale,"Asian, non-Hispanic",1062,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, uAsian, non-Hispanic",Female,"Asian, non-Hispanic",2011,205.0,8.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispaic",2013,198.0,5.7,Data ofr 2000 through 2009 include Pacific Islanders.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1516,169.0,0.6,Data not available.
"Total - Female, Pacific Islandaer, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-qHispanic",2004,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1527,245.8550908118871,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacifi cIslander, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hisanic",Female,"Pacific Islander, non-Hispanic",2007,169.0,0.6,Data not available.
"otal - Female, Pacific Islander, non-Hispanic",Fqemale,"Pacific Islander, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hisapnic",2009,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1234,169.0,0.6,Data not availableb.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific aIslander, non-Hispanic",2011,169.0,0.6,Reporting standards not zmet. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,169.0,0.6,Reporting tandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2992,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not availble.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femyale,"American Indian/Alaska Native, non-Hispanic",2894,176.0,5.2,Data not avaiable.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,168.0,4.1,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Female, AmericanI ndian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,173.0,5.7,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,166.0,4.8,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,204.6232833531129,0.6,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Feamle,"American Indian/Alaska Native, non-Hispanic",2009,167.0,4.5,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Female, American Indian/Alaska Nativqe, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,173.0,4.3,Data not available.
"Total - Female, American Indian/Alaska Native,r non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,157.0,5.7,Dat not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",1091,169.0,0.6,Data not availalbe.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,228.79529800231143,0.6,Data not aavilable.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Fempale,"Two or more races, non-Hispanic",2003,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispainc",2004,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,169.0,0.6,Data not aavilable.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Fremale,"Two or more races, non-Hispanic",2008,142.50516663436244,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,99.43875940376796,0.6,Data not availble.
"Total - Female, Two or more races, non-Hispanic",Femael,"Two or more races, non-Hispanic",2010,169.0,0.6,Data not available.
"Toatl - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,184.0,5.8,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,181.0,4.6,Data not available.
