Prscrbr_Geo_Lvl,Prscrbr_Geo_Cd,Prscrbr_Geo_Desc,Brnd_Name,Gnrc_Name,Tot_Prscrbrs,Tot_Clms,Tot_30day_Fills,Tot_Drug_Cst,Tot_Benes,GE65_Sprsn_Flag,GE65_Tot_Clms,GE65_Tot_30day_Fills,GE65_Tot_Drug_Cst,GE65_Bene_Sprsn_Flag,GE65_Tot_Benes,LIS_Bene_Cst_Shr,NonLIS_Bene_Cst_Shr,Opioid_Drug_Flag,Opioid_LA_Drug_Flag,Antbtc_Drug_Flag,Antpsyct_Drug_Flag
National,,National,Anafranil,Clomipramine Hcl,75,341,464.7,1302136.99,54,,219,288.4,650123.44,,34,230.17,23661.48,N,N,N,N
National,,National,Anagrelide Hcl,Anagrelide Hcl,4862,27252,45316,11739274.95,5437,,25816,43162.8,10935153,,5173,23674.46,1358543.6,N,N,N,N
National,,National,Analpram Hc,Hydrocortisone/Pramoxine,44,55,63.9,21196.32,45,#,,,,#,,17.4,4921.1,N,N,N,N
National,,National,Anaspaz,Hyoscyamine Sulfate,64,175,186.8,3406.57,62,,126,134.5,2512.41,,42,84.62,951.07,N,N,N,N
National,,National,Anastrozole,Anastrozole,75050,1537272,3474378.1,41930099.02,378047,,1429984,3263628.4,39379647.49,,352930,441581.37,10020905.59,N,N,N,N
National,,National,Androderm,Testosterone,6138,23882,34789.4,19371913.11,5863,,15908,24792.6,13641737.31,,4114,31586.25,1507797.7,N,N,N,N
National,,National,Androgel,Testosterone,2361,9537,12916,11136663.33,2177,,6553,9378,8011920.42,,1573,17065.5,623460.37,N,N,N,N
National,,National,Angeliq,Drospirenone/Estradiol,272,915,1804.5,351623.78,255,,818,1615.8,313149.17,,226,1018.53,119600.39,N,N,N,N
National,,National,Annovera,Segesterone Ac/Ethin Estradiol,54,59,440.2,127233.95,57,,0,0,0,,0,170.8,1245.13,N,N,N,N
National,,National,Anoro Ellipta,Umeclidinium Brm/Vilanterol Tr,119026,1592801,2063789.4,912156831.39,338632,,1352126,1768115.9,779741145.35,,285219,3773571.25,76111577.58,N,N,N,N
National,,National,Antara,"Fenofibrate,micronized",241,809,1667.3,743233.02,226,,676,1404,619645.63,,184,882.13,45420.23,N,N,N,N
National,,National,Antivert,Meclizine Hcl,28,39,47,5874.65,29,#,,,,#,,96.3,609.51,N,N,N,N
National,,National,Anucort-Hc,Hydrocortisone Acetate,46,51,51,11546,48,#,,,,#,,1.3,0,N,N,N,N
National,,National,Anusol-Hc,Hydrocortisone,98,139,151.5,23747.42,102,,125,135.5,21929.83,,89,65.61,1938.98,N,N,N,N
National,,National,Apexicon E,Diflorasone Diacet/Emollient,131,222,245.7,223447.25,128,,208,231.7,210002.97,#,,41.5,10164.28,N,N,N,N
National,,National,Apidra,Insulin Glulisine,1032,3666,5910.5,3769626.75,930,,2580,4380.5,2719399.28,,671,9689.18,203225.88,N,N,N,N
National,,National,Apidra Solostar,Insulin Glulisine,3125,10376,18361.4,10318488,2946,,7874,14647.5,7801085.12,,2247,20626.47,578944.51,N,N,N,N
National,,National,Aplenzin,Bupropion Hbr,563,3477,4393.5,15275568.29,575,,1705,2284.8,7373162.94,,298,4509.71,163546.25,N,N,N,N
National,,National,Apokyn,Apomorphine Hcl,572,3688,3742.8,91670090.42,884,,2878,2921.5,70766461.22,,714,103425.32,3324639.96,N,N,N,N
National,,National,Apraclonidine Hcl,Apraclonidine Hcl,1245,4060,5994.3,389748.73,1692,,3670,5481.4,353161.66,,1512,2599.8,103143.37,N,N,N,N
National,,National,Aprepitant,Aprepitant,1796,9227,9466.6,7124383.11,3800,,6612,6746.9,3637003.47,,2732,11854.29,337467.64,N,N,N,N
National,,National,Apri,Desogestrel-Ethinyl Estradiol,1787,7004,12862,203598.88,1549,,24,56.8,805.87,*,,5486.78,9567.28,N,N,N,N
National,,National,Apriso,Mesalamine,3886,17892,29372.8,13562250.78,4185,,15395,25888.1,11868677.65,,3647,26292.62,1687275.33,N,N,N,N
National,,National,Aptensio Xr,Methylphenidate Hcl,60,271,283.7,82078.43,50,,40,46.7,22587.35,,13,552.58,3243.19,N,N,N,N
National,,National,Aptiom,Eslicarbazepine Acetate,6000,86168,94693.6,123964203.66,8331,,28244,31173,32960185.15,,2691,100254.51,1417911.91,N,N,N,N
National,,National,Aptivus,Tipranavir,103,840,881,1661841.33,89,,396,433,825136.34,,45,1824.56,29666.24,N,N,N,N
National,,National,Aralast Np,Alpha-1-Proteinase Inhibitor,351,3811,3841.8,39351752.95,361,,2387,2410.6,23777380.08,,221,10308.3,1204036.85,N,N,N,N
National,,National,Aranelle,Norethindrone-Ethin. Estradiol,133,622,971.7,26430.58,105,,13,27.4,606.02,*,,524.45,1821.3,N,N,N,N
National,,National,Aranesp,Darbepoetin Alfa In Polysorbat,3300,22266,24250.8,50710078.64,5129,,19734,21421.8,45508084.96,,4470,56359.75,2230593.97,N,N,N,N
National,,National,Arava,Leflunomide,106,395,622.3,852155.43,94,,316,514.3,682282.4,,79,765.22,21786.61,N,N,N,N
National,,National,Arazlo,Tazarotene,158,242,254.5,112085.43,189,,160,168.5,73734.11,,133,599.18,13276.41,N,N,N,N
National,,National,Arcalyst,Rilonacept,40,187,201.4,4181082,41,,137,151.4,3140176.9,#,,56.8,94226.3,N,N,N,N
National,,National,Arestin,Minocycline Hcl Microspheres,713,1354,1354,5500961.13,1262,,1253,1253,4810756.91,,1165,1069,153509.5,N,N,N,N
National,,National,Arformoterol Tartrate,Arformoterol Tartrate,1201,3655,3675.6,1550312,1346,,3167,3187.6,1342129.81,,1177,4821.64,48163.86,N,N,N,N
National,,National,Aricept,Donepezil Hcl,671,2454,4497.5,2194176.85,616,,2273,4253.5,2075703.99,,588,4440.24,164009.8,N,N,N,N
National,,National,Arikayce,Amikacin Liposomal/Neb.Accessr,1143,8063,8342.7,102776816,1729,,7178,7420.1,91449207.84,,1543,56401.86,5294845.69,N,N,Y,N
National,,National,Arimidex,Anastrozole,451,1853,3235.5,4961362.12,410,,1757,3097.4,4744973.98,,392,1362.88,135186.18,N,N,N,N
National,,National,Aripiprazole,Aripiprazole,176913,3405458,4574156.7,360873542.39,561345,,1460068,2082202.4,133576683.61,,255386,3050010.83,20017969.74,N,N,N,Y
National,,National,Aripiprazole Odt,Aripiprazole,1225,6248,6535.3,5515615.02,1243,,1878,1995,1618008.52,,372,10815.49,44798.45,N,N,N,Y
National,,National,Aristada,Aripiprazole Lauroxil,8135,82069,97672.8,229733158.73,12772,,9467,11195.4,25251555.66,,1428,204161.86,536483.38,N,N,N,Y
National,,National,Aristada Initio,"Aripiprazole Lauroxil,submicr.",831,1437,1459.2,3222869.75,1327,,141,142,316364.21,,121,7212.38,15675,N,N,N,Y
National,,National,Arixtra,Fondaparinux Sodium,22,109,121.1,431028.18,21,,58,62.1,204524.62,#,,886.39,6549.33,N,N,N,N
National,,National,Armodafinil,Armodafinil,15848,106014,135460.6,11061953.06,20262,,61376,83452.8,6179447.66,,12790,78285.43,1923792.72,N,N,N,N
National,,National,Armonair Digihaler,Fluticasone Propionate,85,156,161,41810.35,86,,132,136,34778.15,,67,523.21,7401.93,N,N,N,N
National,,National,Armour Thyroid,"Thyroid,pork",48773,293758,607866.9,21204289.37,67062,,259333,544731.8,18793299.86,,60097,294952.25,11965544.69,N,N,N,N
National,,National,Arnuity Ellipta,Fluticasone Furoate,39493,295676,396616.5,84987215.67,68795,,245995,335020.2,71638476.67,,57072,452656.44,12517820.54,N,N,N,N
National,,National,Aromasin,Exemestane,248,1050,1739.2,1845636.26,216,,971,1621.2,1721074.86,,192,862.3,102949.5,N,N,N,N
National,,National,Arthrotec 50,Diclofenac Sodium/Misoprostol,90,369,563.2,260099.95,85,,350,527.2,246124.97,#,,1004.54,24074.8,N,N,N,N
National,,National,Arthrotec 75,Diclofenac Sodium/Misoprostol,289,1072,1811.5,846830.82,253,,975,1647.2,768902.52,,225,1520.73,72774.81,N,N,N,N
National,,National,Asa-Butalb-Caffeine-Codeine,Codeine/Butalbital/Asa/Caffein,3233,14649,14921,1846822.64,2681,,11688,11945.3,1436424.68,,2191,14427.43,391609.75,Y,N,N,N
National,,National,Asacol Hd,Mesalamine,935,2995,4288.4,4565855.17,869,,2382,3490.8,3670575.07,,668,5427.08,332693.51,N,N,N,N
National,,National,Ascomp With Codeine,Codeine/Butalbital/Asa/Caffein,2165,9603,9752.3,1290770.12,1829,,7789,7924.1,1031181.35,,1511,7418.17,272574.05,Y,N,N,N
National,,National,Asenapine Maleate,Asenapine Maleate,8881,55528,66202.5,24050061.44,10514,,13547,16972.1,5435083.12,,2516,68540.03,521876.33,N,N,N,Y
National,,National,Ashlyna,L-Norgest/E.Estradiol-E.Estrad,550,1148,3451.6,117247.6,505,*,,,,*,,1168.4,3901.44,N,N,N,N
National,,National,Asmanex,Mometasone Furoate,13344,51191,83599.6,18223123.19,14825,,45987,76699.8,16655676.91,,13204,50886.75,3252854.54,N,N,N,N
National,,National,Asmanex Hfa,Mometasone Furoate,9359,30726,47218.1,8427781.68,10804,,26773,41869.7,7426371.87,,9457,36895.71,1530200.61,N,N,N,N
National,,National,Aspirin-Dipyridamole Er,Aspirin/Dipyridamole,32122,163433,299590.5,53518701.14,32663,,150250,277174.4,49227024.05,,30097,160084.62,6081232.91,N,N,N,N
National,,National,Assure Id Insulin Safety,"Syringe,needle,insuln,safe,1ml",11,23,36.8,566.56,12,,23,36.8,566.56,,12,0,130.41,N,N,N,N
National,,National,Assure Id Insulin Safety,"Syringe,needle,insuln,sf 0.5ml",12,42,50.8,1135.67,13,,42,50.8,1135.67,,13,64.92,218.83,N,N,N,N
National,,National,Assure Id Pen Needle,"Pen Needle, Diabetic, Safety",108,268,417.4,17386.76,116,,228,362.3,14504.53,,97,176.69,3178.14,N,N,N,N
National,,National,Astagraf Xl,Tacrolimus,129,652,1011.1,512143.84,109,,407,648,262548.29,,68,2246.21,32556.31,N,N,N,N
National,,National,Atacand,Candesartan Cilexetil,1187,4650,9505.9,2636638.64,1013,,4551,9271.6,2573727,,982,4407.45,474500.75,N,N,N,N
National,,National,Atacand Hct,Candesartan/Hydrochlorothiazid,394,1588,3122.2,829717.67,329,,1535,3057.2,810969.35,#,,2842.54,145246.96,N,N,N,N
National,,National,Atazanavir Sulfate,Atazanavir Sulfate,2474,21569,26733.5,10899806.69,2880,,10500,13556.6,5556063.43,,1431,21029.2,357354.09,N,N,N,N
National,,National,Atelvia,Risedronate Sodium,192,912,1453,398803.89,198,,872,1394.3,382022.08,,186,1597.54,49970.04,N,N,N,N
National,,National,Atenolol,Atenolol,304609,7679235,18721729.8,73987661.99,1796035,,7000985,17339583.2,68365346.13,,1653438,1755649.89,21417821.54,N,N,N,N
National,,National,Atenolol-Chlorthalidone,Atenolol/Chlorthalidone,69099,425724,1069266.1,17870383.27,107836,,387752,988148.2,16474962.76,,98919,185753.46,3643076.95,N,N,N,N
National,,National,Ativan,Lorazepam,1314,6718,7651,23741082.54,1073,,5091,5887.5,16579033.44,,826,6474.98,553144.97,N,N,N,N
National,,National,Atomoxetine Hcl,Atomoxetine Hcl,32737,213176,282463.1,33520229.59,40891,,49535,79828.4,8108065.07,,11770,220956.98,2182923.65,N,N,N,N
National,,National,Atorvastatin Calcium,Atorvastatin Calcium,552083,61087156,147133581.3,836020935.54,14952712,,53602221,131777850.3,741839790.48,,13274537,15800870.94,190152455.43,N,N,N,N
National,,National,Atovaquone,Atovaquone,13982,62458,65043.9,48258254.57,17652,,39273,41284.3,28927701,,11724,71490.96,3276771.27,N,N,N,N
National,,National,Atovaquone-Proguanil Hcl,Atovaquone/Proguanil Hcl,6772,14953,18476.2,1921934.43,12988,,13409,16394.3,1628066.01,,11941,5947.2,563375.34,N,N,N,N
National,,National,Atralin,Tretinoin,9,21,23,13636.74,,*,,,,*,,949.16,302,N,N,N,N
National,,National,Atripla,Efavirenz/Emtricit/Tenofovr Df,1965,12923,13372.7,40557414.18,2231,,6639,6939,20792606.05,,1150,37066.87,1160585.54,N,N,N,N
National,,National,Atropine Sulfate,Atropine Sulfate,33714,164179,221669,9481378.32,100348,,133103,180266.1,7510026.37,,87104,132271.2,2069426.23,N,N,N,N
National,,National,Atrovent Hfa,Ipratropium Bromide,56031,244720,307171.3,133624135.36,69462,,184588,233684.8,101534051.55,,54382,683612.59,6906785.38,N,N,N,N
National,,National,Aubagio,Teriflunomide,3944,75326,85997.5,724494717.9,9675,,30427,35320,295516867.79,,3943,348114.44,16098128.42,N,N,N,N
National,,National,Aubra Eq,Levonorgestrel/Ethin.Estradiol,56,224,303.7,6017.19,51,,0,0,0,,0,157.98,276.08,N,N,N,N
National,,National,Augmentin,Amoxicillin/Potassium Clav,13,13,13,433.04,13,*,,,,*,,15.85,58.86,N,N,Y,N
National,,National,Aurovela,Norethindrone Ac-Eth Estradiol,422,1061,2060.9,50775.47,396,,19,35.2,553.35,*,,1074.16,3062.21,N,N,N,N
National,,National,Aurovela 24 Fe,Norethindrone-E.Estradiol-Iron,442,1217,2521.9,80354.68,413,,0,0,0,,0,1567.25,4341.71,N,N,N,N
National,,National,Aurovela Fe,Norethindrone-E.Estradiol-Iron,2640,7892,16331.5,279391.49,2442,,55,131.2,1955.95,,24,8428.42,21167.85,N,N,N,N
National,,National,Auryxia,Ferric Citrate,9403,129702,163344.6,199029312.43,29180,,50835,61899.3,64095084.72,,11332,657555.69,3141840.75,N,N,N,N
National,,National,Austedo,Deutetrabenazine,9567,111650,113136.8,665738597.08,12690,,53892,54987.3,317163256.34,,6002,420686.07,11205333.18,N,N,N,N
National,,National,Autoshield Duo Pen Needle,"Pen Needle,dual Safety,diabetc",25723,221175,258605.4,18188577.69,52183,,184927,216314.2,15060325.45,,43983,119189.92,1460031.12,N,N,N,N
National,,National,Autoshield Pen Needle,"Pen Needle, Diabetic, Safety",29,75,99.8,4359.48,26,,53,75.3,3318.48,#,,104,892.08,N,N,N,N
National,,National,Auvi-Q,Epinephrine,421,558,583,3079706.22,488,,401,420,2101297.19,,374,671.86,39692.43,N,N,N,N
National,,National,Avalide,Irbesartan/Hydrochlorothiazide,638,2314,4999.5,1371162.13,547,,2253,4882.5,1339258.46,,536,2459.5,189188.59,N,N,N,N
National,,National,Avandia,Rosiglitazone Maleate,283,657,1102,238965.17,306,,585,999.3,216927.47,,278,1565.84,49470.95,N,N,N,N
National,,National,Avapro,Irbesartan,2055,7858,17292.1,4168422.28,1780,,7677,16938.1,4079919.27,,1740,6078.33,701782.39,N,N,N,N
National,,National,Avastin,Bevacizumab,265,3153,3159.6,19162538.59,596,,2740,2746.6,16901393.25,,518,8467.94,348027.78,N,N,N,N
National,,National,Aveed,Testosterone Undecanoate,168,682,1282.6,987039.26,189,,553,1029.3,795802.59,,156,1397.37,88450.86,N,N,N,N
National,,National,Aviane,Levonorgestrel/Ethin.Estradiol,948,3622,5780.5,92349.43,855,,21,54.1,600.91,*,,2907.94,6517.76,N,N,N,N
National,,National,Avita,Tretinoin,13,36,39,3245.75,13,#,,,,#,,5,1143.17,N,N,N,N
National,,National,Avodart,Dutasteride,1569,7469,14893,3027223.04,1582,,7354,14634,2975224.65,,1554,8194.85,429333.44,N,N,N,N
National,,National,Avonex,Interferon Beta-1a,2540,25035,27862.5,209146165.92,2961,,16639,18835.7,140832837.99,,1977,120469.39,6385269.36,N,N,N,N
National,,National,Avonex Pen,Interferon Beta-1a,2857,31034,34524.8,259342985.04,3637,,19029,21474.7,160562491.34,,2235,137649.53,8274152.67,N,N,N,N
National,,National,Avsola,Infliximab-Axxq,18,59,77.6,146337.48,18,,26,36.4,67223.48,*,,113.9,4501.2,N,N,N,N
National,,National,Avycaz,Ceftazidime/Avibactam,871,3749,3749,15488474.29,873,,2178,2178,8407572.21,,540,5995.66,472991.02,N,N,Y,N
National,,National,Aygestin,Norethindrone Acetate,7,22,35.7,4450.86,,*,,,,*,,2.27,672.09,N,N,N,N
National,,National,Ayvakit,Avapritinib,128,420,420,15536747.39,123,,309,309,11462547.96,,92,237.78,248201.47,N,N,N,N
National,,National,Azacitidine,Azacitidine,128,972,974.6,3154267.39,192,,946,948.6,3072695.6,#,,2816.23,205075.74,N,N,N,N
National,,National,Azactam,Aztreonam,286,697,697,338838.83,312,,560,560,271441.52,,260,3215.99,13403.71,N,N,Y,N
National,,National,Azasan,Azathioprine,564,1795,2857,1468725.81,519,,1210,2043.5,1057328.63,,351,1686.68,76268.43,N,N,N,N
National,,National,Azasite,Azithromycin,3667,11810,13285.8,3443251.46,5804,,10915,12311.3,3202920.07,,5366,15926.15,480978.01,N,N,N,N
National,,National,Azathioprine,Azathioprine,46864,406701,792862.2,25646093.9,92096,,308698,622994.6,19018895.17,,70484,215529.88,5078466.53,N,N,N,N
National,,National,Azelaic Acid,Azelaic Acid,14725,51838,58448.2,8899429.31,29400,,45713,51914.5,7615113.69,,26694,15979.3,1699989.05,N,N,N,N
National,,National,Azelastine Hcl,Azelastine Hcl,186922,2280811,3331293.3,96853280.41,955124,,1927751,2838921.8,80490598.11,,828055,1193837.84,32005913.61,N,N,N,N
National,,National,Azelastine-Fluticasone,Azelastine/Fluticasone,21673,90696,124417.2,18021239.48,35122,,80520,111852.7,16149513.26,,31437,33795.5,2583072.88,N,N,N,N
National,,National,Azelex,Azelaic Acid,1077,2085,2308,1375672.44,1142,,1556,1754.7,1046009.68,,926,2824.72,101462.76,N,N,N,N
National,,National,Azesco,Prenatal 147/Iron/Folic Acid,263,773,1158,2532373.37,333,,601,867.2,1823710.11,,248,663.64,37366.93,N,N,N,N
National,,National,Azilect,Rasagiline Mesylate,403,1832,3336.4,3058965.35,377,,1684,3070.4,2789974.1,,346,2844.51,287140.88,N,N,N,N
National,,National,Azithromycin,Azithromycin,572412,5979655,6242628.3,53333286.24,4272471,,4882610,5104198.8,42766741.98,,3537263,2496772.07,18040931.19,N,N,Y,N
National,,National,Azopt,Brinzolamide,21871,180119,317885.4,82828564.32,59030,,170213,301199.6,78530866.62,,56004,276824.06,9488984.58,N,N,N,N
National,,National,Azor,Amlodipine Bes/Olmesartan Med,1334,6701,12249.7,4352589.49,1256,,6431,11745.4,4170610.95,,1199,11329.62,427621.96,N,N,N,N
National,,National,Azstarys,Serdexmethylphen/Dexmethylphen,7,12,12,4249.19,,*,,,,*,,4,305.13,N,N,N,N
National,,National,Aztreonam,Aztreonam,1399,4538,4555.3,3150846.09,1577,,3145,3149.9,2038895.35,,1160,5047.44,281045.43,N,N,Y,N
National,,National,Azulfidine,Sulfasalazine,744,1982,2947.9,579870.87,735,,1678,2562.9,509753.53,,613,2561.36,97138.97,N,N,N,N
National,,National,Azurette,Desog-E.Estradiol/E.Estradiol,160,646,1028.1,29157.44,147,,38,54.3,1192.38,*,,874.81,1956.91,N,N,N,N
National,,National,B-D Single Use Alcohol Swab,Alcohol Antiseptic Pads,396,1699,2135,6386.46,550,,1406,1781,5177.28,,455,1112.5,310.14,N,N,N,N
National,,National,Bacitracin,Bacitracin,15271,39230,40186.1,3796951.83,29161,,34690,35533.1,3339132.84,,26125,24149.29,756091.39,N,N,N,N
National,,National,Bacitracin-Polymyxin,Bacitracin/Polymyxin B Sulfate,13922,36518,37196.9,566167.53,26281,,31743,32362.2,489694.56,,23199,13371.82,189527.41,N,N,N,N
National,,National,Baclofen,Baclofen,278372,4828742,6437130.6,140424050.4,1235935,,2852528,3845674.4,71681539.64,,842469,2753473.42,19399466.04,N,N,N,N
National,,National,Bactrim,Sulfamethoxazole/Trimethoprim,8,17,42,1861.27,,#,,,,*,,29.84,484.39,N,N,Y,N
National,,National,Bactrim Ds,Sulfamethoxazole/Trimethoprim,137,208,293.5,19870.05,139,,157,227.7,15738.97,,112,94.46,3671.39,N,N,Y,N
National,,National,Bafiertam,Monomethyl Fumarate,35,112,131.7,767710.26,39,,24,28.2,166857.68,*,,118.8,19055.81,N,N,N,N
National,,National,Balcoltra,Levonorgest/Eth.Estradiol/Iron,42,108,137.2,32971.18,40,,0,0,0,,0,372.4,302.22,N,N,N,N
National,,National,Balsalazide Disodium,Balsalazide Disodium,16418,119126,213918.7,25725928.07,26441,,108179,197285.1,23654131.15,,24193,60126.15,5858679.08,N,N,N,N
National,,National,Balversa,Erdafitinib,270,800,809.5,14992684.51,245,,738,744.9,13932568.37,,227,953.89,525942.14,N,N,N,N
National,,National,Balziva,Norethindrone-Ethin. Estradiol,365,1472,2533.2,68717.56,317,,34,65.6,1561.82,*,,1547.91,3329.57,N,N,N,N
National,,National,Band-Aid Gauze Pads,Gauze Bandage,261,534,557.9,2609.64,421,,438,448.4,1887.71,,352,134.03,148.13,N,N,N,N
National,,National,Banzel,Rufinamide,2075,20366,21694.8,79802168.9,2450,,1312,1369.4,4404226.91,,160,15118.67,102121.32,N,N,N,N
National,,National,Baqsimi,Glucagon,7737,27990,30315.2,14334350.63,20491,,17573,19195.9,8835610.09,,14010,44864.71,871794.42,N,N,N,N
National,,National,Baraclude,Entecavir,322,1922,2641.6,3454379.63,293,,1638,2278.3,3022946.02,,238,5529.6,112935.84,N,N,N,N
National,,National,Basaglar Kwikpen U-100,"Insulin Glargine,hum.Rec.Anlog",166870,1734574,2844750.9,706983626.77,384444,,1319191,2197229.9,526314297.95,,290241,3988938.07,50900239.34,N,N,N,N
National,,National,Bavencio,Avelumab,25,119,119,1567111.83,25,#,,,,#,,9255.55,61798.07,N,N,N,N
National,,National,Baxdela,Delafloxacin Meglumine,302,657,677.1,1638812.88,381,,452,468.4,1036181.82,,258,4409.07,54009.05,N,N,Y,N
National,,National,Bcg (Tice Strain),Bcg Live,191,668,773.1,395987.35,430,,653,755.3,385474.98,,419,1425.43,95889.49,N,N,N,N
National,,National,Bd Insulin Syringe,"Syringe And Needle,insulin,1ml",13,31,35.9,421.38,15,#,,,,*,,0.74,4.65,N,N,N,N
National,,National,Bd Insulin Syringe Micro-Fine,"Syringe-Needle,insulin,0.5 Ml",10,35,41,786.69,,,22,26.7,466.25,*,,1.3,0,N,N,N,N
National,,National,Bd Insulin Syringe Ult-Fine Ii,"Syring-Needl,disp,insul,0.3 Ml",261,508,707.6,14332.5,266,,341,486.6,9548.77,,185,589.16,2467.27,N,N,N,N
National,,National,Bd Insulin Syringe Ult-Fine Ii,"Syringe And Needle,insulin,1ml",236,506,793.9,16444.66,243,,372,598.6,11555.91,,184,617.14,1910.93,N,N,N,N
National,,National,Bd Insulin Syringe Ult-Fine Ii,"Syringe-Needle,insulin,0.5 Ml",577,1399,1968.2,39736.68,604,,1062,1506.6,29653.35,,456,1632.52,5344.92,N,N,N,N
National,,National,Bd Insulin Syringe Ultra-Fine,"Syring-Needl,disp,insul,0.3 Ml",61,98,129.7,2869.3,59,#,,,,#,,71,1019.48,N,N,N,N
National,,National,Bd Insulin Syringe Ultra-Fine,"Syringe-Needle,insulin,0.5 Ml",179,388,560.2,11499.71,188,,314,456.8,9227.83,,152,483.88,1733.88,N,N,N,N
National,,National,Beconase Aq,Beclomethasone Dipropionate,1393,4110,6032.6,1684845.32,1302,,3075,4748.2,1320612.24,,1037,4453.52,190313.56,N,N,N,N
National,,National,Bekyree,Desog-E.Estradiol/E.Estradiol,5,20,23.6,788.48,,,0,0,0,#,,9.1,0,N,N,N,N
National,,National,Belbuca,Buprenorphine Hcl,9217,187452,188019.4,121429802.96,35667,,84417,84773.4,52400076.58,,16950,660671.98,7652073.71,Y,Y,N,N
National,,National,Belladonna-Opium,Opium/Belladonna Alkaloids,269,487,487,285850.06,242,,254,254,110444.33,,176,873.06,17656.75,Y,N,N,N
National,,National,Belsomra,Suvorexant,40226,262681,296069.1,114679084.34,63600,,160035,184311.5,70566728.69,,42054,576780.18,6830494.24,N,N,N,N
National,,National,Benazepril Hcl,Benazepril Hcl,193391,2403786,6045055.4,26969541.78,577695,,2213159,5631870.5,25232909.35,,535849,590062.16,7082520.61,N,N,N,N
National,,National,Benazepril-Hydrochlorothiazide,Benazepril/Hydrochlorothiazide,56278,292711,746133.3,15359705.28,73936,,270285,696241.1,14225805.23,,68615,97203.77,2684940.38,N,N,N,N
National,,National,Bendeka,Bendamustine Hcl,67,321,321,3152118.07,90,,282,282,2754479.42,,79,107.2,81614.77,N,N,N,N
National,,National,Benicar,Olmesartan Medoxomil,6482,31192,59868.6,18180810.04,6313,,29981,57573.7,17451724.26,,6052,43969.73,2313220.62,N,N,N,N
National,,National,Benicar Hct,Olmesartan/Hydrochlorothiazide,3392,17106,31303.4,9677029.77,3318,,16256,29663.5,9162347.46,,3149,23941.35,1102398.47,N,N,N,N
National,,National,Benlysta,Belimumab,2314,29288,30348.7,121887629.3,3812,,6758,7129.2,28003068.47,,867,103537.41,2218166.32,N,N,N,N
National,,National,Bensal Hp,Salicylic Acid,34,59,59,83932.98,38,,45,45,60742.08,#,,62.4,2835.99,N,N,N,N
National,,National,Bentyl,Dicyclomine Hcl,11,31,31,13089.61,,#,,,,*,,9.3,120,N,N,N,N
National,,National,Benzaclin,Clindamycin Phos/Benzoyl Perox,33,76,80,33173.5,30,,15,17,6986.84,*,,84.7,1079.7,N,N,N,N
National,,National,Benzamycin,Erythromycin/Benzoyl Peroxide,10,19,26.5,1553.64,,*,,,,*,,33.2,129.86,N,N,N,N
National,,National,Benzonatate,Benzonatate,12450,51325,51771.5,625784.85,34684,,45356,45738.6,536612.61,,30579,75931.73,181973.04,N,N,N,N
National,,National,Benztropine Mesylate,Benztropine Mesylate,91398,2127173,2501338,28564903.41,273977,,541772,646267,7143874.04,,73670,1395357.56,1425479.85,N,N,N,N
National,,National,Beovu,Brolucizumab-Dbll,32,234,362.8,546834.95,71,#,,,,#,,300.8,47440.43,N,N,N,N
National,,National,Bepotastine Besilate,Bepotastine Besilate,4117,19574,26723.4,5408878.48,10242,,18003,24625.1,4976145.52,,9405,9525.12,171837.53,N,N,N,N
National,,National,Bepreve,Bepotastine Besilate,7173,53202,66513.8,18329006.84,18784,,47764,59658.3,16399594.26,,16785,92997.16,715244.12,N,N,N,N
National,,National,Berinert,C1 Esterase Inhibitor,63,428,428,40447864.35,68,,99,99,12065626.86,,33,2754.63,934496.05,N,N,N,N
National,,National,Besivance,Besifloxacin Hcl,5824,89677,95671.7,18028983.94,62954,,83991,89633.4,16872318.7,,59185,156844.45,3745158.04,N,N,N,N
National,,National,Betadine,Povidone-Iodine,24,62,62,1376.08,38,#,,,,#,,8,992.9,N,N,N,N
National,,National,Betamethasone Diprop Augmented,Betamethasone Dipropionate,3104,7465,7892.3,720421.83,4148,,6327,6698.5,602102.34,,3632,4333.74,143040.12,N,N,N,N
National,,National,Betamethasone Diprop Augmented,Betamethasone/Propylene Glyc,68354,421943,451986.5,22910574.1,232719,,362708,389095.3,18905005.02,,204949,203022.47,4657651.96,N,N,N,N
National,,National,Betamethasone Dipropionate,Betamethasone Dipropionate,129603,756560,805147.5,47559881.81,414038,,639946,682034.7,39625353.39,,359992,458320.85,11698823.68,N,N,N,N
National,,National,Betamethasone Sod Phos-Acetate,"Betamethasone Acetate,sod Phos",156,347,392,18120.51,273,,304,345.6,15984.04,,237,192.13,3003.93,N,N,N,N
National,,National,Betamethasone Valerate,Betamethasone Valerate,67215,271441,293340.7,11526917.77,150649,,227185,246463.2,9714082.87,,129605,135416.55,2530860.27,N,N,N,N
National,,National,Betapace,Sotalol Hcl,98,368,762.1,892875.61,92,,338,704.8,817850.33,#,,1746.96,54847.11,N,N,N,N
National,,National,Betapace Af,Sotalol Hcl,60,215,376.5,295084.68,49,,202,347.5,269056.66,#,,50,30903.84,N,N,N,N
National,,National,Betaseron,Interferon Beta-1b,1550,14920,15646.5,130156656.84,1702,,7798,8418.3,69991822.01,,908,74229.43,2707395.37,N,N,N,N
