sexraceethnicity,sex,raceethnicity,yearvalue(long),percentage(double precision),standarderroronpercentage(double precision),noteonpercent
"Total - Female, Hispanic",Female,Hispanic,2009,16.2,1.1,Reporting standards not met.
"Total - Female, Hispanic",Female,Hispanic,2010,21.0,1.4,Reporting standards not met.
"Total - Female, Hispanic",Female,Hispanic,1847,20.0,1.6,Reporting standards not met.
"Total - Female, Hispanic",Female,Hispanic,2290,23.0,1.8,Reporting standards not met.
"Total - Female, Hispanic",Female,Hispanic,2013,23.9,1.6,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,8.1,2.2,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2505,13.9,3.6,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,8.5,1.5,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2941,10.1,2.3,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,9.1,1.2,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,11.8,2.1,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,9.6,2.0,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,9.2,1.9,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2071,11.1,2.1,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,11.4,2.4,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,12.4,2.1,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,10.8,1.6,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,10.1,2.5,Reporting standards not met.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2721,23.4,1.0,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,23.4,1.0,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,23.4,1.0,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,23.4,1.0,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,23.4,1.0,Reporting standards not met.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,23.4,1.0,Reporting standards not met.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,8.5,2.9,Reporting standards not met.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,18.7,4.7,Reporting standards not met.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,49.62993156324889,7.5,Reporting standards not met.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,23.4,1.0,Reporting standards not met.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,23.4,1.0,Reporting standards not met.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1605,23.4,1.0,Reporting standards not met.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,23.4,1.0,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,23.4,6.1923806709966485,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,23.4,1.0,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,23.4,1.0,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,23.4,1.0,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,21.2,5.5,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,23.4,1.0,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2638,43.6,6.5,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,23.4,1.0,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,23.4,1.0,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",1605,27.8,4.1,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,48.43301296138765,3.2,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,28.8,4.4,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,23.4,1.0,Reporting standards not met.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",1571,23.4,1.0,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,23.4,1.0,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",1951,23.4,1.0,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,23.4,1.0,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2334,18.3,5.7,Reporting standards not met.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,17.2,2.4,Reporting standards not met.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,20.1,3.0,Reporting standards not met.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,22.9,3.7,Reporting standards not met.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,25.3,3.3,Reporting standards not met.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,45.570966077176834,2.4,Reporting standards not met.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2243,29.7,3.2,Reporting standards not met.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,26.7,2.9,Reporting standards not met.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,27.9,3.0,Reporting standards not met.
