City,County,Lender Name and ID,Location,Phone,Fax
Seminole,SEMINOLE COUNTY,FIRST UNITED BANK & TRUST - 11-12,"201 N MILT PHILLIPS AVENUE
SEMINOLE, OK 74868
(35.22513011900048, -96.67109443299967)",(405) 382-0690,
Shawnee,POTTAWATOMIE COUNTY,BANCFIRST - 192-95,"302 N BROADWAY AVENUE
SHAWNEE, OK 74801
(35.33023204800048, -96.92353402899965)",(405) 273-1000,
Shawnee,POTTAWATOMIE COUNTY,BANCFIRST - 192-96,"3443 N KICKAPOO
SHAWNEE, OK 74801
(35.424426860000494, -96.92974696499965)",(405) 273-1000,
Shawnee,POTTAWATOMIE COUNTY,ARVEST MORTGAGE COMPANY - 209-04,"201 N BROADWAY AVENUE
SHAWNEE, OK 74801
(35.32878302200049, -96.92348250299966)",(405) 214-1261,(405) 214-1341
Shawnee,POTTAWATOMIE COUNTY,BANCFIRST - 192-12,"1939 N HARRISON
SHAWNEE, OK 74801
(35.42801948800047, -96.91192775499968)",(405) 273-1000,(405) 273-6733
Shawnee,POTTAWATOMIE COUNTY,FIRST UNITED BANK & TRUST - 11-04,"912 E INDEPENDENCE STREET
SHAWNEE, OK 74801
(35.34736580200047, -96.91095112999966)",(405) 273-6100,(405) 273-2241
Stillwater,PAYNE COUNTY,BANCFIRST - 192-13,"808 S MAIN
STILLWATER, OK 74074
(36.112720126000454, -97.05864483299968)",(405) 742-6200,
Stillwater,PAYNE COUNTY,ARVEST MORTGAGE COMPANY - 209-45,"5215 W 6TH AVENUE
STILLWATER, OK 74074
(36.115793261000476, -97.12989041699967)",(405) 385-5823,(918) 385-5805
Stillwater,PAYNE COUNTY,BANCFIRST - 192-97,"505 E HALL OF FAME
STILLWATER, OK 74074
(36.09778621200047, -97.06850598399967)",(405) 742-6200,(405) 742-6275
Stilwell,ADAIR COUNTY,ARVEST MORTGAGE COMPANY - 209-02,"514 W LOCUST
STILWELL, OK 74960
(35.80852524700049, -94.63296960499969)",(918) 696-3300,(918) 696-5559
Stratford,GARVIN COUNTY,BANCFIRST - 192-24,"110 W SMITH
STRATFORD, OK 74872
(34.796632058000455, -96.95989563699965)",(580) 759-2326,(580) 759-3539
Stroud,LINCOLN COUNTY,BANCFIRST - 192-25,"602 W MAIN
STROUD, OK 74079
(35.74907266000048, -96.66088060699968)",(918) 968-2521,(918) 968-3779
Sulphur,MURRAY COUNTY,BANCFIRST - 192-14,"1020 W 1ST STREET
SULPHUR, OK 73086
(34.507795512000484, -96.96864355699967)",(580) 622-3142,(580) 622-5518
Tahlequah,CHEROKEE COUNTY,ARVEST MORTGAGE COMPANY - 209-44,"1720 S MUSKOGEE AVENUE
TAHLEQUAH, OK 74464
(35.89401442300044, -94.97710456499965)",(918) 207-4869,(918) 207-4828
Tahlequah,CHEROKEE COUNTY,BANCFIRST - 192-48,"130 S MUSKOGEE
TAHLEQUAH, OK 74464
(35.91304007500048, -94.9711277029997)",(918) 456-0541,(918) 458-3087
Tahlequah,CHEROKEE COUNTY,BANCFIRST - 192-15,"1204 S ROSS
TAHLEQUAH, OK 74464
(35.92415979200047, -94.97188875499967)",(918) 456-0541,(918) 458-3087
Tahlequah,CHEROKEE COUNTY,BANCFIRST - 192-98,"2020 S MUSKOGEE
TAHLEQUAH, OK 74464
(35.88840772900045, -94.97699472899967)",(918) 456-0541,
Tecumseh,POTTAWATOMIE COUNTY,BANCFIRST - 192-58,"1213 N GORDON COOPER DRIVE
TECUMSEH, OK 74873
(35.27364003100047, -96.93039701899966)",(405) 273-1000,(405) 878-7237
Tishomingo,JOHNSTON COUNTY,BANCFIRST - 192-26,"820 E MAIN STREET
TISHOMINGO, OK 73460
(34.23059606300046, -96.66936663899969)",(580) 371-2346,(580) 371-2428
Tulsa,CREEK COUNTY,BANCFIRST - 192-100,"2809 E 101ST STREET
TULSA, OK 74137
(36.01736765300046, -95.94838097499968)",(918) 664-6660,
Tulsa,TULSA COUNTY,BANK OF OKLAHOMA - 182-06,"7060 S YALE, SUITE 100
TULSA, OK 74136
(36.06125690800047, -95.92223987599965)",(918) 488-7140,(918) 280-3374
Tulsa,TULSA COUNTY,CORNERSTONE HOME LENDING - 21-02,"1441 E 41ST STREET
TULSA, OK 74105
(36.10433112800047, -95.9718498259997)",(918) 921-8020,(866) 409-8971
Tulsa,TULSA COUNTY,FIRST MORTGAGE COMPANY - 24-02,"2504 E 71ST STREET, SUITE A
TULSA, OK 74136
(36.06070741700046, -95.95556400999965)",(918) 496-2241,(918) 496-6771
Tulsa,TULSA COUNTY,ARVEST MORTGAGE COMPANY - 209-33,"4548 E 51ST STREET
TULSA, OK 74135
(36.08983350400047, -95.92482026799968)",(918) 631-6882,
Tulsa,TULSA COUNTY,ARVEST MORTGAGE COMPANY - 209-19,"6560 E 71ST STREET
TULSA, OK 74133
(36.060772957000495, -95.90176080399965)",(918) 631-1511,(918) 631-1520
Tulsa,TULSA COUNTY,BANCFIRST - 192-16,"4901 E 41ST STREET
TULSA, OK 74135
(36.104407565000486, -95.92189116799966)",(918) 664-6660,
Tulsa,TULSA COUNTY,BANK OF OKLAHOMA - 182-05,"6505 E 101ST STREET S
TULSA, OK 74133
(36.01737802400049, -95.9039605109997)",(918) 619-1932,
Tulsa,TULSA COUNTY,BANCFIRST - 192-101,"10279 S MEMORIAL DRIVE
TULSA, OK 74133
(36.014100028000485, -95.8863738129997)",(918) 664-6660,
Tulsa,TULSA COUNTY,BANCFIRST - 192-102,"5623 S LEWIS AVENUE
TULSA, OK 74105
(36.08088027500048, -95.95793684799969)",(918) 712-1795,
Tulsa,TULSA COUNTY,FIRST UNITED BANK & TRUST - 11-03,"7424 S YALE AVENUE
TULSA, OK 74136
(36.05561073400048, -95.92213429899965)",(918) 294-8020,(918) 294-9036
Tulsa,TULSA COUNTY,BANCFIRST - 192-99,"8822 S YALE AVENUE
TULSA, OK 74137
(36.03427047500048, -95.92212508099965)",(918) 664-6660,
Tulsa,TULSA COUNTY,BANCFIRST - 192-35,"7625 E 51ST STREET
TULSA, OK 74145
(36.089947580000455, -95.89280066099968)",(918) 664-6660,
Verdigris,ROGERS COUNTY,BANCFIRST - 192-103,"26205 S HIGHWAY 66
VERDIGRIS, OK 74019
(36.23059216700045, -95.69557657399969)",(918) 341-7100,
Weatherford,CUSTER COUNTY,BANCFIRST - 192-17,"122 N BROADWAY
WEATHERFORD, OK 73096
(35.526970340000446, -98.70910647299968)",(580) 772-5541,(580) 772-7136
Westville,ADAIR COUNTY,ARVEST MORTGAGE COMPANY - 209-01,"901 N HIGHWAY 59
WESTVILLE, OK 74965
(35.99372767500046, -94.5748160819997)",(918) 696-8500,(918) 696-5559
Yukon,CANADIAN COUNTY,FIRST MORTGAGE COMPANY - 24-17,"12801 NW 10TH STREET, SUITE 100
YUKON, OK 73099
(35.47894784300047, -97.75319076299968)",(405) 265-1935,(405) 265-1939
Yukon,CANADIAN COUNTY,"FIRST AMERICAN MORTGAGE, INC - 26-01","1501 S RANCHWOOD BOULEVARD
YUKON, OK 73099
(35.49871592600044, -97.7334486849997)",(405) 354-0426,(405) 354-6732
Yukon,CANADIAN COUNTY,ARVEST MORTGAGE COMPANY - 209-11,"915 S CORNWELL
YUKON, OK 73099
(35.49869254100048, -97.74250425599968)",(405) 419-3775,(405) 419-3760
