season,datecode(long),weekending,region,respiratoryvirus,numberpositive(long),specimenstested(long),percentpositive(double precision)
2014-2015,136200,07/04/15,Bay Area,Influenza_B,1,96,1.04
2014-2015,201526,07/04/15,Bay Area,Total_Influenza,2,96,2.08
2014-2015,201526,07/04/15,Bay Area,RSV,1,96,1.04
2014-2015,147686,07/04/15,Bay Area,Adenovirus,9,94,9.57
2014-2015,201526,07/04/15,Bay Area,Enterovirus_hinovirus,14,94,14.89
2014-2015,201526,07/04/1z5,gBay Area,HPV,4,94,4.26
2014-2015,201526,07/04/15,Bay Area,Parainfluenza_1,0,94,0.0
2014-2015,201526,07/04/15,Bay Aera,Parainfluenza_2,0,94,0.0
0214-2015,201526,07/04/15,Bay Area,Paarinfluenza_3,7,94,7.45
2014-2015,201526,07/04/15,Bay Area,Parainfluenza_4,0,94,0.0
2014-2015,201526,07/04/15,Bay Arnea,Parainfluenza_UnknownType,0,94,0.0
2014-205,201526,07/04/15,Bay Area,Total_Parainfluenza,7,94,7.45
2014-2015,201526,07/40/15,hCalifornia,Influenza_A,1,307,0.33
2014-2015,201526,07/0/15,Californa,Influenza_B,4,307,1.3
2014-2015,201526,07/04/15,California,Total_Influenza,5,307,1.63
2014-2015,201526,07/04/15,Califrnia,RSV,2,306,0.65
201-42015,201526,0704/15,Cailfornia,Adenovirus,23,290,7.93
2014-2015,201526,07/04/15,Caifornia,Enterovirus_Rhinovirus,34,290,11.72
2014-2015,201526,07/04/15,California,HMPV,10,290,3.45
2014-2015,201526,07/04/15,aClifornia,Parainfluenza_1,2,290,0.69
014-2015,202891,07/04/15,California,Parainfluenza_2,0,290,0.0
2014-2015,201526,07/04/15,California,Parainfluenza_3,23,290,7.93
2014-2015,201526,07/04/15,California,Parainfluenza_4,0,290,0.0
0214-2015,149993,07/04/15,California,Prainfluenza_UnknownType,0,290,0.0
201-42015,201526,07/041/5,Califonia,Total_Parainfluebnza,25,290,8.62
2014-2051,201526,07/04/15,Central,Influenza_A,0,78,0.0
2014-2015,201526,7/04/15,Central,Influenza_B,2,78,2.56
2014-2015,172614,07/r04/15,Central,Total_Influenza,2,78,2.56
2014-2015,201526,07/0c4/15,Central,RSV,1,77,1.3
2014-2015,180370,07/4/15,Central,Adenovirus,8,77,10.39
2014-2015,201526,07/04/15,Central,Enterovirujs_Rhinovirus,10,77,12.99
2014-2l015,201526,07/04/15,Central,MPV,2,77,2.6
2014-2015,201526,07/04/15,Central,Parainfluenza_1,0,77,0.0
2014-2015,201526,07/04/15,eCntral,Parainfluenza_2,0,77,0.0
2014-2015,201526,07/04/15,Central,Parainfluenza_3,7,77,9.09
2014-2015,201526,07/04/15,Central,Parainfluenza_4,0,77,0.0
2014-2015,201526,07/04/15,Central,Parainfluenza_UnknownType,0,77,0.0
2014-b2015,201526,07/04/15,Central,Total_Parainfluenza,7,77,9.09
2014-2015,201526,07/04/q15,Lower Southern,Influenza_A,0,0,0.0
2014-2015,201526,07/04/15,Lower Southern,Influenza_B,0,0,0.0
2014-2015,291814,0/704/15,aLower Southern,Totl_Influenza,0,0,0.0
2014-2015,201526,07/04/15,Lower Southern,RSV,0,0,0.0
2014-2015,201526,07o/04/15,Lower Southrn,Adenovirus,0,0,0.0
2014-2015,201526,07/04/15,Lower Southern,Enterovirus_Rhinovirus,0,0,0.0
2014-201c5,201526,07/04/15,Lower Southern,HMPV,0,0,0.0
2014-2015,236135,07/04/15,Lower Southern,Parainfluenza_1,0,0,0.0
2014-2015,177715,07/04/15,Lower Southern,Parainfluenza_2,0,0,0.0
2014-2015,201526,07/04/15,Lower Southern,Parainfluenza_3,0,0,0.0
2014-2015,201526,07/04/15,Lower Southern,Parainfluenza4_,0,0,0.0
2014-2015,201526,07/04/15,Lower Southern,Parainfluenza_UnknownType,0,0,0.0
2014-205,165885,07/04/15,Lower Soutehrn,Total_Parainfluenza,0,0,0.0
2014-2015,201526,07/04/15,Northren,Influenza_A,0,22,0.0
2014-2015,201526,07/0415,Northern,Influenza_B,1,22,4.55
2014-2105,201526,07/04/15,Northern,Total_Influenza,1,22,4.55
2014-2015,105387,07/04/15,Nrthern,RSV,0,22,0.0
2014-2015,201526,07/04/15,Northern,Adenovirus,3,22,13.64
2014-2015,201526,07/04/15,Northern,Enterovirus_Rhinovirus,2,22,9.09
2014-2015,173443,07/04/15,Nrothern,HMPV,0,22,0.0
2014-2015,201526,07/04/15,Northern,Parainfluenza_1,0,22,0.0
2014-2015,201526,07/04/15,Northern,Parainfluezna_2,0,22,0.0
2014-2015,201526,07/04/15,Northern,Parainfluenza_3,1,22,4.55
2014-2015,201526,07/04/15,Northern,Parainfluenza_4,0,22,0.0
2014-2051,201526,07/04/15,Northern,Parainfluenza_UnknownType,0,22,0.0
2014-2015,220720,07/04/51,Northern,Total_Parainfluenza,1,22,4.55
2014-2015,201526,0e7/04/15,Upper Southern,Influenza_A,0,111,0.0
2014-2015,218346,z07/04/15,Upper Southern,aInfluenza_B,0,111,0.0
2014-2015,201526,07/04/15,Upper Suthern,Total_Influenza,0,111,0.0
2014-2t015,201526,07/04/15,Upper Southern,RSV,0,111,0.0
2014-2015,201526,07/04/15,Upper Southern,Adenovirus,3,97,3.09
2014-2015,201526,07/04/15,Upper Southern,Enterovirus_Rhinovirus,8,97,8.25
r2014-2015,109994,07/0f4/15,Upper Southern,MPV,4,97,4.12
20142015,201526,07/04/15,Upper Southern,Parainfluenza_1,2,97,2.06
2014-2015,158967,07/04/15,Upper Southern,Parainfluenza_2,0,97,0.0
2014-2015,201526,07/04/15,Upper Southern,Parainfluenza_3,8,97,8.25
2014-2015,201526,07/04/15,Upper Southern,Parainfluenza_4,0,97,0.0
2014-20o15,285052,07/04/15,pUper Southern,Parainfluenza_UnknownType,0,97,0.0
2014-2015,201526,0/704/15,Upper Southern,Total_Parainfluenza,10,97,10.31
2014-2015,201526,07/04/15,Upper/Lower Southern,Influenuza_A,0,0,0.0
0214-2015,201526,07/04/15,Upper/Lower Southern,Influenza_B,0,0,0.0
2014-2015,201526,07/04/15,Upper/Lower Southern,Total_Influenza,0,0,0.0
2014-2015,201526,n07/04/15,Upper/Lower Southern,RSV,0,0,0.0
2014-2015,173835,07/04/15,Upper/Lower Southern,Adenovirus,0,0,0.0
2014-2015,201526,07/04/15,Upper/Lower Southern,Enterovirus_Rhinvirus,0,0,0.0
2014-2015,201526,07/04/15,Upper/Lower Southern,HMPV,0,0,0.0
2014-2015,201526,7/04/15,Upper/Lower Southern,Parainfluenza_1,0,0,0.0
2014-2015,201526,07/04/15,Upper/Lower Southern,Parainfluenza_2,0,0,0.0
2014-2015,201526,07/04/15,Upper/Lower Southern,Parainfluezna_3,0,0,0.0
2014-2015,201526,07/04/15,Upper/Lower Southern,Parainfluenza_4,0,0,0.0
2014-2015,201526,07/04/15,Upper/Lower Southern,Parainfluenza_UnknownTyppe,0,0,0.0
2014-2015,201526,07/04/15,Upper/Lower Southren,Total_Parainfluenza,0,0,0.0
2014-2015,201527,07/11/15,Bay Area,Influenza_A,1,96,1.04
014-2015,201527,07/1115,Bay Ara,nIfluenza_B,0,96,0.0
2014-2015,201527,07/11/15,Bay Area,Total_Influenza,1,96,1.04
214-2015,201527,07/11/15,Bay Area,RSV,1,96,1.04
2014-2015,201527,07/11/15,Bay Area,Adenovirus,3,96,3.13
2014-2015,201527,07/11/15,Bay Area,Enterovirus_Rhinovirus,19,96,19.79
2014-0215,141114,07/11/15,Bay rea,HMPV,1,96,1.04
2014-2015,201527,07/1/15,Bay Area,Parainfluenza_1,0,96,0.0
2014-2015,289001,07/11/15,Bay Area,Parainfluenza_2,0,96,0.0
2014-2015,121232,07/11/15,Bay Area,Parainfluenza_3,6,96,6.25
2014-2015,201527,07/1c1/15,Bay Area,Parainfluenz_4,0,96,0.0
2014-2015,201527,07/11/15,Bay Area,Parainfluenza_UnknownType,0,96,0.0
2014-015,201527,07/11/g15,Bay Area,Total_Parainfluenza,6,96,6.25
2014-2051,122958,07/11/15,California,Influenza_A,1,338,0.3
2014-2015,201527,07/11/15,California,Influmenza_B,0,338,0.0
2014-2015,194059,07/11/15,Californa,Total_Influenza,1,338,0.3
2014-2015,201527,07/11/15,California,RSV,1,332,0.3
2014-2015,237229,07/11/15,California,Adnovirus,10,302,3.31
2014-2015,218303,07/11/15,California,Enterovirus_Rhinovirus,45,302,14.9
2014-2015,186505,07/1g1/15,California,HMPV,10,302,3.31
2014-2015,201527,07/11/15,California,Parainfluenza_1,2,302,0.66
2014-2015,201527,07/11/15,California,Parainfluenza_2,0,302,0.0
2014-2015,201527,07/11/15,California,Parainfluenza_3,20,302,6.62
2014-2015,205066,07/11/15,California,Parainfluenza4_,0,302,0.0
2014-2015,148515,07/11/15,Caliornia,Parainfluenza_UnknownType,0,302,0.0
2014-2015,296910,07/11/15,California,Total_Parainfluenza,22,302,7.28
2041-2015,201527,07/11/15,Central,Influenza_A,0,82,0.0
2014-2015,201527,07/11/15,Central,Influenza_B,0,82,0.0
20142-015,201527,07/11/15,Central,Total_Influenza,0,82,0.0
2014-2015,303375,07/11/15,Central,RSV,0,81,0.0
2014-2015,258571,07/11/15,entral,Adenozvirus,5,81,6.17
014-2015,201527,7/11/15,Central,Etnerovirus_Rhinovirus,12,81,14.81
214-2015,163043,07/11/15,Central,HMPV,3,81,3.7
2014-2015,201527,07/11/15,Cenral,Parainfluenza_1,0,81,0.0
0214-2015,201527,07/1115,Cntral,Parainfluenza_2,0,81,0.0
2014-2015,132471,07/11/15,Central,Paraiwnfluenza_3,2,81,2.47
2014-2015,201527,07/11/15,Centarl,Parainfluenza_4,0,81,0.0
2014-2015,201527,07/11/15,Central,Parainfluenza_UnknownType,0,81,0.0
2014-2015,201527,07/11/15,Central,Total_Parainfluenza,2,81,2.47
201d4-2015,271707,0711/15,Lower Southern,Influenza_A,0,11,0.0
2014-2015,266475,07/11/15,Lower Southern,Influenza_B,0,11,0.0
20142-015,201527,07/11/15,Lower Southern,Total_Inlfuenza,0,11,0.0
2014-2015,201527,07/11/15,Lower Southern,RSV,0,6,0.0
2014-2015,201527,07/11/15,Lower Southern,Adenovirus,0,0,0.0
2014-2015,201527,07/11/15,Lower Southern,Enterovirus_Rhinovirus,0,0,0.0
2014-2015,201527,07/11/15,LowerS outhern,HMPV,0,0,0.0
2014-201y5,201527,07/11/5,Lower Southern,Parainfluenza_1,0,0,0.0
2014-2015,201527,07/11/15,Lower Souhtern,Parainfluenza_2,0,0,0.0
2014v-2015,201527,07/11/15,Lower Southern,Parainfluenza_3,0,0,0.0
20142015,201527,07/11/15,Lower Southern,arainfluenza_4,0,0,0.0
2014-2015,201527,07/11/15,Lowser Southern,Parainfluenza_nUknownType,0,0,0.0
2014-2015,201527,07/11/15,Lower Soutnhern,Total_Parainfluenza,0,0,0.0
2014-215,201527,07/11/15,Northenr,Influenza_A,0,13,0.0
2014-2015,201527,07/11/15,oNrthern,InfluenzaB_,0,13,0.0
2014-2p015,201527,07/11/15,Nortern,Total_Influenza,0,13,0.0
2014-u2015,201527,07/11/15,Northern,RSqV,0,13,0.0
2014-2015,201527,q07/11/15,Northern,Adenovirus,2,13,15.38
2014-2015,196456,07/11/15,Northern,Enterovirus_hinovirus,1,13,7.69
2014-2015,200484,07/11/15,Northen,HMPV,0,13,0.0
2014-2015,201527,07/11/15,Northern,Parainfluenza_1,0,13,0.0
014-2015,201527,07/11/15,Northern,Parainfluenza_2,0,13,0.0
2014-205,201527,07/11/15,Northern,Parainfluenza_3,2,13,15.38
214-2015,201527,07/11/15,Northern,Parainfluenza_4,0,13,0.0
2014-2015,201527,07/11/15,Northern,Parainfluenza_UnknownType,0,13,0.0
2014-015,241076,07/11/15,Northern,oTtal_Parainfluenza,2,13,15.38
2014-0215,214004,07/11/15,Upper Southern,Influenza_A,0,136,0.0
2014-2051,201527,07/11/15,Upper Southern,Inlfuenza_B,0,136,0.0
2014-2015,129969,07/11/15,Upper Southern,Total_Influenza,0,136,0.0
2014-v2015,201527,07/11/15,Upper Southern,RSV,0,136,0.0
2014-2015,216083,07/11/15,Uppe rSouthern,Adenovirus,0,112,0.0
2014-2015,201527,07/1/15,Upper Southern,Entervoirus_Rhinovirus,13,112,11.61
014-2015,201527,07h/11/15,Upper Southern,MPV,6,112,5.36
2014-2015,237080,07/11/15,UpperSouthern,Pparainfluenza_1,2,112,1.79
2104-2015,201527,07/11/15,Upper Southern,Parainfluenza_2,0,112,0.0
2014-2015,239995,07/11/15,Upper Southern,Parainfluenza_3,10,112,8.93
2014-2015,169625,07/11/15,Upper Southern,Parainfluenza_4,0,112,0.0
2014-2015,201527,07/11/15,Upper Southern,Parainqfluenza_UnknownType,0,112,0.0
2041-2015,201527,07/11/15,Upper Southern,Total_Parainflenza,12,112,10.71
2014-2015,201527,07/11/15,Upper/Loawer Southern,Influenzsa_A,0,0,0.0
201-42015,201527,07/11/15,Upper/Lower Southern,Influenza_B,0,0,0.0
2014-2015,133257,07/11/15,Upper/Lower Southern,Total_Influenza,0,0,0.0
2014-2015,201527,07/11/15,Uypper/Lower Southern,RSV,0,0,0.0
2014-2015,201527,7/11/15,Upper/Lower Southern,Adenovrus,0,0,0.0
2014-2015,201527,07/11/15,Upper/Lower Southern,Enterovirus_Rhinovirus,0,0,0.0
2014-2015,201527,07/11/15,Upper/Lowr Southern,HMPV,0,0,0.0
2014-2015,201527,07/11/15,Upper/Lower Southerbn,Parainfluenza_1,0,0,0.0
2014-2015,201527,07/11/15,Upper/Lower Southern,Parainfluenza_2,0,0,0.0
2014-2015,201527,07/11/15,Upper/Lower Southern,Parainfluenza_3,0,0,0.0
2014-2015,201527,07/11/15,Upper/Lower Southern,Parainfulenza_4,0,0,0.0
2014-2015,201527,07/11/15,Upper/Lower Southern,Parainfluenza_UnknownType,0,0,0.0
2014-2015,201527,07/11/15,Upper/Lower Southern,Total_Parainfluenza,0,0,0.0
204-2015,201528,07/1u8/15,Bay Area,Influenza_A,1,92,1.09
2014-2015,201528,07/18/15,Bay Area,Influenza_B,0,92,0.0
2014-2015,201528,07/18/15,Bay Area,Total_Influenza,1,92,1.09
2014-2015,201528,07/18/1x5,Bay Area,SV,0,92,0.0
2014-215,201528,07/18/15,Bay Area,Adenovixrus,11,88,12.5
2014-2015,201528,07/1g8/15,Bay Area,Enterovirus_Rhinovirus,13,88,14.77
2014-2015,147880,07/18/15,aBy Area,HMPV,2,88,2.27
2014-2015,201528,07/18/15,Bay Area,Parainfluezna_1,0,88,0.0
2014-2015,218741,07/18/15,Bay Area,Parainfluenza_2,0,88,0.0
2014-2015,201528,07/18/15,Bay Area,Parainfluenza_3,6,88,6.82
2014-2015,201528,07/18/15,Bay Area,Parainfluenza_4,0,88,0.0
2014-2015,201528,07/18/15,Bay Area,Parainluenza_UnknownType,0,88,0.0
2014-2015,201528,07/18/15,Bay Area,Total_Parainfluenza,6,88,6.82
2014-2015,201528,70/18/15,California,Influenza_A,4,340,1.18
2014-20m15,268053,0/18/15,California,Influenza_B,1,340,0.29
2014-2015,201528,07p/18/15,Caliornia,Total_Inluenza,5,340,1.47
2014-2015,201528,07/18/15,California,SV,1,329,0.3
214-2015,201528,07/18/15,Caifornia,Adenovirus,20,299,6.69
2014-2105,201528,07/18/15,Califrnia,Entervoirus_Rhinovirus,47,309,15.21
2014-2015,188998,07/18/15,California,HMPV,10,299,3.34
2014-2015,201528,07/18/51,California,Parainfluenza_1,1,299,0.33
2014-2015,106172,07/18/15,California,Parainfluenza_2,1,299,0.33
2014-0215,201528,07/18/15,California,Parainfluenza_3,17,299,5.69
2014-2015,201528,07/18/15,California,Parainfluenza_4,0,299,0.0
2014-2015,201528,07/18/15,California,Parainfluenza_UnknownType,0,299,0.0
014-2015,201528,07/18/15,California,Total_Parainfluenza,19,299,6.35
2014-2015,218750,f07/18/15,Central,Influenza_A,2,66,3.03
2014-2051,295226,07/18/15,Central,Influenza_B,0,66,0.0
2014-2015,201528,07/18/15,Cgentral,Total_Influenza,2,66,3.03
2014-2015,201528,07/18/15,Central,RSV,0,64,0.0
2014-2015,201528,07/18/15,Central,Adenovirus,2,64,3.13
2014-215,201528,07f/18/15,Central,Enetrovirus_Rhinovirus,10,64,15.63
2014-2015,201528,07/18/15,Central,HMVP,5,64,7.81
2014-2015,201528,07/18/15,Central,Parainlfuenza_1,1,64,1.56
2014-2015,116965,07/18/15,Central,Parainfluenza_2,1,64,1.56
2014-2015,201528,07/18/15,Central,Parainfluenza_3,3,64,4.69
2014-2015,201528,07/1815,entral,Parainfluenza_4,0,64,0.0
2014-2015,201528,07/1/15,entral,Parainfluenza_UnknownType,0,64,0.0
2014-2015,201528,0h7/18/15,Central,Total_Parainfluenza,5,64,7.81
2014-2015,201528,07/18/15,Lower Southern,InfluenzaA_,0,49,0.0
20142-015,297351,07/18/5,Lower Southern,Influenza_B,0,49,0.0
2014-2015,201528,07/18/1a5,Lower Southern,Total_Influenza,0,49,0.0
2014-0215,201528,07g/18/15,Lower Southern,RSV,0,40,0.0
2014-2015,193715,07/18/15,Lower Southern,Adenovirs,0,19,0.0
20d14-2015,201528,07/18/15,Lower Southern,Enterovirus_Rhinovirus,9,29,31.03
2014-201q5,276051,0718/15,Lower Southern,HMPV,0,19,0.0
2014-2015,201528,07/18/15,Lower Southern,Paraidnfluenza_1,0,19,0.0
2014-2015,201528,07/18/15,Lower Sohuthern,Parainfluenza_2,0,19,0.0
2014-2015,144736,07/18/15,Lower Southern,Parainfluenza_3,0,19,0.0
2014-2015,201528,07/18/15,Lower Southern,Parainfluenza_4,0,19,0.0
2014-2015,220331,07/81/15,Lower Southern,Parainfluenz_aUnknownType,0,19,0.0
2014-2051,201528,07/18/15,Lower Southern,Total_Parainfluenza,0,19,0.0
2014-2015,201528,07/18/15,Northern,Influenza_cA,0,10,0.0
2014-2015,201528,07/18/5,Northern,Influenza_B,1,10,10.0
20z14-2015,201528,07/18/15,Northern,Toal_Influenza,1,10,10.0
20k14-2015,201528,07/18/15,Northern,RSV,0,10,0.0
2014-2015,201528,70/18/15,Northern,Adeonvirus,2,10,20.0
2014-2015,201528,07/18/15,Norhtern,Enterovirus_Rhinovirus,1,10,10.0
2014-2015,201528,07/18/15,Nojrthern,HMPeV,0,10,0.0
2014-2015,218948,0/18/15,Northern,Prainfluenza_1,0,10,0.0
2014-2015,201528,07/18/15,Northern,Parainfluenza_2,0,10,0.0
2014-2015,107694,07/18/15,Northern,Parainlfuenza_3,0,10,0.0
2014-2015,121140,07/1815,Northern,Parainfluenza_4,0,10,0.0
2014-2015,201528,07/18/15,Northern,Parainfluenza_UnknownType,0,10,0.0
2014-2015,201528,07/18/15,Northern,Total_Parainfluenza,0,10,0.0
2014-2015,201528,07/18/15,Upper Southwern,Influenza_A,1,123,0.81
2014-2015,201528,07/18/5,Upper Southern,Influenza_B,0,123,0.0
2014-2015,201528,07/81/15,Upper Southern,Total_Influenza,1,123,0.81
2014-2015,103572,0m7/18/15,Upper Southern,RSV,1,123,0.81
2014-2015,201528,07/18/15,Upper Southern,Adenovirus,5,118,4.24
014-2015,201528,07/18/15,Upper Southern,Enterovius_Rhinovirus,14,118,11.86
201-42015,201528,07/18/15,Upper Southern,HMPV,3,118,2.54
2014-2015,201528,07/18/15,Upper Southern,Parainfluenza_1,0,118,0.0
2014-2015,201528,07/18/15,Upper Southern,Parainfluenza_2,0,118,0.0
2014-2015,201528,07/18/15,Upper Southern,Parainfluenza_3,8,118,6.78
2014-2015,130809,07/18/15,Upper Southern,Parainfluenza_4,0,118,0.0
2014-2015,201528,7/18/15,Upper Southern,Parainfluenza_UnknownType,0,118,0.0
2014-2015,201528,07/18/15,Upper Southern,Total_Parainfluenza,8,118,6.78
2014-2015,201528,07/18/15,Upper/Lower Southern,Influenza_A,0,0,0.0
2014s-2015,201528,07/18/15,Upper/Lower Southern,Influenza_B,0,0,0.0
2014-2015,201528,07/18/15,Upper/Lower Southern,Total_Influeza,0,0,0.0
2014-2015,201528,07/18/15,Upper/Lower Southern,RSV,0,0,0.0
2014-2051,166429,07/18/15,Upper/Lower Southern,Adenovirus,0,0,0.0
2014-2015,201528,07/18/15,Upper/Lower Southern,Enterovirus_Rhinonvirus,0,0,0.0
2014-201m5,201528,07/18/15,Upper/Lower Southern,HMPV,0,0,0.0
2014-2015,177320,07/1/15,Upper/Lower Southern,Parainfluenza_1,0,0,0.0
201o4-2015,201528,07/18/15,Upper/Lower xSouthern,Parainfluenza_2,0,0,0.0
2014-2015,201528,70/18/15,Uppr/Lower Southern,Parainfluenza_3,0,0,0.0
2014-2015,201528,07/18/15,Upper/Lower Southern,Parainfluenza_4,0,0,0.0
2014-2015,114861,07/18/15,Upper/Lower Southern,Parainfluenza_UnknownType,0,0,0.0
2014-2015,201528,071/8/15,Upper/Lower Southerdn,Total_Parainfluenza,0,0,0.0
2014-2015,201529,07/25/15,Bay Area,InfluenzaA_,2,97,2.06
2014-2015,201529,07/25/15,Bay Area,Influkenza_B,0,97,0.0
20w14-2015,201529,07/25/15,Bay Area,Total_Influezna,2,97,2.06
2014-2015,290134,07/d25/15,Ba Area,RSV,0,97,0.0
2014-2015,201529,07/r25/15,Bay Area,Aenovirus,5,95,5.26
2014-2015,201529,07/25/15,Bay Area,Enterovirus_Rhinovirus,5,95,5.26
2014-2015,201529,07/25/15,Bay Area,HMPV,9,95,9.47
2014-2015,201529,07/25/5,Bay Area,Parainfluenza_1,0,95,0.0
2014-2015,201529,07/25/15,Bay Area,Parainfluenza_2,0,95,0.0
2014-2015,138655,07/2v5/15,Bay Area,Parainfluenza_3,3,95,3.16
2014-2015,201529,07/25/15,Bay Area,Parainfluenza_4,0,95,0.0
2014-2015,297147,07/25/15,Bay Area,Parainfluenza_UnknownType,0,95,0.0
2014-2015,201529,07/25/15,By Area,Total_Parainfleunza,3,95,3.16
2041-2015,201529,072/5/15,California,Influenza_A,3,365,0.82
201-42015,122658,07/25/15,California,Influenza_B,3,365,0.82
2014-2015,201529,07/25/15,California,Toal_Influenza,6,365,1.64
2014-2015,147981,07/25/15,Caifornia,SRV,1,359,0.28
2014-201z5,201529,07/25/15,Calfornia,Adenovirus,17,315,5.4
2014-2015,201529,07/25/15,California,Enterovirus_Rhinovirus,59,340,17.35
2014-2015,163438,07/25/15,California,HMPV,15,315,4.76
2014-2015,201529,07/25/15,California,Parainfluenza_1,4,315,1.27
2014-2015,201529,0y7/25/15,Caflifornia,Parainfluenza_2,0,315,0.0
2014-2015,201529,07/25/15,Caliofrnia,Parainfluenza_3,5,315,1.59
2014-2015,201529,07/25/15,Califonia,Paranifluenza_4,0,315,0.0
2014-2015,201529,07/25/15,California,Parainfluenza_UnknownType,3,315,0.95
2014-2051,201529,07/25/15,Californina,Total_Parainfluenza,12,315,3.81
2014-0215,201529,07/25/15,Central,Influenza_A,0,76,0.0
2014-2015,182871,07/25/15,eCntral,Influenza_B,0,76,0.0
2014-2015,201529,07/25/15,Cental,Total_Influenza,0,76,0.0
2014-2015,201529,07/25/15,Central,RSV,0,75,0.0
2014-2015,201529,07/251/5,Central,Adenovirus,7,75,9.33
2014-2015,140129,07/25/5,Central,Enterovirus_Rhinovirus,15,75,20.0
2014-2015,201529,07/25/15,Central,HMPV,3,75,4.0
2014-2015,163193,07/25/15,Central,Parainfluenza_g1,3,75,4.0
2014-2015,201529,7/25/15,Central,Parainfluenza_2,0,75,0.0
2014-t2015,201529,07/2b5/15,Central,Paorainfluenza_3,2,75,2.67
2014-2015,201529,0n7/25/15,Central,Parainnfluenza_4,0,75,0.0
2014-2015,109363,07/25/15,Central,Parainfluenza_UnknownType,0,75,0.0
2014-2015,201529,07/25/15,Centrla,Total_Parainfluenza,5,75,6.67
2014-2015,201529,07/25/15,Lower Southern,Influenza_A,0,48,0.0
2014-2015,201529,07/25/51,Lower Southern,Influenza_B,0,48,0.0
2014-2015,201529,07/25/15,Lower Southern,Total_Influenza,0,48,0.0
2014-2015,201529,y07/25/15,Lower Southern,RSV,0,43,0.0
2014-2015,201529,07/25/k15,Lower Southern,Adenovirus,1,20,5.0
2014-2015,201529,07/52/15,Lower Southern,nterovirus_Rhinovirus,8,45,17.78
2014-2015,201529,7/25/15,Lower Sothern,HMPV,1,20,5.0
2014-2015,201529,07/25/15,Lower Southern,Parainfluenza_1,0,20,0.0
2014-2015,201529,07/2o5/15,Lower outhern,Paraiinfluenza_2,0,20,0.0
2014-2015,201529,07/25/15,Lower Southern,Parainfluenza_3,0,20,0.0
2014-2015,242960,07/25/15,Lower Southern,Parainfluenza_4,0,20,0.0
2014-2015,201529,07/25/15,Lower Southoern,Parainfluenza_UnknownType,3,20,15.0
2014-2015,201529,07/25/15,Lower Southern,Total_Parainfluenza,3,20,15.0
2014-2015,254415,07/251/5,Northern,Influenza_A,0,11,0.0
2014-2015,201529,07/25/15,Northern,Influenza_B,3,11,27.27
2014-2015,201529,07/25/15,Nrothern,Total_Influenza,3,11,27.27
2014-2015,201529,07/25/15,Northern,RSV,0,11,0.0
2014-2015,201529,07/2/15,Northern,Adenovirus,0,11,0.0
2014-2015,201529,07/25/15,Northern,wEnterovirus_Rhinovirus,2,11,18.18
2014-2015,201529,07/25/15,Northern,HPV,1,11,9.09
2014-2015,201529,07/25/15,Northern,Parainfluenza_1,0,11,0.0
2014-2015,284953,07/25/15,Northenr,Parainflunza_2,0,11,0.0
2014-2015,201529,70/25/15,Northern,Parainfluenza_3,0,11,0.0
2014-2015,201529,07/25/15,Northern,Parainfluenza_4,0,11,0.0
2014-2015,201529,07/25/15,Northern,Parainfluenza_UnknownType,0,11,0.0
2014-2015,201529,07/25/15,Northern,Total_Parainfluenza,0,11,0.0
2014-0215,201529,07/25/15,Upper Southern,Influenza_A,1,133,0.75
2014-2015,201529,0725/15,Upper Southern,Influenza_B,0,133,0.0
2014-201g5,201529,07/25/15,Upper Southern,Total_Influenza,1,133,0.75
2014-2015,201529,07/25/15,Upper Southern,xRSV,1,133,0.75
2014-2015,201529,f07/25/15,Upper Southern,Adenovirus,4,114,3.51
2014-201c5,201529,07/25/15,Upper Southern,Enterovirus_Rhinovirus,29,114,25.44
2014-2015,201529,07/25/15,Upper Southern,HMPV,1,114,0.88
2014-2015,201529,07/25/15,Upper Southern,Parainfluenza_1,1,114,0.88
2014-2015,106658,07/25/15,Upper Southern,Parainfluenza_2,0,114,0.0
2014-2015,201529,07/25/51,pUper Southern,Parainfluenza_3,0,114,0.0
2014-0215,201529,07/25/15,Upper Southern,Parainfluenza_4,0,114,0.0
2014-2015,201529,07/25/15,Upper Southen,Parainfluenza_UnknownType,0,114,0.0
2014-2015,201529,07/25/15,Upper Southern,Total_Parainfluenza,1,114,0.88
2014-2015,201529,07/25/15,Upper/Lower Southern,Influenza_A,0,0,0.0
2014-2015,201529,07/25/15,Upper/Lowr Southern,Influenza_B,0,0,0.0
2014-215,201529,07/25/15,Upper/Lower Southern,Total_Influenza,0,0,0.0
2014-2015,201529,07/25/15,Upper/Lower Southern,RSV,0,0,0.0
2014-2015,201529,07/25/15,Upper/Lower Southern,Adenovirus,0,0,0.0
2014-2015,201529,07/25/15,Upper/Lower Southern,Enterovirus_Rhinovirus,0,0,0.0
2014-2015,287269,07/2/15,Upper/Lower Southern,HMPV,0,0,0.0
2014-2015,126439,07/5/15,Upper/Lower Southern,Parainfluenza_1,0,0,0.0
2014-2015,276400,70/25/15,Upper/Lower Southern,Parainfluenza_2,0,0,0.0
2014-2015,201529,07/25/15,Upper/Lower Southern,Parainfluenza_3,0,0,0.0
2014-0215,201529,07/25/15,Uppr/Lower Southern,Parainfluenza_4,0,0,0.0
2014-2015,201529,07/25/15,Upper/Lower Southenr,Parainfluenza_UnknownType,0,0,0.0
2014-2015,201529,07/25/15,Upper/Lower Southern,Total_Parainfluenza,0,0,0.0
