AGENCY CODE,STATE AGENCY,PROPERTY CLASSIFICATION,TYPE OF PROPERTY,NAME OF BUILDING,PHYSICAL ADDRESS,COUNTY,YEAR PROPERTY ACQUIRED,PURPOSE- BUILDING,SECTIONTOWNSHIPRANGE,SIZE OF STRUCTURE AND/OR ACRES,LIST VALUE,% OF PROPERTY BEING UTILIZED,YEAR BUILT,OCCUPANCY RATE OF THE BUILDING,VACANT SQUARE FOOTAGE,STATE EMPLOYEES AT THIS BUILDING,% OCCUPIED BY THE STATE,ADDITIONAL DESCRIPTION OF % OCCUPIED BY THE STATE,% OF THE BUILDING BEING LEASED OR SUBLEASED,ADDITIONAL DESCRIPTION % BUILDING LEASED OR SUBLEASED,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY- BUILDING",ACRES,ACRES USED BY STATE,ADDITIONAL DESCRIPTION OF ACRES ,PURPOSE- LAND,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY- LAND",% OF ACRES OF THE LAND BEING LEASED OR SUBLEASED,LISTED ON THE NATIONAL REGISTER OF HISTORIC PLACES,LISTED WITH THE NATIONAL TRUST FOR  HISTORIC PRESERVATION,PROPERTY IS OF POTENTIAL HISTORIC SIGNIFICANCE,Location 1
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPITAL - BLDG 8,24800 S. 4420 ROAD,CRAIG,1945,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","38,238 SF",,0,1945,0,,0,0,,,,,,,,,,,,,,"24800 S. 4420 ROAD
VINITA, OK
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - ADAMS HALL,24800 S. 4420 ROAD,CRAIG,1951,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","51,445 SF",,0,1951,0,,0,0,,,,,,,,,,,,,,"24800 S. 4420 ROAD
VINITA, OK
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - BLDG 9,24800 S. 4420 ROAD,CRAIG,1952,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","40,078 SF",,0,1952,0,,0,0,,,,,,,,,,,,,,"24800 S. 4420 ROAD
VINITA, OK
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - BLDG 10,24800 S. 4420 ROAD,CRAIG,1943,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","58,775 SF",,0,1943,0,,0,0,,,,,,,,,,,,,,"24800 S. 4420 ROAD
VINITA, OK
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - CENTRAL KITCHEN,24800 S. 4420 ROAD,CRAIG,1955,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","39,407 SF",,0,1955,0,,0,0,,,,,,,,,,,,,,"24800 S. 4420 ROAD
VINITA, OK
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - LAUNDRY,24800 S. 4420 ROAD,CRAIG,1935,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","13,142 SF",,0,1935,0,,,0,,,,,,,,,,,,,,"24800 S. 4420 ROAD
VINITA, OK
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - MAINTENANCE STOREROOM,24800 S. 4420 ROAD,CRAIG,1925,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","5,000 SF",,0,1925,0,,,0,,,,,,,,,,,,,,"24800 S. 4420 ROAD
VINITA, OK
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - ADMINISTRATION,24800 S. 4420 ROAD,CRAIG,1949,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","17,594 SF",,0,1949,0,,,0,,,,,,,,,,,,,,"24800 S. 4420 ROAD
VINITA, OK
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - BLDG 12,24800 S. 4420 ROAD,CRAIG,1951,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","22,366 SF",,0,1951,0,,,,,,,,,,,,,,,,,"24800 S. 4420 ROAD
VINITA, OK
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - COTTAGE 2,24800 S. 4420 ROAD,CRAIG,1923,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","2,271 SF",,0,1923,0,,0,,,,,,,,,,,,,,,"24800 S. 4420 ROAD
VINITA, OK
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - COTTAGE 3,24800 S. 4420 ROAD,CRAIG,1937,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","2,520 SF",,0,1937,0,,0,,,,,,,,,,,,,,,"24800 S. 4420 ROAD
VINITA, OK
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - COTTAGE 4,24800 S. 4420 ROAD,CRAIG,1925,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","2,271 SF",,0,1925,0,,0,,,,,,,,,,,,,,,"24800 S. 4420 ROAD
VINITA, OK
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - COTTAGE 5,24800 S. 4420 ROAD,CRAIG,1926,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","2,264 SF",,0,1926,0,,0,,,,,,,,,,,,,,,"24800 S. 4420 ROAD
VINITA, OK
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - COTTAGE 6,24800 S. 4420 ROAD,CRAIG,1933,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","3,729 SF",,0,1933,0,,0,,,,,,,,,,,,,,,"24800 S. 4420 ROAD
VINITA, OK
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - OCCUPATIONAL THERAPY,24800 S. 4420 ROAD,CRAIG,1952,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","10,110 SF",,0,1952,0,,0,,,,,,,,,,,,,,,"24800 S. 4420 ROAD
VINITA, OK
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - MAINTENANCE OFFICE,24800 S. 4420 ROAD,CRAIG,1938,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","6,400 SF",,0,1938,100,,0,,,,,,,,,,,,,,,"24800 S. 4420 ROAD
VINITA, OK
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,LAND,NORTHWEST CENTER FOR BEHAVORIAL HEALTH ,NO PHYSICAL ADDRESS TO MAP,WOODWARD,2010,VACANT LAND,"S/2 OF LOTS 9, 10, 11, 12, BLOCK 20, VAUGHN'S ADDITION",,,0,,,,,,,,,,0.5,0,,VACANT LAND,,,,,,"NO PHYSICAL ADDRESS TO MAP
FT. SUPPLY, OK
(36.57371290800006, -99.57131678999997)"
,MIDWESTERN OKLAHOMA DEVELOPMENT AUTHORITY,OWNED,LAND,,PIONEER WAY,WASHITA,1991,UNDEVELOPED,SECTION 11 TOWNSHIP 10N RANGE 19W,,500,0,,,,,,,,,,4.022,0,,UNDEVELOPED,,,,,,"PIONEER WAY
BURNS FLAT, OK
(35.357061688000044, -99.17675618299995)"
470,MURRAY STATE COLLEGE,OWNED,DORMITORY,POE HALL,802 S MURRAY CAMPUS,JOHNSTON,1908,VACANT,"SECTION 9
TOWNSHIP 4S
RANGE 6 E","11,976 SF","548,920.00",0,1917,0,11976,0,,,,,,,,,,,,YES,,,"802 S MURRAY CAMPUS
TISHOMINGO, OK
(34.223337376000075, -96.67654988999999)"
470,MURRAY STATE COLLEGE,OWNED,RENTAL HOUSE,HOUSE,406 S MURRAY,JOHNSTON,2013,RENTAL HOUSE,"LOTS 1,2,3, AND 4 IN BLOCK 17 MURRAY COLLEGE ADDITION","1,080 SF","28,000",0,1955,0,,0,0,,,COLLEGE IS SELLING PROPERTY,,,,,,,,,,,"406 S MURRAY
TISHOMINGO, OK
(34.22988384000007, -96.67764177499998)"
361,NATIVE AMERICAN CULTURAL AND EDUCATIONAL AUTHORITY,OWNED,WELCOME CENTER FOR FUTURE CULTURAL CENTER,AMERICAN INDIAN CULTURAL CENTER VISITOR CENTER,659 AMERICAN INDIAN BLVD,OKLAHOMA,2009,WELCOME CENTER FOR FUTURE CULTURAL CENTER,,"4,000 SF (TOTAL 214 ACRES FOR SITE)","2,974,780",0,2009,,,,0,,,,,,,,,,,,,,"659 AMERICAN INDIAN BLVD
OKLAHOMA CITY, OK
(35.472030747000076, -97.52106835299998)"
361,NATIVE AMERICAN CULTURAL AND EDUCATIONAL AUTHORITY,OWNED,CENTRAL PLANT,AMERICAN INDIAN CULTURAL CENTER ,659 AMERICAN INDIAN BLVD,OKLAHOMA,2009,CENTRAL PLANT,,"6,581 SF  (TOTAL 214 ACRES FOR SITE)",,0,2009,,,,0,,,,,,,,,,,,,,"659 AMERICAN INDIAN BLVD
OKLAHOMA CITY, OK
(35.472030747000076, -97.52106835299998)"
361,NATIVE AMERICAN CULTURAL AND EDUCATIONAL AUTHORITY,OWNED,GALLERY BUILDING,AMERICAN INDIAN CULTURAL CENTER ,659 AMERICAN INDIAN BLVD,OKLAHOMA,2009,GALLERY BUILDING (POTENTIAL UPCOMING CONSTRUCTION),,"94,300 SF  (TOTAL 214 ACRES FOR SITE)",,0,2009,,,,0,,,,,,,,,,,,,,"659 AMERICAN INDIAN BLVD
OKLAHOMA CITY, OK
(35.472030747000076, -97.52106835299998)"
361,NATIVE AMERICAN CULTURAL AND EDUCATIONAL AUTHORITY,OWNED,EAST WING BUILDING,AMERICAN INDIAN CULTURAL CENTER ,659 AMERICAN INDIAN BLVD,OKLAHOMA,2009,EAST WING (POTENTIAL UPCOMING CONSTRUCTION),,"35,286 SF (TOTAL 214 ACRES FOR SITE)",,0,2009,,,,0,,,,,,,,,,,,,,"659 AMERICAN INDIAN BLVD
OKLAHOMA CITY, OK
(35.472030747000076, -97.52106835299998)"
361,NATIVE AMERICAN CULTURAL AND EDUCATIONAL AUTHORITY,OWNED,MULTIPURPOSE PERFORMANCE BUILDING,AMERICAN INDIAN CULTURAL CENTER ,659 AMERICAN INDIAN BLVD,OKLAHOMA,2009,MULTIPURPOSE PERFORMANCE BUILDING (POTENTIAL UPCOMING CONSTRUCTION),,"7,829 SF  (TOTAL 214 ACRES FOR SITE)",,0,2009,,,,0,,,,,,,,,,,,,,"659 AMERICAN INDIAN BLVD
OKLAHOMA CITY, OK
(35.472030747000076, -97.52106835299998)"
480,NORTHEASTERN OKLAHOMA A&M COLLEGE,OWNED,EDUCATION BUILDING,CINCH FACTORY,820 N. WILSON,CRAIG,2013,,15-25N-20E,"87,252 SQ. FT.","5,100,000.00",0,1975,0,87252,0,0,,,,DAILY,,,,,,,,,,"820 N. WILSON
VINITA, OK
(36.65200815600008, -95.14675285199996)"
485,NORTHEASTERN STATE UNIVERSITY,OWNED,DORMITORY,WILSON HALL,703 N GRAND,CHEROKEE,1909,DORMITORY,"SECTION 28
TOWNSHIP 17N
RANGE 22 E","59,252 SF","6,636,224",0,1937,0,,2,100,,,,DAILY,,,,,,,,,,"703 N GRAND
TAHLEQUAH, OK
(35.921643811000024, -94.96679083899994)"
485,NORTHEASTERN STATE UNIVERSITY,OWNED,RESIDENTIAL,ROSAMUND HOUSE,529 SEMINARY,CHEROKEE,1984,VACANT RESIDENTIAL,"SECTION 28
TOWNSHIP 17N
RANGE 22E","3,000 SF","318,000",0,1887,0,,  ,0,,,,,,,,,,,,,,"529 SEMINARY
TAHLEQUAH, OK
(35.91901694400008, -94.97053388499995)"
485,NORTHEASTERN STATE UNIVERSITY,OWNED,OFFICE BUILDING,OFFICE BUILDING,305 N MUSKOGEE,CHEROKEE,1991,OFFICE SPACE,"SECTION 28
TOWNSHIP 17N
RANGE 22E",600 SF,"33,000",0,1930,0,,  ,0,,,,,,,,,,,,,,"305 N MUSKOGEE
TAHLEQUAH, OK
(35.91565770400007, -94.96989049899997)"
485,NORTHEASTERN STATE UNIVERSITY,OWNED,OFFICE BUILDING,OFFICE BUILDING,307 N MUSKOGEE,CHEROKEE,1991,OFFICE SPACE,"SECTION 28
TOWNSHIP 17N
RANGE 22E",700 SF,"38,500",0,1930,0,,  ,0,,,,,,,,,,,,,,"307 N MUSKOGEE
TAHLEQUAH, OK
(35.915679399000055, -94.96988027599997)"
485,NORTHEASTERN STATE UNIVERSITY,OWNED,OFFICE BUILDING,OFFICE BUILDING,309 N MUSKOGEE,CHEROKEE,1991,OFFICE SPACE,"SECTION 28
TOWNSHIP 17N
RANGE 22E","1,500 SF","82,500",0,1930,0,,  ,0,,,,,,,,,,,,,,"309 N MUSKOGEE
TAHLEQUAH, OK
(35.91570109400004, -94.96987005199998)"
485,NORTHEASTERN STATE UNIVERSITY,OWNED,RESIDENTIAL,ZOE DAVIS HOUSE,314 GOINGSNAKE,CHEROKEE,1995,VACANT RESIDENTIAL,"SECTION 28
TOWNSHIP 17N
RANGE 22E","2,211 SF","110,550",0,1930,0,,  ,0,,,,,,,,,,,,,,"314 GOINGSNAKE
TAHLEQUAH, OK
(35.917475687000035, -94.96579278799999)"
485,NORTHEASTERN STATE UNIVERSITY,OWNED,OFFICE BUILDING,SPRING STREET PROPERTY,113 SPRING STREET,CHEROKEE,2013,OFFICE SPACE,"SEC 28, T17N, R22E","10,700 SF",138000,0,1958,0,,,0,,,,,,,,,,,,,,"113 SPRING STREET
TAHLEQUAH, OK
(35.91751388400007, -94.96914386299994)"
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #1,,629 NE 28TH,OKLAHOMA,2010,LAND BEHIND BANKING BUILDING,"SECTION 22, 12N, 3W",.1492 ACRES,"25,997",0,,,,,,,,,,0.1492,,,LAND FOR BANKING BUILDING,,,,,,"629 NE 28TH
OKLAHOMA CITY, OK
(35.498678365000046, -97.50189077399995)"
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #2,,3000 LINCOLN ,OKLAHOMA,2010,LINCOLN RENAISSANCE  ,"SECTION 22, T12N, 3W",1.3618  (5 PARCELS) ,"237,280",0,,,,,,,,,,1.3618,,5 PARCELS ,LINCOLN RENAISSANCE,,,,,,"3000 LINCOLN
OKLAHOMA CITY, OK
(35.52055480200005, -97.47618449299995)"
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #3,,NE 30TH AND N LINCOLN BLVD,OKLAHOMA,2001,VACANT LAND,"SECTION  22
TOWNSHIP  12N
RANGE  3W",5.8816 (8 PARCELS),"1,024,808",0,,,,,,,,,,5.879,,8 PARCELS,LINCOLN RENAISSANCE,,,,,,"NE 30TH AND N LINCOLN BLVD
OKLAHOMA CITY, OK
(35.500462732000074, -97.50340870999997)"
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #4,,3312 N LINCOLN,OKLAHOMA,2000,VACANT LAND,"SECTION 22, T12N, 3W",1.673 (2 PARCELS),"291,504",0,,,,,,,,,,1.673,,2 PARCELS,LINCOLN RENAISSANCE,,,,,,"3312 N LINCOLN
OKLAHOMA CITY, OK
(35.502630692000025, -97.50313639099994)"
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #5,,EUBANKS AND LINCOLN,OKLAHOMA,2001,VACANT LAND,"SECTION 22, T12N, 3W",0.2074 ACRES,"36,136",0,,,,,,,,,,0.2074,,,LINCOLN RENAISSANCE,,,,,,"EUBANKS AND LINCOLN
OKLAHOMA CITY, OK
(35.472030747000076, -97.52106835299998)"
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #6,,3748 N LINCOLN,OKLAHOMA,2000,VACANT LAND,"SECTION 15, T12N, 3W",7.92 (2 PARCELS),"1,379,980",0,,,,,,,,,,7.92,,2 PARCELS,LINCOLN RENAISSANCE,,,,,,"3748 N LINCOLN
OKLAHOMA CITY, OK
(35.50869054200007, -97.50309721299999)"
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #7,,NE 28 & STYLES,OKLAHOMA,2008,VACANT LAND,"SECTION 22, T12N, 3W",0.4695 ACRES,"81,804",0,,,,,,,,,,0.4695,,,LINCOLN RENAISSANCE,,,,,,"NE 28 &amp; STYLES
OKLAHOMA CITY, OK
(35.472030747000076, -97.52106835299998)"
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #8,,3701 N LINCOLN,OKLAHOMA,2000,VACANT LAND,"SECTION 15, T12N, 3W",1.1697 (5 PARCELS),"203,808",0,,,,,,,,,,1.1697,,5 PARCELS,LINCOLN RENAISSANCE,,,,,,"3701 N LINCOLN
OKLAHOMA CITY, OK
(35.50805102500004, -97.50339450199999)"
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #9,,3821 N LINCOLN,OKLAHOMA,2000,VACANT LAND,"SECTION 15, T12N, 3W",4.026 (14 PARCELS),"701,488",0,,,,,,,,,,4.026,,14 PARCELS,LINCOLN RENAISSANCE,,,,,,"3821 N LINCOLN
OKLAHOMA CITY, OK
(35.509371540000075, -97.50338413099996)"
105,OCIA,OWNED,,,201 N 13TH STREET,KINGFISHER,2012,LAND,"SECTION 15, T16N, 7WIM",1.85,"277,680",0,,,,,0,,,,,1.85,,,LAND,,,,,,"201 N 13TH STREET
KINGFISHER, OK
(35.86208449800006, -97.94151505199994)"
105,OCIA,OWNED,,,518 WEST BROADWAY,KINGFISHER,2012,LAND,"SECTION 15, T16N, 7WIM",0.4,"80,475",0,,,,,0,,,,,0.4,,,LAND,,,,,,"518 WEST BROADWAY
KINGFISHER, OK
(35.860908524000024, -97.93853068399994)"
105,OCIA,OWNED,,,619 N MAIN STREET,KINGFISHER,2012,LAND,"SECTION 15, T16N, 7WIM",0.5,"$136,250.00",0,,,,,0,,,,,0.5,,,LAND,,,,,,"619 N MAIN STREET
KINGFISHER, OK
(35.86685084100003, -97.93265635099999)"
105,OCIA,OWNED,,,510 N MAIN STREET,KINGFISHER,2012,LAND,"SECTION 15, T16N, 7WIM",0.3,"$90,000.00",0,,,,,0,,,,,0.3,,,LAND,,,,,,"510 N MAIN STREET
KINGFISHER, OK
(35.86595090900005, -97.93271396499995)"
105,OCIA,OWNED,,,114 EAST SKYES,KINGFISHER,2012,LAND,"SECTION 15, T16N, 7WIM",0.16,"$66,500.00",0,,,,,0,,,,,0.16,,,LAND,,,,,,"114 EAST SKYES
KINGFISHER, OK
(35.86037097500008, -97.93266871599997)"
105,OCIA,OWNED,,,305 N 12TH ,KINGFISHER,2012,LAND,"SECTION 15, T16N, 7WIM",0.48,"$43,000.00",0,,,,,0,,,,,0.48,,,LAND,,,,,,"305 N 12TH
KINGFISHER, OK
(35.861432164000064, -97.94035171399997)"
105,OCIA,OWNED,,,418 N MAIN STREET,KINGFISHER,2012,LAND,"SECTION 15, T16N, 7WIM",0.08,"$54,000.00",0,,,,,0,,,,,0.08,,,LAND,,,,,,"418 N MAIN STREET
KINGFISHER, OK
(35.86489081000008, -97.93271396499995)"
105,OCIA,OWNED,,,420 N MAIN STREET,KINGFISHER,2012,LAND,"SECTION 15, T16N, 7WIM",0.3,"$124,500.00",0,,,,,0,,,,,0.3,,,LAND,,,,,,"420 N MAIN STREET
KINGFISHER, OK
(35.864991058000044, -97.93271396499995)"
105,OCIA,OWNED,,,624 W. BROADWAY AVENUE,KINGFISHER,2012,LAND,"SECTION 15, T16N, 7WIM",0.48,"$77,000.00",0,,,,,0,,,,,0.48,,,LAND,,,,,,"624 W. BROADWAY AVENUE
KINGFISHER, OK
(35.86093848300004, -97.93999062499995)"
105,OCIA,OWNED,,,505 N MAIN,KINGFISHER,2012,LAND,"SECTION 15, T16N, 7WIM",0.32,"$113,000.00",0,,,,,0,,,,,0.32,,,LAND,,,,,,"505 N MAIN
KINGFISHER, OK
(35.865410489000055, -97.93264713299999)"
105,OCIA,OWNED,,,600 N 5TH STREET,KINGFISHER,2012,LAND,"SECTION 15, T16N, 7WIM",0.32,"$60,000.00",0,,,,,0,,,,,0.32,,,LAND,,,,,,"600 N 5TH STREET
KINGFISHER, OK
(35.866313740000066, -97.93010118699999)"
105,OCIA,OWNED,,,320 W. ROBERTS AVENUE,KINGFISHER,2013,LAND,"SECTION 15, T16N, 7WIM",,"$44,000.00",0,,,,,0,,,,,,,,LAND,,,,,,"320 W. ROBERTS AVENUE
KINGFISHER, OK
(35.86412799900006, -97.93578133899996)"
105,OCIA,OWNED,,,202 N 10TH STREET,KINGFISHER,2013,LAND,"SECTION 15, T16N, 7WIM",,"$54,000.00",0,,,,,0,,,,,,,,LAND,,,,,,"202 N 10TH STREET
KINGFISHER, OK
(35.862180643000045, -97.93784392399999)"
105,OCIA,OWNED,,,323 N 13TH STREET,KINGFISHER,2013,LAND,"SECTION 15, T16N, 7WIM",,"$180,000.00",0,,,,,0,,,,,,,,LAND,,,,,,"323 N 13TH STREET
KINGFISHER, OK
(35.863297990000035, -97.94152313299998)"
105,OCIA,OWNED,,,203 S 13TH STREET,KINGFISHER,2013,LAND,"SECTION 15, T16N, 7WIM",,"$89,600.00",0,,,,,0,,,,,,,,LAND,,,,,,"203 S 13TH STREET
KINGFISHER, OK
(35.85952002400006, -97.94151624599999)"
105,OCIA,OWNED,,,423 W. SHERIDAN,KINGFISHER,2013,LAND,"SECTION 15, T16N, 7WIM",,"$53,000.00",0,,,,,0,,,,,,,,LAND,,,,,,"423 W. SHERIDAN
KINGFISHER, OK
(35.85980348600003, -97.93753050299995)"
105,OCIA,OWNED,,,519 W BROADWAY AVENUE,KINGFISHER,2013,LAND,"SECTION 15, T16N, 7WIM",,"$72,100.00",0,,,,,0,,,,,,,,LAND,,,,,,"519 W BROADWAY AVENUE
KINGFISHER, OK
(35.86084284400005, -97.93881990599999)"
105,OCIA,OWNED,,,320 C. AVENUE,KINGFISHER,2013,LAND,"SECTION 15, T16N, 7WIM",,"$33,100.00",0,,,,,0,,,,,,,,LAND,,,,,,"320 C. AVENUE
KINGFISHER, OK
(35.867248379000046, -97.92922024699999)"
105,OCIA,OWNED,,,202 S. 10TH STREET,KINGFISHER,2013,LAND,"SECTION 15, T16N, 7WIM",,"$37,700.00",0,,,,,0,,,,,,,,,,,,,,"202 S. 10TH STREET
KINGFISHER, OK
(35.85962949100008, -97.93784392399999)"
105,OCIA,OWNED,,,524 W BROADWAY,KINGFISHER,2013,LAND,"SECTION 15, T16N, 7WIM",,"$80,475.00",0,,,,,0,,,,,,,,,,,,,,"524 W BROADWAY
KINGFISHER, OK
(35.86089815300005, -97.93886138899995)"
105,OCIA,OWNED,,,502 N MAIN,KINGFISHER,2013,LAND,"SECTION 15, T16N, 7WIM",,"$82,000.00",0,,,,,0,,,,,,,,,,,,,,"502 N MAIN
KINGFISHER, OK
(35.865290652000056, -97.93271396499995)"
105,OCIA,OWNED,,,416 N MAIN,KINGFISHER,2013,LAND,"SECTION 15, T16N, 7WIM",,"$217,300.00",0,,,,,0,,,,,,,,,,,,,,"416 N MAIN
KINGFISHER, OK
(35.86480093200004, -97.93271396499995)"
105,OCIA,OWNED,,,402 W. BROADWAY,KINGFISHER,2013,LAND,"SECTION 15, T16N, 7WIM",,"$28,130.00",0,,,,,0,,,,,,,,,,,,,,"402 W. BROADWAY
KINGFISHER, OK
(35.86091774200003, -97.93748095499996)"
105,OCIA,OWNED,,,124 N 9TH STREET,KINGFISHER,2013,LAND,"SECTION 15, T16N, 7WIM",,"$69,950.00",0,,,,,0,,,,,,,,,,,,,,"124 N 9TH STREET
KINGFISHER, OK
(35.860020115000054, -97.93656489099999)"
105,OCIA,OWNED,,,421 N 9TH STREET,KINGFISHER,2013,LAND,"SECTION 15, T16N, 7WIM",,"$85,000.00",0,,,,,0,,,,,,,,,,,,,,"421 N 9TH STREET
KINGFISHER, OK
(35.865039454000055, -97.93645657599996)"
105,OCIA,OWNED,,,202 W ROBERTS AVENUE,KINGFISHER,2013,LAND,"SECTION 15, T16N, 7WIM",,"$158,000.00",0,,,,,0,,,,,,,,,,,,,,"202 W ROBERTS AVENUE
KINGFISHER, OK
(35.86414758800004, -97.93461983899994)"
105,OCIA,OWNED,,,217 S 11TH STREET ,KINGFISHER,2013,LAND,"SECTION 15, T16N, 7WIM",,"$167,300.00",0,,,,,0,,,,,,,,,,,,,,"217 S 11TH STREET
KINGFISHER, OK
(35.85929072000005, -97.93904690599999)"
105,OCIA,OWNED,,,114 S 11TH STREET,KINGFISHER,2013,LAND,"SECTION 15, T16N, 7WIM",,"$40,800.00",0,,,,,0,,,,,,,,,,,,,,"114 S 11TH STREET
KINGFISHER, OK
(35.860180282000044, -97.93911489099997)"
105,OCIA,OWNED,,,706 W DON BLANDING AVENUE,KINGFISHER,2013,LAND,"SECTION 15, T16N, 7WIM",,"$146,200.00",0,,,,,0,,,,,,,,,,,,,,"706 W DON BLANDING AVENUE
KINGFISHER, OK
(35.858797544000026, -97.94073038999994)"
105,OCIA,OWNED,,,603 N 6TH STREET,KINGFISHER,2013,LAND,"SECTION 15, T16N, 7WIM",,"$51,000.00",0,,,,,0,,,,,,,,,,,,,,"603 N 6TH STREET
KINGFISHER, OK
(35.866380710000044, -97.93132661799996)"
