County,Lender Name and ID,ZIP Code,Phone,Fax,Entity Type,Location
OKLAHOMA COUNTY,"BAY EQUITY, LLC - 236-01",73034,(405) 831-4457,,,"1325 S BRYANT, SUITE B
EDMOND, OK 73034
(35.639381193000474, -97.46051463899965)"
OKLAHOMA COUNTY,COLONIAL NATIONAL MORTGAGE - 18-1,73142,(405) 286-2091,(405) 286-2041,Branch,"4801 GAILLARDIA PARKWAY, SUITE 160
OKLAHOMA CITY, OK 73142
(35.61203874700044, -97.60719959399967)"
OKLAHOMA COUNTY,CORNERSTONE HOME LENDING - 21-01,73142,(405) 445-5445,(800) 688-6103,Branch,"4700 GAILLARDIA PARKWAY, SUITE 101
OKLAHOMA CITY, OK 73142
(35.610680157000445, -97.60782119299967)"
OKLAHOMA COUNTY,DHI MORTGAGE COMPANY - 25-01,73142,(405) 720-8344,(866) 385-0945,Branch,"5724 NW 132ND STREET
OKLAHOMA CITY, OK 73142
(35.60448318600049, -97.61897067199965)"
OKLAHOMA COUNTY,F&M BANK AND TRUST COMPANY - 29-02,73118,(405) 753-1350,(405) 753-1303,Branch,"6305 WATERFORD BOULEVARD, #470
OKLAHOMA CITY, OK 73118
(35.53561591100049, -97.54494808899966)"
OKLAHOMA COUNTY,F&M BANK AND TRUST COMPANY - 29-02,73118,(405) 753-1350,(405) 753-1303,Lender,"6305 WATERFORD BOULEVARD, #470
OKLAHOMA CITY, OK 73118
(35.53561591100049, -97.54494808899966)"
OKLAHOMA COUNTY,"FIRST AMERICAN MORTGAGE, INC - 26-02",73118,(405) 463-6737,(405) 809-1662,Branch,"5629 N CLASSEN BOULEVARD
OKLAHOMA CITY, OK 73118
(35.52837842800045, -97.53596144299968)"
OKLAHOMA COUNTY,"FIRST AMERICAN MORTGAGE, INC - 26-03",73120,(405) 613-5014,(405) 809-1587,Branch,"10900 HEFNER POINTE DRIVE, SUITE 101
OKLAHOMA CITY, OK 73120
(35.58138223900045, -97.58322458599969)"
OKLAHOMA COUNTY,FIRST COMMERCIAL BANK - 10-01,73132,(405) 844-0110,(405) 728-5425,Branch,"7308 NW EXPRESSWAY
OKLAHOMA CITY, OK 73132
(35.55983888400044, -97.64287359099967)"
OKLAHOMA COUNTY,FIRST COMMERCIAL BANK - 10-02,73134,(405) 330-9637,(405) 752-9048,Branch,"3805 W MEMORIAL ROAD
OKLAHOMA CITY, OK 73134
(35.610170542000446, -97.5885209279997)"
OKLAHOMA COUNTY,FIRST COMMERCIAL BANK - 10-03,73013,(405) 330-9638,(405) 844-0171,Branch,"1601 S KELLEY AVENUE
EDMOND, OK 73013
(35.637252928000464, -97.49601413699969)"
OKLAHOMA COUNTY,FIRST MORTGAGE COMPANY - 24-01,73116,(405) 842-8090,(405) 842-0238,Branch,"6501 N BROADWAY, SUITE 180
OKLAHOMA CITY, OK 73116
(35.54133157400048, -97.51541195199968)"
OKLAHOMA COUNTY,FIRST MORTGAGE COMPANY - 24-03,73034,(405) 562-1902,(405) 562-1900,,"201 N BRYANT, SUITE A
EDMOND, OK 73034
(35.657100983000475, -97.46050426799968)"
OKLAHOMA COUNTY,FIRST MORTGAGE COMPANY - 24-04,73102,(405) 609-1652,(405) 606-4151,Branch,"415 N BROADWAY
OKLAHOMA CITY, OK 73102
(35.47144187900045, -97.51441377299966)"
OKLAHOMA COUNTY,FIRST MORTGAGE COMPANY - 24-05,73013,(405) 285-8935,(405) 285-8936,Branch,"16301 N MAY AVENUE
EDMOND, OK 73013
(35.63535051100047, -97.56716408199969)"
OKLAHOMA COUNTY,FIRST MORTGAGE COMPANY - 24-08,73134,(405) 607-2913,(405) 607-2915,Branch,"4401 W MEMORIAL ROAD, SUITE 109
OKLAHOMA CITY, OK 73134
(35.61025842200047, -97.60236052999966)"
OKLAHOMA COUNTY,FIRST MORTGAGE COMPANY - 24-11,73003,(405) 359-8096,(405) 359-8097,Branch,"1220 S SANTA FE
EDMOND, OK 73003
(35.64075125600044, -97.51382726099968)"
OKLAHOMA COUNTY,FIRST MORTGAGE COMPANY - 24-12,73130,(405) 455-5700,(405) 455-5703,Branch,"1405 S DOUGLAS BOULEVARD, SUITE B
MIDWEST CITY, OK 73130
(35.45096007100045, -97.3708843979997)"
OKLAHOMA COUNTY,FIRST MORTGAGE COMPANY - 24-16,73110,(405) 610-1917,(405) 610-1914,Branch,"7121 E RENO AVENUE, SUITE C
MIDWEST CITY, OK 73110
(35.464117977000456, -97.40328080099965)"
OKLAHOMA COUNTY,FIRST MORTGAGE COMPANY - 24-18,73170,(405) 759-3800,(405) 759-3809,Branch,"1530 SW 119TH STREET, SUITE 103
OKLAHOMA CITY, OK 73170
(35.34877341400045, -97.54292007299966)"
OKLAHOMA COUNTY,FIRST MORTGAGE COMPANY - 24-19,73013,(405) 509-2250,(405) 509-2254,,"1362 E 15TH STREET
EDMOND, OK 73013
(35.63824842100047, -97.4615866689997)"
OKLAHOMA COUNTY,FIRST MORTGAGE COMPANY - 24-23,73034,(405) 509-6938,(405) 509-6937,Branch,"32 N BROADWAY
EDMOND, OK 73034
(35.65602705600048, -97.48109669699966)"
OKLAHOMA COUNTY,FIRST UNITED BANK & TRUST - 11-02,73139,(405) 636-0043,(405) 636-0622,Branch,"6000 S WESTERN, 2ND FLOOR
OKLAHOMA CITY, OK 73139
(35.406165039000484, -97.53016778399967)"
OKLAHOMA COUNTY,FIRST UNITED BANK & TRUST - 11-16,73142,(405) 340-2015,(877) 331-6714,,"5101 GAILLARDIA CORP PL, STE B
OKLAHOMA CITY, OK 73142
(35.60337672500049, -97.63044988999968)"
OKLAHOMA COUNTY,GATEWAY MORTGAGE GROUP - 232-01,73112,(405) 751-3800,,Branch,"2200 NW 50TH STREET, SUITE 139C
OKLAHOMA CITY, OK 73112
(35.522233310000445, -97.5499593619997)"
OKLAHOMA COUNTY,"GEORGETOWN MORTGAGE, LLC - 230-03",73134,(405) 571-0685,(405) 753-5313,Branch,"13191A QUAIL POINTE DRIVE
OKLAHOMA CITY, OK 73134
(35.61224002600045, -97.56890754199969)"
OKLAHOMA COUNTY,MIDFIRST BANK - 223-01,73122,(405) 767-7801,(405) 767-6042,Branch,"6351 N MACARTHUR BOULEVARD
OKLAHOMA CITY, OK 73122
(35.53593048400046, -97.61901445999968)"
OKLAHOMA COUNTY,MIDFIRST BANK - 223-02,73003,(405) 767-7819,(405) 767-6104,,"1200 N KELLEY AVENUE
EDMOND, OK 73003
(35.666402201000494, -97.49600722299965)"
OKLAHOMA COUNTY,MIDFIRST BANK - 223-03,73120,(405) 767-7849,(405) 767-5365,Branch,"13240 N MAY AVENUE
OKLAHOMA CITY, OK 73120
(35.60462030700046, -97.56714679799967)"
OKLAHOMA COUNTY,MIDFIRST BANK - 223-20,73170,(405) 767-7834,(405) 767-5761,Branch,"2101 SW 104TH STREET
OKLAHOMA CITY, OK 73170
(35.36333578500046, -97.54775052599967)"
OKLAHOMA COUNTY,MIDFIRST BANK - 223-23,73162,(405) 767-7808,,Branch,"11001 N ROCKWELL AVENUE
OKLAHOMA CITY, OK 73162
(35.58124050900045, -97.63850415399969)"
OKLAHOMA COUNTY,MIDFIRST BANK - 223-26,73127,(405) 767-2860,(405) 767-5562,Branch,"305 N MACARTHUR BOULEVARD, SUITE 700
OKLAHOMA CITY, OK 73127
(35.46904052400049, -97.61894416999968)"
OKLAHOMA COUNTY,MIDFIRST BANK - 223-27,73107,(405) 767-7828,(405) 767-5772,Lender,"2225 N MAY AVENUE
OKLAHOMA CITY, OK 73107
(35.49220186800045, -97.56568673799967)"
OKLAHOMA COUNTY,MIDFIRST BANK - 223-49,73013,(405) 767-6098,(405) 767-5876,Branch,"16401 N MAY AVENUE
EDMOND, OK 73013
(35.63703053800049, -97.56716408199969)"
OKLAHOMA COUNTY,MIDFIRST BANK - 223-51,73122,(405) 767-6070,(705) 767-5952,Branch,"5801 NW 38TH STREET
WARR ACRES, OK 73122
(35.509983831000454, -97.61359549099967)"
OKLAHOMA COUNTY,OKLAHOMA FIDELITY BANK - 5-01,73120,(405) 507-3121,(405) 507-3164,Branch,"2225 W HEFNER ROAD
OKLAHOMA CITY, OK 73120
(35.580188476000444, -97.55247018399967)"
OKLAHOMA COUNTY,OKLAHOMA FIDELITY BANK - 5-02,73162,(405) 507-3417,(405) 728-2505,Branch,"6901 W HEFNER ROAD
OKLAHOMA CITY, OK 73162
(35.58012282800047, -97.63535336899969)"
OKLAHOMA COUNTY,OKLAHOMA FIDELITY BANK - 5-03,73034,(405) 755-5330,(405) 330-1745,Branch,"1127 E 2ND STREET
EDMOND, OK 73034
(35.65278612300045, -97.46486324099965)"
OKLAHOMA COUNTY,PRIMELENDING - 30-01,73013,(405) 513-5322,(405) 372-2895,,"2300 S BROADWAY, SUITE 109
EDMOND, OK 73013
(35.630476359000454, -97.48428736499966)"
OKLAHOMA COUNTY,RCB BANK - 233-09,73013,(405) 608-5291,(405) 513-6082,Branch,"3600 S BOULEVARD
EDMOND, OK 73013
(35.61894086500047, -97.4781065249997)"
OKLAHOMA COUNTY,RCB BANK - 233-11,73120,(405) 302-2000,(405) 302-2003,Branch,"11217 N MAY AVENUE
OKLAHOMA CITY, OK 73120
(35.58462015100048, -97.5672343709997)"
OKLAHOMA COUNTY,SPRITBANK - 155-01,73120,(405) 942-1200,(405) 942-8964,,"11217 N MAY AVENUE
OKLAHOMA CITY, OK 73120
(35.58462015100048, -97.5672343709997)"
OKLAHOMA COUNTY,SWBC MORTGAGE CORPORATION - 20-01,73162,(405) 858-7770,(405) 848-8272,Branch,"6611 W HEFNER ROAD, SUITE B
OKLAHOMA CITY, OK 73162
(35.58012855800047, -97.6332209419997)"
OKLAHOMA COUNTY,WELLS FARGO - 178-03,73116,(405) 255-6997,(877) 473-4131,Branch,"6459 AVONDALE DRIVE
OKLAHOMA CITY, OK 73116
(35.53928080300045, -97.5322012639997)"
OKLAHOMA COUNTY,WELLS FARGO - 178-13,73120,(405) 775-2205,(877) 473-4131,Branch,"9604 N MAY AVENUE
OKLAHOMA CITY, OK 73120
(35.568971013000464, -97.56715716799965)"
OKLAHOMA COUNTY,WELLS FARGO - 178-18,73013,(405) 475-2880,(866) 377-6704,,"3601 S BROADWAY, SUITE 800
EDMOND, OK 73013
(35.61980337900047, -97.48949236799967)"
OKLAHOMA COUNTY,"WR STARKEY MORTGAGE, LLP - 12-01",73130,(405) 378-0039,(866) 222-4780,,"1716 S POST ROAD
MIDWEST CITY, OK 73130
(35.44712988600048, -97.35312658299966)"
OKLAHOMA COUNTY,"WR STARKEY MORTGAGE, LLP - 12-02",73170,(405) 378-0039,(866) 761-3526,,"1624 SW 122ND STREET
OKLAHOMA CITY, OK 73170
(35.346243004000485, -97.54615107099966)"
OKLAHOMA COUNTY,"WR STARKEY MORTGAGE, LLP - 12-03",73034,(405) 341-8644,(866) 208-5309,Branch,"10 E CAMPBELL
EDMOND, OK 73034
(35.65732337300045, -97.48044335299966)"
OKLAHOMA COUNTY,YUKON NATIONAL BANK - 27-03,73008,(405) 495-4511,(405) 495-0978,Branch,"6201 NW 23RD STREET
BETHANY, OK 73008
(35.493328320000444, -97.62455002099966)"
OTTAWA COUNTY,WELLS FARGO - 178-11,74354,(918) 540-1124,(918) 543-3528,Branch,"1425 E STEVE OWENS BOULEVARD
MIAMI, OK 74354
(36.87106748500048, -94.86340578299968)"
PAYNE COUNTY,ARVEST MORTGAGE COMPANY - 209-45,74074,(405) 385-5823,(918) 385-5805,Branch,"5215 W 6TH AVENUE
STILLWATER, OK 74074
(36.115793261000476, -97.12989041699967)"
PAYNE COUNTY,BANCFIRST - 192-13,74074,(405) 742-6200,,,"808 S MAIN
STILLWATER, OK 74074
(36.112720126000454, -97.05864483299968)"
PAYNE COUNTY,BANCFIRST - 192-97,74074,(405) 742-6200,(405) 742-6275,Branch,"505 E HALL OF FAME
STILLWATER, OK 74074
(36.09778621200047, -97.06850598399967)"
PAYNE COUNTY,FAIRWAY INDEPENDENT MORTGAGE CORP - 234-02,74074,(405) 372-5363,,,"2205 W 6TH AVENUE
STILLWATER, OK 74074
(36.11583457700044, -97.08532981499968)"
PAYNE COUNTY,PRIMELENDING - 30-02,74074,(405) 372-2894,(405) 372-2895,,"115 E 8TH STREET
STILLWATER, OK 74074
(36.11345297700046, -97.05778983999966)"
PAYNE COUNTY,RCB BANK -233-08,74074,(405) 742-4851,(405) 742-4875,Lender,"324 S DUCK STREET
STILLWATER, OK 74074
(36.11807938800047, -97.0627849819997)"
PITTSBURG COUNTY,BANCFIRST - 192-04,74501,(918) 426-0200,(918) 423-7662,Branch,"501 E CARL ALBERT PARKWAY
MCALESTER, OK 74501
(34.935217167000474, -95.77692374399965)"
PITTSBURG COUNTY,BANCFIRST - 192-77,74501,(918) 426-0200,,,"608 S GEORGE NIGH EXPRESSWAY
MCALESTER, OK 74501
(34.91580006500044, -95.74488685299968)"
PITTSBURG COUNTY,WELLS FARGO - 178-12,74501,(918) 423-2762,(918) 423-2315,Branch,"125 E CHOCTAW STREET
MCALESTER, OK 74501
(34.931737275000444, -95.76759371899965)"
PONTOTOC COUNTY,FIRST UNITED BANK & TRUST - 11-06,74820,(580) 332-4020,(580) 332-4551,Branch,"211 W 12TH STREET
ADA, OK 74820
(34.77341068600049, -96.68058916699965)"
POTTAWATOMIE COUNTY,ARVEST MORTGAGE COMPANY - 209-04,74801,(405) 214-1261,(405) 214-1341,Branch,"201 N BROADWAY AVENUE
SHAWNEE, OK 74801
(35.32878302200049, -96.92348250299966)"
POTTAWATOMIE COUNTY,BANCFIRST - 192-12,74801,(405) 273-1000,(405) 273-6733,Branch,"1939 N HARRISON
SHAWNEE, OK 74801
(35.42801948800047, -96.91192775499968)"
POTTAWATOMIE COUNTY,BANCFIRST - 192-57,74851,(405) 273-1000,(405) 878-7237,Branch,"508 W BROADWAY
MCLOUD, OK 74851
(35.43597349300046, -97.09364078399966)"
POTTAWATOMIE COUNTY,BANCFIRST - 192-58,74873,(405) 273-1000,(405) 878-7237,,"1213 N GORDON COOPER DRIVE
TECUMSEH, OK 74873
(35.27364003100047, -96.93039701899966)"
POTTAWATOMIE COUNTY,BANCFIRST - 192-95,74801,(405) 273-1000,,Branch,"302 N BROADWAY AVENUE
SHAWNEE, OK 74801
(35.33023204800048, -96.92353402899965)"
POTTAWATOMIE COUNTY,BANCFIRST - 192-96,74801,(405) 273-1000,,Branch,"3443 N KICKAPOO
SHAWNEE, OK 74801
(35.424426860000494, -96.92974696499965)"
POTTAWATOMIE COUNTY,FIRST UNITED BANK & TRUST - 11-04,74801,(405) 273-6100,(405) 273-2241,,"912 E INDEPENDENCE STREET
SHAWNEE, OK 74801
(35.34736580200047, -96.91095112999966)"
ROGERS COUNTY,BANCFIRST - 192-103,74019,(918) 341-7100,,Branch,"26205 S HIGHWAY 66
VERDIGRIS, OK 74019
(36.23059216700045, -95.69557657399969)"
ROGERS COUNTY,BANCFIRST - 192-64,74017,(918) 341-7100,,Branch,"1698 S LYNN RIGGS BOULEVARD
CLAREMORE, OK 74017
(36.293513143000496, -95.63040419799967)"
ROGERS COUNTY,BANCFIRST - 192-65,74017,(918) 341-7100,,,"1003 N LYNN RIGGS BOULEVARD
CLAREMORE, OK 74017
(36.32047009200045, -95.61123230399966)"
ROGERS COUNTY,BANCFIRST - 192-66,74017,(918) 341-7100,,Branch,"1025 W WILL ROGERS BOULEVARD
CLAREMORE, OK 74017
(36.31490410200047, -95.62182085099965)"
ROGERS COUNTY,BANCFIRST - 192-71,74036,(918) 341-7100,,Branch,"1 N BROADWAY
INOLA, OK 74036
(36.15250135000048, -95.51036419299965)"
ROGERS COUNTY,RCB BANK - 233-03,74017,(918) 342-7131,(918) 342-7106,Branch,"511 W WILL ROGERS BOULEVARD
CLAREMORE, OK 74017
(36.31230455400049, -95.61548099699968)"
ROGERS COUNTY,RCB BANK - 233-06,74015,(918) 384-1805,(918) 384-1825,Branch,"1727 N HIGHWAY 66
CATOOSA, OK 74015
(36.18111588500045, -95.74793349699968)"
ROGERS COUNTY,WELLS FARGO - 178-16,74066,(918) 499-1185,(918) 274-1216,,"8426A N 123ND E AVENUE
OWASSO, OK 74066
(35.99627819300048, -96.12681728599966)"
SEMINOLE COUNTY,BANCFIRST - 192-11,74868,(405) 380-1300,(405) 382-1268,Branch,"1500 N MILT PHILLIPS AVENUE
SEMINOLE, OK 74868
(35.23745317200047, -96.67092601999968)"
SEMINOLE COUNTY,BANCFIRST - 192-46,74849,(580) 925-3211,(580) 925-3860,Branch,"230 S BROADWAY
KONAWA, OK 74849
(34.955180449000466, -96.75204683999965)"
SEMINOLE COUNTY,BANCFIRST - 192-94,74868,(405) 380-1300,,,"206 N 2nd
SEMINOLE, OK 74868
(35.22455800300048, -96.66980267999969)"
OKLAHOMA COUNTY,WELLS FARGO - 178-04,73120,(405) 936-0338,(405) 752-4289,Branch,"4101 NW 122ND STREET
OKLAHOMA CITY, OK 73120
(35.59467842000049, -97.59427035999965)"
SEMINOLE COUNTY,FIRST UNITED BANK & TRUST - 11-12,74868,(405) 382-0690,,,"201 N MILT PHILLIPS AVENUE
SEMINOLE, OK 74868
(35.22513011900048, -96.67109443299967)"
SEQUOYAH COUNTY,"FIRSTAR BANK, NA - 160-03",74955,(918) 776-2000,(918) 776-2004,Branch,"209 N KERR BOULEVARD
SALLISAW, OK 74955
(35.458367094000494, -94.80746456599968)"
STEPHENS COUNTY,ARVEST MORTGAGE COMPANY - 209-07,73533,(580) 470-1173,(580) 470-1176,Branch,"2203 N HIGHWAY 81
DUNCAN, OK 73533
(34.532770067000456, -97.96700356799965)"
STEPHENS COUNTY,ARVEST MORTGAGE COMPANY - 209-27,73533,(580) 470-1145,(580) 470-1176,,"729 W MAIN STREET
DUNCAN, OK 73533
(34.50180825600046, -97.95656850399968)"
STEPHENS COUNTY,BANCFIRST - 192-06,73055,(580) 658-5422,(580) 658-5426,,"130 N BROADWAY
MARLOW, OK 73055
(34.648640070000454, -97.95779683499967)"
STEPHENS COUNTY,BANCFIRST - 192-19,73533,(580) 252-1800,(580) 251-7087,,"1616 W ELK AVE
DUNCAN, OK 73533
(34.52163326400046, -97.96844161499968)"
STEPHENS COUNTY,BANCFIRST - 192-61,73533,(580) 255-4100,(580) 251-7087,Branch,"16 S 9th
DUNCAN, OK 73533
(34.50171156400046, -97.95828348299966)"
STEPHENS COUNTY,BANCFIRST - 192-78,73055,(580) 658-5422,,Branch,"128 W MAIN STREET
MARLOW, OK 73055
(34.647613386000444, -97.95585063199968)"
STEPHENS COUNTY,"GEORGETOWN MORTGAGE, LLC - 230-01",73533,(580) 606-6740,(866) 264-1548,Branch,"1209B W MAIN
DUNCAN, OK 73533
(34.50239917400046, -97.96335228299967)"
TILLMAN COUNTY,BANCFIRST - 192-42,73542,(580) 335-7522,(580) 335-7520,,"200 N MAIN
FREDERICK, OK 73542
(34.39090155900044, -99.01700447499968)"
TILLMAN COUNTY,BANCFIRST - 192-68,73542,(580) 335-7522,,,"201 S MAIN
FREDERICK, OK 73542
(34.38831298100047, -99.01705335799966)"
TULSA COUNTY,AMERICAN SOUTHWEST MORTGAGE CORPORATION - 151-02,74133,(918) 742-7300,,Branch,"9110 S SHERIDAN ROAD
TULSA, OK 74133
(36.03086968000048, -95.90425162799966)"
TULSA COUNTY,ARVEST MORTGAGE COMPANY - 209-19,74133,(918) 631-1511,(918) 631-1520,Branch,"6560 E 71ST STREET
TULSA, OK 74133
(36.060772957000495, -95.90176080399965)"
TULSA COUNTY,ARVEST MORTGAGE COMPANY - 209-33,74135,(918) 631-6882,,Branch,"4548 E 51ST STREET
TULSA, OK 74135
(36.08983350400047, -95.92482026799968)"
TULSA COUNTY,ARVEST MORTGAGE COMPANY - 209-47,74012,(918) 295-2579,(918) 295-2574,Branch,"2251 N 9TH STREET
BROKEN ARROW, OK 74012
(36.07364048900047, -95.77952674899967)"
TULSA COUNTY,BANCFIRST - 192-09,74063,(918) 245-2261,(918) 241-5555,,"301 E 2ND STREET
SAND SPRINGS, OK 74063
(36.13846155900046, -96.10619801099966)"
TULSA COUNTY,BANCFIRST - 192-101,74133,(918) 664-6660,,Branch,"10279 S MEMORIAL DRIVE
TULSA, OK 74133
(36.014100028000485, -95.8863738129997)"
TULSA COUNTY,BANCFIRST - 192-102,74105,(918) 712-1795,,Branch,"5623 S LEWIS AVENUE
TULSA, OK 74105
(36.08088027500048, -95.95793684799969)"
TULSA COUNTY,BANCFIRST - 192-16,74135,(918) 664-6660,,Branch,"4901 E 41ST STREET
TULSA, OK 74135
(36.104407565000486, -95.92189116799966)"
TULSA COUNTY,BANCFIRST - 192-35,74145,(918) 664-6660,,Branch,"7625 E 51ST STREET
TULSA, OK 74145
(36.089947580000455, -95.89280066099968)"
TULSA COUNTY,BANCFIRST - 192-38,74037,(918) 299-5081,(918) 664-3422,Branch,"200 E MAIN
JENKS, OK 74037
(36.022563292000484, -95.96811034399968)"
TULSA COUNTY,BANCFIRST - 192-56,74033,(918) 322-9015,(918) 664-3422,Branch,"394 E 141ST STREET
GLENPOOL, OK 74033
(35.95915322400049, -96.00438071799965)"
TULSA COUNTY,BANCFIRST - 192-93,74063,(918) 241-5576,,Branch,"102 W 41ST STREET
SAND SPRINGS, OK 74063
(36.104689013000495, -96.12159422799965)"
TULSA COUNTY,BANCFIRST - 192-99,74137,(918) 664-6660,,,"8822 S YALE AVENUE
TULSA, OK 74137
(36.03427047500048, -95.92212508099965)"
TULSA COUNTY,BANK OF OKLAHOMA - 182-02,74065,(918) 588-8650,(918) 272-0156,,"413 E 2ND STREET
OWASSO, OK 74065
(36.26818603200047, -95.85258193099969)"
TULSA COUNTY,BANK OF OKLAHOMA - 182-05,74133,(918) 619-1932,,,"6505 E 101ST STREET S
TULSA, OK 74133
(36.01737802400049, -95.9039605109997)"
TULSA COUNTY,BANK OF OKLAHOMA - 182-06,74136,(918) 488-7140,(918) 280-3374,Branch,"7060 S YALE, SUITE 100
TULSA, OK 74136
(36.06125690800047, -95.92223987599965)"
TULSA COUNTY,CORNERSTONE HOME LENDING - 21-02,74105,(918) 921-8020,(866) 409-8971,Branch,"1441 E 41ST STREET
TULSA, OK 74105
(36.10433112800047, -95.9718498259997)"
TULSA COUNTY,FIRST MORTGAGE COMPANY - 24-02,74136,(918) 496-2241,(918) 496-6771,Branch,"2504 E 71ST STREET, SUITE A
TULSA, OK 74136
(36.06070741700046, -95.95556400999965)"
TULSA COUNTY,FIRST UNITED BANK & TRUST - 11-03,74136,(918) 294-8020,(918) 294-9036,,"7424 S YALE AVENUE
TULSA, OK 74136
(36.05561073400048, -95.92213429899965)"
TULSA COUNTY,FIRST UNITED BANK & TRUST - 11-14,74056,(918) 609-6970,(866) 535-2683,,"9455 N OWASSO EXPRESSWAY, SUITE A
OWASSO, OK 74056
(36.29071434500048, -95.83651179699967)"
TULSA COUNTY,"FIRSTAR BANK, NA - 160-02",74133,(918) 298-7232,(918) 298-7231,Branch,"10124 S SHERIDAN ROAD, SUITE B
TULSA, OK 74133
(36.01627068100049, -95.90426471299969)"
TULSA COUNTY,GATEWAY MORTGAGE GROUP - 232-03,74135,(918) 526-5237,,Branch,"4111 S DARLINGTON AVENUE, SUITE 150
TULSA, OK 74135
(36.10423011300048, -95.91719677099968)"
TULSA COUNTY,GATEWAY MORTGAGE GROUP - 232-04,74056,(918) 401-1055,,,"8551 N 125TH E AVENUE, SUITE 200
OWASSO, OK 74056
(36.27808224500046, -95.83451069499966)"
TULSA COUNTY,GATEWAY MORTGAGE GROUP - 232-05,74112,,,,"6910 E 14TH STREET
TULSA, OK 74112
(36.14246282400046, -95.8990552469997)"
TULSA COUNTY,MIDFIRST BANK - 223-07,74008,(918) 293-6885,(405) 858-3657,,"11122 S MEMORIAL DRIVE
BIXBY, OK 74008
(36.001710448000495, -95.8867350489997)"
TULSA COUNTY,MIDFIRST BANK - 223-24,74105,(918) 742-4261,(405) 858-3812,Branch,"4255 S PEORIA AVENUE
TULSA, OK 74105
(36.10042066900047, -95.97566700799968)"
TULSA COUNTY,MIDFIRST BANK - 223-25,74137,(918) 293-6887,(405) 585-3005,Branch,"9139 S YALE AVENUE
TULSA, OK 74137
(36.03050942800047, -95.92206631399966)"
TULSA COUNTY,MIDFIRST BANK - 223-50,74146,(918) 551-7400,(405) 767-6078,,"3140 S GARNETT ROAD
TULSA, OK 74146
(36.11740069400048, -95.85115489099968)"
TULSA COUNTY,PRIMELENDING - 30-03,74133,(918) 978-3000,(866) 502-4380,Branch,"6102 S MEMORIAL DRIVE
TULSA, OK 74133
(36.07503014000048, -95.88654492299969)"
TULSA COUNTY,RCB BANK - 233-01,74055,(918) 274-1463,(918) 274-1614,Branch,"12200 E 96TH STREET N
OWASSO, OK 74055
(36.29301635900049, -95.83772198899965)"
TULSA COUNTY,RCB BANK - 233-02,74055,(918) 274-1438,(918) 274-1404,,"11633 E 86TH STREET N
OWASSO, OK 74055
(36.27857841800045, -95.84446013399969)"
TULSA COUNTY,RCB BANK - 233-05,74012,(918) 259-1311,(918) 259-1325,Branch,"1300 E KENOSHA STREET
BROKEN ARROW, OK 74012
(36.061008023000454, -95.77472058199965)"
TULSA COUNTY,UNITED BANK - 22-01,74133,(918) 289-2552,(888) 288-9054,Branch,"6705 E 81ST STREET, SUITE 175
TULSA, OK 74133
(36.046398241000475, -95.90214105699965)"
TULSA COUNTY,WELLS FARGO - 178-05,74135,(918) 499-1199,(877) 302-1471,,"5314 S YALE STREET, SUITE 420
TULSA, OK 74135
(36.08581088900047, -95.92235438499966)"
TULSA COUNTY,WELLS FARGO - 178-15,74012,(918) 451-4860,(866) 707-2691,,"4649 W KENOSHA STREET
BROKEN ARROW, OK 74012
(36.060864198000445, -95.84588326599965)"
TULSA COUNTY,WELLS FARGO - 178-17,74135,(918) 302-5529,(405) 752-4289,Branch,"4363 S HARVARD AVENUE
TULSA, OK 74135
(36.10177222000044, -95.94014548999968)"
TULSA COUNTY,WELLS FARGO - 178-21,74012,(918) 455-0850,(866) 707-2691,Branch,"3104 S ELM PLACE
BROKEN ARROW, OK 74012
(36.020662020000486, -95.79748245699966)"
WAGONER COUNTY,BANCFIRST - 192-01,74429,(918) 486-2148,(918) 486-2140,,"14269 S STATE HIGHWAY 51
COWETA, OK 74429
(35.98835396500044, -95.6712413039997)"
WAGONER COUNTY,FIRST BANK AND TRUST COMPANY - 221-01,74467,(978) 485-2173,(918) 485-0583,,"111 S CASAVER AVENUE
WAGONER, OK 74467
(35.958852479000484, -95.3749168169997)"
WAGONER COUNTY,WELLS FARGO - 178-09,74467,(918) 485-5481,,,"520 W CHEROKEE
WAGONER, OK 74467
(35.95977141400044, -95.38386162099965)"
WASHINGTON COUNTY,BANCFIRST - 192-55,74003,(918) 338-4390,(918) 664-3422,,"300 SE FRANK PHILLIPS BOULEVARD
BARTLESVILLE, OK 74003
(36.75082729200045, -95.9741471479997)"
WASHINGTON COUNTY,RCB BANK - 233-10,74003,(918) 337-1363,(918) 337-1360,Branch,"4224 SE ADAMS ROAD
BARTLESVILLE, OK 74003
(36.74353314400048, -95.9295724219997)"
WOODWARD COUNTY,MIDFIRST BANK - 223-45,73801,(405) 767-6306,,,"1518 OKLAHOMA AVENUE
WOODWARD, OK 73801
(36.433698596000454, -99.39946040099966)"
