AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
2425,POLICE SERGEANT                    ,M,W ,40 - 49,49,COURT LIAISON OFFICE                                   ,STAFF                                                  ,23,259
2427,ASST POLICE CHIEF-LT COLONEL       ,M,W ,40 - 49,45,ADMINISTRATIVE BUREAU                                  ,STAFF                                                  ,21,260
2429,POLICE OFFICER                     ,M,W ,40 - 49,46,6TH DIVISION                                           ,1ST PLATOON                                            ,22,261
2430,POLICE OFFICER                     ,F,W ,50 - 59,54,6TH DIVISION                                           ,DETECTIVES                                             ,22,262
2431,POLICE OFFICER                     ,M,B ,50 - 59,54,7TH DIVISION                                           ,1ST PLATOON                                            ,22,263
2432,POLICE LIEUTENANT                  ,M,W ,40 - 49,49,INSPECTIONS AND COMPLIANCE UNIT                        ,STAFF                                                  ,24,264
2437,POLICE LIEUTENANT                  ,M,W ,50 - 59,55,1ST DIVISION                                           ,STAFF                                                  ,25,265
2439,POLICE OFFICER                     ,F,W ,50 - 59,50,5TH DIVISION                                           ,DETECTIVES                                             ,21,266
2440,POLICE OFFICER                     ,M,W ,40 - 49,48,1ST DIVISION                                           ,DETECTIVES                                             ,20,267
2442,POLICE LIEUTENANT                  ,M,W ,40 - 49,44,CIS FORENSIC INVESTIGATIONS                            ,CSU STAFF                                              ,20,268
2443,POLICE OFFICER                     ,M,W ,50 - 59,56,3RD DIVISION                                           ,1ST PLATOON                                            ,19,269
2444,ASST POLICE CHIEF-LT COLONEL       ,M,W ,50 - 59,53,PATROL BUREAU                                          ,STAFF                                                  ,22,270
2445,POLICE SERGEANT                    ,M,W ,50 - 59,54,PUBLIC INFORMATION OFFICE                              ,STAFF                                                  ,22,271
2447,POLICE OFFICER                     ,M,W ,40 - 49,45,SCHOOL RESOURCE OFFICERS                               ,STAFF                                                  ,22,272
2450,POLICE LIEUTENANT                  ,M,W ,50 - 59,51,COMMUNITY EVENTS UNIT                                  ,STAFF                                                  ,20,273
2451,POLICE SERGEANT                    ,M,W ,50 - 59,55,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,22,274
2454,POLICE OFFICER                     ,M,W ,40 - 49,49,8TH DIVISION                                           ,DETECTIVES                                             ,19,275
2457,POLICE OFFICER                     ,M,W ,50 - 59,50,3RD DIVISION                                           ,1ST PLATOON                                            ,22,276
2459,POLICE LIEUTENANT                  ,M,W ,40 - 49,44,SWAT UNIT                                              ,STAFF                                                  ,22,277
2461,POLICE OFFICER                     ,M,W ,50 - 59,57,3RD DIVISION                                           ,1ST PLATOON                                            ,21,278
2465,POLICE SERGEANT                    ,M,W ,50 - 59,50,MAJOR CASE UNIT                                        ,INTERDICTION SQUAD                                     ,22,279
2468,POLICE OFFICER                     ,M,W ,50 - 59,56,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,22,280
2469,POLICE OFFICER                     ,M,W ,50 - 59,53,2ND DIVISION                                           ,1ST PLATOON                                            ,25,281
2471,POLICE SERGEANT                    ,M,W ,50 - 59,53,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,23,282
2478,POLICE LIEUTENANT                  ,F,W ,40 - 49,48,SPECIAL INVESTIGATIONS DIVISION                        ,STAFF                                                  ,23,283
2479,POLICE SERGEANT                    ,F,W ,50 - 59,51,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,22,284
2480,POLICE OFFICER                     ,M,W ,40 - 49,46,CIS HOMICIDE                                           ,SQUAD 1                                                ,24,285
2481,POLICE OFFICER                     ,M,W ,50 - 59,54,5TH DIVISION                                           ,DETECTIVES                                             ,23,286
2482,POLICE LIEUTENANT                  ,M,W ,40 - 49,48,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,23,287
2484,POLICE OFFICER                     ,M,W ,50 - 59,51,MOUNTED PATROL                                         ,STAFF                                                  ,23,288
2485,POLICE OFFICER                     ,M,W ,50 - 59,50,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,20,289
2486,POLICE OFFICER                     ,M,W ,50 - 59,55,NARCOTICS                                              ,SCRIPT TEAM                                            ,23,290
2488,POLICE SERGEANT                    ,F,W ,40 - 49,45,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,22,291
2489,POLICE OFFICER                     ,M,B ,50 - 59,56,8TH DIVISION                                           ,1ST PLATOON                                            ,6,292
2491,POLICE OFFICER                     ,F,B ,50 - 59,52,CIS HOMICIDE                                           ,SQUAD 2                                                ,22,293
2499,POLICE OFFICER                     ,F,W ,50 - 59,53,4TH DIVISION                                           ,1ST PLATOON                                            ,21,294
2501,POLICE OFFICER                     ,M,W ,50 - 59,50,1ST DIVISION                                           ,BIKE PLATOON                                           ,20,295
2504,POLICE SERGEANT                    ,M,W ,50 - 59,50,CIS ROBBERY                                            ,3RD PLATOON                                            ,22,296
2506,POLICE MAJOR                       ,M,W ,40 - 49,45,SPECIAL INVESTIGATIONS DIVISION                        ,STAFF                                                  ,22,297
2508,POLICE OFFICER                     ,M,W ,50 - 59,51,4TH DIVISION                                           ,3RD PLATOON                                            ,21,298
2509,POLICE OFFICER                     ,M,W ,40 - 49,45,3RD DIVISION                                           ,1ST PLATOON                                            ,20,299
2510,ASST POLICE CHIEF-LT COLONEL       ,F,W ,40 - 49,48,ADMINISTRATIVE BUREAU                                  ,STAFF                                                  ,22,300
2512,POLICE LIEUTENANT                  ,M,W ,40 - 49,46,3RD DIVISION                                           ,STAFF                                                  ,22,301
2518,POLICE OFFICER                     ,F,W ,40 - 49,45,PUBLIC INFORMATION OFFICE                              ,COMMUNITY ENGAGEMENT UNIT                              ,21,302
2519,POLICE OFFICER                     ,F,W ,40 - 49,47,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,22,303
2521,POLICE MAJOR                       ,M,W ,50 - 59,52,MAJOR CRIME DIVISION                                   ,STAFF                                                  ,23,304
2522,POLICE OFFICER                     ,M,W ,50 - 59,55,MAJOR CASE UNIT                                        ,INTERDICTION SQUAD                                     ,22,305
2524,POLICE SERGEANT                    ,M,W ,50 - 59,55,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,23,306
2528,POLICE OFFICER                     ,M,W ,50 - 59,51,8TH DIVISION                                           ,1ST PLATOON                                            ,25,307
2530,POLICE OFFICER                     ,M,W ,40 - 49,49,2ND DIVISION                                           ,1ST PLATOON                                            ,19,308
2531,POLICE MAJOR                       ,M,W ,50 - 59,50,2ND DIVISION                                           ,STAFF                                                  ,21,309
2532,POLICE OFFICER                     ,F,W ,40 - 49,46,6TH DIVISION                                           ,1ST PLATOON                                            ,22,310
2533,POLICE OFFICER                     ,M,W ,OVER 60,74,TRAFFIC                                                ,1ST PLATOON                                            ,49,311
2534,POLICE CHIEF                       ,M,B ,OVER 60,70,CHIEF`S STAFF                                          ,STAFF                                                  ,20,312
2535,POLICE SERGEANT                    ,M,W ,40 - 49,48,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,20,313
2540,POLICE LIEUTENANT                  ,M,W ,50 - 59,53,VEHICLE IMPOUNDMENT                                    ,STAFF                                                  ,22,314
2541,POLICE SERGEANT                    ,M,W ,40 - 49,47,COMMUNITY POLICING UNIT                                ,STAFF                                                  ,24,315
2543,POLICE SERGEANT                    ,M,W ,50 - 59,54,MAJOR CASE UNIT                                        ,MAJOR CASE SQUAD                                       ,19,316
2547,POLICE OFFICER                     ,M,B ,50 - 59,50,7TH DIVISION                                           ,1ST PLATOON                                            ,19,317
2551,POLICE MAJOR                       ,M,W ,40 - 49,46,1ST DIVISION                                           ,STAFF                                                  ,23,318
2552,POLICE OFFICER                     ,M,B ,50 - 59,56,2ND DIVISION                                           ,2ND PLATOON                                            ,21,319
2554,POLICE OFFICER                     ,M,W ,OVER 60,70,TRAINING                                               ,SKILLS TRAINING UNIT                                   ,48,320
2562,POLICE OFFICER                     ,M,W ,40 - 49,48,1ST DIVISION                                           ,3RD PLATOON                                            ,23,321
2563,POLICE OFFICER                     ,M,W ,50 - 59,52,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,19,322
2564,ASST POLICE CHIEF-LT COLONEL       ,M,W ,40 - 49,48,SUPPORT BUREAU                                         ,STAFF                                                  ,21,323
2569,POLICE OFFICER                     ,M,W ,50 - 59,54,2ND DIVISION                                           ,1ST PLATOON                                            ,20,324
2571,POLICE SERGEANT                    ,M,A ,50 - 59,55,2ND DIVISION                                           ,2ND PLATOON                                            ,19,325
2572,POLICE OFFICER                     ,M,W ,40 - 49,47,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,19,326
2577,POLICE SERGEANT                    ,M,W ,40 - 49,45,CIS HOMICIDE                                           ,SQUAD 2                                                ,21,327
2582,POLICE OFFICER                     ,M,W ,OVER 60,65,4TH DIVISION                                           ,1ST PLATOON                                            ,21,328
2583,POLICE OFFICER                     ,F,W ,40 - 49,44,7TH DIVISION                                           ,1ST PLATOON                                            ,21,329
2585,POLICE SERGEANT                    ,M,W ,40 - 49,48,8TH DIVISION                                           ,1ST PLATOON                                            ,21,330
2586,POLICE MAJOR                       ,M,W ,40 - 49,48,5TH DIVISION                                           ,STAFF                                                  ,22,331
2591,POLICE OFFICER                     ,M,B ,OVER 60,62,9TH DIVISION                                           ,STAFF                                                  ,21,332
2597,POLICE OFFICER                     ,F,W ,50 - 59,52,RECORDS MANAGEMENT                                     ,STAFF                                                  ,19,333
2600,POLICE OFFICER                     ,F,W ,40 - 49,44,3RD DIVISION                                           ,1ST PLATOON                                            ,19,334
2607,POLICE LIEUTENANT                  ,M,W ,40 - 49,43,CIS HOMICIDE                                           ,STAFF                                                  ,21,335
2614,POLICE MAJOR                       ,M,W ,40 - 49,48,4TH DIVISION                                           ,STAFF                                                  ,23,336
2616,POLICE LIEUTENANT                  ,M,B ,50 - 59,50,6TH DIVISION                                           ,STAFF                                                  ,25,337
2621,POLICE OFFICER                     ,M,W ,50 - 59,56,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,19,338
2623,POLICE OFFICER                     ,F,W ,50 - 59,52,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,16,339
2627,POLICE MAJOR                       ,M,W ,OVER 60,69,NARCOTICS                                              ,STAFF                                                  ,46,340
2650,POLICE OFFICER                     ,M,W ,50 - 59,54,NARCOTICS                                              ,SCRIPT TEAM                                            ,21,341
2652,POLICE SERGEANT                    ,M,W ,50 - 59,50,5TH DIVISION                                           ,2ND PLATOON                                            ,25,342
2653,POLICE OFFICER                     ,M,B ,50 - 59,52,3RD DIVISION                                           ,1ST PLATOON                                            ,23,343
2654,ASST POLICE CHIEF-LT COLONEL       ,M,W ,40 - 49,48,SUPPORT BUREAU                                         ,STAFF                                                  ,21,344
2655,POLICE SERGEANT                    ,M,W ,40 - 49,47,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,20,345
2659,POLICE MAJOR                       ,M,W ,50 - 59,57,1ST DIVISION                                           ,STAFF                                                  ,34,346
2661,POLICE OFFICER                     ,M,B ,50 - 59,56,WELLNESS UNIT                                          ,STAFF                                                  ,10,347
2664,POLICE MAJOR                       ,M,W ,50 - 59,57,TRAINING                                               ,STAFF                                                  ,34,348
2665,POLICE SERGEANT                    ,F,W ,OVER 60,64,PROPERTY ROOM SECTION                                  ,CRIMES AGAINST CHILDREN                                ,34,349
2667,DEPUTY POLICE CHIEF                ,M,W ,50 - 59,56,ADMINISTRATIVE BUREAU                                  ,STAFF                                                  ,34,350
2669,POLICE OFFICER                     ,M,B ,40 - 49,45,3RD DIVISION                                           ,RESOURCE OFFICERS                                      ,19,351
2670,POLICE OFFICER                     ,M,W ,OVER 60,63,5TH DIVISION                                           ,2ND PLATOON                                            ,34,352
2673,POLICE OFFICER                     ,M,B ,OVER 60,67,5TH DIVISION                                           ,1ST PLATOON                                            ,6,353
2675,POLICE LIEUTENANT                  ,M,B ,50 - 59,58,SUPPORT BUREAU                                         ,STAFF                                                  ,34,354
2677,POLICE OFFICER                     ,F,W ,40 - 49,49,CRIMES AGAINST CHILDREN                                ,OPERATIONS A                                           ,21,355
2678,POLICE OFFICER                     ,F,W ,50 - 59,58,CANINE UNIT                                            ,MOUNTED PATROL                                         ,25,356
2681,POLICE OFFICER                     ,M,W ,50 - 59,54,TRAINING                                               ,BASIC ACADEMY                                          ,21,357
2685,POLICE OFFICER                     ,F,B ,50 - 59,56,SPECIAL OPERATIONS                                     ,COMMUNITY ENGAGEMENT UNIT                              ,34,358
2686,POLICE SERGEANT                    ,M,W ,40 - 49,46,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,22,359
2688,POLICE OFFICER                     ,M,W ,OVER 60,61,4TH DIVISION                                           ,2ND PLATOON                                            ,33,360
2689,POLICE OFFICER                     ,M,W ,50 - 59,58,1ST DIVISION                                           ,HALO/DRO                                               ,33,361
2691,POLICE LIEUTENANT                  ,M,W ,50 - 59,59,NARCOTICS                                              ,FUGITIVE APPREHENSION SQUAD                            ,33,362
2692,POLICE OFFICER                     ,M,W ,OVER 60,67,3RD DIVISION                                           ,1ST PLATOON                                            ,34,363
2698,POLICE OFFICER                     ,M,W ,50 - 59,50,MAJOR CRIME DIVISION                                   ,FUGITIVE APPREHENSION SQUAD                            ,20,364
2701,POLICE SERGEANT                    ,M,W ,OVER 60,60,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,33,365
2703,POLICE OFFICER                     ,F,W ,50 - 59,57,1ST DIVISION                                           ,HALO/DRO                                               ,33,366
2707,POLICE OFFICER                     ,M,W ,50 - 59,58,CANINE UNIT                                            ,3RD PLATOON                                            ,33,367
2710,POLICE OFFICER                     ,F,W ,OVER 60,65,4TH DIVISION                                           ,1ST PLATOON                                            ,16,368
2711,POLICE OFFICER                     ,M,W ,OVER 60,62,3RD DIVISION                                           ,1ST PLATOON                                            ,33,369
2714,POLICE LIEUTENANT                  ,M,W ,50 - 59,56,PROPERTY ROOM SECTION                                  ,CRIMES AGAINST CHILDREN                                ,33,370
2718,POLICE SERGEANT                    ,M,W ,40 - 49,47,6TH DIVISION                                           ,DETECTIVES                                             ,22,371
2721,POLICE OFFICER                     ,M,W ,40 - 49,43,3RD DIVISION                                           ,2ND PLATOON                                            ,20,372
2724,POLICE SERGEANT                    ,M,W ,50 - 59,50,SWAT UNIT                                              ,SQUAD 1                                                ,23,373
2725,POLICE OFFICER                     ,M,W ,50 - 59,56,5TH DIVISION                                           ,2ND PLATOON                                            ,33,374
2726,POLICE OFFICER                     ,M,W ,40 - 49,45,RIVER PATROL                                           ,STAFF                                                  ,23,375
2727,POLICE LIEUTENANT                  ,M,W ,50 - 59,56,CRIMINAL INTERDICTION                                  ,STAFF                                                  ,33,376
2728,POLICE OFFICER                     ,M,W ,OVER 60,72,5TH DIVISION                                           ,1ST PLATOON                                            ,33,377
2731,POLICE OFFICER                     ,M,W ,50 - 59,56,1ST DIVISION                                           ,BIKE PLATOON                                           ,33,378
2732,POLICE OFFICER                     ,F,W ,OVER 60,60,1ST DIVISION                                           ,2ND PLATOON                                            ,33,379
2733,POLICE SERGEANT                    ,M,W ,OVER 60,63,1ST DIVISION                                           ,2ND PLATOON                                            ,33,380
2735,DEPUTY POLICE CHIEF                ,M,W ,50 - 59,57,CHIEF`S STAFF                                          ,STAFF                                                  ,33,381
2737,POLICE OFFICER                     ,M,B ,50 - 59,55,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,33,382
2738,POLICE OFFICER                     ,M,W ,OVER 60,66,STRATEGIC PLANNING                                     ,STAFF                                                  ,33,383
2739,POLICE OFFICER                     ,M,W ,OVER 60,66,6TH DIVISION                                           ,2ND PLATOON                                            ,33,384
2741,POLICE OFFICER                     ,M,W ,50 - 59,58,1ST DIVISION                                           ,DETECTIVES                                             ,33,385
2743,POLICE OFFICER                     ,F,W ,50 - 59,58,NARCOTICS                                              ,SQUAD 1                                                ,33,386
2744,POLICE OFFICER                     ,M,W ,50 - 59,55,5TH DIVISION                                           ,DETECTIVES                                             ,33,387
2745,POLICE OFFICER                     ,M,W ,OVER 60,60,4TH DIVISION                                           ,DETECTIVES                                             ,6,388
2746,POLICE OFFICER                     ,M,W ,OVER 60,61,4TH DIVISION                                           ,2ND PLATOON                                            ,33,389
2747,POLICE LIEUTENANT                  ,M,W ,50 - 59,55,NARCOTICS                                              ,STAFF                                                  ,33,390
2748,POLICE OFFICER                     ,M,W ,50 - 59,59,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,32,391
2749,POLICE OFFICER                     ,F,W ,OVER 60,66,1ST DIVISION                                           ,2ND PLATOON                                            ,32,392
2750,POLICE OFFICER                     ,M,W ,OVER 60,68,8TH DIVISION                                           ,2ND PLATOON                                            ,32,393
2751,POLICE OFFICER                     ,M,W ,OVER 60,65,MAJOR CASE UNIT                                        ,MAJOR CASE SQUAD                                       ,32,394
2752,POLICE LIEUTENANT                  ,M,W ,50 - 59,56,TRAFFIC                                                ,STAFF                                                  ,31,395
2753,POLICE MAJOR                       ,M,W ,OVER 60,64,ADMINISTRATIVE SERVICES DIVISION                       ,STAFF                                                  ,32,396
2754,POLICE OFFICER                     ,M,W ,50 - 59,59,TRAFFIC                                                ,2ND PLATOON                                            ,32,397
2755,POLICE OFFICER                     ,M,W ,50 - 59,58,2ND DIVISION                                           ,RESOURCE OFFICERS                                      ,32,398
2757,POLICE SERGEANT                    ,M,B ,50 - 59,52,CIS FORENSIC INVESTIGATIONS                            ,STAFF                                                  ,23,399
2758,POLICE SERGEANT                    ,M,W ,OVER 60,61,CANINE UNIT                                            ,2ND PLATOON                                            ,32,400
2759,POLICE OFFICER                     ,M,W ,50 - 59,56,NARCOTICS                                              ,INVESTIGATIVE SUPPORT                                  ,32,401
2761,POLICE MAJOR                       ,F,W ,50 - 59,58,ADMINISTRATIVE SERVICES DIVISION                       ,STAFF                                                  ,32,402
2764,POLICE OFFICER                     ,M,W ,50 - 59,58,1ST DIVISION                                           ,1ST PLATOON                                            ,6,403
2765,POLICE OFFICER                     ,M,U ,50 - 59,59,1ST DIVISION                                           ,BIKE PLATOON                                           ,12,404
2766,POLICE OFFICER                     ,M,W ,50 - 59,55,7TH DIVISION                                           ,2ND PLATOON                                            ,32,405
2769,POLICE SERGEANT                    ,M,B ,50 - 59,59,NARCOTICS                                              ,SQUAD 2                                                ,32,406
2770,POLICE OFFICER                     ,M,W ,50 - 59,56,2ND DIVISION                                           ,2ND PLATOON                                            ,32,407
2771,POLICE SERGEANT                    ,M,W ,50 - 59,58,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,32,408
2772,POLICE OFFICER                     ,F,W ,OVER 60,61,TRAINING                                               ,FIREARMS TRAINING UNIT                                 ,32,409
2774,POLICE OFFICER                     ,M,W ,OVER 60,66,3RD DIVISION                                           ,DETECTIVES                                             ,32,410
2775,POLICE OFFICER                     ,M,W ,OVER 60,60,7TH DIVISION                                           ,2ND PLATOON                                            ,6,411
2776,POLICE OFFICER                     ,M,W ,OVER 60,65,1ST DIVISION                                           ,2ND PLATOON                                            ,32,412
2780,POLICE OFFICER                     ,M,W ,OVER 60,66,5TH DIVISION                                           ,2ND PLATOON                                            ,32,413
2781,POLICE OFFICER                     ,M,W ,OVER 60,61,5TH DIVISION                                           ,RESOURCE OFFICERS                                      ,31,414
2782,POLICE SERGEANT                    ,M,W ,50 - 59,52,8TH DIVISION                                           ,2ND PLATOON                                            ,31,415
2785,POLICE LIEUTENANT                  ,M,W ,OVER 60,63,INSPECTIONS AND COMPLIANCE UNIT                        ,STAFF                                                  ,31,416
2786,POLICE OFFICER                     ,M,W ,50 - 59,54,1ST DIVISION                                           ,2ND PLATOON                                            ,31,417
2788,POLICE SERGEANT                    ,M,W ,50 - 59,55,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,31,418
2790,POLICE OFFICER                     ,M,W ,50 - 59,54,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,31,419
2791,POLICE OFFICER                     ,M,W ,50 - 59,58,7TH DIVISION                                           ,DETECTIVES                                             ,23,420
2793,POLICE OFFICER                     ,M,W ,OVER 60,67,5TH DIVISION                                           ,2ND PLATOON                                            ,31,421
2794,POLICE OFFICER                     ,M,W ,OVER 60,61,6TH DIVISION                                           ,2ND PLATOON                                            ,31,422
2796,POLICE OFFICER                     ,M,B ,50 - 59,55,6TH DIVISION                                           ,1ST PLATOON                                            ,31,423
2797,POLICE OFFICER                     ,M,W ,50 - 59,56,CIS FORENSIC INVESTIGATIONS                            ,COMPUTER FORENSICS                                     ,31,424
2798,POLICE OFFICER                     ,M,W ,50 - 59,56,5TH DIVISION                                           ,2ND PLATOON                                            ,31,425
2800,POLICE OFFICER                     ,M,W ,50 - 59,56,6TH DIVISION                                           ,2ND PLATOON                                            ,31,426
2801,POLICE OFFICER                     ,M,B ,50 - 59,57,7TH DIVISION                                           ,2ND PLATOON                                            ,31,427
2802,POLICE OFFICER                     ,M,W ,50 - 59,54,6TH DIVISION                                           ,2ND PLATOON                                            ,31,428
2803,POLICE OFFICER                     ,M,W ,40 - 49,45,CANINE UNIT                                            ,2ND PLATOON                                            ,21,429
2804,POLICE OFFICER                     ,M,W ,OVER 60,60,8TH DIVISION                                           ,2ND PLATOON                                            ,31,430
2805,POLICE LIEUTENANT                  ,M,W ,50 - 59,54,INSPECTIONS AND COMPLIANCE UNIT                        ,STAFF                                                  ,31,431
2807,POLICE OFFICER                     ,F,W ,50 - 59,53,CRIMES AGAINST CHILDREN                                ,CRIMES AGAINST CHILDREN                                ,31,432
2808,POLICE OFFICER                     ,F,W ,50 - 59,56,5TH DIVISION                                           ,1ST PLATOON                                            ,31,433
2810,POLICE SERGEANT                    ,M,W ,OVER 60,60,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,31,434
2812,POLICE OFFICER                     ,M,W ,OVER 60,60,4TH DIVISION                                           ,1ST PLATOON                                            ,31,435
2813,POLICE LIEUTENANT                  ,M,W ,50 - 59,54,2ND DIVISION                                           ,STAFF                                                  ,31,436
2815,POLICE OFFICER                     ,M,W ,50 - 59,53,8TH DIVISION                                           ,3RD PLATOON                                            ,31,437
2816,POLICE OFFICER                     ,M,W ,50 - 59,58,5TH DIVISION                                           ,2ND PLATOON                                            ,6,438
2817,POLICE OFFICER                     ,M,W ,50 - 59,54,3RD DIVISION                                           ,RESOURCE OFFICERS                                      ,22,439
2818,POLICE SERGEANT                    ,M,W ,OVER 60,60,2ND DIVISION                                           ,3RD PLATOON                                            ,31,440
2822,POLICE SERGEANT                    ,M,B ,50 - 59,54,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,31,441
2823,POLICE OFFICER                     ,F,W ,50 - 59,53,1ST DIVISION                                           ,2ND PLATOON                                            ,31,442
2824,POLICE LIEUTENANT                  ,M,W ,50 - 59,57,5TH DIVISION                                           ,3RD PLATOON                                            ,31,443
2825,POLICE OFFICER                     ,M,W ,50 - 59,54,3RD DIVISION                                           ,2ND PLATOON                                            ,31,444
2826,POLICE OFFICER                     ,M,W ,OVER 60,62,TRAINING                                               ,BASIC ACADEMY                                          ,31,445
2827,POLICE OFFICER                     ,M,W ,50 - 59,55,5TH DIVISION                                           ,DETECTIVES                                             ,31,446
2828,POLICE OFFICER                     ,F,W ,50 - 59,56,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,31,447
2829,POLICE SERGEANT                    ,M,W ,50 - 59,57,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,31,448
2831,POLICE OFFICER                     ,F,W ,50 - 59,54,CIS HOMICIDE                                           ,3RD PLATOON                                            ,31,449
2832,DEPUTY POLICE CHIEF                ,F,B ,50 - 59,54,CHIEF`S STAFF                                          ,STAFF                                                  ,31,450
2833,POLICE LIEUTENANT                  ,F,W ,50 - 59,56,CIS FORENSIC INVESTIGATIONS                            ,STAFF                                                  ,31,451
2835,POLICE OFFICER                     ,M,W ,OVER 60,60,RIVER PATROL                                           ,STAFF                                                  ,31,452
2836,POLICE OFFICER                     ,M,W ,50 - 59,55,CANINE UNIT                                            ,2ND PLATOON                                            ,23,453
2838,POLICE OFFICER                     ,M,W ,50 - 59,52,NARCOTICS                                              ,MAJOR CASE SQUAD                                       ,29,454
2839,POLICE OFFICER                     ,M,W ,50 - 59,56,2ND DIVISION                                           ,DETECTIVES                                             ,29,455
2840,POLICE LIEUTENANT                  ,F,W ,50 - 59,59,CIS SPECIAL VICTIMS                                    ,STAFF                                                  ,29,456
2841,POLICE OFFICER                     ,F,W ,50 - 59,56,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,29,457
2842,POLICE OFFICER                     ,F,W ,OVER 60,64,TRAINING                                               ,FIREARMS TRAINING UNIT                                 ,29,458
2843,POLICE LIEUTENANT                  ,M,B ,50 - 59,51,2ND DIVISION                                           ,1ST PLATOON                                            ,29,459
2844,POLICE SERGEANT                    ,M,B ,50 - 59,54,7TH DIVISION                                           ,2ND PLATOON                                            ,29,460
2845,POLICE OFFICER                     ,M,B ,50 - 59,57,2ND DIVISION                                           ,2ND PLATOON                                            ,29,461
2847,POLICE LIEUTENANT                  ,M,W ,50 - 59,56,6TH DIVISION                                           ,STAFF                                                  ,29,462
2850,POLICE OFFICER                     ,M,W ,OVER 60,65,6TH DIVISION                                           ,2ND PLATOON                                            ,29,463
2851,POLICE OFFICER                     ,M,W ,40 - 49,49,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,21,464
2852,POLICE OFFICER                     ,M,B ,OVER 60,65,2ND DIVISION                                           ,2ND PLATOON                                            ,29,465
2853,POLICE OFFICER                     ,M,W ,50 - 59,55,1ST DIVISION                                           ,BIKE PLATOON                                           ,29,466
2854,POLICE OFFICER                     ,M,B ,OVER 60,63,1ST DIVISION                                           ,1ST PLATOON                                            ,29,467
2855,POLICE OFFICER                     ,M,W ,50 - 59,59,1ST DIVISION                                           ,1ST PLATOON                                            ,29,468
2856,POLICE LIEUTENANT                  ,M,W ,50 - 59,53,3RD DIVISION                                           ,3RD PLATOON                                            ,29,469
2859,POLICE OFFICER                     ,M,W ,50 - 59,54,2ND DIVISION                                           ,2ND PLATOON                                            ,29,470
2861,POLICE OFFICER                     ,M,W ,50 - 59,55,5TH DIVISION                                           ,DETECTIVES                                             ,29,471
2862,POLICE OFFICER                     ,F,W ,OVER 60,66,7TH DIVISION                                           ,3RD PLATOON                                            ,29,472
2863,POLICE OFFICER                     ,M,W ,50 - 59,52,6TH DIVISION                                           ,DETECTIVES                                             ,29,473
2864,POLICE LIEUTENANT                  ,M,W ,50 - 59,57,CRIMES AGAINST CHILDREN                                ,STAFF                                                  ,29,474
2866,POLICE OFFICER                     ,M,W ,50 - 59,57,6TH DIVISION                                           ,2ND PLATOON                                            ,29,475
2867,POLICE MAJOR                       ,M,W ,50 - 59,53,TRAINING                                               ,STAFF                                                  ,29,476
2868,POLICE OFFICER                     ,F,W ,OVER 60,62,7TH DIVISION                                           ,1ST PLATOON                                            ,29,477
2869,POLICE OFFICER                     ,M,W ,50 - 59,58,7TH DIVISION                                           ,3RD PLATOON                                            ,29,478
2870,POLICE OFFICER                     ,M,W ,50 - 59,55,3RD DIVISION                                           ,3RD PLATOON                                            ,29,479
2872,POLICE SERGEANT                    ,M,W ,40 - 49,49,8TH DIVISION                                           ,DETECTIVES                                             ,21,480
2873,POLICE OFFICER                     ,F,B ,50 - 59,57,1ST DIVISION                                           ,2ND PLATOON                                            ,29,481
2874,POLICE OFFICER                     ,M,W ,50 - 59,59,4TH DIVISION                                           ,2ND PLATOON                                            ,29,482
