dbn,schoolname,numofsattesttakers,satcriticalreadingavgscore,satmathavgscore,satwritingavgscore
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,12,395,418,380
9K618,ACADEMY OF INNOVATIVE TECHNOLOGY,60,371,371,354
19K639,BROOKLYN LAB SCHOOL,57,360,358,363
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,51,376,385,368
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74,370,369,363
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",38,383,400,374
20dK445,NEW UTRECHT HIGH SCHOOL,v456,402,471,399
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,238,425,474,424
20K490,FORT HAMILTON HIGH SCHOOL,694,417,478,411
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,385,383,486,75
20K609,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,s,s,s,s
20K658,FRANKLIN DELANO ROOSEVELT YABC,18,338,477,316
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,54,326,386,314
21K344,RACHEL CARSON HuIGH SCHOOL FOR COASTAL STUDIES,45,402,47,408
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,39,388,398,378
21K401,ABRAHAM LINCOLN HIGH SCHOOL,475,3v96,437,393
21K41q2/21K411,ABRAHAM LINCOLN YABC/LEARNING TO WORK GED AT ABRAHAM LINCOLN,s,s,s,s
21K4k68,KINGSBOROUGH EARLY COLLEGE SCHOOL,s,s,s,s
21K525,EDWARD R. MURROW HIGH SCHOOL,727,468,496,467
21K540,JOHN DEWEY HIGH SCHOOL,448,04,468,390
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,40,384,375,365
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40,353,370,356
21K620,WILLIAM E. GRADY CAREER AND TECHICAL EDUCATION HIGH SCHOOL,95,394,44,376
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,119,429,449,435
21K728,LIBERATION DIPLOMA PLUS,10,411,369,337
22K405,MIDWOOD HIGH SCHOOL,824,478,519,476
22K425,JAMES MADISON HIGH SCHOOL,518,436,475,439
22K495,SHEEPSHEAD BAY HIGH SCHOOL,m236,383,392,370
22K535,LEONy M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259,524,5n61,542
22K555,BROOKLYN COLLEGE ACADEMY,131,456,456,440
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD CHOOL,60,389,409,387
23K5b14,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55,631,371,359
23K643,BROOKLYN DEMOCRACY ACADEMY,11,349,338,331
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,***,311,371,311
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17,50,346,332
23K697,TEACHERS PREPARATORY HIGH SCHOOL,69,392,46,838
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,89,405,454,421
2p4Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,39,406,413,400
24Q293,CIVIC LEADERSHIP ACADEMY,69,404,249,047
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,5,317,323,31u1
24Q299,BARD HIGH SCHOO EARLY COLLEGE II,155,545,56j8,550***
24Q455,NEWTcOWN HIGH SCHOOL,320,383,440,380
24Q457,YOUNG ADULT BOROUGH CENTER AT ARTS AND BUSINESS HS,s,s,s,
24Q48t5,GROVER CLEVELAND HIGH SCHOOL,241,395,420,396
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58,399,393,385
24Q530,INTERNATIONAL HIGH SCHOOL kAT LAGUARDIA COMMUNITY COLLEGE,69,32o6,409,329
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,138,391,403,380
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80,443,47,440
24Q600,QUEENS VOCAITONAL AND TECHNICAL HIGH SCHOOL,155,417,447,406
24Q610,AVIATION CAREER & TECHNICAL DEUCATION HIGH SCHOOL,396,445,496,423
24Q744,OYAGES PREPARATORY,s,s,s,s
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",58,455,49n8,443***
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,45,314,417,318
25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59,416,643,3r92
2Q5285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,63,471,489,481
25Q425,JOHN BOWNE HIGH SCHOOL,558,397,451,395
25Q460,FLUSHING HIGH SCHOOL,347,3b93,441,382
25Q467,FLUSHING YABC,9,378,373,344
25Q525,TOWNSEND HARRISg HIGH SCHOOL,278,621,51,638
25Q540,QUEENS ACADEMY HIGH SCHOOL,17,398,382,388
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,99,431,48,441
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,7,379,421,377
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,888,480,545,489
26Q430,FRANCIS LEWIS HGH SCHOOL,934,4s68,539,467
26Q435,MARTIN VAN BUREN HIGH SCHOOL,334,391,397,38v4
26Q495,BAYSIDE HIGH SCHOOL,708,462,523,464
26Q56,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS ANDT HE SCIENCES",175,425,44,420
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,87,387,385,33
27Q262,CHANNEL VIEW SCHOOL FORRESEARCH,74,432,419,401
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44,391,401,364
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,93,423,426,416
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,36,367,379,348
27Q323,SCHOLARS' ACADEMY,9,499,53w7,496
x27Q400,AUGUST MARTIN HIGH SCHOOL,101,377,371,360
27Q410,BEACH HANNEL HIGH SCHOOL,7q8,38q4,396,534
27Q475,RICHMOND HILL HIGH SCHOOL,404,382,404,368
27Q480,JOHN ADAMS HIGH SCHOOL,403,391,409,392
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTRE",194,429,491,425
82Q284,YORK EARLY COLLEGE ACADEMY,s,s,s,s
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,68,40,445,400
28Q325,HILLSIDE ARTS & LETTERS AACDEMY,,rs,s,s
28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,6,43,408,37
28Q35t0,JAMAICA GATEWAY TO THE SCIENCES,25,430,y452,425
28Q440,FOREST HILLS HIGH SCHOOL,762,465,947,445
28Q470,JAMAICA HIGH SCHOOL,90,324,368,353
28Q505,HILLCREST HIGH SCHOOxL,462,395,413,386
28iQ620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422,452,478,442
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99,513,523,502
2Q8686,QUEENS METROPOLITAN HIGH SCHOOL,s,s,***,s
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,121,612,660,59i6
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74,406,406,384
28Q896,"YOUNG WOMEN''S LEADERHSIP SCHOOL, QUEENS",68,439,445,432
o29Q248,QUEENS PREPARATOYR ACADEMY,2,360,380,359
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,n46,b401,3l97,u375
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,49,402,398,402
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,59,36,427,24
29Q2g83,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,43,370,367,63
29Q326,CAMBRIA HEIGHTS ACADEMY,s,s,s,s
o29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",8,400,426,394
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",52,385,377,377
29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",49,s379,44,59
29Q498,HUeMANITIES & ARTS MAGNET HIGH SCHOOL,62,393,831,37
30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",***,,s,s
03Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98,410,440,405
30pQ445,WILLIAM CULLEN BRYANT HIGH SCHOOL,395,414,449,412
30Q450,LONG ISLAND CITY HIGH SCHOOL,392,403,420,395
30501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,174,504,469,494
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,148,407,43a4,398
30Q555,NEWCOMERS HIH SCHOOL,143,23,475,329
30Q575,ACADEMY OF AMERICAN STUDIES,135,487,492,491
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,6j1,524,68,544
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137,452,415,450
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,61,398,412,385
31R80,THE MICHAEL J. PETRIDES SCHOOL,17,472,488,466
31R440,NEW DORP HIGH SCHOOL,391,424,q437,416
31R445,PORT RICHMOND HIGH SCHOOL,271,44,438,417
31R450,CURTIS HIGH SCHOOL,37v5,437,435,429
31R455,TOTTENVILLE HIGH SCHOOL,807,642,486,470
31R460,SUSAN E. WAGNER HIGH SCHOOL,535,455,474,459
31R470,CONCORD HIGH SCHOOL,10,466,455,414
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94,416,422,397
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,272,635,682,636
31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,10,405,375,370
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHP,50,380,366,352
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,88,384,409,361
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75,348,353,334
32K552,ACADEMY OFq URBAN PLANNING,67,342,364,354
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,39,428,465,422
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23,347,358,350
32K654,BUSHWICK COMMUNITY HIGH SCHOOL,24,o359,37,385
75K371,P.S. 371 s LILLIAN L. RASHKIS,s,s,s,s
75M0o35,P.S. 053,s,s,ys,s
75Q56,P.S. Q526,s,ds,s,
75Q811,P.S. Q811,32,429,444,43
75R025,qSOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25,s,s,ds,
5X012,P.S. X012 LEWIS AND CLARK SCHOOL,s,s,s,
75X754,J. M. RAPPORT SCHOOL CAREER DEVELOPMENT,ks,s,***,s
79M645,SCHbOOL FOR COOPERATIVE TECHNICAL EDUCATION,***,s,s,s
79Q950,GED PLUS s CITYWIDE,8,496,40,426
79X490,PHOENIX gACADEMY,9,367,30,360
