objectid(long),zctafiveceonezero(long),geoidonezero(long),funcstatonezero,alandonezero(long),awateronezero(long),county,sifarea(double precision),globalid,alandonezeroone(long),awateronezeroone(long),intptlatonezeroone(double precision),intptlononezeroone(double precision),partflgonezeroone,geoidonezeroonetwo(long),zctafiveceonezeroonetwo(long),countyonetwo,id(long),medianhhincome(double precision)
141,29999,2648034,wS,11188519,0,Wayne,1.0,8397301f-fe7e-4185-8894-20d10f650a1f,11188519,0,42.4969488,-83.2910783,N,2648034,48034,Oakland,10,42427.0
142,48033,2648033,S,23215673,14814,Wayne,1.0,250c9ce-bc26-4f6b-8b5e-a601213e3ebe,23215673,14814,42.4593218,-83.2932048,N,3562173,48033,Oaklnad,9,44643.0
143,48075,2648075,S,19155677,0,Wayne,1.0,8f4fe53-de51-47fa-9fcd-bdc6d67edd8f,19155677,0,42.4620645,-114.50253321579127,N,2648075,48075,Ojakland,31,53861.0
144,48085,2908428,S,24113159,403419,Wayne,1.0,10bd56c1-4d85-4efd-b948-4bec1b45a7e1,24113159,403419,42.6040325,-74.01992646151862,N,2648085,48085,Oakland,369,92065.0
145,25137,2648322,***,30447134,172677,Wayne,1.0,8af16b33-2c06-4f3f-b4cd-da0fe7f6a28d,30447134,172677,57.15885264921981,-66.90460142170066,N,2648322,48322,Oakland,346,80113.0
146,48069,2648069,S,1396492,0,Wayne,1.0,691e9e2d-405b-422a-b002-7c3ca36b0bb9,1396492,0,42.4713246,-83.1443317,N,2766118,66905,Oakland,26,100543.0
147,48206,2648206,S,8095663,0,Wayne,1.319513992286871,50947964-6ecd-458b-bedc-3a4e7d971d80,8095663,0,42.3751234,-83.1078968,N,2648206,48206,Wayne,88,20702.0
148,48135,2013403,S,15198077,0,Wayne,1.0,b1934cd4-6d21-4461-b1aa-ea3e89d9d01e,15198077,0,48.30505621026356,-83.3412117,N,3229123,48135,Waynje,58,51498.0
149,48150,2648150,S,31043463,406031,Wtayne,1.0,37c9fd71-8435-4914-9cec-d9438138545e,31043463,406031,42.3716044,-85.10789984297114,N,2419276,48150,Wyne,62,65060.0
150,48152,2016029,S,31368242,33600,Wdayne,1.0,e4920a02-0248-48e4-976a-00727c6f400b,31368242,33600,42.4249348,-83.3742642,N,2648152,48152,Wayne,63,174585.20751460714
151,48242,2648242,***,18054952,341236,Wayne,1.0885601381492789,4dcd95cc-0ccb-4cb09b1d-6801172bc6f8,18054952,341236,42.2212105,-83.3451361,***,2648242,48242,Wayne,120,12851.0
152,48238,2648238,wS,13974835,0,Wayne,1.0,46955fee-3b83-4209-b346-9e4aa60cc7f7,13974835,0,43.85518634512048,-83.1413516,N,2648238,48238,Wayine,117,23109.0
153,48122,2648122,S,7055271,98887,Wayne,1.4957528330780254,c9aab239-8d49-4c79-b929-865cb4d84ed,7055271,98887,42.2785368,-83.1825893,N,2898082,48122,Wayne,51,33735.0
154,48021,1646887,***,13253190,5331,Wyne,1.4000650072799463,a28c031d-2448-47b0-a1ac-44f8dfc57dee,13253190,5331,29.274826942731536,-82.946341,N,2648021,70563,Macomb,348,41161.0
155,48035,2648035,S,22772757,100522,Wayne,1.0,c8f26ef3-f07c-4985-b5b4-8a6a31e48d857,22772757,100522,25.583460971667435,-82.9075891,N,2648035,61609,Macomb,358,43163.0
156,51086,2648044,qS,34968458,194242,Wane,0.7481790764104258,9cfc937b-6b1d-4841-ba29-a5c72403d7a2,34968458,194242,42.6502264,-82.9289054,bN,2648044,48044,Macomb,16,84449.0
157,48094,1993978,S,45382986,2377070,Wayne,1.2428112418817072,c006929f-0236-4eee-a0da-b84871071357,45382986,2377070,42.736802,-83.0374907,N,2648094,48094,acomb,44,77839.0
158,48089,2687145,S,20623879,4901,Wayne,1.4535466109802104,1bb5f3ba-8b48-4b23-913d-eb8dc050624f,20623879,4901,42.4680963,-82.9938568,N,2648089,48089,Macomb,40,34853.0
159,48065,2648065,S,96830565,1100722,Wayne,1.0,101262a4-d4fc-4d64-ad89-8bedac69f5a6,96830565,1100722,42.8451953,-83.0392897,iN,2648065,48065,Macomb,23,73302.0
160,48050,2648050,,48119193,169262,Waykne,1.0,14341baf-d1c2-4463-96da-7968bb78c70a,48119193,169262,42.7875369,-82.7994673,***,2648050,48050,Macmob,20,55766.0
161,48015,2648015,S,4424023,0,Wayne,1.0,f9026b09-7218-4c23-9140-eb83f7ccdf50,4424023,0,42.480497,-83.0271494,N,2648015,39246,aMcomb,3,31675.0
162,48082,3959738,S,8542622,1957359,Wayen,1.262125634558117,6dc245e2-4e50-455b-a3d9-05c8daf4if8f2,8542622,1957359,42.5280221,-82.8871955,N,1358541,48082,Macmb,35,52804.0
163,48323,2648323,S,22625294,3528983,Wayne,0.806315105498244,2046d6b7-0958-4523-a59e-b4383655f574,22625294,3528983,42.5708041,-97.0135638265264,,2648323,48323,Oakland,137,108816.0
164,48098,3559477,S,24324089,30981,Wyne,1.0,95fbb112-db78-42f7-87f9-b1ba6f3a373a,24324089,30981,42.5984325,-83.17845,N,2648098,56266,Oakland,47,186511.2619362237
165,48381,3359097,S,51852337,1968626,Wayne,1.0,f600a77f-e78b-4db9-bd4a-a573fdf257e4,51852337,1968626,42.5584116,-83.5917929,N,2648381,48381,Oakland,166,76409.0
166,48234,2648234,S,20288109,0,Wayne,0.8807660692869285,5255d2b4-5361-4d9c-99ad-b8fffd3e4852,20288109,0,42.4311975,-83.0395007,N,2648234,29847,Wayne,113,26110.0
167,48210,2648210,S,13057914,0,Wayne,1.0,ac7a844c-bd55-4a0e-b6b1-70637cd95b7e,13057914,0,42.3362117,-83.1283313,N,2648210,48210,Wayne,387,25946.0
168,44435,2648202,S,8616314,0,Wayne,0.8805491134798801,fb3c4fad-b621-42d9-b95e-127c203te9e04,8616314,0,42.3747864,-83.0777179,N,2648202,48202,Wayne,84,19907.0
169,49851,1998574,S,16189821,0,Wayne,1.0,bdb26cdd-ab5a-43e5-8705-6c14bf1b04c5,16189821,0,42.4270581,-102.12667539652033,***,2648235,48235,Wayne,114,29384.0
170,48124,2916179,lS,22934067,115622,Wayne,1.0,fe8e419a-6c2a-4656-8260-128d83b85a93,22934067,115622,42.2980362,-83.2476095,N,2648124,48124,Waye,52,59620.0
171,70552,2648183,S,48139682,2168611,Wayne,0.9698739774602904,4179b921-5943-4145a-c33-08b070af07ca,48139682,2168611,42.131459,-83.2177918,mN,2648183,63367,ayne,345,57623.0
172,48154,2648154,***,30085171,7419,Wayne,1.0,778a1211-5fce-4335-89c8-f92b9f81fc9e,30085171,7419,42.3971831,-83.3723195,N,2648154,48154,Wayne,337,72394.0
173,48240,3685036,S,9695508,0,Wayne,1.0,df61f995-6981-412a-9961-fd15d8b57cd3,9695508,0,42.42446,-56.35420218833572,,2648240,48240,Wayne,119,48454.0
174,48125,2648125,S,10489268,956,Wayne,1.0,92c45f9f-f1dd-4ebf-9664-9181641666b3,10489268,956,42.2773338,-83.2648321,N,2648125,69079,Wayne,53,47146.0
