obsid,studyid,studyname,studygroup,specid,specname,estid,estname,pubyear,pubtype,table,depvar_desc,depvar_assessed,funcform,logtype,wqintrx,distgradient,distbuf,distbuf_infer,spatial_fe,spatial_lag,spatial_auto,sampsize,sample_firstyr,sample_lastyr,geog,state,sampextent,hometypes,avgprice,avgprice_unit,census_yr,census_geog,census_geog_name,census_fips,census_inc,census_totpop,census_popcol,census_blk,census_hisp,census_tothh,census_totarea,northeast,midwest,south,west,waterbody,wbsize,wbsizeorig,wbsize_units,wbnum,wbtype,wqvar,avgwqvar,wqvar_units,wqvar_infer,avgwqrorig,avgwqrorig_units,wqvar_type,num_wqvars,other_wqvars,avghmin,avgcmax,avgprctchangepop,avgdist,avgdistorig,avgdistunits,avgwfdummy,avgtime,avgclearlow,wqdesc_var1,wqintx_var1,wqcoef_var1,wqcoef_se_var1,wqcoef_t_var1,wqcoef_sl_var1,wqcoef_desc_var1,wqdesc_var2,wqintx_var2,wqcoef_var2,wqcoef_se_var2,wqcoef_t_var2,wqcoef_sl_var2,wqcoef_desc_var2,wqdesc_var3,wqintx_var3,wqcoef_var3,wqcoef_se_var3,wqcoef_t_var3,wqcoef_sl_var3,wqcoef_desc_var3,wqdesc_var4,wqintx_var4,wqcoef_var4,wqcoef_se_var4,wqcoef_t_var4,wqcoef_sl_var4,wqcoef_desc_var4,wqdesc_var5,wqintx_var5,wqcoef_var5,wqcoef_se_var5,wqcoef_t_var5,wqcoef_sl_var5,wqcoef_desc_var5,wqelast,wqpctdp,elast_sim,elast_sim_se,semi_elast_sim,semi_elast_sim_se,wqelast_comments,wqsemi_comments,cov_assum0
100,9,Netusil et al 2014,Netusil et al 2014,4,SAR 8NN Johnson Creek (Mean),1,Dissolved Oxygen - waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",1,1,Neighborhood and watershed fixed effects,1,1,10479,2005,2008,"Multnomah County, OR",OR,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,264194,2007,2010,county,"Multnomah County, OR",41051,49618,735334,185750,41401,80138,304540,1117.05419921875,0,0,0,1,Johnson Creek,,,NR,Single,River,Dissolved oxygen,10.91499996185303,mg/L,0,10.91499996185303,mg/L,Quantitative,5,0,,,,,,NA,,,,Interaction between Dissolved Oxygen (mg/L) and indicator of property within 1/4 mile of Johnson Creek,distance buffer 1,.1609999984502792,.0523543171584606,3.075200080871582,.0099999997764826,semi-elasticity of dissolved oxygen for homes within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,1.757315039634705,.1609999984502792,1.758322477340698,.5701394081115723,.1610923111438751,.05223448574543,,,
101,9,Netusil et al 2014,Netusil et al 2014,4,SAR 8NN Johnson Creek (Mean),2,Dissolved Oxygen - non-waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",2,1,Neighborhood and watershed fixed effects,1,1,10479,2005,2008,"Multnomah County, OR",OR,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,264194,2007,2010,county,"Multnomah County, OR",41051,49618,735334,185750,41401,80138,304540,1117.05419921875,0,0,0,1,Johnson Creek,,,NR,Single,River,Dissolved oxygen,10.91499996185303,mg/L,0,10.91499996185303,mg/L,Quantitative,5,0,,,,,,NA,,,,Interaction between Dissolved Oxygen (mg/L) and indicator of property within 1/4 mile of Johnson Creek,distance buffer 1,.1609999984502792,.0523543171584606,3.075200080871582,.0099999997764826,semi-elasticity of dissolved oxygen for homes within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,1.757315039634705,.1609999984502792,1.755205750465393,.5712631940841675,.1608067601919174,.0523374415934086,,,
102,9,Netusil et al 2014,Netusil et al 2014,4,SAR 8NN Johnson Creek (Mean),3,pH - waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",1,1,Neighborhood and watershed fixed effects,1,1,10479,2005,2008,"Multnomah County, OR",OR,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,264194,2007,2010,county,"Multnomah County, OR",41051,49618,735334,185750,41401,80138,304540,1117.05419921875,0,0,0,1,Johnson Creek,,,NR,Single,River,pH,7.309999942779541,pH units,0,7.309999942779541,pH units,Quantitative,5,0,,,,,,NA,,,,Interaction between pH and indicator of property within 1/4 mile of Johnson Creek,distance buffer 1,-.0631999969482422,.1447880864143372,-.4365000128746033,,semi-elasticity of pH within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.4619919955730438,-.0631999969482422,-.4687278866767883,1.056871294975281,-.0641214624047279,.144578829407692,,,
103,9,Netusil et al 2014,Netusil et al 2014,4,SAR 8NN Johnson Creek (Mean),4,pH - non-waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",2,1,Neighborhood and watershed fixed effects,1,1,10479,2005,2008,"Multnomah County, OR",OR,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,264194,2007,2010,county,"Multnomah County, OR",41051,49618,735334,185750,41401,80138,304540,1117.05419921875,0,0,0,1,Johnson Creek,,,NR,Single,River,pH,7.309999942779541,pH units,0,7.309999942779541,pH units,Quantitative,5,0,,,,,,NA,,,,Interaction between pH and indicator of property within 1/4 mile of Johnson Creek,distance buffer 1,-.0631999969482422,.1447880864143372,-.4365000128746033,,semi-elasticity of pH within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.4619919955730438,-.0631999969482422,-.4662017524242401,1.056705355644226,-.0637758895754814,.1445561349391937,,,
104,9,Netusil et al 2014,Netusil et al 2014,4,SAR 8NN Johnson Creek (Mean),5,Temperature - waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",1,1,Neighborhood and watershed fixed effects,1,1,10479,2005,2008,"Multnomah County, OR",OR,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,264194,2007,2010,county,"Multnomah County, OR",41051,49618,735334,185750,41401,80138,304540,1117.05419921875,0,0,0,1,Johnson Creek,,,NR,Single,River,Temperature,11.65499973297119,degrees C,0,11.65499973297119,degrees C,Quantitative,5,0,,,,,,NA,,,,Interaction between Temperature © and indicator of property within 1/4 mile of Johnson Creek,distance buffer 1,.0753000006079674,.0485681109130383,1.550400018692017,,semi-elasticity of temperature within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,.8776214718818665,.0753000006079674,.8780583739280701,.5662018060684204,.0753374844789505,.0485801622271538,,,
105,9,Netusil et al 2014,Netusil et al 2014,4,SAR 8NN Johnson Creek (Mean),6,Temperature - non-waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",2,1,Neighborhood and watershed fixed effects,1,1,10479,2005,2008,"Multnomah County, OR",OR,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,264194,2007,2010,county,"Multnomah County, OR",41051,49618,735334,185750,41401,80138,304540,1117.05419921875,0,0,0,1,Johnson Creek,,,NR,Single,River,Temperature,11.65499973297119,degrees C,0,11.65499973297119,degrees C,Quantitative,5,0,,,,,,NA,,,,Interaction between Temperature © and indicator of property within 1/4 mile of Johnson Creek,distance buffer 1,.0753000006079674,.0485681109130383,1.550400018692017,,semi-elasticity of temperature within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,.8776214718818665,.0753000006079674,.8776434659957886,.5658905506134033,.0753018856048584,.0485534593462944,,,
106,9,Netusil et al 2014,Netusil et al 2014,4,SAR 8NN Johnson Creek (Mean),7,TSS - waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",1,1,Neighborhood and watershed fixed effects,1,1,10479,2005,2008,"Multnomah County, OR",OR,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,264194,2007,2010,county,"Multnomah County, OR",41051,49618,735334,185750,41401,80138,304540,1117.05419921875,0,0,0,1,Johnson Creek,,,NR,Single,River,Total Suspended Solids,10.10999965667725,mg/L,0,10.10999965667725,mg/L,Quantitative,5,0,,,,,,NA,,,,Interaction between TSS (mg/L) and indicator of property within 1/4 mile of Johnson Creek,distance buffer 1,-.0038999998942018,.003641796996817,-1.070899963378906,,semi-elasticity of total suspended solids within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.0394290015101433,-.0038999998942018,-.0394649878144264,.0369063392281532,-.0039035601075739,.0036504790186882,,,
107,9,Netusil et al 2014,Netusil et al 2014,4,SAR 8NN Johnson Creek (Mean),8,TSS - non-waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",2,1,Neighborhood and watershed fixed effects,1,1,10479,2005,2008,"Multnomah County, OR",OR,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,264194,2007,2010,county,"Multnomah County, OR",41051,49618,735334,185750,41401,80138,304540,1117.05419921875,0,0,0,1,Johnson Creek,,,NR,Single,River,Total Suspended Solids,10.10999965667725,mg/L,0,10.10999965667725,mg/L,Quantitative,5,0,,,,,,NA,,,,Interaction between TSS (mg/L) and indicator of property within 1/4 mile of Johnson Creek,distance buffer 1,-.0038999998942018,.003641796996817,-1.070899963378906,,semi-elasticity of total suspended solids within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.0394290015101433,-.0038999998942018,-.0396140888333321,.0368546061217785,-.003918306902051,.0036453620996326,,,
108,9,Netusil et al 2014,Netusil et al 2014,4,SAR 8NN Johnson Creek (Mean),9,Bacteria - waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",1,1,Neighborhood and watershed fixed effects,1,1,10479,2005,2008,"Multnomah County, OR",OR,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,264194,2007,2010,county,"Multnomah County, OR",41051,49618,735334,185750,41401,80138,304540,1117.05419921875,0,0,0,1,Johnson Creek,,,NR,Single,River,E-coli,439.5299987792969,count/100 mL,0,439.5299987792969,counts per 100mL,Quantitative,5,0,,,,,,NA,,,,Interaction between E-coli (count/100 mL) and indicator of property within 1/4 mile of Johnson Creek,distance buffer 1,-.0001794999989215,.0001678039989201,-1.069700002670288,,semi-elasticity of bacteria (E-coli) within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.0788956359028816,-.0001794999989215,-.0785184353590012,.0740480050444603,-.0001786420034477,.0001684710005065,,,
109,9,Netusil et al 2014,Netusil et al 2014,4,SAR 8NN Johnson Creek (Mean),10,Bacteria - non-waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",2,1,Neighborhood and watershed fixed effects,1,1,10479,2005,2008,"Multnomah County, OR",OR,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,264194,2007,2010,county,"Multnomah County, OR",41051,49618,735334,185750,41401,80138,304540,1117.05419921875,0,0,0,1,Johnson Creek,,,NR,Single,River,E-coli,439.5299987792969,count/100 mL,0,439.5299987792969,counts per 100mL,Quantitative,5,0,,,,,,NA,,,,Interaction between E-coli (count/100 mL) and indicator of property within 1/4 mile of Johnson Creek,distance buffer 1,-.0001794999989215,.0001678039989201,-1.069700002670288,,semi-elasticity of bacteria (E-coli) within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.0788956359028816,-.0001794999989215,-.0790580883622169,.0737316161394119,-.0001798699959181,.0001677510008449,,,
110,9,Netusil et al 2014,Netusil et al 2014,5,SAR 8NN Johnson Creek (Wet),1,Dissolved Oxygen - waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",1,1,Neighborhood and watershed fixed effects,1,1,10479,2005,2008,"Multnomah County, OR",OR,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,264194,2007,2010,county,"Multnomah County, OR",41051,49618,735334,185750,41401,80138,304540,1117.05419921875,0,0,0,1,Johnson Creek,,,NR,Single,River,Dissolved oxygen,12.52999973297119,mg/L,0,12.52999973297119,mg/L,Quantitative,5,0,,,,,,NA,,,,Interaction between Dissolved Oxygen (mg/L) and indicator of property within 1/4 mile of Johnson Creek,distance buffer 1,.1278000026941299,.0344688072800636,3.70770001411438,.0099999997764826,semi-elasticity of dissolved oxygen for homes within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,1.601333975791931,.1278000026941299,1.603273153305054,.4327992796897888,.1279547661542892,.0345410443842411,,,
111,9,Netusil et al 2014,Netusil et al 2014,5,SAR 8NN Johnson Creek (Wet),2,Dissolved Oxygen - non-waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",2,1,Neighborhood and watershed fixed effects,1,1,10479,2005,2008,"Multnomah County, OR",OR,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,264194,2007,2010,county,"Multnomah County, OR",41051,49618,735334,185750,41401,80138,304540,1117.05419921875,0,0,0,1,Johnson Creek,,,NR,Single,River,Dissolved oxygen,12.52999973297119,mg/L,0,12.52999973297119,mg/L,Quantitative,5,0,,,,,,NA,,,,Interaction between Dissolved Oxygen (mg/L) and indicator of property within 1/4 mile of Johnson Creek,distance buffer 1,.1278000026941299,.0344688072800636,3.70770001411438,.0099999997764826,semi-elasticity of dissolved oxygen for homes within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,1.601333975791931,.1278000026941299,1.605221271514893,.4310381412506104,.1281102448701859,.0344004891812801,,,
112,9,Netusil et al 2014,Netusil et al 2014,5,SAR 8NN Johnson Creek (Wet),3,pH - waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",1,1,Neighborhood and watershed fixed effects,1,1,10479,2005,2008,"Multnomah County, OR",OR,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,264194,2007,2010,county,"Multnomah County, OR",41051,49618,735334,185750,41401,80138,304540,1117.05419921875,0,0,0,1,Johnson Creek,,,NR,Single,River,pH,7.21999979019165,pH units,0,7.21999979019165,pH units,Quantitative,5,0,,,,,,NA,,,,Interaction between pH and indicator of property within 1/4 mile of Johnson Creek,distance buffer 1,-.0284000001847744,.085645355284214,-.33160001039505,,semi-elasticity of pH within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.205047994852066,-.0284000001847744,-.2055716514587402,.6189401149749756,-.0284725278615952,.0857257768511772,,,
113,9,Netusil et al 2014,Netusil et al 2014,5,SAR 8NN Johnson Creek (Wet),4,pH - non-waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",2,1,Neighborhood and watershed fixed effects,1,1,10479,2005,2008,"Multnomah County, OR",OR,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,264194,2007,2010,county,"Multnomah County, OR",41051,49618,735334,185750,41401,80138,304540,1117.05419921875,0,0,0,1,Johnson Creek,,,NR,Single,River,pH,7.21999979019165,pH units,0,7.21999979019165,pH units,Quantitative,5,0,,,,,,NA,,,,Interaction between pH and indicator of property within 1/4 mile of Johnson Creek,distance buffer 1,-.0284000001847744,.085645355284214,-.33160001039505,,semi-elasticity of pH within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.205047994852066,-.0284000001847744,-.2038111984729767,.6177183389663696,-.0282286964356899,.0855565518140793,,,
114,9,Netusil et al 2014,Netusil et al 2014,5,SAR 8NN Johnson Creek (Wet),5,Temperature - waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",1,1,Neighborhood and watershed fixed effects,1,1,10479,2005,2008,"Multnomah County, OR",OR,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,264194,2007,2010,county,"Multnomah County, OR",41051,49618,735334,185750,41401,80138,304540,1117.05419921875,0,0,0,1,Johnson Creek,,,NR,Single,River,Temperature,7.25,degrees C,0,7.25,degrees C,Quantitative,5,0,,,,,,NA,,,,Interaction between Temperature © and indicator of property within 1/4 mile of Johnson Creek,distance buffer 1,.0696000009775162,.049103993922472,1.417400002479553,,semi-elasticity of temperature within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,.5045999884605408,.0696000009775162,.5046151876449585,.3565185368061066,.0696020945906639,.0491749718785286,,,
115,9,Netusil et al 2014,Netusil et al 2014,5,SAR 8NN Johnson Creek (Wet),6,Temperature - non-waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",2,1,Neighborhood and watershed fixed effects,1,1,10479,2005,2008,"Multnomah County, OR",OR,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,264194,2007,2010,county,"Multnomah County, OR",41051,49618,735334,185750,41401,80138,304540,1117.05419921875,0,0,0,1,Johnson Creek,,,NR,Single,River,Temperature,7.25,degrees C,0,7.25,degrees C,Quantitative,5,0,,,,,,NA,,,,Interaction between Temperature © and indicator of property within 1/4 mile of Johnson Creek,distance buffer 1,.0696000009775162,.049103993922472,1.417400002479553,,semi-elasticity of temperature within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,.5045999884605408,.0696000009775162,.5040250420570374,.3557437360286713,.0695206969976425,.0490681044757366,,,
116,9,Netusil et al 2014,Netusil et al 2014,5,SAR 8NN Johnson Creek (Wet),7,TSS - waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",1,1,Neighborhood and watershed fixed effects,1,1,10479,2005,2008,"Multnomah County, OR",OR,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,264194,2007,2010,county,"Multnomah County, OR",41051,49618,735334,185750,41401,80138,304540,1117.05419921875,0,0,0,1,Johnson Creek,,,NR,Single,River,Total Suspended Solids,15.59000015258789,mg/L,0,15.59000015258789,mg/L,Quantitative,5,0,,,,,,NA,,,,Interaction between TSS (mg/L) and indicator of property within 1/4 mile of Johnson Creek,distance buffer 1,-.0035000001080334,.0026443030219525,-1.323600053787231,,semi-elasticity of total suspended solids within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.0545650012791157,-.0035000001080334,-.0546060167253017,.0411676727235317,-.0035026310943067,.0026406459510326,,,
117,9,Netusil et al 2014,Netusil et al 2014,5,SAR 8NN Johnson Creek (Wet),8,TSS - non-waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",2,1,Neighborhood and watershed fixed effects,1,1,10479,2005,2008,"Multnomah County, OR",OR,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,264194,2007,2010,county,"Multnomah County, OR",41051,49618,735334,185750,41401,80138,304540,1117.05419921875,0,0,0,1,Johnson Creek,,,NR,Single,River,Total Suspended Solids,15.59000015258789,mg/L,0,15.59000015258789,mg/L,Quantitative,5,0,,,,,,NA,,,,Interaction between TSS (mg/L) and indicator of property within 1/4 mile of Johnson Creek,distance buffer 1,-.0035000001080334,.0026443030219525,-1.323600053787231,,semi-elasticity of total suspended solids within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.0545650012791157,-.0035000001080334,-.0545470975339413,.0412323214113712,-.0034988520201296,.0026447928976268,,,
118,9,Netusil et al 2014,Netusil et al 2014,5,SAR 8NN Johnson Creek (Wet),9,Bacteria - waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",1,1,Neighborhood and watershed fixed effects,1,1,10479,2005,2008,"Multnomah County, OR",OR,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,264194,2007,2010,county,"Multnomah County, OR",41051,49618,735334,185750,41401,80138,304540,1117.05419921875,0,0,0,1,Johnson Creek,,,NR,Single,River,E-coli,368.3999938964844,count/100 mL,0,368.3999938964844,counts per 100mL,Quantitative,5,0,,,,,,NA,,,,Interaction between E-coli (count/100 mL) and indicator of property within 1/4 mile of Johnson Creek,distance buffer 1,.0001737999991747,.0002021399996011,.8597999811172485,,semi-elasticity of bacteria (E-coli) within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,.0640279203653336,.0001737999991747,.0647745728492737,.0744250938296318,.0001758269936545,.0002020230022026,,,
119,9,Netusil et al 2014,Netusil et al 2014,5,SAR 8NN Johnson Creek (Wet),10,Bacteria - non-waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",2,1,Neighborhood and watershed fixed effects,1,1,10479,2005,2008,"Multnomah County, OR",OR,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,264194,2007,2010,county,"Multnomah County, OR",41051,49618,735334,185750,41401,80138,304540,1117.05419921875,0,0,0,1,Johnson Creek,,,NR,Single,River,E-coli,368.3999938964844,count/100 mL,0,368.3999938964844,counts per 100mL,Quantitative,5,0,,,,,,NA,,,,Interaction between E-coli (count/100 mL) and indicator of property within 1/4 mile of Johnson Creek,distance buffer 1,.0001737999991747,.0002021399996011,.8597999811172485,,semi-elasticity of bacteria (E-coli) within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,.0640279203653336,.0001737999991747,.063859336078167,.0745575278997421,.0001733420067467,.0002023819979513,,,
120,9,Netusil et al 2014,Netusil et al 2014,6,SAR 8NN Dry - Burnt Bridge Creek,1,Dissolved Oxygen - waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",1,1,Neighborhood and watershed fixed effects,1,1,5093,2005,2008,"Clark County, WA",WA,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,238878,2007,2010,county,"Clark County, WA",53011,58262,425363,69099,8426,32166,158099,1629.112670898438,0,0,0,1,Burnt Bridge Creek,,,NR,Single,River,Dissolved oxygen,6.940000057220459,mg/L,0,6.940000057220459,mg/L,Quantitative,5,0,,,,,,NA,,,,Interaction between Dissolved Oxygen (mg/L) and indicator of property within 1/4 mile of Burnt Bridge Creek,distance buffer 1,.0102000003680587,.0250306744128466,.4074999988079071,,semi-elasticity of dissolved oxygen for homes within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,.0707880035042763,.0102000003680587,.0707269459962845,.1739701926708221,.0101912030950189,.025067750364542,,,
121,9,Netusil et al 2014,Netusil et al 2014,6,SAR 8NN Dry - Burnt Bridge Creek,2,Dissolved Oxygen - non-waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",2,1,Neighborhood and watershed fixed effects,1,1,5093,2005,2008,"Clark County, WA",WA,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,238878,2007,2010,county,"Clark County, WA",53011,58262,425363,69099,8426,32166,158099,1629.112670898438,0,0,0,1,Burnt Bridge Creek,,,NR,Single,River,Dissolved oxygen,6.940000057220459,mg/L,0,6.940000057220459,mg/L,Quantitative,5,0,,,,,,NA,,,,Interaction between Dissolved Oxygen (mg/L) and indicator of property within 1/4 mile of Burnt Bridge Creek,distance buffer 1,.0102000003680587,.0250306744128466,.4074999988079071,,semi-elasticity of dissolved oxygen for homes within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,.0707880035042763,.0102000003680587,.0703277215361595,.1739089488983154,.0101336780935526,.025058925151825,,,
122,9,Netusil et al 2014,Netusil et al 2014,6,SAR 8NN Dry - Burnt Bridge Creek,3,Bacteria - waterfront,2014,Journal,Table 6,Property sale price,0,log-lin,e,NA,"discrete buffers (0-1/4 mile, 1/4-1/2 mile,1/2-1 mile, >1 mile)",1,1,Neighborhood and watershed fixed effects,1,1,5093,2005,2008,"Clark County, WA",WA,waterfront and non-waterfront homes within 2 miles,Single-family residential properties,238878,2007,2010,county,"Clark County, WA",53011,58262,425363,69099,8426,32166,158099,1629.112670898438,0,0,0,1,Burnt Bridge Creek,,,NR,Single,River,Fecal coliform,306.3099975585938,count/100 mL,0,306.3099975585938,counts per 100mL,Quantitative,5,0,,,,,,NA,,,,Interaction between Fecal coliform (count/100 mL) and indicator of property within 1/4 mile of Burnt Bridge Creek,distance buffer 1,-.0003190000134055,.0003395419917069,.9394999742507935,,semi-elasticity of pH within 1/4 mile of waterfront,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.0977128893136978,-.0003190000134055,-.0977858901023865,.1035984829068184,-.0003192379954271,.0003382150025573,,,
