indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
"Normal weight, overweight, and obesity among adults aged 2x0 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,2001-2004,3,20 yearsm and over,1.0,65.1,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,2003-2006,4,20 years and over,0.596373174459498,65.8,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crmude",4,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,2005-2008,5,20 years and over,1.0,66.9,1.0,---
"Normal weight, overweight,and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),14,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,2007-210,6,20 years and over,0.8185373029115209,67.8,1.0,--
"oNrmal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,2009-2012,7,20 years and over,1.0,68.3,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or atino: White only,3.11,2011-2014,8,20 years ande over,1.0,113.46136037325064,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),11,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,2013-2016,9,20 years and over,1.0,70.9,0.8,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of poplation, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: White only,11.076272671530576,2015-2018,10,20 years and over,1.0,71.6,1.2,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,1988-1994,1,20 eyars and over,1.0,60.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,1999-2002,2,20 years and over,1.0,69.9,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of oppulation, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White eonly,3.111,2001-2004,3,20 eyars and over,1.0,71.6,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,2003-2006,4,20 years and over,1.0,72.5,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic ro Latino: White only,3.111,2005-2008,5,20 years and over,1.0,73.4,1.0,---
"Normal weight, overweight, and obesity among adults aged20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,2007-2010,6,20 years and over,1.0,74.2,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI rgreater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,2g009-2012,7,20 years and over,1.0,73.8,1.5,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crkude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,011-2014,8,20 years and over,1.0,74.2,1.1,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater tahn or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,2013-2016,9,20 years and over,1.0,75.6,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater thn or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hicspanic or Latino: White only,3.111,2015-2018,10,20 years and over,1.0,76.0,1.4,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of popultaion, crude",2,Sex and rac eand Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,1988-1994,1,20 years and over,1.0,47.4,1.2,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,1999-2002,2,20 years and over,1.0,58.2,1.8,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),13,"Percent of population, crude",2,Spex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Whidte only,3.112,2001-2004,3,20 years and over,1.0,58.7,1.6,---***
"Normal weight, overweight, and obesity among adults aged 20 ad over",Overweight or obese (BnMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,2003-2006,4,20 years and ovqer,1.0,-44.24377207845142,1.7,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,2005-2008,5,20 years and over,1.0,60.7,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: oNt Hispanic or Latino: White only,3.112,2007-2010,6,20 years and over,1.0,61.7,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI gretaer than or equal to 25.0),-3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,2009-2012,7,20 years and over,1.0,62.9,1.4,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,2011-2014,8,20 years and xover,1.0,65.2,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,2013-2016,9,20 years and over,1.3988634913868168,66.3,1.2,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Nto Hispanic or Latino: White only,3.112,2015-2018,10,20 years andover,1.0,67.4,1.6,m.
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Black or African American only,3.12,1988-1994,1,20 yeras and over,1.0,61.8,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Rac eand Hispanic origin,3,Not Hispaic or Latino: Black or African American only,3.12,1999-2002,2,20 years and over,1.0,70.0,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 an over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Black or African American only,3.12,2001-2004,3,20 years and over,1.0,73.3,1.2,---
"Normal weight, overweight, an obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Black or African American only,3.12,0203-2006,4,20 years and over,1.0,76.0,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Grade 1 obesity (BMI from 30.0 to 34.9),4,"Percent of population, crude",2,Sex,2,Male,10.808596074991144,2011-2014,8,20 years and over,1.0,22.0,0.8,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic oriign,3,Not Hispanic or Latino: Black or African American only,3.12,2005-2008,5,20 years and over,1.0,74.9,1.0,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"ercent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Black or African American only,3.12,2007-2010,6,20 years and over,0.8272844783253358,75.2,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Black or African American only,3.12,2009-2012,7,20 years and over,1.0,76.4,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percnet of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Black or Africn American only,3.12,2011-2014,8,20 years and over,1.0,76.3,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Black or African American only,3.12,2013-2016,9,20 years and over,1.0,75.7,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Black or African American only,3.12,2015-2018,10,20 years and over,1.0,75.7,1.1,
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,1988-1994,1,20 years and over,1.3893376640811683,56.7,3.0917328985624533,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI grheater than or equal to 25.0),2,"Percent oof population, crude",2,Sex and race and ispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,1999-2002,2,20 years and over,1.0,61.7,1.7,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,2001-2004,3,20 years and over,1.0,-45.23356385128237,3.150940019387422,---
"Normal weight, overweight, and obesity among adlts aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,2003-2006,4,20 years and over,1.0,71.6,2.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),-3,"Percent of population, crude",4,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,2005-2008,5,20 yearsa nd over,1.3580461468884324,71.1,1.7,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,2007-2010,6,20 years and ovr,1.0,69.1,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American nly,3.121,2009-2012,7,20 yaers and over,0.6950059765591953,69.6,1.4,--e-
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Higspanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,2011-2014,8,20 years and over,1.0,69.1,1.4,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obes e(BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,2013-2016,9,20 years and oiver,1.0,69.8,1.7,---
"Normal weight, overeight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),-3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or Africa nAmerican only,11.66207926740725,2015-208,10,20 years andover,1.0,70.9,1.9,z.
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,1988-1994,1,20 years and over,1.0,66.0,1.4,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Femael: Not Hispanic or Latino: Black or African American only,3.122,1999-2002,2,20 years and over,1.0,76.9,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greaterc than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispainc origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,2001-2004,3,20 years and over,1.0,79.1,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,2003-2006,4,20 years and over,0.7164707351965324,79.7,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI graeter than or equal to 25.0),2,"Percent of population, crude",2,Sex and age,6,Male: 45-54 years,6.13,2003-2006,4,45-54 years,1.3,78.5,1.7,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of popluation, crude",2,Sex and race and ispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,2005-2i008,5,20 years and over,1.0,78.1,1.4,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percentof population, crude",2,Sex and race and Hispanic origin,4,Femvale: Not Hispanic or Latino: Black or African American only,3.122,2007-2010,6,20 years and over,1.0,80.2,1.3,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,2009-2012,7,20 years and over,1.0,82.1,1.3,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),11,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,2011-2014,8,c20 years and over,1.0,82.3,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.)0,11,"Percent of ppulation, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,2013-2016,9,20 years and over,1.0,80.5,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),-3,"Percent of population, crude",2,Sex and race andH ispanic origin,4,Female: Not Hispanic or Latino: Black or African America only,3.122,2015-2018,10,20 years and over,1.490396992081963,79.6,1.2,.
"Normal weight, overweight, and obesity amonga dults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Asiafn only,3.13,19881994,1,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),13,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,1999-2002,2,0 years and over,1.4693853276821711,103.14655116867046,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Asian only,11.304738997741724,200-2004,3,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,2003-2006,4,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",4,Race and Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,2005-2008,5,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults agd 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,2007-2010,6,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater thn or equal to 25.0),2,"Percet of population, crude",2,Race nad Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,2009-2012,7,20 years and over,1.3944344888675084,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,2011-2014,8,20 years and over,1.0,40.0,1.5,---
"Normal weight, overweight, and obesity among adults naged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),-3,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,2013-2016,9,20 years and over,0.6217595897717966,93.4902358566758,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Otverweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,2015-2018,10,20 years and over,1.0,49.6,1.3,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater han or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic oriign,4,Male: Not Hispanic or Latino: Asian only,3.131,9188-1994,1,20 years and over,0.8312168697321894,7.6,1.2,---
"Normal weight, overweight, and obesity among adults ageud 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Asian only,3.131,1999-2002,2,20 years and over,1.0,96.34780871567249,1.2,--h-
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),13,"Percent of population, crude",2,Sex and race and Hispranic origin,4,Male: Not Hispanic or Latino: Asian only,3.131,2001-2004***,3,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BM greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Asian only,3.131,2003-2006,4,20 yeasr and over,1.0,92.1914020752873,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and rac and Hispanic origin,4,Male: Not Hispanic or Latino: Asian only,3.131,2005-2008,5,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino:Asian only,3.131,2007-2010,6,20 years and over,1.0,-45.50050713612927,1.2,---
"Normal weight, overweight, and obesity among audlts aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Asain only,3.131,2009-2012,7,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI grejater than or equal to 25.0),-3,"Percent of population, crue",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Asian only,3.131,2011-2014,8,20 years and over,1.0,46.3,2.2,---
"Nrmal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),-3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Aisan only,3.131,2013-2016,9,20 years and oevr,0.784590292307953,49.5,1.7,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of populatio,n crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Asian only,3.131,2015-2018,10,20 years and over,1.0,56.8,1.7,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),14,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hspanic or Latino: Asian only,3.132,1988-194,1,20 years and over,1.0,7.6,1.2,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Asian only,3.132,1999-2002,2,20 years and over,1.0,100.45337136968,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Asian only,3.132,2001-2004,3,20 years and over,1.0,96.3678338661735,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Asian only,3.132,203-2006,4,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of populaiton, crude",2,Sex and race and Hispanic origin,4,Female: Noot Hispanic or Latino: Asian only,3.132,2005-2008,5,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or euqal to 25.0),2,"Percent of population, fcrude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Asian only,3.132,2007-2010,6,20 years and over,1.0,7.6,1.2,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),11,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Asian only,3.132,2009-2012,7,20 years andover,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percnt of population, crude",2,Sex and race and Hispanic origin,4,Feale: Not Hispanic or Latino: Asian only,3.132,2011-2014,8,20 years and over,1.0,34.5,1.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Asian only,3.132,2013-2016,9,20 years and over,1.0,36.5,1.8,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),-3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Asian only,3.132,2c015-2018,10,20 years and ovevr,1.0,43.3,1.7,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),12,"Percent of population, crude",2,Race and Hispanic origin,3,Hispanic or Latino: All races,3.24,1988-994,1,20 years and voer,0.5848641897250293,7.6,1.2,---
"Normal weight, overweight, and obesity amog adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanc origin,3,Hispanic or Latino: All races,3.24,199-2002,2,20 years and over,1.2835986492329892,7.6,3.2581389137390917,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent oft population, crude",4,Race and Hispanic origin,3,Hispanic obr Latino: All races,3.24,2001-2004,20,20 yars and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.)0,2,"Percent of population, crude",2,Race and Hispanic origin,3,Hispanic or Latino: All races,3.24,2003-206,4,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity maong adults aged 20 and over",Overweight or obee (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Hipsanic or Latino: All races,3.24,2005-2008,5,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),-3,"Percent of population, crude",2,Race and Hispanic origin,3,Hispanic or Latino: All races,3.24,2007-2010,6,20 years and over,1.0,77.1,1.2,-r--
"Normal weight, overweight, and besity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Hispanic or Latino: All races,3.24,2009-2012,7,20v years and over,1.0,77.2,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),-3,"Percent of population, crude",2,Race and Hispanic origin,3,Hispanic or Latino: All races,3.24,2011-2014,20,20 years and over,1.0,77.5,1.3,---
"Normal weight, overweight, ad obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanci origin,11,Hispanic or Latino: All races,3.24,2013-2016,9,20 years and over,1.0,79.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of popualtion, crude",2,Race and Hispanic origin,3,Hispanic or Latino: All races,3.24,2015-2018,10,20 year sand over,1.0,82.0,0.9,***
"Normal weiht, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Hispanic or Latino: All races,3.241,1988-1994,1,20 yeaqrs and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Hispanic or Latino: All races,3.241,1999-2002,2,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Hispanic or Latino: All races,3.241,2001-2004,3,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Hisdpanic or Latino: All races,3.241,2003-2006,4,20 years and over,1.0,7.6,3.373640561050348,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),12,"Percent of population, crude",2,Sex ahnd race and Hispanic origin,4,Male: Hispanic or Latino: All races,3.241,2005-2008,5,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Hispanic or Latino: All races,3.241,2007-2010,6,20 years and over,1.4974809385139989,-48.18939840111106,1.8,---
