OBJECTID,ID305B,CYCLE,NAME,LOCATION,MILES,NHD_BASIN,AQUATIC_LIFE,RECREATION,FISH_CONSUMPTION,DRINKING_WATER_SUPPLY,SHAPE_Length
159,CT3207-00_01c,2010,Fenton River-01c,"From confluence with unnamed tributary (~1 mile US of Gurleyville Road crossing), perpendicular to Hoursebarn Hill Road, US to Route 44 crossing, Mansfield.",0.95,01100002,Fully Supporting,Not Assessed,Fully Supporting,Not Assessed,5040.38887410612
160,CT3207-00_02,2010,Fenton River-02,"From Route 44 crossing, Mansfield, US to headwaters (just US of Buchner Road crossing), Willington.",10.75,01100002,Not Assessed,Not Assessed,Fully Supporting,Not Assessed,56775.2220533586
161,CT3208-00_01,2010,Sawmill Brook (Mansfield)-01,"From mouth at confluence with Natchaug River (DS of Route 6 and Route 195 intersection crossing), Windham, US to Conantville Road crossing, Mansfield.",1.11,01100002,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,5845.66035395126
162,CT3208-00_02,2010,Sawmill Brook (Mansfield)-02,"From Conantville Road crossing, US to headwaters (US of Spring Hill Road crossing), Mansfield.",3.92,01100002,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,20693.1226735071
163,CT3800-00_01,2010,Shetucket River-01,"From end of estuary, at Route 2 crossing, US to Greenville dam, Norwich.",1.56,01100002,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,8220.28852356395
164,CT3800-00_02,2010,Shetucket River-02,"From Greenville Dam, Norwich, US through Greenville Dam impoundment, Taftville Pond, and Occum Pond to Sprague (Baltic) WPCF, Sprague.",6.09,01100002,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,32143.9766547255
165,CT7109-00_01,2010,Sasco Brook-01,"From Bulkely Pond OUTLET dam (US side of Post Road East (Route 1) crossing), Westport/Fairfield town border, US to Hulls Farm Road crossing (just DS of Great Brook confluence), Westport/Fairfield town border. (Segment includes Buckley Pond)",1.42,01100006,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,7496.04809103749
166,CT7109-00_02,2010,Sasco Brook-02,"From Hulls Farm Road crossing (just DS of Great Brook confluence), Westport/Fairfield town border, US to headwaters at marsh (US of Burr Street crossing), Fairfield.",5.2,01100006,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,27465.4767175998
167,CT7109-06_01,2010,Great Brook (Fairfield)-01,"From mouth at confluence with Sasco Brook (just US of Hulls Farm Road crossing of Sasco Brook, east bank), US to first confluence with unnamed brook (just US of Morehouse Lane crossing, DS of marsh), Fairfield.",0.72,01100006,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3775.73497521208
168,CT7109-06_02,2010,Great Brook (Fairfield)-02,"From first confluence with unnamed brook (just US of Morehouse Lane crossing, DS of marsh), US to headwaters at marsh (US of Congress Street crossing, southwest of Cross highway and Hillside road intersection), Fairfield.",2.2,01100006,Not Assessed,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,11592.3515657535
169,CT7200-00_01,2010,Saugatuck River-01,"From Hydraulic Pond OUTLET dam (head of estuary, saltwater limit), US (through Hydraulic Pond and lower end of Lee Pond) to confluence with West Branch Saugatuck River (parallel with Ford Road), Westport.",1.74,01100006,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,9172.25464917534
170,CT7200-00_02,2010,Saugatuck River-02,"From confluence with West Branch Saugatuck River (parallel with Ford Road), Westport, US (through upper end of Lee Pond) to Samuel Senior dam at Saugatuck Reservoir outlet, Weston.",6.46,01100006,Insufficient Information,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,34095.772591767
171,CT2102-00_01,2010,Copps Brook-01,"From mouth at Quiambog Cove (parallel to Cove Road), US to Palmer (Mystic) Reservoir outlet dam (just US of Jerry Brown Road crossing), Stonington.",0.77,01100003,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,4043.39431591768
172,CT2102-00_02,2010,Copps Brook-02,"From inlet to Palmer (Deans/Mystic) Reservoir (just DS of Pequot Trail (Route 234) road crossing), Stonington, US to headwaters (just US of Mystic Road (Route 201) crossing, North Stonington.",4.32,01100003,Not Assessed,Not Assessed,Fully Supporting,Not Assessed,22817.8563904229
173,CT2103-00_01,2010,Seth Williams Brook-01,"From mouth at Whitford Brook on Ledyard/Stonington town line, US to Shewville Road crossing, Ledyard.",0.42,01100003,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,2227.06412486354
174,CT2103-00_02,2010,Seth Williams Brook-02,"From Shewville Road crossong,  US to Highlands POTW (DS of Town Farm Road, parallel to Shewville Road), Ledyard.",0.53,01100003,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,2795.08265915911
175,CT2103-00_03,2010,Seth Williams Brook-03,"From Highlands POTW (DS of Town Farm Road crossing, parallel to Shewville Road), US to headwaters (US of Shewville Road crossing, south of Route 214 intersection), Ledyard.",2.1,01100003,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,11091.3885771908
176,CT2104-00_01,2010,Whitford Brook-01,"From mouth at head of Mystic River Estuary (at confluence with Haleys Brook, above Mystic River, DS of Route 27 crossing), Stonington/Groton town line, US to area east of the Shewville Road and Gallup Hill Road intersection, Ledyard/Stonington town line.",1.63,01100003,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,8601.57215003808
177,CT2104-00_02a,2010,Whitford Brook-02a,"From area east of the Shewville Road and Gallup Hill Road intersection, Ledyard/Stonington town line, US to entrance of ""Lantern Hill"" wellfield (west of Lantern Hill Road, in marsh parallel with Stony Pond), Ledyard/Stonington town line.",0.74,01100003,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,3916.4083067842
178,CT2104-00_02b,2010,Whitford Brook-02b,"From entrance of ""Lantern Hill"" wellfield (west of Lantern Hill Road, in marsh parallel with Stony Pond), Ledyard/Stonington town line, US to confluence with Seth Williams Brook, Ledyard/Stonington town line.",0.43,01100003,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,2258.60221480208
179,CT2104-00_03,2010,Whitford Brook-03,"From confluence with Seth Williams Brook, US to Whitford Pond outlet dam (just US of Whitford Road crossing), Ledyard/Stonington town line.",0.3,01100003,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,1565.1308442032
180,CT3900-00_01,2010,Yantic River-01,"From Vermont RailRoad crossing (just US of Falls Mill lower dam), Norwich, US to Fitchville Pond outlet dam (just US of Fitchville Road crossing), Bozrah.",6.46,01100003,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,34097.0289383993
181,CT3900-00_02,2010,Yantic River-02,"From Fitchville Pond inlet (Haughton Road crossing, north side of Route 2, exit 23), Bozrah, US to headwaters at confluence of Sherman Brook and Deep River, Lebanon.",5.93,01100003,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,31293.6957285745
182,CT3900-00_trib_01,2010,"Unnamed Trib, Yantic River (Norwich Landfill)-01","From mouth at confluence with Yantic River, just DS of RailRoad crossing (100m US of I395 crossing of Yantic River), US to Browning Pond outlet dam, Norwich (influenced by Landfill).",0.57,01100003,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,2987.41267740887
183,CT3900-07_01,2010,Kahn Brook-01,"From mouth at confluence with Yantic River (just DS of Fitchville Road crossing), US to chicken farm road crossing, Bozrah.",0.61,01100003,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3211.93075215288
184,CT5201-04_01,2010,Dayton Brook-01,"From mouth at confluence with Eightmile River (west side of I84, south of Jude Lane), US to headwaters (just US of Sandra Lane crossing), Southington.",2.03,01100004,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,10726.0037272282
185,CT5201-08_01,2010,Roaring Brook (Southington)-01,"From mouth at confluence with Dayton Brook (west side of I84), Southington, US to New Britian Reservoir outlet dam at south end of Wolcott Reservoir, Wolcott.",2.25,01100004,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,11896.7270182589
186,CT5202-00_01,2010,Tenmile River (Southington/Cheshire)-01,"From mouth at confluence with Quinnipiac River (DS of Old Turnpike Road crossing), Southington, US to Lake Percivel outlet dam on Moss Farms Pond (just US of Jarvis Street crossing), Cheshire.",4.1,01100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,21645.397709704
187,CT5202-00_02,2010,Tenmile River (Cheshire)-02,"From inlet to Moss Farms Pond (on southwest end), US to headwaters at Mixville Pond outlet dam (just US of Notch Road crossing), Cheshire.",1.42,01100004,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,7494.28294933084
188,CT1000-00_01,2010,Pawcatuck River-01,"From head of tide, Rte 1 crossing in Pawcatuck-Westerly, US to RI border.",5.38,01090005,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,28385.5837869173
189,CT1001-00_01,2010,Wyassup Brook-01,"From mouth at confluence with Green Fall River (on North side and parallel to Route 216 (Clarks Falls Road)), US to Wyassup Lake outlet (just US of Wyassup Road crossing), North Stonington.",5.27,01090005,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,27816.4036988189
190,CT4013-00_01,2010,Sumner Brook-01,"From mouth at Connecticut River, Middletown, US to confuence with Long Hill Brook.",0.97,01080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5128.7203601508
191,CT4013-08_01,2010,Long Hill Brook-01,"From mouth at Sumner Brook, US to Pameacha Pond outlet dam, just US of Pamecha Avenue crossing, Middletown.",0.45,01080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2359.57269624855
192,CT4015-02_01,2010,Beaver Meadow Brook-01,"From mouth at confluence with Pole Bridge Brook (above Mill Creek), US to headwaters, just US of Beaver Meadow Road crossing, Haddam",2.62,01080205,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,13859.8211691956
193,CT6000-62_01b,2010,Fivemile Brook (Oxford)-01b,"From confluence with unnamed tributary (parallel to Old Country Road and DS of Route 188 crossing), US to headwaters in marsh (US of Moose Hill Road crossing), Oxford.",1.28,01100005,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,6771.83202892386
194,CT6001-00_01,2010,Sages Ravine Brook-01,"from mouth at confluence with Schenob Brook, US to Under Mountain Road (Route 41) crossing, Salisbury.",0.66,01100005,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,3487.76541478269
195,CT6001-00_02,2010,Sages Ravine Brook-02,"From Under Mountain Road (Route 41) crossing, Salisbury, US to Massachusetts state border, Salisbury.",0.68,01100005,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,3565.71941525506
196,CT6004-00_01,2010,Konkapot River-01,"From Massachusetts state border (DS of Clayton Road crossing), US to Massachusetts state border (US of Old Turnpike Road crossing), North Canaan. (Small loop through northern Connecticut).",2.44,01100005,Not Assessed,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,12894.4879397175
197,CT4305-02_01,2010,Mallory Brook-01,"From confluence with Morgan Brook, US to Tennessee Gas pipeline crossing (near Barkhamsted and Winchester town line, south of Route 44), Barkhamsted.",1.54,01080207,Insufficient Information,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,8134.2027478008
198,CT4305-02_02,2010,Mallory Brook-02,"From Tennessee Gas Pipeline Crossing (end of segment-01, near Barkhamsted and Winchester town line, south of Route 44), US to headwaters, Winchester.",0.7,01080207,Fully Supporting,Insufficient Information,Fully Supporting,Water Not Classified For Drinking Supply,3699.79800551978
199,CT4306-00_01,2010,Valley Brook-01,"From mouth at northwestern most portion of Barkhamsted Reservoir, Hartland, US (towards northeast) to CT/MA state line.",0.73,01080207,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,3879.07302776544
200,CT4307-00_01,2010,Hubbard Brook-01,"From mouth at northwestern most portion of Barkhamsted Reservoir, Hartland, US (towards northwest) to CT/MA state line.",0.57,01080207,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,3032.34559378578
201,CT4314-00_02,2010,Coppermine Brook (Bristol)-02,"From drinking water watershed boundary and water diversion (just US of confluence with Polkville Brook), US to headwaters (confluence of Whigville & Wildcat Brooks).",2.66,01080207,Fully Supporting,Not Assessed,Fully Supporting,Not Assessed,14065.3649802611
202,CT4314-05_01,2010,Wildcat Brook Unnamed tributary-01,"Unnamed tributary, from confluence with Wildcat Brook (West side, approximately 0.6 miles US from mouth of Wildcat Brook, parallel with Stone Road), Burlington.",0.81,01080207,Not Assessed,Not Assessed,Fully Supporting,Not Assessed,4299.60610488098
203,CT4315-00_01,2010,Pequabuck River-01,"From mouth at Farmington River, US to RailRoad crossing (US (south) of Route 72 crossing), Plainville.",5.37,01080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,28332.1219259737
204,CT4315-00_02,2010,Pequabuck River-02,"From RailRoad crossing (US (south) of Route 72 crossing), Plainville, US to Bristol POTW outfall (DS of route 229 crossing), Bristol.",3.37,01080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,17817.0136960853
205,CT7107-00_01,2010,Cricker Brook (Fairfield)-01,"From mouth at confluence with Swamp Mortar Reservoir (Mill River) parallel to Route 58 (Black Rock Turnpike), US to Hemlock Reservoir outlet dam, Fairfield. ",1.69,01100006,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,8930.02166449997
206,CT7107-00_02,2010,Cricker Brook (Easton)-02,"From confluence with Hemlocks Reservoir (DS of Wilson Road crossing), US to HW near Route 136, Easton. ",2.5,01100006,Not Assessed,Not Assessed,Fully Supporting,Not Assessed,13199.6657874849
207,CT7301-00_01,2010,Comstock Brook (Wilton)-01,"From mouth at confluence with Norwalk River (segment-02, just DS of Lovers Lane crossing), US to confluence with Barretts Brook (outlet for Popes Pond, parallel to Route 33, at intersection with Signal Hill Road), Wilton.",2.02,01100006,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,10682.7603366592
208,CT2104-00_04,2010,Whitford Brook-04,"From inlet to Whitford Pond (northeast portion of pond), Ledyard/Stonington town line, US to Long Pond outlet dam (just US of Lantern Hill Road crossing), Ledyard.",0.89,01100003,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,4675.41607719361
209,CT2202-00_01,2010,Latimer Brook-01,"From mouth at confluence with Niantic River (head of tide at Banning Cove inlet, just DS of Route 1 crossing, south side of I95, east of exit 75), US to confluence with Cranberry Meadow Brook (parallel with Route 161), East Lyme",4.23,01100003,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,22354.8687399263
210,CT2202-00_02,2010,Latimer Brook-02,"From confluence with Cranberry Meadow Brook (parallel with Route 161), East Lyme, US to Beckwith Pond outlet dam (boundary of drinking water watershed, just US of Route 85 crossing), Montville.",3.43,01100003,Insufficient Information,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,18104.1629744592
211,CT2202-00_03,2010,Latimer Brook-03,"From Beckwith Pond inlet (in marsh on northern side), US to headwaters at Barnes Reservoir outlet dam, Montville/Salem.",1.26,01100003,Not Assessed,Not Assessed,Fully Supporting,Not Assessed,6677.96012758753
212,CT2205-00_01,2010,Pattagansett River-01,"From head of tide, just DS of Route 156 crossing, US to Gorton Pond outlet dam (just US of Roxbury Road crossing, east of Route 161 intersection), East Lyme.",1.2,01100003,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,6357.00984887961
213,CT2205-00_02,2010,Pattagansett River-02,"From inlet to Gorton Pond (northern side in marsh, just DS of I95 crossing), US to Pattagansett Lake outlet dam (just US of Route 1 crossing), East Lyme.",1.9,01100003,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,10058.3372458573
214,CT2205-00_03,2010,Pattagansett River-03,"From inlet to Pattagansett Lake (northwest portion of lake), US to Powers Lake outlet dam (just US of Upper Pattagansett Road crossing), East Lyme.",0.95,01100003,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,5029.35799172303
215,CT2206-00_01,2010,Bride Brook-01,"From head of estuary (salt water limit, just DS of Route 156 crossing),  US to Bride Lake outlet dam (just US of North Bride Brook Road), East Lyme.",0.7,01100003,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3702.2700563479
216,CT2206-00_02,2010,Bride Brook-02,"From inlet to Bride Lake (northwest portion, just DS of North Bride Brook Road crossing), US to headwaters (marsh on south side of Route 1), East Lyme.",2.13,01100003,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,11243.2795181262
217,CT3000-08_01,2010,Flat Brook (Ledyard)-01,"From mouth at confluence with Thames River (inlet to Long Cove, North of Navy Base) Gales Ferry/Ledyard, US to headwaters at unnamed pond, Groton (Brook runs North).",1.09,01100003,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5780.81524158911
218,CT3001-00_01,2010,Trading Cove Brook-01,"From head of tide at confluence with Thames River (inlet to Trading Cove, just DS from Route 32 crossing), Norwich/Montville town line, US to headwaters (in marsh just US of Bozrah Road (Route 163) crossing), Montville.",7.24,01100003,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,38226.4296128504
219,CT3003-00_01,2010,Poquetanuck and Hewitt Brooks-01,"From mouth of Poquetanuck Brook (at confluence with Thames River, inlet to Poquetanuck Cove, just DS of Poquetanuck Road (Route 2A) crossing), US to confluence with Hewitt Brook, then CONTINUES US in Hewitt Brook to Hallville Pond outlet dam.",1.69,01100003,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,8898.53380665057
220,CT3004-00_01,2010,Oxoboxo Brook-01,"From mouth at head of tide (inlet to Gay Cemetery Pond, Horton Cove, Thames River), US to Wheeler Pond outlet dam, Montville. (Segment includes Rockland Pond)",2.62,01100003,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,13818.6606878333
221,CT3004-00_02,2010,Oxoboxo Brook-02,"From inlet to Wheeler Pond (northwestern portion, DS of Meeting House Lane road crossing), US to Oxoboxo Lake outlet dam. (Includes Scholfield Pond)",2.95,01100003,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,15561.4506887271
222,CT3900-07_02,2010,Kahn Brook-02,"From chicken farm road crossing, Bozrah, US to headwaters (near Lebanon Road (Route 87) US of Kahn Road crossing) Franklin.  (Segment includes Kahn Pond). ",2.34,01100003,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,12339.608948683
223,CT3900-09_01,2010,Bentley Brook-01,"From mouth at confluence with Yantic River (just DS of Route 2 crossing, on Bozrah/Norwich town border), US to headwaters, Gager Road, Bozrah.",2.24,01100003,Not Assessed,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,11820.8294051698
224,CT3903-00_01,2010,Sherman Brook-01,"From mouth at confluence with Deep River, above Yantic River, Lebanon, US to headwaters (just US of Lebanon Avenue (Route 16 crossing), Colchester.  (Segment includes Sherman Pond).",5.01,01100003,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,26455.9670603882
225,CT3905-00_01,2010,Pease Brook-01,"From mouth at confluence with Yantic River, Bozrah, US to headwaters (just US of Burnham Road crossing, Lebanon",9.63,01100003,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,50832.0138841572
226,CT3906-00_01,2010,Gardner Brook-01,"From mouth at confluence with Yantic River (inlet to Fitchville Pond, southeast side parallell to Route 163), US to Gardner Lake outlet dam (just US of Lake Road crossing), Bozrah.",4.84,01100003,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,25529.3949658199
227,CT3907-00_01,2010,Susquetonscut Brook-01,"From mouth at confluence with Yantic River, bozrah/Norwich town border (just DS of RailRoad crossing), US to headwaters (just US of Bender Road crossing, along south side of Beaumont Highway and Rafferty Road intersection, Lebanon.",13.55,01100003,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,71554.682378706
228,CT5000-55_01,2010,Unnamed trib to Oyster River (Milford)-01,"From Merwin Avenue crossing, US to RailRoad (Amtrak) crossing (just US of Quirkes Pond (included in segment)), Milford. ",1.47,01100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,7776.93987857447
229,CT5000-55_02,2010,Unnamed trib to Oyster River (Milford)-02,"From RailRoad (Amtrak) crossing (just US of Quirks Pond), US to headwaters (inlet to unnamed swamp), just US of Cascade Boulevard (entrance to Light Sources Inc.), Milford.",0.43,01100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,2245.53566801621
230,CT5103-00_01,2010,Menunketesuck River-01,"From inlet to Chapman Pond (just DS of Pleasant Valley Road crossing), Westbrook, US to Lockwood Lake outlet dam on Bushy Pond (just US of Woods Lane crossing), Clinton.",2.03,01100004,Insufficient Information,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,10740.838604056
231,CT5103-00_02,2010,Menunketesuck River-02,"From Bushy Pond inlet (just DS of Kelseytown Road crossing), Clinton, US to Kelseytown Reservoir outlet dam (just US of Kelseytown Brodge Road crossing), Clinton-Killingworth border.",1.78,01100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,9423.0065897383
232,CT5103-00_03,2010,Menunketesuck River-03,"From Kelseytown Reservoir inlet (northeast corner), Clinton-Killingworth border, US to North Roast Meat Hill Road crossing (just US of Route 148 crossing), Killingworth.",5.17,01100004,Fully Supporting,Not Assessed,Fully Supporting,Not Assessed,27302.4120537657
233,CT5104-00_01,2010,Indian River (Clinton)-01,"Head of tide at Indian Lake dam outlet, (DS end of Indian Lake, south side of I95), Clinton, US to headwaters (at wetland, just US of Hemlock Drive crossing, parallel to Route 81), Killingworth.",7.93,01100004,Insufficient Information,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,41875.4337918394
234,CT5105-01_01,2010,Pond Meadow Brook-01,"From mouth at confluence with Chatfield Hollow Brook (just DS of Old Mill Pond outlet dam on Chatfield Hollow Brook, in Chatfield Hollow State Park), US to Kroupa Pond outlet dam (just US of Route 148 crossing), Killingworth.",0.7,01100004,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,3718.10663272239
235,CT5110-00_02,2010,West River (Guilford)-02,"From confluence with unnamed tributary from Thirsty Lake outlet (just DS of Flat Meadow Road crossing), US to confuence with Branch Brook (just US of Race Hill Road crossing, parallel with Route 77), DS of lake Quonnipaug outlet dam, Guilford.",5.41,01100004,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,28580.9787903428
236,CT5111-00_01,2010,Branford River-01,"From Route 1 crossing (just DS of I95 crossing), US to confluence with Notch Hill Brook (US of School Ground Road crossing).",2.91,01100004,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,15349.0853716241
237,CT5111-00_02,2010,Branford River-02,"From confluence with Notch Hill Brook (US of School Ground Road crossing), Branford, US to Lake Gaillard outlet dam (southeast portion of lake), North Branford.",3.07,01100004,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,16203.569205812
238,CT5206-00_03,2010,Harbor Brook (Meriden)-03,"From culvert entrance (just US of Fire Station, and US of Mill Street crossing), US to Baldwins Pond outlet dam (just US of Westfield Road crossing), Meriden.",1.48,01100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,7811.33543358115
239,CT5207-00_01,2010,Wharton Brook-01,"From mouth at confluence with Quinnipiac River (DS of Route 5 and RailRoad crossing), Wallingford/North Haven town borders, US to Simpson Pond outlet dam (US of Center Street (Route 150) crossing), Wallingford.",3.97,01100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,20982.8447925868
240,CT5207-00_02,2010,Wharton Brook-02,"From inlet to Simpson Pond, US to North Farms Reservoir outlet dam (just US of Church Street (Route 68) crossing), Wallingford.",2.94,01100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,15549.1182282294
241,CT5207-02_01,2010,Allen Brook-01,"From mouth at confluence with Wharton Brook (east of Route 5, south of exit 13 on/off ramp, I91), US to Allen Brook Pond outlet dam, Wallingford.",0.05,01100004,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,270.351109418728
242,CT5207-02_02,2010,Allen Brook-02,"From inlet to Allen Brook Pond (south of exit 13 on/off ramp, I91), Wallingford/North Haven town borders, US to headwaters (under I91, and then parallel along east side, stays to west side of RailRoad track), Wallingford.",1.8,01100004,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,9509.95449616244
243,CT6010-00_01,2010,Furnace Brook (Cornwall)-01,"From mouth at confluence with Housatonic River (just DS  of Popple Swamp Road crossing)  Sharon/Cornwall town border, US to headwaters at confluence of Valley Brook and Birdseye Brook (parallel to Valley Road), Cornwall.",3.98,01100005,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,21000.6419695952
244,CT7300-00_02,2010,Norwalk River-02,"From confluence with Bryant Brook (DS of Wolfpit Road crossing), US to Old Mill Road crossing (between Danbury Road (Route 7) and RialRoad tracks southeast of Georgetown), Wilton.",5.61,01100006,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,29634.4094569123
245,CT7300-00_03a,2010,Norwalk River-03a,"From Old Mill Road crossing (between Danbury Road (Route 7) and RialRoad track, southeast of Georgetown), Wilton, US to confluence with Georgetown POTW outfall, Redding.",0.84,01100006,Not Supporting,Not Supporting,Not Assessed,Water Not Classified For Drinking Supply,4455.82844651153
246,CT5112-00_01,2010,Farm River (East Haven)-01,"From saltwater limit at marsh (just DS of MAin Street Anx. crossing, southwest of Lake Saltonstall outflow), East Haven, US (parallel to lake, around west side) to confluence with Burrs Brook (DS of Route 80 crossing), North Branford.",6.14,01100004,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,32430.9806664977
247,CT5112-00_02,2010,Farm River (East Haven)-02,"From confluence with Burrs Brook (DS of Route 80 crossing), US to Pages Mill Pond outlet dam, US side of Mill Road crossing, North Branford.",1.24,01100004,Not Supporting,Not Supporting,Fully Supporting,Not Supporting,6558.49233801043
248,CT5112-00_03,2010,Farm River (East Haven)-03,"From Pages Mill Pond inlet, US to headwaters (just US of Hyla Lane crossing, near Middletown Avenue (Route 17) are), North Branford.",8.87,01100004,Not Assessed,Not Assessed,Fully Supporting,Not Assessed,46815.9953194182
249,CT5112-10_01,2010,Burrs Brook-01,"From mouth at confluence with Farm River (just DS of Totoket Road crossing), US to Vic's Pond (on Tomasso property) outlet (part of hyro missing from NHD). Brook contributes to drinking water supply, Lake Saltonstall.",1.35,01100004,Not Supporting,Not Assessed,Fully Supporting,Not Assessed,7130.11852266958
250,CT5200-00_01,2010,Quinnipiac River-01,"From Sackett Point Road crossing (west of I91, and east of Route 15), North Haven, US to Toelles Road crossing (head of tide), Wallingford/North Haven town border.",5.05,01100004,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,26663.6804276239
251,CT5200-00_02,2010,Quinnipiac River-02,"From Toelles Road crossing (head of tide, just east of Route 15), Wallingford/North Haven town border, US to Hanover Pond outlet dam, Meriden. (Segment includes Community Lake portion)",8.5,01100004,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,44896.8199436646
