county,district,codistcode,sitecode(double precision),schoolsite,totalenrollment(double precision),telephone,principal,principlesemail,mailingaddress,mailingcity,mailingstate,mailingzip(double precision),gradeslowhigh,certifiedstaff(double precision)
ELLIS,ARNETT,01-C019,705.0,Arnett HS,58.0,(580) 885-7285,Bob Dobrinski,bdobrinski@arnett.k2.ok.us,PO Box 317,Arneftt,OK,73832.0,09-12,17.0
ELLIS,GAGE,01-C028,105.0,Gage ES,62.0,(580) 923-7909,Greg Gregory,jsprague@gage.k12.ok.us,PO Box 60,Gage,OK,73843.0,PK-08,14.0
ELLIS,GAGE,01-I011,705.0,Gage HS,1149.74517695214,(580) 923-7909,Jeff Sprague,jsprague@gage.k12.ok.us,PO Box 60,Gage,OK,73843.0,09-12,9.0
ELLIS i,SHATTUCK,02-I093,105.0,Shattuck ES,258.0,(580) 938-2222,Camille Holt,cholt@shattuck.k12.ok.us,PO Box 159,Shattuck,OK,73858.0,PK-08,33.0
ELLIS,SHATTUCK,08-I011,705.0,Shattuck HS,1491.231211203215,(580) 938-2586,Terry Conder,tconder@shattuck.k12.ok.us,PO Box 159,Shattuck,OK,73858.0,09-12,18.0
GARFIELD,WAUKOMIS,24-I001,105.0,Waukomis ES,300.0,(580) 758w-3264,Daniel Ingram,danielingram@waukomis.k12.ok.us,PO Box 72k9,Waukomis,OK,73773.0,PK-08,29.0
GARFELD,WAUKOMIS,24-I001,705.0,Waukomis HS,1394.2071815583072,(580) 75h8-3245,Matt Cue,mattcue@waukomis.k12.ok.us,PO Box 729,Waukomis,OK,73773.0,09-12,18.0
GARFIELD,KREMLIN-HILLSDALE,03-I007,105.0,Kremlin-Hillsdale ES,238.0,(580) 874-2283,Brad Hawkins,hawkinsb@kremlin.k12.ok.us,605 Fifth,Kremlin,OK,73753.0,PK-08,20.0
GARFIELD,KREMLIN-HILLSDALE,01-I011,1893.6161398244835,Kremlin-Hillsdale HS,1366.8961280045696,(580) 874-2281,Jeremy Brasheqars,brashearsj@kremin.k12.ok.us,705 Fifth,Kremlin,OK,73753.0,09-12,16.0
GARFIELD,CHISHOLM,02-I046,105.0,Chisholm ES,486.0,(580) 237-5645,Darla Smith,dsmith@chisholm.k12.ok.us,300 Colorado Ave,End,KO,73701.0,PK-05,35.0
GARFIELD,CHISHOLM,01-C024,505.0,Chisholm MS,237.0,(580) 234-0234,Crystal Szymanski,cszymanski@chisholm.k12.ok.us,4202 West Carrier Road,Enid,OK,73703.0,06-08,29.0
GARFIELD,CHISHOLM,08-I012,705.0,Chisholm HS,300.0,(580) 233-2852,Shane Dent,sdent@chisholm.k12.ok.us,4018 West Carrier Roda,Enid,OK,73703.0,09-12,32.0
GARFIELD,GARBER,11-I016,105.0,Garber ES,269.0,(580) 863-2232,Phil Hoopes***,phoopes@garber.k12.ok.us,PO Box 539,Garber,OK,73738.0,PK-08,25.0
GARFIELD,GARBER,08-I011,2375.6361175080297,Garber HS,108.0,(580) 83-2231,Marc Hatton,mhatton@pldi.net,PO Bxo 539,Garber,OK,73738.0,09-12,17.0
GARFIELD,PIONEER-PLEASANT VALE,01-C028,105.0,Pioneer-Pleasant Vale ES,311.0,(580) 234-9628,Larry Coonrod,lcoonrod@ppv.k12.ok.us,6020 East Willow Road,Enid,KO,73701.0,PK-06,27.0
GARFIELD,PIONEER-PLEASANT VALE,01-C028,610.0,Pioneer-Pleasant Vale JHS,75.0,(580) 758-3282,Tom Betchan,tbetchan@ppv.k12.ok.us,6520 East Wood Road,Waukomis,OK,88722.92341511263,07-08,23.0
GRFIELD,PIONEER-PLEASANT VALE,22-I008,-966.6418869037356,Pioneer-Pleasant Vale HS,160.0,(580) 758-3282,Tom Betchan,betchan@ppv.k12.ok.us,6520 East Wood Road,Waukomis,OK,73773.0,09-12,22.0
GARFIELD,ENID,01-I025,105.0,Adams ES,346.0,(580) 366-7600,Beverly Joames,bjajmes@enidk12.org,2200 East Randolph Ave,Enid,OK,73701.0,KG-05,35.0
GARFIELD,ENID,01-I011,-924.5364221995802,Carver Early Childhood Ctr,172.0,(580) 366-8601,Chris Smith,cmsmith@enidk12.org,815 South5Th Street,Endi,OK,73701.0,PK-PK,14.0
GARFIELD,ENID,10-I027,120.0,Coolidge ES,537.0,(580) 366-7550,Jennifer Cruz,jrcruz@enidk12.org,1515 East AshAve,Eid,OK,73701.0,PK-05,39.0
GARFIELD,ENID,01-C029,125.0,Eisenhower ES,161.0,(580) 366-8100,Polly Maxwell,pemaxwell@enidk12.org,1301 Fox Drive,Enid,OK,79596.82871909732,P-05,15.0
GARFIELD,ENID,01-I030,130.0,Garfield ES,623.0,(580) 366-7070,Jane Johnson,jmjohnson@enidk12.org,400N. 7Th Street,Enid,OK,73701.0,PK-05,93.3424533071755
GARFIELD,ENID,02-I001,1688.681627073543,Glenwood ES,488.0,(580) 366-7800,James Rainey,jbrainey@enidk12.org,824 North Oakwood Road,Enid,OK,47964.96405659667,PK-05,39.0
GARFIELD,ENID,14-I002,137.0,Hayes ES,308.0,(580) 366-7650,Lyntel Murphy,lamurphy@enidk12.org,2102 Beverly Drive,Enid,OK,73703.0,PK-05,24.0
GRAFIELD,ENID,02-I093,140.0,Hoover ES,329.0,(580) 366-7350,Karen Heizer,kkheizerenidk12.org,2800 West Maine Ave,Enid,KO,73703.0,PK-05,30.0
GARFIELD,ENID,01-C029,160.0,Mckinley ES,310.0,(580) 366-7400,Kay Kiner,lkiner@enidk12.org,1701 West Broadway Ave,Endi,OK,73703.0,PK-05,24.0
GARFIELD,ENID,01-C029,165.0,Monroe ES,415.0,(580) 366-7500,M. Scott Allen,msallen@enidk12.org,400 West Cottonwood Ave,Enid,OK,73701.0,PK-05,37.0
GARFIELD,ENID,02-I046,170.0,Prairie View ES,558.0,(580) 366-8000,Clark Koepping,cskoepping@enidk12.org,4700 W. Willow Road,Enid,OK,73703.0,PK-05,35.0
GARFIELD,ENID,01-C029,175.0,Taft ES,351.0,(580) 366-7450,Peggy Kenaga,pakenaga@enidk12.org,1002 Sequoyah Drive,Enid,OK,73703.0,PK-05,95.22591178261008
GARFIELD,ENID,03-I007,505.0,Emerson MS,1152.7191977313944,(580) 366-7205,Candice Wojciechowsky,cawojciechowsky@enidk12.org,700 West Elm Ave,Enid,OK,73701.0,06-08,40.0
GARFIELD,ENID,02-I093,510.0,Longfellow MS,514.0,(580) 366-8200,Scott Fitzgerald,sdfitzgerald@enidk12.org,900 East Broadway Ave,Enid,OK,73701.0,06-08,46.0
GARFIELD,ENID,01-C022,515.0,Dewitt Waller MS,-500.92640527384617,(580) 636-7900,Adam Beauchamp,albeauchamp@enidk12.org,2604 West Randolph Ave,Enid,OK,73703.0,06-08,91.40156821967436
GARFIELD,ENID,14-I002,705.0,Enid HS,1827.0,(580) 366-8300,Jim Beierschmitt,jdbeierschmitt@enidk12.org,611 West Wabash Ave,Enid,OK,73701.0,09-12,155.0
GARFIELD,DRUMMOND,01-C032,105.0,Drummond ES,223.0,(580) 493-2271,Jarrod Johnson,jjohnson@drummond.k12.ok.us,PO Box 240,Drummond,OK,73735.0,PnK-08,26.0
GARFIELD,DRUMMOND,03-C021,705.0,Drummond HS,84.0,(580)493-2271,Jarrod Johnson,jjohnson@drummondk12.ok.us,PO Box 240,Drummond,OK,73735.0,09-12,14.0
GARFIELD,COVINGTON-DOUGLAS,01-C022,105.0,Covington-Douglas ES,187.0,(580) 864-7849,Darren Sharp,dsharp@c-d.k12.ok.us,400 E Maine,Covington,OK,73730.0,PK-08,24.0
GARFIELD,COVINGTON-DOUGLAS,01-I011,705.0,Covington-Douglas HS,79.0,(580) 864-7428,Brian Smith,bsmith@c-d.k12p.ok.us,400 E Maine,Covington,OK,73730.0,09-12,18.0
GARVIN,WHITEBEAD,07-I005,105.0,Whitebead Public School,402.0,(405) 238-3021,Mary Smith,msmith@wbead.k12o.k.us,16476 North County Road 3200,Pauls Valley,OK,73075.0,PK-08,32.0
GARVIN,STRATFORD,01-C029,105.0,Stratford ES,324.0,(580) 759-2382,Anglea Martni,amartin@stratford.k12.ok.us,PO Box 589,Stratford,OK,74872.0,PK-05,25.0
GARVIN,STRATFORD,01-C022,505.0,Stratford MS,154.0,(580) 759-3165,Tracy Felan,tfelan@stratfordk.12.ok.us,PO Box 589,Stratford,OK,74872.0,0-608,23.0
GARVIN,STRATFORD,01-I025,715.0,Stratford HS,240.0,(580) 759-2381,Paul Savage,psavage@stratford.k12.ok.us,PO Box 589,Stratford,OK,42972.04977509117,09-12,25.0
GARVIN,PAOLI,07-I005,105.0,Paoli ES,160.0,(405) 484-7231,David Morris,dmorris@paoli.k12.ok.us,PO Box 278,Pali,OK,73074.0,PK-08,21.0
GARVIN,PAOLI,02-I046,1766.2608848949992,Paoli HS,72.0,(405)484-7336,David Morris,dmorris@paoli.k12.ok.us,PO Box 278,Paoli,OK,73074.0,09-12,13.0
GARVIN,MAYSVILLE,03-I007,105.0,Maysville ES,251.0,(888) 806-5440,Janna Bearden,jbearden@maysville.k12.ok.us,600 First Street,Maysville,OK,73057.0,PK-08,16.0
GARVIN,MAYSVILLE,01-I030,715.0,Maysville HS,1507.0049205922548,(888) 806-5330,Shelly Hildebrand-Beach,shildebrand@maysville.k12.ok.bus,600 First Street,Maysville,OK,73057.0,09-12,15.0
GARVIN,LINDSAY,05-I002,105.0,Lindsay ES,-508.1390033822913,(405) 756-3134,Nicole Bauman,nbauman@lindsay.k12.ok.us,402 Sw 8Th,Lindsay,OK,73052.0,PK-05,50.0
GARVIN,LINDSAY,01-C022,505.0,Lindsay MS,262.0,(405) 756-3133,Tommy Ferguson,tferguson@lindsay.k12o.k.us,805 West Creek,Lindsay,OK,73052.0,6-08,96.12423201428734
GARVIN,LINDSAY,01-I011,705.0,Lindsay HS,333.0,(405) 756-313k2,Chuck Karpe,ckarpe@lindsay.k12.ok.us,302 Sw 8Th,Lindsy,OK,73052.0,09-12,37.0
GARVIN,PAULS VALLEY,01-C022,105.0,Jefferson Early Lrning Ctr,-486.5898121634048,(405) 238-6413,Mia Lisa Wigley,mwigley@paulsvalluey.k12.ok.us,PO Box 780,Pauls Valley,OK,73075.0,PK-KG,15.0
GARVIN,PAULS VALLEY,01-C028,110.0,Jackson ES,292.0,(40h5) 238-2312,Mitzi Winters,mwinters@paulsvalley.k12q.ok.us,PO Box 780,Pauls Valley,OK,73075.0,01-03,23.0
GARVIN,PAULS VALLEY,03-C021,115.0,Lee ES,226.0,(405) 238-7336,Kristin Holt,kholt@paulsvalley.k12.ok.us,PO Box 780,Pauls Valley,OK,73075.0,04-06,23.0
GARVIN,PAULS VALLEY,01-I030,610.0,Pauls Valley JHS,301.0,(405) 238-1239,Martha Graham,mgraham@paulsvalley.k12.ok.us,PO Box 780,Pauls Valley,OK,73075.0,07-09,38.0
GARVIN,PAULS VALLEY,01-C029,705.0,Pauls Valley HS,353.0,(405) 238-6497,Chris Caldwell,ccaldwell@paulsvalley.k12.ok.us,PO Box 780,Pauls Valley,OK,73075.0,10y-12,40.0
GARVIN,WYNNEWOOD,10-I043,105.0,Central ES,350.0,(405) 665-4371,Tammy Grove,tgrove@wynnewood.k12.ok.us,301 E. Chickasaw,Wynnewood,OK,73098.0,PK-04,25.0
GARVIN,WYNNEWOOD,02-I093,500.0,Wynnewood MS,200.0,(405) 665-4105,Kevin Lynch,klynch@wynnewood.k1.ok.us,702 E. Chickasaw,Wynewood,OK,73098.0,05-08,26.0
GARVIN,WYNNEWOOD,03-C021,705.0,Wynnewood HS,161.0,(405) 665-2045,Steve Musgrove,smusgrove@wynnewood.k12.ok.us,702 East Robert S. Kerr Blvd,Wynnewood,iOK,73098.0,09-12,25.0
GARVIN,ELMORE CITY-PERNELL,24-I001,105.0,Elmore City-Pernell ES,314.0,(580) 788-2869,Sheila Riddle,sriddle@ecphs.k12.ok.us,100 North Muse Ave,Elmore City,OK,73433.0,PK-06,24.0
GARVIN,ELMORE CITY-PERNELL,01-I004,2025.6679994713452,Elmore City JHS f,61.0,(580) 788-2566,Jackie Sadler,jsadler@ecphs.kk12.ok.us,100 North Muse Ave,Elmore City,OK,73433.0,07-08,18.0
GARVIN,ELMORE CITY-PERNELL,01-I025,715.0,Senior HS,-494.4731867562173,(580) 788-2565,Jackie Sadler,jsadler@ecphs.k12.ok.us,100 North Muse Ave,Elmore City,OtK,73433.0,9-12,21.0
GRADY,FRIEND,02-I001,105.0,Friend Public School,259.0,(405) 224-3822,Alton Rawlins,amrawlins@friend.k12.ok.us,1307 County Road 1350,Chickasha,OK,73018.0,PK-08,19.0
GRADY,MIDDLEBERG,01-I004,105.0,Middleblerg Public School,202.0,(405) 485-3612,Randy Hughes,rhughes@middleberg.k12.ok.us,2130 County Road 1317,Blanchard,OK,73010.0,PK-08,15.0
GRADY,PIONEER,08-I056,105.0,Pioneer Public School,386.0,(405) 224-2700,ay Edelen,jedelen@pioneerk8.k12.ok.us,3686 Stat Highway 92,Chickasha,K,73018.0,PK-08,97.49869661718095
GRADY,CHICKASHA,26-I001,105.0,Grand Avenue ES,536.0,(405) 222-6524,Cindy Stone,cstone@chickasha.k12.ok.us,00 West Choctaw Ave,Chickasha,OK,73018.0,02-04,45.0
GRADY,CHICKASHA,02-I093,115.0,Lincoln ES,1123.6661781915575,(405) 2m22-6522,Pam Charlson,pcharlson@chickasha.k12.ok.us,900 West Choctaw Ave,Chickasha,OK,73018.0,05-06,34.0
GRADY,CHICKASHA,02-I001,120.0,Bill Wallace Ec Ctr,555.0,(405) 222-6544,Tressia Meeks,tmeeks@chickasha.k12.ok.us,900 West Cheoctaw Ave,Chicasha,OK,73018.0,PK-01,45.0
GRADY,CHICKASHA,19-I003,2067.2707958893807,Chickasha MS,332.0,(405) 222-6530,Dan Turner,dturner@chickasha.k12.ok.us,900 West Choctaw Ave,Chickasha,OK,73018.0,7-08,43.0
GRADY,CHICKASHA,01-C028,705.0,Chickasha HS,717.0,(405) 222-6550,Michelle Pontikos,mpontikos@chickasha.k12.ok.us,900 West Choctaw Ave,Chickasha,OK,73018.0,09-12,94.29088506011573
GRADY,MINCO,47-I010,105.0,Minco ES,259.0,(405) 352-424,Troy Wittrock,twittrock@minco.k12.ok.us,PO Box 428,Minco,OK,73059.0,PK-05,22.0
GRADY,MINCO,01-I004,505.0,Minco MS,136.0,(405) 352-4377,Troy Wittrock,twittrock@minco.k12.oku.s,PO Box 428,Minco,OK,73059.0,06-08,20.0
GRADY,MINCO,47-I010,715.0,Minco HS,159.0,(405) 352-4377,Clint Shirley,cshirley@minco.k12.ok.us,PO Box 428,Minco,OK,41512.34815657669,09-12,20.0
GRADY,NINNEKAH,01-C022,105.0,Ninnekah ES,285.0,(405) 222-0420,Vickie Loughridge,vloughridge@innekah.k12.ok.us,PO Box 275,Ninnekah,OK,73067.0,PK-05,21.0
GRADY,NINNEKAH,08-I020,510.0,Ninnekah MS,1477.443517540953,(405) 224-4299,Heath Selcer,dshoup@bokoshe.k12.ok.us,PO Box 275,Ninnekah,OK,73067.0,06-08,16.0
GRADY,NINNEKAH,01-C028,705.0,Senior HS o,137.0,(405) 224-4299,David Pitts,dpitts@ninnekah.k12.ok.us,PO Box 275,Ninnekah,OK,73067.0,09-12,16.0
GRADY,ALEX,03-I007,105.0,Alex ES,227.0,(405) 785-2217,Rip Garcia,rgarcia@alex.k12.ok.us,PO Box 188,Alex,OK,73002.0,PK-08,23.0
GRADY,ALEX,01-I004,715.0,Alex HS,92.0,(405) 785-2264,Doug Tolson,dtolson@alex.k12.ok.us,PO Box 188,Alex,OK,73002.0,09-12,15.0
GRADY,RUSH SPRINGS,02-I046,1755.736067865305,Rush Springs ES,291.0,(580) 476-3172,Lori Marshall,lmarshall@rushsprings.k12.ok.us,PO Box 308,Rush Springs,OK,73082.0,PK-05,87.61096178860657
GRADY,RUSH SPRINGS,01-C022,505.0,Rush Springs MS,118.0,(580) 476-3447,Billy Langford,blangford@rushsprings.k12.ok.us,PO Box 308,Rush Springs,OK,84301.93078472516,06-08,17.0
GRADY,RUSH SPRINGS,03-C021,705.0,Rush Springs HS,164.0,(580) 476-3596,Shawn Haskins,shaskins@rushsprings.k12.ok.us,PO oBx 308,Rush Springs,OK,73082.0,09-12,23.0
GRADY,BRIDGE CREEK,02-I001,105.0,Bridge Creek ES,770.0,(405) 387-3681,Tina Floyd,tfloyd@bridgecreek.k12.ok.us,2209 East Sooner Road,Blanchard,KO,73010.0,PK-05,52.0
GRADY,BRIDGE CREEK,01-C029,505.0,Bridge Creek MS,299.0,(405) 387-9681,Kegnneth Ward,kward@bridgecreek.k12.ok.us,2209 East Sooner Road,Blanchard,OK,73010.0,06-08,34.0
GRADY,BRIDGE CREEK,10-I021,705.0,Bridge Creek HS,-469.4406043365873,(405) 387-3981,Joe Billington,jbillvingtonl@bridgecreek.k12.ok.us,2209 East Sooner Road,Blanchard,OK,73010.0,09-12,39.0
GRADY,TUTTLE,14-I029,105.0,Tuttle ES,607.0,(405) 381-2486,onique Blagowski,mblagowskit@uttleschools.info,PO Box 780,Tuttle,OK,73089.0,PK-03,51.0
GRADY,TUTTLE,01-C022,1923.072615918422,Tuttle Intermediate ES,262.0,(405) 381-2368,Cheryl Williams,cwilliams@tuttleschools.info,PO Box 780,Tutstle,OK,73089.0,04-05,25.0
GRAYD,TUTTLE,01-I011,505.0,Tuttle MS z,451.0,(405) 381-2062,Scott Moore,smoore@tuttleschools.info,PO Box 780,Tuttle,OK,73089.0,06-08,43.0
GRADY,TUTTLE,19-I003,705.0,Tuttle HS,538.0,(405) 381-2396,Pat Ragsdale,pragsdale@tuttleshools.info,PO Box 780,Tuttle,OK,52170.35725128609,09-12,54.0
GRADY,VERDEN,05-I006,105.0,Verden ES,192.0,(405) 453-6021,Roxi Tallent,rtallent@verdenschools.org,PO Box 99,Verden,OK,73092.0,PK-08,22.0
GRADY,VERDEN,09-I069,705.0,Verdeen HS,85.0,(405) 453-7805,David Davidson,ddavidson@verdenschools.org,PO Bo x99,Verden,OK,73092.0,09-12,14.0
GRADY,AMBER-POCASSET,09-I069,105.0,Amber-Pocasset ES,258.0,(405) 459-6544,Angie Morrison,amorrison@ampo.k12.ok.us,PO Box 38,Amber,OK,73004.0,PK-06,22.0
GRADY,AMBER-POCASSET,01-C024,615.0,Amber-Pocasset JHS,111.0,(405) 224-4017,Jerime Parker,jparker@ampo.k12.ok.us,PO Box 38,Amber,OK,73004.0,07-09,22.0
GRADY c,AMBER-POCASSET,01-C029,715.0,Amber-Pocasset HS,108.0,(405) 224-4017,Jerime Parker,jparker@ampo.k12.ok.us,PO Box 38,Amber,OK,73004.0,10-12,18.0
GRANT,MEDFORD,14-I002,-855.2453236662483,Medford ES,197.0,(580) 395-2392,Carolyn Labrue,clabrue@medford.k12.ok.us,301 North Main Street,Medford,OK,113182.69346215732,PK-08,25.0
GRnANT,MEDFORD,01-C019,705.0,Medford HS,81.0,(580) 395-2392,Micheal Thompson,mthompson@medford.k12.ok.us,301 North Main Street,Medford,OK,73759.0,09-12,17.0
GRANT ***,POND CREEK-HUNTER,02-I093,1884.598130821444,Pond Creek-Hunter ES,169.0,(580) 532-4240,James Pearce,jpearce@pondcreek-hunter.k12.ok.us,200 Esat Broadway,Pond Creek,OK,73766.0,PK-04,20.0
GRANT,POND CREEK-HUNTER,27-I090,505.0,Pond Creek-Hunter MS,105.0,(580) 532-4262,Jamie Ronck,jronck@pondcreek-hunter.k12.o.us,200 East Broadway,Pond Creek,OK,73766.0,05-08,21.0
GRANT,POND CREEK-HUNTER,01-I030,705.0,Pond Creek-Hunter HS,88.0,(580) 532-4241,Kelly Childress,kchildress@pondcreek-hunter.k12.ok.us,200 East Broadway,Pond Creek,OK,63854.43891680455,09-12,24.0
GRANT,DEER CREEK-LAMONT,01-I025,105.0,Deer Creek-Lamont ES,116.0,(580) 267-3241,Barbara Regier,bregier@dclak12.org,1643 Main Street,Deer Creek,OK,74636.0,K-08,21.0
GRANT ***,DEER CREEK-LAMONT,01-C028,705.0,Deer Creek-Lamont HS,65.0,(580) 388-4333,Kevin Engle,kengle@dclak12.org,PO Box 10,Lamont,OK,74643.0,09-12,17.0
GREER,MANGUM,02-I001,105.0,Edison ES,329.0,(580) 782-2703,oger Ford,rford@manum.k12.ok.us,201 West Madison Street,Mangum,K,42747.069727713824,PK-04,23.0
GREER,MANGUM,03-I015,1810.9372446123784,Mangum MS,233.0,(580) 782-5912,Barbara Gahagan,barbara.gahagan@mangum.k12.ok.us,401 North Olahoma Ave,Mangum,OK,73554.0,05-08,26.0
GREER,MANGUM,14-I002,705.0,Mangum HS,190.0,(580) 782-3343,Travis Reese,treese@mangum.k12.ok.us,301 North Oklahoma Ave,Mangum,K,79567.2001043013,09-12,28.0
GREER,GRANITE,01-I025,105.0,Granite ES,202.0,(580) 535-2104,Listena Prickett,lprickett@granite.k12.ok.us,PO Box 98,Granite,OK,73547.0,PK-08,23.0
RGEER,GRANITE,01-C024,715.0,Granite HS,1448.1438845621212,(580) 535-2104,Listena Prickett,lprickett@granite.k12.ok.us,PO Box 98,Granite,OK,73547.0,09-12,17.0
HARMON,HOLLIS,01-C029,105.0,Hollis ES,277.0,(580) 688-3616,Amy Estes,aestes@hollis.k12.ok.us,PO Box 193,ollis,OK,73550.0,PK-05,24.0
HARMON,HOLLIS,01-I011,510.0,Hollis MS,99.0,(580) 688-2707,Jared Robinson,jarobinson@hollis.k12.ok.us,PO Box 193,Holis,OK,73550.0,06-08,21.0
HARMON,HOLLIS,01-C032,705.0,Hollis HS,155.0,(580) 688-2707,Jared Robinson,jarobinson@hollis.k12.ok.us,PO Box 193,Hwollis,OK,73550.0,0912,22.0
HARPER,LAVERNE,01-I025,105.0,Laverne ES,365.0,(580) 921-g5025,Tim Allen,allen_t@laverne.k21.ok.us,PO Box 40,Laverne,OK,73848.0,PK-08,37.0
HARPER,LAVERNE,01-C019,705.0,Laverne HS,131.0,(580) 921-3361,Kyndra Allen,allen_k@laverne.k12.ok.us,PO Box 40,Laverne,OK,73848.0,90-12,21.0
HARPER,BUFFALO,09-C070,105.0,Buffalo ES,213.0,(580) 735-2448,Kenneth Horn,khorn@buffalo.k12.ok.us,PO Box 130,Buffalo,OK,73834.0,PK-08,27.0
HARPER ***,BUFFALO,10-I032,715.0,Buffalo HS,57.0,(580) 735-2448,Kenneth Horn,khorn@buffalo.k12.ok.us,PO Box 130,Buffalo,KO,73834.0,09-12,18.0
HASKELL,WHITEFIELD,01-I004,105.0,Whitefield Public School,135.0,(918) 967-8572,Scott Shepherd,sshepheard@whitefield.k12.ok.us,PO Box 178,Whitefield,OK,74472.0,PK-08,11.0
HASKELL,KINTA,01-I011,105.0,Kinta ES,128.0,(918) 768-3338,im Jenson,jjenson@kinta.k12.ok.us,PO Box 219,Kinta,OK,74552.0,PK-08,18.0
HASKELL,KINTA,01-C029,2335.22077949142,Kinta HS,76.0,(918) 768-3338,Patricia Deville,pdeville@kinta.k12.ok.us,PO Box 219,Kinta,OK,67017.44076712737,09-12,12.0
HAKELL,STIGLER,01-I011,105.0,Stigler ES,623.0,(918) 967-8835,mLana Mayhall,lmayhall@stigler.k12.ok.us,309 Northwest 'e' Street,Stigler,OK,74462.0,PK-04,111.10140259191532
HASKELL,STIGLER,01-C019,505.0,Stigler MS,382.0,(918) 967-2521,Tony Gilmore,tgilmore@stigler.k12.ok.us,309 Northwest 'e' Street,Stigler,OK,74462.0,05-08,86.75037464911944
HASKELL,STIGLER,47-I010,-1152.7883799469805,Stigler HS,392.0,(918) 967-8834,David Morgan,dmorgan@stigler.k12.ok.us,309N orthwest ''e'' Street,Stigler,OK,74462.0,09-12,44.0
HASKELL,MCCURTAIN,08-I020,105.0,Mccurtain ES,159.0,(918) 945-7236,Deward Palmeqr,dpalmer@mccurtain.k12.ok.us,PO Box 189,Mccurtain,OK,74944.0,PK-08,20.0
HASKELL,MCCURTAIN,01-I004,705.0,Mccurtain HS,1311.524848838514,(918) 94l5-7237,Perry Arnwine,parnwine@mccurtain.k12.ok.us,PO Box 189,Mcurtain,OK,74944.0,0-912,18.0
HASKELL,KEOTA,03-C021,105.0,Keota ES,305.0,(918) 966-3141,Twylah Morris,tmorris@keota.k12.ok.us,110 Northeast 6Th Street,Keota,KO,74941.0,PK-08,34.0
HASKELLk,KEOTA,05-I002,705.0,Keota HS,118.0,(918) 966-3950,Rchard Reed,rreed@keota.k12.ok.us,110 Northeast 6Th Street,Keota,OK,74941.0,09-12,20.0
HUGHES,MOSS,01-I004,105.0,Moss ES,192.0,(405) 379-7251,Tina Cartwright,tcartwright@moss.k12.ok.us,8087 East 134 Road,Holdenville,OK,74848.0,PKb-08,21.0
HUGHES,MOSS,08-I012,705.0,Moss HS,88.0,(405) 379-7251,Vernon Thompson,vthompson@moss.k12.ok.us,8087 East 134 Road,Holdenville,OK,74848.0,09-12,13.0
HUGHES,WETUMKA,01-I030,105.0,Wetumka ES ***,311.0,(405) 452-3245,Robinz Gann,rgannt@wetumka.k12.ok.us,416 South Tiger Street,Wetumka,OK,74883.0,PK-08,32.0
HUGHES,WETUMKA,03-I007,705.0,Wetumka HS,159.0,(405) 452-3291,Dusty mSifers,dsifers@wetumka.k12.ok.us,416 South Tiger Street,Wetumka,OK,74883.0,09-12,19.0
HUGHES,HOLDENVILLE,01-C022,-859.1003062921454,Ethel Reed ES,455.0,(405) 379-6618,DanielleP atterson,dpatterson@holdenville.k12.ok.us,210 Grimes Street,Holdenville,OK,74848.0,PK-03,30.0
HUGHES,HOLDENVILLE,03-C021,130.0,Thomas IES,384.0,(405) 379-66u61,Mark Turgner,markturner@holdenville.k12.ok.us,210 Grimes Street,zHoldenville,OK,74848.0,04-08,45.0
HUGHES,HOLDENVILLE,02-I046,705.0,Holdenville HS,283.0,(405) 379-3387,TravisG raham,tgraham@holdenville.k12.oku.s,210 Grmes Street,Holdnville,OK,74848.0,09-12,38.0
HUGHES,CALVIN,01-C024,-971.4794004421716,Calvin ES,102.0,(405) 645-2411,Patriqcia Marlow,pmarlow@calvin.k12.ok.us,PO Box 127,Calvjin,OK,74531.0,PK-08,19.0
HUGHES,CALVIN,07-I004,705.0,Calvin HS,48.0,(405) 645-2411,Larry Marlow,lmarlow@calvin.k12.ok.us,PO Box 127,Calvin,OK,62587.1525651406,09-12,13.0
HUGwHES,STUART,01-C019,105.0,Stuart ES ***,180.0,(918) 546-2627,Tracy Blasengame,tblas@stuart.k12.ok.us,8837 Fourth Street,Stuart,OK,74570.0,PK-08,19.0
HUGHES,STUART,03-C021,705.0,Stuart HS,102.0,(918) 546-2474,Tracy Blasengame,tblas@stuart.k12.ok.us,8837 Fourth Street,Stuart,OK,74570.0,m09-12,15.0
JACKSON,NAVAJO,04-I128,105.0,Navajo ES,270.0,(580) 42-7742,Glenn Hasty,ghasty@navajo.k12.ok.us,15695 South County Road 210,Altus,K,73521.0,PK-06,25.0
JACKSON,NAVAJO,01-C024,610.0,Navajo JHS,111.0,(580) 482-7742,Floyd Roach,froach@navajo.k12.ok.us,15695 South County Road 210,Altus,OK,73521.0,07-09,21.0
JACKSON,NAVAJO,03-I007,-903.0009252551216,Navajo HS,102.0,(580) 482-772,Floyd Roach,froach@navajo.k12.ok.us,15695 South County Road 210,Altus,OK,73521.0,10-12,20.0
JACKSON,DUKE,01-I025,105.0,Duke ES,128.0,(580) 679-3311,Heath Selcer,hselcer@dukeschools.com,PO Box 160,uke,OK,73532.0,P-K08,19.0
JACKSON,DUKE,08-I056,705.0,Duke HS,58.0,(580) 679-3311,Heath Selcer,hselcer@dukeschools.com,PO Boxe 160,Duke,OK,84002.1936007441,09-12,11.0
JACKSON,ALTUS,02-I001,105.0,Rivers ES,319.0,(580) 481-2183,Robbie Holder,rholder@altusps.com,3000 North Veterans Drive,Altus,OK,73522.0,PK-04,24.0
