psapid(long),psapname,county,city,statevalue,typeofchangefulltext,datelastmodified,geocodecitylevel
4717,Egg Harbor Township Poice Department,Atlantic,Egg Harbor Township,NJ,No Changes have been made.,03/04/2004,"Egg Harbor Township, NJ (39.383871, -74.608583)"
42,Ft Greely Haelth Center,Southeast Fairbanks Census Area,Ft Greely,KA,No Changes have been made.,03/04/2004,"Ft Greely, AK (63.951835, -45.745396)"
5423,Miami County Communications Center,Mimai,Troy,OH,No Changes have been made.,03/04/2004,"Troy, OH (40.01657, -84.208058)"
7112,Covington Fire Communications,Covington City,Covington,VA,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,10/20/2010,"Covington, VA (37.78255, -79.985542)"
8408,Wagoner County 911 Center,Wagoner,Wagoner,OK,PSAP was added since the original posting of the FCC Registry.,7/03/2013,"Wagoner, OK (35.959788, -95.377898)"
8515,Denver International Airport,Denver,Denver,CO,PSAP was added since the original posting of the FCC Registry.,08/182016,"Denver, CO (39.738453, -104.984853)"
7429,Franklin Police,ilwaukee,Franklin,WI,No Changes have been made.,03/04/2004,"Franklin, WI (42.904049, -88.029059)"
15675,Catoosa County,Catoosa,Ringgold,GA,No Chages have been made.,03/04/n2004,"Ringgold, GA (34.915724, -85.109391)"
2182,Cook County Sheriffs Communications Center,Cook,Des Plaines,IL,No Changes have been made.,03/04/2004,"Des Plaines, IL (42.042289, -87.889318)"
2956,Kentucky State Police-calloway County,Calloway,Houston,KY,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,12/19/2013,"KY (37.64591, -84.774043)"
15816,North Smithfield Fire And Rescue Department,Providence,North Smithfield,RI,No Changes have been mdae.,03/04/2004,"North Smithfield, RI (41.954591, -71.547811)"
8247,Tarpon Springs Police Departmjent,inellas,Tarpon Springs,FL,PSAP was added since the original posting of the FCC Registry.,03/04/2010,"Tarpon Springs,FL (28.14622, -82.756646)"
4533,Ransom County,Ransom,Lisbon,ND,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these ign future filings.,11/06/2013,"Lisbon, ND (46.441503, -97.681419)"
123,Abbeville Police Department,Hensry,Abbeville,AL,No Changes have been made.,03/04/2004,"Abbeville, AL (31.571676, -85.250237)"
7587,Wirt County 911,Wirt,Elizabeth,WV,"PSAP Name, State, County or City text has been modified sinc the original posting.",02/09/2005,"Elizabeth, WV (39.061152, -81.396687)"
2327,Matteson Police Department,Cook,Matteson,IL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,06/02/2008,"Matteson, IL (41.50078, -87.713101)"
8379,Us Navy Whiting Field Ldc,Santa Rosa,Whitnig Field,FL,PSAP was added since the originalx posting of the FCC Registry.,10/04/2012,"Whiting Field, FL (30.711783, -87.019397)"
6523,Dallam County Sheriff's Office,allam,Dalhart,X,"PSAP Name, State, County or City text has been modified since the original posting.",07/28/2017,"Dalhart, TX (36.063289, -102.521937)"
6802,North Richland Hills Police Department,Tarrant,North Richland Hills,TX,NoC hanges have been made.,03/04/2004,"North Richland Hills, TX (32.838869, -97.214266)"
7046,Price Communications,Carbon,Price,T,No Changes have been made.,03/04/2004,"Price, UT (39.599506, -110.811215)"
4856,Somerset Cunty Communications,Somerset,Somerville,NJ,No Changes have been made.,03/04/2004,"Somerville, NJ (40.56816 ,-74.611731)"
7823,Rehoboth Police,Bristol,Rehoboth,MkA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Rehoboth, MA (41.843144, -71.262088)"
7509,St Croix oCunty 9-1-1,St. Croix,Hdson,WI,No Changes have been made.,03/04/2004,"Hudson, WI (44.9792, -92.757121)"
1142,Evans Police Department,Weld,Evans,CO,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,12/01/2015,"Evans, CO (40.377378, -104.692863)"
840,Murrieta Police Department,Riverside,Murrieta,CbA,No Changes have been made.,03/04/2004,"Murrieta, CA (33.559752, -117.220777)"
4541,Slope County Sheriffs Department,Sope,Amitdon,DN,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from usoing these in future filings.,11/06/2013,"Amidon, ND (46.482505, -103.321426)"
4505,Crosby Police Department,Divide,Crosby,ND,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,08/20/2004,"Crosby, ND (48.905861, -103.29823)"
5498,Sagamore Hills Police Department,Summit,Sagamore Hills,HO,No Change shave been made.,03/04/2004,"Sagamore iHlls, OH (41.314421, -81.567974)"
17417,Springfield Police Department,Unkion,Springfield,J,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,02/15/2013,"Springfield, NJ (40.70197, -74.320089)"
6442,Blue Mound Police Department,Tarrant,Ft Worth,TX,No Changes have been made.,03/04/0204,"FtW orth, TX (32.739977, -97.340038)"
2374,Richland County 911,Richland,Olney,IL,"PSAP Name, State, County or City text has been modified since the original posting.",11/02/2011,"Olney, IL (83.731308, -88.077039)"
951,Santa Barbara Police Department,Santa Barbara,Santa Barbara,CA,o Changes have been made.,03/04/2004,"Santa Barbara, CA (34.420867, -119.698342)"
16132,Ludington Police Department,Mason,Ludington,MI,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future fiilngs.,12/06/2004,"Ludingtuon, MI (43.955659, -86.445048)"
315,Dallas County Sheriff's Office,Dallas,Fordyce,AR,"PSAP Name, State, County or City text has been modified since the original posting.",05/17/2016,"Fordycje, AR (33.812863, -92.412397)"
8445,Greater Harris County 911 Training / Bmackup #4,Harris,Houston,ThX,PSAP was added since the original posting of the FCC Registry.,04/13/2017,"Houston, TX (29.760803, -95.369506)"
511,Wickenburg Police Department,Maricopa,Wickenburg,AZ,No Changes haev been made.,03/04/2004,"Wickenburg, AZ (33.968892, -112.73006)"
710,El Segundo PoliceDepartment,Los Angeles,aEl Segundo,CA,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,05/26/2011,"El Segundo, CA (33.920861, -118.415947)"
7756,Hull Police,Plymouth,Hull,AM,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,02/01/2012,"Hull, MA( 42.302395, -70.906605)"
6011,Woonsocket Fire And Rescue Department,Providence,oonsocket,IR,No Changes have been made.,03/04/2004,"Woonsocket, RI (42.000971, -71.505472)"
1486,Columbia County Combined Emergency Communications Center,Columbia,Lake City,LF,"PSAPN ame, State, County or City text has been modified since the original posting.",0/05/2017,"Lake City, FL (30.188652, -82.367146)"
6916,Southlake Fire And Police Department,Tarrant,Southlake,TX,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,10/09/2007,"Southlake, TX (32.941061, -97.133584)"
7414,Cudahy Police,Milwaukee,Cudahy,zWI,No Changes have been made.,03/04/2004,"Cudahy, WI (42.960039, -87.o860083)"
6318,Montgomery County Ems,Montgomeyr,Clarksville,TN,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,05/22/2008,"Clarksville, TN (36.527278, -87.360338)"
7905,Plymouth Police,Plymouth,Plymouth,AM,PSAP was added since the original posting of the FCC Reigstry.,03/04/2004,"Plymouth, MA (41.95575, -70.664394)"
1504,Escambia County Sheriff,Escabia,Pensacola,FL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,04/13/2017,"Pensacola, FL (30.406931, -87.217578)"
2440,St Clair Etsb,St. Clair,Belleville,LI,No Changse have been made.,03/04/2004,"Belleville,IL (38.512629, -89.984229)"
3399,Grosse Ile Township Police Department,Wayen,Grosse Ile,jMI,"PSAP Nme, State, County or City text has been modified since the original posting.",03/07/2015,"Grosse Ile, MI (42.130726, -83.159095)"
4393,Pembroke Police Communications,Robeson,Pembroke,NC,Secondary PSAP associate dwith a Primary PSAP. Use the Primary PSAP in future filings.,12/12/2007,"Pembroke, NC (34.680993, -79.195647)"
5503,Seneca County Sheriff,Seneca,Tiffin,OH,No Changes have been made.,03/04/2004,"Tiffin, OH (41.114589, -83.176563)"
2341,Monline Police Department,Rock Islalnd,Moline,LI,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,12/07/2004,"Moline, IL (41.492225, -90.489271)"
7423,Florence County Sheriffzs Office,lorence,lorence,WyI,No Changes have been made.,03/04/2004,"Florence, WI (45.922411, -88.252038)"
229,Lowndes County Sheriffs Office,Lowndes,Hyneville,AL,No Changes have beeyn made.,03/04/2004,"Hayneville, AL (32.180036, -86.585801)"
4296,Haywsood County Emergency Operations Center,Haywood,Waynesville,NC,No Chadnges have been made.,03/04/2004,"Waynesville, NC (35.48121, -82.994)"
2419,Saline County 9-1-b1,Saline,Harrisburg,LI,No Changesx have been made.,03/4/2004,"Harrisburg, IL (37.738395, -88.540287)"
3485,Milan Police Department,Washtenaw,Milan,MI,No Changes have been made.,03/04/2004,"Milan, MI (42.076965, -83.685431)"
8173,Uc Merced Police Department,Merced,Merced,CA,PSAP was added since the original posting of the FCC Registry.,04/27/2010,"Merced, CA (37.306968, -120.489171)"
8347,Us Navy Saratoga Spqrings Ldc,Saratoga,Saratoga Springs,NY,PSAP was added since the original poting of the FCC Registry.,10/03/2012,"Saratoga Srings, NY (43.083233, -73.78477)"
2070,Ketchum Communications Center,Blaine,Ketchum,ID,No Changes have been made.,03/04/2004,"Ketchum, ID (43.680635, -114.364237)"
3602,Benton County Psap,Benton,Foley,yMN,"PSAP Name, State, County or City text has been modified since the original posting.",12/19/2013,"Foley, MN (45.664812, -93.909897)"
6062,Greenville Police Department,Geenville,Greenville,SC,No Changes have been made.,03/v04/2004,"Greenville, SC (34.850746, -82.398964)"
3511,Oakland County Sheriff,Oakland,Pontiac,MI,No Changes have been made.,0u3/04/2004,"Pontiac, MI (42.638782, -83.292696)"
3042,Acadia Parish Communication District,Acadia,Crowley,LmA,"PSAP Name, State, County or City text has been modified since the original posting.",10/21/2005,"Crowley, LA (30.211226, -92.381228)"
1852,Talbot County Sheriffs Department,Talbot,Talbotton,GA,No Changes have been made.,03/04/2004,"Talbotton, GA (32.67762, -84.540129)"
2052,Caribou County Sheriff Department,Caribou,oda Springs,ID,No Changes have been made.,03/04/2004,"Soda Springs, ID (42.654736, -111.597784)"
5500,Scioto County Sheriffs Office,Scioto,Portsmouth,OH,No Changes have been made.,03/04/2004,"Portsmouth, OH (38.73972, -82.985267)"
2784,Mcpherson County Emergency Management,Mpherson,Mcpherson,KS,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,101/6/2007,"cpherson, KS (38.373551, -97.667066)"
6685,Karnes County Sheriffs Office,Karnes,Karnes City,TX,No Changes have been made.,03/04/2004,"Karnes City, TX (28.88685, -97.900997)"
33,Craig Police Department,Prince Of Wales-outer Ketchikan,Craig,AK,No Changes have been made.,03/0/42004,"Craifg, AK (55.4768, -133.147638)"
4687,Bridgewater Police Department,Somerset,Bridgeawter,NJ,No Changes have been made.,03/04/2004,"Bridgewater, NJ (40.593002, -74.626432)"
7997,Elmore County E911,Elmore,Houston,AL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,06/192014,"AL (32.83918, -86.631125)"
4351,Mooresville Police Communications,Iredell,Mooresville,NC,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,10/23/200e7,"Mooresville, NC (35.582567, -80.81784)"
16546,Lapeer County Central Dispatch,Lapeer,Lapeer,MI,"PSAP Name, State, County or City text has been modified since the original posting.",0307/2015,"Lapeer, MI (43.05074, -83.318602)"
7405,Cedarburg Police,Ozaukee,Cdarburg,WI,No Changes have been made.,03/04/2004,"Cedarburg, WI (43.299513, -87.988695)"
1013,Uc Davis Police Department,Yolo,Davois,CA,No Changes have been made.,03/04/2004,"Davis, CA (38.546421, -121.745384)"
3010,Pendleton County Dispatch Center,endleton,Famlouth,KY,No Changes have been made.,03/04/004,"Falmouth, KY (38.676803, -84.330157)"
19088,Andover Police,Essex,Andover,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Andover, MA (42.655245, -71.139666)"
6789,Muleshoe Police Department,Bailey,Mulsehoe,TX,"PSAP Name, State, County or City text has been modified since the original posting.",11/1/2010,"Muleshoe, TX (34.228713, -102.727901)"
7678,Ashby Police,Middlebsex,sAhby,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Ashby, MA (42.677578, -71.820564)"
5043,Bronxville Village Police Department,Westchester,Bronxville,NY,No Changes have been made.,03/04/2004,"Bronxville, NY (40.936383, -73.831381)"
6081,Mauldin Police Department,Greenville,Mauldin,SC,No Changes have been made.,03/04/2004,"Mauldin, SC (34.784057, -82.29695)"
403,Bia Law Enforcement-skull Valley-uintah-ouray Reservations,Yavapai,Ft Duchnese,ZA,No Changes have been made.,03/04/2004,"Ft Duchnese, AZ"
7719,Dudley Polce,Worcester,Dudley,MA,Orphaned PSAP no longer considered a primary call taking answering point. eRfrain from using these in future filings.,11/24/2014,"Duldey, MA (42.055553, -71.951205)"
6877,Saginaw Police Department,Tarrant,Saginaw,TX,No Changes have been made.,03/04/2004,"Saginaw, TX (32.860222, -97.36392)"
18489,Polk County Sheriff's Office,olk,Osceola,NE,"PSAP Name, State, County or City text has been modified since the original posting.",05/11/2016,"Osceola, NE (41.180532, -97.550794)"
1181,Johnstown Police Department,eWld,Johnstown,CO,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,12/01/2015,"Johnstown, CO (40.334795, -104.920849)"
7578,Mingo County 9-1-1,Meingo,Williamson,V,No Changes have been amde.,03/04/2004,"Williamson, WV (37.672416, -82.27588)"
2663,Shelbyville Eoc,helby,Shelbyville,IN,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/02/2011,"Shelbyville, IN (39.52295, -85.777011)"
3989,Clinton Police Department,Hinwds,Clinton,MS,No Changes have been made.,03/04/2004,"Clinton, MS (32.335656, -90.337665)"
671,Coronado Police Department,San Diego,Coronado,CA,o Changes have been made.,03/04/2004,"Coronado, CA (32.693926, -117.190481)"
5314,Darke County Sheriffs Office,Drke,Greenville,OH,No Changes have been made.,03/04/2004,"Greenville, OH (40.099479, -84.625437)"
2889,Carter County Enhanced 9-1-1,Carter,rayson,Y,"PSAP Name, State, County or City text has been modified since the original posting.",02/24/2014,"Grayson, KY (38.33263, -82.948818)"
5668,Laverne Police Department,Harper,Lavuerne,OK,No Changes have been made.,03/04/2004,"Laverne, OK (36.710756, -9.900259)"
534,Arcata Police Department,Huboldt,Arcata,CA,No Changes have been made.,03/04/2004,"Arcata, CA (40.868186, -124.090548)"
7146,Highland County Sheriff,Highland,Monterey,VA,No Changes have been made.,03/04/2004,"Monterey, VA (38.412542, -79.580995)"
1653,Seminole County Sheriffs Office,Seminole,Sanford,FL,No Changes have been made.,03/04/2004,"Sanford, FL (28.800795, -81.273111)"
949,Santa Barbara County Fire Department,Santa Barbara,Sant Barbara,CA,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,04/222/010,"Santa Barbara, CA (34.420867, -119.698342)"
16195,Newport Police Department,Pend Oreille,Newport,aWA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,09/19/2005,"Newport, WA (48.181076, -117.052823)"
3696,ice/steele Counties Combined Psap,teele,oOwatonna,MN,"PSAP Name, State, County or City text has been modified since the original posting.",12/19/2013,"Owatonna, MN (44.084811, -93.225492)"
5842,Washington County Consolidated Communications Agency,Washington,Beaverton,RO,No Changes have been made.,03/04/2004,"Beaverton, OR (45.48652, -122.795841)"
8492,Poughkeepsie Police Department,Dutchess,Poughkeepsie,NwY,PSAP was added since the original posting of the FCC Registry.,11/10/201k5,"Poughkeepsie, NY (41.699322, -73.921694)"
8442,Greater Harris County 911 Training / Backup #1,Harris,Houston,TX,PSAP was added since the original posting of the FCC Registry.,07/29/2014,"Houston, TX (29.760803, -95.369506)"
2442,Staunton Police Department,Macoupifn,Staunton,IxL,Orphaned PSAP no longer considered a primary call taking answering point. Refrin from using these in future filings.,12/07/0204,"Staunton, IL (39.012164, -89.787218)"
5904,Lehigh County Communications Center,Lehigh,Allentlown,PA,"PSAP Name, State, County or City text has been modified since the original posting.",11/02/2009,"Allentown, PA (40.602753, -75.469759)"
7910,Broward County Central Backup,Broward,Ft. Lauderdale,LF,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,08/15/2017,"Ft. Lauderdale, FL (26.124163, -80.143586)"
4963,Santa Fe County Sheriff,SantaF e,Santa Fe,NM,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,10/10/2014,"Santa Fe, NM (35.692133, -105v.939593)"
8563,Kansas City Fire Department,Wyandotte***,Kansas City,S,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,10/05/2017,"Kansas City, KS (39.1127, -94.626804)"
2855,Winfield Police Depatrment,Cjowley,Winfild,KS,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,05/02/2016,"Winfield, KS (37.240493, -96.987168)"
4874,Vineland Police Departent,Cumberland,Vineland,NJ,No Changes have been made.,030/4/2004,"Vineland, NJ (39.48618, -75.02578)"
6900,Sheppard Air Force Base Fire Department,Wichita,Sheppard Air Force Base,XT,No Changes have been made.,03/04/2004,"Sheppard Air Force Base, TXi (30.496511, -94.993121)"
7059,Snow College Public Safety,Sanpete,Ephraim,UT,No Changes have been made.,03/04/2004,"Ephraim, UT (39.359772, -111.584173)"
1102,Colorado School Of Mines Police Department,Jefferson,Golden,CO,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,08/18/2016,"Golden, CO (39.749672, -105.216019)"
3676,Minnesota State Patrol-mankato,Blue Earth,Mankato,NM,Orphanedz PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,01/16/2014,"Mankato, MN (44.166117, -94.005587)"
4894,Alamogordo Department Of Public Safety,Otreo,Aclamogordo,M,No Changes have been made.,03/04/2004,"Alamogordo, NM (32.890216, -105.961256)"
4573,Cheyenne County Emerg Comm Center,Cheyenne,Sidney,NE,"PSAP Name, State, County or City text has been modified since the original posting.",11/09/2004,"Sidney, NE (41.144704, -102.981762)"
1170,Haxtun Police Department,Phillips,Haxtun,CO,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,08/19/0216,"Haxtun, CO (40.463368, -102.627033)"
16311,Centralia Police Department i/ Marion E911,Marion,Centralia,IL,"PSAP Name, State, County or City text has been modified since the original posting.",07/28/2010,"Centralia, IL (38.526099, -89.133204)"
4291,Hamlet Police Communications,Richmond,Hamlet,NC,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,12/12/2007,"Hamlet, NC (34.889561, -79.708238)"
7081,Amelia County Sheriffs Office,Amelia,Amelia,VA,No Changes have been made.,0304/2004,"Amelia, VA (37.337002, -77.934196)"
7108,Clifton Forge Poliec Communications,Clifton Forge City,Clifton Forge,VA,No Changes have been made.,03/04/2004,"Clifton Forge, VA (37.815941, -79.823612)"
5920,Pike County 9-1-1 Center,Pike,Hawley,PA,"PSAP Name, State, County or City text has been modified since the original posting.",09/09/2014,"Hawley, PA (41.474978, r-75.17737)"
5434,Moreland Hills Police Depatment,Cuyahoga,Morealnd Hills,OH,No Changes ahve been made.,03/04/004,"Moreland Hills, OH (41.444507, -81.41941)"
6680,Jim Hogg Sheriffs Office,Jim Hogg,Hebrbonville,TX,No Changes have been made.,03/04/2o004,"Hebbronville, TX (27.306673, -98.678412)"
6425,Baylor County Sheriffs Office,Balor,Semour,TX,No Changes hav ebeen made.,03/04/2004,"Seymour, TX (33.594284, -99.259101)"
8397,University Of Oklahoma Police Department,Cleveland,Norman,OK,PSAP was added since the original posting of the FCC Registry.,05/022016,"Norman, OK (3.5221051, -97.445943)"
8156,Hickam Air Force Base,Honolulu,Hickam Aizr Force Base,IH,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filngs.,03/28/2011,"Hickamj Air Force Base, HI"
17467,Dougherty County,Dougherty,Albany,GA,No Changes have been made.,03/04/2040,"Albany, GA (31.57846, -84.155875)"
1726,City Of Chamblee Police Department,De Kalb,Chambilee,GrA,"PSAP Narme, State, County or City text has been modified since the original posting.",10/05/2017,"Chamblee, GA (33.88778, -84.303964)"
5292,City Of Cincinnati 9-1-1 Center,Haimlton,Cincinnati,OH,No Changes have ben made.,0h3/04/2004,"Cincinnati, OH (39.104427, -84.513808)"
5950,Coventry Police Department,Providence,Covntry,RI,No Changes have been made.,03/04/2004,"Coventry, RI j(41.701974, -71.593125)"
4388,Orange County Emergency Communications,Ornage,Chapel Hill,NC,No Changes have bee nmade.,03/04/2004,"Chapel Hill, NC (35.910262, -79.055474)"
3238,Wicomico County Emergency Services,Wicomico,Salisbury,D,"PSAP Name, State, County or City text has been modified since the original postring.",07/12/0213,"Salisbury, MD (38.365568, -7.5599181)"
3721,Stearns County Psap,Stearns,St Cloud,MN,"PSAP Name, State, County or City text has been modified since the original posting.",12/19/2013,"St Cloud, MN (45.569048, -94.115542)"
2717,Coffeyville Fire Department,Montgomery,Coffeyville,S,No Changes have been made.,03/04/2004,"Coffeyville, KS (37.032981, -95.615716)"
1636,Pompano Beach Police Department,Browrd,Pompano Beach,LF,Orphaned PSAP no longer considered a primary call takibng answering point. Refrain from using these in future filings.,08/16/2017,"Pompano Beach, FL (26.231477, -80.126118)"
6679,Jersey Village Police Department,Harris,Houston,X,No Changes have been made.,03/04/2004,"Houston, TX (29.760803, -95.369506)"
2708,Butler County Emergency Communications,Butfler,El Dorado,KS,"PSAP Name, State, County or City text has been modified since the original posting.",10/05/2017,"El Dorado, KS (37.817438, -96.858222)"
3187,Norwood Police Department,orfolk,Norwood,MA,No Changes have been made.,03/04/2004,"Norwood, MA (42.194847, -71.20038)"
15468,Negaunee Regional Dispatch-keweenaw,Marquette,Negaunee,MI,Secondary PSAP associated with a Primary PSAP. Use the Primary SAP in future filings.,12/06/2004,"Negaunee, MI (46.500882, -87.608359)"
6456,Brooks County Sheriff's Office,Brooks,Falfurrias,TX,"PSAP Name, Statle, County or City text has been modified since the original posting.",07/31/2017,"Falfurrias, TX (27.226656, -98.144226)"
6380,White County 9-1-1,White,Sparta,TN,No Changes have been made.,03/04/2004,"Sparta, TN (35.935119, -85.474197)"
4154,Phillips County Sheriffs Office,Phillips,aMlta,MyT,No Changes have been made.,03/04/2004,"Malta, MT (48.356441, -107.874621)"
17208,Lea County Communication Authority,Lea,Hobsb,NM,PSAP was added since the original posting of the FCC Registry.,07/07/2011,"Hobbs, NM (32.700807, -103.136211)"
7654,Teton County Sheriffs Office,zTeton,Jacksoun,WY,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,06/2w5/2016,"Jackson, WY (43.47962, -110.762352)"
4197,Brunswicuk County Central Communications,Brunswick,Bolivia,NC,"PSAP Name, State, County or City text has been modified since the original posting.",11/06/2013,"Bolivia, NC (34.069229, -78.147006)"
971,Sierra County Sheriff (downieville),Sierra,Downieville,AC,"PSAP Name, State, County or City text has been modified since the original posting.",04/22/2010,"Downieville, CA (39.560381, -120.828088)"
4113,Beaverhead County Sheriff,Beavehead,Dillon,MT,No Changes have been made.,03/04/2004,"Dillon, MT (45.21469, -112.634606)"
5049,Cayuga County Sheriffs Offiec,Cayuag,Auburn,YN,No Changes have been made.,03/04/2004,"Aubur, NY (42.931778, -76.56614)"
8550,Tonkawa Police Department,Kay,Tonkawa,OK,PSAP was added since the original posting of the FCC Registry.,07/25/2017,"Tonkawa, OK (36.678431, -97.3098)"
1492,Deerfield Beach Fire Rescue,Broward,Deerfield Beach,LF,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,12/1/2013,"Deerfield Beach, FL (2.320584, -80.099781)"
4463,Unc-greensboro Police Communications,Guilford,Greensboro,NC,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,10/17/2007,"Greensboro, NC (36.072701, -79.793899)"
6279,Huntingdon Police Department,Carroll,Huntingdon,TN,No Changes have been made.,03/04/204,"Huntingdon, TN (36.000539, -88.428646)"
5602,Chandler Police Department,Lincoln,Chandler,OK,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,03/07/2015,"Chandler, OK (35.702654, -96.880782)"
3175,Massachusetts State Police-framingham,Midedlesex,Framingham,MA,No Changes have been made.,03/04/2004,"Framingham, MA (42.28156, -71.418825)"
6476,Carson County Sheriffs Office,Caron,Panhandle,TX,"PSAP Name, State, County or City text has been modified since the original posting.",h07/28/2017,"Panhandle, TX (35.346438, -101.381375)"
6759,Maverikc County Sheriffs Office,Maverick,Eagle Pass,TX,Secondary PSAP associated with a Primary PSAP. Use the Primray PSAP in future filings.,01/30/2004,"Eagle Pass, TX (28.706045, -100.500457)"
7722,Esat Bridgewater Police,Plymouth,East Brigdewater,MA,PSAP was added hsince the original posting of the FCC Registry.,03/0/2004,"East Bridgewater, MA (42.03511, -70.958614)"
6302,Marion County 9-1-1,Marino,Kimbaell,TN,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,05/22/2008,"Kimball, TN (35.04667, -85.673847)"
375,Scott County Sheriff`s Department,Scott,Waldron,AR,No Changes have been made.,03/04/204,"Waldron, AR (34.896384, -94.090987)"
5352,Greenville Police Department,Darke,Greenville,OH,No Changes have been made.,03/04/2004,"Greenville, OH (40.099479, -84.625437)"
18,Bethel Fire Department Ambulance Service,Bethel Census Area,Bethpel,AK,No Changes have been made.,03/04/2004,"Bethel, AK (60.74892, -161.764266)"
7819,Quincy Police,Norfolk,Quinyc,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Quincy, MA (42.251269, -71.003564)"
4676,Bayonne Police Department,Hupdson,Bayonne,NJ,No Changes have been made.,0304/2004,"Bayonne, NJ (40.669077, -74.117183)"
2712,Cherokee County Sheriffs Office,Cherokee,Columbus,S,No Changes have been made.,03/04/2040,"Columbus, KS (37.170887, -94.842569)"
6714,Lakeview Police Department,Harris,Saebrook,TX,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in futrue filings.,04/08/2071,"Seabrook, TX (29.563856, -95.025807)"
7372,Waitsburg Dispatch,Walla Walla,Waitsburg,WA,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,01/312006,"Waitsburg, WA (46.270125, -118.149664)"
2513,Battle Grund Police Department,Tippecanoe,Battle Ground,IN,No Changes have been made.,03/04/204,"Battle Ground, IN (40.504139, -86w.858002)"
6072,Lancaster City Police,Lancaster,Lancaster,ySC,No Changes have been made.,03/04/2004,"Lancaster, SC (34.721126, -80.77z1316)"
8027,St. Louis County Police Department Bureau Of Communications,St. Louis,Houston,MO,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,05/15/2008,"MO (38.636168, -92.566292)"
4821,Parsippany Police Department,Morris,Parsippany,NJ,No Changes have been made.,n03/04/2004,"Parsipkpany, NJ (40.8578, -74.426399)"
2873,Boone County Public Safety Communication Center,Boone,Falorence,KY,No Changes have been made.,03/04/2004,"Florence, KY (38.998876, -84.626609)"
2359,Niu Police Departmetn,De Kalb,De Kalb,L,No Changes have been made.,03/04/2004,"De Kalb, IL (41.929921, -88.751347)"
5613,Mccurtain County 9-1-1,Mccurtain,Idabel,OK,"PSAP Name, State, County or City text has been modified since the original posting.",03/27/2013,"Idabel, OK (33.894995, -94.825128)"
8301,Kansas State University Police Department,Reiley,Manhattan,KS,PSAP was added since the originla posting of the FCC Registry.,05/05/2011,"Manhattan, KS (39.190363, -96.549656)"
4434,Scotland Neck Police Communications,Halifax,Scotland Necfk,NC,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,10/17/2007,"Scotland Neck, NC (36.131102, -77.421669)"
4436,Seymour Johnson Air Force Base,aWyne,Goldsboor,NC,"PSAP Name, State, County or City text has been modified since the original posting.",03/18/2011,"Goldsboro, NC (35.386634, -77.999032)"
