Year,OSHPD_ID,Facility Name,County,Type of Ownership,Hospital Type,Teaching,Small/Rural,Average Licensed Beds,Average Available Beds,Average Staffed Beds,Bad Debts,Charity Care,Location
2011,106410817,SETON MEDICAL CENTER,San Mateo,Non-Profit,Comparable,,,478,428,240,$7177374.00,$5385251.00,"DALY CITY, California
(37.691113, -122.472221)"
2010,106050932,MARK TWAIN ST. JOSEPHS HOSPITAL,CALAVERAS,Non-Profit,Comparable,,Small/Rural,31,28,25,$3596088.00,$1094544.00,"SAN ANDREAS, California
(38.196211, -120.68092)"
2012,106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,Contra Costa,City/County,Comparable,,,146,146,112,$146301.00,$0.00,"MARTINEZ, California
(38.018992, -122.134855)"
2011,106364144,DESERT VALLEY HOSPITAL,San Bernardino,Investor,Comparable,,,83,83,83,$18283901.00,$3503012.00,"VICTORVILLE, California
(34.5121, -117.323632)"
2010,106444012,SUTTER MATERNITY & SURGERY CENTER,SANTA CRUZ,Non-Profit,Comparable,,,30,30,28,$369913.00,$2918186.00,"SANTA CRUZ, California
(36.97414, -122.028795)"
2011,106301258,COASTAL COMMUNITIES HOSPITAL,Orange,Investor,Comparable,,,178,178,178,$6099495.00,$7547710.00,"SANTA ANA, California
(33.749738, -117.869781)"
2010,106414018,MENLO PARK SURGICAL HOSPITAL,SAN MATEO,Investor,Comparable,,,16,16,12,$202829.00,$122246.00,"MENLO PARK, California
(37.453629, -122.18296)"
2011,106370721,KINDRED HOSPITAL - SAN DIEGO,San Diego,Investor,Comparable,,,70,66,60,$-228238.00,$0.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2010,106084001,SUTTER COAST HOSPITAL,DEL NORTE,Non-Profit,Comparable,,Small/Rural,49,49,49,$6764341.00,$4507476.00,"CRESCENT CITY, California
(41.754772, -124.204373)"
2010,106190429,KAISER FND HOSPITAL - SUNSET,LOS ANGELES,Non-Profit,Kaiser Foundation Health,,,464,464,377,$0.00,$0.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2010,106010987,WASHINGTON HOSPITAL-FREMONT,ALAMEDA,District,Comparable,,,359,320,272,$39261069.00,$24697223.00,"FREMONT, California
(37.550195, -121.980829)"
2010,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,City/County,Comparable,,,165,165,165,$8947968.00,$18574414.00,"EL CENTRO, California
(32.792855, -115.565551)"
2010,106301127,KINDRED HOSPITAL-BREA,ORANGE,Investor,Comparable,,,86,86,86,$-511886.00,$0.00,"BREA, California
(33.917763, -117.898326)"
2010,106270744,COMMUNITY HOSPITAL OF MONTEREY PENINSULA,MONTEREY,Non-Profit,Comparable,,,259,205,205,$22601332.00,$24197330.00,"MONTEREY, California
(36.596808, -121.897127)"
2010,106150788,SAN JOAQUIN COMMUNITY HOSPITAL,KERN,Non-Profit,Comparable,,,259,259,259,$12258056.00,$15682390.00,"BAKERSFIELD, California
(35.373405, -119.018911)"
2010,106190949,HENRY MAYO NEWHALL MEMORIAL HOSPITAL,LOS ANGELES,Non-Profit,Comparable,,,221,221,221,$14664540.00,$16707591.00,"VALENCIA, California
(34.389444, -118.564722)"
2012,106191228,LAC/USC MEDICAL CENTER,Los Angeles,City/County,Comparable,Teaching,,676,648,548,$5471059.00,$0.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2011,106481015,ST. HELENA HOSPITAL - BEHAVIORAL HEALTH,Solano,Non-Profit,Comparable,,,61,61,61,$173598.00,$33025.00,"VALLEJO, California
(38.101088, -122.254959)"
2011,106090933,MARSHALL MEDICAL CENTER.,El Dorado,Non-Profit,Comparable,,Rural,105,105,105,$14931318.00,$14801683.00,"PLACERVILLE, California
(38.729652, -120.799147)"
2010,106332172,KINDRED HOSPITAL-RIVERSIDE,RIVERSIDE,Investor,Comparable,,,40,40,38,$0.00,$0.00,"PERRIS, California
(33.786558, -117.228201)"
2010,106190673,SAN DIMAS COMMUNITY HOSPITAL,LOS ANGELES,Investor,Comparable,,,93,93,93,$-946067.00,$2616605.00,"SAN DIMAS, California
(34.106678, -117.802753)"
2010,106190857,DOCTORS HOSPITAL OF WEST COVINA,LOS ANGELES,Investor,Comparable,,,51,51,51,$46439.00,$0.00,"WEST COVINA, California
(34.068896, -117.938239)"
2010,106394009,KAISER FND HOSPITAL - MANTECA,SAN JOAQUIN,Non-Profit,Comparable,,,224,224,126,$0.00,$0.00,"MANTECA, California
(37.802408, -121.221302)"
2011,106514030,SUTTER SURGICAL HOSPITAL-NORTH VALLEY,Sutter,Non-Profit,Comparable,,,14,14,14,$468751.00,$50165.00,"YUBA CITY, California
(39.13222, -121.625147)"
2011,106334457,OASIS PHF,Riverside,Investor,Psychiatric Health Facilities,,,16,16,16,$0.00,$0.00,"INDIO, California
(33.718649, -116.218182)"
2010,106040937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Comparable,,,153,153,133,$13045203.00,$6323526.00,"OROVILLE, California
(39.512339, -121.554608)"
2011,106150788,SAN JOAQUIN COMMUNITY HOSPITAL,Kern,Non-Profit,Comparable,,,259,259,219,$12891826.00,$22580020.00,"BAKERSFIELD, California
(35.373405, -119.018911)"
2011,106490919,SUTTER MEDICAL CENTER - SANTA ROSA,Sonoma,Non-Profit,Comparable,,,135,135,115,$7320861.00,$12293795.00,"SANTA ROSA, California
(38.439698, -122.715642)"
2011,106191306,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION CENTER,Los Angeles,City/County,Comparable,,,395,289,203,$8541720.00,$0.00,"DOWNEY, California
(33.940946, -118.12752)"
2011,106190636,CITRUS VALLEY MEDICAL CENTER-QV CAMPUS,Los Angeles,Non-Profit,Comparable,,,518,518,518,$13648270.00,$23312168.00,"WEST COVINA, California
(34.068896, -117.938239)"
2010,106410817,SETON MEDICAL CENTER,SAN MATEO,Non-Profit,Comparable,,,478,428,284,$8077824.00,$11420057.00,"DALY CITY, California
(37.691113, -122.472221)"
2011,106190930,RESNICK NEUROPSYCHIATRIC HOSPITAL AT UCLA,Los Angeles,Non-Profit,Comparable,,,74,74,74,$1766440.00,$0.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2011,106364014,LOMA LINDA UNIVERSITY BEHAVIORAL MEDICINE CENTER,San Bernardino,Non-Profit,Comparable,,,89,89,89,$823209.00,$1212360.00,"REDLANDS, California
(34.055562, -117.182603)"
2012,106124004,SEMPERVIRENS - PHF,Humboldt,City/County,Psychiatric Health Facilities,,,16,16,16,$0.00,$0.00,"EUREKA, California
(40.786143, -124.161309)"
2010,106190052,BARLOW HOSPITAL,LOS ANGELES,Non-Profit,Comparable,,,105,105,105,$12333.00,$93169.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2010,106190529,METHODIST HOSPITAL OF SOUTHERN CAL,LOS ANGELES,Non-Profit,Comparable,,,460,395,395,$13355054.00,$8668718.00,"ARCADIA, California
(34.136534, -118.040889)"
2011,106190137,CASA COLINA HOSPITAL FOR REHAB MEDICINE,Los Angeles,Non-Profit,Comparable,,,68,68,68,$246781.00,$0.00,"POMONA, California
(34.055118, -117.750048)"
2011,106010937,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT HAWTHORNE,Alameda,Non-Profit,Comparable,,,509,402,195,$16926404.00,$45871346.00,"OAKLAND, California
(37.804828, -122.27248)"
2010,106410782,SAN MATEO MEDICAL CENTER,SAN MATEO,City/County,Comparable,,,509,435,433,$33763306.00,$9746819.00,"SAN MATEO, California
(37.547166, -122.314351)"
2011,106541123,PORTERVILLE STATE HOSPITAL,Tulare,State,State Hospitals,,,1210,530,530,$0.00,$0.00,"PORTERVILLE, California
(36.073039, -119.016146)"
2011,106104023,SAN JOAQUIN VALLEY REHAB HOSPITAL,Fresno,Investor,Comparable,,,62,62,49,$248279.00,$0.00,"FRESNO, California
(36.731654, -119.785856)"
2011,106184008,BANNER LASSEN MEDICAL CENTER,Lassen,Non-Profit,Comparable,,Rural,38,25,25,$3323764.00,$2381846.00,"SUSANVILLE, California
(40.415483, -120.648932)"
2011,106301248,LOS ALAMITOS MEDICAL CENTER,Orange,Investor,Comparable,,,167,167,124,$5033165.00,$7917402.00,"LOS ALAMITOS, California
(33.804939, -118.071876)"
2010,106190184,COLLEGE HOSPITAL,LOS ANGELES,Investor,Comparable,,,157,157,157,$1939244.00,$2490812.00,"CERRITOS, California
(33.865783, -118.066366)"
2011,106431506,KAISER FDN HOSP - SAN JOSE,Santa Clara,Non-Profit,Kaiser Foundation Health,,,242,242,121,$0.00,$0.00,"SAN JOSE, California
(37.334807, -121.888128)"
2010,106374084,SAN DIEGO HOSPICE ACUTE CARE CENTER,SAN DIEGO,Non-Profit,Comparable,,,24,24,24,$241422.00,$192030.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2010,106380857,KAISER FND HOSPITAL - GEARY (S.F.),SAN FRANCISCO,Non-Profit,Kaiser Foundation Health,,,247,247,193,$0.00,$0.00,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2010,106481094,SUTTER SOLANO MEDICAL CENTER,SOLANO,Non-Profit,Comparable,,,102,102,102,$5455308.00,$19885391.00,"VALLEJO, California
(38.101088, -122.254959)"
2011,106430905,STANFORD UNIVERSITY HOSPITAL,Santa Clara,Non-Profit,Comparable,Teaching,,613,466,466,$69659000.00,$90022000.00,"PALO ALTO, California
(37.445103, -122.160363)"
2010,106210993,KENTFIELD REHABILITATION CENTER,MARIN,Investor,Comparable,,,60,60,52,$385340.00,$0.00,"KENTFIELD, California
(37.956815, -122.549121)"
2010,106301209,HUNTINGTON BEACH HOSPITAL,ORANGE,Investor,Comparable,,,131,131,131,$23028034.00,$2576019.00,"HUNTINGTON BEACH, California
(33.659775, -117.999313)"
2011,106110889,GLENN MEDICAL CENTER,Glenn,Non-Profit,Comparable,,Rural,47,15,15,$1297000.00,$33943.00,"WILLOWS, California
(39.520518, -122.198176)"
2010,106331168,EISENHOWER MEDICAL CENTER,RIVERSIDE,Non-Profit,Comparable,,,374,308,308,$19126165.00,$28965408.00,"RANCHO MIRAGE, California
(33.742298, -116.410904)"
2011,106150722,BAKERSFIELD MEMORIAL HOSPITAL,Kern,Non-Profit,Comparable,,,418,395,395,$14237716.00,$21422001.00,"BAKERSFIELD, California
(35.373405, -119.018911)"
2011,106390923,LODI MEMORIAL HOSPITAL,San Joaquin,Non-Profit,Comparable,,,214,214,145,$43150416.00,$27692550.00,"LODI, California
(38.135674, -121.279196)"
2011,106564121,THOUSAND OAKS SURGICAL HOSPITAL,Ventura,Investor,Comparable,,,21,21,21,$448375.00,$0.00,"THOUSAND OAKS, California
(34.176083, -118.848743)"
2010,106484044,KAISER FND HOSPITAL - VACAVILLE,SOLANO,Non-Profit,Kaiser Foundation Health,,,64,64,51,$0.00,$0.00,"VACAVILLE, California
(38.349747, -121.995003)"
2012,106331194,HEMET VALLEY MEDICAL CENTER,Riverside,District,Comparable,,,417,417,159,$41079421.00,$539807.00,"HEMET, California
(33.747562, -116.967316)"
2011,106310791,SUTTER AUBURN FAITH HOSPITAL,Placer,Non-Profit,Comparable,,,80,80,80,$5697755.00,$9117357.00,"AUBURN, California
(38.897916, -121.074314)"
2012,106560203,AURORA VISTA DEL MAR HOSPITAL,Ventura,Investor,Comparable,,,87,87,62,$370371.00,$445312.00,"VENTURA, California
(34.280832, -119.293107)"
2011,106105029,FRESNO HEART & SURGICAL HOSPITAL,Fresno,Investor,Comparable,,,57,57,55,$745323.00,$182014.00,"FRESNO, California
(36.731654, -119.785856)"
2011,106491267,SONOMA DEVELOPMENTAL CENTER,Sonoma,State,State Hospitals,,,1413,1388,561,$0.00,$0.00,"ELDRIDGE, California
(38.339376, -122.50875)"
2010,106040802,BIGGS-GRIDLEY MEMORIAL HOSPITAL,BUTTE,Non-Profit,Comparable,,Small/Rural,45,45,36,$1356173.00,$78540.00,"GRIDLEY, California
(39.363578, -121.696463)"
2012,106370652,ALVARADO HOSPITAL,San Diego,Investor,Comparable,,,306,306,78,$11869610.00,$907559.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2011,106560473,COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA,Ventura,Non-Profit,Comparable,,,242,242,126,$5436223.00,$14334699.00,"VENTURA, California
(34.280832, -119.293107)"
2011,106040875,FEATHER RIVER HOSPITAL,Butte,Non-Profit,Comparable,,,100,100,100,$6240600.00,$15996203.00,"PARADISE, California
(39.752081, -121.621973)"
2010,106480989,KAISER FND HOSPITAL REHAB CENTER - VALLEJO,SOLANO,Non-Profit,Kaiser Foundation Health,,,428,258,173,$0.00,$0.00,"VALLEJO, California
(38.101088, -122.254959)"
2010,106190587,PACIFIC HOSPITAL OF LONG BEACH,LOS ANGELES,Investor,Comparable,,,184,160,160,$6476594.00,$777465.00,"LONG BEACH, California
(33.767168, -118.193723)"
2010,106420483,GOLETA VALLEY COTTAGE HOSPITAL,SANTA BARBARA,Non-Profit,Comparable,,,122,78,78,$1724383.00,$928516.00,"SANTA BARBARA, California
(34.420867, -119.698342)"
2011,106301175,FOUNTAIN VALLEY REGIONAL HOSPITAL & MED CENTER-EUCLID,Orange,Investor,Comparable,,,400,400,240,$10741378.00,$5323031.00,"FOUNTAIN VALLEY, California
(33.708975, -117.951323)"
2010,106300032,CHILDRENS HOSPITAL OF ORANGE COUNTY,ORANGE,Non-Profit,Comparable,,,235,235,235,$17477375.00,$1185164.00,"ORANGE, California
(33.791489, -117.853096)"
2010,106154160,CRESTWOOD PHF-2,KERN,Investor,Psychiatric Health Facilities,,,16,7,10,$0.00,$0.00,"BAKERSFIELD, California
(35.373405, -119.018911)"
2010,106321016,SENECA HEALTHCARE DISTRICT,PLUMAS,District,Comparable,,Small/Rural,26,26,26,$811334.00,$8924.00,"CHESTER, California
(40.311547, -121.227165)"
2011,106374024,AURORA SAN DIEGO,San Diego,Investor,Comparable,,,80,80,69,$243584.00,$361815.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2011,106430705,REGIONAL MEDICAL CENTER OF SAN JOSE,Santa Clara,Investor,Comparable,,,247,223,223,$38007192.00,$36086962.00,"SAN JOSE, California
(37.334807, -121.888128)"
2010,106331293,PARKVIEW COMMUNITY HOSPITAL,RIVERSIDE,Non-Profit,Comparable,,,193,193,110,$5252210.00,$1848727.00,"RIVERSIDE, California
(33.980534, -117.377025)"
2010,106490919,SUTTER MEDICAL CENTER OF SANTA ROSA,SONOMA,Non-Profit,Comparable,,,135,135,115,$9709615.00,$7612561.00,"SANTA ROSA, California
(38.439698, -122.715642)"
2011,106370689,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER,San Diego,Non-Profit,Comparable,,,204,175,121,$461196.00,$5744430.00,"CORONADO, California
(32.693926, -117.190481)"
2011,106190587,PACIFIC HOSPITAL OF LONG BEACH,Los Angeles,Investor,Comparable,,,184,160,160,$5978269.00,$1119661.00,"LONG BEACH, California
(33.767168, -118.193723)"
2010,106301297,PLACENTIA-LINDA COMMUNITY HOSPITAL,ORANGE,Investor,Comparable,,,114,114,38,$7344286.00,$920586.00,"PLACENTIA, California
(33.871209, -117.860113)"
2012,106190323,GLENDALE ADVENTIST MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,515,462,340,$19052875.00,$35497290.00,"GLENDALE, California
(34.148138, -118.246437)"
2011,106304460,HOAG ORTHOPEDIC INSTITUTE,Orange,Investor,Comparable,,,70,70,70,$1153823.00,$565935.00,"IRVINE, California
(33.685908, -117.824719)"
2010,106190176,CITY OF HOPE NATIONAL MEDICAL CENTER,LOS ANGELES,Non-Profit,Comparable,,,217,185,185,$0.00,$4437891.00,"DUARTE, California
(34.139586, -117.973256)"
2010,106340951,METHODIST HOSPITAL OF SACRAMENTO,SACRAMENTO,Non-Profit,Comparable,,,333,327,327,$25774000.00,$9801000.00,"SACRAMENTO, California
(38.582087, -121.50012)"
2010,106400524,SIERRA VISTA REGIONAL MEDICAL CENTER,SAN LUIS OBISPO,Investor,Comparable,,,173,173,79,$8800271.00,$2876540.00,"SAN LUIS OBISPO, California
(35.282619, -120.660014)"
2010,106331216,JOHN F. KENNEDY MEMORIAL HOSPITAL,RIVERSIDE,Investor,Comparable,,,158,158,83,$11956716.00,$5220479.00,"INDIO, California
(33.718649, -116.218182)"
2011,106551061,TUOLUMNE GENERAL MEDICAL FACILITY,Tuolumne,City/County,Comparable,,Rural,42,42,42,$-132456.00,$0.00,"SONORA, California
(37.982943, -120.382117)"
2011,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,Humboldt,District,Comparable,,Rural,17,17,17,$354464.00,$28713.00,"GARBERVILLE, California
(40.101491, -123.792756)"
2011,106514033,NORTH VALLEY BEHAVIORAL HEALTH-PHF,Sutter,Investor,Psychiatric Health Facilities,,,16,16,16,$0.00,$0.00,"YUBA CITY, California
(39.13222, -121.625147)"
2012,106250956,MODOC MEDICAL CENTER,Modoc,City/County,Comparable,,Rural,87,87,44,$1944349.00,$13153.00,"ALTURAS, California
(41.490967, -120.542538)"
2012,106380939,SAN FRANCISCO GENERAL HOSPITAL MEDICAL CENTER,San Francisco,City/County,Comparable,Teaching,,598,564,383,$100804942.00,$56997956.00,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2011,106150736,KERN MEDICAL CENTER,Kern,City/County,Comparable,Teaching,,222,194,169,$0.00,$51549912.00,"BAKERSFIELD, California
(35.373405, -119.018911)"
2012,106410782,SAN MATEO MEDICAL CENTER,San Mateo,City/County,Comparable,,,509,411,314,$22880874.00,$6492801.00,"SAN MATEO, California
(37.547166, -122.314351)"
2011,106332172,KINDRED HOSPITAL - RIVERSIDE,Riverside,Investor,Comparable,,,40,40,40,$88286.00,$0.00,"PERRIS, California
(33.786558, -117.228201)"
2011,106331152,CORONA REGIONAL MEDICAL CENTER - MAIN,Riverside,Non-Profit,Comparable,,,240,240,127,$22249498.00,$9367706.00,"CORONA, California
(33.875665, -117.568843)"
2011,106190475,COMMUNITY HOSPITAL OF LONG BEACH,Los Angeles,Non-Profit,Comparable,,,208,158,59,$31027147.00,$4534156.00,"LONG BEACH, California
(33.767168, -118.193723)"
2012,106334487,RIVERSIDE COUNTY REGIONAL MEDICAL CENTER,Riverside,City/County,Comparable,Teaching,,439,415,415,$19366595.00,$173673344.00,"MORENO VALLEY, California
(33.917114, -117.261144)"
2010,106374094,VIBRA HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Comparable,,,110,100,74,$378446.00,$0.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2011,106304079,HEALTHSOUTH TUSTIN REHAB HOSPITAL,Orange,Investor,Comparable,,,48,48,45,$77306.00,$0.00,"TUSTIN, California
(33.742072, -117.818805)"
2011,106361308,REDLANDS COMMUNITY HOSPITAL,San Bernardino,Non-Profit,Comparable,,,229,229,229,$10236260.00,$3384624.00,"REDLANDS, California
(34.055562, -117.182603)"
2011,106191014,LANTERMAN STATE HOSPITAL AND DEVELOPMENTAL CENTER,Los Angeles,State,State Hospitals,,,1286,1258,390,$0.00,$0.00,"POMONA, California
(34.055118, -117.750048)"
2010,106190958,METROPOLITAN STATE HOSPITAL,LOS ANGELES,State,State Hospitals,,,1096,672,637,$0.00,$0.00,"NORWALK, California
(33.914183, -118.072494)"
2010,106204019,CHILDRENS HOSPITAL OF CENTRAL CALIFORNIA,MADERA,Non-Profit,Comparable,,,339,338,339,$5318736.00,$60674.00,"MADERA, California
(36.961961, -120.059585)"
2010,106190422,TORRANCE MEMORIAL MEDICAL CENTER,LOS ANGELES,Non-Profit,Comparable,,,401,377,298,$20965308.00,$24800766.00,"TORRANCE, California
(33.836318, -118.340038)"
2012,106344170,CRESTWOOD PHF - CARMICHAEL,Sacramento,Investor,Psychiatric Health Facilities,,,16,16,16,$0.00,$0.00,"CARMICHAEL, California
(38.636604, -121.327265)"
2011,106190696,PACIFICA HOSPITAL OF THE VALLEY,Los Angeles,Investor,Comparable,,,231,231,221,$9211230.00,$873668.00,"SUN VALLEY, California
(34.217499, -118.3694)"
2011,106370652,ALVARADO HOSPITAL,San Diego,Investor,Comparable,,,306,306,84,$14870303.00,$1818934.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2010,106344114,SHRINERS HOSPITALS FOR CHILDREN NORTHERN,SACRAMENTO,Non-Profit,Shriners Hospitals,,,80,70,70,$0.00,$0.00,"SACRAMENTO, California
(38.582087, -121.50012)"
2011,106434218,KAISER PERMANENTE PHF - SANTA CLARA,Santa Clara,Non-Profit,Psychiatric Health Facilities,,,24,24,24,$0.00,$0.00,"SANTA CLARA, California
(37.352395, -121.953076)"
2011,106190552,MOTION PICTURE & TELEVISION HOSPITAL,Los Angeles,Non-Profit,Comparable,,,405,386,208,$0.00,$1186775.00,"WOODLAND HILLS, California
(34.168301, -118.605003)"
2010,106391056,SUTTER TRACY COMMUNITY HOSPITAL,SAN JOAQUIN,Non-Profit,Comparable,,,82,80,44,$16556619.00,$8192493.00,"TRACY, California
(37.738534, -121.421127)"
2010,106380865,LAGUNA HONDA HOSPITAL & REHAB CENTER,SAN FRANCISCO,City/County,LTC Emphasis,,,799,780,780,$323760.00,$0.00,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2012,106321016,SENECA HEALTHCARE DISTRICT,Plumas,District,Comparable,,Rural,26,26,19,$1072729.00,$51492.00,"CHESTER, California
(40.311547, -121.227165)"
2010,106370721,KINDRED HOSPITAL-SAN DIEGO,SAN DIEGO,Investor,Comparable,,,70,66,60,$348267.00,$0.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2010,106190818,VERDUGO HILLS HOSPITAL,LOS ANGELES,Non-Profit,Comparable,,,158,156,114,$2827989.00,$527427.00,"GLENDALE, California
(34.148138, -118.246437)"
2012,106540816,TULARE REGIONAL MEDICAL CENTER,Tulare,District,Comparable,,,112,103,103,$12820697.00,$3296203.00,"TULARE, California
(36.196549, -119.343523)"
2010,106196035,KAISER FND HOSPITAL - BALDWIN PARK,LOS ANGELES,Non-Profit,Kaiser Foundation Health,,,269,238,167,$0.00,$0.00,"BALDWIN PARK, California
(34.08538, -117.960355)"
2012,106291053,TAHOE FOREST HOSPITAL,Nevada,District,Comparable,,Rural,62,62,62,$5178372.00,$4194764.00,"TRUCKEE, California
(39.328161, -120.184054)"
2012,106301258,COASTAL COMMUNITIES HOSPITAL,Orange,Investor,Comparable,,,178,178,178,$7391159.00,$4812442.00,"SANTA ANA, California
(33.749738, -117.869781)"
2011,106301140,CHAPMAN MEDICAL CENTER,Orange,Investor,Comparable,,,114,100,100,$3547837.00,$1394681.00,"ORANGE, California
(33.791489, -117.853096)"
2011,106404046,SAN LUIS OBISPO CO - PHF,San Luis Obispo,City/County,Psychiatric Health Facilities,,,16,16,16,$0.00,$0.00,"SAN LUIS OBISPO, California
(35.282619, -120.660014)"
2010,106361343,ST. MARY  MEDICAL CENTER,SAN BERNARDINO,Non-Profit,Comparable,,Small/Rural,188,188,188,$19329645.00,$29132157.00,"APPLE VALLEY, California
(34.524024, -117.216839)"
2010,106371256,SCRIPPS GREEN HOSPITAL,SAN DIEGO,Non-Profit,Comparable,,,173,172,161,$1233905.00,$5255545.00,"LA JOLLA, California
(32.847198, -117.2733)"
2011,106301155,COLLEGE HOSPITAL COSTA MESA,Orange,Investor,Comparable,,,122,118,102,$373323.00,$1322325.00,"COSTA MESA, California
(33.663857, -117.904765)"
2011,106370782,UNIVERSITY OF CALIFORNIA - SAN DIEGO MEDICAL CENTER,San Diego,Non-Profit,Comparable,Teaching,,600,582,582,$10079064.00,$95078007.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2011,106190854,LOS ANGELES METROPOLITAN MEDICAL CENTER,Los Angeles,Investor,Comparable,,,213,210,210,$4670198.00,$8175684.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2011,106361223,KAISER FDN HOSP - FONTANA,San Bernardino,Non-Profit,Kaiser Foundation Health,,,529,529,447,$0.00,$0.00,"FONTANA, California
(34.102893, -117.435765)"
2011,106341051,SUTTER MEDICAL CENTER - SACRAMENTO,Sacramento,Non-Profit,Comparable,,,754,623,623,$33498561.00,$65029016.00,"SACRAMENTO, California
(38.582087, -121.50012)"
2012,106190034,ANTELOPE VALLEY HOSPITAL,Los Angeles,District,Comparable,,,420,393,256,$26983482.00,$22026905.00,"LANCASTER, California
(34.697472, -118.144521)"
2011,106331293,PARKVIEW COMMUNITY HOSPITAL,Riverside,Non-Profit,Comparable,,,193,193,110,$5446597.00,$6092018.00,"RIVERSIDE, California
(33.980534, -117.377025)"
2011,106040962,ENLOE MEDICAL CENTER-ESPLANADE CAMPUS,Butte,Non-Profit,Comparable,,,298,277,265,$18009134.00,$20197852.00,"CHICO, California
(39.728956, -121.838779)"
2010,106190756,ST. JOHNS HOSPITAL AND HEALTH CENTER,LOS ANGELES,Non-Profit,Comparable,,,265,232,232,$7815891.00,$9531160.00,"SANTA MONICA, California
(34.010932, -118.491512)"
2011,106196405,PALMDALE REGIONAL MEDICAL CENTER,Los Angeles,Investor,Comparable,,,157,92,92,$27931657.00,$9703891.00,"PALMDALE, California
(34.576469, -118.116103)"
2010,106334018,MENIFEE VALLEY MEDICAL CENTER,RIVERSIDE,District,Comparable,,,84,84,48,$14573623.00,$662487.00,"SUN CITY, California
(33.709202, -117.196404)"
2011,106370875,SHARP CHULA VISTA MEDICAL CENTER,San Diego,Non-Profit,Comparable,,,343,343,271,$4680319.00,$64861727.00,"CHULA VISTA, California
(32.640071, -117.084042)"
2011,106190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,Los Angeles,Investor,Comparable,,,434,413,250,$9503721.00,$29012851.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2011,106010967,ST. ROSE HOSPITAL,Alameda,Non-Profit,Comparable,,,217,181,181,$22852095.00,$47860054.00,"HAYWARD, California
(37.672111, -122.083963)"
2010,106040875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Comparable,,,101,101,101,$4771050.00,$12954569.00,"PARADISE, California
(39.752081, -121.621973)"
2010,106110889,GLENN MEDICAL CENTER,GLENN,Non-Profit,Comparable,,Small/Rural,47,15,15,$1186930.00,$46728.00,"WILLOWS, California
(39.520518, -122.198176)"
2010,106190053,ST. MARY MEDICAL CENTER,LOS ANGELES,Non-Profit,Comparable,,,302,302,159,$21762958.00,$36335314.00,"LONG BEACH, California
(33.767168, -118.193723)"
2012,106560525,SIMI VALLEY HOSPITAL & HEALTH SERVICES - SYCAMORE,Ventura,Non-Profit,Comparable,,,188,144,144,$7323739.00,$5524789.00,"SIMI VALLEY, California
(34.286321, -118.712804)"
2010,106392232,ST. JOSEPHS BEHAVIORAL HEALTH CENTER,SAN JOAQUIN,Non-Profit,Comparable,,,35,35,35,$785562.00,$109138.00,"STOCKTON, California
(37.957541, -121.292451)"
2011,106370745,SHARP MESA VISTA HOSPITAL,San Diego,Non-Profit,Comparable,,,149,149,101,$-18256.00,$8146558.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2011,106171049,ST. HELENA HOSPITAL - CLEARLAKE,Lake,Non-Profit,Comparable,,Rural,25,25,25,$6104767.00,$1958066.00,"CLEARLAKE, California
(38.961814, -122.631261)"
2010,106551061,TUOLUMNE GENERAL MEDICAL FACILITY,TUOLUMNE,City/County,Comparable,,Small/Rural,42,42,42,$-193593.00,$0.00,"SONORA, California
(37.982943, -120.382117)"
2011,106560838,PACIFIC SHORES HOSPITAL,Ventura,Investor,Comparable,,,30,30,30,$439184.00,$0.00,"OXNARD, California
(34.197663, -119.175947)"
2011,106090793,BARTON MEMORIAL HOSPITAL,El Dorado,Non-Profit,Comparable,,Rural,112,112,112,$8790843.00,$5162012.00,"SOUTH LAKE TAHOE, California
(38.941539, -119.977191)"
