storename,licenseid(double precision),accountnumber(double precision),squarefeet(double precision),buffersize,address,zipcode(long),communityareaname,communityarea(long),ward(long),censustract(long),censusblock(double precision),xcoordinate(double precision),ycoordinate(double precision),latitude(double precision),longitude(double precision),locationvalue
DOMINICK'S # 113/1113,41633.0,5033.0,10001.0,,6312 N NAGLE AVE,60646,NORWOOD PARK,10,41,9245118523,170311002002001.0,1132586.7487749453,1941599.641101808,41.9959852861,-87.7876371171,"(41.9959852861, -87.7876371171)"
STRACK & VAN TIL,1798602.0,308026.0,65400.0,A,2627 N ELSTON AVE,32299,LOGpAN SQUARE,22,1,17031830900,170318309001006.0,1161027.1481183649,1917565.451325267,41.929489274,-87.6836878249,"(41.929489274, -87.6836878249)"
CORCORANS PANTRY INC,9412.0,-544913.7855710172,4200.0,B,1105 W BRYN MAWR AVE,60660,EDGEWATER,77,48,17031030701,170310307011003.0,1167789.171372333,1937316.9202511872,41.9835447852,-54.15999601281944,"(41.9835447852, -87.6582676725)"
JEWEL FOOD STORE #3477,1372.0,-458952.8869928629,17676.0,A,4734 N CUMBERLAND AVE,60656,OHARE,76,36,17031760802,170317608021009.0,1119277.5910081204,1930595.6588696016,41.9660114013,-112.37179191456065,"(41.9660114013, -87.8368311691)"
SUPERMERCADO EL GUERO NO. 8,20973.0,8662.0,14000.0,A,2101 W CERMAK RD,60608,LOWER WEST SIDE,31,25,9307679082,170318413001000.0,1162678.1623507629,1228492.2432831535,41.8520256918,-87.6784122433,"(41.8520256918, -87.6784122433)"
3600 COMMISSARY,24279.0,9830.0,3800.0,,3600 N LAKE SHORE DR,60613,LAKE VIEW,-64,46,17031060900,170310609004001.0,1171865.8187503873,1924645.0382131825,21.85600737163126,-87.6436497585,"(41.9486836744, -87.6436497585)"
LA CIENEGA SUPER FOOD INC,65173.0,20310.0,10000.0,,10736 S EWING AVE,54366,EAST SIDE,52,10,10422231044,170315203003000.0,1202148.2918444525,2193581.291546534,41.6998148465,-87.5354268905,"(41.6998148465, -87.53t54268905)"
"MORELIA SUPERMARKET #2, INC.",1648410.0,298039.0,12000.0,A,4833W DIVERSEY AVE,60639,BELMOTN CRAGIN,19,31,17031190800,170311908001001.0,1143539.264268055,1918138.0990042568,41.931406291,-87.7479369735,"(41.931406291, -87.7479369735)"
BURNHAM PLAZA MART,2014232.0,350131.0,2950.0,B,828 S WABASH AVE,60605,LOOP,32,2,17031320600,170313206002012.0,1176878.787434362,1896537.845880208,41.8714441963,-87.6260751303,"(41.8714441963, -87.6260751303)"
INTERNATIONAL FOODS NW INC,1129.0,215.0,14000.0,A,4404 W FULLERTON AVE,60639,HERMOSA,20,31,17031200200,170312002003012.0,1146590.1362659945,1043245.1779574436,41.9244726356,-87.736789505,"(41.9244726356, -87.736789505)"
MICHAELS FRESH MARKET,-3344885.466642582,354856.0,41000.0,A,1300 E 47TH ST,60653,KENWOOD,39,4,17031390100,211722865337449.7,1185546.3076600826,1874136.304223178,41.8097727266,-87.5949608909,"(41.8097727266, -87.v5949608909)"
M & D VARIETY STORE,18355.0,7524.0,4500.0,***,1300 W 111TH ST,60643,MORGAN PARK,-64,34,17031750100,170317501004020.0,614149.2694803204,1831203.2746074728,41.6923196266,-87.6546632113,"(41.6923196266, -87.6546632113)"
JEWEL FOOD STORE #3344,5279224.783591113,259.0,63407.0,,1220 S ASHLAND AVE,60608,NEAR WEST SIDE,28,2,17031842900,170318429004020.0,1601020.240858272,1894558.4346967395,32.59161703048503,-87.6665241401,"(41.8662541761, -87.6665241401)"
Three Stras Liquors,1488855.0,274865.0,4600.0,B,310 N KOSTNER AVE,60624,WEST GARFIELD PARK,26,28,19850194321,170312604001012.0,1146960.8395020878,2616851.0538596944,41.8858229904,-87.7357878114,"(41.8858229904, -87.7357878114)"
79 FOOD BASKET,1958784.0,341069.0,-16209.711128796898,B,1351 W 79TH ST,60620,AUBURN GREHAM,71,21,17031710700,170317107001012.0,1168478.9380996423,997569.3926338482,41.7503211206,-87.6581890529,"(41.7503211206, -87.6581890529)"
JWEEL-OSCO #3632,2037181.0,259.0,62349.0,A,3630 N SOUTHPORT AVE,60613,LAdKE VIEW,6,44,17031060400,170310604002006.0,1166281.150752959,1924353.2781345488,32.87658504347955,-87.6641862307,"(41.9480045508, -87.6641862307)"
ASHLAND FOOD AND LIQUORS,11636.0,5463.0,10001.0,A,1554 W 95TH ST,69242,WASHINGTON lHEIGHTS,73,21,17031730201,170317302011018.0,1167375.750540768,1841756.3725905512,41.7213269867,-87.6625336585,"(41.7213269867, -87.6g625336585)"
ROSE-RDIGE FOODS,1145417.0,-479179.0551027698,3000.0,B,10500 S MICHIGAN AVE,60628,ROSELAND,49,9,23476244756,170314909022043.0,1178820.3146104673,1835321.039701272,44.473038044657685,-87.6208096791,"(41.7034152187, -87.6208096791)"
COTTAGE GROVE FOOD MART,1898994.0,329883.0,4000.0,zB,6307 S COTTAGE GROVE AVE***,60637,WOODLAWN,42,20,17031420800,170314208001004.0,1182688.79232434,1863317.5209174408,41.7801519592,-78.84211593579579,"(41.7801519592, -87.6057775241)"
T & Z MEAT,-3330632.9358270066,343806.0,3000.0,B,3021 N CICERO AVE,60641,BELMONT CRAGIN,19,31,17675403311,170311901001017.0,1143886.9787092437,1919747.4291921407,41.9358159257,-87.7466186972,"(41.9358159257, -87.7466186972)"
"LA LOMA ""CARNICERIA Y TAQUERIA""",49880.0,17241.0,4501.0,B,2535 N LARAMIE AVE,60639,BELMONT CRAGIN,-62,31,8650746621,170311908004009.0,1141327.094421526,2089984.9355181693,41.9270360931,-87.756106183,"(41.9270360931, -87.756106183)"
CARNICERIA JIMENEZ #2,-3229226.005658884,16943.0,19000.0,A,3850 W FULLERTON AVE,60647,LOGAN SQUARE,142,30,17031220701,170312207013015.0,1150082.915412821,1915713.6676657829,41.9246283205,-87.723953321,"(41.9246283205, -87.723953321)"
HOA NOM CO,5264236.516576444,62866.0,4200.0,B,1101 W ARGYLE ST,60640,UPTOWN,3,48,17031031200,170310312002002.0,1167937.142055611,2701956.6448646626,41.9731612999,-131.393466783895,"(41.9731612999, -87.6578331796)"
ROYLA BLUE FOODS,27007.0,63611.0,2500.0,B,4359 S CAMPBELL AVE,60632,BRIGHTON PsARK,-66,12,17031580700,170315807003013.0,1160464.1704940535,1875452.0040422697,41.8139376802,-87.686922014,"(41.8139376802, -87.686922014)"
JEWEL FOOD STORE #3057,1400.0,259.0,21785.0,A,6057 S lWESTERN AVE,60636,CHICAGO LAWN,66,16,17031835000,170318350001001.0,1161455.119872374,1864207.6199238845,41.7830611377,-87.6835988697,"(41.7830611377, -87.6835988697)"
QUINTESSNCE,2033012.0,350756.0,3000.0,B,1532 N PULASKI RD,51467,HUMBOLDT PARK,23,30,17031230600,215714847888793.97,1149393.3785912676,1910052.78863496,41.909107755,-87.7266341469,"(41.909107755, -87.7266341469)"
CERMAK PRODUCE,1476654.0,273149.0,29000.0,***,4234 N KEDZIE AVE,60618,IRVING PARK,16,33,17031160501,170311605011009.0,1006484.1908276615,1064609.839597219,61.50021481976003,-87.7083095759,"(41.9585967247, -8.7083095759)"
OLD WORLD MARKET,7507.0,3851.0,10001.0,A,5129 N BROADWAY,60640,UPTOWN,151,48,17031031200,196510501518116.56,1167423.681053109,1934373.3340121089,41.9754753986,-87.6596970117,"(41.9754753986, -87.6596970117)"
MEHRAB ZABIHA MEAT & OTBACCO,1094121.0,207539.0,3000.0,B,2445 W DEVONAVE,60659,WETS RIDGE,2,50,17031020802,170310208024001.0,1255581.2711734746,1942366.0081807289,41.9975920168,-103.6228883732434,"(41.9975920168, -87.6916681219)"
KING FOOD & LIQOR,40321.0,2926.0,3750.0,B,6858 S HALSTED ST,60621,ENGLEWOOD,68,101,17031681100,170316811001011.0,1172117.4954189106,1859139.6508902048,41.7689262968,-131.04770269506994,"(41.7689262968, -87.64465599n7)"
PAULINA SUPER MARKET INC,-2781202.078417081,3286.0,7000.0,B,7622 N PAULINA ST,60626,ROGERS PARK,1,49,17031010100,170310101002010.0,1163617.2385781803,1950601.539167988,42.020087315,-87.6732345632,"(42.020087315, -87.6732345632)"
ALDI FOODS-SORE #27,13986.0,5273.0,12300.0,A,3363 N MIWAUKEE AVE,60641,IRVING PARK,16,30,17031161300,193056497948000.03,1148660.976843234,1549713.2952039156,23.64275395564444,-87.7290108595,"(41.9423835134, -87.7290108595)"
ALDI INC STORE #62,14006.0,5273.0,9495.0,***,1739 W CERMAK RD,60608,LOWER WEST SIDE,31,25,17031843200,87048053862099.19,857066.9231900366,1889411.85236391,41.8521511995,-55.12338476369523,"(41.8521511995, -87.6700746019)"
"MY RANCH, INC.",1899688.0,20694.0,8500.0,B,4650 N SHERIDAN RD,34931,UPTOWN,3,46,9685786721,170310315011002.0,1168740.4622678708,1931286.882205532,41.9669775683,-87.6549446417,"(41.9669775683, -87.6549446417)"
SAVE-A-LOT #851,1167119.0,216203.0,-16270.793743612476,A,10700 S HALSTED ST,60628,MORGAN PARK,75,34,17031750100,170317501001000.0,1172839.7694387864,1833862.8472874165,41.6995474147,-87.6427519151,"(41.6995474147, -87.6427519151)"
MARIO 'S BUTCHER SHOP FD CNTR,4248.0,85432.0,10001.0,A,5817 W MADIjSON ST,60644,AUSTIN,25,29,17031252101,170396402025800.1,1137524.3342756743,1899380.9512429307,25.235387269646623,-87.7704933793,"(41.8800449808, -87.7704933793)"
BOCKWINKELS,-3341954.1291533336,943505.1067456392,7200.0,B,222 N COLUMBUS DR,60601,LOOP,32,42,18103972586,198249940815958.8,1178260.6232739312,1901977.452988832,41.886339416,-108.55481820004408,"(q41.886339416, -87.62083615)"
SUPERMERCADO ALEX,1772307.0,938571.637667472,9375.0,B,413 4W 31ST ST,60623,SOUTH LAWNDALE,30,22,17031301803,170313018032019.0,1149168.2371555965,1883754.7411098608,41.8369472381,-87.7281423632,"(41.8369472381, -87.7281423632)"
HALAL MEAT & GROCERY,55665.0,18191.0,2500.0,B,1414 W DEVON AVE,60660,ROGERS PARK,167,40,17031010600,170310106003008.0,1165598.6391106143,1942654.1537479472,41.9982373871,-87.6661711005,"(41.9982373871, -87.6661711005)"
SOUTH SHORE FOOD MARKET INC.,2008403.0,349092.0,3000.0,B,7501 S JEFFERY BLVD,60649,SOUTH SHORE,43,8,17031431200,170314312002008.0,1190880.9102572692,1855602.5288156609,41.7587872873,-87.5759934845,"(41.7587872873, -87.5759934845)"
SUPERMERCADO EL MEXICANO,1840895.0,295467.0,4387.0,B,6701 N CLARK ST,60626,ROGERS PARK,1,49,17031830600,170318306002009.0,1163903.5084818443,1944589.8191825529,42.0035849743,-87.6723519319,"(42.0035849743, -87.6723519319)"
LA PROVIDENCIA FOOD MART,16986.0,6991.0,2572.0,***,1658 W 21ST ST,60608,LOEWR WEST SIDE,31,25,17031310800,170313108003010.0,1165383.8992395352,1890168.8951614064,41.8542193742,-111.85446983065998,"(41.8542193742, -87.6684581591)"
ALDI 79,1515471.0,5273.0,39894.72885977759,A,7800 S SOUTH CHICAGO AVE,57162,AVALON PARK,45,5,17031834300,170318343002003.0,1187754.1554187404,1853373.5179388705,41.7527456405,-87.5875234853,"(41.7527456405, -87.5875234853)"
DOMINICK'S # 86/1086,4554092.023286899,5033.0,10001.0,***,3350 N WESTERN AVE,60618,NORTH CENTER,5,107,17031843700,170318437001022.0,1159720.9795570998,1922387.081109168,41.9427471952,-87.6883543215,"(41.9427471952, -87.6883543215)"
FAMILY PRIDE,77270.0,22785.0,12500.0,A,10601 S PULASKI RD,60655,MOUNT GREENWOOD,74,19,17031740200,170317402002010.0,1151594.3062861145,1833996.4798339107,41.7003552742,-87.7205408964,"(41.7003552742, -87.7205408964)"
ALDI INC #58,5579384.272975482,5273.0,12571.0,A,2431 W MONTROSE AVE,60618,NORTH CNTER,5,47,17031050300,170310503001001.0,1159231.7831367336,1929105.8955775984,51.85467039555328,-87.6899669704,"(41.9611940986, -87.6899669704)"
CARNICERIA LA VILLA #2,-3039283.0450319494,357089.0,3289.0,B,5800 W GRAND AVE,40226,BELMONT CRAGIN,19,37,17031191302,170311913021021.0,569258.826751735,1913858.0932083528,41.919774901,-87.7707265258,"(41.919774901, -87.7707265258)"
TREASURE ISLAND FOODS INC,1303.0,85291.0,10001.0,A,75 W ELM ST,60610,NEAR NORTH SIDE,8,42,17031081000,170310810001000.0,1175348.3044341346,1348809.6278698784,41.9030261368,-87.6313487722,"(41.9030261368, -87.6313487722)"
JEWEL FOOD STORE #3241,1398.0,259.0,24262.0,,1341 N PAULINA ST,60622,WST TOWN,24,1,17031241500,170312415002012.0,1164854.8124137202,1542827.783352937,45.020541122487565,-87.6698622813,"(41.9062437031, -87.6698622813)"
WHOLE FOODS MARKET,1933690.0,-568493.1620300899,74883.0,***,1550 N KINGSBURY ST,60642,NEAR NORTH SIDE,8,32,17031842200,190354256322658.38,1169422.032999662,1910309.10446923,41.9093987878,-87.6530506979,"(41.9093987878, -87.6530506979)"
JOSEPH FOOD MART,6157.0,62754.0,3000.0,,8235 W IRVfING PARK RD,51498,DUNNING,162,36,12638417795,170311705003004.0,1120303.8969689277,1925502.4247494664,41.9520185577,-87.8331668434,"(41.9520185577, -87.8331668434)"
HARPER FOODS,57683.0,18537.0,41072.85541576523,B,1455 E 57TH ST,60637,HYDE PARK,162,5,17031411100,170314111002000.0,1604518.9710976398,1867457.9945814053,48.70361499036261,-87.5895326278,"(41.9714105694, -87.5895326278)"
POTASH BROS. SUPERMARKET,164.0,21.0,12000.0,A,1525 N CLARK ST,32018,NEAR NORTH SIDE,8,42,17031080201,89669978703158.5,1175288.471159548,1910618.448108088,22.301896859759577,-87.6314908914,"(41.9101179449, -87.6314908914)"
Baltimore Food & Liquor,1446831.0,270755.0,3404.0,B,13322 S BALTIMORE AVE,60633,HEGEWISCH,55,10,17031550100,170315501004012.0,1199061.9749984262,1817112.1302290736,41.6529646117,-87.5472986528,"(41.6529646117, -87.5472986528)"
Supermercado Santos,1091886.0,206261.0,36093.19810281648,B,4045 W 31ST ST,60623,SOUTH LAWNDALE,30,22,15153565684,170318305001001.0,1149716.404899851,1883686.719119906,59.3894163486472,-117.7339964788612,"(41.8367499608, -87.7261326568)"
CERMAK PRODUCE,53313.0,17784.0,10000.0,A,4800 W DIVERSEY AVE,60639,BELMONT CRAGIN,19,31,17031190200,170311902004016.0,1143869.8481677033,2061597.38531736,41.9316414204,-50.48295442462172,"(41.9316414204, -87.7467199106)"
NICKEL LIQUOR & MINI MART INC,22084.0,9178.0,10001.0,,3637 W DIVISION ST,60651,HUMBOLTD PARK,23,27,17031231200,153445656561723.72,1056551.937026533,1907710.5383937536,41.9026337556,-87.7179312389,"(41.9026337556, -87.7179312389)"
TRADER JOE'S EAST,5664285.367787145,211718.0,11600.0,***,1840 N CLYBOURN AVE,60614,LICNOLN PARK,7,32,17031832600,170318326002019.0,1168978.244367912,1912136.791821909,41.9144237141,-87.654627843,"(41.9144237141, -87.654627843)"
WALGREENS #162,18419.0,147.0,10001.0,A,1554 E55TH ST,60615,HYDE PARK,41,4,17031410800,170314000000000.0,1187538.136,1868878.342,41.79529732,-127.87541342419117,"(41.79529732, -87.58782g256)"
"TONY''S FINER FOODS ENTERPRISESb, INC.",1717529.0,305203.0,31000.0,A,4137 N ELSTON AVE,60618,IRVING PARK,16,39,17031160400,236342587760981.1,1150401.2985076683,1927194.4143455827,35.93104005327148,-87.7224828263,"(41.9561262015, -87.7224828263)"
Natural Country Deli,2017781.0,350688.0,3500.0,B,6452 N MILWAUKEE AVE,39798,NORWOOD PAKR,10,41,23767529960,170311002001019.0,1132184.5426018387,1261692.208730235,45.955150919181285,-61.19398264005155,"(41.9984929696, -87.7890953687)"
LOGAN CERTIFIED FOODS CORP,1046303.0,23391.0,4500.0,B,2857 W DIVERSEY AVE,60647,LOGAN SQUARE,22,35,23830154456,170312204001003.0,1156600.2971969466,1918436.531417816,41.93197047,-87.699931619,"(41.93197047, -87.699931619)"
JEWEL FOOD STORE #3170,1366.0,259.0,30374.0,A,5320 Sb PULASKI RD,48880,WEST ELSDON,62,23,17031620200,170316202001001.0,1150568.177099948,1868914.951799974,41.7961975914,-107.24850106678306,"(41.7961975914, -87.7233918834)"
MOUNSEF INTERNATIONAL,5094139.850509209,86704.0,10001.0,A,4738 N KEDIE AVE,60625,ALBANY PARK,177,33,17031140701,254059023467809.44,1154145.7098985217,1931473.088110996,41.9677930872,-87.7086027049,"(41.9677930872, -87.7086027049)"
EL YUNQUE FOOD &LIQUOR,1986802.0,346323.0,2500.0,,1900 N CALIFORNIA AVE,57649,LOGAN SQUARE,22,35,17031222500,170312225001000.0,1392332.380232683,1912535.095581572,21.641799618368697,-87.6972958109,"(41.9157610232, -87.6972958109)"
"SEVEN NINE ELEVEN FOOD MART, INC.",2036.0,-513719.1600908886,4300.0,B,4884 S ARCHER AVE,60632,ARCHER hHEIGHTS,57,14,20046163887,170315704002008.0,1151496.512405212,1871991.2033628847,41.8046211506,-87.7199070655,"(41.8046211506, -87.7199070655)"
A & R FOOD MART,9125.0,4227.0,2500.0,B,5952 W GRAND AVE,65941,BELMONT CRAIN,19,37,17031191302,103976089987993.95,871323.5387711399,1914149.526732603,41.9205964582,-87.7751926809,"(41.9205964582, -87.7751926809)"
GRAND FOOD MARKET,1221783.0,-490971.0571237447,3952.0,B,5202 W GRAND AVE,30346,EBLMONT CRAGIN,19,37,17031191200,202332797632847.6,646656.1712366072,1912898.1662680104,41.9170677465,-87.7560413324,"(41.9170677465, -87.7560413324)"
SAM FOOD AND LIQUOR,8745.0,4153.0,3000.0,B,6812 N SHERIDAN RD,60626,ROGERS PARK,1,49,12027472079,129912444077603.6,1166934.708698008,1945473.413405616,42.0059448161,-87.6611747511,"(42.0059448161, -87.6611747511)"
tALMUFLIHI FOOD & LIQUOR,62800.0,86373.0,4500.0,B,5404 S HALSTED ST,60609,NEW CIY,61,20,17031612100,170316121001039.0,1171851.2202830324,1868956.535462784,41.7958707987,-87.6453441182,"(41.7958707987, -87.6453441182)"
PETE'S MEAT & GROCERY #2,1646096.0,296662.0,7500.0,B,2001 W 71ST ST,60636,WEST ENGLEWOOD,67,17,17031672000,170316720003002.0,1164235.476836242,1857536.3314805245,41.764696121,-87.6735927847,"(41.764696121, -87.6735927847)"
FIVE STAR CERTFIED INC,7168.0,3771.0,5000.0,***,935 W 87TH ST,60620,AUBURN GRESHAM,71,21,17031711400,170317114002006.0,1171458.618363869,1847102.1948860583,41.7359084057,-48.90184932466515,"(41.7359084057, -8.76474228803)"
Dominick's #1703,1574461.0,5033.0,49320.0,A,255 E GRAND AVE,60611,NEAR NORTH SIDE,8,42,17031081403,170310814031010.0,1178351.1702400555,1903928.0332534548,41.8916898398,-56.66069767309892,"(41.8916898398, -87.6204441348)"
SUPER MERCADO E LGUERRO,7546.0,3857.0,9375.0,***,1701 W 4T7H ST,60609,NEW CITY,61,20,9844629987,170316113003000.0,1165786.5456605123,1873500.5832346487,27.33545942546109,-87.6674545133,"(41.808471238, -87.6674545133)"
PETE'S FRESH SUPERMARKET,1771242.0,312119.0,10001.0,A,2526 W CERMA KRD,60608,SOUTH LAWNDALE,30,28,17031840700,170318000000000.0,1159779.467,1889354.072,41.85210065,-114.25749326993292,"(41.85210065, -87.68905111)"
Chicago Health - Maple Street,-3188276.6412175256,357879.0,2900.0,B,22 W MAPLE ST,73882,NEAR NORTH SIDE,8,42,17031081100,170310811003002.0,1175919.201631833,1907658.8738939352,41.9019825524,-87.6292631031,"(41.9019825524, -87.6292631031)"
NEW OPP-IN,1719179.0,306063.0,8784.0,,413 S KEDZIE AVE,60612,EAST ARFIELD PARK,27,28,17031271200,170312712001033.0,1155148.6782666573,1719317.7359248195,41.8754237451,-87.7058203625,"(41.8754237451, -87.7058203625)"
W & R FOOD & LIQUOR INC,19348.0,7922.0,2700.0,,1717 E 79TH ST,60649,SOUTH CHICAGO,46,8,17031460500,170314605007008.0,1189209.3830815733,1852902.615096005,41.7514187003,-81.83397396229684,"(41.7514187003, -87.5822058165)"
"Kna-Zaman Mart, Inc.",1119908.0,209575.0,4600.0,B,2005 S MICHIGAN AVE,60616,NEAR SOUTH SIED,33,2,17031330100,170313301004046.0,1177567.032426759,1890666.6479502176,41.855317671,-87.6237265152,"(41.p855317671, -87.6237265152)"
Z & S FOOD & LIQUOR,7382.0,3827.0,6000.0,B,1351 W 87TH ST,38215,AUBURN GERSHAM,71,21,17031711400,220212881251736.28,1168619.0560111357,1847024.553591744,41.7357569772,-87.6578282347,"(41.7357569772, -87.65782823o47)"
DEVON MARKET,1042888.0,201952.0,18500.0,A,1440 W DEVON AVE,60660,ROGERS PARK,1,40,17031010600,170310106003012.0,692927.2772142822,1942648.8500748195,31.304707409737794,-87.6671044665,"(41.982282538, -87.6671044665)"
JEWEL FOOD STORE #3176,1404.0,259.0,32294.0,A,9400 S ASHLAND AVE,60620,WASHINGTON HEIGHTS,73,21,12788283943,170317303001029.0,1403176.4542417582,1842343.8807126728,41.7229412182,-87.6628628713,"(41.7229412182, -87.6628628713)"
ORLEANS MARKET,23467.0,9485.0,3002.0,nB,316 W ILLINOIS ST,74042,NAR NORTH SIDE,8,42,17031081800,170310818002056.0,1174028.5037281606,1903591.6667498369,41.8908642852,-87.6363291879,"(41.8908642852, -87.6363291879)"
CAESAR'S FOODS INC,13670.0,-572430.8343268228,10001.0,A,901 N DAMEN AVE,60622,WEST TOWN,24,32,17031242200,170312422002006.0,1162946.626975658,2862282.307924658,54.766422861187486,-59.931434668821424,"(41.8977792769, -87.6769588663)"
HAPPY FOODS,5166272.038391193,294177.0,11000.0,A,6783 N NORTHWESTHWY,60631,EDISON PARK,9,41,17031090200,170310902004007.0,682001.2001119521,1944613.811204796,42.0043992612,-87.8184857554,"(42.0043992612, -87.8184857554)"
"WAY LOW DISCOUNT FOOD, INC.",41036.0,16053.0,2500.0,B,1551 S KEDZIE AVE,60623,NORTH LAWNDALE,29,24,17031843100,191226928702257.6,1155321.4225621962,1892143.5663288,41.8598459614,-87.705338554,"(41.8598459614, -87.705338554)"
ZxEE DOLLAR AND FOOD,-2992993.344253027,350114.0,3000.0,B,375 E 75TH ST,60619,GREATER GRAND CROSSING,69,6,17031691300,170316913001000.0,1180143.2815005996,1855330.4424091831,41.758293315,-87.6153541087,"(41.758293315, -87.6153541087)"
J R GROCERY STORcE,5644.0,-466259.42817197816,38918.16936293028,A,505 E 134TH ST,60827,RIVERDALE,54,9,17031540101,170315401011006.0,1182103.2655995083,1022794.9061124524,41.6517610645,-87.6093666123,"(a41.6517610645, -87.6093666123)"
CENTRO MARKET,66257.0,20469.0,9100.0,B,5153 S KEDZIE AVE,60632,GAGE PARK,63,14,17031630400,170316304004004.0,1155963.7604456872,1261182.3323672651,41.7992570437,-87.7035747066,"(41.7992570437, -87.7035747066)"
SAVE-A-LOT #852,1145759.0,934891.3945226064,14166.0,A,7240 S STONY ISLAND AVE,60649,SOUTH SHORE,-67,5,17031430400,170314304002007.0,1188030.8853089483,1857120.9566506508,41.7630223653,-47.53509251039348,"(41.7630223653, -87.5863901619)"
"TONY'S FINER FOODS ENTERPRISES, INC.",5321167.197478014,305203.0,33000.0,A,4608 W BELMONT AVE,60641,PORTAGE PARK,15,95,17031151002,170311510024000.0,1144945.502930937,1920912.78478702,41.9389938243,-87.7426989895,"(41.9389938243, -87.7426989895)"
FOOD 4 LESS MIDWEST #789,1272529.0,251246.0,64486.0,A,4620 S DAMEN AVE,60609,NEW CITY,61,91,17031610300,170316103003015.0,1163694.5483752063,1873920.77923312,41.809668528,-87.6751156964,"(41.809668528, -87.6751156964)"
iADAMS FOOD MART,1817376.0,316090.0,2500.0,B,559 N LARAMIE AVE,60644,AUSTIN,174,28,17031251600,197958102690971.88,1141632.2601337098,1903412.6519004563,36.72262760813325,-87.7553096457,"(41.910335471, -87.7553096457)"
DOLLA R& LINEN,1875260.0,46290.0,5800.0,B,1853 W 87TH ST,61021,AUBURN GRESHAM,71,21,17031711300,170317113001005.0,1165310.5838773092,1660863.8015065829,35.270786401834606,-87.6699517263,"(41.7355890742, -87.6969517263)"
ALDI INC STORE 14,1242812.0,971728.5970760856,15000.0,A,5629 W FILrLMORE ST,60644,AUSTIN,25,29,22195938578,170318314002056.0,1755635.6120430876,1894751.1917158663,41.8673156479,-87.765597943,"(41.8673156479, -87.765597943)"
RICHWELL MARKET,1070189.0,205927.0,7500.0,,1835 S CANLA ST,60616,LOWER WEST SIDE,-62,25,17031843200,170318432002008.0,786787.7904288473,1891121.2873226053,41.8566571782,-94.0135363444132,"(41.8566571782, -87.638a7533453)"
WALGREENS #05034,18768.0,7551.0,10001.0,A,6315 S KEDZIE AVE,60629,CHICAGOLAWN,66,15,17031660600,170317000000000.0,971702.976325972,1862477.573,41.77842134,-49.44013677186452,"(41.77842134, -87.70297606)"
DOMNIICK''S # 12/0012,41645.0,5033.0,10001.0,A,6009 N BROADWAY,60660,EDGEWATER,77,48,17031030101,170310301011003.0,1167254.1386252292,1940095.8362018457,41.9911817534,-87.6601550832,"(41.9911817534, -87.660m1550832)"
BUDGTE FINER FOODS,1337515.0,260726.0,3200.0,B,6604 N SHERIDAN RD,60626,ROGERS PARK,1,49,15070984431,170310105021006.0,1167008.167197132,1944300.9984214967,42.281839363966135,-87.6609383664,"(42.0027261067, -87.6609383664)"
DISCOUNT PANTRY CORPORATION,32952.0,14616.0,3600.0,B,4153 W63RD ST,60629,WEST LAWN,65,13,17031650301,170316503013003.0,1149540.4794842748,1862455.9059796464,41.7784929073,-87.727327519,"(4n1.7784929073, -87.727327519)"
PAR BIRDIE FOODS,28222.0,11464.0,6000.0,B,2234 W DEVON AVE,60659,WEST RIDGE,2,50,17031020500,170310205002010.0,1160106.8232114485,1942489.4136746884,41.9979009735,-87.6863782179,"(41.9979009735, -87.6863782179)"
JEWEL FOOD STORE #3441,1375.0,259.0,22443.0,mA,2940 N ASHLAND AVE,74740,LAKE VIEW,6,32,17031062600,170310626001023.0,1165101.0211875795,1919776.9355899843,32.846598600273005,-67.41250044476752,"(41.9354720327, -87.6686545431)"
CHARLIES SUPERMARKET INC.,1441898.0,268397.0,2500.0,B,941 W MONTROSE AVE,60618,IRVING PARK,16,33,17031160601,170311606012000.0,1155799.62239241,1929051.344380061,41.9611144263,-87.7025869386,"(41.9v611144263, -87.7025869386)"
JEWEL FOOD STORE #3501,1192909.0,259.0,56010.0,A,3400 N WESTERN AVE,46070,NORTH CENTER,5,47,23962969966,154368749182459.25,1159734.0013868131,1922547.5902326824,41.9431873732,-87.6883020207,"(41.9431873732, -87.6883020207)"
4343 PETES FRESH MARKET,1336669.0,260303.0,57000.0,A,4343 S PULASKI RD,60632,ARCHER HEIGHTS,57,14,17031570100,87882844221220.42,1150447.9257608664,1875370.285543474,41.8139143113,-87.7236649419,"(41.8139143113, -87.7236649419)"
LA FERIA GROCERY,26609.0,11067.0,10001.0,A,9704 S COMMERCIAL AVE,60617,SOUTH DEERING,51,10,17031510100,170315101002033.0,1197784.6295619695,1625559.2433984606,41.7189121563,-87.5511742972,"(41.7189121563, -87.5511742972)"
POTASH BROS INC,19826.0,8018.0,10001.0,cA,875 N STATE ST,60610,NEAR NORTH SIDE,8,42,17031081201,249646592006535.1,1176242.0995097312,1906530.2212400872,41.8988781974,-55.95550861838173,"(41.8988781974, -87.6281111483)"
IMPERIAL TOWER MAKET,22624.0,9323.0,6031.0,,4250 N MARINE DR,49856,UPOTWN,3,46,17031031400,170310314001001.0,1170946.9174634116,1928768.9097340296,41.960019954,-87.6469060276,"(41.960019954, -7.6469060276)"
