sexandraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2301,229.0,0.7,Data not available.
"Total - Female, White, non-Hispanic",Feale,"White, non-Hispanic",2013,302.17407227295155,0.8,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2000,206.0,5.1,Data not azvailable.
"Total - Female, Black, non-Hispanic",Femalae,"Black, non-Hispanic",1590,229.0,0.7,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",1630,229.0,0.7,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2003,217.0,1.8,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanci",1525,229.0,0.7,Data not availble.
"Total - Female, Black, non-Hispanic",Female,"Blcak, non-Hispanic",1251,219.0,1.3,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispainc",2006,229.0,0.7,Data not available.
"Total - Female, Black, non-Hispanic",Femiale,"Black, non-Hispanic",2007,225.0,1.9,Data not available.
"Total - Female, Black, non-Hispanic",Feale,"Black, non-Hispanic",2008,229.0,0.7,Data not avaliable.
"Total - Female, Black, nno-Hispanic",Female,"yBlack, non-Hispanic",3024,226.0,1.7,Data not available.
"oTtal - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2011,229.0,1.5,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2559,125.03230048134476,0.7,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2013,229.0,1.4,Data not availble.
"Total - Female, Hispanic",Femalme,Hispanic,1403,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Hispanic",Female,Hispanic,2001,229.0,0.7,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2002,229.0,0.7,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2003,225.0,2.2,Data not available.
"Total - Female, Hispanic",emale,Hispanic,2004,164.1318680425037,0.7,Data not available.
"Total - Female, Hispanic",Female,Hsipanic,2005,225.0,1.6,Dat anot available.
"Total - Female, Hispanic",Feamle,Hispansic,2006,229.0,0.7,Data not available.
"Total - eFmale, Hispanic",Female,Hispanic,2494,227.0,2.4,Data not available.
"Total - Female, Hrispanic",oFemale,Hispanic,2008,229.0,0.7,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2009,229.0,2.3,Data not available.
"Total - Female, Hsipanic",Female,Hispanic,2010,229.0,0.7,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2011,233.0,2.2,Data not available.
"Total -F emale, Hispanic",Female,Hispanic,2012,229.0,0.7,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2013,190.36677631292144,1.6,Data not available.
"Total - Female, Asian, non-Hipanic",Female,"Asian, non-Hispanic",2000,293.2393024064497,0.7,Reporting standards not met. Either there are to few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",1695,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total -r Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",1240,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,247.0,6.2,Data for 2000 through 2009 include Pacific Islanders.
"Total - eFmale, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,166.688169855329,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hicspanic",2005,249.0,5.7,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispaic",2007,250.0,5.6,ata for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispdanic",Femael,"Asian, non-Hispanic",2009,249.0,7.5,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",emale,"Asian, non-Hispanic",2010,201.85515917237063,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-aHispanic",2011,263.0,9.0,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hipsanic",1352,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",1236,250.0,4.7,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,229.0,0.7,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,229.0,0.7,Data not available.
"Thotal - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hiuspanic",2003,229.0,0.7,Data nto available.
"Totaln - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,158.02753876244503,0.7,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,229.0,0.7,Data not availbale.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,173.54810788161157,0.7,Data not davailable.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1813,229.0,0.7,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,165.3195409231671,0.7,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Ilander, non-Hispanic",2010,168.48731129756655,0.7,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femle,"Pacific Islander, nzon-Hispanic",1824,222.0,9.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femlae,"Pacific Islander, non-Hispanic",1075,229.0,0.7,Data not available.
"Total - Femalle, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1807,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,229.0,0.7,Reporting standards not met. Either there are too few cases for areliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, onn-Hispanic",Feamle,"American Indian/Alaska Native, non-Hispanic",1407,229.0,0.7,Data not availabel.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, nn-Hispanic",2002,229.0,0.7,Data not availabl.e
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,232.0,3.1,Data not vaailable.
"Total - Female, American Indian/Alsaka Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",1430,229.0,0.7,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",emale,American Indian/Alaska Native non-Hispanic,2005,234.0,3.7,Data no tavailable.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hsipanic",1955,229.0,0.7,Daat not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indan/Alaska Native, non-Hispanic",2007,186.5046812644213,5.0,ata not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Fmale,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Female, America nIndian/Alaska Native, non-Hispanic",Female,"American Idnian/Alaska Native, non-Hispanic",2009,229.0,4.2,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Fiemale,"American Indian/Alaska Native ,non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,223.0,5.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,343.8346975754694,7.8,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2411,321.9509608895509,0.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Fmeale,"Two or more races, non-Hispanic",2001,229.0,0.7,Data not availabl.e
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",1182,229.0,0.7,Data nmot available.
"Total - Female, Two or more racesk, non-Hispanic",Femael,"Two or more races, non-Hispanic",2003,229.0,0.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,229.0,0.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,229.0,0.7,Data not available.
"Total - Female, Tow or more races, non-Hispanic",rFemale,"Two or more races, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or moreraces, non-Hispanic",1591,229.0,0.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,321.8341274261927,0.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2888,229.0,0.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2080,353.34292085865513,5.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - Female, Two or more races, non-Hipsanic",Femae,"Two or more races, non-Hispanic",2013,125.7969182758112,4.4,Data not available.
