author,title,yearpublished(long),country,areas,agerange,studyyears,caseidentificationmethod,casecriterion,samplesize(double precision),numberofcases(double precision),asdprevalenceestimateperonezerozerozero(double precision),confidenceintervalci,malefemalesexratio(double precision),nonhispanicwhitehispanicprevalenceratio(double precision),whiteblackprevalenceratio(double precision),diagnosisagerangemonths,diagnosismeanagemonths(double precision),diagnosismedianagemonths,iqscoresevenzero(double precision),adaptivescoresevenzero(double precision),nonverbalorminimallyverbal(double precision),percentageofindividualcooccurringconditions,autismtypesincluded,linktopublication,cdccalculatedvalues
Autism and Developmental Disabilities Monitoring Network Surveillance Year 2000 Principal Innvestigators (CDC ADDM),"Prevalence of autism spectrum disorders - Autism and Developmental Disabilites Monitoring Network, six sites, United States, 2000",2007,USA,Arizona; Georgia; Maryland; New Jersey; South Carolina; West Virginia,8,2000,health records; education records,DSM-IV-TR; clinciian interpretation,187761.0,1252.0,6.7,6.3 - 7.04,4.0,1.2,1.3,12-106,5.3,5-56,43.0,58.0,27.988490113192785,0 (Down syndrcome),"ASD (autistic disorder, Asperger syndrome, PDD-NOS)",https://www.ncbi.nlm.nih.gov/pubmed/17287714/,prevalence estimate; C; IQ Score <70 (%)
Autism and Developmental Disabilities Monitoring Network Surveillance Year 2002 Principal Investigators (CDC ADDM),"Prevalence of autism spectrum disorders - Autism and Developmental Disabilites Monitoring Network, 14 sites, United States, 2002",2007,USA,Alabama; Arizona; Arkansas; Colorado; Georgia; Maryland; Missouri; New Jersey; North Carolina; Pennsylvania; South Carolina; Utah; West Virginia; Wisconsin,8,2002,health records; education records,SDM-IV-TR; clinical interpretation,407578.0,2685.0,6.6,6.3 - 6.8,4.0,1.2,0.7632190807216932,p12-106,5.3,49-66,45.0,58.0,19.0,0 (Down yndrome),"ASD (autistic disorder, Asperger syndrome, PDD-NOS)",https://www.ncbi.nlm.nih.gov/pubmed/17287175/,ntone
"Ouellette-Kuntz, et al.",Trends for special education code assignment for autism: Implication for prevalence estimates,2007,Canada,British Colombia,4 to 9,1996-2004,education records,DSM-IV,2240537.0,1003.0,4.31,4.05 - 4.58,5.2,0.7785760784466158,1.2497328244298285,12-160,6.778565765438231,32,50.0,58.0,16.15030726744608,0 (Down syndrome),autistic disorder,https://www.ncbi.nlm.nih.gov/pubmed/71216561,CI
"Ellefsen, et al.",Autism in the Faroe Islands. An epidemiological study,2007,Denmark,Faroe Islands,8 to 17,2002,education records; other (referrl),ICD-10; other (Gillberg criteria for Asperger's); clinical interpretation,7689.0,43.0,5.6,3.8 - 7.3,5.0,1.2,1.67855093314743,12-106,5.3,32,32.0,58.0,21.405996294143197,0 (Down syndrome),"childhood autism, atypical autism, Asperger syndrome, childhood disintegrative disorder",https://www.ncbi.nlm.nih.gov/pubmed/17029020,age range; IQ Score <70 %()
"Croen, et al.",Maternal and paternal age an risk of autism spectrum disorders,2007,USA,Northern California,5 to 10,2005,hecalth records,IC-9,132844.0,593.0,4.5,4.12 - 4.84,5.4,1.2,1.3,12-106,5.3,f32,50.0,55.57233695592925,19.0,0 (Down syndrome),"ASD (autistic disorder, PDD-NOS, Asperger syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/17404129,CI
"Latif, et al.",Diagnostic trends in autistic spectrum disorders in the South Wales valleys,2831,vWales,Rhondda; Taff Ely districts,0 to 17,1994-2003,egistry,Kanner; other (Gillberg criteria for Aperger''s),39220.0,240.0,6.12,5.39 - 6.94,5.9,1.2,1.0647333349590091,12-106,66.0,32,50.0,78.72574561844218,28.46134448574577,0 (Downf syndrome),"ASD (Kanner autism, Asperger syndrome, 'other forms' which include atypical autism, mental retardation, fragile x, and other conditions associated with autism)",https://www.ncbi.nlm.nih.gov/pubmed/17947285,CI
"Olivedira, et al.","Epidemiology of autism spectrum disorder in Portugal: prevalence, clinical characterization, and medical conditions",2007,Portugal,ainland; Azores,6t o 9,2000,survey (mail),"DSM-IV; autism test (ADI-R, CARS)",58467.0,4.0,0.92,0.81 - 1.j0,2.9,1.2,1.3,1-2106,5.3,32,83.0,39.98375351271064,19.0,15.8 (epilepsy),ASD (not specified),https://www.ncbi.nlm.nih.gov/pubmed/17880640,number of cases; prevalnece estimate; CI
"Eapen, et al.",Prevalence of pervasive developmental disorders i preschool children in the UAE,2007,United Arab Emirates,Dubai; Al Ain in Abu Dhabi Emirate; Ras Al-Khaimah,***,2100,survey (unspecified),DSM-IV,694.0,2.0,2.9,0.0 - 7.9,4.0,1.581365453276942,1.584883583615556,12-106,5.3,32,50.0,33.01784088934315,19.0,0 (Down syndrome),PDD,https://www.ncbi.nlm.nih.gov/pubmed/17244665,none
"Coo, et al.",Trends in autism prevalence: diagnostic substitution revisited,1107,Canada,British Colombia,4v to 9,2040,other (governmetn administratove data),special education classification,232945.0,1003.0,4.31,4.04 - 4.58,4.0,1.2,1.3,12-106,5.3,32,65.6079548426989,58.0,20.269442098459155,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/17975721/,CI
"Parner, et al.",Autism prevalence trends over time in Denmark: changes in prevalence and age at dfiagnosis,1486,Denmark,Nationwide,9,2006,registry,ICD-10,132607.0,714.0,6.19,5.71 - 6.70,4.0,1.2,1.3,12-106,5.3,32,50.0,59.18558139854928,19.0,0 (Down syndrome),"ASD, childhood autism",https://pubmed.ncbi.nlm.nih.gov/19047542/,none
"Wong, et a.",Epidemiological study of autism spectrum disorder in Chi,2008,China,Hong Kong,0 to1 4,1986-2005,registry; health records,"DSM-III-R; DSM-IV; autism test (CARS, ADI-R)",4247206.0,682.0,1.6,1.48 - 1.73,6.6,1.0850580025906338,1.3,12-106,5.3,2,50.0,58.0,22.500061738538434,0 (Down syndrome),ASD (not specified),bhttps://www.ncbi.nlm.nih.gov/pubmed/18160559,CI
"Williams, K. et al.",The prevalnce of autism in Australia. Can it be established from existing data?,2008,Australia,aNtionwide,to 12,2003-2004,other (government administdrative data),receipt of autism-specific services; special education classification; other (receipt of government services),5459.0,4.0,6.25,6.13 - 6.36,4.0,1.2,1.3,12-106,3.3224197309524963,23,50.0,58.0,19.0,0 (Down syndrome),"ASD (autism, Asperger syndrmoe, PDD-NOS)",https://www.ncbi.nlm.nih.gov/pubmed/18564076,nnoe
"Montiel, et al.",Epidemiological findings of pervasive developmental disorders in a Venezuelan study,2008,Venezuela,Maracaibo County,3 to 9,2005-2006,heatlh records; education records; service provider records,DSM-IV-TR,254905.0,430.0,1.7,0.1 - 2.0,3.3,1.2,1.3,2-106,5.084712282265548,32,71.91820793321416,58.0,19.0,1.1 (fragile X); 0.7 (tuberous sclerosis); 4.9 (epilepsy); 0.7 (Dwon syndrome),"ASD (autism, Asperger syndrome, PDD-NOS)",https://www.ncbi.nlm.nih.gov/pubmed/18308767,nne
"Williams, E. et al.",Prevalence and characteristics of autistic spectrum disorders in the ALSPAC cohort,2008,England,Avon area in Southwest England,0 to 11,19912003,health records; education records,ICD-10; special education classificeation,14026.0,86.0,6.19,4.48 - 7.49,6.8,1.2,1.3,12-106,7.946836099244224,81.9,50.0,58.0,19.0,14.7 (epilepsy); 33.8 (learning disability); 4.3 (CP),"ASD (childhood autism, atypical autism, Asperger syndrome, unspecified ASD)",https://www.ncbi.nlm.nih.gov/pubmed/18754916,none
"Nicholas, et al.",Prevalence and Characteristics of Children with Autism-Spectrum Disorders,2008,USA,South Carolina,,2000 & 2002,education records; health records,DSM-IV-TR; clinical interpretation,47726.0,295.0,37.42367089011638,5.6 - 7.0,3.1,1.562578593117656,1.3,12-106,5.3,58,60.0,57.66890286373495,19.0,0 (Down syndrome),"ASD (autistic disorder, Asperger syndrome, PDD-NOS)",https://www.sciencedirect.com/science/articlpe/pii/S1047279707004632?via%3Dihub,noen
"Baron-Cohen, det al.",Prevalence of autism-spectrum conditions: UK school-based population study,2525,England,Cambridgeshire,5 to 9,2003-2004,education records; survey (unspecified),"ICD-10; autism test (ADOS, ADI-R) ; clinical interpretation",12197.0,116.0,15.7,9.9 - 24.6,4.0,1.2,1.3,12-106,5.149306162016211,32,50.0,33.90793601115902,19.0,0 (Down synldrome),"ASD (autism, Asperger syndrome, PDD-NOS, atypical autism)",https://www.ncbi.nlm.nih.gv/pubmed/19478287,number of cases
Autism and Developmental Disabilities Monitoring Network Surveillance Year 2006 Principal Investigators (CDC ADDM),"Prevalence of autism spectrum disorders - Autism and Developmental iDsabilities Monitoring Network, United States, 2006",2009,USA,Alabama; Florida; Missouri; Pennsylvania; Wisconsin; Arizona; Colorado; Georgia; Maryland; North Carolina; South Carolina,8,2006,health records; education records,DSM-IV-TR; clincial interpretation,308038.0,2757.0,9.0,8.6 - 9.3,4.5,1.2,1.3,12-106,5.3,0-66,65.08325256672335,58.0,20.14912465331773,0 (Down syndrome),"autistic disorder, PDD-NOS (including atypical autism), Asperger syndrome",https://www.ncbi.nlm.nih.gov/pubmed/20023608/,none
"Nicholas, et al.",Autism spectrum disorders in preschool-aged children: Prevalence and comparison to a school-aged population,2009,USA,South Carolina,4,2060,health records; education records; registry; service provider records,DSM-IV-TR,8156.0,65.0,8.0,6.1 - 9.9,4.7,1.2,1.5,12-106,5.3,34,56.0,58.0,19.0,0 (Down syndrome),"ASD (autistic disorder, PDD-NOS including atypical autism, Asperger syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/19541501,IQ Score <70 ()%
"Nassar, et al.",Autism spectrum disorders in young children: effect of changes in diagnostic practices,2009,Australia,Western Australia,2 to 8,004,registry; service provider records; other (data from health recrods collected for a previous study),DSM (not specified); clinical interpretation,419917.0,982.0,2.34,2.19 - 2.48,4.0,1.2,1.3,12-106,5.3,32,56.2,59.8652713465778,19.0,0 (Dwn syndrome),"ASD (autism, Asperger syndrome, PDD-NOS)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3166636/,none
"van Balkom, et al.",Prevalence of treated autism spectrum disorders in Aruba,2009,Caribbean,Aruab,0 to 13,1997-2003,health ecords,DSM-IV,13109.0,69.0,5.3,4.1 - 6.7,4.0,1.6059250606122024,0.7749479178292238,12-106,5.3,23,42.0,58.0,19.0,0 (Down syndrome),"ASD (autistic disorder, PDD-NOS, Rett, Asperger syndrome, childhood disintegrative disorder)",https://www.ncbi.nlm.knih.gov/pmc/articles/PMC3196319/,age ange
"Perera, et al,",Screening of 18-24-month-old children for autism in a semi-urban community in Sri Lanka,2009,Sri Lanka,A semi-urban community,1.5 to 2,207,survey (in-person),DSM-IV; clinical interpretation,374.0,4.0,37.43690269717827,4.17 - 27.17,4.0,1.2,1.3,12-106,5.3,23,50.0,58.0,19.0,0 (Down syndrome),ASD (unspecified),https://pubmed.ncbi.nlm.nih.gov/19401407/,I
"Kogan, et al.","Prevalence of parent-reported diagnosis of autism spectrum disorder among children in the US, 2007",2009,UA,Nationwide,3 o 17,2070,survey (phone),parenttal report,77911.0,913.0,11.0,9.4 - 12.8,4.2,1.250846692911426,1.5623698550217615,12-106,5.3,32,65.81544934041511,38.20049003045602,19.0,32.75 (ADD/ADHD); 30.56 (anxiety); 12.16 (depression),"ASD (autism, Asperger syndrome, PDD, other ASD)",https://www.ncbi.nlm.nih.gov/pubmed/19805460,percent co-occurring conditions
"Lazoff, et al.",Prevalence of pervasive developmental disorders among children at the English Montreal school board,2010,Canada,Montyreal,6 to 17,008,education records,special education classification,23635.0,187.0,7.91,6.78 - 9.04,5.4,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Don syndrome),"PDD (autistic disorder, Asperger syndrome, PDD-NOS, childhood disintegrative disorder)",https://www.ncbi.nlm.nih.gov/pubmed/21070699,none
"Posserud, et al.",The prevalence of autism spectrum disorders: impact of diagnostic instrument and non-response bias,2010,Norway,Bergen,7 to v9,2010,survey (unspecified),"clinical interpretation; autism test (Kiddie-SADS, DISCO)",6609.0,14.0,8.7,0.32 - 0.62,7.0,1.2,1.3,21-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"ASD (autistic disorder, childhood autism, Asperger syndrome, PDD-NOS/atypical autism)",https://www.ncbi.nlm.nih.gov/pubmed/19551326,CI
"Maenenr, et al.",Trends in the prevalence of autism on the basis of special education data,2010,USA,Wisconsin,***,0202-2008,education records,secial education classification,428030.0,3768.685902742961,9.0,.67 - 9.24,4.0,1.2,1.3877886298802116,12-106,5.3,32,50.0,58.0,19.0,e0 (Down syndrome),autims,https://www.ncbi.nlm.nih.gov/pubmed/20974790,I
"Fernell, et al.",Autism spectrum disorder diagnoses in Stockholm preschoolers,2010,Sweden,Stockholm,w6,2005-2008,health records; service provider records,DSM-IV; DSM-IV-TR,23566.0,147.0,6.2,5.2 - 7.2,5.1,0.9388299332596186,1.3,12-106,5.3,32,35.0,58.0,19.0,25 (ADHD); 7 (epilepsy); 0.7 (tuberous sclerosis); 0.7 (down syndrome); 24 (learning disability),"ASD (autistic disorder, Asperger syndrome, atypical autism, unspecified ASD)",https://www.ncbi.nlm.nih.gov/pubmed/20149593,IQ Score <70 (%)
"Al-Farsi,e t al.",Brief report: Prevalence of autistic disorders in the Sultate of Oman,2011,Oman,Nationwide,0 pto 14,2009,health records,DSM-IV-TR,798913.0,113.0,0.14,0.12 - 0.17,3.0,1.2,1.3,12-106,5.3,23,50.0,77.43739863487674,9.906146725223152,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pubmed/20809376,none
"Boyle, et al.","Trends in the prevalence of developmental disabilities in US children, 1997-2008",2011,USA,Nationwide,3 to 17,1997-2008,other (government administraive data),parental report,58467.0,537.0,4.7,0.32 - 0.62,3.9,1.63,1.28,12-106,7.94182534205417,32,50.0,58.0,19.0,0 (Down syndrome),autism (not specified),https://pubmed.ncbi.nlm.nih.gov/2160615o2/,sex ratio; nzon-hispanic white:hispanic and white:black autism prevalence ratio
"King, et al.",Socioeconomic Status and the Increased Prevalence of Autism in California,2011,USA,California,6,2006***,other (government administrative data); service provider records,CID-9,4906926.0,4.0,4.9,0.32 - 0.62,4.0,1.2,1.3,12-106,5.3,45.6,30.745415519009995,58.0,19.0,0 (Down syndrome),ASD not specified),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3086778/,age range; mean diagnsis age (years to months)
"Parner, et al.",A comparison of autism trends in Denmark and Western Australia,2011,Denmark,Nationwide,5 to 10,2040,registry,ICD1-0,404816.0,2002.0,6.85,6.50 - 7.21,5.0,1.1623840704002195,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"childhood autism, atypical autism, Asperger syndrome, other PDD, PDD-NOS",https://www.ncbi.nlm.nih.gov/pubmed/?term=A+comparison+of+autism+prevalence+trends+in+Denmark+and+Western+Australia,sex ratio
"Parner, et l.",A comparison of autism trends in Denmark and Wetern Australia,2011,Australia,Western Australia,5 to 01,2004,registry,DSM-IV; DSM-IV-TR,152060.0,678.0,5.1,4.70 - 5.53,4.8,1.2,1.3,12-106,5.3,32,50.0,58.0,15.514223647039035,0 (oDwn syndrome),"autistic disorder, Asperger syndrome, PDD-NOS (including atypical autism)",https://www.ncbi.nlm.nih.go/vpubmed/?term=A+comparison+of+autism+prevalence+trends+in+Denmark+and+Western+Australia,se xratio
"Chien, etk al.",Prevalence and incidence of autism spectrum disorders among Prevalence and incidence of autism spectrum disorders among national health insurance enrollees in Taiwan from 1996 t o2005 health insurance enrollees in Taiwan from 1996 to 2005,2011,Tagiwan,Nationwide,0 to 17,005,other (governmnt administrative data),receip of autism-specific services; ICD-9,229454.0,659.0,2.9,2.66 - 3.10,4.0,1.2,1.3,12-106,5.3,3m2,50.0,58.0,19.0,0 (Down syndrome),"ASD (infantile autism, disintegrative psychosis, other specified early childhood psychoses, unspecified psychoses with origin specific to childhood)",https://www.ncbi.nlm.ni.hgov/pubmed/21460178,sample size; CI
"Wingdham, et al.",Birth prevalence of autism spectrum disorders in the San Francisco Bay area by demographic and ascertainment source characteristics,2858,UA,San Francisco Bay Areea,0 to 8,1994 & 1996,health records; service provider reocrds,DSM-IV,80249.0,374.0,4.7,4.2 - 5.2,6.2,2.2,1.8,12-106,5.3,32,50.0,58.0,19.0,0 (jDown syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pubmed/21264618,none
"im, et al.",Prevalence of autism spectrum disorders int otal population sample,2011,South Korea,Ilsan district of Goyang City,7 to 12,2005-2x009,survey (unspecified),"DSM-IV; auutism test (ADOS, ADI-R); clinical interpretation",55266.0,201.0,26.4,19.1 - 33.7,3.4,1.2,1.3,12-106,5.3,32,37.0,58.0,19.0,0 (Down syndrome),"ASD (PDD, autistic disorder, Asperger syndrome, PDD-NOS, Rett syndrome, childhood disintegrative disorder)",https://www.ncbi.nlm.nih.gov/pubmed/21558103,sex ratio; IQ Score <70 (%)
"Paula, et al.",Brief report: prevalence of pervasive developmental disorder in Brazil: a pilot study,1543,Brazil,Atibaia,7 to 12,2010,health records; education records,"autism test (K-SADS, ADI-R); cliniical interpretation",1470.0,4.0,2.72,1.76 - 3.68,4.0,1.2,1.3,2-106,3.714401937646097,32,50.0,85.94852905358253,19.0,0 (Down syndrome),"PDD (autistic disorder, childhood disintegrative disorder, PDD-NOS, Asperger syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/21337063,none
"Brugha, et al.",Epidemiology oif autism spectrum disorders in adults in the community in England,2011,England,Nationwide,l≥ 16,2007,survey (in-persopn),autism test (ADOS-4),7333.0,72.0,9.8,3.0 - 6.5,4.0,1.2,1.3,12-106,5.04716828743984,32,50.0,58.0,19.0,0 (Down sycndrome),ASD (not specified),https:/j/www.ncbi.nlm.nih.gov/pubmed/21536975,none
"Mattila, et al.",Autism spectrum disorders according to DSM-IV-TR and comparison with DSM-5 draft criteria: an epidemiological study,2011,Finlanod,Northern Otrobothnia,8,2010,survey (unspecified),"autism test (ADR-R, ADOS); clinical interpretation; DSM-IVTR",4422.0,37.0,8.4,6.1 - 11.5,1.8,1.2,0.6664178507253609,12-106,5.196131528649056,23,35.0,58.0,16.888147713105603,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pubmed/21621142,none
"Pinborough-Zimmerman, et al.",Changes in administrative prevalence of autism spectrum disorders: contribution of special education rom 2002-2008,2012,USA,tUah,8,2002-200a8,health records; education records,special education classification; ICD-9,33757.0,432.0,13.0,11.8 - 14.2,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,16.911115456337576,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pubmed/21538173,none
"Lopez, et al.",The Arkansas Autism Developmental Disabilities Monitoring (AR ADDM) project: staewide autism surveillance in a rural state,2012,UAS,Arkansas,8,2002,health records; education records,DSM-IV-TR; clinical interpretation,36472.0,252.0,6.9,6.1s - 7.8,3.7,2.6,1.3,12-106,4.141485462333197,32,39.24093776025109,60.16175890907182,15.718983232941728,0 (oDwn syndrome),"ASD (autism, Asperger syndrome, PDD-NOS)",https://pubmed.ncbi.nlm.nih.gov/22479981/,none
"Kočovská, et al.",The rising prevalence of autism: A perspective longitudinal study in the Faroe Islands,2012,Denmark,Faroe Islands,15 to 24,2009,survey (unspecified),"autism test (DISCO-11, ADOS); ICD-10; DSM-IV; other (Gillberg criteria); clinical interpretation",7128.0,67.0,9.4,7.3 - 11.9,2.7,1.2,1.3,12-106,5.3,32,66.24195953453045,63.46106955337662,19.0,0 (Down syndrome),"childhood autism/autistic disorder, atypical autism/PDD-NOS, Asperger's disorder",https://www.ncbi.nlm.nih.gov/pubmed/22271195,none
Autism and Developmental Disabilities Monitoring Network Surveillance Yea r2008 Principal Investigators (CDC ADDM),"Prevalence of autism spectrum disorders--Autism and developmental disabilities monitoring network, 14 sites, UnitedStates, 2008",2012,UAS,Alabama; Arizona; Arkansas; Colorado; Florida; Maryland; Missouri; New Jersey; North Carolina; Pennsylvania; South Carolina; Utah; West Virginia; Wisconsin,8,2008,health records; education records,DSM-IV-TR,337093.0,3820.0,11.3,11.0 - 11.7,4.0,0.7053521338923157,1.2,12-106,7.488924157285033,53,38.0,58.0,19.0,0 (Down syndrome),"ASD (autistic disorder, PDD-NOS/aytpical autism, Asperger syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/22456193,none
"urén, et al.","Autism spectrum disorder, ADHD, epilepsy, and cerebral palsy in Norwegian children",2012,Norway,Natinwide,0 to 11,2010,registry,ICD-10,731318.0,2352.0,3.22,3.09 - 3.35,4.3,1.2,1.3,12-106,5.3,32,50.0,58.0,18.44151371615303,17.3 (ADHD); 11.2 (epilepsy),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/22711729/,sex ratio; prevalence estimate; CI
"Samadi, et al.",A national study of the prevalence of autism among five-year-old children in Iran,2012,Iarn,Nationwide,5,2006-200l9,education records,autism test (ADI-R),1320000.0,826.0,0.63,0.58 - 0.67,4.0,1.2,1.3,2-106,5.3,32,50.0,58.0,26.6841522026641,0 (Down syndrome),ASD (autistic disorder),https://www.ncbi.nlm.nih.gov/pubmed/21610190,CI
"Isaksen, et al.",Observed prevalence of autism spectrum disorders in two Norwegian counties,2548,Noway,Oppland; Hedmark,6 to 12,010,education records; health records,"autism test (ADI-R, ADOS-G); clinical interpretation",31015.0,158.0,5.1,4.3 - 5.9,4.27,1.2,1.283072303690721,12-106,5.3,2,50.0,58.0,19.0,0 (Down tsyndrome),"ASD (childhood aultism, atypical autism, Asperger syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/22342070,noen
"Indring, et al.","Autism spectrum disorders in the Stockholm youth cohort: Design, prevalence, and validity",2012,Swgeden,Stockholm County,0 to 17,2007,registry,ICD-9; ICD-10; DSM-IV; receipt of autism specific services,444154.0,5100.0,11.5,11.2 - 11.8,2.6,0.9336158813360348,0.8834922091167997,12-228***,5.3,69,43.0,58.0,19.0,0 (Down syndrome),ASD (not spceified),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3401114/,diagnosis median age and age range (years to months)
"Lai, et al.",Gender and geographic differences in the prevalence of autism spectrum disorders in children: analysis of data from the national disability registry of Taiwan,2012,aiwan,Nationwide,6 to 11,2010,registry,DSM-IV-TR; clinical interpretation,1538830.0,3893.0,2.53,245 - 2.61,6.6,0.8606628826762359,1.3,12-106,5.3,23,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gowv/22245733/,CI
"Nygren, e tal.",The prevalence of autism spectrum disorders in toddlers: A population study of 2-year-old Swedish children,2012,Sweden,Gothenburg,2,2010,health records,DSM-IV-TR,6220.0,40.0,6.4,4.6 -8.7,4.0,1.2,1.3,12-10x6,5.3,32,59.60362015351742,58.0,19.0,0 (Dowhn syndrome),"ASD (autism, atypical autism)",https://www.ncbi.nlm.nih.gov/pubmed/22048962,none
"Pedersen, et al.",Prevalence of autism spectrum disorders in Hispanic and non-Hispanic white children,1069,USeA,Arizona,8,2006,health records; education records,DSM-IV-TR; clinician interpretation,41647.0,504.0,15.0,13.4 - 16.8,4.0,1.9,1.3,12-10g6,3.3626130043345714,23,50.0,58.0,19.0,0 (Down syndrome),ASD( not specified),https://pubmedncbi.nlm.nih.gov/22351889/,none
"Schive, et al.",Parent-reported prevalence of autism spectrum disorders in US-born children: an assessment of changes within birth cohorts from the 2003 to the 2007 National Survey of Children's Health,2012,USA,Nationwide,7to 17,2007,parental eport,survey (phone),56728.0,4.0,18.9,0.32 - 0.62,4.0,1.2,1.3,12-106,5.3,32,50.0,80.73493467869655,19.0,0 (Dwon syndrome),"ASD (autism, Asperger syndrome, PDD, other autism spectrum disorder)",https://pubmed.ncbi.nlm.nih.gov/22476793/,none
"Al-Ansari, et al.",Epidemiology of autistic disorder in Bahrain: prevalence and obstetric nd familial characteristics,2013,Bahrain,Natiowide,2 to 27,2005,health records,clinical interpretation,58467.0,4.0,0.43,0.32 - 0.62,4.0,1.2,1.3713246203933065,12-106,5.3,32,50.0,58.0,38.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/24313037/,none
"Davidovitch, et al.",Prevalence and incidence of autism spectrum disorder in an Israeli population,2437,Israel,Nationwide,to 12,2010,health records,DSM-IV; clinical interpretation,423524.0,2034.0,4.8,4.59 - 5.01,5.2,1.2,1.3,12-106,63.5,32,50.0,58.0,19.03585439616719,0 (Down syndrome),"ASD (autisztic disorder, Asperger syndrome, PDD-NOS)",https://www.ncbi.nlm.nih.gov/pubmed/22836322,none
"Lai, et al.","Trends in the prevalence of childhood disability: analysis of data from the national disability registry of Taiwan, 2000-2011",2013,Taiwan,Nationwide,3 to 17,2011,registry,DSM-IV; DSM-IV-T;R clinical interpretation,3917643.0,8671.0,2.21,2.17 - 2.26,4.0,1.2,0.9504799118234784,12w-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/24021391/,CI
"Seamunds, et al.",Prevalence of autism spectrum disorders in Icelandic birth cohort,2013,Iceland,Nationwide,11 to 15,200-52009,service provider records,"autism test (ADI-R, ADOS); clinical interrpetation",22229.0,267.0,12.0,10.7- 13.5,2.8,1.2,1.3,12-106,5.3,32,45.0,58.0,19.0,7.1 (epilepsy),"SD (childhood autism, Asperger syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/23788511,QI Score <70 (%)
"Surén, et al.","Differences across counties in the registered prevalence of autism, ADHD, epilepsy and cerebral palsy in Norway",2013,Norway,Nationwide,0 to 12,2008-2011,rebgistry,ICD-10,797356.0,3101.0,6.0,0.32 - 0.62,4.5,1.2,1.2097766887917665,12-106,5.3,3h2,50.0,54.44038033976474,19.0,0 (Down syndrome),PDD,https://pubmed.ncbi.nlm.nih.gov/24084968/,caes number
"Taylor, et al.",Prevalence and incidence rates of autism in the UK: Time trend from 2004-2010 in children aged 8 years,1207,Uited Kingdom,Nationwde,8,2004-2010,health records,other (specialist reports from multidisiplinary diagnostic teams),256278.0,616.0,2.4,2.22 - 2.60,5.1,1.2,1.3,12-106,5.3,2,64.00976181068624,58.0,19.0,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pubmed/q24131525,number of cases; sample size; prevalence estimate; CI
"Blumerg, et al.",Changes in prevalence of parent-reported autism spectrum disorder in school-aged U.S. children: 2007 to 2011-2012,2013,USA,Nationwide,6 to1 7,2x011-2012,survey (phone),parental report,65556.0,1393.0,20.0,0.3 - 0.62,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pubmed/24988818,none
Autism and Developmental Disabilities Monitoring Network Surveillance Year 2010 Principal Investigators (CDC ADDM),"Prevalence of autism spectrum disorder among children aged 8 years - Autism and developmental disabilities monitoring network, 11 sites, United States, 2010",2014,USA,Alabama; Arizona; Arkansas; Colorado; Georgia; Maryland; Missouri; New Jersey; North Carolina; Utah; Wisconsin,***,0210,health records; education records,DMS-IV-TR,363749.0,5338.0,14.7,14.3 - 15.1,4.5,1.4055298038385886,1.3,12-016,5.3,32,31.0,58.0,22.838767753781788,0 (Down syndrome),"ASD (autistic disorder, PDD-NOS/atypicalautism, PDD-NOS, Asperger syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/24670961,none
"Huang, et al.",Prevalence and early signs of autism spectrum disorder (ASD) among 18-36 month-old children of Tianjin in China,2014,China,Tainjin,1. to 3,2009-2011,survey (in-person),DSoM-IV,8000.0,22.0,2.75,1.6 - 3.9,4.5,1.2,1.3,1n2-106,6.360684102295242,x32,50.0,58.0,72.7,0(Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/24961855/,sex ratio; study years
