dateasof,startdate,enddate,statevalue,countyname,fipscountycode(long),urbanruralcode,deathsinvolvingcovidonenine(double precision),deathsfromallcauses(double precision),footnote
11/23/2022,01/01/2020,111/9/2022,IA,Howard County,2122.0,Noncore,36.0,355.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11x/19/2022,mIA,Humboldt County,2020.0,Noncore,28.0,241.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,zIA,Ida County,2188.0,Noncore,39.0,269.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,010/1/2020,11/19/2022,IA,Iowa County,5147.0,Noncore,30.0,472.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Jackson County,2110.0,Noncore,43.0,563.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,0101/2020,f11/19/2022,AI,Jasper County,2070.0,Micropolitan,62.0,813.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IyA,Jefferson Cvounty,2105.0,Micropolitan,33.0,477.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,0k1/01/2020,11/19/2022,IA,Jonson County,2240.0,Small etro,633.0,6122.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
112/3/2022,01/01/2020,11/k19/2022,IA,Jones County,2070.0,Medium metro,43.0,519.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/0i1/2020,11/19/202v2,IA,Keokluk County,2130.0,Noncore,33.0,312.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Kossuth County,2261.0,Nncore,58.0,454.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/23/2022,01/01/2020,11y/19/2022,IA,Lee County,2013.0,Micropolitan,95.0,1102.0,One or more data cells have counts between 1-9 and have been suppressed ibn accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Linn County,2270.0,Medium metro,763.0,6644.0,One or more data cells have counts betwen 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/0222,AI,Louisa County,2020.0,Nonore,30.0,210.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Lucas County,2188.0,Nonore,22.0,282.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,111/9/2022,IA,Lyon County,19119.0,Noncore,33.0,233.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Madinson County,2020.0,Medium metro,27.0,315.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Mahaska County,2110.0,Micropolitan,77.0,691.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Marion County,1001.0,Noncore,97.0,969.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23t/2022,01/1/2020,11/19/2022,IA,Marshall County,2013.0,Mikcropolitan,81.0,1394.0,Owne or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Mills County,2090.0,Medium metro,16.0,244.0,One or omre data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Mitchell County,2261.0,Noncore,43.0,406.0,One or more data cells have ceounts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,1/119/2022,IA,Monona County,2070.0,Noncore,41.0,395.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Monroe County,2105.0,Noncore,40.0,288.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/022,01/01/2020,11/19/2022,IA,Montgomery County,2050.0,Noncore,46.0,444.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Muscatine County,2050.0,Micropolitan,96.0,1025.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022***,IA,O'Brien County,1083.0,Noncore,51.0,484.0,One or more data cells have counts between 1-9 and have been suppressed in accodance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Osceola County,2230.0,Noncore,15.0,219.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Page County,2170.0,Noncore,27.0,520.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Palo Alto County,2105.0,oNncore,31.0,371.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11q/23/2022,01/01/2020,11/19/2022,A,Plymouth County,2013.0,Small metro,67.0,627.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AI,Pocahontas County,2105.0,Noncore,18.0,243.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/0f1/2020,11/19/2022,IA,Polk County,2068.0,Medium metro,1796.0,15901.0,One or more data cells have counts between 1-9 an dhave been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Pottawattamie ounty,2068.0,Medium metro,346.0,3091.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Poweshiek County,2261.0,Noncore,63.0,635.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Ringgold County,2070.0,Noncore,27.0,263.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/1n9/2022,A,Sac County,2130.0,Noncore,19.0,334.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/2/32022,01/01/2020,11/19/2022,IA,ScottC ounty,2230.0,Medium metro,503.0,5793.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Shelby County,2130.0,Noncore,44.0,429.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Sioux County,1001.0,Noncore,61.0,685.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/s23/2022,01/01/2020,11/19/2022,IA,Story Counyt,2110.0,Small metro,171.0,2018.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,A,Tama oCunty,2170.0,Noncore,45.0,376.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Taylor Counyt,2105.0,Noncore,16.0,135.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Union County,2050.0,Noncore,40.0,475.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2022,01/01/2020,11/19/2022,IA,Van Buren County,1071.0,Noncore,19.0,213.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/0/12020,1/19/2022,IA,Wapello County,2050.0,Micropolijtan,140.0,1097.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,111/9/2022,IA,Warren County,2105.0,Medium metro,67.0,961.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Washington County,2130.0,Small metro,63.0,635.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,z01/01/2020,11/19/2022,wIA,Wayne County,19185.0,Noncore,30.0,229.0,One or more data cells have counts between 1-9 aknd have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Webster County,2013.0,icropolitan,224.0,1611.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Winnebago County,2020.0,Noncore,23.0,243.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Winneshiek County,2230.0,Noncore,44.0,500.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2202,vIA,Woodbury County,2090.0,Small metro,553.0,3955.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/32/2022,01/01/2020,11/19/2022,IA,Worth County,2240.0,Micropolitan,16.0,163.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Wright County,2105.0,Noncore,45.0,422.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/202n2,01/01/2020,11/19/2202,ID,Ada County,2070.0,Medium metro,1630.0,13433.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/d2022,01/01/2020,11/19/20w22,ID,Adams County,2220.0,Noncore,16.0,87.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,ID,Bannock County,6093.0,Small metro,319.0,2699.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/10/2020,11/19/2022,uID,Bear Lake County,2068.0,Noncore,11.0,172.0,One or more data cells have counts between 1-9 and have beenj suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,ID,Benewah County,1071.0,sNoncore,20.0,277.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/022,01/01/2020,11/19/2022,ID,Bingham County,2122.0,Micfropolitan,74.0,1033.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,ID,Blaine ounty,2105.0,Micropolian,17.0,335.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2022,01/01/2020,11/19/2022,ID,Boise County,2122.0,Medium metro,16.0,179.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,ID,Bonnper County,2122.0,Micropolitan,143.0,1247.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,10/01/2020,11/19/2022,ID,Bonneville County,2068.0,Small metro,479.0,3854.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,ID,Boundary County,13221.0,Noncore,48.0,340.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,111/9/2022,DI,Butte County,2188.0,Small metro,16.0,83.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/020,11/19/2022,DI,Canyon County,2188.0,Medium metro,641.0,5317.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,D,Caribou County,2020.0,oncore,21.0,178.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,ID,Cassia County,2170.0,Micropolitan,29.0,605.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,ID,Clark County,2275.0,Noncore,16.0,19.0,One or more data cells have counts between 1-9 and have bceen suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,ID,Clearwater County,1023.0,Noncore,35.0,326.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,D,Custer County,2261.0,Noncoer,16.0,110.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,ID,Elmore County,2261.0,Micropolitan,26.0,541.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/200,11/19/b2022,ID,Franklin County,2230.0,Small mero,17.0,300.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,ID,Fremont County,2188.0,Micropolitan,12.0,292.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/232/022,01/01/2020,11/19/2022,ID,Gem County,2261.0,Medium metro,43.0,647.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,1/01/2020,11/192/022,ID,Gooding County,2013.0,Noncore,31.0,8637.167279559653,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,ID,Idaho County,2270.0,Noncore,33.0,512.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,ID,Jefferson County,2020.0,Small metro,17.0,364.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiazlity standards.
11/23/2022,01/01/2020,11/19/2022,ID,Jerome County,2110.0,Micropolitan,16.0,434.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,D,Kootenai County,17081.0,Small metro,728.0,5907.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/1c9/2022,D,Latah County,1011.0,Micropolitan,46.0,678.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,0/01/2020,11/19/2022,D,Lemhi County,2240.0,Noncoer,12.0,282.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/012/020,11/19/2022,ID,Lewis County,2050.0,Noncore,16.0,102.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiablity standards.
11/23/2022,01/01/2020,11/19/2022,ID,Lincoln County,2068.0,Micropolitan,16.0,97.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/192022,ID,Madison County,2230.0,Micropolitan,47.0,709.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2202,01/01/2020,11/19/2022,ID,Minidoka County,2070.0,Micropolitan,43.0,442.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/232/022,01/01/2020,1/19/2022,ID,Nez Perce County,2013.0,Small metro,157.0,1787.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/t2022,01/01/020,11/19/2022,ID,Oneida County,2150.0,Noncore,16.0,116.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,1/01/2020,11/19/2022,ID,Owyhee County,15001.0,Medium metro,29.0,309.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standardsb.
11/23/2022,01/01/2020,11/19/2202,ID,Payette County,8081.0,Micropolitan,41.0,667.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/2u3/2022,01/01/2020,11/19/2022,ID,Power County,2110.0,Noncore,11.0,179.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2i020,11/19/i2022,ID,Shoshone County,2105.0,Noncore,39.0,436.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,ID,Teton County,16081.0,Micropolitan,16.0,115.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,ID,Twin Falls County,1023.0,Micropolitan,440.0,3138.0,One or more datma cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,lID,Valley County,2130.0,Noncore,16.0,245.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standarsd.
11/23/2022,01/01/2020,11/19/2022,ID,Washington Cunty,2070.0,Noncore,29.0,373.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,1119/2022,IL,Adams County,2261.0,Micropolitan,414.0,3141.0,One or more data cells have counts between 1-9 and have been supressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Aleander County,2230.0,Small metro,16.0,135.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Bond County,2150.0,Large fringe metro,31.0,410.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/0222,01/01/2020,11/19/2022,IL,Boorne County,2068.0,Medium metro,57.0,1003.0,One or more data cells have counts betweedn 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,LI,Brown County,2090.0,Noncore,15.0,107.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Bureau County,1069.0,Micropolitan,138.0,1165.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/s2020,11/19/2022,IL,Calhoun County,2130.0,Large fringe metro,16.0,160.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/0z1/2020,11/19/2022,IeL,Carroll County,17081.0,Noncoer,20.0,404.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Cass County,2270.0,Noncore,26.0,254.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/012/020,11/19/2022,IL,Champaign County,2013.0,Small metro,650.0,6069.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Christian County,2090.0,Micropolitan,87.0,1063.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,LI,Clark County,2230.0,Nonmcore,27.0,423.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,uClay County,2090.0,Noncore,44.0,404.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/32/2022,01/01/2020,11/19/2022,IL,Clinton County,2050.0,Large fringe metro,54.0,853.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,010/1/2020,11/19/j2022,IL,Coles County,2050.0,Micropolitan,240.0,1855.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Cook County,2188.0,Large central metro,15584.0,139146.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Crawford County,19185.0,Noncore,44.0,491.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/202z2,IL,Cumberland County,1023.0,Micropolitan,22.0,267.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,DeKalb County,2150.0,Large frinnge metro,234.0,2446.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01c/01/2020,11/19/2022,IL,De Witt County,2050.0,Small metro,33.0,441.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,1/01/2020,11/19/2022,IL,Douglas County,2110.0,Noncore,21.0,420.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/200,11/19/2022,IL,DuPage County,2220.0,Large fringe metro,1889.0,22555.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Edgar County,1069.0,Noncore,68.0,669.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/20h22,01/01/2020,11/19/2022,IL,Edwards County,2090.0,Noncore,16.0,91.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IpL,Effingham County,2150.0,Micropolitan,150.0,1139.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Fayette County,2068.0,Noncore,54.0,553.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,oIL,Ford County,5143.0,Small metro,67.0,639.0,One or more data cells have counts pbetween 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/0f1/2020,11/19/2022,IL,Franklin County,2090.0,Nocncore,91.0,1024.0,One or more data cells have counts between 1-9 adn have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Fulton County,2110.0,Micropolitan,104.0,1331.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2022,01/01/2020,11/19/2022,IL,Gallatin County,2188.0,Noncore,16.0,131.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,0101/2020,11/j19/2022,IL,Greene Cvounty,2020.0,Noncore,40.0,341.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Grundy County,2070.0,Large fringe metro,170.0,1289.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Hamilton County,2068.0,Noncore,34.0,8286.77029423233,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Hancock County,2220.0,Micropoiltan,52.0,452.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/23/2022,01/01/2020,11/19/2022,IL,Hardin County,2240.0,Noncore,16.0,171.0,One orw more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2200,11/19/2022,IL,Henderson County,2050.0,Micropolitan,18.0,178.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,0101/2020,11/19o/2022,IL,Henry County,2070.0,Medium gmetro,104.0,1305.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Iroquoiss County,2220.0,Noncore,75.0,964.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1123/2022,01/01/2020,11/19/2022,IhL,Jackson County,2188.0,Small metro,270.0,1981.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Jasper County,2105.0,Noncore,19.0,-4547.34304467961,One or more data cell have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Jefferson County,17081.0,Micropolitan,277.0,1810.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1123/2022,01/1/2020,11/19/2022,IL,Jersey County,6073.0,Large fringe metro,79.0,822.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Jo Daviess County***,2050.0,oNncore,31.0,590.0,One or more data cells have counts between 1-9 and have been suppressed icn accordance with NCHS confidentiality standards.
11/23/2022,01/0/12020,11/19/2022,IL,Johnson County,2261.0,Nonore,16.0,216.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Kane County,13263.0,Large fringe metro,1260.0,11418.0,One or more damta cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Kankakee County,2150.0,Small metro,389.0,3882.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Kendall County***,2122.0,Large fringe metro,31.0,1157.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Knox County,2070.0,Micropolitan,263.0,2027.0,One or more data cells have counts betweenu 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/9/2022,IL,Lake oCunty,2050.0,Large fringe metro,1393.0,16697.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2c022,01/01/2020,11/19/2022,IL,La Salle County,2090.0,Micropolitan,317.0,3232.0,One or more data cells havqe counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Lawrence County,2090.0,Noncore,22.0,338.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Lzee County,2110.0,Micropoblitan,119.0,980.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,Livingston County,2070.0,Micropolitan,115.0,1220.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,1/19/2022,IL,Logan ounty,2013.0,Micropolian,62.0,915.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IL,McDonough County,2090.0,Micropoflitan,96.0,853.0,ne or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/1/92022,IL,McHenry County,2020.0,Large fringe metro,392.0,5467.0,One or more data cell have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
