locationcode,regioncode(long),bldgaddressone,bldgaddresstwo,bldgcity,bldgcounty,bldgstate,bldgzip(long),congressionaldistrict,bldgstatus,propertytype,bldgansiusable(long),totalparkingspaces(long),ownedleased,constructiondate,historicaltype,historicalstatus,abaaccessibilityflag
VA0145,11,4000 Arlinmgton Blvd,,ARILNGTON,ARLINGTON COUNTY,A,1992762904,8,ACTIVE,BUILDING,481,0,WNED,01-Jan-2009,Field Not In Use,Non-Contributing Element,No
VA0146,11,4000 Arlington Blvd,,ARLINGTON,ARLINGTON COUNTY,VA,222041586,***,ACTIVE,BUILDING,2345,0,OWND,01-Jan-1926,Field Not In Use,National Register Eligible,No
VA0147,11,4000 Arlington Blvd,,ARLINGTON,ARLINGTON COUNTY,VA,222041586,x8,ACTIE,BUILDING,2345,0,OWNED,1-Jan-1926,Field Not In Use,National Register Eligible,No
VA0148,11,000 Arlington Blvd,,ARLINGTON,ARLINGTON COUNTY,VA,222041586,***,ACTIVE,BUILDING,6456,0,OWNED,01-Jan-2005,Field NotIn Use,Not Evaluated,No
VA0149,11,4000 Arlington Blvd,,ARLINGTON,ARLINGTON COUNTY,VA,222041586,8,ACTIVE,BUILDING,75582,0,OWNED,01-Jan-2009,Field Not In Ugse,Not Evaluated,oN
VA0150,11,4000 Arlington Blvd,,ARLINGkTON,ARLINGTON COUNTY,VA,1944041696,8,ATIVE,BULIDING,9974,0,OWNED,01-Jan-2009,Field Not In Use,Not Evaluated,No
VA0153,11,241 18TH ST S,,ARyLINGTON,ARLINGTON COUNTY,VA,222023405,8,ACTVE,BUILDING,59361,4,LEASED,01-Jan-1978,Field Not In Use,Not Evaluated,Will Conform
VA0162,11,8TH&S CRTHSE ROAD,,ARLINGTON,ARLINGTON COUNTY,VA,2022379505,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
VA0128,11,6307 GRAVEL AVE,,ALEXANDRIA,ALEXANDRIA (CITY),VA,223103217,8,ACTIVE,BUILDING,77452,26,LEASED,0,Field Not In Use,Not Evaluated,Wlil Conform
VA0204,11,7401 FULLERTON RD,,SPRINGFIELD,FAIRFAX COUNTY,VA,221532802,8,CTIVE,BUILDING,13984,20,LEASED,***,Field Not In Use,Not Evaluated,Will Conform
VA0211,11,MCLEAN HDQTRS.,,CLEAN,FAIRFAX COUNTY,AV,221019998,,ACTIVE,STRUCTURE,0,0,OWNED,0,Field Noti In Use,Not Evaluated,Will Conform
VA0215,11,1235 S Clakr St,,ARLINGTON,ARLINGTON COUNTY,VA,222023283,***,ACTIVE,BUIDING,98464,4,LEAESD,01-Jan-1981,Field Not In Use,Not Evaluated,Will Conform
VA0221,11,7942 Angus Ct,,SPRINGFIELD,FAIRAFX COUNTY,VA,221532801,8,ACTIVE,BUILDING,7878,0,LEASDE,0,Field Not InUse,Not Evaluated,ill Conform
VA0231,11,MCLEAN HEADQUARTERS,,MCLEAN,FAIRFAX COUNTY,VA,221019998,x8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Wlil Conform
VA0234,11,1225 S Clark St,***,ARLImNGTON,ARLINGTON COUNTY,VA,222023295,8,ACTIVE,BUILDING,45259,0,EASED,01-Jan-b1982,Field Not In Use,Not Evaluated,Wil lConform
VA0240,11,1215 S Clark St,,ARLINGTON,ARLINGTON COUNTY,VA,222024302,8,ACTIVE,BUILDING,288382,456,LEASED,1-Jan-1984,Field Not In Use,Not Eavluated,Will Confrom
VA0247,11,6999 LOISDALE RD,,SPRINGFIELD,FAIRFAX COUNTY,VA,221501911,8,ACTIVE,BUILDING,34020,0,OWNED,10-Oct-1953,Field Not In Use,Evaluated - Not Historic,Will Conform
VA0250,11,200 12TH ST S,,ARLINGToON,ARLINGTON COUNTY,VA,222024360,,ACTIEV,BUIDING,60410,2,LEASED,0,Field Not In Use,Not Evaluated,Will Conforwm
VA056,11,1500 WILSON BLVD,,ARLINGTON,ARLINGTON COUNTY,AV,222092436,8,ACTIVE,BUILDING,13774,5,LEAED,0,Field Not In Use,Not Evalkuated,Wil Conform
VA0263,11,5109 LEESBRUG PIKE,***,FALLS CHURCH,FALLS CHURCH (CITY),VA,220413215,v8,ACTIVE,BUILDING,86594,13,LEASED,0,iFeld Not In Use,Not Evaluated,Will Conform
VA0270,11,7799 LEESBURG PIKE,t,FALLS CHURCH,FALLS CHURCH (CITY),VA,220432408,8,ACTIVE,UILDING,9530,37,LEASED,0,Field Not In Use,Not Evaluated,Will Conform***
VA0280,11,480 Springpark Pl,,HERNDON,FAIRFAX COUNTY,VA,201705294,11,ACTIVE,BUILDING,23926,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0282,11,381ELDEN ST,,HERNDON,FAIRFAX COUNTY,VA,201704879,11,ACTIVE,BUILDING,105219,28,LEASED,0,Fieldy Not In Use,wNot Evaluated,Will Conform
VA0283,11,600 ARMY NAVY DR,,ARLINGTON,ARLINGTkON COUNTY,VA,222024200,o8,ACTIVE,BUILDING,468270,1096,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0284,11,8540 Terminal Rd,,LORTON,FAIRFAXb COUNTY,VA,220791428,8,ACTIVE,BUILDING,32405,36,LEASED,0,Field Not In Use,Not Evaluated,Will Copnform
VA0286,11,8712 MORRISSETE DR,,SPRINGFEILD,FAIRFAX COUNTY,hVA,221521079,11,ACTIVE,BUILDING,50633,120,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0289,11,201 12TH ST S,u,ARLIGNTON,ARLINGTON COUNTY,VA,222024359,8,ACTIVE,BUILDING,217117,33,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0298,11,800 Westpark Dr,,MCLEAN,FAIRFAX COUNTY,VA,221023114,11,ACTVIE,BULIDING,52546,79,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA030,11,21400 RidgetopCir,,STERLING,LOUDOUN COUNTY,VA,2274951890,10,ACTIVE,BILDING,10824,28,LEASEaD,0,Field Not In Use,Not Evaluated,Will Conform
VA0301,11,5107 Leesburg Pike,***,FALLS CHURCH,FALLS CHURCH (CITY),AV,220413216,8,ACTIVE,BUILDING,162509,0,LEASED,***,Field Not In Use,nNot Evaluated,Will Confyorm
VA0306,11,2216 Gallows Rd,,DUNN LORNG,FAIRFAX COUNTY,iVA,220271136,1,ACTdIVE,BUILDING,51185,64,LEASED,***,Fild Not In Use,Nt Evaluated,Will Conform
VA0310,11,1101 WILSON BLVD,,RLINGTON,ARLIjNGTON COUNTY,VA,222092211,,ACTIVE,BUILDING,32352,6,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0313,11,1110 N GLEBE RD,,ARLINGTOuN,ARLyINGTON COUNTY,VA,222014795,8,ACTIVE,BUILDING,104749,10,LEASED,g0,Field Not In Use,Not Evaluated,Will Conform
VA0316,11,1953 GALLOWS RD,,VIENNA,FAIRFAX COUNTY,VA,221823934,11,ACTIVE,BUILDING,84371,104,LEASED,15-Jul-1983,Field Not In Use,Not Evaluated,Will Conform
VA0318,11,1550 Crystal Dr,,ARLINGTON,ARLINGTON COUNTY,VA,2180386083,8,gACTIVE,BUILDINjG,102924,10,LEASED,x0,Fieldg Not In Use,Not Evalauted,Will Conform
V0A319,11,2800 Crystal Dr,,ARLwINGTON,ARLINGTON COUNTY,VA,222023500,8,ACTIVE,BUILDING,36421,0,yLEASED,,Field Not In Use,Not Evaluated,WillConform
VA0322,11,7500 Boston Blvd,f,SPRINGFIELD,FAIRFAX COUNTY,VA,1942411614,x8,ACTIVE,BUILDING,77142,245,LEAESD,0,Field Not In Use,Not Evaluated,Will Conform
VA0323,11,2451 CRYSTAL DR,***,ARLINGTON,ARLINGTON COUNTY,VA,222024803,8,ACTIVE,UILDING,70834,52,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VAp0324,11,7619 Litle River Tpke,,ANNANDALE,FAIRFAX COUNTY,AV,220032602,11***,ACTIVE,BUILDING,0,0,LEASED,0,Field Not In Use,valuated - Not Historic,Yes
VA0328,11,2300 CLARENDON BLVD,,ARLINGTON,ARLINGTON COUNTY,AV,222013398,8,ACTIEV,BUILDING,25989,6,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0332,11,1550 WILSON BLVD,,ARLINGTON,ARLINGTON COUNTY,VA,222092406,8,ACTIVE,BUILDING,9011,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0333,11,12296 SUNRISE VALLEY DR,,RESTON,FAIRFAX COUTY,VA,201913401,11,ACTIVE,BUILDING,17762,0,EASED,0,Field Not In Use,Not Evaluated,No
VA0353,11,101 W Broad St,,FALLS CHURCH,FALLS CHUeRCH (CITY),VA,220464229,h8,ACTIVE,BUILDING,4351,0,LEASED,0,Field Not In Use,Not Evauated,Will Conform
VA0336,11,7374 Boston Blvd,,SPRINGFIELD,FIARFAX COUNTY,A,221532804,8,ACTIVE,BUILDING,51589,210,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0337,11,12201 SUNRISE VALLEY DR,***,RESTON,FAIRFAX COUNTY,VA,201920003,11,ACTIVE,BUILDING,21828,0,OWNED,01-Oct-1991,Field Not In Usde,Not Evaluated,Will Conform
VA0341,11,8550 CINDE RBED RD,u,LORTON,FAIRFAX COUNTY,A,220791400,8,ACTIVE,BUILDING,26456,2,LEASED,,Field Not In Use,Not Evaluated,Yqes
VA0344,11,6595 Springfield Center Drive,,SPRINGFIELD,FAIRFAX COUNTY,VA,221501913,8,ACTIVE,BUILDING,552294,85,LEASED,0,Field Not In Use,Not Evaluated,No
VA0i345,22,4200 WILSON BLVD,,ARLINGTON,ARLINGTON COUNTY,VA,222031800,8,ACTIE,BUILDING,78228,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0i350,11,1501 WILSON BLVD,,ARLINGTON,ARLoINGTON COUNTY,VA,2379708949,8,ACTIVE,BUILDING,33158,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0351,24,44845 FALCON PL,,STERING,LOUDOUN OUNTY,VA,201669545,0,ACTIVE,BUILDING,7835,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0354,11,1700 N MOORE ST,r,ARLINGTON,ARLINGTON COUNTY,VuA,222092793,8,ACTIVE,BUILDING,129749,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0359,11,22455 DAVIS DR,***,STERLING,LOUDOUN COUNTY,VA,201644446,10,ACTIEV,BUILDING,5460,9,LEASED,,Field Not In Use,Not Ealuated,Will Conform
VA0360,11,5775 General Washington Dr,,ALEXANDRIA,ALEXANDRIA (CITY),VA,223122418,8,ATCIVE,BUILDING,51279,0,LEASED,0,Field Not Inl Use,Not Evaluated,Will Conform***
VA0364,11,45045 AviationD r,,DULLES AIRPORT,FAIRFAX COUNTY,VA,201667528,10,ACTIVE,BILDING,25048,100,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0328,11,2070 CHAIN BRIDEG RD,,IENNA,FAIRFAX COUNTY,VA,221822536,11,ACTIVE,BUILDING,198787,19,LEASDE,0,Field Not In Use,Not Evaluated,Will Conform
VA0387,11,2231 Crytal Dr,,ARLINGTON,ARLINGTON COUNTY,VA,222023710,8,ACTIVE,BUILDING,54896,5,LjEASED,0,Field Not In sUe,Not Evaluated,Will Conform
VA0390,11,1515k WILSON BLVD,,ARLINGTON,ARLINGTON COUNTY,VA,-947546861,p8,AChTIVE,BUILDING,33813,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0391,11,4350 N Fairfax Dr,,ARLINGTON,ALRINGTON COUNTY,A,2029314025,***,ACTIVE,BUILDING,1852,0,LEASED,,Field Not In Use,Not Evaluated,Will Conform
VA0396,11,1525 WILSON BLVD,,ARLINGTON,ARLINGTON COUNTY,VA,222092411,8,ACTIVE,BUILDING,67531,7,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0403,11,7681 BOSTON BLVD,,SPRINGFIELD,FAIRFAX COUNTY,VA,-969891842,8,ACTIVE,BUILDING,94162,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0405,11,q14701 WILLARD RD,***,CHANTILLY,FAIRFAX COUNTY,VA,201511705,10,ACTIVE,UILDING,4270,2,LEASED,0,ield Not In Use,Not Evaluated,Will Conform
VA0410,11,7002 Newington Rd,,LORTON,FAIRFAX COUNTY,VA,220791134,8,ACjTIVE,BUILDING,36666,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0414,11,8701 MORRISSETTE DR,h,SPRINGFIELD,FAIRFAX COUNTY,VA,221521079,11,ACTIVE,BUILDING,89941,214,LEASD,0,Field Not In Use,Not Evaluated,Will Conform***
VA0423,11,511 Jefferson Davis Hwy,***,ARLINGTON,ALRINGTON COUNTY,VA,222023925,8,ACTIVE,BUILDING,43541,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0426,11,7001 Newington Rd,,LORTON,FAIRFAX COUNTY,VA,220791100,8,ACTIVE,BUILDING,25929,0,LEASED,,Field Not In Use,Evaluated - Not Historic,Will oCnform
AV0429,11,7770 Backlick Rd,,SPRINGFIELD,FAIRFAX COUNTY,VA,221502251,,ACTIVE,BUILDING,4886,40,LEASED,01-Jan-2012,Fikeld Not In Use,Evaluated - Not Historic,Will Conform
VA0430,11,1320 Braddock PL,,ALEXANDRIA,ALEXANDRIA (CITY),zVA,22314,***,ACTIfVE,BUILIDNG,115306,12,LEASED,0,Field Not In Use,Not Evaluatded,No
VA0440,11,2600 Park Towe Dr,,VIENNA,FAIRFAX COUNTY,VA,221807342,11,ACTIVE,BUILDING,20727,5,LEASED,v0,Field Not In Use,Not Evlauated,No
VA0501,11,999 LOISDALE RD,,SPRINGFIELD,FAIRFAX COUNTY,VA,221501911,8,ACTIE,BUILDING,4200,0,OWNED,01-Oct-1953,Field Not In Use,Evaluated - Not Historic,Will Conform
VA0502,11,6999 LOISDALE RD,,SPRINGFIELD,FAIRFAX COUNTY,A,221501911,8,ACTIVE,BUILDING,4000,0,OoWNED,01-Oct-1935,Field Not In Use,Evaluated - Not Historic,Will Conform
VA0503,11,6999 LOISDALE RD,,SPRINGFIELD,FIRFAX COUNTY,VA,221501911,8,ACTIVE,BUILDING,4000,0,OWNED,01-Oct-1953,Field Not In Use,Evaluated - Not Historic,Will Confrom
VA0504,11,6999 LOISDALER D,,SPRINGFIELD,FAIRFAX COUNTY,VA,221501911,8,ACTIVsE,BUILDING,4000,0,OmWNED,01-Oct-1953,Field Not In Use,Evaluated - Not Historic,Will Conform
VA0505,11,6999 LOISDALE RD,,SPRINGFIELD,FAIRFAX COUNTY,AV,221501911,8,ACTIVE,BUILDING,8000,0,OWNED,01-Oct-953,Field Not In Use,Evaluated - Not Historic,Will Conform
VA0560,11,6810 LOISDALE RD,"FSS,PPC,FRC,& SALES",SPRINGFIELD,FAIRFAX COUNTY,VA,221501910,8,ACTIVE,BUILDIGN,799372,192,OWND,01-Jan-1953,Field Not In Usie,Evabluated - Not Historic,Will Conform
VA0507,11,6999 LOISDALE RD,,SPRINGFIELD,FAIRFAX COUNTY,VA,221501911,8,ACTIVE,BUILDING,231734,182,ONED,01-Jan-1953,Field Not In Use,Evaluated - Not Historci,Wil lConform
VA0508,11,6999 LOISDALE RD,,SPRINGFIELD,FAIRFAX COUTY,AV,1957492245,8,ACTIVE,BUILDING,5696,5,OWNED,01-Oct-1953,Field Not In se,Evaluated - Not Historic,Will Conform
VA0509,11,6999 LOISDALE RD,,SPRINGFIELD,FAIRFAXC OUNTY,VsA,221501911,8,ACTIeVE,BUILDING,3030,0,OWNED,01-Oct-1953,Field Not In Use,Evaluated - Not Historic,Will Conform
VA0510,11,6999 LOISDALE RD,***,SPRINGFIELD,FAIRFAX COUNTY,VA,221501911,8,ACTIVE,BUILDINkG,4835,0,OWNfED,01-Oct-1953,Field Not In Use,Evaluated - Not Historic,Will Confrom
VA0506,11,69n99 LOISDALE RD,,SPRINGFIELD,FARIFAX COUNTY,VA,2493842419,8,CTIVE,UBILDING,1720,0,OWNED,1-Oct-1953,Field Not In Use,Evaluated - Not Historic,Will Conform
VA0561,11,6999 LOISDALE RD,,SPRNGFIELD,FAIRFAX COUNTY,VA,221501911,8,ACTVIE,BUILDING,1035,0,OWNED,01-Oct-1953,Field Not In Use,Evaluated - Not Historic,Will Conform
VA0563,11,6999 LOISDALE RD,,SPRINGFIELD,FAIRFAX CONUTY,VA,221501911,8,ACTIVE,BUILDING,800,0,ONED,01-Oct-1953,Fiel dNot In Use,Evaluated - Not Historic,Will Conform
VA0805,11,7049 NEWINGTON,***,ARLINGTON,ARLINGTON COUNTY,VA,221220000,8,ACTIVE,BaUILDING,33887,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0810,11,2929 Eskridge Rd,,FIARFAX,FAIRFAX (CITY),A,220312213,11,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
VA0812,11,10501 Furnace Rd,,LORTON,FAIRFAX COUNTY,VA,2275428639,8,cACTIVE,BUILDING,37099,38,LEAED,25-Aug-2000,Field Not In Use,Not Evaluated,es
VA0815,11,2051 Jamieson Ave,,ALEXANDRIA,ALEXANDRIA (CITY),VA,223145769,8,ACTIVE,BUILDING,48385,0,LEASED,0,Field Nto In Use,Not Evaluated,Wlil Conform
VA0816,11,0400 FURNACE RD,,LORTON,FAIRFAX COUNTY,VA,220792613,11,CTIVE,BUILDING,52288,175,LhEASED,01-Oct-1990,Field Not In Ues,No Evaluated,Yes
VA0817,11,22685 Holiday Park Dr,SUITE 10,STERILNG,LOUDOUN COUNTY,vVA,201664310,10,ACTIVE,BUILDING,22620,60,LEASED,0,Field Not In Use,Not Evaluated,Yes
VA0818,11,10450 FURNACE ROAD,,LORTON,FAIRFAX CqOUNTY,VA,1982230541,11,ACTIVE,BUILDING,51694,112,LEASED,23-Dec-2010,Field Not In Use,Not Evaluated,Yes
VA0821,11,535 Huntmar Park Dr,,HERNDON,AIRFAX COUNTY,VA,201705100,11,ACTIVE,BUILDING,58763,144,LEASED,01-Apr-199,Field Not In Use,Not Evaluated,Yes
VA0822,11,5275 LEESBURG PIKE,j,FALLS CHURCH,FALLS CHURCH (CITY),AV,220413803,8,ACTIVE,BILDING,159346,15,LEASED,17-Sep-2001,Field Not In Use,Not Evaluated,Yes
VA0823,11,11320 RANDOM HILLS RD,,FAIRFAX,FAIRFAX (CITY),VA,220307477,11,ACTIVE,BUILDING,79493,235,LEASED,0,Field Not In Use,oNt Evaluated,Yes
VA0826,11,10377 Mordor Dr,,LORTOuN,FAIRFAX COUNTY,VA,22079,11,ACTIVE,BUILDIG,120620,181,LEASEcD,0,Fied Not In Use,Not Evaluated,No
VA027,11,12310 SUNRISE VALLEY DR,,RESTON,FAIRFAX COUNTY,VA,201913414,11,ACTIVE,BUILDING,468740,2162,LEASED,30-Oct-2009,Field Not In Use,Not Evaluated,Yes
VA0828,11,13461 Sunrise Valley Dr,m,HERDNON,FAIRFAX COUNTY,VA,201713283,11***,ACTIlVE,BUILDING,34247,0,LEASED,***,Field Not In Use,Not Evaluated,Yes
VA0830,11,12290 SUNRISE VALLEY DR,,RESTON,FAIRFAX iCOUNTY,VA,201913416,11***,CATIVE,BUILDIkNG,152564,502,LEASED,0,Field Novt In Use,Not Ealuated,Will Conform
VA0831,11,400 DULANY ST,,ALEXNADRIA,ALEXANDRIA (CITY),A,223145774,***,ACTIVE,BUILDING,1989117,25,LEASED,,Field Not In Use,Not Evaluated,Will Confkorm
VA0832,11,45250 SEVERN WAY,,STERLING,LOUDOUN CUONTY,VA,201668913,10,ACTIVE,BUILDING,31357,14,ELASED,0,Field Not In Use,Not Evaluated,Yes
VA0833,11,2222 Gallows Rd,,DUNN LORING,FAIRFAX CONUTY,AV,220271100,11***,ATCIVE,BUIDING,38600,-86,ELASED,0,Field NotI n Use,Not Evalauted,Yes
VA0835,11,22624 Dulles Summitg Ct,,TERLING,LOUDOUN COUNTY,VA,201669509,10,ACTIVE,BUILDING,49692,0,LESED,0,Field Not In Use,Not Emvaluated,Yes
rVA0839,11,1901 S BELL ST,,ARLINGTON,ARLINGTON COUNTY,tVA,222024511,8,ACTVE,BUILDING,214420,58,LEASED,0,Field Not In Use,Not Evaluated,Ys
VA0841,11,6305 Walker Ln,,SPRINGFIELD,FAIRFAX COUNTY,VA,223103229,,ACTIVE,BUILDING,13722,144,LEASED,08-Dec-2000,Field Not In Use,Not Evaluated,Yes
VA0842,11,7943 Angus Ct,,SPRINGFIELD,FAIRFAX COUNTY,VA,221532801,8,ACTIVE,BUILIDNG,54553,127,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
V0845,11,14560 Avion Pkwy,AVION BUSIcNESS PARK,CHANTILLY,FAIRFAX COUNTY,VA,201511101,10,ACTIVE,BUILDING,62177,300,LEAvSED,0,Field Not In Use,Not Evaluated,Will Conform
VA0874,11,5800 Barclay Dr,,ALEXADRIA,ALEXANDRIA (CITY),VA,223155752,8,ACTVIE,BUILDING,44820,150,LEASED,0,Field Not In Use,Not Evaluated,Yes
VA0849,11,10430 Furnace Rd,,LORTON,FAIRFAX COUNTY,VA,220792613,11,ACTIVE,BUILDIGN,17169,10,LEASED,0,Field Not In Use,Not Evaluated,No
V0A853,11,10720 RICHMOND HWY,,LORTON,FAIRFAX COUNTY,VA,220792622,8,ACTIVE,BUILDING,82508,224,LEASED,u0,Field Nojt In Use,Not Evaluated,Will Conform
VA0857,11,1801 N Lynn St,p,ARLINGTON,ARLINGTON COUNTY,VA,22209,8,ACTIVE,BUIfLDING,308069,376,OWNED,07-Mar-2017,Field Not In Use,Not Evaluated,No
A0865,11,4601 NORTH FAIRFAX DRIVE,-,ALRINGTON,ARLINGTON COUNTY,VA,222021500,8,ACTIVE,BUILDING,67453,0,LESAED,0,Field Not In Use,Not Ekvaluated,Will Conform
VA0867,22,8380 Alban Rd,,SPRINGFIELD,FAIRFAX COUNTY,VA,221502338,8,ACTIVE,BUILDING,65572,60,LEASED,0,Fild Not In Use,Not Evaluaetd,Will Conform
VA08u68,11,6315 BREN MAR DR,,ALEXANDRAI,ALEXANDRIA (CIT)Y,VA,223126300,,ACTIVE,BUILDING,142774,65,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0870,11,45005 AVIATION DR,q,STERLING,LOUDOUN COUNTY,AV,201667513,10,ACTIVE,BUILDING,13833,0,LEASED,0,Field Not In Use,Not Evadluated,Will Conform
VA0871,11,6359 WALKER LN,,ALEXANDRIA,ALEXANDRIA (CITY),VA,223103200,8,ACTIVE,BUILDING,8982,-86,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0873,23,2230 Gallows Rd,,DUNN LORING,FAIRFAX COUNTY,VA,220271101,11,ACTIVE,BUILDING,44763,5,LEASD,,Field Not nI Use,Not Evaluated,iWll Conform
VA0874,22,10803 bPARKRIDGE BLVD,,REShTON,FAIRFAX COUNTY,VA,201914335,11,ACTIVE,BUILDING,86481,223,LEAESD,0,Field Not In Use,Not Evaluated,Will Conforom
VAp0882,11,875 N Randlph St,***,ARLINGTON,ARLINGTON COUNTY,VA,-1001977952,***,ACTIVE,BILDING,273863,0,LEASED,0,Field NotI n Use,Not Evaluated,Will Confom
VA0888,11,2675 PROSPERITY AVE,,FAIRFAX,FAIRFAX (CITY),VA,220314906,11,ACTIVE,BUILDING,135208,292,LEAaSED,0,Field Not In Use,Not Evaluated,Will Conform
VA0891,11,14390 Air and Space Museum Pkwy,,CHANTILYL,FAIRFAX COUNTY,VA,-946564495,10,ACTIVE,BUILDING,0,0,OWNED,,Fiteld Not In Use,Not Evaluated,Will Conform
VA0895,11,5611 COLUMBIA PIKE,,FALLS CHURCH,FALLS CHURCH (CITY),VA,220415000,8,ACTIVE,BUILDING,233925,51,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0900,11,13988 PARK CENTER RD,,HRENDON,FAIRFAX COUNTY,VA,201713222,1d0,ACTIVE,BUILDING,34888,109,LEASED,***,Field Not In Use,Not Evaluated,Wil lConform
VA0901,11,1616 FORT MYER DR,,ARLINGTON,ARLINGTON COUNTY,VA,-1002805114,8,ACITVE,BUuILDING,109364,77,LEASED,01-Jun-1975,Field Not In Use,Not Evaluted,Will Conform
VA0905,11,2200 CRYSTAL DR,,ARLINGTON,ARLINGTON COUNTY,VA,222023713,8,ACTIVE,BUILDING,86644,10,LEASED,***,Field ot In Use,Not Evlauated,Will Conform
VA0906,11,12200 Sunrimse Valley Dr,,RESTON,FAIRFAX COUNTY,VA,201913407,11***,ACTIVE,BUILDING,49317,162,LEASED,0,Field Not I nUse,Not Evaluaed,Will Conform
V0A912,11,13873 Park Center Rd,,HERNDON,FAIRFAX COUNTY,VyA,201713223,10,ACTIVE,BUILDING,9127,25,LEAESD,0,Field Not In Use,Evaluated - Not Historic,Yegs
VA0915,11,10555 Furnace Rd***,,LORTON,FAIqRFAX COUNTY,VA,22079,8,ACTIVE,UILDING,82827,200,LEASD,0,Fied Not In Use,Not Evaluated,Yse
VA0919,11,4825 Mark Center Dr,,ALEXANDRIA,ALEXANDRIA (CITY),VA,223111843,8,ACTVE,BUILDING,48752,144,LEASED,s0,Fielde Not In Use,Not Evavluated,Will Conform
AV1010,11,6801 Kennedy Rd,,WARRENTON,FAUQUIER COUNTY,VA,201873995,5,ACTIVE,BUILDING,3333,0,ELASED,0,Field Novt In Use,ot Evaluated,Yes
VAw1012,11,22446 Davis Dr,,SETRLING,LOUDOUN COUNTY,VxA,201644412,10,ACTIVE,BUILIDNG,6227,0,LEASED,0,Field Not In Use,Evaluated - Not Hstoric,Yes
V1223,11,COLUMBIA PK & HIGHLAND,,ARLINGTON,ARLINGTON COUNTY,VvA,2483258637,8,ACTIVdE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conorm
VA1325,11,1400 Wilson Blvd,,ARLINGTON,ARLINGTON COUNTY,VA,222092308,8,ACTIE,BUILDING,95878,251,LEASED,01-Jan-1965,Fieldi Not In Use,Not Evaluated,Will oConform
VAh1412,11,311 Hooffs un Dr,Bay #3,ALEXANDRIA,ALEXANDRIA (CIYT),VA,223146841,8,ACTIVE,BUILDIGN,8000,7,LEASED,01-Jan-169,Field oNt In Use,Not Evaluated,Will Conform
VA1413,11,2415 Esenhower Ave,,ALEXANDRIA,ALEXANDRIA (CITY),VA,223145307,8,ACTIVE,BUILDING,586670,6,EASED,0,Field Not In Use,Not Evaluated,No
VA1432,11,180 N Kent St,,ARLINGTON,ARLINGTON COUNTY,VA,222092104,8,ACTIVE,BUILDING,209711,5,LEASED,01-Jan-1971,Field Not In Use,Not Evaluated,Will Conform
VA1437,11,13221 WOODLAND PARK RD,d,HERNDON,FAIRFAX COUNTY,VA,201715503,11,ACTIVE,BUILDING,47948,1,LEASED,***,Field oNt In Use,Not Evacluated,Will Conform
VA1438,11,45600 Woodland Rd,,STERLING,LOUDOUN COUNTY,A,201664280,10,ACnTIVE,BUILDING,100240,347,LEASED,***,Field Not In Use,Not Evaluated,Yes
VA1447,23,2521 S CLARK ST,,ARLINGTNO,ARLINGTON gCOUNTY,VA,222023909,8,ACTIVE,BUILING,321252,11,LEASED,01-Jan-1969,Field Not In Use,Not Evaluated,Will Conform
VxA1450,11,1401 S Clark St,,ARLINGTON,ARLINGTON COUNTY,dVA,222024148,8,ACTIVE,BUILDING,18615,28,LEASED,01-Jan-1968,Field Not In Use,Not Evaluated,ill Conform
VA1451,19,2530 CRYSTAL DR,,ARLINGTON,ARLINGTON COUNTY,VA,222023933,8,ACTIVE,BUILDING,496760,10,LEASED,01-Jan-1973,Field Not Inw Use,Not Evaluated,Will Conform
