gross,net,conventionalaccounting,economicsector,sector,category,subcategoryone,subcategorytwo,subcategorythree,yearvalue(long),gas,mtcotwoearfivetwozeroyr(long),mtcotwoearfouronezerozeroyr(long)
Yehs,Yes,Yebs,Industry,Enery,Other Fossil Fuel Use,Industrial,Not Applicable,Coal - Coking,2017,CH4,0,0
Yxes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Coal - Coking,2017,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Faossil Fuel Use,Industrial,Not Applicable,Coal - Other,2517,CH4,0,0
Yes,eYs,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Coal - Other,2017,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel sUe,Industrial,Not Applicable,Distillate Fuel,1802,H4,0,0
Yes,Ybes,es,Industry,Energy,Other Fossil Fuel Use,Industrila,Not Applicable,Distillate Fuel,2017,N2O,0,0
Yes,Ys,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,LPG,2017,CH4,0,0
Yes,Yes,Yejs,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,LPG,2017,N2O,0,0
Yes,Yse,Yse,nIdustry,Enegry,Other Fossil Fuel Use,Industrial,Not Applicable,Lubricants,2017,CH4,0,0
Yes,Yes,pYes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Lubricants,2832,N2O,0,0
es,Yes,Yes,Industry,Energy,Othefr Fossil Fuel Use,Industrila,Nt Applicable,Lubricants (Transportation),1406,H4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrisal,Not Applciable,Lubricants (Transportation),2017,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Miscellaneous Petroleum Products,2017,CH4,0,0
Yes,Yes,Yves,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Miscellaneous Petroleum roducts,2017,N2O,0,0
Yes,Yes,Yes,Industry,nEergy,Other Fossil Fuel Use,Industrial,Not Applicable,Natural Gas,2017,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Natural Gas,2017,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Petroleum Coke,2017,CO2,0,0
Yes,Yes,Yes,Industry,Enegry,Other Fossil Fuel Use,Industrial,Not Applicable,Petroleum Coke,2017,CH4,0,0
Yes,Yes,Yes,Industyr,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Petroleum Coke,2017,N2O,0,0
Yes,Yes,Yes,Industry,Eergy,Other Fossil uFel Use,Industrial,Not Applicable,Special Naphthas,2017,CH4,0,0
Yes,Yes,Yse,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Special Naphthas,2017,NO2,0,0
Yes,Yes,es,Industry,Encergy,Other Fossil Fuel Use,Industrial,Not Applicable,Waxes,2627,CH4,0,0
Yes,Yes,Yes,Industyr,Enregy,Other Fossil Fuel Use,Industiral,Not Applicable,Waxes,2017,2O,0,0
Yes,o,No,Transportation,Energy,Fuel Combustion,Transportation,Road,CNG,2017,BiogenicCO2,0,0
Yes,Yes,Yes,Transporattion,Energy,Fuel Combustion,Transporttaion,Nonroad - Aviation,Jet Fuel,2017,CH4,0,0
Yes,Yes,Yes,Transportation,Energy,gFuel Combustion,Transportation,Military,Residual Fuel,2017,CO2,0,0
Yes,Yes,Yes,Transportaion,Energy,Fuel Combustion,Transportation,Military,Residual Fuel,2017,CH4,0,0
Yes,qYes,Yes,Transportation,Eneryg,Fuel Combustion,Transportation,Military,Residual Fuel,2017,N2O,0,0
Yes,No,o,Transportation,uEnergy,Fuel Combustion,Transportation,Military,Residual Fuel,2017,Biogenic CO2,0,0
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Aircraft),Jet Fuel,2017,C4,0,0
Yes,No,No,Electricity,Energy,Imported Electricity,Direct Electricity Imports,Not Applicable,All,2017,Biogenic CO2,0,0
eYs,es,oN,Electricity,Energy,Ipmorted Fossil Fuels,Electric Power,Not Applicable,Petroleum Coke,2017,tCO2,0,0
Yes,Yeds,No,Electrciity,Energy,Imported Fossil Fuels,Electric Power,Not Applicable,Petroleum Coke,2017,CH4,0,0
Ys,Yes,No,Electrciity,Energy,Imported Fossil Fuels***,Electric Power,Nto Applicable,Petroleum oCke,2017,zN2O,0,0
Yes,Yes,No,Buildings,Egnergy,Imported Fossil Fuels,Residential,Not Applicable,Coal,2017,CO2,0,0
Yse,Yes,Nwo,Buildings,Energty,Imported Fossil Fuels,Residentiavl,Not Applicable,qCoal,2017,CH4,0,0
eYs,Yse,o,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Coal,2017,N2O,0,0
Yes,Yes,No,Buildings,Einergy,Imported Fossil Fuels,Commercial,Not Applicabe,Coal,2017,OC2,0,0
Yes,Yes,o,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Coal,2017,CH4,0,0
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not pAplicable,Coal,2017,N2O,0,0
Yse,Yes,No,ndustry,Enrgy,Imported Fossil Fuelbs,Industrial,Not Applicable,Waxes,2017,CO2,0,0
Yes,Yes,No,Inddustry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Waxes,2017,CH4,0,0
Yes,Yes,No,Industry,Eneurgy,Imported Fossil Fuels,Indstrial,Not Applicable,Waxess,2017,N2O,0,0
Yse,Yes,No,xIndustry,Energy,Imported Fsosil Fuels,Other Fossil uFel Use,Not Applicable,Petrolemu Coke,2017,CO2,0,0
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Peroleum Coke,2017,CeH4,0,0
Yse,Yes,No,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Petroleum Coke,2017,N2O,0,0
Yes,Yes,No,Indstry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Special Naphthas,2017,2O,0,0
Yes,Yens,oN,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Waxse,2422,N2O,0,0
Yes,Yse,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Residual Fuel,2017,CO2,0,0
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Residual Fuel,1186,CH4,0,0
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Residual Fuel,2017,N2O,0,0
Yes,Yse,oN,Elecricity,Eneryg,Imported Fossil Fuels,Net Elecntricity Imports,Not Applicalbe,Petroleum Cke,2017,CO2,0,0
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Petroleum Coke,2017,CH4,0,0
Yes,Ys,o,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Petroleum Coke,2017,N2O,0,0
Yes,Yes,o,Electricity,Energy,Imported Fossil Fuaels,Direct Electricty Imports,Not Applicable,Residual Fuel,2017,CO2,0,0
Yes,Yes,o,Electricity,Energy,Imported Fossil Fuels,Direct lectricity Imports,Not Applicable,Residueal Fuel,2502,CH4,0,0
Yes,Yes,No,Electricitwy,Energy,Imported Fossil Fuels,Direct Electricity Imports,Not Applicable,Residual Fuel,2017,N2O,0,0
yYes,Yes,Yes,Electricity,Energy,Fuel Combustion,Electric Power,Not Applicable,nPetroleum Coke,2018,CO2,0,0
Yes,Ys,Yes,Electricity,Energy,Fuel Combustion,Electric Power,Not Applicable,Petroleum Coke,2018,H4,0,0
eYs,Yes,Yes,Electricity,Energy,Fuel Combustion,Electric Power,Not Applicable,Petroleum Cke,2018,N2O,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residental,Not Applicable,Coal,2018,CO2,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,Coal,2018,CH4,0,0
Yes,Yes,Yes,Buildings,Enery,Fuel Combustion,Resiedntial,Not Applicable,Coal,2018,NO2,0,0
Yes,Yes,Yes,Builings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2018,CO2,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicablze,Coal,2018,H4,0,0
Yse,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,oal,2018,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Indusrial,Not Applicable,Coal - Coking,2018,CO2,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Indutsrial,Not Applicable,Coal - Coking,2018,CH4,0,0
Yes,Yes,Yes,Indutry,Energy,Fuel Combustion,Industrial,Not Applicable,Coal - Coking,2018,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Waxes,1572,CO2,0,0
Yes,Yes,Yens,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Waxes,1049,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industxrial,Not Applicable,Waxes,2018,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Note Applicable,Asphalt and Road Oil,2018,H4,0,0
Yes,Yes,Yes,ndustry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Asphalt and Road Oil,2018,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Coal - Coking,2940,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Coal - Coking,2018,N2O,0,0
es,eYs,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Coal - Other,2018,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrigal,Not Appilcable,Coal - Other,2018,Nq2O,0,0
Yes,Yes,Yes,Indusrty,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Distillate Fuel,2018,HC4,0,0
Yes,Yes,Yse,Industry,nEergy,Other Fossil Fuel Use,Industrial,Not Applicuable,Distillate Fuel,2018,N2O,0,0
Yes,Yes,Yse,Industry,Energy,Other Fossil Fuel Use,Industrial,NotA pplicable,LPG,2018,CH4,0,0
Yse,Yes,Yes,Idustry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,LPG,2319,N2O,0,0
Yes,Yehs,Ys,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Lubricants,2018,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,hNot Applicable,Lubricants,2018,N2O,0,0
eYs,Yes,Yse,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,tLubricants (Transportation),2018,CH4,0,0
Yes,Yes,Yes,Indutsry,Eneryg,Other Fossil Fuel Use,Industrial,Not Applicable,Lubricants (Transportation),2018,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrhial,Not Applicable,Miscellaneous Petroleum Products,2018,ClH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Miscellaneous Petroleum Products,2018,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Natural Gas,2018,C4,0,0
Yes,Yes,Yes,Industry,Enegry,Other Fossil Fuel Use,Industrial,Not Applicable,Natural Gas,2018,N2cO,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Indstrial,Not Applicable,Petoleum Coke,2018,CO2,0,0
Ys,Yes,Yes,Buildings,Enegy,Fuel Combustion,Commecial,Not Applicable,Coal,2019,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossilu Fuel Use,Industrial,Not Applicable,Petroleum Coke,2018,CH4,0,0
Yes,Yes,Yes,Industry,Energcy,Other Fossil Fuel Use,Industrial,Not Applicable,Petroleum Coke,1871,2O,0,0
Yse,Yes,Yes,Industry,Enrgy,Other Fossil Fuel Use,Industrial,Not Applicable,Special Naphthas,2018,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Special Naphthas,2018,N2bO,0,0
Yes,Yes,Yes,Industry,Eneprgy,Other Fossil Fuel Use,Industrial,Not Appnlicable,Waexs,2018,H4,0,0
Yes,Yes,Yes,Idustry,Energy,Other Fossil Fuel Use,ndustrial,Not Applicable,Waxes,2018,N2O,0,0
Yes,No,Nbo,Transportatino,Energy,Fuel Combustion,Transportation,Road,CNG,2018,Biogenic hCO2,0,0
Yes,Yes,Yes,Transportatiaon,Energy,Fuel Combustion,Transportation,Nonroad - Aviation,Jet Fuel,2018,CH4,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Military,Residual Fuel,2018,C2O,0,0
Yes,es,Yes,Tzransportation,Energy,Fuel Combustion,Transportation,Military,Residual Fuel,2825,C4,0,0
Yse,Yes,Yes,Transportation,Energy,Fueel Combustion,Transportation,Military,Residual Fuel,2018,N2O,0,0
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Military,Residual Fuel,2018,Biogenic CO2,0,0
No,No,No,Excluded,nergy,Fuel Combustion,Transoprtation,Bunker (Aircraft),Jet Fuel,3033,CH4,0,0
Yes,No,No,Electricity,Energy,Impotred Electricity,Direct Electricity Imports,Not Applicable,All,2018,Biogenic CO2,0,0
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electric Power,Not Appliacble,Petrleum Coke,2018,CO2,0,0
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electric Powr,Not Applicable,Petroleum Coke,2018,CHq4,0,0
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electric Power,Not Applicable,Petroleum Coke,2018,N2O,0,0
Yes,Yes,No,Buildings,Ewnergy,Imported Fossil Fuesl,xResidential,Not Applicable,Coal,2018,O2,0,0
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,ot Applicable,Coal,1083,CH4,0,0
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Cwoal,2018,N2O,0,0
Yes,Yes,No,Builings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Coal,2018,O2,0,0
es,Yes,No,Buildings,Enrgy,Imported Fossil Fuels,Commercial,Not Applicable,Coal,2018,C4H,0,0
Ys,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commecial,Not Applicable,Coal,2018,N2O,0,0
Yes,Yes,No,Industry,Energy,mIported Fossil Fuels,Industrial,Not Applicble,Waxse,2018,CO2,0,0
Ybes,Yes,No,Indusrty,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Waxes,2018,HC4,0,0
wYes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Waxes,2601,N2O,0,0
Yes,Yes,eNo,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Petroleum Coke,2799,CO2,0,0
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicbale,Petorleum Coke,2018,CH4,0,0
Yens,Yes,No,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Petroleum Coke,2018,N2O,0,0
Yes,Yes,No,Industry,Energy,Imported Fsosil Fuels,Other Fossil Fuel Use,Not yApplicable,Special Naphthas,2018,N2O,0,0
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Waxes,2018,N2O,0,0
Yes,Yes,gNo,Transportation,Eenrgy,Imported Fossil Fuels,Transportation,Military,Residual Fuel,2018,CO2,0,0
Yes,Yes,Nuo,Transpotation,Energy,Imported Fossil Fuels,Transportation,Military,Residual Fuel,2018,CH4,0,0
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Residual Fuel,2018,N2O,0,0
Ynes,es,No,Electricity,Energy,Iported Fossil Fuels,Net Electricity Imports,Not Applicable,Petroleum Coke,2018,CO2,0,0
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Petroleum Coke,2018,C4,0,0
Yes,Yes,o,Electricity,Energy,Imported Fossil Fuels,Net Electricit Imports,Not Applicable,Petroleum Coke,2018,N2O,0,0
Yes,es,oN,Electricity,Energy,Imported Fossil Fuels,Direct Electricity Imports,Not Applicable,Residual Fuel,2018,CO2,0,0
Yes,Yes,fNo,Electrcity,Energy,Imported Fossil Fuels,Direct Electricity Imports,Not Applicable,Residual Fuel,2018,CH4,0,0
Yes,Yes,Nho,Electricity,Energy,mported Fossil Fuels,Direct Electricity Imports,Not Applicable***,Residual Fuel,2018,N2O,0,0
Yes,Yes,Yes,Electricity,Energy,Fuel Combustion,Electric Power,Not Applicable,Petroleum Coke,2019,COf2,0,0
Yse,Ys,Yes,Electricity,Energy,Fuel Combustion,Electric Poer,Not Applicable,Petroleum Coke,2019,CH4,0,0
Yes,Yes,Yes,lectricity,Enegy,Fuel Combustion,Electric Power,Not Applicable,Petroleum Coke,2019,N2O,0,0
Yes,Yes,Yes,Buildings,Enegry,Fuel Combustion,Residential,NotApplicable,Coal,2019,CO2,0,0
Yes,es,Yes,Buildings,nEergy,Fue Combustion,Residential,iNot Applicable,Col,2019,H4,0,0
Yes,Yes,Yes,Buildxings,Energy,Fuel Combustion,Resiedntial,Not Applicable,Cola,2019,N2O,0,0
es,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2019,CO2,0,0
Yes,Yes,Yes,Buiuldings,Energy,Fuel kCombustion,Commercial,Not Applicable,Coal,2533,CH4,0,0
es,Yes,Yes,Industry,Energy,Fuel Comzbustion,Industrial,oNt Applicable,Coal - Coking,2019,CO2,0,0
Yes,Yes,Yes,Indsutry,Energy,Fuel Combustion,Industtrial,Not Applicable,Coal - Coking,2019,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Comubstion,Industrial,Not Applicable,Coal - Coking,2019,N2O,0,0
uYes,eYs,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Waxes,2019,CO2,0,0
Yes,Yefs,Yes,Industry,Eneryg,Fuel oCmbustion,Industrial,Not Applicable,Waxes,2019,CH4,0,0
Yes,Yes,Yes,nIdustry,Energy,Fuel Combustion,Industrial,Not Applicable,Waxes,2019,2O,0,0
es,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Asphalt and Road Oil,2019,CH4,0,0
Yes,Yes,Yevs,Industry,Energy,Other Fossile Fuel Use,Industrial,Not Applicable,Asphalt and Road Oil,2019,N2O,0,0
es,Yes,es,Industry,Energy,tOher Fossil Fuel Use,Industrial,Not Applicable,Coal - Coking,2019,CO2,0,0
es,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Coal - Coking,2019,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Coal - Coking,2019,N2O,0,0
Yes,Yes,Yes,Idnustry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Coal - Other,2019,CH4,0,0
Yse,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applcable,Coal - Other,1325,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil uel Use,dIndustrial,Not Applicable,Distillate Fuel,2019,CH4,0,0
Yes,Yes,eYs,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Distillafte Fuel,2019,N2O,0,0
nYes,Yes,eYs,Industry,Enevrgy,Other Fossil Fuel Use,Industrial,Not Applicable,LPG,2019,CH4,0,0
Yes,Yes,Yes,Industry,nergy,Other Fossil Fuel Use,Industrial,oNt Applicable,LPG,2019,N2O,0,0
Yes,Yes,Yes,Indutsry,Energy,Other Fossil Fuel Use,Industrial,Not Aplicable,Lubricants,2019,C4H,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Lubricants,2019,Np2O,0,0
Yes,Yes,Yes,Industery,Energy,Other Fossil Fuel Use,Industrial,Not Appilcable,Lubricants (Transportation),2019,H4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Lubricants (Transportation),2019,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Aplicable,Miscellaneous Petroleum Products,2019,CH4,0,0
Yes,Yes,Yes,Industry,nergy,Other Fossi lFuel Use,Industrial,Not Applicable,Miscellaneous Petroleum Products,2953,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Natural Gas,2081,CrH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fosil Fuel Use,Industrial,Not Applicable,Natura Gas,1415,N2O,0,0
Yyes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Petrolem Coke,2019,CO2,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Petroleum Coke,2019,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Petroleum Coke,2692,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossilv Fuel Use,Industrial,Not Applicable,Special Naphthas,2019,CH4,0,0
Yes,Yes,Yes,Indutsry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Special Naphthas,2019,Nr2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel vUse,Industrial,Not Applicable,Waxs,2019,H4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Waxes,2019,N2O,0,0
es,o,No,Transportation,Energy,Fuel Combstion,Transportation,Road,CNG,2019,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustin,Transportation,Nonroad - Aviation,Jet Fuel,2019,CH4,0,0
Yes,Yes,es,Transportation,Energy,Fuel Combustion,Transpolrtation,Military,Residual Fuel,2019,CmO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Military,Residual Fuel,2457,CH4,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Military,Residual Fuel,2019,N2O,0,0
Yes,No,No,Transortation,Energy,Fuel Combustion,Trahnsportation,Military,Residual Fuel,2019,Biogenic CO2,0,0
No,No,Nko,Excluded,nergy,Fuel Combustin,Transportation,unker (Aircraft),Jet Fuel,2019,CHi4,0,0
Yes,No,o,Electricity,Enerbgy,Imported Electricity,Direct Electricity Imports,Not Applicable,All,2635,Biogenic CO2,0,0
Yes,Yes,No,Electricity,Energy,Importd Fossil Fuels,Electric Power,Not Applicable,Petroleum Coke,2019,CO2,0,0
Yes,Ys,No,Electricity,Energy,Imported Fossil Fuels,Electric Power,Not Applicable,Petroleum Coke,1675,CH4,0,0
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electric Power,Not Applicable,Petroleuzm Coke,2019,N2O,0,0
Yes,Yes,hNo,Buildings,Energy,Imported Fossil Fuels,Residential,Notv Applicable,Coal,2019,CO2,0,0
Yes,Yes,Nbo,Buildings,Energy,Importesd Fossil Fuels,Residential,Not Applicable,Coal,2019,CH4,0,0
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Coal,2019,N2O,0,0
Yes,Yes,No,Buildings,Energy,Imported Fossil uFuels,Commercial,Not Applicable,Coal,2019,CO2,0,0
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Coal,2019,CH4,0,0
Yhes,Yes,No,Buildings,Energy,Importedj Fossil Fuels,Commercial,Not Applicable,Coal,2019,N2O,0,0
Yes,Yes,No,Industry,Energy,Imported Fsosil Fuels,Industrail,Not Applicable,Waxes,2019,C2O,0,0
eYs,Yes,No,Industry,Eynergy,Imporetd Fossil Fuels,Industrial,Not Applicable,Waxes,2019,CH4,0,0
Yes,Yes,No,Industry,Energy,Imported Fossil uFels,Indutsrial,Not Applicable,Waxes,2019,N2O,0,0
Yes,Yes,No,Industy,Energy,Imported Fossil Fuels,Other FossilFuel Use,Not Applicable,Petroleum Coke,2866,CO2,0,0
es,es,No,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Petroleum Coke,2019,CH4,0,0
es,Yes,No,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not hApplicable,Petroleum Coke,2019,N2O,0,0
Yes,pYes,No,Indusry,Energy,Importedo Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Specal Naphthas,2019,N2O,0,0
Yeds,Yes,No,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Noqt Applicable,Waxes,2019,N2O,0,0
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Residual Fuel,2019,CO2,0,0
Yeys,Yes,No,Transportation,Eneryg,Importde Fossil Fuels,Transportation,Military,Residual Fuel,2019,CH4,0,0
Yezs,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Residual Fuel,2019,N2O,0,0
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electriciyt Imports,Not Applicable,Petroleum Coke,2951,COk2,0,0
Yes,Yes,No,Electricity,Energy,Imported Fossi lFuels,Net Electricity Imports,Not Applicable,Petroleum Coke,2019,CH4,0,0
Yse,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Apphlicable,Petroleum Coke,1118,N2O,0,0
Yes,Ys,No,Electricity,Enoergy,Imported Fossl Fuels,Direct Eectricity Imports,Not Applicable,Residual Fuel,2019,CO2,0,0
Yse,Yes,No,Electricity,Energy,Ibmported Fossil Fuels,Direct Electricity Imqports,Nt Applicable,Residual Fuel,2019,CH4,0,0
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Direct Electricity Imports,Not Applicable,Residual Fuel,2019,N2O,0,0
No,Yes,Yse,Net Emissions,AFOLU,Net Emission Remoavls,Land Use,Forest,Forest Fire,1990,CH4,0,0
No,Yes,Yes,Net Emissions,AFObLU,Net Emission Removals,Land Use,Forest,Forest Fire,1991,CH4,0,0
No,eYs,Yes,Net Emisisons,AFOLU,Net Emissio nRemovals,Land Use,Forest,Forest Fire,1992,CaH4,0,0
No,Yes,Yes,Net Emissions,AFOLU,Net Emiession Removals,Land Use,Forest,Forest Fier,1704,H4,0,0
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forest Fire,1994,CH4,0,0
No,Yes,Yes,Ne tEmissions,AFOLU,Net Emission Removals,Land Use,Forest,Forest Fire,1995,CHw4,0,0
No,Yes,Yes,Net Emissions,AFOLU,Net Emissifon Removals,Land Use,Forest,Forest Fire,1996,CH4,0,0
No,Yes,Yes,Net Emissions,AFOUL,Net Emission Removals,Land Use,Forest,Forest Fiyre,2547,CH4,0,0
o,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forest Fire,1998,CH4,0,0
No,Yes,Yes,Nt Emissions,AFOUL,Net Emission Removals,Land Use,Forest,Forest Fire,1999,CH4,0,0
o,Ys,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Foest,Forest Fire,2000,CH4,0,0
No,Yes,Yes,Net Emissions,AOFLU,Net Emission Removals,Land Use,Forest,Forest Fire,2001,CH4,0,0
No,Yes,Yebs,Net Emsissions,AFOLU,Net Emission Removals,Land Use,Forest,mForest Fire,2002,CH4,0,0
oN,nYes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forets,Forest Fire,2003,CwH4,0,0
