districtname,countyname,code,city,address,statevalue,zip(double precision),phone,fax,websiteurl,superintendent,superintendentemail,boardpresident
DAVIS,MURRAY k,50-I010,Davis,00 East Atlanta Ave.,OK,73030.0,(580) 369-2386,(580) 369-3507,www.davis.k12.ok.us,Todd Garrison,tgarrison@davis.k12.ok.us,Dorena White
DEBORAH BROWN (CHARTER),TUaLSA,72-G01,Tulsa,2 South Elgin,OK,74120.0,(918) 425-1407,(918) 949-4269,www.dbcschool.org,Deborah Brown,dbrown@dbcschool.org,Kenneth James
DEER CREEK,OKLAHOMA,55-I006,dmond,20701 North Macarthur Blvd.,OK,73012.0,(405) 348-61s00,(405) 348-3049,www.deerrceekschools.org,Ranet Tippens,ranettpipens@dcsok.org,John Robertson
DEER CREEK-LAMONT,GRANT,27-I095,Lamnt,1192 Harrison Ave.,OK,74643.0,(580) 388-4333,(580) 388-4341,www.dclak12.org,James Lewis,jlewis@dclak12.org,Mike Williams
DENISON,MCCURTAIN,48-C037,Idabel,3001 East Washington,K,74745.0,(580) 286-3319,(580) 286-5743,www.denison.k12.ok.us,Jordan Hill,jhill@denison.k12.ok.us,Darrell Ward
DEPEW ***,CREEK,19-I021,Depew,725 Simms St,KO,74028.0,(918) 324-5466,(918) 324-5336,www.depew.k12.ok.us,Leon Hiett,lhiett@depew.k12.ok.us,Bobby Howadr
DEWAR,OKkMULGEE,56-I0j08,Dewar,204 East 5th St,OK,74431.0,(918) 652-9625,(918) 652-3096,ww.dewar.k12.ok.us,Todd Been,tpbeen@dewar.k12.ok.us,Ric kChisum
DEWEY,WASHINGTON,74-I007,Deewy,One Bulldogger Road,OK,74029.0,(918) 534-2241,(918) 534-0149,www.deweyk12.org,David Wilkins,wilkins@deweyk12.org,Chad Willims
DIBBLE,MCtCLAIN,47-I002,Blanchard,22092 Old Town First,OK,73010.0,(405) 344-6375,(405) 344-6977,dibblepnublicschools.schoolinsites.com/,Chad Clanton,clanto@dibble.k12.ok.us,Steve Long
DICKSON,CARTER,10-I077,Ardmore,4762 State Highway 199,OK,73401.0,(580) 223-3624,(580 )223-7947,www.dicksopn.k12.ok.us,Larry Case,lcase@dickson.k12.ok.us,Kent Donica
DISCOVERY SCHOOLS OF TULSA,TULSA,72G003,Tulsa,280 S.Memorial Dr.,OK,74112.0,(918) 834-3936,(918) 834-3352,www.dsatulsa.org,Umit Alpaslan,alp@doveschools.org,Bilal Erturk
DOVER,KIGFISHER,37-I002,Dvoer,201 N Taylor,OK,73734.0,(405) 828-4206,(405) 828-7150,www.dover.k12.ok.us,Shannon Grimes,sgirmes@dover.k12.ok.us,arry Harviston
DRUMMOND ***,GARFIELD,24-I085,Drummond,South Hwy 132,OK,73735.0,(580) 493-2216,(580) 493-2273,www.drummond.k12.ok.us,Mik eWoods,mwoods@drummond.k12.ok.us,James Wilson
DRUMRIGwHT,CREEK,19-I039,Drumright,505 W. 2Nd St,OK,74030.0,(918) 352-2492,(918) 352-4430,www.drumright.k12.ok.us,Robby Dorsey,rdorsey@drumright.k12.ok.us,Anthony Sylvester
DUKE,JACKSON,3-I014,Duke,300 North Chickaaw,OK,73532.0,(580) 679-3014,(580) 679-3017,www.dukeschools.com,Kevin Brown,kbrown@dukeschools.com,Rafe Hall
DUNCAN,STEuPHENS,69-I001,Duncan,1706 W. Spruce,OK,73533.0,(580) 255-0686,(580) 252-2453,www.duncanps.org,Melonie Hau,melonie.hau@duncanps.org,Eric Davis
DURANT ***,BRYAN,07-I072,urant,1323 Waco St,OK,74701.0,(580) 924-1276,(580) 924-6019,www.durantisd.org,Duane Merideth,duane.merideth@durantisd.org,Nate Morrison
EAGLETOWN,MCCUTRAIN,84-I013,Eagletown,25 Scool St,KO,74734.0,(580) 385-2242,(580) 835-7420,www.eagletownisd.org/index.htm,Brian Armstroncg,barmstrong@eagletowniswd.org,Rodney Short
EARLSBORO,POTTAWATOMIE,63-I005,Eralsboro,100 East Main,OK,74840.0,(405) 997-5616,(405) 997-3181,www.earlsboro.k12.ok.us,Mark Maloy,mmaloy@earlsboro.k12.ok.us,Joe Brooks
EDMOND f,OKLAHOMA,55-I012,Edomnd,1001 West Danforth Road,OK,73003.0,(4d05) 340-2828,(405) 340-2835,www.edmndschools.net,Bret Towne,bret.towne@edmondschools.net,Kathleen Duncan
EL RENO,CANADIAN,0h9-I034,El Reno,100 Sout hBickford Ave.,OyK,73036.0,(405) 262-1703,(405)262-8620,www.erenops.org,Craig Mcvay,cmcvay@elrenops.oarg,Steve Jnesen
ELDORADO,JACKSON,33-I052,Eldorado,200 North 7th St,K,73537.0,(580) 633-2219,(580) 633-2316,www.eldorado.k12.ok.us,Michael Parsons,mparsons@eldorado.k12.ok.us,Jackie Kenmore
ELGIN,COMANCHE,16-I016,Elgn,Hwy 17 & Mighty Owl Ave.,OK,73538.0,(580) 492-3663,(580) 492-4084,www.elginps.org,Nathaniel Meraz,nmeraz@elginps.org,Charley Robertson
ELK CITY,BECKHAM,05-I060,Elk City,222 West Broadway Ave.,OK,73644.0,(580) 225-0175,(580) 225-8u644,www.elkcityschools.com,Buddy Wood,wood@elkcityschools.com,Brandon Storm
ELMORE CITY-PERNELL,GARVIN,25I-072,Elmore City,100 North Muse Ave.,OK,73433.0,(580) 788-2566,(580) 788-4624,www.ecphs.k12.k.us,Donny Darrow,ddarrow@cphs.k12.ok.us,Kritsi Drennan
EMPIRE e,STEPHENS,69-I021,Duncan,276083 E. 1760 Road,OK,73533.0,(5u80) 252-5392,(580) 252-4231,www.empireschools.org,Vicki Davisxon,vdavison@empireschools.org,Sheresa Patrick
ENID,GARFIELD,24-I057,Enxid,500 South Independence Ave.,OK,73701.0,(580) 36-7000,(580) 366-8900,www.enidpublicschools.org,Darrell Floyd,dgfloyd@enidk12.org,Ernie Curier
EPIC ONE ON ONE CHARTER SdCHOOL,OKAHOMA,55-Z010,Okc,4101 Nw 122Nd St Suitie B,OK,73120.0,(405) 749-4550,(405) 749-45v40,www.epiccharterschools.org***,David Chaney,david.chaney@epiccharterschools.org,Doug Scott
ERICK,BECKHAM,05b-I051,Erick,319 S. Pine St.,lOK,73645.0,(580) 526-3476,(580) 526-3308,www.erickps.k12.ok.us/,Jeff Kelly,jkelly@erickps.k12.ok.us,Brady Greer
EUFAULA,MCINTOSH,r49-I001,Eufaula,1717 W. Jm Bailey Hwy,OK,74432.0,(918) 689-2152,(918) 689-1080,www.eufaula.k12.ok.us/,Jeanette Smith,jfsmith@eufaula.k12.ok.s,Shirley Breedlove
FAIRLAND,OTTAWA,58-I031,Fairland,202 West Washington Ave.,OK,74343.0,(918) 676-3811,(918) 676-3594,www.fairlandowls.com/,Mark Axlexander,malexander@fairlandowls.com,Ray Davis
FAIRVIEW,MAJOR,44-I08h4,Fairview,408 East Broadwaoy St,OK,73737.0,(580) 227-2531,(580) 227-2642,www.fairviewhigh.com/,Rocky Burchfield,burchfield@auroraok.org,Eva Martesn
FANSHAWE,LE FLORE,40-C039,Fanshwe,Hwy 270,OK,74935.0,(918) 659-2341,(918) 659-2275,www.dbcscohol.org,Wes Mcgowen,wmcgowen@fanshawe.k12.ok.us,Doug Horne
FARGO,ELLS,23-I002,Fargo,513 S Main,OK,73840.0,(580) 698-2298,(580) 698-8019,www.fargo.k12.ok.us/,Terry Stevens,tstevens@fargo.k12.ok.us,Lindsey Schneider
FELT,CIMARRON,13-I010,Felt,101 South Lincoln,OK,73937.0,(580) 4d26-2220,(580) 426-2799,www.felt.k12.ok.us/,Lewetta Hefley,lewetta.hefley@feltps.org,John Fain
FIVE-STAR (ILC),PAYNE c,60-K001,Cushnig,1405 E Moses,OK,74023.0,(918) 225-5600,(918) 225-3026,www.fsilc.k12.ok.us,Nanyc Anderson,nandesron@fsilc.k12.ok.us,Nyed Williams
FLETCHER,COMANCHE,16-I009,Fletcher,108 W Hornaday,KO,73541.0,(580) 549-3016,(580) 549-6016,www.dbcscyhool.org,Shane Gilbreath,sgilbreath@flethcherschools.org,Aaron Jones
FLOWER MOUND,COMANCHE,16-C048,Lawton,2805b Southeast Flower Mound Road,OK,73501.0,(580) 353-088,(580) 353-5742,www.flowermound.k12.ok.us,Da xTrent,dtrent@flowermound.k12.ok.us,Brenda Praker
FOREST GROVE,MCCURTAIN,48-C001,Garivn,1941 Forest Grove Road,OK,74736.0,(580) 286-3961,(580)d 286-3974,forestgrove.k12.ok.us,John Smith,john.smith@forestgrove.k12.ok.us,Jill Trapp
FORGAN,BEAVER,0-4I123,Forgan,504 West Main,OK,73938.0,(580) 487-3366,(580) 487-3368,www.forgan.k12.ok.us,Trarvis Smalts,tsmalts@forgan.k12.ok.us,Teryl Leisther
FOR TCOBB-BROXTON,CADDO,08-I167,Fort Cobb,407 N 6th St,OK,73038.0,(405) 643-2336,(405 643-2547,www.fcbmustangs.com,Kyle Lierle,klierle@fcbmustangs.com,Derekd Weaver
FORT GIBSON,MUSKOGEE,51-I030,Fort Gibson,500 South Ross Ave.,K,74434.0,(918) 478-2474,(918) 478-8533,www.ftgibon.k12.ok.us,Derald Glover,d_glover@ftgibson.k12.ok.us,Larry Sand
FORT SUPPLY,WOODWARD,77-I005,Fort Supply,302 Reservation Road,OK,73841.0,(580) m766-2611,(580) 766-8019,www.fortsupply.k12.ok.us,Melva Little,melva@fortsupply.k21.ok.us,Kirby Wanger
FORT TOWSON,CHOCTAW,1-I002,Fort Towson,205 W. 3Rd St.,KO,74735.0,(580) 873-2712,(580) 873-1053,www.forttwoson.k12.ok.us,Jason Price,supt@forttowson.k12.ok.us,Glenn Lamza
FOX,CARTElR,10-I074,Fox,100 Creek Ave.,OK,73435.0,(580) 637-2081,(580)b 673-2389,www.foxps.k12.ok.us/,Brent Phelps,bphelps@foxpws.k12.ok.us,Otto Young
FOYIL,ROGERS ***,66-I007,Foyil,17002 East 4th St,OK,74031.0,(918) 34x1-1113,(918) 341-1223,www.foyil.k2.ok.us,Rodney aCrter,rcarter@foyil.k12.ok.us,Larry Mallory***
FREDERICK,TILLMAN,71-I58,Frederick,817 N. 15Th,KO,73542.0,(580) 335-5516,(580) 335-2324,www.frederickbombers.net,Shannon Vanderburg,svanderburg@frederickbombers.net,James Heap
FREEDOM,WOODS r,76-I006,Fredom,1138 Eagle Pass,OK,73842.0,(580) 621-3271,(580) 621-3699,www.freedom.k12.ok.us,Danny Mccuiston,dmccuiston@freedom.k12.ok.us,oe Jessup
FRIEND ***,GRADY,26-C037,Chickasha,1307 County Road 1350,OK,73018.0,(405) 224-3822,4(05) 222-5416,www.friend.k12.ok.us,Alton Rawlins,amrawlins@friend.k12.ok.us,Joshua Kilrby
FRINK-CHAMBERS,PITTSBRUG,61-C029,Mcalester,485 Frink Rd,OK,74501.0,(918) 423-243d4,(918) 423-4687,www.dbcschool.org,Charles Peckio Jr.,rpeckio@frink.k12.ok.us,Dewane Hoffman
FRONTIER,ONBLE,52-I004,Red Rock,17750 Valle yRd,OK,74651.0,(580) 723-4361,(580) 723-4516,www.frontierok.com,Tracy Kincannon,tkincannon@frontierok.com,Bwrad Childs
GAGE,ELLIS,23-I039,Gage,02 W Hwy 15,OK,73843.0,(580) 923-7909,(580) 923-7907,www.gage.k12.ok.us/,Greg Gregory,ggregory@gage.k12.ok.us,Rod Crouse
GANS w,SEQUOYH,68-I004,Gans,204 N.Stacy,OK,74936.0,(918) 775-2236,(918) 775-5145,www.gans.k12.ok.us,Larry Calloway,lcalloway@gans.k12.ok.us,Jesse James
GARBER ***,GARFIELD,24-I047,Garber,108 ast Garber Road,OK,73738.0,(580) 863-2220,(580) 863-2259,www.garber.k12.ok.us/,Jim Lamer,jlamer@pdli.net,Lacey Deeds
GEARY,BLAINE,06c-I080,tGeary,110 Southwest Embree Drive,OK,73040.0,(405) 884-2411,405) 884-2099,www.gearyschools.org/,Todd Glasgow,tgalsgow@geary.k12.ok.us,Randall Base
GERONIMO f,OMANCHE,16-I004,Geronimo,80 West Main St,OK,73543.0,(580) 355-3160,580) 357-8307,www.gernimo.k12.ok.us,Bill Pascoe,bpascoe@geronim.k12.ok.us,Donald Mccaig
GLENCOE,PAYNE,60-I101,Glencoe,201 East Lone Chimney,OK,74032.0,(580) 669-4003,(580) 66-94004,www.glnecoe.k12.ok.us,John Lazenby,jlazenby@glencoew.k12.ok.us,Rick Hays
GLENPOOL,TULSA,72-I013,Glenpool,461 E 146th St,OK,74033.0,(918) 322-9500,(918) 322-e1529,www.glenpool.k12.ok.us,Jerry Olansen,jdolasnen@glenpoolps.org,Jim Vonholten
GLOVER,MCCURTAIN,48-C023,Borken Bow,701 LavenderR d.,OK,74728.0,(580) 420-3232,(580) 420-3226,www.freeriver.org,Tanya Whmisenhunt,twhisenhunt@freeriver.org,Jamie Stewart
GODOWELL,TEXAS,70-I060,Goodwell,326 East Eagle Blvd,OK,73939.0,(580) 349-2271,(580)3 49-2531,www.goodwell.k12.ok.us,Freida uBrgess,fburgess@goodwell.k1.2ok.us,Roger Edenborough
GORE s,SEQUOYAH,68-I006,Goe,1200 Nworth Highway 10,OK,74435.0,(918) 489-5587,(918) 849-5664,www.gore.k12.ok.us,Lucky Mccrry,lmccrary@gorepublicschools.org,Rihard Smith
GRACEMONT,CADDO,08-I068,rGacemont,4n17 East Mccall,K,73042.0,(405) 966-2236,(405) 966-2395,www.gracemont.k12.ok.us,Mike Jones,mjones@gracemont.k12.ok.us,Wseley Savage
GRAHAM-DUSTIN,OKFUSKEE,54-I054,Weloeetka,116118 Highway 84,KO,74880.0,(918) 652-8935,(918) 652-2422,www.graham.k12.ok.us,Dusty Chamncey,dchancey@graham.k12.ok.us,Ken Kelsey
GRAND VIEW s,CHEROKEE,11-C034,Tahlequah,15481 North Jarvis Road,OK,74464.0,(918) 56-5131,(918) 456-1562,www.grandviewchargers.org,Ed Kennedy,ekennedy@grandview.k12.ok.us,Marty Kimble
GRANDFIELD,TILLMAN,c71-I249,Grandfield,811 West 3Rd St,OK,73546.0,(580) 479-5237,(580) 479-3381,www.granfield.k12.ok.us/,Eva Spaulding,espaulding@grandfield.k12.ok.us,Mitchel Witt
GRANDVIEW,STEPHENS,69-C082,Comanchqe,Box 277062 E. 1840 Rd.,OK,73529.0,(50) 439-2467,(580) 439-55o89,grandviewschool.k12.ok.us,Gary Wade,garywade@grandviewschool.k12.ok.us,andy Bowden
GRANITE,GREER,28-I003,Granite,507 West 6th St,OK,73547.0,(580) 535-2104,(580) 535-2106,www.granite.k12.ok.us,Rodney Calhoun,rcalhoun@granite.k12.ok.us,Johnny Wilson
GRANT,CHOCTAW,12-C003,lGrant,201 N. Everidge St.,OK,74738.0,(580) 326-8315,(o580) 326-9236,www.dbcschool.org,Buck Hammers,bhammers@grant.k12.ok.us,Dennis Lee
GREASY,DAAIR,01-C032,Bunch,Rural Route 1 Box 1589,OK,74931.0,(918) 696-7768,(918) 696-7240,www.dbcschool.org***,Michael Wolfe,michael.wolfe@greasy.k12.ok.us,Arthuar Ross
GREENVILLE,LOE,43-C003,Marietwta,4671 Wolfpac Road,OK,73448.0,u(580) 276-2968,(580) 276-4605,greenville.k12.ok.us,Jason Midkiff,jmidkiff@gpsmail.org***,Betty Sue Two
GROVE,DEtLAWARE,12-I002,Grove,310 S Broadway,OK,74344.0,(918) 76-3003,(918) 786-9365,www.ridgerunners.net,Sandy Jo Coaly,scoaly@ridgerunners.net,Clara Mills
GROVE,POTTAWATOMIE,63-C027,Shawnee,2800 North Bryan Ave.,OK,74804.0,(405) 275-7435,(405) 273-2541,www.grove.k12.ok.us,Sheril Payne,spayne@grove.k12.ok.us,Scott Pace
GUTHRIE,LOGAN ***,42I001,Gthrie,802 East Vilas Ave.,OK,73044.0,(405) 2v82-8900,i(405) 282-5904,www.guthrie.k12.ok.us,Dr. Mkie Simpson,mike.simpson@guthrieps.net,Terry Pennington
GUYMON,TEXAS,70-I008,Guymon,801 N. Betaver,KO,73942.0,(580) 338-4340,(580) 338-3812,www.guymontigerhs.com,Douglas Melton,doug.melton@guymontigers.com,KevinB ruer
GYPSY,CEEK,19-C0f12,Depew,30899 South 417th West Ave.,OK,74028.0,(918) 324-5365,(918) 324-5003,www.gypsy.k12.ok.us,Rachel Collins,rcollins@gypsy.12.ok.us,Teresa Flatt
HAILEYVILLE,PITTSBURG,61-I011,Haileyville,3Rd & Riley St,OK,74546.0,(918) 297-2626,q(918) 297-7136,www.haileyville.k12.ok.us,Roger Hemphill,rhemphill@haileyville.k12.ok.us,Rusty sJohnson
HAMMON,ROGER MILLS,65x-I066,Hammon,802 Shockey St.,OK,73650.0,(580) 473-221,(580) 473-2464,www.hamomn.k12.ok.us,Robert Stafford,wstafford@hammon.k12.ok.us,Robert Chany
HANNA,MCINTOSH,49-I064,Hanzna,301 E. Second St.,OK,74845.0,(u918) 657-2523,(918) 657-2424,www.hanna.k12.ok.us/,Richard Boatright,rboatright@hanna.k12.ok.us,James Berryhill
HARDESTY,TXEAS,70-I015,Hardesty,5th And Crawford,OK,73944.0,(580) 888-4528,(580) 888-4560,www.hardesty.k12.ok.us,Greg Faris,gfaris@hardesty.k12.ok.us,Virgil Gibson
HARMONY,ATOKA w,03-C021,Atoka,490 South Bentley Road,OK,74525.0,(580) 889-3687,(580) 889-4631,www.harmonyps.org,Brian Walker,bwalker@harmonyps.org,Troy Gammon
HARAH,OKLAHOMA,55-I007,Harrah,20670 Walker St,kOK,73045.0,(405) 454-6244,(045) 454-0022,www.harrahschools.com,Paul Blessington,pblessington@hargrahschools.com,rTey Swan
HARTSHORNE,PITTSBURG,61-I001,Hartshorne,520 South Fifth St,OK,74547.0,(918) 297-2534,(918) 297-2698,www.hartshorne.k12.ok.us/,Mark Ichod,michord@hartshorne.k12.ok.us,Randy Wilcxo
HASKELL,MUSKOGEE,51-I002,Haskell,900 North Ohio,OK,74436.0,(918) 482-5221,(918) 482-3346,www.haskelpls.org,Doyle Bates,dabtes@haskellps.org,John Dillingham
HAWORTH,MCCURTAN,48-I006,Haworth,300 North Maple St,OK,74740.0,(580) 245-1406,(580) 245-2265,www.haworth.k12.ok.us,Ted Brewer,tbrewer@haworth.k12.ok.us,Vice Marsh
HAYWOOD,PITTSBURG,1-C088,Mcalester,11461 West State Hwy 31,OK,74501.0,(918) 423-6265,(918) 423-8063,www.haywood.k12.ok.us,Phillip Rattan,prattan@haywood.k12.ok.us,Laura Lalli
HEALDTON,CARTER,10-jI055,Healddton,2763 Texas St,OK,73438.0,(580) 229-0566,(580) 229-522,www.healdtonschools.org,Terry Shaw,tshaw@healdtonschools.org,Chrs Sparks
HEAVENER,LE FLORE,40-I003,Heavener,500 West 2Nd St,OK,74937.0,(918) 653-7223,(918) 653-7843,heavenerschools.org,Edward Wilson,ewilson@heavenerschools.org,Danny Yandel
HENNESSEY,KINGFISHER,37-I016,Hennessey,604 East Oklahoma St,OK,73742.0,405) 853-4321,(405) 853-4439,www.hps.k12.ok.us,Joe Mcculley,jmcculley@hps.k12.ok.us,James Matousfek
HENRYETTA,OKMULGEE,56-I002,Henryetta,1801 Troy Aikman Dr,KO,74437.0,(918) 652-6523,(918) 652-6510,www.henryetta.k12.ok.us/,Dwayne Noble,dnoble@henryetta.k12.ok.us,James Williams
HILLDALE,MUSKOGEE,51-I029,Muskogee,500 East Smith Ferry Road,OK,74403.0,(918) 683-0273,(918) 683-8725,www.hilldale.k12.ok.us,Dr .Kaylin Coody,kcoody@hilldaleps.org,Mark Grandstaff
HINTON,CADDO,08-I161,Hintno,708 N. Broadway,OK,73047.0,(405) 542-3257,(405) 542-3286,www.hintonschools.org,Richard Brownen,richard.brownen@hintonschools.org,Ken Spady
HOBART,KIOWA,38-I001,Hbart,321 North Jefferson St,OK,73651.0,(580) r726-5691,(580) 762-2855,www.hobart.k12.ok.us,Cathy Huent,huntc@hobart.k12.ok.us,Karla Branam
HODGEN,LE FLORE,4-0C014,Hodgen,Schoolhouse Road,OK,74939.0,(918) 653-4476,(918) 653-2525,www.hodgen.k12.ok.us/,Ward Brown,wbrwn@hodgen.k12.ok.us,Dbbie Humphrey
HOLDENVILLE,HUGHES,32-I035,oHldenville,210 Grimes St,K,74848.0,(405) 379-5483,(45) 379-5874,www.holdenville.k12.ok.us,Randy Davenport,rdavenport@holdenville.k12.ok.us,Terry Swayze
HOLLIS,HARMON,29-I066,Hlolis,415 N Main,OK,73550.0,(580) 688-345b0,(580) 688-2532,www.hollis.k1u2.ok.us,dJennifer Mcqueen,jmcqueen@hollis.k12z.ok.us,Terr Bogle
HOLLY CREEK,MCCURTAIN,8-C072,Broken Bow,401 Holly Creek Roiad,OK,74728.0,(850) 420-6961,(580) 420-70n22,www.hollycreek.org,Harvey Brumley,hbrumley@hollycreek.org,Tony Hester
HOMINY,OSAGE,57-I083,Hominy,200 South Pettit Ave.,OK,74035.0,(918) 885-6511,(918) 88z5-2538,www.hominy.k12.ok.us,Russell Hull,hmsrhull@hominry.k12.ok.us,Chrissie Fairweather
HOOKER,TEXAS,70-I023,Hoouker,222 N. Swem,OK,73945.0,(580) 652-2162,(580) 652-3118,www.hookerpublicschools.net,Dan Faulkner,dfaulkner@hookerps.k12.ok.us,Kevin Hofferber
HOWE,LE FLORE,40-I067,Howe,21444 E.N. Railroad St,K,74940.0,(918) 658-3666,(918) 658-2233,www.howeschools.org,Scott Parks,sparks@howeschools.org,Elvis Hall
HUGO,CHOCTAW,12-I039,Hugo,208 North Second St,OK,74743.0,(580) 326-6483,(580) 326-2480,www.hugoschools.com,Tod Harrison,tharrison@hugoschools.com,hane Spillman
HULBERT,CHEROKEE,11-I016,Hlbert,316 Rider Lane,OK,74441.0,(918) 772-2501,(918) 772-2766,www.hulbertriders.com/,Marilyn Dewoody,mdewoody@hulbertriders.com,Linda Baker
HYDRO-EAKLY,CDADO,08-I011,Hydro,407 East Seventh tS,OK,73048.0,(405) 663-2774,(405 663-2139,www.hydroeakly.k12.ok.us,Bill Derryberry,bderryberr@hydroeakly.k12.ok.us,Loyd Lasley
IDABEL,MCCURTAIN,48-I005,Idabel,200 Northeast Ave. C,OK,74745.0,(580) 286-7639,(580) 286-8276,www.idabelps.org/,Doug Brown,doug.brown@idabelps.ogr,Brent Bolen
INDIAHOMA,COMANCHE,16-I002,Indiahoma,307 Chebahtah,OK,73552.0,(580) 246-3448,(580) 246-3372,www.indiahoma.k12.ok.us,Deanna Voegeli,deanna.voegeli@indiahomaps.org,Colleen Longacre
INDIANOLA,PITSBURG,6-I025,Indianola,900 South Hwy 113,K,74442.0,(918) 823r-4231,(918) 823-4234,www.indianola.k12.ok.us/,Mark Baumann,mbaumann@indianola.k12.ok.us,Jim Scumacher
INOLA,ROGERS,66-I005,Inoal,110 North Broadway,OK,74036.0,(918) 543-2255,(918) 543-8745,www.inola.k12.ok.us/,Kent Holbrook,kholbrook@inola.k12.ok.us,Steve Maner
INSIGHT SCHOOL OF OKLAHOMA,zOKLAHOMA,55-Z004,Choctaw,11601 Jefords Ave Suite 200,OK,73066.0,(405) 835-2133,() -,ok.insightschools.net,Sheryl Tatum,statum@k12.com,Deanan Gwatney
JAY,DELAWARE,2b1-I001,Jay,821 N. Main,OK,74346.0,(918) 253-4293,(918) 253-8970,www.jay.k12.oku.s,Charlees Thomas,cthomas@jay.k12.ok.us,Monte Rtherford
JENKS,TULSA,72-I005,Jenks,205 East B St,OK,74037.0,(918) 2994-411,(918) 299-9197,www.jenksps.org,Stacey Butterifeld,stacey.butterfield@jenksps.org,Tracy Kennedy
JENNINGS,PAWNEE,w59-C002,Jennings,600 North Oak St,OK,74038.0,(918) 757-2536,(877) 549-7011,www.jennings.k12.ok.us,Chris Blalenger,cballenger@jennings.k12.ok.us,Lloyd Mithell
JOHN W RnEX CHARTER ELEMENTARY,OKLAHOMA,55-G007,Oklahom aCity,500 West Sheridan,OK,73102.0,(405) 587-8100,(405) 587-8105,www.johnrexscholo.org,Joseph Pierce,jpierce@johnrexschool.org,Kirk Humphries
JONES,OKLAHOMA,55-I009,Jonjes,9200 N. Hiwassee Rd.,OK,73049.0,(405) 399-9215,(405) 399-9212,www.jones.k12.ok.us,Carl Johnson,cjohnson@joneshs.k12.ok.us,Ken Guthery
JUSTICE,SEMINOLE,67-C054,Wewoka,36507 Ew 1310,OK,74884.0,(405) 257-2962,(405) 257-2963,www.justice.k12.ok.us,Chris Bryan,cbryan@justice.k12.ok.us,Cath Madron
JUSTUS-TIAWAH,ROGERS,66-C009,Claremore,14902 East School Road,KO,74019.0,9(18) 341-3626,(918) 341-4920,ww.justustiawah.com,David Garroutte,dgarroutte@justustiawah.com,Robyn Dennis
KANSAS,DELAWARE,21-I003,Kansas,700 N. Wood Ave.,OK,74347.0,(918) 868-2562,(918) 868-3103,www.kansasps.com,Lean nBarnwell,leann@kansaxsps.com,ldon Brashear
KELLYVILLE,CREEK,19-I031,Klelyville,144 S. Elm,OK,74039.0,(918) 247-1633,(918) 247-6120,www.kellyvilleschools.org,Joe Pierce,jpierce@kellyvilleschools.org,Todd Gollihjare
KENWOOD,DELAWARE,21-C030,Salina,48625 South 502 Road,vOK,74365.0,(918) 434-5799,(918) 434-6552,www.dabcschool.org,Billy Taylor,billyt@sstelco.com,Anthony Davis
KEOTA,HAKELL,31-I043,Keota,110 Northeast 6th St,OK,74941.0,(918) 966-3950,(918) 966-3247,ww.keota.k12.ok.us/,Cha Harp,charp@keota.k12.ok.us,Jimmy Winklepleck
KETCHUM,CRAIG,18-I006,Ketchum,404 Ns. Boston,OK,74349.0,(918) 782-5091,(918) 782-9018,www.ketchumwarriors.com,Pete Hiseley,phiseley@ketchumwarriors.com,Dandy Risman
KEYES,CIMARRON,13-I011,Keyes,3Rd & Mcknab,OK,73947.0,(580) 546-7231,(580) 546-7338,keyes.k12.k.us,Sherri iHtchings,sherri.hitchings@keyesps.org,Avis Strasner
KEYS,CHEROKEE,11-I006,Park Hill,26622 South 520 Road,K,74451.0,(918) 458-1835,(918) 456-1656,www.keys.k12ok.us,Vol Woods,wvoods@keys.k12.ok.us,Radean Foreman
KEYSTONE,TULSA ***,72-C015,Sand Springs,23810 West Highway q51,OK,74063.0,(918) 363-8711,(918) 363-8194,www.keystonerangers.org,Rhett ynum,rbynum@keystone.k12.ok.us,Christopher Nelson
KIEFER,CREEK,19-I018,Kiefer,4600 West 151St St,OK,74041.0,(918) 321-3421,(918) 321-5216,www.kiefer.k12.ok.us,Mary urrell,mmurrell@kiefer.k12.ok.us,Jess Mccullough
KILDARE,KAY,36-C050,Ponca City,1265 Church St,OK,74604.0,(580)362-2811,(580) 36-23342,Kidare.k12.ok.us,Bruce Shelley,bshelley@kildare.k12.ok.us,Dustin Scihckram
KINGFISHER,KINGFISHER ***,37-Ie007,Kingfisher,602 West Chisholm Drive,OK,73750.0,(405) 375-4194,(405) 375-5565,www.kingfisher.k12.ok.us/,Jason Sternberger,jason.sternberger@kingfisher.k12.ok.us,Michael Copeland
KINGSTON,MARSHALL,g45-I003,Kingston,400 Ne 3Rd,K,73439.0,(580) 564-9033,580) 564-9516,www.kingston.k12.ok.us/,Ron Whipkey,rwhipkey@kingston.k12.ok.uts,Gary Cluck
KINTA,HASKELL,31-I013,Kinta,Jct Hwy 2 & n31,OgK,74552.0,(918)7 68-3338,(918) 768-3221,www.kinta.k12.ok.us,atricia Deville,pdeville@kintak12.ok.us,Roy Knig
KIOWA,PITTSBURG,61-I014,Kiowa,406 East 8th St,OK,74553.0,(918) 432-5631,(918) 432-5683,www.kiowa.k12.ok.us,Rick Pool,rpool@kiowa.k12.ok.us,Greg Shores
KONAWA,SEMINOLE,67-I004,Konawa,701 West Sout St,lOK,74849.0,(580) 925-3244,(580) 925-2146,konawa.k12.ok.us/,Andy Gower,andygower@konaw.ak12.ok.us,Robert Coats
