AGENCY CODE,STATE AGENCY,PROPERTY CLASSIFICATION,TYPE OF PROPERTY,NAME OF BUILDING,PHYSICAL ADDRESS,CITY,COUNTY,YEAR PROPERTY ACQUIRED,PURPOSE,SECTIONTOWNSHIPRANGE,SIZE OF STRUCTURE AND/OR ACRES,LIST VALUE,% OF PROPERTY BEING UTILIZED,YEAR BUILT,OCCUPANCY RATE OF THE BUILDING,STATE EMPLOYEES AT THIS BUILDING,% OCCUPIED BY THE STATE,ADDITIONAL DESCRIPTION OF % OCCUPIED BY THE STATE,% OF THE BUILDING BEING LEASED OR SUBLEASED,ADDITIONAL DESCRIPTION % BUILDING LEASED OR SUBLEASED,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY",ACRES,ACRES USED BY STATE,ADDITIONAL DESCRIPTION OF ACRES ,PURPOSE- LAND,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY-LAND",% OF ACRES OF THE LAND BEING LEASED OR SUBLEASED,STATE,Location 1
830,HUMAN SERVICES DEPARTMENT,OWNED, RESIDENT HOUSING ,"SORC, KERR COTTAGE",300 HOPE AVE,PAULS VALLEY,GARVIN,01/01/1951 12:00:00 AM, VACANT ,," 19,502.6 SF   1,032 ACRES",,0,01/01/1951 12:00:00 AM,0,TOTAL SORC FTE 262,0,,,,,,,,,,,OK,"300 HOPE AVE
PAULS VALLEY, ok
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, CLASSROOMS ,"SORC, MURRAY HALL ",101 PROMISE AVE,PAULS VALLEY,GARVIN,01/01/1931 12:00:00 AM, VACANT ,," 12,730.4 SF   1,032 ACRES",,0,01/01/1931 12:00:00 AM,0,TOTAL SORC FTE 262,0,,,,,,,,,,,OK,"101 PROMISE AVE
PAULS VALLEY, ok
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, EDUCATION ,"SORC, HILLTOP SCHOOL ",800 INDEPENDENCE,PAULS VALLEY,GARVIN,01/01/1968 12:00:00 AM,VACANT,," 20,726.4 SF   1,032 ACRES",,0,01/01/1968 12:00:00 AM,0,TOTAL SORC FTE 262,100,,,,,,,,,,,OK,"800 INDEPENDENCE
PAULS VALLEY, ok
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, EDUCATION ,"SORC, VOCATIONAL BLDG ",900 INDEPENDENCE,PAULS VALLEY,GARVIN,01/01/1974 12:00:00 AM,VACANT,," 13,612.8 SF   1,032 ACRES",,0,01/01/1974 12:00:00 AM,0,TOTAL SORC FTE 262,100,,,,,,,,,,,OK,"900 INDEPENDENCE
PAULS VALLEY, ok
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, RECREATION ,"SORC, MULTI-PURPOSE ACTIVITY BLDG (GYM & POOL)",700 INDEPENDENCE,PAULS VALLEY,GARVIN,01/01/1971 12:00:00 AM,VACANT,," 27,544.5 SF   1,032 ACRES",,0,01/01/1971 12:00:00 AM,0,TOTAL SORC FTE 262,100,,,,,,,,,,,OK,"700 INDEPENDENCE
PAULS VALLEY, ok
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED,OFFICE BUILDING,LAURA DESTER CENTER (LDC),649 S QUINCY,TULSA,TULSA,01/01/1945 12:00:00 AM, VACANT ,SECTION 6 TOWNSHIP 19N RANGE 13E," 10,386.9 SF   4.81 ACRES",,0,01/01/1945 12:00:00 AM,0,0,0,,,,,,,,,,,OK,"649 S QUINCY
TULSA, ok
(36.15128810300007, -95.97329475099997)"
830,HUMAN SERVICES DEPARTMENT,OWNED, CHILDREN'S SHELTER ,LAURA DESTER CENTER (LDC),1415 EAST 8TH,TULSA,TULSA,01/01/1945 12:00:00 AM, VACANT ,SECTION 6 TOWNSHIP 19N RANGE 13E," 10,677.5 SF   4.81 ACRES",,0,01/01/1945 12:00:00 AM,0,0,0,,,,,,,,,,,OK,"1415 EAST 8TH
TULSA, ok
(36.150225360000036, -95.97308823099996)"
830,HUMAN SERVICES DEPARTMENT,OWNED, CHILDREN'S SHELTER ,LAURA DESTER CENTER (LDC),720 S ROCKFORD,TULSA,TULSA,01/01/1945 12:00:00 AM, VACANT ,SECTION 6 TOWNSHIP 19N RANGE 13E," 8,305.8 SF   4.81 ACRES",,0,01/01/1945 12:00:00 AM,0,0,0,,,,,,,,,,,OK,"720 S ROCKFORD
TULSA, ok
(36.15117720500007, -95.97172306099998)"
830,HUMAN SERVICES DEPARTMENT,OWNED, CHILDREN'S SHELTER ,LAURA DESTER CENTER (LDC),645 S QUINCY,TULSA,TULSA,01/01/1980 12:00:00 AM, VACANT ,SECTION 6 TOWNSHIP 19N RANGE 13E," 3,386.2 SF   4.81 ACRES",,0,01/01/1945 12:00:00 AM,0,0,0,,,,,,,,,,,OK,"645 S QUINCY
TULSA, ok
(36.15131471300003, -95.97329475099997)"
830,HUMAN SERVICES DEPARTMENT,OWNED, LAND  ,,SE 6TH STREET,BUFFALO,HARPER,01/01/2003 12:00:00 AM,VACANT LAND,,,,0,,,,,,,,,0.7,0,,VACANT LAND,,0,OK,"SE 6TH STREET
BUFFALO, ok
(36.83288742000008, -99.62275674699998)"
420,LANGSTON UNIVERSITY,OWNED,STORAGE BUILDING,BROWN HALL,1238 NE SUCCESS AVE,LANGSTON,LOGAN,01/01/1965 12:00:00 AM,STORAGE,"SECTION 12,13
TOWNSHIP 17N
RANGE 1W","17,948 SF",$11653600.00,35,01/01/1965 12:00:00 AM,0,,0,,,,WEEKLY,,,,,,,OK,"1238 NE SUCCESS AVE
LANGSTON, ok
(35.94702755000003, -97.25903768799998)"
420,LANGSTON UNIVERSITY,OWNED,DAY CARE BUILDING,BREAUX,1239 NE SUCCESS AVE,LANGSTON,LOGAN,01/01/1968 12:00:00 AM,DAY CARE,"SECTION 12,13
TOWNSHIP 17N
RANGE 1W","58,268 SF",$3031200.00,25,01/01/1968 12:00:00 AM,25,5,100,,,,DAILY,,,,,,,OK,"1239 NE SUCCESS AVE
LANGSTON, ok
(35.94702755000003, -97.25903768799998)"
420,LANGSTON UNIVERSITY,OWNED,HOUSE,OLD PRESIDENT HOUSE,701 SAMMY DAVIS DRIVE,LANGSTON,LOGAN,01/01/1969 12:00:00 AM,RESIDENT,"SECTION 12,13
TOWNSHIP 17N
RANGE 1W","4,000 SF",$800000.00,20,01/01/1969 12:00:00 AM,0,  ,0,,,,WEEKLY - STORAGE,,,,,,,OK,"701 SAMMY DAVIS DRIVE
LANGSTON, ok
(35.94574260600007, -97.25502611099995)"
420,LANGSTON UNIVERSITY,OWNED,LAND,,OLD HWY 33,LANGSTON,LOGAN,01/01/2013 12:00:00 AM,LAND,SECTION 13 TOWNSHIP 17N RANGE 1W,,$7500.00,0,,,,,,,,,0.661,0.661,,,,,OK,"OLD HWY 33
LANGSTON, ok
(35.94636284500007, -97.29166457599996)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,OFFICE BUILDING,GRIFFIN MEMORIAL HOSPITAL- HOPE HALL,,NORMAN,CLEVELAND,01/01/1930 12:00:00 AM,OFFICE SPACE,"NE/4 OF SECTION 29, T9N, R2W","100,000 SF",,10,01/01/1930 12:00:00 AM,0,0,10,STORAGE,,,,,,,,,,OK,"NORMAN, ok
(35.22076171300006, -97.44659768699995)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,LAND,WARR ACRES LAND,5903 NW 52ND STREET,WARR ACRES,OKLAHOMA,,VACANT LAND,"PORTION OF BLK 2, SE 1/4, SE 1/4 OF SECTION 9, T12N, R4W",,,0,,,,,,,,,0.9366,0,,VACANT LAND,,,OK,"5903 NW 52ND STREET
WARR ACRES, ok
(35.52415762000004, -97.62024048699999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,LAND,FORMER COUNTRY MANOR,NO PHYSICAL ADDRESS TO MAP,TULSA,TULSA,,VACANT LAND NEAR TULSA WOMEN AND CHILDREN'S CENTER,"N/2, NW/4, SECTION 20, T20N, R13E",,,0,,,,,,,,,5.29,0,,VACANT LAND,,,OK,"NO PHYSICAL ADDRESS TO MAP
TULSA, ok
(36.14974003800006, -95.99332826799997)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,LAUNDRY/WAREHOUSE,GRIFFIN MEMORIAL HOSPITAL,"900 EAST MAIN STREET, BLDG 33",NORMAN,CLEVELAND,01/01/1950 12:00:00 AM,LAUNDRY - WAREHOUSE,"NE/4 OF SECTION 29, T9N, R2W","17,792 SF",,0,01/01/1950 12:00:00 AM,0,0,0,,,,WEEKLY,,,,,,,OK,"900 EAST MAIN STREET, BLDG 33
NORMAN, ok
(35.218383509000034, -97.45518072599998)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,OFFICE BUILDING,GRIFFIN MEMORIAL HOSPITAL,"900 EAST MAIN STREET, BLDG 40",NORMAN,CLEVELAND,01/01/1972 12:00:00 AM,VACANT OFFICE- DAMAGED IN STORM-CURRENTLY UNDER RENOVATIONS,"NE/4 OF SECTION 29, T9N, R2W","25,102 SF",,0,01/01/1972 12:00:00 AM,0,0,0,,,,,,,,,,,OK,"900 EAST MAIN STREET, BLDG 40
NORMAN, ok
(35.218383509000034, -97.45518072599998)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,CHAPEL,GRIFFIN MEMORIAL HOSPITAL,"900 EAST MAIN STREET, BLDG 30",NORMAN,CLEVELAND,01/01/1936 12:00:00 AM,CHAPEL,"NE/4 OF SECTION 29, T9N, R2W","19,500 SF",,0,01/01/1936 12:00:00 AM,0,0,100,,,,,,,,,,,OK,"900 EAST MAIN STREET, BLDG 30
NORMAN, ok
(35.218383509000034, -97.45518072599998)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,RESIDENTIAL/OFFICE,GRIFFIN MEMORIAL HOSPITAL -WHITE HOUSE,900 EAST MAIN STREET,NORMAN,CLEVELAND,01/01/1930 12:00:00 AM,RESIDENCE/OFFICE,"NE/4 OF SECTION 29, T9N, R2W","1,850 SF",,0,01/01/1930 12:00:00 AM,100,0,100,,,,,,,,,,,OK,"900 EAST MAIN STREET
NORMAN, ok
(35.218383509000034, -97.45518072599998)"
453,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,LAND,GRIFFIN MEMORIAL HOSPITAL LAND,900 EAST MAIN STREET,NORMAN,CLEVELAND,,VACANT LAND,,,,0,,,,,,,,,50,,,VACANT LAND,,,OK,"900 EAST MAIN STREET
NORMAN, ok
(35.218383509000034, -97.45518072599998)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPITAL  - HAYS TREATMENT CENTER,24800 S. 4420 ROAD,VINITA,CRAIG,01/01/1953 12:00:00 AM,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","28,574 SF",,0,01/01/1953 12:00:00 AM,0,0,0,,,,,,,,,,,OK,"24800 S. 4420 ROAD
VINITA, ok
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPITAL 7 BLDG,24800 S. 4420 ROAD,VINITA,CRAIG,01/01/1930 12:00:00 AM,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","38,238 SF",,0,01/01/1930 12:00:00 AM,0,0,0,,,,,,,,,,,OK,"24800 S. 4420 ROAD
VINITA, ok
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPITAL - BLDG 8,24800 S. 4420 ROAD,VINITA,CRAIG,01/01/1945 12:00:00 AM,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","38,238 SF",,0,01/01/1945 12:00:00 AM,0,0,0,,,,,,,,,,,OK,"24800 S. 4420 ROAD
VINITA, ok
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - ADAMS HALL,24800 S. 4420 ROAD,VINITA,CRAIG,01/01/1951 12:00:00 AM,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","51,445 SF",,0,01/01/1951 12:00:00 AM,0,0,0,,,,,,,,,,,OK,"24800 S. 4420 ROAD
VINITA, ok
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - BLDG 9,24800 S. 4420 ROAD,VINITA,CRAIG,01/01/1952 12:00:00 AM,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","40,078 SF",,0,01/01/1952 12:00:00 AM,0,0,0,,,,,,,,,,,OK,"24800 S. 4420 ROAD
VINITA, ok
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - BLDG 10,24800 S. 4420 ROAD,VINITA,CRAIG,01/01/1943 12:00:00 AM,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","58,775 SF",,0,01/01/1943 12:00:00 AM,0,0,0,,,,,,,,,,,OK,"24800 S. 4420 ROAD
VINITA, ok
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - CENTRAL KITCHEN,24800 S. 4420 ROAD,VINITA,CRAIG,01/01/1955 12:00:00 AM,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","39,407 SF",,0,01/01/1955 12:00:00 AM,0,0,0,,,,,,,,,,,OK,"24800 S. 4420 ROAD
VINITA, ok
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - LAUNDRY,24800 S. 4420 ROAD,VINITA,CRAIG,01/01/1935 12:00:00 AM,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","13,142 SF",,0,01/01/1935 12:00:00 AM,0,,0,,,,,,,,,,,OK,"24800 S. 4420 ROAD
VINITA, ok
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - MAINTENANCE STOREROOM,24800 S. 4420 ROAD,VINITA,CRAIG,01/01/1925 12:00:00 AM,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","5,000 SF",,0,01/01/1925 12:00:00 AM,0,,0,,,,,,,,,,,OK,"24800 S. 4420 ROAD
VINITA, ok
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - ADMINISTRATION,24800 S. 4420 ROAD,VINITA,CRAIG,01/01/1949 12:00:00 AM,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","17,594 SF",,0,01/01/1949 12:00:00 AM,0,,0,,,,,,,,,,,OK,"24800 S. 4420 ROAD
VINITA, ok
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - BLDG 12,24800 S. 4420 ROAD,VINITA,CRAIG,01/01/1951 12:00:00 AM,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","22,366 SF",,0,01/01/1951 12:00:00 AM,0,,,,,,,,,,,,,OK,"24800 S. 4420 ROAD
VINITA, ok
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - COTTAGE 2,24800 S. 4420 ROAD,VINITA,CRAIG,01/01/1923 12:00:00 AM,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","2,271 SF",,0,01/01/1923 12:00:00 AM,0,0,,,,,,,,,,,,OK,"24800 S. 4420 ROAD
VINITA, ok
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - COTTAGE 3,24800 S. 4420 ROAD,VINITA,CRAIG,01/01/1937 12:00:00 AM,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","2,520 SF",,0,01/01/1937 12:00:00 AM,0,0,,,,,,,,,,,,OK,"24800 S. 4420 ROAD
VINITA, ok
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - COTTAGE 4,24800 S. 4420 ROAD,VINITA,CRAIG,01/01/1925 12:00:00 AM,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","2,271 SF",,0,01/01/1925 12:00:00 AM,0,0,,,,,,,,,,,,OK,"24800 S. 4420 ROAD
VINITA, ok
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - COTTAGE 5,24800 S. 4420 ROAD,VINITA,CRAIG,01/01/1926 12:00:00 AM,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","2,264 SF",,0,01/01/1926 12:00:00 AM,0,0,,,,,,,,,,,,OK,"24800 S. 4420 ROAD
VINITA, ok
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - COTTAGE 6,24800 S. 4420 ROAD,VINITA,CRAIG,01/01/1933 12:00:00 AM,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","3,729 SF",,0,01/01/1933 12:00:00 AM,0,0,,,,,,,,,,,,OK,"24800 S. 4420 ROAD
VINITA, ok
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - OCCUPATIONAL THERAPY,24800 S. 4420 ROAD,VINITA,CRAIG,01/01/1952 12:00:00 AM,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","10,110 SF",,0,01/01/1952 12:00:00 AM,0,0,,,,,,,,,,,,OK,"24800 S. 4420 ROAD
VINITA, ok
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - MAINTENANCE OFFICE,24800 S. 4420 ROAD,VINITA,CRAIG,01/01/1938 12:00:00 AM,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","6,400 SF",,0,01/01/1938 12:00:00 AM,100,0,,,,,,,,,,,,OK,"24800 S. 4420 ROAD
VINITA, ok
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT CLINIC/OFFICE,NORTHWEST CENTER FOR BEHAVORIAL HEALTH - BLDG 14,"1 MILE EAST, HIGHWAY 270",FT. SUPPLY,WOODWARD,01/01/1952 12:00:00 AM,VACANT OFFICE/INPATIENT CLINIC,"EAST OF THE 1/4 SECTION COMMON TO SECTIONS 8 & 9, T24N, R22W","22,273 SF",,0,,0,,0,,,,CONDEMMED,,,,,,,OK,"1 MILE EAST, HIGHWAY 270
FT. SUPPLY, ok
(36.57371290800006, -99.57131678999997)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,LAND,NORTHWEST CENTER FOR BEHAVORIAL HEALTH ,NO PHYSICAL ADDRESS TO MAP,FT. SUPPLY,WOODWARD,01/01/2010 12:00:00 AM,VACANT LAND,"S/2 OF LOTS 9, 10, 11, 12, BLOCK 20, VAUGHN'S ADDITION",,,0,,,,,,,,,0.5,0,,VACANT LAND,,,OK,"NO PHYSICAL ADDRESS TO MAP
FT. SUPPLY, ok
(36.57371290800006, -99.57131678999997)"
,MIDWESTERN OKLAHOMA DEVELOPMENT AUTHORITY,OWNED,LAND,,PIONEER WAY,BURNS FLAT,WASHITA,01/01/1991 12:00:00 AM,UNDEVELOPED,SECTION 11 TOWNSHIP 10N RANGE 19W,,$500.00,0,,,,,,,,,4.022,0,,UNDEVELOPED,,,OK,"PIONEER WAY
BURNS FLAT, ok
(35.357061688000044, -99.17675618299995)"
470,MURRAY STATE COLLEGE,OWNED,DORMITORY,POE HALL,802 S MURRAY CAMPUS,TISHOMINGO,JOHNSTON,01/01/1908 12:00:00 AM,VACANT,"SECTION 9
TOWNSHIP 4S
RANGE 6 E","11,976 SF",$548920.00,0,01/01/1917 12:00:00 AM,0,0,,,,,,,,,,,,OK,"802 S MURRAY CAMPUS
TISHOMINGO, ok
(34.223337376000075, -96.67654988999999)"
470,MURRAY STATE COLLEGE,OWNED,RENTAL HOUSE,HOUSE,406 S MURRAY,TISHOMINGO,JOHNSTON,01/01/2013 12:00:00 AM,RENTAL HOUSE,"LOTS 1,2,3, AND 4 IN BLOCK 17 MURRAY COLLEGE ADDITION","1,080 SF",$28000.00,0,01/01/1955 12:00:00 AM,0,0,0,,,COLLEGE IS SELLING PROPERTY,,,,,,,,OK,"406 S MURRAY
TISHOMINGO, ok
(34.22988384000007, -96.67764177499998)"
470,MURRAY STATE COLLEGE,OWNED,RENTAL HOUSE,HOUSE,108 E 18TH,TISHOMINGO,JOHNSTON,01/01/2013 12:00:00 AM,RENTAL HOUSE,"LOTS 27,28 IN BLOCK 18 MURRAY COLLEGE ADDITION","1,150 SF",$28000.00,0,01/01/1955 12:00:00 AM,0,0,0,,,COLLEGE IS SELLING PROPERTY,,,,,,,,OK,"108 E 18TH
TISHOMINGO, ok
(34.229973452000024, -96.67948073999997)"
480,NORTHEASTERN OKLAHOMA A&M COLLEGE,OWNED,EDUCATION BUILDING,CINCH FACTORY,820 N. WILSON,VINITA,CRAIG,01/01/2013 12:00:00 AM,,15-25N-20E,"87,252 SQ. FT.",$5100000.00,0,01/01/1975 12:00:00 AM,0,0,0,,,,DAILY,,,,,,,OK,"820 N. WILSON
VINITA, ok
(36.65200815600008, -95.14675285199996)"
485,NORTHEASTERN STATE UNIVERSITY,OWNED,RESIDENTIAL,ZOE DAVIS HOUSE,314 GOINGSNAKE,TAHLEQUAH,CHEROKEE,01/01/1995 12:00:00 AM,VACANT RESIDENTIAL,"SECTION 28
TOWNSHIP 17N
RANGE 22E","2,211 SF",$110550.00,0,01/01/1930 12:00:00 AM,0,  ,0,,,,,,,,,,,OK,"314 GOINGSNAKE
TAHLEQUAH, ok
(35.917475687000035, -94.96579278799999)"
485,NORTHEASTERN STATE UNIVERSITY,OWNED,RESIDENTIAL,ROSAMUND HOUSE,529 SEMINARY,TAHLEQUAH,CHEROKEE,01/01/1984 12:00:00 AM,VACANT RESIDENTIAL,"SECTION 28
TOWNSHIP 17N
RANGE 22E","3,000 SF",$318000.00,0,01/01/1887 12:00:00 AM,0,  ,0,,,,,,,,,,,OK,"529 SEMINARY
TAHLEQUAH, ok
(35.91901694400008, -94.97053388499995)"
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #1,,629 NE 28TH,OKLAHOMA CITY,OKLAHOMA,01/01/2010 12:00:00 AM,LAND BEHIND BANKING BUILDING,"SECTION 22, 12N, 3W",.1492 ACRES,,0,,,,,,,,,0.1492,,,LAND FOR BANKING BUILDING,,,OK,"629 NE 28TH
OKLAHOMA CITY, ok
(35.498678365000046, -97.50189077399995)"
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #2,,3000 LINCOLN ,OKLAHOMA CITY,OKLAHOMA,01/01/2010 12:00:00 AM,LINCOLN RENAISSANCE  ,"SECTION 22, T12N, 3W",1.3618  (5 PARCELS) ,,0,,,,,,,,,1.3618,,5 PARCELS ,LINCOLN RENAISSANCE,,,OK,"3000 LINCOLN
OKLAHOMA CITY, ok
(35.52055480200005, -97.47618449299995)"
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #3,,NE 30TH AND N LINCOLN BLVD,OKLAHOMA CITY,OKLAHOMA,01/01/2001 12:00:00 AM,VACANT LAND,"SECTION  22
TOWNSHIP  12N
RANGE  3W",5.879 (8 PARCELS),,0,,,,,,,,,5.879,,8 PARCELS,LINCOLN RENAISSANCE,,,OK,"NE 30TH AND N LINCOLN BLVD
OKLAHOMA CITY, ok
(35.500462732000074, -97.50340870999997)"
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #4,,3312 N LINCOLN,OKLAHOMA CITY,OKLAHOMA,01/01/2000 12:00:00 AM,VACANT LAND,"SECTION 22, T12N, 3W",1.673 (2 PARCELS),,0,,,,,,,,,1.673,,2 PARCELS,LINCOLN RENAISSANCE,,,OK,"3312 N LINCOLN
OKLAHOMA CITY, ok
(35.502630692000025, -97.50313639099994)"
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #5,,EUBANKS AND LINCOLN,OKLAHOMA CITY,OKLAHOMA,01/01/2001 12:00:00 AM,VACANT LAND,"SECTION 22, T12N, 3W",0.2074 ACRES,,0,,,,,,,,,0.2074,,,LINCOLN RENAISSANCE,,,OK,"EUBANKS AND LINCOLN
OKLAHOMA CITY, ok
(35.472030747000076, -97.52106835299998)"
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #6,,3748 N LINCOLN,OKLAHOMA CITY,OKLAHOMA,01/01/2000 12:00:00 AM,VACANT LAND,"SECTION 15, T12N, 3W",7.92 (2 PARCELS),,0,,,,,,,,,7.92,,2 PARCELS,LINCOLN RENAISSANCE,,,OK,"3748 N LINCOLN
OKLAHOMA CITY, ok
(35.50869054200007, -97.50309721299999)"
