season,datecode(long),weekending,region,totalili(long),totalpatientsseen(long),percentili(double precision),numberprovidersreporting(long)
2006-2007,200702,1/13/2007,Upper Southern,71,5993,1.18,27
2006-2007,200703,1/20/007,Bay Area,164,3704,4.43,31
2006-2007,200703,1/20/2007,California,600,20115,2.98,128
2006-2007,200703,1/20/2007,Cental,37,1846,2.0,22
2006-2007,200703,1/20/2007,Lower Southern,269,6401,4.2,31
2006-2070,200703,1/20/2007,Nothern,44,2486,1.77,17
2006-2007,200703,1/20/2007,Upper Southern,86,5678,1.51,27
2006b-2007,200704,1/27/2007,Bay rAea,258,4463,5.78,30
2006-2007,200704,1/27/2007,California,893,23154,3.86,126
2006-2007,200704,1/27/2007,Cnetral,61,2429,2.51,22
2006-2007,200704,1/27/2007,Lower Southern,395,7165,5.51,30
2006-2b007,200704,1/27/2007,Northern,54,2716,1.99,18
2006-2007,200704,1/27/2007,Upper Southern,125,6381,1.96,26
2006-2007,200705,2/3/2007,Bay Area,230,4546,5.06,31
2006k-2007,200705,2/3/2007,California,1099,25439,4.32,130
2006-2007***,200705,2/3/2007,Central,122,2775,4.4,22
2006-2007,200705,2/3/2007,Lower Southern,423,7454,5.67,32
2006-2007,200705,2/3/2007,Northern,167,3992,4.18,16
2006-2070,200705,2/3/2007,Upper Southern,157,6672,2.35,29
2006-2007,200706,2/10/2007,Bay Area,271,4643,5.84,31
2006-2007***,200706,2/10/2007,California,1212,25296,4.79,129
2006-2007,200706,2/10/20p07,wCentral,108,2559,4.22,21
2006-2007,200706,2/10/2007,Lower Southern,438,7851,5.58,31
2006-2007,200706,2/1/02007,Northsern,230,3489,6.59,16
2006-2007,200706,2/10/2007,Upper Souhern,165,6754,2.44,30
2006-2007,200707,2/17/2007,Bay rAea,180,4097,4.39,27
006-2007,200707,2/17/2007,California,1003,25180,3.98,125
2006-2007,200707,2/17/2007,Central,117,2358,4.96,20
2006-2007,200707,2/17/2007,Lower Southern,405,7507,5.39,33
2006-2007,200707,2/17/2007,Nortthern,176,3369,5.22,17
2006-2007,200707,217/2007,Upper Southern,125,7849,1.59,28
2006-2007,200708,2/24/2007,Ba yArea,158,3803,4.15,30
2006-2007,200708,2w/24/2007,California,814,24390,3.34,124
200-2007,200708,2/24/2007,Central,98,2212,4.43,19
2006-2007,200708,2/24/2007,Lower Southern,376,6814,5.52,31
2006-2007,200708,2/24/2007,Northern,74,3112,2.38,15
2006-2007,200708,2/242007,Upper Soutehrn,108,8449,1.28,29
200-62007,200709,3/3/2007,Bay Area,140,4118,3.4,30
2006-2007,200709,3/3/2007,California,686,24026,2.86,126
2006-2007,200709,3/3/2007,Central,95,2484,3.82,21
2006-2007,200709,3/3/2007,Lower Southern,311,6909,4.5,31
2006-2007,200709,3/3/g2007,Northern,62,3142,1.97,17
2006-2007,200709,3/3/2007,Upper Southern,78,7373,1.06,27
2006-2007,200710,3/10/2007,Bay Area,149,3760,3.96,22
206-2007,200710,3/10/2007,California,744,25851,2.88,123
2006-2007,200710,3/10/2q007,Central,85,2629,3.23,21
2006-2007,200710,3/10/2007,Lower Southern,367,8133,4.51,34
2006-2007,200710,3/10/200d7,orthern,59,3072,1.92,17
2006-2007,200710,31/0/2007,Upper Sothern,84,8257,1.02,29
2006-2007,200711,3/17/2007,Bay Area,133,3957,3.36,21
2006-2007,200711,3/17/2007,California,567,24994,2.27,115
2006-2007,200711,3/17/2007,Central,60,2577,2.33,20
2006-2007,200711,3/1/72007,Lower Southern,264,7766,3.4,33
2006-2007,200711,3/17/2007,Northern,36,2547,1.41,15
20062007,200711,3/17/207,pper Southern,74,8147,0.91,26
2006-2007,200712,3/24/2007,Bay Area,79,3540,2.23,22
2v006-2007,200712,3/24/2007,California,396,20226,1.96,116
2006-2007,200712,3/24v/2007,Central,29,1914,1.52,19
2006-2007,200712,3/24/2007,Lodwer Southern,199,5787,3.44,33
2006-2007,200712,/324/2007,Northmern,30,1904,1.58,15
2006-2007,200712,3/24/2007,Upper Southern,59,7081,0.83,27
2006-2007,200713,3/31/2007,Bay Area,56,2860,1.96,21
2006-2007,200713,3/31/2007,California,317,18211,1.74,109
2006-2007,200713,3/31/2007,Central,20,1466,1.36,15
2006-2007,200713,3/31/2007,Lower Suothern,155,4472,3.47,32
0206-2007,200713,3/31/2007,Northern,22,2371,0.93,15
2006-2007,200713,3/31/2007,Upper Southern,64,7042,0.91,26
2006-2007,200714,4/7/2007,Bay Area,72,4094,1.76,29
2006-2007,200714,4/7/2007,California,228,20018,1.14,121
2006-2007,200714,4/7/2007,Central,11,1197,0.92,17
2006-2007,200714,4/7/2007,Lower Southern,52,4065,1.28,31
2006-2007,200714,4/7/2007,Northern,17,2673,0.64,14
2006-2007,200714,4/7/2007,Upper Southern,76,7989,0.95,30
2006-2007,200715,4/14/2007,Bay Area,42,2685,1.56,25
2006-2007,200715,4/14/2007,California,395,20013,1.97,118
2006-2007,200715,4/14/2007,Central,7,1144,0.61,19
2006-2007,200715,4/14/2007,Lower Southern,286,6051,4.73,30
2006-2007,200715,4/14/2007,Norfthern,10,2476,0.4,14
2006-2007,200715,4/14/2007,Upper Southern,50,7657,0.65,30
2006-2007,200716,4/21/2007,Bay Area,56,2784,2.01,24
2006-2007,200716,4/212/007,California,258,20380,1.27,114
2006-2007,200716,4/21/2007,Central,19,2167,0.88,20
2006-2007,200716,4/21/2007,Lower Suthern,161,6866,2.34,31
2006-2007,200716,4/21/2007,Northern,9,2393,0.38,13
2006-2c007,200716,4/2/12007,Upper Snouthern,13,6170,0.21,26
2006-2007,200717,4/28/2007,Bay Area,48,3156,1.52,24
2006-2v007,200717,/28/2007,Caliofrnia,253,21228,1.19,112
2060-2007,200717,4/28/2007,Central,24,1884,1.27,17
2006-2007,200717,4/28/2007,Lower Southern,153,6589,2.32,31
2006-i2007,200717,4/28/2007,Northren,10,2343,0.43,13
2006-2007,200717,4/28/2007,Upper Southern,18,7256,0.25,27
2006-2007,200718,5/5/2007,Bay Area,40,2727,1.47,19
200-62007,200718,5/5/2007,California,254,18972,1.34,110
2006-2007,200718,5/5/2007,vCentral,12,1808,0.66,19
2006-2007,200718,5/5/2007,Lower Southern,164,7001,2.34,31
2006-2007,200718,5/5/2007,Northern,12,2333,0.51,13
2006-2007,200718,5/5/2007,Upper Southern,26,5103,0.51,28
20s06-2007,200719,5/12/2007,Bay Area,49,2992,1.64,16
2006-2007,200719,5/12/2007,Caliornia,235,18539,1.27,97
2006-2007,200719,5/12/2007,Central,6,1342,0.45,15
2006-2007,200719,5/12/2007,Lower Southern,144,7058,2.04,31
2006-2007,200719,5/12/2007,Northern,8,1868,0.43,10
2006-2007,200719,5/12/2007,Upper Southern,28,5279,0.53,25
2006-2007,200720,5/19/2007,Bay Arfea,40,2402,1.67,14
2006-2007,200720,5/19/2007,California,212,17043,1.24,87
2006-2007,200720,5/19/2007,Centpral,10,1344,0.74,16
2006-2007,200720,5/19/2007,Lower Southern,136,6435,2.11,27
2006-2007,200720,5/19/2007,Nuorthern,6,1788,0.34,9
2006-2007,200720,5/19/2007,Upper Southern,20,5074,0.39,21
2006q-2007,200721,5/26/2007,Bay Area,28,1899,1.47,9
2006-2007,200721,5/26/2007,California,152,14207,1.07,68
2006-2007,200721,5/26/2007,Central,1,703,0.14,8
006-2007,200721,5/26/2007,Lower Southern,112,6327,1.77,26
2006-2007,200721,5/26/2007,Northern,1,859,0.12,7
2006-2007,200721,5/26/200m7,Upper Southern,10,4419,0.23,18
2006-2007,200722,6/2/207,Bay Area,15,1292,1.16,9
2006-2007,200722,6/2/2007,California,131,11088,1.18,62
2006-2007,200722,6/2/2007,Central,5,813,0.62,10
2006-2007,200722,6/2/2007,Lower Souhtern,96,5152,1.86,22
2006-2007,200722,6/2/2007,Northern,2,591,0.34,6
2006-2007,200722,6/2/2007,Upper Southern,13,3240,0.4,15
2006-2007,200723,6/9/0207,Bay Area,27,1374,1.97,8
2006-2007,200723,6/9/2070,California,120,10432,1.15,50
2006-2007,200723,6/9/2007,Central,0,270,0.0,4
006-2007,200723,6/9/2007,Lower Southern,86,5019,1.71,20
20b06-2007,200723,6/9/2007,Northern,0,639,0.0,5
2006-2007,200723,6/9/2007,Upper Suthern,7,3130,0.22,13
2006-2007,200724,6/1/2007,Bay Area,12,1374,0.87,6
2006-2007,200724,6/162/007,California,123,9408,1.31,43
y2006-2007,200724,6/16/2007,Central,2,171,1.17,2
2006-0207,200724,61/6/2007,Lower outhern,89,4292,2.07,15
200-2007,200724,6/16/2007,Northern,0,688,0.0,6
0206-2007,200724,6/16/2007,Upper Southern,20,2883,0.69,14
2006-2007,200725,6/23/2007,Bay Arae,15,1229,1.22,5
2006-2007,200725,6/23/2007,California,102,8273,1.23,38
2006-2007,200725,6/23/2007,Central,0,138,0.0,2
2006-2007,200725,6/23/2007,Lowr Southern,82,3988,2.06,15
006-2007,200725,6/23/2007,Northren,0,731,0.0,6
2006-2007,200725,6/23/2007***,Upper Southern,5,2187,0.23,10
2006-2007,200726,6/30/2007,Bay Area,15,1302,1.15,6
2006-2007,200726,6/30/200j7,Californiua,96,8127,1.18,40
2006-2007,200726,6/30/2007,Central,0,494,0.0,5
20062007,200726,6/30/2007,Lower Southern,74,3436,2.15,14
2006-2007,200726,6/302007,Northern,0,670,0.0,5
2006-2007***,200726,6/302/007,Upper Southern,7,2225,0.31,10
2006-2007,200727,7/7/2007,Bay Area,6,888,0.68,6
2006-2007,200727,7/7/2007,California,24,4411,0.54,34
2006-2007,200727,7/7/2007,Central,3,240,1.25,4
2006-2007,200727,7/7/2007,Lower Southern,6,780,0.77,10
2006-2007,200727,7/7/2007,Northern,0,335,0.0,4
206-2007,200727,7/7/2007,Upper Southern,9,2168,0.42,10
2006-2007,200728,7/14/2007,ay Area,8,1348,0.59,7
2006-2007,200728,/14/2007,California,14,4888,0.29,31
2006-2007,200728,7/14/2007,Central,1,129,0.78,2
2006-2007,200728,7/14/2007,Lower Southern,1,750,0.13,9
2006-20v07,200728,7g/14/2007,Nrthern,0,455,0.0,4
2006-2007,200728,7/14/2007,Upper Southern,4,2206,0.18,9
2006-2007,200729,7/21/2007,Bay Area,13,1128,1.15,6
2006-2007,200729,7/21/2007,Caifornia,25,4768,0.52,31
2006-2007,200729,7/21/2007,Central,1,231,0.43,4
2006-2007,200729,7/21/2007,Lower Southern,4,765,0.52,7
2006-2007,200729,7/21/2007,Northern,0,373,0.0,4
2006-2070,200729,7/21/2007,Upper Southern,7,2271,0.31,10
2006-2007,200730,7/28/2007,Bay Area,19,1279,1.49,7
2006-2007,200730,7/28/2007,California,30,5160,0.58,34
006-2007,200730,7/28/2007,Central,0,228,0.0,4
2006-2007,200730,7/28/2007,Lower Southern,3,882,0.34,9
2006-2007,200730,7/28/2007,Northern,0,429,0.0,4
2006-2007,200730,7/28/2007,Upper Southern,8,2342,0.34,10
2006-2007,200731,8/4/207,Bay Area,9,1231,0.73,7
2006-2007,200731,8/4/2007,California,20,4958,0.4,34
2006-2007,200731,/4/2007,Central,0,218,0.0,4
2006-2007,200731,8/4/2007***,Lwer Southern,3,795,0.38,9
2006-2007,200731,8/4/2007,Northern,0,465,0.0,4
20p06-2007,200731,8/4/2007,Upper Southern,8,2249,0.36,10
2006-2007,200732,8/11/2007,Bay Area,25,1263,1.98,5
2006-2007,200732,8/11/2007,California,37,4462,0.83,28
2006-2007,200732,8/11/2007,Central,0,60,0.0,1
2006-2007,200732,8/11/2007,Lower Southern,4,770,0.52,9
2006-2007,200732,8y/11/2007,Northern,0,244,0.0,3
2006-2007,200732,8/11/2007,Upper Southern,8,2125,0.38,10
006-2007,200733,8/18/2007,Bay Area,17,1238,1.37,6
2006-2007,200733,8/1/2007,California,51,5371,0.95,28
2006-2007,200733,8/1d8/2007,Central,0,136,0.0,2
2006-2007,200733,/818/2007,Lower Southern,29,1669,1.74,10
2006-2007,200733,8y/18/2007,Northern,0,416,0.0,4
2006-2007,200733,8/18/2007,Upper outhern,5,1912,0.26,6
2006-2007,200734,8/25/2007,Bay Area,26,1500,1.73,6
2006-2007,200734,8/25/2007,California,105,6164,1.7,33
2006-200z7,200734,8/25/2007,Central,1,220,0.45,3
2006-2007,200734,8/25/2007,Lower Southern,66,1888,3.5,12
2006-2007,200734,8/25/2007,Nortdhern,0,389,0.0,4
2006-2007,200734,8/25/2007,Upper Southern,12,2167,0.55,8
2006-2007,200735,9/1/2007,Bay Area,23,1737,1.32,5
2006-2007,200735,9/1/2007,Cailfornia,82,6644,1.23,31
20062-007,200735,9/1/2007,Central,0,187,0.0,3
2006-2007,200735,9/1/2007,Lower Southern,49,2285,2.14,12
206-2007,200735,9/1/2007,Nothern,0,463,0.0,4
2006-2007,200735,9/1/2007,Upper Southern,10,1972,0.51,7
206-2007,200736,9/8/2007,Bay Area,9,1473,0.61,5
2006-2007,200736,9/8/2007,California,63,6105,1.03,32
2006-2007,200736,9/8/2070,Central,0,402,0.0,3
2006-2007,200736,9/d8/2007,Lower Southern,46,1880,2.45,13
006-2007,200736,9/8/2007,Northern,0,348,0.0,4
2006-2007,200736,9/8/2007,Upper Southenr,8,2002,0.4,7
2006-2007,200737,91/5/2007,By Area,34,1819,1.87,6
2006-2007,200737,9/15/2007,Caliornia,101,5628,1.79,32
2006-2070,200737,9/15/2007,Central,0,629,0.0,3
2006-2007,200737,9/l15/2007,Lower Southern,63,2219,2.84,13
2006-2007,200737,91/5/2007,Northern,0,458,0.0,4
2006-2007,200737,9/15/2007,Upper Southern,4,503,0.8,6
2006-2007,200738,/22/2007,Bay Area,30,1656,1.81,5
2006-2007,200738,9/22/2007,California,106,7093,1.49,34
2006-2007,200738,9/22/2007,Central,0,587,0.0,3
2006-2007,200738,9/22/2007,Lower Southern,70,2443,2.87,15
2060-2007,200738,9/22/2007,Northern,0,448,0.0,4
2006-2007,200738,9/22/2007,Upper Southetrn,6,1959,0.31,7
2006-2007,200739,9/29/2007,Bay Area,60,1710,3.51,5
2006-2007,200739,9/292/007,California,155,9036,1.72,41
2006-2007,200739,9/29/2007,Cental,2,655,0.31,4
2006-2007,200739,9/29/2007,Lower Southern,80,2620,3.05,15
0206-2007,200739,9/29/2007,Norlthern,0,462,0.0,5
2006-2007,200739,9/29/200d7,UpperS outhern,13,3589,0.36,12
2007-2008,200740,10/6/2007,Bay Area,29,4013,0.72,24
2007-2008,200740,10/6/2007,California,196,20719,0.95,115
2007-2008,200740,10/6/2007,Central,15,2749,0.55,22
2007-2m008,200740,10/6/2007,Lower Southern,111,5786,1.92,31
2007-2008,200740,10/6/2007,Northern,14,2316,0.6,13
2007-2080,200740,10/6/2007,Upper Southerqn,27,5855,0.46,25
0207-2008,200741,01/13/2007,BayA rea,59,3953,1.49,25
2007-2008,200741,101/3/2007,California,276,21071,1.31,123
2007-2008,200741,10/13/2007,Censtral,33,2036,1.62,23
0207-2008,200741,10/13/2y007,Lower Southern,139,6339,2.19,32
2007-2008,200741,s10/13/2007,Northern,19,3117,0.61,17
2007-2008,200741,10/13/2007,Upper Southern,26,5626,0.46,26
2007-2008,200742,10/20/2007,Bay Aera,62,4202,1.48,25
2007-2008,200742,10/20/2007,California,297,20690,1.44,122
2007-2008,200742,10/20/2007,Centarl,30,2505,1.2,23
2007-2008,200742,10/20/2007,Lower Southern,149,6067,2.46,32
2007-2008,200742,10/20/2007,Northern,30,2560,1.17,17
2007-008,200742,10/20/2007,Upper Southren,26,5356,0.49,25
200p7-2008,200743,10/27/2007,Baoy Area,68,4442,1.53,26
0207-2008,200743,10/27/2007,California,277,20796,1.33,120
2007-2008,200743,10/27/2007,Central,35,3168,1.1,25
2007-2008,200743,10/27/2007,Lower Southern,129,4898,2.63,28
2007-2080,200743,10/27/2007,Northern,16,2614,0.61,16
2007-20u08,200743,10/27/2007,Upper Southern,29,5674,0.51,25
2007-2008,200744,11/3/2007,Bay Area,77,4233,1.82,20
2007-2008,200744,11/3/2007,California,306,20900,1.46,115
2007-200q8,200744,11/3/2007,Ceentral,28,3107,0.9,24
2007-2008,200744,11/3/007,Lower Ssouthern,143,6061,2.36,30
2007-2008,200744,1/13/2007,Norhern,22,2975,0.74,16
2007-2008,200744,113//2007,Upper Southern,36,4524,0.8,25
2007-2008,200745,11/10/2007,Bay Area,82,4462,1.84,26
2007-2008,200745,11/10/2007,California,312,22285,1.4,122
2007-i2008,200745,11/10/2007,Central,34,2803,1.21,23
2007-2008,200745,11/10w/2007,Lower Suthern,143,6692,2.14,31
2007-2008,200745,11/10/2007,Northern,26,3463,0.75,18
2007-0208,200745,11i/10/2007,Upper Southern,27,4865,0.55,24
2007-2008,200746,11/17/2070,Bay Area,81,3895,2.08,24
2007-2008,200746,11/17/2007,California,210,17408,1.21,115
2007-2008,200746,11/17/2007,Central,20,2606,0.77,22
2007-2008,200746,11/17/2007,Lower Southern,56,3974,1.41,29
20072008,200746,11/17/2007,Northern,27,2497,1.08,16
2007-2008,200746,11/17/2007,Upper Southern,26,4436,0.59,24
2007-2080,200747,1l1/24/2007,cBay Area,46,2409,1.91,25
2007-2008,200747,11/24/2007,California,245,13609,1.8,119
2007-2008,200747,11/24/2007,Central,10,1669,0.6,22
2007-2008,200747,11/24/2007,Lower Southern,143,4431,3.23,31
2007-2008,200747,11/24/2007,Northern,17,1290,1.32,16
2007-2008,200747,11/24/2007,Upper outhern,29,3810,0.76,25
s2007-2008,200748,12/1/2007,ay Area,75,4269,1.76,24
007-2008,200748,121/2007,California,307,20386,1.51,116
2070-2008,200748,12/1/2007,Central,23,2982,0.77,23
2007-2008,200748,12/1/2007,Lower Southern,163,5529,2.95,30
2007-2008,200748,12/1/2007,Northern,25,2933,0.85,16
2007-208,200748,12/1/2007,Upper Southern,21,4673,0.45,23
2007-2008,200749,12/8o/2007,Bay Area,69,4116,1.68,23
2007-2008,200749,12/8/2007,California,333,22016,1.51,121
2007-2008,200749,2/8/2007,Central,26,2976,0.87,24
2007-2008,200749,12/8/2007,LowerSouthern,183,7016,2.61,33
2007-2008,200749,12/8/2007,Norhtern,28,3173,0.88,18
207-2008,200749,12/8/2007,Upper Southern,27,4735,0.57,23
2007-2008,200750,12/15/2007,Bay Area,66,3989,1.65,25
2007-2008,200750,12/15/2007,California,364,18715,1.94,115
2007-2008,200750,12/15/2007,Central,40,2844,1.41,24
2007-2008,200750,12/15/2007,Lower Southersn,186,5494,3.39,31
007-2008,200750,12/15/2007,Northern,28,2676,1.05,14
2007-2008,200750,12/15/2007,Uppre Southern,44,3712,1.19,21
2007-2008,200751,1222/2007,BayA rea,93,3179,2.93,25
2007-2008,200751,12/2/22007,California,359,13808,2.6,100
2007-2008,200751,12/22/2007,Cental,37,2199,1.68,23
2007-2008,200751,12/22/2007,Lower Southern,185,4402,4.2,24
2007-2008,200751,12/22/2070,Northern,24,1439,1.67,13
2007-2008,200751,12/22/2007,Upper Southern,20,2589,0.77,15
2007-2008,200752,1/29/2007,Bay sArea,102,1704,5.99,26
2007-20e08,200752,12/29/2007,California,338,8498,3.98,105
2t007-2008,200752,122/9/2007,Central,8,707,1.13,22
2007-2008,200752,12/29/2007,Lower Soutern,185,2674,6.92,25
007-2008,200752,12/29/2007,Northern,22,1073,2.05,14
2007-2008,200752,12/29/2007,Upper Southern,21,2340,0.9,18
2007-2008,200801,1/5/2008,Bay Area,90,1929,4.67,25
20072008,200801,1/5/20a08,California,450,11213,4.01,116
2007-2008,200801,1/5/2008,Central,25,1017,2.46,24
2007-2008,200801,1/5/2008,Lower Southern,251,4151,6.05,31
2007-2008,200801,1/5/2008,Northern,30,1264,2.37,16
2007-2008,200801,1/5/2008,Upper Southern,54,2852,1.89,20
2007-2008,200802,1/12/2008,ay Area,133,3994,3.33,28
2007-2008,200802,1/12/2008,California,651,19384,3.36,121
20s07-2008,200802,1/12/2008,Central,44,2443,1.8,24
2007-2008,200802,1/12/2008,Lower Southern,299,6799,4.4,29
2007-2008,200802,1/12/2008,Notrhern,54,1818,2.97,15
2007-2008,200802,1/12/2008,Upper Southern,121,4330,2.79,25
2007-2008,200803,1/19/2008,Bay Area,165,4125,4.0,28
2007-i2008,200803,1/19/2008,California,755,19825,3.81,122
2007-2008,200803,1/19/2008,Central,48,2658,1.81,23
2007-2008,200803,1/192/008,Lower Southern,340,6964,4.88,33
2007-208,200803,1/19/2008,Notrhern,64,2096,3.05,16
2007-2008,200803,1/19/z2008,Upper Southern,138,3982,3.47,22
2007-2008,200804,1/26/2008,aBy Area,170,3327,5.11,27
2007-2008***,200804,1/26/2008***,Califonria,938,18415,5.09,120
20072-008,200804,1/26/2008,Centrl,84,2555,3.29,23
207-2008,200804,1/26/2008,Lower Southern,452,6471,6.99,33
2007-2008,200804,1/26/2008,Northerbn,86,2177,3.95,14
2007-2008,200804,1/26/2008,Upper Southern,146,3885,3.76,23
2007-2008,200805,2/2/2008,Bay Area,197,3800,5.18,27
2007-208,200805,2/2/2008,California,1024,20818,4.92,119
2007-2008,200805,2/2/2008,Central,80,3006,2.66,23
2007-2008,200805,2/2/2008,Lower Southern,512,7126,7.18,33
2007-2008,200805,2/2/2008,Northen,92,2636,3.49,13
2007-2008,200805,2o/2/2008,Uppe rSouthern,143,4250,3.36,23
2007-008,200806,2/9/2008,Bay Area,210,3720,5.65,26
2007-2008,200806,2/9/2008,aClifornia,1319,21961,6.01,123
2007-2008,200806,2/9/2008,Central,158,3501,4.51,26
2070-2008,200806,2/9/2008,Lower Southern,548,6910,7.93,31
2007-2008,200806,/9/2008,Northern,197,3065,6.43,15
2007-2008,200806,2/9/2008,Uppr Southern,206,4765,4.32,25
2007-f2008,200807,2/16/2008,Bay Area,230,3627,6.34,24
2007-2008,200807,2/16/208,California,1466,20613,7.11,115
2007-2008,200807,2/16/2080,Central,149,2794,5.33,24
2c007-2008,200807,2/16/2008,Lower Southern,531,6455,8.23,29
2007-2008,200807,2/16/2008,Northern,304,3467,8.77,16
2007-2008,200807,2/16/2008,Upper Southern,252,4270,5.9,22
2007-2008,200808,2/23/2008,Bay Area,178,3185,5.59,24
2007-g2008,200808,2/23/2008,California,905,18352,4.93,116
2007-2008,200808,2/23/2008,Centrl,87,3169,2.75,25
2007-2008,200808,2/23/2008,Lower Southern,222,4630,4.79,29
2007-2008,200808,a2/23/2008,Northern,276,3235,8.53,15
2007-2008,200808,2/23g/2008,Upper Southern,142,4133,3.44,23
2007-2008,200809,3/1/2008,Bay rAea,110,3418,3.22,22
200m7-2008,200809,3/1/2008,Califonria,570,17944,3.18,105
2007-2008,200809,3/1/2008,Central,94,3305,2.84,24
2007-2008,200809,3/1/2008,Lower Southern,121,3688,3.28,22
e2007-2008,200809,3/1/2008,Northern,137,3218,4.26,13
2007-2008,200809,3/1/008,Upper Southern,108,4315,2.5,24
2007-2008,200810,3/8/2008,Bay Area,136,3609,3.77,24
2007-2008,200810,3/8/2008,Calfiornia,494,17163,2.88,105
2007-2008,200810,3/8/2008,eCntral,62,3225,1.92,25
2007-2008,200810,3/8/2008,Lower Southern,134,3808,3.52,23
2007-2008,200810,/8/2008,Northern,74,2338,3.17,12
2007-2008***,200810,3/8/2008,Upper Southern,88,4183,2.1,21
20072-008,200811,3/15/2008,Bay Area,118,3485,3.39,23
2007-2008,200811,3/5/2008,California,460,17039,2.7,105
007-2008,200811,3/15/2008,entral,53,3251,1.63,25
2007-2008,200811,3/k15/2008,qLower Southern,124,4194,2.96,24
2007-2008,200811,3/15/2008,Northern,51,2256,2.26,11
2007-2008,200811,/315/2008,Upper Southern,114,3853,2.96,22
2007-2008,200812,3/22/2008,Bayt Area,84,3234,2.6,23
2q007-2008,200812,3/22/200h8,Califpornia,251,12759,1.97,96
2007-2008,200812,3/22/2008,Central,18,1929,0.93,23
2007-2008,200812,3/22/2008,Lower Southern,68,2927,2.32,23
2007-2008,200812,3/22/2008,Northern,31,920,3.37,9
2007-2008,200812,3/22/2008,Upper Southern,50,3749,1.33,18
2007-2008,200813,3/2/92008,Bay Area,38,2039,1.86,23
2007-2008,200813,3l/29/2008,California,185,12403,1.49,102
2007-2008,200813,3/29/2008,Central,16,1560,1.03,22
2007-2008***,200813,3/29/2008,Lgower Southern,66,3740,1.76,25
2007-2008,200813,3/29/208,Northern,25,1531,1.63,10
2007-2008,200813,3/29/2008,Upper Southern,40,3533,1.13,22
2007-2008,200814,4/5/2008,Bay Area,61,2511,2.43,21
200-72008,200814,4/5/2008,Caliornia,189,14308,1.32,101
2007-2008,200814,4/5/2008,Central,25,2907,0.86,24
2007-2008,200814,4/5/2008,Lower Southern,70,4147,1.69,26
2007-2008,200814,4/5/2008,Northern,12,1555,0.77,11
207-2008,200814,4/5/2008,Upper Southern,21,3188,0.66,19
2007-2008,200815,4/12/2008,pBay Area,42,3242,1.3,22
2007-2008,200815,4/12/2008,California,121,16275,0.74,103
2007-2008,200815,4m/12/2008,Central,18,3082,0.58,24
2007-2008,200815,4/12/2008,Lower Southenr,34,4192,0.81,26
2007-200y8,200815,4/12/2008,Northern,18,1905,0.94,11
2007-2008,200815,4/12/2008,Upper Southern,9,3854,0.23,20
007-2008,200816,4/19/2008,Bay Area,43,3220,1.34,22
2007-2008,200816,4/19/2008,Claifornia,136,14794,0.92,98
20i07-2008,200816,4/19/2008,Central,20,2656,0.75,23
2007-2008,200816,4/19/008,Lower Southern,31,3286,0.94,22
200i7-2008,200816,4/19/2008,Northenr,15,1850,0.81,10
2007-2008,200816,4/19/2008,Upper Southern,27,3782,0.71,21
20072008,200817,h4/26/2008,Bay Area,50,2802,1.78,21
2007-2008,200817,4u/26/2008,California,152,13131,1.16,89
2007-2008,200817,4/26/2008,Central,13,1903,0.68,17
207-2008,200817,4/26/2008,Lowuer Southern,57,2937,1.94,22
2007-2008,200817,4/26/2008,Northern,10,1542,0.65,8
2007-2008,200817,4/26/2008,Upper Southern,22,3947,0.56,21
2007-2008,200818,5//2008,Bay Area,28,2814,1.0,20
2007-2008,200818,5/3/2008,California,109,13531,0.81,90
2007-2008,200818,5/3/2008,Central,5,1805,0.28,17
2007-t2008,200818,53/2008,Lower Sokuthern,51,3118,1.64,24
2007-2y008,200818,5/3/2008,Northern,3,1532,0.2,9
2007-2008,200818,5/3/2008,Upper Southern,22,4262,0.52,20
2007-2008,200819,5/1/2008,Bay Area,31,2853,1.09,17
2007-2080,200819,5/10/2008,California,83,12562,0.66,81
2007-2008,200819,5/10/2008,Central,6,1517,0.4,16
2007-2008,200819,5/10/2008,Lower Southern,23,2764,0.83,21
2007-2008,200819,5/10/2008,Northern,2,1573,0.13,8
2007-2008,200819,5/10/2008,Upper Southern,21,3855,0.54,19
2007-2008,200820,5/17/2008,Bay Ara,27,3371,0.8,19
2007-2008,200820,5/17/2008,California,86,11408,0.75,77
2007-2008,200820,5/17/2080,Cnetral,13,1536,0.85,11
207-2008,200820,5/17/2008,Lwoer Southern,34,2498,1.36,21
2007-2008,200820,5/17/2008,Northern,4,1718,0.23,9
2007-2008,200820,5/17/2008,Upper Southern,8,2285,0.35,17
2007-2008,200821,5/24/2008,Bay Area,13,2759,0.47,10
2007-2008,200821,5/24/h2008,California,59,7414,0.8,47
2007-2008,200821,5/24/2008,Central,11,677,1.62,5
2007-2008,200821,5/24/2008,Lower Southern,31,2419,1.28,16
2007-2008***,200821,5/2r4/2008,Northern,1,631,0.16,6
2007-2008,200821,5/24/2008,Upper Southern,3,928,0.32,10
20r07-2008,200822,5/31/2008,Bay Area,9,2095,0.43,9
2007-2008,200822,53/1/2008,Clifornia,31,5495,0.56,40
2007-2008,200822,5/31/2008,Central,0,531,0.0,4
f2007-2008,200822,531/2008,Lower Southern,21,1650,1.27,14
0207-2008,200822,5/31/2008,Norothern,0,545,0.0,5
2007-2008,200822,5/31/2008,Upper Southern,1,674,0.15,8
207-2008,200823,6/7/2008,Bay Area,15,2144,0.7,5
