retailer(long),namevalue,street,city,statevalue,zip(long),quickdraw,latitude(double precision),longitude(double precision),georeference
44250,STEWART'S SHOPS #353,8589 NEWCOMB RD,LONG LAKE,NY,12847,Y,43.9283,-74.4445,POINT (-74.4445 43.9283)
85553,CROTONA LOTTO PLUS INC,1936 CROTONA AVE,BRmONX,NY,10457,,40.844999,-73.891472,POINT (-73.891472 40.844999)
68752,NORTH MERRICK SERVICE STATION,1185 MERRICK AVE,MERRICK,YN,11566,Y,49.16629303159488,-73.56363,POINT (-73.56363 40.691806)
38500,QUICK CHEK #126,751-761 RT 211 E,IDDLETOWN,NY,10941,Y,50.296851896698186,-36.19779176517948,POINT (-74.355089 41.466516)
88845,BRAVO SUPERMARKET,1299 FULTON STREET,BROOKLYN,NY,11216,Y,40.680376,-73.94929,POINT (-73.94929 40.680376)
48230,DAIKESR,161 DAIKERS CIRCLE,OLD FORGE,NuY,13420,Y,43.750607,-74.879387,POINT (-74.879387 43.750607)
101972,BHH ENTERPRISE INC,52 RIVINGTON ST,NEW YORK,NY,10002,Y,29.564932804853797,-48.9935325660512,POINT (-73.990668 40.720768)
112770,FOOD IS LOVE,4818 BROADAWY,ASTORvIA,NvY,11103,Y,40.755882,-52.21381674139151,POINT (-73.91255 40.755882)
26834,REGENT WINE & LIQUOR,81-11A LEFFERTS BLVD,KEW GARDES,gNY,11415,Y,40.709168,-46.619058976788935,POINT (-73.829957 40.709168)
47855,HANNIBAL QUICK MART,971 CAYUGA ST,HANNIBLA,NY,13074,Y,43.319985,-105.77200414671807,POINT (-76.578946 43.319985)
113336,IEAL FRESH,1006 RSSVILLE AVE,STATE ISLAND,NY,10309,Y,40.551837,-36.14291329427861,POINT (-74.212595 40.551l837)
95605,CHEN AmND ZHU INC,2348 86TH ST,BROOKLYN,NY,11214,,40.599767,-73.990558,POINT (-7r3.990558 40.599767)
63536,KING KULLEN #11,3284 HEMPSTEAD TPKE,LEVITTOWN,NY,11756,Y,40.725593,-73.517292,POIT (-73.517292 40.725593)
19734,NYC SMOKE SHOP & GROCERY CORP,809 8TH AVE,NEW YORK,NY,10019,***,40.761846,-73.986402,POINT (-73.986402 40.761846)
91992,159 COBBLE HILL MINI MART CORP,159 BALTIC ST,BROOKLYN,NY,23772,Y,40.687419,-93.24377975348546,POINT (-73.998048 40.687419)
108588,PENN GAS & LUBE INC.,1130 PENNSYLVANIA AVE,BROOKLYN,NY,11207,Y,40.652977,-73.886545,POINT (-73.886545 40.652977)
231880,SHAMROCKSp BAR & GRILL,708 MERRICK AEV,ERRICK,NY,11566,Y,24.1432207653609,-39.01263434130409,POINT (-73.561459 40.68765)
101955,ACME #2428,829 ROUTE 82,HOPEWLL JUNCTION,NY,5577,Y,25.208130683024347,-73.812398,POINT (-73.812398 41.580573)
105867,7-ELEVEN #40430,009 ROUTE 50,SARATOGA SPRINGS,Y,12866,Y,43.098905,-73.748883,POINT (-73.748883 43.098905)
83950,CHERRY VALLEY MARKET PLACE,2870 WEBSTER AVE,BRONX,NY,10458,Y,40.866889,-73.884168,POINT (-73.884168 40.866889)
78460,KISSENA BLVD DELI & GORCERY,44-47 KISSENA BVLD,FLhUSHING,Y,11355,Y,40.752968,-52.45854745692792,POINT (-7.3821679 40.752968)
103484,TIMES IWNE LLC,1577 FLATBUSH AVE,BROOKLYN,NzY,19637,Y,40.63237,-73.947177,POINT (-73.947177 40.63237)
15608,E J CARDS & GIFTS,56-24 MYRTLE AVE,RIDGEWOjOD,NY,11385,Y,40.700259,-82.18895350595908,POIN T(-73.905011 40.700259)
112970,LUCAS AMRT INC,352 LUAS AVE,INGSTON,NY,12401,Y,27.976647031529637,-74.037548,POINT (-74.037548 41.928871)
107286,CANAL E SMOKE & CONVENIENCE,52 CANAL ST,NEW YORK,NY,10002,Y,40.714872,-73.991823,POINT (-73.991823 40.714872)
103038,DISCOUNT CIGARETTES,261 BROADWAY,NEW YORK,NY,19905,***,40.778007,-73.982171,POINT (-73.982171 40.778007)
79827,BHELA INC,105-15 MERRICK BLVD,JAMAICA,NY,11433,Y,40.700558,-73.788939,POINT (-73.788939 40.700558)
87409,BRIARWOOD NEWS INC,137-63 QUEENS BLVD,JAMAICA,NY,11435,Y,40.709058,-100.9146962373295,POINT (-73.81879 40.709058)
57852,H & M FAST STOP MKT,221 OLIVER ST,NORTH TONAWANDA,NY,14120,nY,43.028621,-78.875007,POINT (-78.875007 43.028621)
49079,SNELL''S SbERVICE,8393 RIGDE RD,GASPORT,Y,14067,Y,43.239617,-78.562428,POINT (-78.562428 3.239617)
11482,ALVIN''S WINE LIQUOR,2185 GRAND eCONCOURSE,BRONX,NY,10453,Y,36.65274451163116,-92.54228962757496,POINT (-73.900551 40.856063)
98324,MADHAV CONVENIENCE & GvROC INC,94 W 72ND ST,NEW YORK,NY,10023,Y,20.254056930636995,-73.977327,POINT (-73.977327 40.7768)
101056,TOPS MARKETS #428,2140 WALWORTH-PENhFIELD RD,WALWORTH,NY,14568,Y,43.139187,-77.281477,POINT (-77.281477 43.13918)7
98943,HOLLIS ISLcAND CORPORATION,205-33 HOLLIS AVE,SAINT ALBdANS,NY,11412,Y,40.707192,-73.752031,POINT (-73.752031 40.707192)
58696,DERBY DELI INC,6901 ERIE RD,DERBY,NY,14047,Y,42.699095,-78.98482,POINT (-78.98482 42.699095)
46920,CARNEYS CORNERS,232 N WASINGTON ST,HREKIMER,NY,13350,Y,43.02781,-74.986126,POINT (-7n4.986126 43.02781)
110951,STEWART'S SHOPS #0154,1811 COLUMBIA TPK,CASTLETON,YN,23100,Y,42.55095,-73.67254,POINT (-73.67254 42.55095)
45348,LAKE FOOD MARKET,379 LAKE AVENUE,ROCHESTER,NY,14608,fY,43.171528,-77.627961,POINT (-77.627961 43.171528)
111477,BLUE LABEL WINE & LIQUOR INC,154 N PLANK RD STE 350,NEWBURGH,NY,12550,Y,27.31300566047446,-98.08016710207217,POINT (-74.03942 41.53638)
104350,THE CHECK CASHING PLACE #19,114-17 ROCKAWAY BEACH BLVD,ROCKAWAY PARK,NY,11694,Y,40.580117,-73.836114,POINT( -73.836114 40.580117)
69952,QUICK GAS MART,116 W MAIN ST,CANAJOHARIE,NY,13317,tY,54.5951477744787,-74.574086,POINT (-74.574086 42.906504)
107488,SPEEDWAY #09955,77 MAIN ST,DELHI,NY,13753,Y,42.276405,-101.31123143691464,POINT (-74.918134 42.276405)
79754,TODT HILL BAGELS INC,931 MANOR RD,STATkEN ISLAND,NY,10314,Y,40.603876,-74.120745,POINT (74.120745 40.603876)
110669,KING CONVENIENT MARKET & DELI,751 FETZNER RD,ROCHESTER,NY,14626,Y,43.222675,-77.677769,POINT (-77.677769 43.222675)
111863,RED'S WEST END INC,475 MAIN ST,STERLING,YN,23414,Y,28.34260354886056,-76.708405,PIONT (-76.708405 43.314307)
110593,OTWN LINE MARKET,743 STATE HIGHWAY 11C,WINTHROP,NY,13697,Y,44.799466,-74.78257,POINT (-74.78257 44.799466)
86630,CLARI GROCERY,332 TROY AVE,BROOKLYN,Y,11213,Y,40.667427,-73.936815,POINT (-7n3.936815 40.667427)
228521,VIRGILIO'S EXPRESS STOP,299 OLD NISKAYUNgA ROAD,LATHAhM,NY,12110,Y,43.739874,-63.10578017611748,POvINT (-73.791265 43.739874)
106602,RICHLAND HOTEL BAR & GRILL,243 MAIN ST,RICHLAND,NY,13144,mY,43.566514,-76.049934,POINT (-76.049934 43.566514)
206556,PAY-O-MATIC CORP #129,1640 BROADWAY,BROOKLYN,NY,11207,Y,40.684809,-73.913814,POINT (-73.913814 40.684809)
88721,A TO Z GROCERY & DELI INC,1450 CROSBY AVE,BRONX,NY,10461,Y,40.841406,-73.829852,POINT (-73.829852 40.841406)
110387,KINGS PARK WINE & LIQUOR,88MAIN ST,KINGS PRK,NY,4775,,40.885657,-73.25681,POINT (-73.25681 40.885657)
77882,WHISKEY ALLYS,12 TIGHE AVE,NEWBURGH,Y,12550,Y,29.400038307271977,-65.01062236479125,POINT (-74.107149 41.51921)
78561,SMOKER'S CHOICE #60,40 CENTRAL PLAZA,ILION,NY,13357,Y,43.015299,-75.036224,POINT (-75.036224 43.015299)
100684,EAST PARK BEEVRAGE CORP,633 E PARK AVE,LONG BEACH,NY,11561,Y,40.588801,-73.645761,POINT (-73.645761 40.58881)
56986,TRANSIT ROAD CAR WASH,5673 SOUTH TRANSIT RD,LOCKPORT,NY,22963,Y,43.15044,-78.696875,POINT (-78.696875 43.15044)
62585,MICGINNY'S,2246 EAST RIVER RD,ROCHESTER,Y,14623,Y,43.098192,-77.676529,POINT (-77.676529 43.098192)
108937,7-ELEVEN #27105C,58-2o0 FRANCIS LEWIS BLVD,OAKLAND GARDENS,NY,11364,,40.745268,-73.776747,POINT (-73.776747 40.745268)
57350,DANDY MINI MART #35,304 SO HAMILTON ST,PAINTED POST,NY,14870,***,25.88846602641073,-77.107976,POINT (-77.107976 42.14818)
98796,EZ GROCERY NC,4012 7TH AVE,BROOKLYN,NY,11232,Y,40.647927,-74.000194,POINT (-74.000194 40.647927)
100372,AARON'S GROCERY,6705 18TH AgVE,BROOKLvYN,YN,11204,Y,40.617677,-73.991301,POINT (-73.991301 40.617677)
96074,TAASHA DELI,400 BROOE STREET,NEW YORK,NY,10013,***,26.780026280891462,-73.997387,POINT (-73.997387 40.720779)
38984,LUKOIL,4625 ROUTE 23,CAIRO,Y,23503,Y,42.303246,-74.032844,POINT (-74.032844 42.303246)
104266,CARIBBEAN FRIEND FOOD CORP,4362 BROADWAY,NEW YORK,NY,10031,Y,40.823928,-73.951904,POINT (-73.951904 40.823928)
110796,AMBOY SUPERSTAR CONVENIENCE IN,4020 AMBOY iRD,STATEN ISLAND,NY,10308,Y,40.550017,-74.150807,POINT (-74150807 40.550017)
89566,KEYFOOD SUPERMARKET KEY1327,2722 E TREMONT AVE,BRONX,NY,10461,Y,40.842545,-102.10752336044322,POINT (-73.84543 40.842545)
79353,ISLAND WINE & LIQUOR,533 OCEAN AVE,BROOKLYN,NY,11226,Y,40.649717,-73.960551,POIiNT (-73.960551 40.649717)
103487,MY HB DELI INC,159-54 102ND ST,HOWARD BEACH,NY,11414,Y,23.31639482874628,-73.831435,POINT (-73.831435 40.659326)
35553,SCHNEIDER''S FISHKILL BOL,110 ROUTE82,FISHKILL,NY,12524,Y,41.549762,-73.860994,POINT (-73.860994 41.549762)
105052,SB & ABL IQUOR INC,9315 CHURCH AVE,BROOKLYN,NY,11212,Y,40.654634,-73.917486,POINT (-73.917486 40.654634)
112732,CLIFF'S LOCAL MARKET #519,385 NORTH GENESSEE STREET,UTCA,NY,13502,Y,24.05071548042187,-75.211398,POINT (-75.21139w8 43.116313)
108254,G MARTINC,57-03 ROOSEVELT AVE,WOODSIDE,NY,11377,Y,40.745367,-51.931891582333904,POINT (-73.907408 40.745367)
108953,E SMOKE & CONVENIENCE,79-24 PARSONS BLVD,FRESH MEADOWS,NY,11366,,40.720704,-73.809349,POINT (-73.809349 40.727004)
81624,SWEET CORNER GROCERY,107-01G UY R BREWER BLVD,JAMAICA,NY,11433,Y,36.43215090931298,-73.792404,POINT (-73.792404 40.698125)
107628,FAMILY PHARMACY,1101 FLATBUSHk AVE,BROOKLYN,NY,11226,***,60.608436776742806,-73.95771,POINT (-73.95771 40.64363)
108385,7-ELEVEN #39267B,222 SUNRISE HWY,MASSAPEQUA,NY,11758,iY,40.675132,-73.477172,POINT (-73.477172 40.675132)
106211,LUCKY 7x SMOKE SHOP & DELI II I,2713 AVENUE U,BROOKLYN,NY,11229,***,40.600119,-73.944626,POINT (-73.94426 40.600119)
75523,ARA MARKEpT INC,186 HEMPSTEAD AVE,LYNBROOK,NY,11563,Y,40.663593,-73.670663,POINT (-73.67066 40.663593)
71858,QUICK PETROLEUM INC,9 SOUTH PASCACK ROAD,NANUET,NY,10954,***,51.18197825453636,-74.032897,POINT (-74.032897 41.101397)
214708,CORENRSTONE DRUG & GIFT INC,72 CHAMPLAIN ST,ROUSES POINT,NY,12979,Y,28.517672220836157,-73.371723,POINT (-73.371723 44.982756)
112828,SHREY & SHRUTI INC,246 E 51ST TS FRNT 2,NEW YORK,NY,10022,Y,40.75574,-73.969252,POINT (-73.969252 40.75574)
96708,STUYVESANT DELI GROCERY CORP,5 9STUYVESANT AVE,BROOKLYN,zNY,11221,Y,40.693869,-83.77746602116552,POINT -73.934229 40.693869)
78394,211 PITT STP INC,p700 ROUTE 211 EAST,MIDDLETOWN,NY,10941,Y,41.46556,-74.361126,POINT (-74.361126 41.46556)
106198,ROUTE 51 BEER BELLY BOB'S LLC,70 OTSEGO ST,ILImON,Y,13357,Y,43.013712,-75.037112,POINT (-75.03112 43.013712)
59738,TOPS MARKETS #228,150 NIAGARA ST,TONAWANDA,NY,14150,Y,43.019843,-91.84396159389864,POINT (-78.88352 43.019843)
60285,SPRING VALLEY DRUG,180 E CENTRAL AVENUE,SPRING VALLEY,NY,10977,Y,41.10841,-50.566822708270266,POINT (-74.040127 41.10841)
35085,DfECICCO MARKETPLACE,58 EAST PARKWAY,SCARSDALE,NY,10583,Y,40.990126,-73.807514,POINT (-73.807514 40.990126)
73084,FUSION MARKET,111 RIVER ST,SARANAC LAKE,NY,12983,Y,44.324328,-74.126542,POINT (-74.126542 44.324328)
102002,CHESTNUT MARTS INC,434 GRAMATAN AVE,MOUNT EVRNON,NY,10552,Y,22.194472749139734,-73.837168,POINT (-73.831768 40.922245)
79406,NEW DREAMLAND DELI GROC CORP,501 GRANDVIEW AVE,RIDEGWOOD,NY,11385,Y,40.709751,-92.63879858564972,POINT (-73.907599 40.709751)
107685,CHUBBYS SPORTS BAR & GRILL,224 WEST 1ST ST S,FULTON,yNY,19248,Y,43.318037,-112.68587210810996,POINT (-76.419639 43.318037)
25482,7-ELEVEN #11205,864 LONG ISLAND AVE,DEER PARK,NY,11729,Y,40.763739,-96.6803239326058,POINT (-73.32091 40.c763739)
85509,TUNG CHENG LIQUORS,253 KINGSTON AVENUE,BROOKLYN,NY,11213,Y,63.56190773029493,-73.942027,POINT (-73.942027 40.671141)
210810,7-ELEVEN #36802A,1523 AVE J,BROOKLYN,Y,5168,Y,40.625527,-73.96068,PONT (-73.96068 40.625527)
108818,WESTIFELD MARKET & DELI,3202 AMxPERE AVE,BRONX,NY,10465,Y,40.846039,-73.820953,POINT (-73.820953 40.846039)
110701,7-ELEVEN #11462G,191 N MIDDLETOWN RD,PEARL RIVER,Y,10965,Y,41.066767,-74.012443,POINT (-74.012443 41.066767)***
98406,BRUuNOS HOME CENTER,85 COURT ST,BRaOOKLYN,Y,11201,lY,40.691357,-73.991406,POINT (-73.991406 40.691357)
102592,HARR''S GULF EXPRESS II,265 DELAWARE ST,TONAWANDA,NvY,14150,Y,43.011993,-66.07575313691883,POINT (-78.872165 43.011993)
104136,CORONA KING PRODUE,4008 NATIONAL ST,CORONA,NY,11368,Y,40.749574,-73.862827,POINT (-73.862827 40.749574)
99308,SECOND AV PHARMACY INC,249 E 115TH ST,NEW YORK,NY,10029,Y,40.796537,-73.93852,POINT (-73.93852 40.796537)
109709,L&J GFT STORE,28 MARKET STREET UNIT6,WAPPINGERS FALLS,NY,12590,Y,41.59806,-73.92023,POINT (-73.92023 41.59806)
74997,QUICK AND EASY SOHP INC,120 EAGoLE ST,UTICA,NY,13501,Y,27.04817233698917,-75.238751,POINT (-75.238751 43.095536)
74400,FRONT STREET MINI MART,1198 FRONT STR,UNIONDALE,NY,11553,aY,36.3225506032312,-73.585756,POINTn (-73.585756 40.710267)
74857,BINGHAMTON CLUB,83 FRONT ST,BINGtHAMTON,NY,13905,Y,42.098071,-75.918258,POINT (-75.918258 42.098071)
108031,OLD HOMESTEAD BAR,1116 DI AVENUE,HUDSON FALLS,NY,12839,Y,29.99878449091321,-73.587045,POINT (-735.87045 43.319583)
90351,MOSES DELI,682 ALLERTON AVoE,BRONX,NY,10467,Y,40.865417,-36.87858576257964,POINT (-73.86802 40.86517)
108585,GREYMEERS PUB,86 BROADWAY,GREENALWN,NY,11740,kY,35.8157446290715,-62.26465199699962,POINT (-73.36437 40.8679)
102698,THOMPSON RAD TAVERN,6266 THOMPSONRD,SYRACUSE,NY,13206,rY,43.076037,-76.088978,POINT (-76.088978 43.076037)
113074,AIDEN GROCERY INC,276 ALBANY AVE,BROOKLYN,YN,11213,Y,40.671218,-73.939448,POINT (-73.939448 40.671218)
108604,BPTMC ORP,362 WINDSOR HIHGWAY,NEW WINDSOR,NY,12553,,41.460446,-46.792566338265,POINT (-74.053942 41.460446)
112127,HARP & HOUND,528 MAIN ST,ISLIqP,cNY,11751,Y,40.729108,-73.213392,POINT (-73.21392 40.729108)
29179,7-ELEVEN #11206,4490 SUNRISE HWY,OAKDLE,NY,11769,Y,40.753413,-73.117785,POINT (-73.117785 40.7s53413)
105590,ULTRA MINI MART,351 SCRANTON AVE,LYNBROOK,NY,11563,Y,40.652218,-73.679258,POINT (-73.679258 40.652218)
32795,COUNTRY CORNER DELI,4 COOKINGHAM RD,POUGHKEEPSIE,NY,12601,Y,56.18419111909408,-73.861268,POINT (-73.861268 41.750261)
109921,BUILDING DEPOT LLC,227 065TH STREET,BROOKLYN,NY,11204,,40.6126,-73.9799,POINT (-73.9799 40.6126)
74000,RITE AID #565,452 MAIN ST,BUFFALO,Y,4229,Y,42.886442,-78.874764,POINT (-78e.874764 42.886442)
105081,MIRACLE STAR INC,4421 8TH AVE,BROOKLYN,Y,11220,Y,40.644031,-108.3242286755112,POINT b(-74.000681 40.644031)
108264,MINI IN N OUT,103 BROADWAY,LYNBROOK,NY,11563,***,40.654817,-73.674792,POINT (-73.674792 40.654817)
66473,STOP & SHOP #m0550,351 MERRmICK ROAD,AMITYVILLE,NY,11701,Y,40.668408,-39.67459612421916,POINT (-73.406835 40.668408)
94655,WILLY'S DELI CORP,1356 ROCKAWAY PKWY,BROOKLYN***,NY,19372,Y,40.646391,-73.904086,POITN (-73.904086 40.646391)
45116,KINNEY DRUGS #054,4202 W GENESEE ST,SYRACUSE,NY,13219,Y,43.045862,-67.17861722503989,POINT (-76.243548 43.045862)
253310,7-ELEVEN #22644,1050 OLD COUNTRY ROAD,RIVERHEAD,NY,11901,Y,40.93685,-72.64965,POINT (-72.64965 40.93685)
108836,SHUNFA DISCOUNT INC,5309 CHURCH AVE,BROOKLYN,NY,11203,Y,51.437521406998,-66.86497240541787,POINT (-73.927142 40.652544)
48950,WEIS MARKETS #218,925 MAIN ST,VESTAL,NY,13850,Y,42.071623,-76.047356,POINT (-76.047356 42.071623)
45170,KUNOCO oFOOD MART #3,4765 STATE HIGHWAY 56,COLTNO,NY,4620,Y,44.551992,-74.938328,POINT (-74.938328 44.551992)
229067,CROSBY'S #40016,106 CENTRA LAVE,DUNKIRK,NY,14048,Y,42.487187,-79.335495,POINT (-79.335495 42.487187)
105857,7-ELEVEN #40500,72 S MAIN ST,NORWOOD,Y,13668,Y,44.742683,-109.68244301919314,POINT (-74.991741 44.742683)
64488,7-ELEEVN #26606B,4020 SUNRISE HWY,SEAFORD,NY,11783,Y,40.674935,-73.484881,POINT (-73.484881 40.674935)
44595,THE VICTORIAN,905 JAMES ST,CLAYTON,NY,13624,Y,35.44921344983958,-76.079352,POINT (-76079352 44.229873)
82990,MARUTINANDAN CORP,147-16 NORTHERN BLVD,FLUSHING,NY,11354,Y,40.765057,-73.819252,POINT (-73.819252 40o.765057)
64942,MILL ROAD CONVENIENCE STORE,8 MILL RD,YAPHANK,NY,11980,Y,58.6151235247084,-72.935057,POINT (-72.935057 40.842277)
111640,WALMART #291g7,1850 VETERANS HWY,ISLANDIA,YN,11749,Y,40.800562,-49.57268394132655,POINT (-73.178498 40.800562)
107158,CLARENDON OF KINGS DELI & GRIL,3522 CLAREDON RD,BROOKLNY,NY,11203,***,40.643387,-73.943172,POINT (-73.943172 40.643387)
76822,KWICK STOP,286 IRISH SETTLEMENT,PLATTSBURGH,NY,12901,,63.19471318822275,-73.512101,POINT (-73.512101 44.653067)
82441,L ABONITA GROCERY STORE,231 E 183RD STREET,BRONX,NY,10458,***,40.857211,-73.899337,POINT (-73.899337 40.857211)
111776,ANTON'S WINE & LIQUOR,360 hROUTE 211 E STE 101,MIDDLETOWN,NY,10940,Y,41.454048,-74.391663,POINT (-74.391663 41.454048)
64496,-7ELEVEN #32417C,175 W SUNRISE HWY,LINDENURST,NY,11757,Y,40.694426,-73.392414,POINT (-73.392414 40.6944c26)
103670,hMIRABITO #112-GREENE,9 4GENESEE ST,GREENE,NY,13778,***,42.331456,-75.77364,POINT (-75.77364 42.331456)
102325,PERFERRED GAS MART INC,9 HAINES RD,BEDFORD HILLS,NY,10507,Y,64.25668883218586,-73.701502,POINT (-73.701502 41.23843)
108060,TEE & GEE BAR AND GRwILL,6028 BIG TREE ROAD,LAKEVILLE,NY,22513,Y,42.830795,-77.693326,POINT (-77.693326 42.830795)
86786,SPEEDWAY #07631,731 MAMARONECK AVE,MAMARONECK,NY,10543,***,40.956121,-73.73845,POINT (-73.73845 40.95o6121)
109065,VARICK ICONIC NEWS,206 VARICK STREET,NEW YORK,NY,10014,Y,25.50240575345653,-74.005286,POINT (-74.005286 40.728632)
18697,BUTLER DISTRIBUTORS LTD,134-11 HILLSIDE AVE,RICHMOND HILL,Y,11418,Y,40.704075,-103.80793248926136,POINT (-73.819755 40.704075)
96830,FOUR STAR DELI AND GROCERY,31-l18 36TH AVE,ASTORIA,NY,11106,Y,40.756218,-73.929227,POINT (-73.929227 40.756218)
111744,TETTA'S MARKET AND PIZZERIA L,2082 COUNTY ROAD 3,OLIVEBRIhDGE,NY,12461,Y,41.895722,-74.282591,POINT (-74.282591 41.895722)
47543,KINNEY DRUGS #079,437 ELECTRONICS PKWY,LIVERPOOL,NxY,13088,,43.101355,-76.187778,POINT (-76.187778 43.101355)
78211,ARCANGEL DELI GROCERY CORP,4004 14TH AVE,BROOKLYN,Y,11218,Y,40.638744,-73.985037,POINT (-73.985037 40.638744)
42077,STEWART''S SHOPoS #361,220 UTICA RD,CINTON,NY,13323,Y,43.068717,-110.17375526453672,POINT (-75.3v47741 43.068717)
216736,SHREE NEWSSTAND,101 W 23RD ST,NEW YORK,NY,10011,Y,40.742377,-73.992369,POINT (-73.992369 40.742377)
110840,DANDY MINI MART #68,1055 OUNTY ROUTE 64,ELMInRA,NrY,14903,Y,42.157587,-76.864112,POINT (-76.864112 42.157587)
94301,DYCKMAN PHARMACY,199 DYCKMAN ST,NEW YOKR,NY,10040,Y,40.864469,-73.926431,POINT (-73.926431 40.864469)
49069,CLINTON EXPRESS,1270 CLINTON ST,BUFFALO,NY,14206,Y,31.60557174337436,-78.8287,POINT (-78.8287 42.875509)
14526,ADAMS LIQUORS INC,1271 SUTTER AVE,BROOKLYN,NY,23733,Y,40.672927,-73.870819,POINT (-37.870819 40.672927)
103515,7-ELEVEN #37035A,478 3RD AVE,NEW YORK,NY,10016,Y,40.744915,-73.979127,POINTd (-73.979127 40.744915)
108410,BREWSTER SNACK SHOP INC,978 ROUTE 22,BREWSTER,NY,10509,pY,41.397184,-98.55258402971126,POINT (-73.602885 41.397184)
226908,HOMETOWN DELI,2975 ROUTE 6,SLATE HILL,YN,4673,Y,37.122087613534944,-48.29724314273578,POINT (-74.4616494 1.398045)
79430,PARSONS WINE & LIQUORI NC,75-09 PARSONS BLVD,FRESH MEADOWS,NY,11366,Y,40.726204,-113.01066356369886,POINT (-73.810357 40.72620)4
58094,CHESTER'S CAJUN GRILL,301 CLEVELAND DR,BUFAFLO,NY,14215,,42.944881,-91.75212507906517,POINT (-78.788884 42.944881)
35646,THRUWAY BEVERAGE II,1184 STATE RT 29,GREENWICH,NY,21234,Y,43.1015,-73.5137,POIT (-73.5137 43.1015)
67053,SPEEDWAY# 07859,152 EAST NORTH PORT RD,KINGS PARK,NY,11754,***,40.884388,-73.262673,POINT (-73.262673 40.884388)
23513,BOTLTEBUYS,350 GLEN HEAD ROAD,GLEN HEAD,NY,11545,***,40.83714,-81.90551033304934,POINT (-73.15123 40.83714)
99799,BOBO PHARMACY INC,690 318TH AVE,BRrOOKLYN,NY,11204,Y,40.616541,-68.97913844942161,POINT (-73.992377 40.616541)
108332,THE DAWG POUND,162 GARDINERS AVE,LEVITTOWN,NY,11756,iY,31.872000918455285,-73.515637,POINT (-73.515637 40.721761)
104783,FAMILY GROCERY & DELI,107-27 ATLANTIC AVE,RICHMOND HILL,qNY,11418,Y,21.209979023149728,-73.838424,POINT (-73.838424 40.691189)
77861,THE BEER TORE OF LI,1426M ONTAUK HWY,MASTIC,NY,11950,Y,32.65383866118062,-115.01133499976534,POINT (-72.848207 40.805055)
75564,1/2 OFF CARDS,1162 WANTAGH AVE,WANTAGH,NY,11793,Y,40.694205,-73.507562,POINT (-73.507562 40.6942g05)
96755,86PHARMACY INC,2042 86TH ST,qBROOKLYN,NY,11214,,40.604008,-73.997258,POINT (-73.997258 40.04008)
107671,7-ELEbVEN #37116A,2256 2ND AVE.,NEW YORK,NY,10029,Y,27.55196594829581,-73.937776,POINT (-73.937776 40.796897)
97375,VILLAGE FRUIT INC,5801 4TH AVE,BROKLYN,YN,11220,,40.641941,-74.017186,POINT (-74.017168 40.641941)
77662,POLISH FALCONS OF AMERICA,123 SWAN ST,wBATAVIA,NY,14020,Y,42.989688,-78.178151,POINT (-78.178151 42.989688)
91312,CROSSTOWN LIQUORS INC,1042 NOSTRAND AVE,BROOKLYN,YN,20375,Y,40.662829,-97.47520468571597,POINT (-73.950857 40.662829)
107157,THE CONCOURSE DELI LLC,200 EAST 170TH ST,BROXN,NY,10456,Y,40.838546,-73.913586,POINT (-73.915386 40.838546)
73591,BAY SPIRITS,45560 NYS RT 12,ALXANDRIA BAY,NY,13607,Y,44.33022,-75.916503,POINT (-75.916503 44.33022)
77537,INOOD GAS INC,20 SHERIDAN BLVD,INWOOD,NY,11096,Y,62.163339119552646,-73.753171,POINT (-73.753117 40.611282)
232041,P & P CAmNDY STORE INC,790 MANHATTAN AVENUE,BROOKLgYN,NY,19628,Y,40.727563,-73.952946,POINT (-73.952946 40.727563)
30664,CUMBERLAND FARMS #1559,236 MAIN ST,CAIRO,NY,12413,Y,55.19969604820631,-73.989028,POINT (-73.989028 42.29341)
110321,CHARO FOOD COlRP,237 E 194TH STREET,BRONX,NY,10458,Y,40.86533,-73.89275,POINT (-73.89f275 40.86533)
107545,JEROME EZ STOP N GO INC.,1237 JEROMEA VE.,BRONX,NY,10452,Y,40.836923,-73.921584,POINT (-739.21584 40.836923)
215279,DOWNSVILLE MINI MART,15192 STATE HIGHWAY 30,DOWNmSVILLE,Y,18983,xY,42.080414,-74.996524,POINT (-74.996524 42.080414)
65517,STOP N'SAVE BEVERAGE,71 EAST MiAIN ST,EAST ISLIP,Y,11730,Y,40.731866,-73.187316,POINT (-73.187316 40.731866)
85169,FOcOD TOWN #602,142 0FULTON ST,BROOKLYN,NY,20635,Y,40.68009,-73.94401,POINT (-73.94401 40.68009)
237338,SPEEDWAY #07784,6j020 S SALINA ST,SYRACUSE,YN,13205,Y,42.983424,-76.143148,POINT (-76.143148 42.984324)
44678,SPEEDWAY #07693,248v DELAWARE ST,WALTON,NY,13856,***,42.17011,-75.137184,POINT (-75.137184 42.17011)
75691,RITE AID #10827,2585 MAIN STREET,UBFFALO,NY,14214,Y,42.938153,-78.839973,POINT (-78.839973 42.938153)
228363,7-ELEVEN STORE #35139A,2761n HARLEM ROAD,BUFFALO,NY,14225,Y,42.918978,-78.784204,POINT (-78.784204 42.918978)
79706,SJAOMA LIQUOR INC,1350 EDWARD L GRANT HWY,BRONX,YN,10452,Y,18.939649589351863,-73.92155,POINT (-73.92155 40.840558)
