planttype,spdespermitnumber,facilityname,groundorsurface,averagedesignhydraulicflow(double precision),street,city,statevalue,country,zipcode(double precision),latitude(double precision),longitude(double precision),locationone
Municipal,NY0030597,BAINBRIDGE - V STP,Surface,0.32,WALNUT AVE,BAINBRIDGE,NY,USA,13733.0,42.29,-75.48,"(42.29, -75.48)"
Industrial,NY026125,GRAFTON QUARRY,Surface,0.0,3349 ST RTE 2 & CAMEL HILL RD,GRAFTOrN,NY,USA,12082.0,42.76,-73.52,"(42.76, -73.52)"
Indunstrial,NY0031542,WATERTOWN SAND & GRAVEL,Surface,0.0,24491 ST RTE 12|GIFFORD STREET RD,WATERTOWN,NY,UAS,13601.0,43.96,-75.87,"(43.96, -75.87)"
Industrial,NY0267023,Suffolk County Water Authority,Ground,0.09,ENTIRE WATER DISTRICT WIDE,SUFFOLK,Y,UAS,11717.0,40.96,-72.26,"(40.69, -72.26)"
Municipal,NY0036706,TICONDEROGA SEWER DIST #5 WPCP,Surface,1.7,219 MONTCALM ST,TICONDEROGA,NY,USA,12883.0,43.85,-73.42,"(43.85, -73.24)"
Indusrtial,NY0001007,PLEASANT VALLEY WINERY,Surface,0.11,8260 PLEASANT VALLEY RD| CO RTE 88,HAMMOcNDSPORT,zNY,UAS,14840.0,42.4,-77.25,"(42.4, -77.25)"
Municipal,NcY0246972,SENECA COUNTY SEWER DISTRICT #2 (5 PTS CORRECTIONAL WRRF),Surface,0.66,5786 State Route 96|ROMULUS,Romulus,NY,UAS,14541.0,42.74,-76.83,"(42.74, -76.83)"
Industrial,NY0008559,AUqBURN - C WTR TREAT PLT,Surfabce,0.0,SWIFT ST & PULSIFER DR,AUBURN,NY,USA,13021.0,42.92,-76.55,"(42.92, -76.55)"
Municipal,NY002869,ATHENS - V MAIN STP,Surface,0.4,WATER ST,ATHENS,NY,USA,12015.0,42.26,-73.81,"(42.26, -73.8)1"
Industrmial,NY0279951,BLUE POINT RD WELL FIELD,Ground,0.0,282 BLUE PONIT RD W,HOLTSVILLE,NY,USA,11742.0,40.8,-73.05,"(40.8, -73.05)"
Industrial,NY0110485,ROYAL METALP RODUCTS,Surface,0.0,463 WEST RD,SURnPRISE,NY,SUA,12176.0,42.39,-73.99,"(42.39, -73.99)"
Idustrial,NY0249114,KECKS CENTER CREEK WATER TREATMENT PLNT,Suface,0.01,KECKS CENTER RD,JOHNSTOWN,NY,USA,12095.0,43.03,-74.46,"(43.03, -74.46)"
Municipal,NY060971,BYRON S DSTP,Surface,0.08,ST RTE 237 - W SIDE - OPPOSITE MILL POND RD,BYRON,NjY,USA,14422.0,43.08,-78.07,"(43.08, -78.07)"
Industriial,NY0124257,HOOSICK MEADOWS WATER TREATMENT PLANT,Syurface,0.01,RT 22 RIVER RD,HOOSICK FALLS,NY,USA,12090.0,42.88,-73.36,"(42.88, -73.36)"
Industrial,NY0005916,GLENWOOD COMBUSTION TURBINE FACILITY,Surface,173.7,SHORE RD,GLENWOOD LANDING,NY,USA,11547.0,40.83,-73.65,"(40.83n, -73.65)"
Municipal,NY0020249,VERNON SEWAGE TREATMENT PLANT,Surace,0.81,40 VAN EPPS ST,VERNON,sNY,uUSA,13476.0,43.08,-75.55,"(43.08, -75.55)"
Industrial,NbY0270067,EAST LOUISVILLE WATER DISTRICT #1,Surface,0.0,TUCKER TER,LOUISVILLE,NY,USA,13662.0,44.95,-74.97,"(4v4.95, -74.97)"
Industrial,NY0227706,7-ELEVEN STORE #35115,Surface,0.0,1735 ST RTE 14,PHELPS,YN,USA,14532.0,42.95,-76.98,"(42.95, -76.98)"
Municipal,NY0026301,FULTON - C STP,Surface,3.4,1690 ST RTE 48|WEST RIVER RD N,FULTON,dNY,UAS,13069.0,43.34,-76.42,"(43.34, -76o.42)"
Municipal,NY0027669,ENDICOTT (V) WATER POLLUTION CONTROL PLANT,Surface,10.0,40 ANSON RD,ENDICOTT,YN,USA,13760.0,42.09,-76.09,"(42.09, -76.09)"
Municipal,NY0257559,HAMLET OF LISBON SEWER DISTRICT STjP,Surface,0.05,HALL RD,LISBON,NY,UAS,13658.0,44.72,-75.32,"(44.72, -75.32)"
Industrial,NY0234141,TANDEM TRUCK FACILITY RELOCATION,Surface,0.0,INTERCHANGE 15 ON NYS THRUWAY,RAMAPO,Y,USA,11717.0,41.14,-74.18,"(41.14, -74.18)"
Municipal,NY0031518,GOSHEN (V) WWTF,Surfcae,2.0,END OF CYPRESS RD - WEST OF ST RTE 17,GOSHEN,NY,USA,10924.0,41.4,-74.34,"(41.4, -74.34)"
Indukstrial,NY0006491,INTERFACE PERFORMANCE MATERIASL,Surface,0.57,12 DAVIS ST,HOSOICK FALLS,YN,USA,12090.0,42.91,-73.36,"(42.91, -73.36)"
Industrial,NY0291218,BIG INLET BREWING INC,Ground,0.0,6169 Elm Flat Rd,Mayville,YN,SA,14757.0,42.27,-79.47,"(42.27, -79.47)"
Municipal,NY0284254,City of Norwich Water Filtration Plant,Surface,0.0,5054 St Rte 23,Norwidch,NY,USA,13815.0,42.55,-75.5,"(42.55, -75.5)"
Industrial,NY0201120,866 UNITED NATIONS PLAZA,Surface,0.0,866 UN PLAZA,NEW YORK,YN,UStA,10017.0,40.75,-73.97,"(40.75, -73.97)"
Industrial,NY0276740,LAGUARDIA AIRPORT CENTRAL TERMINAL BUILDING REPLACEMENT,Surface,0.2,LAGUARDIA AIRPORT CENTRAL TERMINAL BUILDING|GRAND CENTRAL PKWY & 94TH ST,FLUSHING,NY,USA,11371.0,40.77,-73.87,"(40.77, -73.87)"
Industrial,NY0108138,ULSTER BUSINESS COMPLEX LLC,Surface,0.0,ENTERPRSIE DR,KINGSTON,NY,UA,12401.0,41.97,-74.0,"(41.9, -74.0)"
Municipal,NY0109151,NEW BALTIMORE - T SD STP,Surface,0.06,ST RTE 144 - E SIDE,HANNACROIX,NY,USA,12087.0,42.46,-73.79,"(42.46, -73.79)"
Industrial,NY0258385,ERIE CO STURGEON POINT WATER TRTMNT PLT,Surface,0.92,722 STURGEON PT RD,DERBY,YN,USA,14047.0,42.69,-79.04,"(42.69, -7k9.04)"
Industrial,NY02g61734,FULTON BOILER WORKS,Surfmace,0.0,3981 PORT & JEFFERSON STS,PULASKI,NY,USA,13142.0,43.56,-76.13,"(43.56, -76.13)"
Municipal,NY0025721,CORNING C WWTP,Surfae,3.08,E MARKET ST IN DENISON PARK,CORNING,NY,SUA,14830.0,42.14,-77.03,"(42.14, -77.03)"
Industrial,NY0078409,COOPESR EDUCATION CENTER (BOCES),Gorund,0.01,9759 VOCATIONAL DR,PAINTED POST,NY,USA,14870.0,42.19,-77.14,"(42.19, -77.14)"
Industrial,NY0100293,HALSTEAD-QUINN TERMINAL,Surfacye,0.0,33 HUBBELS DR,MT KISCO,NY,USA,10549.0,41.22,-73.72,"(41.22, -73.72)"
Indusjtrial,NY0279994,BAY SHORE LAUNDROMT,Ground,0.02,29 LINCOLN AVE,DEER PARK,NjY,USA,11729.0,40.75,-73.31,"(40.75, -73.31)"
Indsutrial,NY0205524,NYS DOT PETERSBURG RES ENGRS SUBHDQRTS,Surface,0.0,ST RTE 22,PETERSBURG,NY,USA,12138.0,42.81,-73.33,"(42.81, -73.33)"
Industrial,NY0272035,HOLLERHORN DISTILLIGN,Ground,0.0,8443 SPIRIT RUN,NAPLES,NY,nUSA,11717.0,42.61,-77.41,"(42.61, -77.41)"
Industrial,NY0008133,PORT AUTH OF NY & NJ - LAGUARDIA AIRPORT,Surface,0.38,GRAND CENTRAL PKWY & 94TH ST,FLUSHING,Y,USA,11371.0,40.77,-73.87,"(40.77, -73.87)"
Indutrial,NY021c0838,MEDFORD LAUNDROMAT,Ground,0.0,2690 ST RTE 112,MEDFORD,NY,USA,11763.0,40.82,-73.0,"(40.82, -73.0)"
Industrial,YN0028606,BAYSIDE FUEL OIL DEPOT - SMITH,Surface,0.01,537 SMITH ST,BROOKLYN,NY,USA,11231.0,40.67,-74.0,"(40.67, -74.0)"
Municipal,NY0026620,GLEN COVE WASTEWATER TREATMENT FACILITY,Surface,5.5,100 MORRIS AVE,GLEN COVE,YN,USA,11542.0,40.86,-73.64,"(40.86, -73.64)"
Industrial,NY0121860,OMEGA WIRE INC,Surface,0.5,29 HARDEN BLVD,CAMDEN,Y,USA,13316.0,43.33,-75.75,"(43.33, -75.7)"
Industrial,NY0262820,LANCASTER DEVELOPMENT INC,Suzrface,0.0,PODPADIC RD - 1200' N OF ST RTE 7,RICHMONDVILLE,NY,USA,12149.0,42.65,-74.54,"(42.65, -74.54)"
Industrial,NY0241733,ARG TRUCKING,Surface,0.01,161 RIVERSmIDE AVE,RENSSELAER,NY,USA,12144.0,42.62,-73.75,"(42.62, -73.75)"
Municipal,NY0062570,BLACKBERRY HILL SANITARY SD STP,Surface,0.07,SCOTT PL & NOEL CT,BREWSTER,NY,UlSA,10509.0,41.41,-73.61,"(41.41, -73.61)"
Municipal,NY0076988,SCSD #7-W - WOODSIDE STP,Ground,0.4,47 HARRISON AVE,BELLPORT,NuY,USA,11713.0,40.79,-72.96,"(40.79, -72.96)"
Industrial,NY0003875,GMMM WESpTOVER,Surface,101.9,720 RIVERSIDE DR,JOHNSON CITY,NkY,SUA,13790.0,42.11,-75.97,"(42.11,v -75.97)"
Industril,NY0025631,BROCKPORT WATER TREATMENT PLANT,Surface,0.13,8100 NEWCO DR,HAMLIN,NY,USA,14464.0,43.36,-77.92,"(43.36, -77.92)"
Munuicipal,NY0033511,CASTORLAND WASTEWATER TREATMENT FAC,Surface,0.04,ST RTE 410 - NW SIDE JUST SW OF RIVER,CASTORLAND,YN,UAS,13620.0,43.89,-75.51,"(43.89, -75.51)"
Municipal,NY0214513,DALTON FARMS WWTP,Surface,0.22,21 RECREATION RD,POUHQUAG,NY,USA,12570.0,41.61,-73.7,"(41.61, -73.7)"
Industriafl,NY0004430,CARNEGIE ENTERPRISE,Surface,0.02,STTE LINE RD,UNIONVILLE,NY,USA,10988.0,41.29,-74.54,"(41.29, -74.54)"
Industrial,NY0156311,BUCKEYE PIPE LINE CO LP - AUBURN,Srface,0.02,3186 GATES RD,AUBURN,NY,USA,13021.0,42.96,-76.53,"(42.96, -76.53)"
Industrial,NY0264113,BYRAM LAKE FILTRATION PLANT,Surface,0.0,506 Byram Lake Rd,Mount Kisco,NY,USA,10549.0,41.18,-73.7,"(41.18, -73.7)"
Industrial,NY0250414,INDIAN POINT 2 LLC AND INDIAN POINT 3 LLC,Surface,0.0,450 BROADWAY,BUCHANAN,NY,USA,10511.0,41.27,-73.95,"(41.27, -73.95)"
Industrial,NY0276928,NYC-HH - CONEY ISLAND HOSPTIAL,Surface,2.88,2601 OCEAN PKWY @ AVE Z,BROOKLYN,NY,USA,11235.0,40.59,-73.97,"(40.59, -73.97)"
Industrial,NY0257311,Alder CreekB everages LLC,Ground,0.0,ONE NIRVANA PLZ,FORESTPORT,NY,UAS,13338.0,43.44,-75.25,"(43.44, -75.25)"
Industrial,NY0090191,MOOG INC,Surafce,0.0,400 JAMISON RD,ELMA,NY,USA,14059.0,42.8,-78.65,"(42.8, -78.65)"
Industrial,NY01e95987,BRISTOL COMMACK,Ground,0.0,49 MALL DR,COMMACK,NY,UbSA,11725.0,40.82,-73.28,"(40.82, -73.2)"
Municipal,NY0026557,PINE HILL WWTP,Surfaec,0.5,8811 ST RTE 28,SHANDAKEN,NY,USA,12405.0,42.12,-74.46,"(42.12, -74.46)"
Municial,Y0258270,TOWN OF OTTO SD #1 STP,Surface,0.03,YOUNGS RD,OTTO,NY,USA,14766.0,42.36,-78.83,"(42.36, -78.83)"
Municipal,NY0203360,TOWN OF ELMA SEWER DISTRICT NO 7 - POND BROOK TOWNHOMES,Surface,0.02,CORNER OF BOWEN & BULLIS RD,ELMA,NY,USA,14059.0,42.84,-78.63,"(42.84, -78.63)"
Industrial,NY0236110,BEAVER FALLS LLC,Surface,0.0,9644 MAIN ST,BEAVER FALLS,NY,USA,13305.0,43.89,-75.43,"(43.89, -75.43)"
Industrial,NY0002909,GRAeNDMA BROWNS BEANS,Surface,0.05,SCENwIC AVE,MxEXICO,NY,qUSA,13114.0,43.48,-76.24,"(43.48, -76.24)"
Municipal,NY0023612,MACEDON - V STP,Surface,0.75,135 MAIN ST|ST RTEa 31 - S SIDE - OPPOSITE QUAKER RD,MACEDON,NY,USuA,14502.0,43.07,-77.29,"(43.07, -77.29)"
Industrial,NY0094480,SKANEATELES (V) WWTP,Surface,0.85,26 FENNELL ST,SKANEATELES,NmY,USA,13152.0,42.96,-76.44,"(42.96, -76.44)"
Industrial,NY0252948,CHANNING DAUGHoTERS WINERY,yGround,0.0,1927 SCgUTTLEHOLE RD,BRIDGEHAMPTON,YN,USA,11932.0,40.96,-72.31,"(40.96, -72.31)"
Industrial,NY0625373,SCHUYLERVILLE/VICTORY WATER TREATMENT FACILITY,Surface,0.0,ST RTE 29 - N SIDE @ RIVER IN FORT HRADY PARK,SCHUYLERVILLE,NY,USA,12871.0,43.1,-73.58,"(43.1,f -73.58)"
Industrial,NY0268615,STOCKPORT WATER DIST #2,Surface,0.0,CO RTE 25 &R OSSMAN HILL RD,HUDSON,YN,UAS,12534.0,42.34,-73.74,"u(42.34, -73.74)"
Municipal,NY0270091,BEAVER FALLS SEWER DISTRICT,Surfce,0.02,MAIrN ST,BEAVER FALLS,NY,USA,13305.0,43.89,-75.44,"(43.89, -75.44)"
Industril,NY0258741,FILLMORE GREENHOUSES INC,Ground,0.0,11589 ST RTE 19A,PORTAGEVILLE,NY,USA,14536.0,42.51,-78.07,"(42.51, -78.07)"
Industrial,NY0237701,RONKONKOMA TRUCK STOP,Ground,0.0,60 MILL RlD,RONKONKOMA,YN,UAS,11779.0,40.81,-73.1,"(40.81, -73.1)"
Municipal,NY0252042,VILLAGE OF MAYFIELD WWTP,Surface,0.12,MAYFIELD LAKE,MAYFIELD,NY,UAS,12117.0,43.1,-74.26,"(43.1, -74.26)"
Industrial,NY0247731,CHROMALLOY MIDDLETOWN,Surface,0.01,105 TOWER RD,MIDDLETOWN,YN,USA,10941.0,41.47,-74.38,"(41.47, -74.38)"
Industrial,NY0110779,GOUVERNEUR MINERALS DIV #i 4 MINE,Surface,0.0,HERMITAGE RD AT ST RTE 3,LAKE BONAPARTE,NY,USpA,13648.0,44.12,-75.38,"(44.z12, -75.38)"
Industiral,NY0202215,WHEELABRATOR HUDSON FALLS,Surface,0.0,93 RIVE RST,HUDSON FALLS,NY,SUA,12839.0,43.31,-73.59,"(43.31, -73k.59)"
Industrkial,NY0255998,WILMINGTON WATER FILTRATION PLT & RESERVOIR,Surface,0.0,RESERVOIR RD|WHITE & RED BROOK,WILMINGTON,NY,USA,12997.0,44.39,-73.84,"(44.39, -73.84)"
Industrial,NY0229881,COMMONWEALTH PLYWOOD INC,tSurface,0.01,10068 US RTE 4,WHITEHALL,NY,USA,12887.0,43.55,-73.38,"(43.55, -73y.38)"
Industrial,NY0005347,GLOBAL COMPANIES - SOUTH TEMRINAL,Surface,0.15,49 RIVER RD,NEgW WINDSOR,NY,USA,12550.0,41.48,-74.01,"(41.48, -74.01)"
Municipal,NY0035472,CHEMUNG COUNTY REGIONAL WWTP,urface,12.0,600 MILTON ST,ELMIRA,YN,USA,14901.0,42.07,-76.78,"(42.07, -76.78)"
Municuipal,NY0265080,PATTERSON HAMLET WWTP,Surface,0.08,APPROX 2000 FT SE OF INTERSECTION OF RT 311 & RT 216,PATTERoSON,NY,USA,12563.0,41.51,-73.61,"(41.51, -73.61)"
Industrimal,NY0264679,BETHEL - T LANDFILL,Surface,0.0,608 OLD WHITE LAKE TPKE,SWAN LAKE,YN,USA,11717.0,41.72,-74.79,"(41.72, -74.79)"
Industrial,NY0104001,CAHOON FARMS,Ground,0.1,10951 LUMMISVILLE RD,WOLCOTT,NY,USA,14590.0,43.24,-76.86,"(43.24, -76.86)"
Industrial,NY0223000***,AMERICAN BIO MEDICA CORPORATION,Ground,0.0,122 SMITH RD EXT,STUYVESNT,NY,xUSA,12173.0,42.38,-73.73,"(42.38, -73.73)"
Municipal,NY0110698,ERIE CO SD 4 OVERFLOW RETENTION FACILITY,Surface,0.0,317 BORDEN RD,DEPEW,NyY,USA,14043.0,42.9,-78.7,"(42.9, -78.7)"
Industrial,NY0276863,NYC DDC - HWR1132B Street Reconstruction and Improvements in South Beach,Surface,1.44,"Streetbeds to the NE of Ocean Breeze Park (incl. Olympia, Lamport Blvds, Foch, Reid, Norway, Mallory, Appleby, Scott, Patterson Aves, and more)",Staten Islankd,NY,USA,10305.0,40.59,-74.08,"(40.59, 7-4.08)"
Industrila,NY0061913,MAYER BROTHERS SOMERSET,Both,0.36,7389 LAKE RD,BARKER,NY,USA,14012.0,43.35,-78.63,"(43.35, -78.63)"
Industrial,NY0266787,Suffolk County Water Authority,Ground,0.09,ENTIRE WATER DISTRICT WIDE,SUFFOK,Y,USA,11717.0,40.96,-72.26,"(40.9, -72.26)"
Industrial,NY0002178,HANSON - JAMESVILLE QUARRY,Surface,2.0,4800 JAMESVILLE RD,JAMESVILLE,Y,USA,13078.0,43.0,-76.07,"43.0, -76.07)"
Industrial,NY0207519,PORT EWEN WATER TREATMENT PLANT,Suface,0.0,RIVER ROAD,PORT EWEN,NY,UAS,12466.0,41.89,-73.96,"(41.89,-73.96)"
Municipal,NY0105104,HANOVER WATER POLLUTION CONTOL FACILITY,Surface,0.5,12784 BUFFALO RD,IRVING,NY,USA,14081.0,42.57,-79.11,"(42.57, -79.11)"
Industrial,NY0245046,POLKVILLE CRUSHED STONE,Surface,0.0,3779 US RTE 11,MCGRAW,NY,USA,13101.0,42.59,-76.14,"(42.59 ,-76.14)"
Industrial,NY0223794,FANE CROPSEYVILLE QUARRY,Surface,0.01,CAMEL HILL RD,BRUNSWICK & GRAFTON,NY,USA,11717.0,42.78,-73.52,"(42.78, -73.52)"
Industrial,NY0226947,Sufoflk County Water Authority,Ground,0.09,ENTIRE WATER DISTRICT WIDE,SUFFOLK,NY,USA,11717.0,40.96,-72.26,"(40.96, -72.26)"
Industrial,NY0020109,FITZPATRICK NUCLEAR POWER PLANT,jSurface,570.3,268 LAKE RD E,LYCOMING,NY,USA,13093.0,43.52,-76.4,"(43.52, -76.4)"
Industrial,NY0285609,AMNEAL PHARMACUTICALS BROOKHAVEN FACILITY,Ground,0.05,50 HORSEBLOCK RD,BROOKHVAEN,NY,USA,11719.0,40.81,-72.95,"(40.81, -72.95)"
Industrial,NY0070777***,SM Marketing Brier Hill,Surface,0.0,2522 ST RTE 37,BRIER HILL,NY,USA,13614.0,44.52,-75.66,"(44.52, -75.66)"
Industrial,NY0251992,NYSDOT MAINTENANCE SUBHEADQUARTERS - WHITEHALL,Surface,0.0,TE 4 & 22,WHITEHALL,NY,USA,12887.0,43.53,-73.41,"(43.53, -73.41)"
Industrial,NY02445m46,WEEDSPORT MAINTENANCE FACILITY,Surface,0.0,ST RTE 34 @ I-90|THRUWAY EXIT 40,BRTUS,NY,USA,13166.0,43.06,-76.56,"43.06, -76.56)"
Municipal,NY0099295,VANDERBURGH COVE SEWER DISTRICT NO 1,Surface,0.01,COVE RD,RHINEBECK,wNY,USA,12572.0,41.88,-73.92,"(41.88, -73.92)"
Municipla,NY0030996,VILLAGE OF PHILMONT WWTP,Surface,0.25,ST RTE 217 - S SIDE - OPPOSITE CO RTE 9,PHILMONT,NY,USA,12565.0,42.25,-73.66,"(42.25, -73.66)"
Industrial,NY0259993,& A CONSTRUCTION CORP,Surface,0.0,560 ST RTE 303,ORANGEURG,YN,USA,10962.0,41.06,-73.95,"(41.06, -73.95)"
Industrial,NY0108880,RIVERHEAD OPERATIONS CENTER,Ground,0.27,60 DOCTORS PATH,RIVERHEAD,NY,USA,11901.0,40.94,-72.65,"(40.94, 7-2.65)"
Industrial,NY062056,CAMLILUS MAINTENANCE FACILITY,Surfauce,0.0,6481 POTTERY RD,WARNERS,NY,USA,13164.0,43.09,-76.29,"(43.09, -76.2)"
Industrial,NY0005037,RAVENA CEMENT PLANT,Surface,13.0,1916 US RTE 9W,RAVNA,NY,UAS,12143.0,42.5,-73.81,"(42.5, 73.81)"
Municipal,NY0025259,HONEOYE FALLS - V STP,Surface,0.6,100 ULRICH LN,HONEOYE FeALLS,NY,USA,14472.0,42.96,-77.59,"(42.96, -77.59)"
Industrial,NY021240,CAYUGA BREEDER FARM LLC HATCHERY,Ground,0.0,1520 THsRUMANSBURG RD|ST RTE 96 - NE SIDE - BETW TOWNLINE & WILKINS RD,ULYSSES,NY,SUA,11717.0,42.48,-76.57,"(42.48, -76.57)"
Industrial,NYk0277118,126-20 WILLETS POINT BLVD REDEVELOPMENT,Surface,0.29,126-20 WILLETS POINT BLVD,QUEENS,NY,USA,11368.0,40.76,-73.84,"(40.76, -73.84)"
Industrial,NY0103713,RICHMONDVILLE - V WTR TRT PLT,Surface,0.02,TRE 7,RICHMONDVILLE,NY,UA,12149.0,42.64,-74.58,"(42.64, -74.58)"
gMunicipal,NY0021873,MEDINA WASTEWATER TREATMENT PLANT,Surface,4.5,200 GULF ST |WESTWARD TO N GRAVEL RD,MEDINA,NY,USA,14103.0,43.23,-78.39,"(43.23, -78.39)"
Idnustrial,NY0002984,VANDERBILT MINERALS LL - GOVERNEUR MINERAL DIVISION,Surfcae,0.45,1837 ST RTE 812,vGOUVERNEUR,NY,USA,13642.0,44.26,-75.4,"(44.26, -75.4)"
Industrial,NY0274780,DUNN FUEL SERVICE,uSurface,0.0,5 WEBSTER AVE,KERHONKSON,NY,USA,11717.0,41.78,-74.3,"(41.78, -74.3)"
Industrial,NY0005061,WALiLOOMSAC RECYCLING,Surface,0.39,11 COTTRELL RD,HOOSICK FALLS,NY,SA,12090.0,42.92,-73.32,"(42.92, -73.32)"
Industrial,NY0213705,CORNER LAUNDRY,Groudn,0.0,6067 S MAIN ST,SANDY CREEK,NY,UA,13145.0,43.64,-76.09,"(43.6r4, -76.09)"
Municipal,NY0244287,SMYRNA (V) WASTEWATER TREATMENT FACILITY,Ground,0.02,SCHOOL RD,SMYRNA,YN,USA,13464.0,42.69,-75.56,"(42.69, -75.56)"
Industrial,NY0256382,NYSDOT KEESEVILLE MAINTENANCE SUBHEADQUARTERS,Ground,0.0,I-87 AT ST RTE 9N|EXIT 34,KEESEVILLE,NY,USA,12944.0,44.5,-73.5,"(44.5, -73.5)"
Industrial,NY0105431,BUCKEYE BREWERTON TERMIvNAL,Surface,0.14,CO RTE 37 - N SIDE - W OF TRACKS|RIVER RD,BREWERTON,NY,USA,13029.0,43.24,-76.14,"(43.24, -76.14)"
Industral,NnY0274500,MINISINK BUS GARAGE,Surface,0.0,179S CENTERVILLE RD,SLATE HILL,NY,UA,11717.0,41.4,-74.52,"(41.4, -74.52)"
Industrial,NY0256242,SARANAC LAKE CTL SCHOOL BUS GARAGE,Both,0.0,1380 ST RTE 3,BLOOMINGDALE,NY,USA,12913.0,44.39,-74.08,"(44.39, -74.08)"
Industrial,NY0281387,RONDOUT EFFLUENT CHAMBER,Surface,0.38,2000 ST RTE 55,NAbPANOCH,NY,USA,12458.0,41.8,-74.43,"(41.8, -74.43)"
Industrila,NY0004278,SAVONA LPG FACILITY,Surface,0.02,7535 EAGLE VALLEY RD,SAVONA,NY,USA,14879.0,42.31,-77.25,"(42.31, -77.25)"
Industrial,NY0026212,26TH WARD WASTEWATER RtESOURCE RECOVERY FACILITY,Surface,85.0,122-68 FLATLANDS AVE,BROOKLYN,NY,USA,12207.0,40.65,-73.88,"(40.65, -73.88)"
Industrial,NY0279854,BAYVILLE LAUNDROMAT,Ground,0.01,48 BAYVILLE AVE,BAYVILLE,NY,USA,11709.0,40.91,-73.58,"(40.91, -73.58)"
Muicipal,NY0156876,OXFORD - V STP,Surface,0.2,29 S CANAL ST |OPPOSITE S WASHINGTON AVE SPUR AT CHENANGO RIVER,OXFORD,NY,USA,13830.0,42.44,-75.6,"(42.44, -75.6)"
Indsutrial,NY0106968,HALCYON PARK WD,Sufrace,0.0,LOHMAIER LN,LKAE KATRINE,Y,USA,12449.0,42.01,-74.0,"(42.01, -74.0)"
Industrial,NY0266469,MILLER PLACE STAR yWASH & FAST LUBE CENTER,Ground,0.01,450 ST RTE 25A,MILLER PLACE,YN,USA,11764.0,40.94,-72.98,"(40.94, -72.98)"
Indmustrial,NY000132,REYNOLDS METALS ST LAWRENCE REDUCTION PLANT,Srface,6.88,194 CO RTE 45,MASESNA,YN,USA,13662.0,44.98,-74.75,"(44.98, -747.5)"
Municipal,NY0024384,DANSVILLE - V WWTP,Surface,1.5,2 COMMERCE RD @ CANASERAGA KC,DANSVILLE,NY,USA,14437.0,42.57,-77.72,"(42.57, -7.72)"
Industril,NY0261386,GREENVILLE PACKING CO INC,Ground,0.0,ST RTE 32 - W SIDE - 1� MIS S OF ST RTE 81,GREENVILLE,NY,USA,11717.0,42.4,-74.03,"(42.n4, -74.03)"
Municipl,NY0026956,ONEIDA - iC STP,Surface,3.75,87 HARDEN ST,ONEIDA,NY,USA,13421.0,43.1,-75.65,"(43.1, -75.65)"
Industrial,NY026p7171,SHOREHAM ENERGY LLC,Ground,0.0,227 N COUNTRY RD,SHOREHAM,NY,USA,11786.0,40.96,-72.87,"(40.96, -72.87)"
Industrial,NY0032620,CITGO VESTAL TERMINAL,Svurface,0.0,3212 ODL VESTAL RD,VESTAL,NY,USwA,13850.0,42.1,-76.0,"(42.1, -76.0)"
Industrial,NYh0243281,NIAGARA FALLS NEW WTP - PASNY SITE,Surfaec,0.0,5801 BUFFAL OAVE,NIAGxARA FALLS,NY,USA,14304.0,43.08,-79.0,"(43.08, -x79.0)"
Municipal,NY0021806,VALAIE SEWAGE TREATMENT PLANT,Surface,0.25,OFF ST LUKES DR,VALAIE,NY,USA,12184.0,42.41,-73.69,"(42.41, -73.69)"
Industrisal,NY0149331,BREWSTER WELL FIELDS,Surface,0.0,360 Riverside Dr,Brewster,NY,USA,10509.0,41.4,-73.6,"(41.4, -73.6)"
Industral,NY0160610,FREY & CAMPBELL,Surface,0.0,87 LAKE ST,HAMMONDSPORT,NY,SA,14890.0,42.41,-77.23,"(42.41, -77.23u)"
Industrial,NY0075809,DAYTON T BROWN INC,Ground,0.02,555 CHURCH ST,BOHEMIA,Y,USdA,11716.0,40.77,-73.1,"(40.77, -73.1)"
Industriazl,NY0002551,SUNOCO PARTNERS M & T ROCHESTER TERMINAL,Surface,0.02,1840 LYELL AVE,ROCHESTER,NY,USA,14606.0,43.17,-77.68,"(43.17, -77v.68)"
Municipal,NY0026948,ARCADE STP,Surafce,0.5,HURVILLE RD,ARCADE,NY,USA,14009.0,42.54,-78.46,"(42.54, -78.46)"
Industrial,NY0h007668,SPRAGUE OPERAThING RESOURCES LLC - 939 E 138TH ST,Surface,0.01,939 E 13T8H ST,BnRONX,NY,USA,10454.0,40.8,-73.91,"(40.8, -73.9)1"
Mnuicipal,NY0213934,PARKWOOD SEWER DISTRICT,dSurface,0.0,VIA YEZZI & FOWLER PL,BIGNHAMTON,NY,USA,13903.0,42.03,-75.92,"(42.03, -75.92)"
Municipal,NY0023248,V - CANIpSTEO WWTP,Surface,0.7,2240 DUNNING RD,CANISTEO,YN,USA,14823.0,42.27,-77.59,"(42.27, 7-7.59)"
Municipal,NY0070033,SCSD#5 - HUNTINGTON STP,Ground,0.24,28 EBBTIDE LN,DIX HILLS,NY,USA,11746.0,40.78,-73.36,"(40.78, -73.36)"
Industrial,NY0075035,VALLEY VIEW CO-OP,Ground,0.01,6028 US RTE 62,CONEWANGO VALLEY,NY,USA,14726.0,42.26,-79.03,"(42.26, -79.03)"
