OBJECTID,DEVELOPEDSITEID,CASENAME,LOCALCASEID,REGION,AREATYPE,AREANAME,FS_STATUS_METHOD,ACTIONDATE,EXPIRATIONDATE,BOUNDARYSTATUS,BLM_SERIALNO_EXT,OFFICIALACRES,GIS_ACRES,COMMENTS,SHAPEAREA,SHAPELEN
1667473,737683010667,LOS CONVERSION WITHDRAWAL CASE,NONE,03,RECREATION SITE,"NINE MILE PICNIC GROUND, PLO 4757",,1969/12/30 00:00:00+00,,,,20,19.998,LOS CONVERSION WITHDRAWAL CASE,8.0116165091e-06,0.0116718902359067
1667474,737706010667,LOS CONVERSION WITHDRAWAL CASE,NONE,03,RECREATION SITE,"BALSAM GLADE PICNIC GROUND, PLO 3498",,1964/12/02 00:00:00+00,,,,30,29.998,LOS CONVERSION WITHDRAWAL CASE,1.20175183476e-05,0.0168799200208994
1667475,921174010667,TOWN OF BRECKENRIDGE,NONE,02,TOWNSITE,TOWN OF BRECKENRIDGE,,1982/06/24 00:00:00+00,,,,35.57,34.897,TOWN OF BRECKENRIDGE,1.47869491956e-05,0.0460059450050935
1667476,193408010667,PLO 2978,NONE,02,RECREATION SITE,PLATTE RIVER RECREATION AREA  PLO 2978,,1963/03/18 00:00:00+00,,,,513,503.134,,0.00021837088280325,0.17764586383937
1667477,565827010667,PLO 7160,NONE,02,RECREATION SITE,TELLURIDE SKI AREA  PLO 7160,,1995/09/21 00:00:00+00,,,,3899.59,3878.021,TELLURIDE SKI AREA  PLO 7160,0.0016079234272883,0.839170666708518
1667478,333793010667,LOS CONVERSION WITHDRAWAL CASE,NONE,02,RECREATION SITE,CODY PEAK OBSERVATION  PLO 3841,,1965/10/08 00:00:00+00,,,,10,10.086,LOS CONVERSION WITHDRAWAL CASE,4.6180084889e-06,0.00872323825373321
1667479,333805010667,LOS CONVERSION WITHDRAWAL CASE,NONE,02,RECREATION SITE,HANGING ROCK CAMPGROUND  PLO 3841,,1965/10/08 00:00:00+00,,,,30,29.918,LOS CONVERSION WITHDRAWAL CASE,1.36904055643e-05,0.0155107475462138
1667480,333818010667,LOS CONVERSION WITHDRAWAL CASE,NONE,02,RECREATION SITE,PAHASKA CAMPGROUND  PLO 3841,,1965/10/08 00:00:00+00,,,,250,252.319,LOS CONVERSION WITHDRAWAL CASE,0.00011553731923115,0.0640059255147528
1667481,477214010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,RECREATION SITE,"REDFISH LAKE RECREATION AREA, PLO 3396",,1955/07/14 00:00:00+00,,,,1430,1484.086,LOS CONVERSION WITHDRAWAL CASE,0.0006752448147552,0.392154455771443
1667482,363304010667,MIDDLE FORK ADMINISTRATIVE SITE,3,04,ADMINISTRATIVE SITE,MIDDLE FORK ADMINISTRATIVE SITE,,1908/10/19 00:00:00+00,,,,10,8.751,MIDDLE FORK ADMINISTRATIVE SITE,4.0177307386e-06,0.00817526652716936
1667483,219957010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,RECREATION SITE,"LODGEPOLE, PLO 4744",,1969/01/22 00:00:00+00,,,,140,138.866,LOS CONVERSION WITHDRAWAL CASE,5.953843329865e-05,0.0357883477118547
1667484,311139010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,RECREATION SITE,"CORN CREEK RECREATION AREA, PLO 4115",,1964/05/18 00:00:00+00,,,,60,60.099,LOS CONVERSION WITHDRAWAL CASE,2.520272257305e-05,0.0284051712288458
1667485,401808010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,RECREATION SITE,"HORSE CREEK HOT SPRINGS RECREATION AREA, PLO 4503",,1967/01/19 00:00:00+00,,,,23.8,22.91,LOS CONVERSION WITHDRAWAL CASE,1.067364696525e-05,0.0169528494202265
1667486,363343010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,ADMINISTRATIVE SITE,"SHINGLE FLAT ADMINISTRATIVE SITE, PLO 1374",,1953/07/16 00:00:00+00,,,,80,79.928,LOS CONVERSION WITHDRAWAL CASE,3.677670765355e-05,0.0246412690562448
1667487,363375010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,RECREATION SITE,"PONDEROSA RECREATION AREA, PLO 1374",,1953/07/16 00:00:00+00,,,,70,72.283,LOS CONVERSION WITHDRAWAL CASE,3.341920929715e-05,0.0298669650566313
1667488,951770010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,ADMINISTRATIVE SITE,STARVATION MOUNTAIN OBSERVATION SITE,,1964/04/08 00:00:00+00,,,,10,10.077,LOS CONVERSION WITHDRAWAL CASE,4.96532570175e-06,0.00911241188077551
1667489,951558010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,BIG CREEK CAMPGROUND,,1964/04/07 00:00:00+00,,,,40,38.834,LOS CONVERSION WITHDRAWAL CASE,1.87583271195e-05,0.0177860203358018
1667490,951524010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,ADMINISTRATIVE SITE,CENE ROCK PIT #2765-0.0,,1972/12/06 00:00:00+00,,,,4,2.862,LOS CONVERSION WITHDRAWAL CASE,1.39137034435e-06,0.00490166106711521
1667491,1001130010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,LUND PARK,,1954/08/11 00:00:00+00,,,,100,99.67,LOS CONVERSION WITHDRAWAL CASE,4.49974163338e-05,0.0357865939736561
1667492,972483010667,CASCADE HEAD,SIUCHSA,06,RECREATION SITE,ROCKY BEND CAMPGROUND,,1965/04/15 00:00:00+00,,,,10.11,9.796,LOS CONVERSION WITHDRAWAL CASE,4.54290323205e-06,0.00867180618064143
1667493,1001115010667,LAYING CREEK FOSSIL BED,UMP15334,06,ADMINISTRATIVE SITE,SMITH RIDGE LOOKOUT,,1965/06/10 00:00:00+00,,,,5.06,8.839,LOS CONVERSION WITHDRAWAL CASE,3.95546647245e-06,0.0081693333358518
1667494,951561010667,QUINAULT RESEARCH NATURAL AREA,OLYQUINAUL,06,RECREATION SITE,ELK LAKE CAMPGROUND,,1932/06/18 00:00:00+00,,,,40,39.988,LOS CONVERSION WITHDRAWAL CASE,1.9344346129e-05,0.0179292201785063
1667495,951612010667,QUINAULT RESEARCH NATURAL AREA,OLYQUINAUL,06,RECREATION SITE,JEFFERSON LAKE CAMPGROUND,,1932/06/18 00:00:00+00,,,,60,59.745,LOS CONVERSION WITHDRAWAL CASE,2.889634861395e-05,0.021502420822139
1667496,1120693010667,CHEWELAH SKI AREA,NONE,06,RECREATION SITE,CHEWELAH SKI AREA,,1958/10/08 00:00:00+00,,,,10,19.653,CHEWELAH SKI AREA,9.63918291075e-06,0.0178618803163851
1667497,1066549010667,WOLF CAMP,NONE,06,ADMINISTRATIVE SITE,WOLF CAMP,,1965/04/15 00:00:00+00,,,,10,10.032,WOLF CAMP,4.6523774316e-06,0.00875185835848452
1667498,952061010667,GOLD HILL ADMINISTRATIVE SITE,NONE,06,ADMINISTRATIVE SITE,GOLD HILL ADMINISTRATIVE SITE,,1908/06/30 00:00:00+00,,,,40,39.788,GOLD HILL ADMINISTRATIVE SITE,1.950553220115e-05,0.0180467783048426
1667499,1120726010667,SULLIVAN CREEK,NONE,06,RECREATION SITE,SULLIVAN CREEK,,1958/07/21 00:00:00+00,,,,132,187.095,SULLIVAN CREEK,9.28168941048e-05,0.215012821304807
1667500,972467010667,CASCADE HEAD,SIUCHSA,06,RECREATION SITE,CANAL CREEK CAMPGROUND,,1965/04/15 00:00:00+00,,,,10,9.983,LOS CONVERSION WITHDRAWAL CASE,4.5615220395e-06,0.00867553402495312
1667501,951848010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,SALMON MEADOWS RECREATION AREA,,1964/02/24 00:00:00+00,,,,20,19.552,LOS CONVERSION WITHDRAWAL CASE,9.6584980282e-06,0.0143901207933712
1667502,1066573010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,EAGLE CREEK,,1965/04/15 00:00:00+00,,,,161.26,226.029,LOS CONVERSION WITHDRAWAL CASE,0.0001055604338163,0.0586093135631194
1667503,1066555010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,BADGER LAKE,,1965/04/15 00:00:00+00,,,,10.16,10.045,LOS CONVERSION WITHDRAWAL CASE,4.66354203555e-06,0.00876969821447592
1667504,1066561010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,BIG HORN,,1965/04/15 00:00:00+00,,,,10,9.918,LOS CONVERSION WITHDRAWAL CASE,4.6016849775e-06,0.00871397026138311
1667505,838673010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,ADMINISTRATIVE SITE,TIMOTHY MEADOWS ADMINISTRATIVE SITE,,1908/01/07 00:00:00+00,,,,40,40.313,LOS CONVERSION WITHDRAWAL CASE,1.80849951159e-05,0.0221576522051631
1667506,962032010667,LITTLE FISH ADMINISTRATIVE SITE ADDITION,NONE,06,ADMINISTRATIVE SITE,LITTLE FISH ADMINISTRATIVE SITE ADDITION,,1908/05/22 00:00:00+00,,,,60,83.783,LITTLE FISH ADMINISTRATIVE SITE ADDITION,3.99917857831e-05,0.0255485174391029
1667507,965395010667,DIAMOND LAKE ADMINISTRATIVE SITE,NONE,06,ADMINISTRATIVE SITE,DIAMOND LAKE ADMINISTRATIVE SITE,,1957/11/07 00:00:00+00,,,,80,78.404,DIAMOND LAKE ADMINISTRATIVE SITE,3.508353309275e-05,0.0242352748635599
1667508,1091131010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,ADMINISTRATIVE SITE,DUNCAN GUARD STATION,,1964/05/07 00:00:00+00,,,,60,59.735,LOS CONVERSION WITHDRAWAL CASE,2.78673448557e-05,0.0228675987953782
1667509,858355010667,PLO 1493,NONE,02,RECREATION SITE,RIST CANYON PICNIC GROUND  PLO 1493,,1957/09/09 00:00:00+00,,,,70,70.176,,3.023058283995e-05,0.0299620975518601
1667510,201490010667,PUBLIC LAND ORDER 2844,NONE,02,RECREATION SITE,"SLAVONIA RECREATION AREA, PLO 2844",,1962/12/07 00:00:00+00,,,,80,80.023,"SLAVONIA RECREATION AREA, PLO 2844",3.45474295861e-05,0.0261891781937042
1667511,921269010667,BRECKENRIDGE SKI AREA  PLO 7088,NONE,02,RECREATION SITE,BRECKENRIDGE SKI AREA  PLO 7088,,1994/09/30 00:00:00+00,,,,260,250.777,BRECKENRIDGE SKI AREA  PLO 7088,0.000106245213936,0.0560741865563771
1667512,858374010667,RANGER STATION #14 ADMINISTRATIVE SITE,NONE,02,ADMINISTRATIVE SITE,RANGER STATION #14 ADMINISTRATIVE SITE,,1906/10/26 00:00:00+00,,,,40,40.476,RANGER STATION #14 ADMINISTRATIVE SITE,1.74227847983e-05,0.0168478767320778
1667513,325851010667,LOS CONVERSION WITHDRAWAL CASE,NONE,02,ADMINISTRATIVE SITE,FRUITA ADMINISTRATIVE SITE  PLO 2624,,1962/03/09 00:00:00+00,,,,120,122.331,LOS CONVERSION WITHDRAWAL CASE,5.138188943455e-05,0.0333375311782069
1667514,858390010667,PLO 1493,NONE,02,RECREATION SITE,BRAINARD LAKE RECREATION AREA  PLO 1493,,1957/09/09 00:00:00+00,,,,240,234.168,,0.0001000563191524,0.0468204860222962
1667515,333857010667,LOS CONVERSION WITHDRAWAL CASE,NONE,02,RECREATION SITE,FIDDLERS LAKE CAMPGROUND  PLO 2978,,1963/03/18 00:00:00+00,,,,80,81.002,LOS CONVERSION WITHDRAWAL CASE,3.597514315115e-05,0.0341898374227417
1667516,318285010667,HOOPER RANGER STATION ADMINISTRATIVE SITE  SO 12-4-1906,NONE,02,ADMINISTRATIVE SITE,HOOPER RANGER STATION ADMINISTRATIVE SITE  SO 12-4-1906,,1906/12/04 00:00:00+00,,,,60,60.697,HOOPER RANGER STATION ADMINISTRATIVE SITE  SO 12-4-1906,2.56483385288e-05,0.0213659471282292
1667517,193352010667,PLO 3310,NONE,02,RECREATION SITE,BOBBIE THOMSON CAMPGROUND  PLO 3310,,1964/01/17 00:00:00+00,,,,50,49.629,BOBBIE THOMSON CAMPGROUND  PLO 3310,2.15464150207e-05,0.0203730975554477
1667518,41626010667,PUBLIC LAND ORDER 4922,NONE,02,RECREATION SITE,"EAST FORK CAMPGROUND, PLO 4922",,1970/10/19 00:00:00+00,,,,72,72.355,,3.31852816949e-05,0.0306540744258171
1667519,565828010667,JACKSON ADMINISTRATIVE SITE  SO 3-26-1908,NONE,02,ADMINISTRATIVE SITE,JACKSON ADMINISTRATIVE SITE  SO 3-26-1908,,1908/03/26 00:00:00+00,,,,116,116.928,JACKSON ADMINISTRATIVE SITE  SO 3-26-1908,4.86727629901e-05,0.0315746105575079
1667520,187697010667,PLO 4579,NONE,02,RECREATION SITE,MOGOTE CAMPGROUND  PLO 4579,,1969/01/17 00:00:00+00,,,,194,211.085,,8.6548420204e-05,0.0916088885217947
1667521,333821010667,LOS CONVERSION WITHDRAWAL CASE,NONE,02,RECREATION SITE,REX HALE CAMPGROUND  PLO 3841,,1965/10/08 00:00:00+00,,,,20,20.007,LOS CONVERSION WITHDRAWAL CASE,9.1557885252e-06,0.0137322238767041
1667522,318239010667,PLO 2280,NONE,02,RECREATION SITE,LAKE ISABEL RECREATION AREA  PLO 2280,,1961/02/28 00:00:00+00,,,,309,307.401,,0.0001275673606807,0.0798191862126966
1667523,320737010667,PLO 1901,PIK42,02,ADMINISTRATIVE SITE,MOUNT HERMAN NURSERY ADDITION  PLO 1901,,1959/07/14 00:00:00+00,,,,180,178.283,,7.51047206705e-05,0.0515216328260157
1667524,594669010667,"RUCKER CANYON ADMINISTRATIVE SITE, S.O.",NONE,03,RECREATION SITE,"RUCKER CANYON ADMINISTRATIVE SITE, S.O.",,1908/10/26 00:00:00+00,,,,10,9.967,"RUCKER CANYON ADMINISTRATIVE SITE, S.O.",3.8398436271e-06,0.00785929145281397
1667525,696396010667,PLO 4643,NONE,03,RECREATION SITE,"GRAPEVINE RECREATION AREA, PLO 4643",,1969/04/18 00:00:00+00,,,,20,17.679,LOS CONVERSION WITHDRAWAL CASE,6.91659813795e-06,0.0117108006555455
1667526,594668010667,LOS CONVERSION WITHDRAWAL CASE,NONE,03,RECREATION SITE,"ROSE CANYON RECREATION AREA, PLO 3263",,1963/10/29 00:00:00+00,,,,560,558.846,LOS CONVERSION WITHDRAWAL CASE,0.00021675704492465,0.0881765561126941
1667527,594655010667,LOS CONVERSION WITHDRAWAL CASE,NONE,03,RECREATION SITE,"COCHISE STRONGHOLD RECREATION AREA, PLO 1080",,1955/02/28 00:00:00+00,,,,40,39.533,LOS CONVERSION WITHDRAWAL CASE,1.52559306271e-05,0.0156775591083538
1667528,788161010667,PLO 1095,NONE,03,ADMINISTRATIVE SITE,"ENCINO ADMINISTRATIVE SITE, PLO 1095",,1955/03/15 00:00:00+00,,,,184,184.688,LOS CONVERSION WITHDRAWAL CASE,7.483785985205e-05,0.0417104514309802
1667529,363299010667,BOULDER LAKE ADMINISTRATIVE SITE,3,04,ADMINISTRATIVE SITE,BOULDER LAKE ADMINISTRATIVE SITE,,1908/12/17 00:00:00+00,,,,100,96.428,BOULDER LAKE ADMINISTRATIVE SITE,4.443507872215e-05,0.0304847688097578
1667530,652415010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,ADMINISTRATIVE SITE,"TIERNEY CREEK ADMINISTRATIVE SITE, PLO 1377",,1955/11/25 00:00:00+00,,,,40,39.978,LOS CONVERSION WITHDRAWAL CASE,1.683539522775e-05,0.016539573829763
1667531,477223010667,"VALLEY CREEK ADMINISTRATIVE SITE, EO 1965",2,04,ADMINISTRATIVE SITE,"VALLEY CREEK ADMINISTRATIVE SITE, EO 1965",,1914/06/15 00:00:00+00,,,,64.12,63.818,"VALLEY CREEK ADMINISTRATIVE SITE, EO 1965",2.908773174145e-05,0.0227989998270337
1667532,443848010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,ADMINISTRATIVE SITE,"PANGUITCH LAKE ADMINISTRATIVE SITE, PLO 1775",,1959/01/13 00:00:00+00,,,,17.5,16.306,"PLO 1775 = 100 acres
PLO 7504 Partially revokes PLO 1775 and opens the land, the remaining acres is 17.5 acres",6.74193699965e-06,0.0118699500859255
1667533,463663010667,FAIRVIEW RANGER STATION ADMINISTRATIVE SITE,1,04,ADMINISTRATIVE SITE,FAIRVIEW RANGER STATION ADMINISTRATIVE SITE,,1907/11/09 00:00:00+00,,,,261.5,195.785,FAIRVIEW RANGER STATION ADMINISTRATIVE SITE,8.94145187965e-05,0.039477186209805
1667534,477210010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,RECREATION SITE,"PARADISE RECREATION AREA, PLO 3396",,1955/07/14 00:00:00+00,,,,40,52.2,LOS CONVERSION WITHDRAWAL CASE,2.355747444495e-05,0.0297604197663259
1667535,363271010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,RECREATION SITE,"CANYON RECREATION AREA, PLO 2575",,1960/07/07 00:00:00+00,,,,27,15.352,LOS CONVERSION WITHDRAWAL CASE,7.0968004784e-06,0.0146761145874163
1667536,363430010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,ADMINISTRATIVE SITE,"INDIAN CREEK ADDITION ADMINISTRATIVE SITE, PLO 1374",,1953/07/16 00:00:00+00,,,,119.16,118.969,LOS CONVERSION WITHDRAWAL CASE,5.49760109978e-05,0.0418937060402051
1667537,363434010667,"MOUNTAIN SHEEP ADMINISTRATIVE SITE, PLO 1358",3,04,ADMINISTRATIVE SITE,"MOUNTAIN SHEEP ADMINISTRATIVE SITE, PLO 1358",,1954/03/27 00:00:00+00,,,,180,122.478,"MOUNTAIN SHEEP ADMINISTRATIVE SITE, PLO 1358",5.69110252068e-05,0.0305573858233361
1667538,221370010667,"WHITEROCKS CAVE, PLO 3073",4,04,RECREATION SITE,"WHITEROCKS CAVE, PLO 3073",,1962/12/19 00:00:00+00,,,,100,100.48,"WHITEROCKS CAVE, PLO 3073",4.3263279666e-05,0.0311221727398259
1667539,477253010667,SOLDIER ADMINISTRATIVE SITE,1,04,ADMINISTRATIVE SITE,SOLDIER ADMINISTRATIVE SITE,,1908/06/29 00:00:00+00,,,,160,159.25,SOLDIER ADMINISTRATIVE SITE,7.17055644285e-05,0.0343181609516793
1667540,363392010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,ADMINISTRATIVE SITE,"HORSE HEAVEN ADMINISTRATIVE SITE, PLO 5462",,1972/03/08 00:00:00+00,,,,10,10.047,LOS CONVERSION WITHDRAWAL CASE,4.66151726385e-06,0.00877433385295665
1667541,378724010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,ADMINISTRATIVE SITE,"INDIAN CREEK ADMINISTRATIVE SITE, PLO 2564",,1962/08/28 00:00:00+00,,,,60,59.966,LOS CONVERSION WITHDRAWAL CASE,2.4839349043e-05,0.0209566530538454
1667542,436243010667,Public Land Order 2400,NONE,04,RECREATION SITE,"FRIENDSHIP RECREATION AREA, PLO 2400",,1953/07/03 00:00:00+00,,,,30,29.393,LOS CONVERSION WITHDRAWAL CASE,1.285825331025e-05,0.0167062731049368
1667543,448010010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,ADMINISTRATIVE SITE,"CURRENT CREEK ADMINISTRATIVE SITE, PLO 1228",,1954/05/21 00:00:00+00,,,,19.88,19.884,LOS CONVERSION WITHDRAWAL CASE,8.9228564471e-06,0.0121565213850004
1667544,652362010667,ADMINSTRATIVE AND RECREATION SITE WITHDRAWALS,NONE,04,ADMINISTRATIVE SITE,"MEADOW CANYON ADMINISTRATIVE SITE, PLO 1718",,1958/08/15 00:00:00+00,,,,160,153.662,LOS CONVERSION WITHDRAWAL CASE,6.436660450655e-05,0.0323836595417945
1667545,311094010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,RECREATION SITE,"ADELAIDE PARK RECREATION AREA, PLO 4115",,1964/05/18 00:00:00+00,,,,70,70.067,LOS CONVERSION WITHDRAWAL CASE,2.93844528745e-05,0.0247711731525482
1667546,463631010667,WILDHORSE ADMINISTRATIVE SITE,1,04,ADMINISTRATIVE SITE,WILDHORSE ADMINISTRATIVE SITE,,1908/03/14 00:00:00+00,,,,160,163.91,WILDHORSE ADMINISTRATIVE SITE,7.429929228425e-05,0.0390970813822919
1667547,536379010667,RABBIT CREEK ADMINISTRATIVE SITE,1,04,ADMINISTRATIVE SITE,RABBIT CREEK ADMINISTRATIVE SITE,,1907/11/25 00:00:00+00,,,,201.5,194.151,RABBIT CREEK ADMINISTRATIVE SITE,8.789954719815e-05,0.053820347990082
1667548,401933010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,RECREATION SITE,"TRAPPER FLAT RECREATION AREA, PLO 1564",,1954/10/19 00:00:00+00,,,,30,30.283,LOS CONVERSION WITHDRAWAL CASE,1.40264747955e-05,0.0160319906219457
1667549,401840010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,ADMINISTRATIVE SITE,"COVE CREEK ADMINISTRATIVE SITE, PLO 1564",,1954/10/19 00:00:00+00,,,,40,39.632,LOS CONVERSION WITHDRAWAL CASE,1.840976404425e-05,0.027660549594515
1667550,463655010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,ADMINISTRATIVE SITE,SLEEPING DEER LOOKOUT ADMINISTRATIVE SITE,,1975/02/07 00:00:00+00,,,,80,80.075,LOS CONVERSION WITHDRAWAL CASE,3.683547550065e-05,0.0257567630880499
1667551,448003010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,ADMINISTRATIVE SITE,HALLIE PARK ADMINISTRATIVE SITE,,1907/10/23 00:00:00+00,,,,211.6,89.664,LOS CONVERSION WITHDRAWAL CASE,4.0839014689e-05,0.0309253689716456
1667552,952043010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,ADMINISTRATIVE SITE,SILVERTON ADMINISTRATIVE SITE #44,,1906/11/23 00:00:00+00,,,,36,36.604,LOS CONVERSION WITHDRAWAL CASE,1.787742687805e-05,0.0170801352309486
1667553,1066607010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,PUNCH BOWL,,1965/04/15 00:00:00+00,,,,10,9.742,LOS CONVERSION WITHDRAWAL CASE,4.5480596346e-06,0.00864576000159591
1667554,1066669010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,NOHORN,,1965/04/15 00:00:00+00,,,,30,31.263,LOS CONVERSION WITHDRAWAL CASE,1.44271292189e-05,0.0160615873740273
1667555,1066670010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,OAK FORK,,1965/04/15 00:00:00+00,,,,35,37.638,LOS CONVERSION WITHDRAWAL CASE,1.7417058274e-05,0.0188776826270567
1667556,1066609010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,RAMONA FALLS,,1965/04/15 00:00:00+00,,,,10,9.978,LOS CONVERSION WITHDRAWAL CASE,4.63859777925e-06,0.00874503032803913
1667557,1066663010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,FOREST CREEK,,1965/04/15 00:00:00+00,,,,10,9.831,LOS CONVERSION WITHDRAWAL CASE,4.5548635582e-06,0.00867026031431094
1667558,1093350010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,GRANDE RONDE CAMPGROUND,,1963/05/07 00:00:00+00,,,,30,29.75,LOS CONVERSION WITHDRAWAL CASE,1.373489779405e-05,0.0148277652419614
1667559,964510010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,ADMINISTRATIVE SITE,PELICAN ADMINISTRATIVE SITE,,1906/10/26 00:00:00+00,,,,35,34.045,LOS CONVERSION WITHDRAWAL CASE,1.507664659715e-05,0.0176337112721766
1667560,951803010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,LYDA CAMPGROUND,,1964/02/24 00:00:00+00,,,,10,9.954,LOS CONVERSION WITHDRAWAL CASE,4.89475780355e-06,0.00903757828033159
1667561,951852010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,WAGON CAMP CAMPGROUND,,1964/02/24 00:00:00+00,,,,10,9.994,LOS CONVERSION WITHDRAWAL CASE,4.9278057325e-06,0.00906657003595533
1667562,1091164010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,EDMISTON SPRING CAMPGROUND,,1964/04/07 00:00:00+00,,,,20,19.882,LOS CONVERSION WITHDRAWAL CASE,9.3715056444e-06,0.0124191440028376
1667563,951555010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,ADMINISTRATIVE SITE,TRAPPER CREEK ROCK PIT #2959-3.0,,1972/12/06 00:00:00+00,,,,3,1.328,LOS CONVERSION WITHDRAWAL CASE,6.467869666e-07,0.003343820683608
1667564,961228010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,BADGER MEADOW RECREATION AREA,,1964/04/02 00:00:00+00,,,,40,34.724,LOS CONVERSION WITHDRAWAL CASE,1.64088380608e-05,0.0167276916136919
1667565,1001134010667,LAYING CREEK FOSSIL BED,UMP15334,06,RECREATION SITE,WHITE CREEK CAMPGROUND,,1965/06/10 00:00:00+00,,,,10,10.643,LOS CONVERSION WITHDRAWAL CASE,4.77208581375e-06,0.0115824533765818
1667566,1091159010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,CRAWFORD SPRING CAMPGROUND,,1965/12/01 00:00:00+00,,,,10,9.557,LOS CONVERSION WITHDRAWAL CASE,4.4119350908e-06,0.00851043217031881
1667567,1092246010667,COLLEGE CREEK RANGER STATION,NONE,06,ADMINISTRATIVE SITE,COLLEGE CREEK RANGER STATION,,1908/06/26 00:00:00+00,,,,160,157.641,COLLEGE CREEK RANGER STATION,7.335558048585e-05,0.0419784774709576
1667568,964887010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,MOFFAT SPRING CAMPGROUND,,1963/03/18 00:00:00+00,,,,10.07,9.569,LOS CONVERSION WITHDRAWAL CASE,4.34794317935e-06,0.00843903872991441
1667569,1066532010667,HIGH ROCK,NONE,06,ADMINISTRATIVE SITE,HIGH ROCK,,1965/04/15 00:00:00+00,,,,15,16.214,HIGH ROCK,7.50913781215e-06,0.0109703100583122
1667570,972957010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,ONION,,1965/04/20 00:00:00+00,,,,10,40.167,LOS CONVERSION WITHDRAWAL CASE,1.77288339342e-05,0.0170315138693881
1667571,1041532010667,BEEHIVE ADMINISTRATIVE SITE,NONE,06,ADMINISTRATIVE SITE,BEEHIVE ADMINISTRATIVE SITE,,1908/02/27 00:00:00+00,,,,60,60.241,BEEHIVE ADMINISTRATIVE SITE,2.900697131385e-05,0.0215649032483154
1667572,964503010667,JOHNSON MEADOW ADMINISTRATIVE SITE,NONE,06,ADMINISTRATIVE SITE,JOHNSON MEADOW ADMINISTRATIVE SITE,,1961/03/14 00:00:00+00,,,,40,40.556,JOHNSON MEADOW ADMINISTRATIVE SITE,1.81946824476e-05,0.0173106128399312
1667573,1066659010667,CARTER BRIDGE,NONE,06,RECREATION SITE,CARTER BRIDGE,,1971/01/26 00:00:00+00,,,,10,8.743,CARTER BRIDGE,4.04941200945e-06,0.00857016914535939
1667574,193393010667,BLM REC. & PUB PURPOSES   (79 LOTS IN ESTERBROOK),NONE,02,RECREATION SITE,BLM REC. & PUB PURPOSES   (79 LOTS IN ESTERBROOK),,1965/03/10 00:00:00+00,,,,15.29,15.482,BLM REC. & PUB PURPOSES   (79 LOTS IN ESTERBROOK),6.85247563815e-06,0.0406001182364513
