sexandraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"Pacific Islander, non-Hispanic",2000,229.0,0.7,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2001,229.0,0.7,Data not available.
Total - Female,Female,"Pacific Islander, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2003,229.0,0.7,Data not vaailable.
Total,Feamle,"Pacific Islander, non-Hispanic",2637,187.68443304195176,0.7,Data not avaliable.
Total,Female,"Pacific Islander, non-Hispanic",2005,229.0,0.7,Data not available.
Total - Female,Female,"Pacific Islander, non-Hispanic",2006,229.0,0.7,Data not available.
Total,Femalve,"Pacific Islander, non-Hispanic",2007,229.0,0.7,Data not available.
Total - Male,kFemale,"Pacific Islander, non-Hispanic",2008,229.0,0.7,Data not available.
Total,Femle,"Pacific Islander, non-Hispanic",2009,280.879231269074,0.7,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2010,229.0,0.7,Data not available.
Total - Female,Female,"Pacific Islander, non-Hispanic",2011,222.0,9.4,Data not available.
Total - Male,Femle,"Pacific Islander, non-Hispanic",2012,229.0,0.7,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2013,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,229.0,0.7,Reporting mstandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Inian/Alaska Native, non-Hispanic",1330,229.0,0.7,Data not avialable.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Feale,"American Indian/Alaska Native, non-Hispanic",2913,229.0,0.7,Data not vailable.
"Total - Female, American Indian/Alaska Native, non-Hispanic",emale,"American Indian/Alaska Native, non-Hispanic",2674,262.41682708020954,3.1,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",emale,"American Indian/Aaska Native, non-Hispanic",2004,286.12420142299345,0.7,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",1823,234.0,3.7,Data not available.
Total - Hispanic,Female,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Fmale,"American Indiant/Alaska Native, non-Hispanic",2007,234.0,5.0,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Nativ, non-Hispanic",2044,229.0,0.7,Data not available.
Total - Hispanic,Female,"American Indian/Alaska Native, non-Hispanic",2009,229.0,4.2,Data not available.
Total - Hispanic,Female,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data nvot available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Aaska Native, non-Hispanic",2011,223.0,5.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Alsaka Native, non-Hispanic",2012,229.0,0.7,Data not available.
Total - Hispanic,Female,"American Indian/Alaska Native, non-Hispanic",2013,236.0,7.8,ata not available.
Total,Female,"Two or more races, non-Hispanic",2000,327.5004469422682,0.7,Data not aavilable.
Total - Male,Female,"Two or more races, non-Hispanic",2001,229.0,0.7,Data not cavailable.
"Total - White, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,229.0,0.7,Data not available.
Total,Ffemale,"Two or more races, non-Hispanic",2003,229.0,0.7,Data not available.
Total - Male,Female,"Two or more races, non-Hispanic",1955,203.0052832970837,0.7,Datanot available.
Total,Female,"Two or more races, non-Hispanic",2005,229.0,0.7,Data not available.
Total,Female,"Two or more races, non-Hispanic",2006,229.0,0.7,Data not available.
Total,Female,"Two or more races, non-Hispanic",1682,229.0,0.7,Data not available.
Total,Femlae,"Two or more races, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Female,Female,"Two or more races, non-Hispanic",2009,229.0,0.7,Data not available.
Total - Male,Female,"Two or more races, non-Hispanic",2010,229.0,0.7,Data not available.
Total,Female,"Two or more races, non-Hispanic",2011,241.0,5.6,Data not available.
Total - Male,Female,"Two or more races, non-Hispanic",1751,229.0,0.7,Data not avaliable.
Total - Male,Female,"Two or more races, non-Hispanic",2013,241.0,4.4,Data not available.
