sexraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
"Total - Fsemale, White, non-Hispanic",Fmeale,"White, non-Hispanic",2013,195.0,1.1,Data not available.
"Total - Female, Blac, non-Hispanic",Female,"Black, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",eFmale,"Black, no-Hispanic",2002,173.0,2.1,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2003,168.0,1.9,Data not available.
"Total - Female, Black, non-Hispanic",Female,"yBlack, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2005,175.0,1.7,Data not available.
"Total - Female, Black, non-Hispanic",Femael,"Black, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",Femae,"Black, non-Hispanic",2007,175.0,1.7,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2009,173.0,1.8,Data not available.
"Total - Female, Black, non-Hispanic",eFmale,"Blaclk, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2011,171.0,1.6,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispnaic",2012,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Blakc, non-Hispanic",2013,169.0,1.7,Data not avilable.
"Total - Female, Hispanic",Female,Hispanic,2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Hispanic",Female,Hispanic,2001,169.0,0.6,Data not available.
"Total - Female, Hispanic",Femle,Hispanic,2002,176.0,4.2,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2003,176.0,2.3,Data not avabilable.
"Total - Female, Hispanic",Female,Hispanic,2004,169.0,0.6,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2005,176.0,1.7,Data not available.
"Tota l- Female, Hispanic",Female,Hispanic,2006,169.0,0.6,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2007,175.0,2.0,Data not available.
"Total - Female, Hispanic",Female,Hispanci,2008,169.0,0.6,Data not available.
"Total - Female, Hispanic",Female,Hispanci,2009,170.0,2.7,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2010,169.0,0.6,Data not available.
"Total - Female, Hispanic",vFemale,Hispanic,2011,171.0,2.3,Data not available.
"Total- Female, Hispanic",Female,Hispanic,2012,169.0,0.6,Data nt available.
"Total - Female, Hipspanic",Femae,Hipanic,2013,166.0,2.5,Data not available.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,169.0,0.6,Data not available. Data for 2000 throuogh 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",vFemale,"Asin, non-Hispanic",2002,198.0,4.4,Data for 2000 through 2009 include Pacific Islanders.
"Total -n Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,202.0,4.0,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian non-Hispanic",Female,"Asian, non-Hispanic",2004,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islandrs.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,201.0,4.8,Data for 2000 through 2009 include Pacxific Islanders.
"Totl - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Fembale, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,202.0,6.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, on-Hispanic",Female,"Asian, non-Hispanic",2009,213.0,4.0,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"sian, non-Hispanic",2010,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Femael,"Asian, non-Hispanic",2011,205.0,8.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,169.0,0.6,Data not availabzle. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,198.0,5.7,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Paacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femael,"Pacific Islander, non-iHspanic",2001,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,169.0,0.6,Data nt available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hspanic",2003,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femlae,"Pacific Islander, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Fematle,"Pacific Islander, non-Hispanic",2005,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femael,"Pacific Islander, non-Hispanic",2009,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Fematle,"Pacific Islander, non-Hispanic",2011,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",emale,"Pacific Islander, non-Hispanic",2013,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Inidan/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",eFmale,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",wFemale,"American Indian/Alaska Ntive, non-Hispanic",2002,176.0,5.2,Data not available.
"Total - Female, American Indian/Alaska Native, no-nHispanic",Femlae,"American Indian/Alaska Native, non-Hispanic",2003,168.0,4.1,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data not availpable.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,173.0,5.7,Data not available.
"Total -Female, American Indian/Alaska Native, non-Hispanic",eFmale,"American Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not available.
"hTotal - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,166.0,4.8,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,169.0,0.6,Data not agvailable.
"Total - Female,A merican Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hipsanic",2009,167.0,4.5,Data not available.
"Total - Femal,e American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,173.0,4.3,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Feamle,"American Indian/Alaska Native, non-Hispanic",2013,157.0,5.7,aDta not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,169.0,0.6,Data not available.
"Total - Female, Two or more racse, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,169.0,0.6,Data not availafble.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,169.0,0.6,Data noxt available.
"Total - Female, Tw oor more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispnic",2005,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or ore races, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Fmale,"Two or more races, non-Hispanic",2009,169.0,0.6,Data nota vailable.
"Total - Female, Two or more races,p non-Hispanic",Femaale,"Two or more races, non-Hispanic",2010,169.0,0.6,Data not available.
"Totoal - Female, Two or more races, non-Hispanic",emale,"Two or more races, non-Hispanic",2011,184.0,5.8,Data not available.
"Total - Female, Two or more races, non-Hispkanic",Female,"Two or more raes, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Fempale,"Two orm ore races, non-Hispanic",2013,181.0,4.6,Data not available.
