characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue(double precision),standarderroroncount(double precision),noteoncount
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,30.0,5.05,Reporting stndards not met.,37209.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37206.0,13385.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2623,30.0,5.05,Reporting standards not met.,37206.0,13364.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Mazle,"American Indian/Alaska Native, non-Hispanidc",2009,30.0,5.05,Reporting standards not me.t,37206.0,13332.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13387.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"Americqan Indian/Alaska Native, non-Hispanic",2011,30.0,5.05,Reporting standards not met.,37295.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, nno-Hispanic",2012,30.0,5.05,Reporting standards ot met.,37206.0,13328.0,Reporting standards not met.
"Two or more races, non-Hispanic",aMle,"Two or more races, non-Hispanic",2000,30.0,5.05,Data not available.,37206.0,13326.0,Data not availabxle.
"Two or more races, non-Hispanic",Myale,"Two or more races, non-Hispanic",2297,30.0,5.05,Data not available.,37206.0,13327.0,Datan ot available.
"Two or more races, non-Hispanic",Male,"Two orw more races, non-Hispanic",2002,30.0,5.05,Data not available.,37206.0,13359.0,aDta not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,30.0,5.05,Reporting satndards not met.,37206.0,13371.0,Reporting standards not met.
"Two or more races, non-Hispanic",Mahle,"Two or more races, non-Hispainc",2004,30.0,5.05,Reporting standards not met.,37206.0,13343.0,Reportign standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, no-Hispanic",2005,30.0,5.05,Reporting standards not met.,37206.0,13415.0,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or ore races, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,37206.0,13395.0,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37240.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",ale,"Two or more races, non-Hispanic",2008,30.0,5.05,Reporting standards notmet.,37206.0,13412.0,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more rcaes, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,37206.0,13345.0,Reporting standards not met.
"Two or more races, non-Hispanic",Male,Two or more races non-Hispanic,2010,30.0,5.05,Reporting standards not met.,37206.0,13389.0,Reportng standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,30.0,5.05,Reporting standards not met.,37206.0,13420.0,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two ormore races, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,37206.0,13325.0,Reporting standards not met.
"White, non-Hispanic",Femae,"White, non-Hispanfic",2000,53.7,7.42,Reporting standards not met.,449479.0,67952.4,Reporting standards not met.
"White, non-Hisrpanic",Female,"White, non-Hispanic",2001,46.0,6.3,Reporting standards not met.,394645.0,112667.33786076956,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",1914,54.0,7.83,Reporting standards not met.,461811.0,73630.2,eporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2003,42.7,6.49,Reporting standards not met.,361073.0,59065.4,Reportign standards not met.
"White, non-Hispanic",hFemale,"Wvhite, non-Hispanic",2004,42.0,5.89,Reporting standards not met.,360072.0,53941.6,Reporting standards not met.
"White, non-Hispanic",Female,"Whitte, non-Hispanic",2005,30.2,5.3,Reporting standards not met.,261134.0,48441.2,Reporitng standards not met.
"White, non-Hispanic",Femae,"White, non-Hispanic",2437,47.1,6.8,Reporting standards not mt.,399095.0,62014.4,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2007,44.3,6.48,Reporting standards not met.,368830.0,59340.3,Reportin gstandards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2111,41.4,7.11,Reporting standfards not met.,353412.0,64585.5,Reporting standards not met.
"White, non-Hispankic",Female,"White, non-Hispanic",1416,28.6,5.84,Reporting standards not met.,248459.0,53766.1,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2010,25.0,4.95,Reporting standards not me.t,224347.0,47127.3,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2404,25.1,4.66,Reporting standards not met.,210205.0,41160.5,Reporting standards not met.
"White, non-Hispanic",Femyale,"White, non-Hispanic",2265,39.3,6.02,Reporting standards not met.,326121.0,52920.4,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-yHispanic",2000,57.4,12.35,Reportnig standards not met.,114455.0,26949.5,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hiespanic",2001,46.4,10.61,Reporting standards not met.,95310.0,23271.3,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2002,46.7,13.805246079054957,Reporting standards not met.,95635.0,24854.4,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2003,62.2,11.617833533738164,Reporting standards not met.,118378.0,28197.2,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2004,60.3,12.55,Reporting satndards not met.,119642.0,26851.4,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hspanic",2005,52.5,1.3592000177583496,Reporting standards not met.,101575.0,26403.6,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispnic",2006,50.9,12.23,Reporting standards not met.,97198.0,25054.7,Reporting standards not met.
"Black, non-Hispanic",Feale,"Black, non-Hispanic",2007,41.6,9.02,Reporting standards not met.,-184833.53593847936,19873.2,Reporting standuards not met.
"Black, non-Hispanic",Female,"Black, no-Hispanic",2008,50.3,13.85,Reporting tsandards not met.,101890.0,29827.4,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, nno-Hispanic",2009,67.91665733273106,10.16,Reporting standaurds not met.,61037.0,21556.2,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2010,51.2,12.35,Reporting standards not met.,107514.0,28412.3,Reporting stnadards not met.
"Black, non-Hispanic",Fdemale,"lack, non-Hispanic",2011,40.1,9.79,Reprting standards not met.,88578.0,23208.6,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-iHspanic",2012,27.9,8.33,Repodrting standards not met.,62333.0,19321.1,Reporting standards not met.
Hispanic,Female,Hispnaic,2000,31.7,8.38,Reporting standards not met.,69293.0,19397.1,Reporting standards not met.
Hispanic,Female,Hispnaic,2882,27.0,7.51,Reporting standardks not met.,60506.0,17569.4,Reporting standards not met.
Hispanic,Female,Hipsanic,2002,24.7,7.14,Reporting standards not met.,58497.0,17882.3,Reporting standards not met.
Hispanic,Female,Hispanikc,2003,34.4,8.48,Reporting standards not met.,90790.0,23754.6,Reporting staendards not met.
Hispanic,Female,Hivspanic,2004,27.2,7.18,Reporting standards not met.,70822.0,97630.85384525207,Reporting standardsn ot met.
Hispanic,emale,iHspanic,2005,37.2,9.36,Reporting standayrds not met.,-183441.8747197908,25329.3,Reporting standards not met.
Hispanic,Female,Hipsanic,2006,34.4,8.68,Reporting standards not met.,89147.0,23743.9,Reporting standards not mfet.
Hispanic,Female,Hispanc,2007,67.07737806360446,5.05,Reporting standards not met.,57104.0,15135.0,Reporting standards not met.
Hispanic,Female,Hispangic,2008,14.5,6.08,Repotring standards not met.,40070.0,17182.1,Reporting standards not met.
Hispanic,Female,Hispanhic,2009,29.4,8.91,Reporting standards not met.,80023.0,25607.3,Reporting standards nont met.
Hispanic,Female,Hispanic,2010,70.90786774185878,6.18,Reoprting standards not met.,52231.0,17482.9,Reporting standards not met.
Hispanic,Female,Hispanic,2011,30.0,7.44,Reporting standards not met.,88042.0,23117.0,Reporting standards not met.
Hispanic,Febmale,Hispaynic,2012,30.4,7.37,Reporting standards not me.t,102619.0,25965.3,Reporting standards not met.
"Asian, non-Hispanic",Female,"Aian, non-Hispanic",2000,30.0,5.05,Data not available.,37206.0,13381.0,Data not available.
"Asian, non-Hispanic",Female,"sAian, non-Hispanic",2001,81.78477194117383,5.05,Data not available.,37206.0,13406.0,Data not availbale.
"Asian, non-Hispanic",Female,"Asian,n on-Hispanic",2002,30.0,10.775183752851722,Data not available.,37206.0,13418.0,Data not availabl.
"Asian, non-Hispanic",Female,"Asian, non-Hispanci",2003,30.0,5.05,Reporting standards not met.,37206.0,13332.0,Reportiqng standards not met.
"Asian, non-Hispanic",Female,"Asian, noon-Hispanic",2004,30.0,5.05,Reporting standards not emt.,37206.0,13391.0,Reporting standards not met.
"Asian, non-Hispanic",Femae,"Asian, non-Hispnic",2005,30.0,1.7626338726257833,oReporting standards not met.,37206.0,13343.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-ispanic",2006,30.0,5.05,Reportin standards not met.,37206.0,13371.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asan, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37206.0,13416.0,Reporting standards not mte.
"Asian, non-Hispanic",Female,"Asian, non-Hispnic",2008,30.0,1.5269963562355269,Reporting standards not met.,37206.0,13367.0,Reporting standards not met.
"Asian, non-Hispanic",Fmeale,"Asian, nonn-Hispanic",2324,30.0,5.05,Reportnig standards not met.,37293.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanci",2010,30.0,5.05,Reporting standards not met.,37206.0,13328.0,Reporting standards ot met.
"Asian, non-Hispanic",Female,"sAian, non-Hispanic",2365,30.0,1.7349612647097876,Reporting standards not met.,37206.0,13352.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,37206.0,13349.0,Rporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacfiic Islander, non-Hispanic",1533,30.0,5.05,Data not available.,37206.0,13356.0,Data not avkailable.
"Pacific Islander, non-Hispanic",Female,"Paciic Islander, non-Hispanic",2001,30.0,5.05,Data not avaiable.,37206.0,13395.0,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispaic",2002,79.22131874578122,5.05,Data not available.,37206.0,13394.0,Data not availabl.e
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hisapnic",2003,30.0,5.05,Reportign standards not met.,37206.0,13410.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Femael,"Pacific Islander ,non-Hispanic",2206,30.0,5.05,Reporting stanards not met.,37206.0,13372.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Fmeale,"Pacific Islander, non-Hipanic",2005,30.0,5.05,Reporting standards not met.,37206.0,13416.0,Repomrting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,37206.0,13392.0,Reporting standardsv not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hisapnic",2007,30.0,5.05,Reporting standards not met.,37206.0,13351.0,Reporting standardsn ot met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hsipanic",2008,30.0,5.05,Reorting standards not met.,37206.0,13366.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, nno-Hispanic",2009,30.0,5.05,Reporting standarsd not met.,37206.0,13338.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islande, non-Hispanic",2010,30.0,1.7856030969804195,Reporting standards not met.,37206.0,13355.0,Reporing standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hibspanic",2011,30.0,5.05,Reporting standardsn ot met.,37206.0,13407.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Isander, non-Hispanic",2012,30.0,5.05,Rpeorting standards not met.,37206.0,13385.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Inidan/Alaska Native, non-Hispanic",2000,30.0,5.05,Reportig standards not met.,37239.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hisapnic",2001,30.0,5.05,Reporting standards not met.,37268.0,13322.0,Repeorting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Nabtive, non-Hispanic",2573,30.0,5.05,Reporting standards not met.,37206.0,13335.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Induian/Alaska Native, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,37206.0,13370.0,Reporting standards not me.t
"American Indian/Alaska Native, non-Hispanic",Femle,"American Indian/Alaska Native, non-Hispainc",2209,30.0,5.05,Reporting standards not met.,37206.0,13418.0,Rueporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hipanic",2005,30.0,5.05,Reporting standards not met.,37206.0,13361.0,Reporting sandards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"Aemrican Indian/Alaska Native, non-Hispanic",2006,82.41006234523272,1.2781899695684336,Reporting standardsnot met.,37206.0,13396.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Nativ, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37206.0,13329.0,Reportin standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"Ameican Indian/Alaska Native, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37206.0,13367.0,Reproting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Ahlaska Native, non-Hispanic",2009,30.0,5.05,Reporting standuards not met.,37206.0,13346.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, noon-Hispanic",2010,30.0,5.05,Reporitng standards not met.,37206.0,13330.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"Amerian Indian/Alaska Native, non-Hispanic",2011,85.39902371377018,5.05,Reporting standards not met.,37206.0,13400.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Nativ, non-Hispanic",1787,30.0,1.3244327223431551,Reporting standards not met.,37206.0,13360.0,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or moer races, non-Hispanic",2000,30.0,5.05,Data not available.,37206.0,13398.0,Data not availasble.
"Two or more races, non-Hispanic",Fmale,"Two or more races, non-yHispanic",2001,30.0,5.05,Data not available.,37206.0,13410.0,Data not availabel.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,30.0,5.05,Data not available.,37206.0,13404.0,Dat not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,30.0,10.75863180812844,Reporting standards not met.,37206.0,13350.0,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",1339,30.0,5.05,Reporting standards not met.,37206.0,13410.0,Reporting standards not met.
"Two or more races, non-Hispnic",Feale,"Two or more races, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,37206.0,13326.0,Reporting satndards not met.
"Two or more races, non-Hispanic",Fmale,"Two or more races, non-Hiwspanic",2006,30.0,5.05,Reporting standards not met.,37206.0,13419.0,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37206.0,13360.0,Reporting standards no met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37206.0,13378.0,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2072,30.0,5.05,Reporting standardsn ot met.,37206.0,13354.0,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races ,non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13364.0,Reporting standars not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",1323,30.0,5.05,Reporting standards not met.,37208.0,13322.0,Reporting standards not met.
"Two or more races, non-Hipsanic",Female,"Two or more races, non-Hispanic",2012,30.0,5.05,Reportin gstandards not met.,37206.0,13372.0,Reporting standards not met.
