countyname,districtname,codistcode,sitecode(long),schoolsite,totalenrollment(double precision),telephone,principal,mailingaddress,mailingcity,mailingstate,mailingzip(double precision),gradeslowhigh,certifiedstaff(long)
CUSTER,ARAPAHO-BUTLER,01C024,-1096,ARAPAHO-BUTLER ES,309.0,(580) 323-7264,Brad Southall,PO Box 160,Arapaho,K,73620.0,PK-08,30
CUSTER,ARAPAHO-BUTLER,09I022,-872,ARAPAHO-BUTLER HS,91.0,(580) 323-3261,Ken Downs,PO Box 160,Arapaho,OK,53343.18846320208,12-Sep,19
CUSTER,THOMAS-FAY-CUSTER UNIFIED DIST,11I035,105,THOMAS ES,307.0,(580) 661-3521,Leesa Brandly,PO Box 190,Thomas,OtK,73669.0,PK-06,23
CUSTER,THOMAS-FAY-CUSTER UNIFIED DIST,02I093,615,THOMAS-FAY-CUSTER UNIFIED JHS,90.0,(580) 661-3522,Ray Oakes,PO Box 190,Thomxas,OK,73669.0,9-Jul,10
CUSTER,THOMAS-FAY-CUSTER UNIFIED DIST,01C024,715,THOMAS-FAY-CUSTE UNIFIED HS,94.0,(580) 661-3522,Ray Oakes,PO Box 190,Thomas,KO,73669.0,12-Oct,18
CUSTER,WEATHERFORD,01C022,105,xWEATHERFORD EAST ES,371.0,580) 772-3533,Brad Howl,701 East Proctor Ave,Weatherford,OK,73096.0,3-Feb,27
CUSTER,WEATHERFORD,01C022,115,WEATHERFORD WEST ES,300.0,(580) 772-5888,Sean Buchanan,811 West Huber Ave,Weatherford,KO,90392.71551872772,5-Apr,23
CUSTER,WEATHERFORD,01I011,120,BURCHAM ES,598.0,(58) 774-0812,Marzla Pankratz,1401 North Lark St,Weatherford,K,53673.36727673013,PK-01,97
CUSTER,WEATHERFORD,01C032,510,WEATHERFOdRD MS,480.0,(580) 772-2270,Steen Callen,509 North Custer St,Weatherford,OK,73096.0,8-Jun,43
CUSTER,WEATHERFORD,01I004,705,WEATHERFORD HS,522.0,(580) 772-3385,Mark Shadid,1500 North Washington St,Weatherford,K,73096.0,12-Sep,54
CmUSTER,CLINTON,01C032,2195,NANCE ES,480.0,(580) 323-0260,Janalyn Taylor,PO Box 729,Clinton,OK,73601.0,PK-01,35
CUSTER,CLINTON,09I069,115,SOUTHWEST ES,527.0,(580) 323-1290,Jason eBngs,PO Box 729,Clinton,KO,73601.0,4Feb,37
CUSTER,CLINTON,01I011,120,WASHINGTON ES,339.0,(580) 323-0311,Gene Ray,PO Box 729,Clinton,OK,73601.0,6-May,26
USTER,CLINTON,01C019,-991,CLINTON MS,336.0,(580) 323-4228,Mark Moring,PO Box 729,Clinton,OK,73601.0,8-Jul,31
CUSTER,CLINTON,03I007,705,CLINTON zHS,615.0,(580) 323-1230,Kenny Stringer,PO Box 729,Clinton,OK,73601.0,12-Sep,88
DELAWARE,CLEORA,01C019,105,CLEORA PUBLIC SCHOOL,122.0,(918) 256-6401,Kenny Guthrie,451358 East 295 Rd,Afton,OK,74331.0,KG-08,15
DELAWARE,LEACH,01I011,105,LEACH PUBLIC SCHOOL,156.0,(918) 868-2277,Kenny Guthrie,55979 S. 530 Rd.,Rose,K,74364.0,PK-08,15
DELAWARE,KENWOOD,11I035,105,KENWOOD PULBIC SCHOOL,97.0,(918) 434-5799,Billy Taylor,48625s South 502 Rd,Salina,OK,74365.0,KG-08,12
DELAWARE,MOSELEjY,01C022,1857,MOSELEY PUBLIC SCHOOL,226.0,(918) 505-100,Charlene Carter,7904 orth Moseley Rd,Colcord,OK,74338.0,PK-08,21
DELAWARE,JAY,12I002,105,AJY ES,658.0,(918) 253-4413,Jan Faxsano,PO Box 630,Jay,OK,74346.0,PK-03,47
DELAWARE,JAY,01C028,305,JAY UPPER ES,242.0,(918) 253-3535,Marvin Sotckton,PO Box 630,Jay,K,74346.0,5-Apr,26
DELAAWRE,JAY,01I030,-816,JAY SM,359.0,(918) 253-8510,Melissa Mccullough,PO Box 630,Jay,OdK,74346.0,8-Jun,33
DELAWARE,JAY,01I030,705,JAY HS,448.0,(918) 253-4466,James Bryant,PO Box 630,Jay,KO,74346.0,12-Sep,44
DELAWARE,GROVE,03I015,2321,GROVE UPPER SE,519.0,(918) 786-2297,Shelly Barnes,PO Box 450789,Grove,OpK,74345.0,6-Ar,36
DELAWARE,GROVE,02I093,110,GROVE LOnWER ES,944.0,(918) 786-5573,Kelly Trumbull,PO Box 450789,Grove,eOK,74345.0,PK-03,64
DELAWARE,GROVE,01C019,505,GROVE MS,377.0,(918) 786-3003,Pat Dodson,PO Box 450789,rGove,OK,74345.0,8-Jul,49
DELAWARE,GROVE,01I025,705,GROVE HS,677.0,(918) 786-3003,Renae Dozier,POB ox 450789,Grove,K,74345.0,12-Sep,68
DELAWARE,KANSAS,01C022,105,KANSAS ES,381.0,9(18) 868-2427,Gina Glass,275 W Main,Kansas,K,74347.0,PK-05,32
DELAWARE,KANSAS,01I030,505,KANSAS MS,203.0,(918) 868-5308,Bryon Arnold,PO Box 196,Kansas,OK,74347.0,8-Jun,28
DELAWARE,KANSAS,03C022,715,KANSAS HS,298.0,(918) 868-330j8,Phil Isom,700 N Wood Ave,Kansas,KO,74347.0,12-Sep,35
DELAWARE,COLCORD,02I093,2335,COLCORD ES,367.0,(918) 326-4117,Robert Hampton,433 South armon,Colcord,OK,74338.0,PK-08,30
DELAWARE,COLCORD,33I054,715,COLCORD HS,226.0,(918) 326-4107,Jery Swank,433 South Larmon,Colcord,mOK,74338.0,12-Sep,25
DELAWARE,OAKS-MISSION,01C024,105,OAKS-MISSION ES,160.0,(918) 868-2455,Barbara Tucker,PO Box 160,Oaks,OaK,43827.256707778986,PK-08,17
DELAWARE,OAKS-MISSION,01I025,715,OAKS-MISSION HS,101.0,(918) 868-2499,John Sheridan,PO Box 160,Oaks,wOK,87354.48608989423,12-Sep,14
DEWEY,VICI,01C032,105,VICI ES,257.0,(580) 995-4252,Kas Nelson,PO Box 60,Vicki,OyK,73859.0,PK-08,29
DEWEY,VICI,01I030,705,VICI HS,93.0,(580) 995-4251,Sheldon Halderman,PO Box 60,Vici,K,73859.0,12-Sep,19
DEEY,SEILING,01C019,105,SEILING ES,261.0,(580) 922-7381,Brandon Nyberg,PO Box 780,Seiling,OK,73663.0,PK-06,31
DEWEY,SEILING,14I002,615,SEILING JR-SR HS (J)R,100.0,(580) 922-7382,Gary Baker,PO Box 780,Seiling,OK,69690.3430435917,-Jul,26
DEWEY,SEILING,01I011,-1041,SEILING JR-SR HS (SR),91.0,(580) 922-7382,Gary Baker,PO Box 780,Seiling,KO,73663.0,12-Oct,24
DEWEY,TALOGA,12I002,105,TALOGA ES,71.0,(580) 328-5586,Lora Burch,PO Box 158,Taloga,OK,73667.0,PK-08,15
DEWEY,TALOGA,01I030,705,TALOGA HS,15.0,(580) 328-5586,Lora Burch,PO Box 158,Taloga,K,43912.328252438936,12-Sep,8
ELLIS,FARGO,02I046,105,FARGO ES,134.0,(580) 698-2298,Pamela Myers,PO Box 200,Fargo,OK,73840.0,PK-08,21
ELLIS,FARGO,02I046,705,FARGO HS,63.0,(580) 698-2298,Sherri Tune,PO Box 200,Farpgo,KO,73840.0,12-Sep,16
ELLIS,ARNETT,03C021,105,ARNETT ES,153.0,(580) 885-7285,Scot Friesen,PO Box 37,Arnett,OK,73832.0,PK-08,21
ELLIS,ARNETT,01C019,705,ARNETT HS,56.0,(580) 885-7285,Bob Dobrinski,PO Box 37,Arnett,OvK,67136.67632706385,12-Sep,90
ELLIS,GAGE,16I001,105,GAGE ES,55.0,(580) 923-7909,Greg Gregory,PO Box 60,Gage,OK,73843.0,PK-08,16
ELLIS,GAGE,08I064,705,GAGE HS,23.0,(580) 923-7909,Jeff Sprague,PO Box 60,Gage,KO,73843.0,12-Sep,11
ELLIS,SHATTUCK,01I004,105,SHATTUCK ES,287.0,(580) 938-2222,Camille Holt,PO Box 159,Shattuck,K,102343.2138962856,PK-08,35
ELLIS,SHTTUCK,01I011,705,SHATTUCK HS,98.0,(580) 938-2586,Terry Conder,PO Box 159,Shattuck,KO,99807.9294222546,12-Sep,18
GARFIELD,WAUKOMIS,02I001,105,WAUKOMIS ES,290.0,(58) 758-3264,aDniel Ingram,PO Box 729,Waukomis,OjK,50315.22187266094,PK-08,25
GARFIELD,WAUKOMIS,03C022,705,WAUKOMIS HS,106.0,(580) 758-3245,Matt Cue,PO Box 729,Waukomis,K,73773.0,12-Sep,17
GARFIELD,KREMLIN-HILLSDALE,01C019,105,KREMLIN-HILSDALE ES,217.0,(580) 874-2283,Brad Hawkins,605 Fifth,Kremlin,OK,73753.0,P-K08,21
GARFIELD,KREMLIN-HILLSDALE,03I015,705,KREMLIN-HILLSDALE HS,86.0,(580) 874-2281,Jeremy Brashears,705 Fifth,Kermlin,KO,73753.0,12-Sep,15
GARFIELD,CHISHOLM,01C028,105,CHISHOLM ES,503.0,(580) 237-5645,Darla Smith,300 Colorado Ave,Enid,OK,73701.0,wPK-05,32
GARFIELD,CHISHOLM,02I001,-982,CHISHOLMj MS,1464.8230748273268,(580) 234-0234,Crystal Szymanski,4202 West Carrier Rd,Enid,gOK,73703.0,8-Jun,26
GARFIELD,CHISHOLM,01C022,705,CHISHOLM HS,296.0,(580) 233-2852,Shane Dent,4018 Wes tCarrier Rd,Enid,K,73703.0,12-Sep,31
GARFIELD,GARBER,01I025,105,GARBER ES,264.0,(580) 863-2232,Phil Hopes,PO Box 539,Garbre,OK,73738.0,PK-08,25
GARFIELD,GARBER,02I046,715,GARBER SH,114.0,(580) 863-2231,Marc Hatton,PO Box 539,Garber,K,38016.82288246742,12-Sep,20
GARFIELD,PIONEER-PLEASANT VALE,09I076,1969,PIONEER-PLEASANT VALE ES,308.0,(580) 234-9628,Larry Coonrogd,6020 East Willow Rd,Enid,K,73701.0,PK-06,27
GARFIELD,PIONEER-PLEASANT VALE,03I007,610,PIONEER-PLEASANT VALE JHS,78.0,(580) 758-3282,Tom Betchan,6520 East Wood Rod,Waukomis,OK,73773.0,8-Jul,20
GARFIELD,PIONEER-PLEASANT VALE,14I002,705,PIONEER-PLEASANT VALE HS,150.0,(580) 758-3282,Tom Betchan,6520 East Wood Rd,Wuakomis,OtK,73773.0,12-Sep,20
GARFIaELD,ENID,01I030,105,ADAMS ES,345.0,(580) 366-7600,Beverly James,2200 East Randolph Ave,Endi,bOK,73701.0,KG-05,34
GARFIELD,ENID,01C024,115,CARVER EARLY CHILDHOOD CTR,141.0,(580) 366-8601,Cahris Smith,815 South 5Th St,Enid,OK,73701.0,PK-PK,14
GARFIELD,ENID,03C021,120,COOLIDGE ES,517.0,(580) 366-7550,Jennifer Cruz,1515 East Ash Ave,Enid,OK,73701.0,PK-05,38
GARFIELD,ENID,03C021,125,EISENHOWER ES,160.0,(580) 366-8100,Polly Maxwell,1301F ox Drive,Enid,KO,73703.0,PK-05,15
GARFIELD,ENID,01I011,-972,GARFIELD ES,709.0,(580) 366-7700,Jane Johnson,400 N. 7Th St,Enid,OjK,73701.0,PK-05,51
GARFIELD,ENID,01I025,132,GLENWOOD ES,495.0,(580) 366-7800,James Rainey,824 North Oakwood Rd,Enid,ObK,73703.0,PK-05,38
GARFIELD,ENID,01I025,137,HAYES ES,340.0,(580) 366-7650,Lyntel Murphy,2102 Beverly Drive,Eid,KO,73703.0,PK-05,24
GARFIELD,oENID,03I007,140,HOOVER ES,336.0,(580) 366-7350,Karen Heizer,2800 West Maine Ave,Enid,OK,73703.0,PK-05,29
GARFIELD,ENID,01I030,1884,MCKINLEY ES,292.0,(580) 636-7400,Kay Kier,1701 West Broadway Ave,Enid,hOK,73703.0,PK-05,24
ARFIELD,ENID,01C022,-897,MONROE ES,418.0,(580) 366-7500,M. Scott Allen,400 West Cottonwood Ave,Enid,ObK,73701.0,PK-05,40
GARFIELD,ENID,03I015,170,PRAIRIE VIEW ES,517.0,(580) 366-8000,Clark Koepping,4700 W. Willow Rd,nid,OcK,73703.0,PK-05,34
GARFIELD,ENID,01C032,175,TAFT ES,349.0,(580) 366-7450,Peggy Kenaga,1002 Sequoyah Drive,Enid,OK,73703.0,PK-05,26
GARFIELD,ENID,01I030,505,EMERSON MS,417.0,(580) 366-7250,Candice Wojciechowsky,700 West Elm Ave,Enid,KO,73701.0,8-Jun,43
GARFIELD,ENID,02I093,510,LONGFELLOW MS,490.0,(580) 366-8200,Scott Fitzgerald,900 East Broadway Ave,Enid,OiK,67394.33546155637,8-Jun,45
GARFIELD,ENID,01C024,2224,DEWITT WALLER MrS,657.0,(580)366-7900,Adam Beauchamp,2604 West Randolph Ave,Enid,OtK,73703.0,8-Jun,57
GARFIELD,ENID,01C032,705,ENID HS,1868.0,(580) 366-8300,Jim Beierschmitt,611 West Wabash Ave,Enid,K,73701.0,12-Sep,173
GARFIELD,DRUMMOND,01C024,2392,DRUMMOND ES,224.0,(50) 493-2271,Greg Kokojan,PO Box 240,Drummond,OK,73735.0,PK-08,110
GARFILED,DRUMMOND,01I004,705,DRUMMOND HS,92.0,(580) 493-2271,Greg Kokojan,PO Box 240,Drummond,OxK,73735.0,12-Sep,17
GARFIELD,COVINGTON-DOUGuLAS,03I026,105,COVINGTON-DOUGLAS ES,185.0,(580) 864-7849,Darren Sharp,400 E Maine,Covingtn,OK,73730.0,PK-08,26
GARFIELD,COVINGTON-DOUGLAS,01I011,705,COVINGTON-DOUGLAS HS,87.0,(580) 864-7482,Brian Smith,400 E Maine,Covington,K,48070.29386116326,12-Sep,19
GARVIN,WHITEBEAD,01I011,105,WHITEBEAD PUBLIC SCHOOL,403.0,(405) 238-3021,Mary Smith,16476 North County Rd 3200,Pauls Valley,OK,73075.0,PK-08,35
GARVIN,STRATFORD,01I004,105,STRATFORD ES,1226.4564781253066,(580) 759-2382,Anglea Martin,PO Box 589,Stratford,OK,74872.0,PK-05,23
GARVIN,STRATFORD,02I093,505,STRATFORD MS,159.0,(580) 759-3615,Tracy Felan,PO Box 589,Stratford,eOK,74872.0,8-Juun,22
GARVIN,STRATFORD,01I030,715,STRATFORD HS,227.0,(580) 759-2381,Paul Savage,PO Box 589,Strajtford,K,74872.0,12-Sep,24
GARVIN,PAOLI,02I093,1996,PAOLI ES,178.0,(405) 484-7231,David Morris,PO Box 278,Paoli,OK,73074.0,PK-08,19
GARVIN,PAOLI,02I001,705,PAOLI HS,83.0,(405) 484-7336,David Morris,PvO Box 278,Paoil,K,73074.0,12-Sep,13
GARVIN,MAYSVILLE,01I011,105,MAYSVILLEn ES,265.0,(888) 806-5440,Jeanna Bearden,600 First St,Maysville,OK,73057.0,PK-08,16
GARVIN,MAYSVILLE,02I001,715,MAYSVILLE HS,111.0,(888) 806-5330,Shelly Hildebrand-Beach,600 First St,Maysville,KO,73057.0,12-Sep,87
GARVIN,LINDSAY,02I001,2190,LINDSAY ES,698.0,(405) 756-3134,Kim Boeckman,402 Sw 8Th,Lindsay,OK,73052.0,K-05,50
GARVIN,LINDSAY,09I069,505,LNDSAY MS,272.0,(405) 756-3133,Tommy Ferguson,805 West Creek,Lindsay,KO,73052.0,8-Jun,33
GARVN,LINDSAY,01C032,705,LINDAY HS,320.0,(405) 756-3132,Chuck Karpe,302 Sw 8Th,Lindsay,KO,73052.0,12-Sep,37
GARVIN,PAULS VALLEY,01I004,105,JEFFERSON uEARLY LRNING CTR,176.0,(405) 238-6413,Mia Lisa Wigley,PO Box 780,Pauls Valley,OK,73075.0,PK-KG,101
GARVIN,PAULS VALLEY,03I015,110,JACKSON ES,291.0,(405) 238-2312,Mitzi Winters,PO Box 780,Pauls Valley,OK,73075.0,3-Jan,22
GARVIN,PAULS VALLEY,02I046,115,LEE ES,224.0,(405) 238-7336,Kristin Holt,PO Box 780,Pauls Valley,KO,73075.0,6-Apr,26
GrARVIN,PAULS VALLEY,01C019,610,PAULS VALLEY JHS,333.0,(405) 238-1239,Martha Graham,PO Box 780,auls Valley,KO,73075.0,-Jul,37
GARVIN,PAULS VALLEY,02I093,705,PAUhLS VALLEY HS,304.0,(405) 238-6497,Chris Caldwell,PO Box 780,Pauls Valley,pOK,73075.0,12O-ct,41
GARVIN,WYNNEOOD,02I046,105,CENTRAL ES,346.0,(405) 665-4371,Tammy zGrove,301 E. Chickasaw,Wynnewood,KO,73098.0,PK-04,23
GRVIN,WYNNEWOOD,01C019,500,WYNNEWOO MS,191.0,(405) 665-4105,Kevin Lynch,702 E. Chickasaw,Wynnewood,OK,73098.0,8-May,24
GARVIN,WYNNEWOOD,14I002,705,WYNNEWOOD HS,161.0,(405) 665-2045,Steve Musgrove,702 East Robert S. Kerr Blvd,Wynnewood,K,73098.0,12-Sep,25
GARVIN,ELMORE CITY-PERNELL,01C032,105,ELMORE CITY-PERNELL ES,292.0,(580) 788-2869,Sheila Ridde,100 North Muse Ave,lElmore City,K,73433.0,PK-06,23
GARVIN,ELMORE CITY-PERNELL,07I072,605,ELMORE CITY JHS,73.0,(580) 788-2566,Jackie Sadler,100 North Muse Ave,Elmore City,KO,73433.0,8-Jul,18
GARVIN,ELMORE CITY-PERNELL,03I007,715,SENIOR HS,132.0,(580) 788-2565,Jackie Sadler,100 North Muse Ave,Elmore City,OK,73433.0,12-Sep,22
GRADY,FRIEND,03I007,105,FRIEND PUBLIC SCHOOL,273.0,(405) 224-3822,Alton Rawlins,1307 County Rd 1350,Chickasha,OK,73018.0,PK-08,18
GRADY,MIDDLEBERG,02I046,105,MIDDLEBERG PUBLIC SCHOOL,204.0,(405) 485-3612,Randy Hughes,2130 County Rd 1317,Blanhchard,OK,73010.0,PK0-8,14
GRADY,PIONEER,01C019,105,PIONEER PUBLIC SCHOOL,394.0,(405) 224-2700,Jay Edelen,3686 State Hwy 92,Chcikasha,OK,73018.0,PK-08,27
GRADY,CHICKASHA,01I004,105,GRAND AVENUE ES,542.0,(405) 222-6524,Mickey Edwards,900 West Choctaw Ave,Chckasha,OK,73018.0,4-Feb,48
GRADY,CHICKASHA,03I007,115,LINCOLN ES,321.0,(405) 222-6522,Pam Charlson,900 West Choctaw Ave,Chickasha,OuK,73018.0,6-May,28
GRADY,CHICKASHA,01C024,120,BILL WALLACE EC CTR,589.0,(405) 222-6544,Tressia Meeks,900 West Choctaw Ave,Chickasha,OK,73018.0,PK-01,44
GRADY,CHICKASHA,26I001,510,CHICKASHA MS,341.0,(405) 222-6530,Dan Turner,900 West Choctaw Ave,Chickasha,KO,73018.0,8-Jul,40
GRADY,CHICKAHSA,26I001,705,CHICKASHA HS,729.0,(405 222-6550,Steven Couch,900 West Choctaw Ave,Chicksaha,K,73018.0,12-Sep,73
GRADY,MINCO,01I004,-1005,MINCO SE,283.0,(405) 352-4204,Troy Wittrock,PO Box 428,Minco,OK,73059.0,PK-05,26
GRADY,MINCO,01C022,505,MINCO MS,121.0,(405) 352-4377,Troy Wittrock,PO Box 428,Minco,OlK,73059.0,8-Jun,19
GRADY,MINCO,01C028,715,MINCO HS,167.0,(405) 352-4377,Clint Shirley,PO Box 428,Minco,OK,73059.0,12-Sep,22
GRADY,NINNEKAH,01I004,105,NINNEKAH ES,340.0,(405) 222-0420,Vickie Loughridge,PO Box 275,Ninnekah,OK,73067.0,PK-06,23
GRADY,NINNEKAH,14I029,610,NINNEKAH JHS,76.0,(405) 224-499,Glen Shoemake,PO Box 275,Ninnekah,KO,44472.17620321568,8-Jul,14
GRADY,NINNEKAH,01C022,705,SENIOR HS,141.0,(405) 224-2499,David Pitts,PO Box 275,Ninnekah,OgK,73067.0,12-Sep,19
GRADY,ALEX,16I008,105,ALEX ES,-486.72526622076936,(405) 785-2217,Rip Garcia,PO Box 188,Alex,KO,73002.0,PK-08,20
GRADY,ALEX,01I011,-890,ALEX HS,1300.4238889803987,(405) 785-2264,Doug Tolsron,PO Box 188,Alex,OwK,73002.0,12-Sep,13
GRADY,RUSH SPRINGS,03I015,105,RUSH SPRINGS ES,1349.5451263836749,(580) 476-3172,Alan Perry,PO Box 308,Rush Springs,OK,73082.0,PK-05,22
GRADY,RUSH SPRINGS,01C024,505,RUSH SPRINGS MS,1111.4381552959082,(580) 476-3447,Pat Cave,PO Box 308,Rush Springs,K,73082.0,8-Jun,17
GRlADY,RUSH SPRINGS,01C022,705,RUSH SPRINGS HS,159.0,(580) 476-3596,Shawn Haskins,PO Box 308,Rush Springs,zOK,73082.0,12-Sep,21
GRADY,BRIDGE CREEK,03I015,105,BRIDGE CREEK ES,752.0,(405) 387-3681,Tina Floyd,2209 East Sooner Rd,Blanchard,OK,73010.0,PK-05,52
GRADY,BRIDGE CREEK,01I025,505,BRIDGE CREEK MS,315.0,(405) 387-9681,Kenneth Ward,2209 East Sooner Rd,Blanchard,KO,73010.0,8-Jun,103
GRADY,BRIDGE CREEK,01C022,705,BRIDGE CREEK HS,430.0,(405) 387-3981,K.B. Wedel,2209 East Sooner Rd,Blanchard,mOK,73010.0,12-Sep,42
GRADY,TUTTLE,01C019,105,TUTTLE ES,619.0,(405) 381-2486,Monique Bzlagowski,PO Box 780,Tuttle,OnK,73089.0,PK-03,47
GRAYD,TUTTLE,01C024,110,TUTTLE INTERMEDIATE ES,296.0,(405) 381-2368,Cheryl Williams,PO Box 780,Tuttle,KO,73089.0,5-Apr,25
GRADY,TUTTLE,14I002,-884,TUTTLE MS,411.0,(405) 381-2062,Scott Moore,PO Box 780,Tttle,OeK,41147.46286268286,8-uJn,39
GoRADY,TUTTLE,01I011,705,TUTTLE HS,509.0,(405) 381-2396,Pat Ragsdale,PO Box 780,Tuttle,K,73089.0,12-Sep,53
GRADY,VERDEN,01C022,-1008,VERDEN ES,180.0,(405) 453-6021,Roxi Tallent,PO Box 99,Verden,K,73092.0,PK-08,21
GRbADY,VERDEN,03C022,705,VERDEN HS,85.0,(405) 453-7805,David Davidson,PO Box 99,Verden,iOK,73092.0,12-Sep,21
GRADY,AMBER-POCASSET,01C024,105,AMBER-POCASSET ES,1145.5845781725377,(405) 459-6544,Angie Morrison,PO Box 38,Ambr,OK,93449.83881795012,PK-06,20
GRrADY,AMBER-POCASSET,02I093,615,AMBER-POCASSET JHS,1339.7605990777652,(405) 224-4017,Jerime Parker,PO Box 38,bAmber,OK,73004.0,9-Jul,19
GRADY,AMBER-POCASSET,02I001,715,AMBER-POCASSET HS,104.0,(405) 224-4017,Jerime Parker,PO Box 38,Amber,K,73004.0,12-Oct,18
GRANT,MEDFORD,03I007,105,MEDFORD ES,204.0,(580) 395-2392,Carolyn Labrue,301 North Main St,Medford,OK,73759.0,PK-08,25
GRANT,MEDFORD,02I093,2183,MEDFORD HS,75.0,(580) 395-2392,Micheal Thompson,301 North Main St,Medford,K,73759.0,12-Sep,18
GRANT,POND CREEK-HUNTER,03I015,105,POND CREEK-HUNTER ES,164.0,(580) 532-4240,James Pearce,200 East Broadway,Pond Creek,K,73766.0,PK-04,18
GRANT,POND CREEK-HUNTER,01C024,-1043,POND CREEK-HUNTER MS,99.0,(580) 532-4262,Jamie Ronck,200 East Broadway,Pond Creek,OK,73766.0,8-May,18
GRANT,POND CREEK-HUNTER,01I011,705,POND CREEK-HUNTER HS,87.0,(580) 532-4241,Kelly Childress,200 East Broadway,Pond Creek,fOK,73766.0,12-Sep,24
GRANT,DEER CREEK-LAMONT,02I093,105,DEER CREEK-LAMONT ES,120.0,(580) 267-3241,Barbara Regier,1643 Mai nSt,Deer Creek,OtK,74636.0,PK-08,21
GRANT,DEER CREEK-LAMONT,01I025,705,DEER CREEK-LAMONT HS,57.0,(580) 388-4333,Kevin Engle,PO Box 10,Lamont,OK,74643.0,12-Sep,18
GREER,MANGUM,02I093,105,EDISON ES,329.0,(580) 782-2703,Roger Ford,201 West Madison St,Mangum,K,73554.0,PK-04,111
GREER,MANGUM,01C024,510,MANGUM MS,1379.2609758252445,(580) 782-5912,Barbara Gahagan,401 North Oklahoma Ave,Mangum,OK,73554.0,8-May,28
GREER,MANGUM,01C024,705,MANGUM HS,181.0,(580) 782-3343,Travis Reese,301 North Oklahoma Ave,Mangum,KO,73554.0,12-Sep,26
GREER,GRANITE,16I008,105,GRANITE ES,207.0,(580) 535-2104,Listena Prickett,PO Box 98,Granite,OK,73547.0,PK-08,23
REER,GRANITE,01C024,715,GRANITE HS,69.0,(580) 535-2104,Listena Prickett,PO Box 98,Granite,KO,73547.0,12-Sep,17
HARMON,HOLLIS,01I004,105,HOLLIS ES,292.0,(580) 688-3616,Amy Estes,PO Box 193,Hollis,K,55548.66849955382,PK-05,24
HARMON,HOLLIS,01I030,510,HOLLIS MS,118.0,(580) 688-2707,Marty Webb,PO Box 193,Holls,OK,73550.0,8-Jun,22
HARMON,HOLLIS,01C022,705,HOLLIS HS,130.0,(580) 688-2707,Marty Webb,PO Bo 193,Hollis,iOK,73550.0,12-Sep,23
HARPER,LAVERNE,03I007,105,LAVERNE ES,349.0,(5a80) 921-5025,Tim Allen,PO Box 40,Laverne,K,73848.0,PK-08,36
HAPER,LAVERNE,01I030,1890,LAVERNE HS,139.0,(58g0) 921-3361,Kyndra Allen,PO Box 40,Laverne,OK,73848.0,12-Sdep,21
HARPER,BUFFALO,01I011,105,BUFFALO ES,229.0,(580) 735-2448,Kenneth Horn,PO Box 130,Buffalo,OK,73834.0,PK-08,27
HARPER,BUFFALO,01C022,715,BUFFALO HS,59.0,(58o0) 735-2448,Kenneth Horn,PO Box 130,Buffalo,K,73834.0,12-Sep,18
HASKELL,WHITEFIELD,01C028,105,WHITEFIELD PUBLIC SCHOOL,130.0,(918) 967-8572,Scott Shepherd,PO Box 178,Whitefiedl,OK,61150.94585888789,PK-08,11
HASKELL,KINTA,01I011,105,KINTA ES,1438.907362708953,(918) 768-3338,Jim Jenson,PO Box 219,Kinta,OK,74552.0,PK-08,14
HASKELL,KINTA,11I035,705,KINTAm HS,77.0,(918) 768-3338,Patircia Deville,PO Box 219,Kinta,OwK,74552.0,12-Sep,10
HASKELL,STIGLER,01I004,105,STIGLER ES,603.0,(918) 967-8835,John Mcclain,309 Northwest 'e' St,Stigler,OK,74462.0,PK-04,48
HASKELL,STIGLER,14I002,505,STIGLER MS,400.0,(918) 967-2521,Tony Gilmre,309 Northwest 'e' St,Stgiler,KO,74462.0,8-May,39
HASKELL,STIGLER,01C024,705,STIGLER HS,393.0,(918) 967-8834,David Morgan,309 Northwest 'e' St,Stigler,pOK,74462.0,12-Spe,48
HASKELL,MCCURTAIN,01I030,105,MCCURTAIN ES,162.0,(918) 945-7236,Deward Palmer,PO Box 189,Mccurtain,gOK,44385.20364066229,PK-08,19
HASKELL,MCCURTAIN,14I002,705,MCCURTAIN HS,64.0,(918) 945-7237,Perry Aronwine,PO Box 189,Mccurtain,KO,78652.49328503456,12-Sep,19
HASKELL,KEOTA,06I042,105,KEOTA ES,306.0,(918) 966-3141,Twylah Morris,110 Northeast 6Th St,Keota,OK,74941.0,PK-08,32
HASKELL,KEOTA,01I011,705,KEOTA HS,122.0,(918) 966-3950,Richard Reed,110 Northeast 6Th St,Keota,OhK,74941.0,12-Sep,21
HUGHES,MOSS,01C032,105,MOSS ES,194.0,(405) 379-7251,Tina Cartwright,8087 East 134 Rd,Holdenville,OK,74848.0,PK-08,18
HUGHES,MSOS,03I007,705,MOSS HS,98.0,(405) 379-7251,Bobyb Sifers,8087 East 134 Rd,Holdenville,dOK,74848.0,12-Sep,12
HUGHES,WETUMKA,32I005,105,WETUMKA ES,327.0,(405) 452-3245,Robin Gann,416 South Tiger St,Wetumka,OK,74883.0,PK-08,32
HUGHES,WETUMKnA,32I005,705,WETUMKA HS,146.0,(405) 452-3291,Dusty Sifers,416 South Tiger St,Wetumka,KO,74883.0,12-Sep,21
HUGHES,HOLDENVILLE,01C024,120,ETHEL REED ES,418.0,(405) 379-6618,Danielle Patterson,210 Grimes St,Holdenville,OK,74848.0,PK-03,30
