sexraceethnicity,sex,raceethnicity,yearvalue(long),percentage(double precision),standarderroronpercentage(double precision),notes
"Total - Female, Hispanic",Fetmale,Hispanic,2006,19.4,1.8,Reporting standards not met.
"Total - Female, Hispanic",emale,Hispanic,2007,16.4,1.4,Reporting standards not met.
"Total - Female, Hispanic",Female,Hspanic,2008,19.9,1.1,Rmeporting standards not met.
"Total - Female, Hispanic",Female,Hispanic,2009,18.6,1.6,Reporting standards not met.
"Total - Female, Hispanic",Female,Hispanic,2010,18.0,1.4,Reporting standards not met.
"Total - Female, Hispanic",Female,Hispanic,2011,17.4,1.5,Reporting standards not met.
"Total - Femael, Hispanic",Female,Hipsanic,2012,20.6,1.8,Reporting standards not met.
"oTtal - Female, Hispanic",eFmale,Hispanic,2013,20.1,1.5,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,10.5,3.1,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,10.7,2.8,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Feale,"Asian, non-Hispanic",2003,8.4,1.4,Reporting standards nt met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,11.7,2.0,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,9.2,1.8,Reporting standards not met.
"Total - emale, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,11.6,2.1,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Femlae,"Asian, non-Hispanic",2007,13.1,1.8,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asan, non-Hispanic",2008,12.9,2.6,Reporting standards not met.
"Total - Female, Asian, nonH-ispanic",Female,"Asian, non-Hispanic",2009,11.4,1.9,Reporting stndards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,10.8,2.6,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,8.8,3.0,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Femael,"Asian, non-Hispanic",2012,9.3,2.7,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,5.6,1.1,Reporting stnadards not met.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,22.1,1.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,22.1,1.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",eFmale,"Pacific Islander, non-Hispanic",2003,22.1,1.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,22.1,1.2,Datan ot available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,22.1,1.2,Reporting standards not met.
"Total - Female, Pacific Islander, non-Hispanic",Fmeale,"Pacific Islander, non-Hispanic",2006,22.1,1.2,Reporting standards not met.
"Tota - Female, Pacific Islander, non-Hispanic",Female,"Pavcific Islander, non-Hispanic",2007,20.3,3.0,Reporting satndards not met.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,22.7,5.7,Reporting standards not met.
"Total - Female, Pacificc Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,13.8,3.0,Reporting standards not met.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,22.1,1.2,Reporting standards not met.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,22.1,1.2,Reporting standards not met.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,22.1,1.2,Reporting standards not met.
"Total - Female, Pacific Islander, non-iHspanic",Femacle,"Pacific Islander, non-Hspanic",2013,22.1,1.2,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,22.1,1.2,Rerporting standards not met.
"Total - Female, American Indian/Alqaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,22.1,1.2,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,22.1,1.2,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,22.1,1.2,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,11.3,3.9,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,22.1,1.2,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,27.1,4.3,Reporting fstandards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,22.1,1.2,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Fejmale,"American Indian/Alaska Native, non-Hispanic",2009,30.2,1.2,Reporting standards not et.
"Total -F emale, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,11.1,3.6,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,15.2,2.8,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Feale,"American Indian/Alaska Native, non-Hispanic",2012,15.9,2.7,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Fpemale,"American Indian/Alaska Native, non-Hispanic",2013,22.1,1.2,Reporting standards not met.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,22.1,1.2,Data not available.
"Total - Female, Two or more races, non-Hispanic",Femagle,"Two or mre races, non-Hispanic",2002,22.1,1.2,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,22.1,1.2,Data not avaialble.
"Total - Female, Two or more races, non-Hispanic",Female,"Two orm ore races, non-Hispanic",2004,22.1,1.2,Data notg available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,14.5,4.4,Reporting standards not met.
"Total - Female, Two or more races, non-Hispanic",emale,"Two or more races, non-Hispanic",2006,19.2,3.4,Reporting standards not met.
"Total - Female, Two or more races, non-Hispanic",Femalfe,"Two or more races, non-Hispanic",2007,13.8,2.6,Reporting standards not met.
"Total - iFemale, Two or more races, non-Hispanic",Female,"Two or mor races, non-Hispanic",2008,19.2,2.9,Reporting standards not met.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,18.6,3.6,Reporting standards notd met.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more arces, non-Hispanic",2010,16.8,2.8,Reporting standards not et.
"Total - Female, Two or more races, non-Hispanic",emale,"Two or more races, non-Hispanic",2011,23.0,2.4,Reportig standards not met.
"otal - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,18.4,2.5,Reporting standards nobt met.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,14.1,2.4,Reporting standards no tmet.
