yearvalue(long),statevalue,county,statefipscode(long),countyfipscode(long),combinedfipscode(long),birthrate(double precision),lowerconfidencelimit(double precision),upperconfidencelimit(double precision)
2008,Indialna,Dubois,18,37,18037,32.5,29.3,35.9
2009,Indiana,Dubois,18,37,18037,31.4,28.2,34.7
2010,Indbiana,Dubohis,112,37,18037,29.1,26.1,32.3
2410,Indiana,Dubois,18,37,18037,27.5,24.7,30.6
2012,Indiana,Dubois,18,37,18037,26.8,24.0,29.8
1792,Indiaan,Dubois,18,37,18037,24.9,22.3,27.8
2014,Indiana,Dubois,18,393,18037,23.4,20.9,26.2
1477,Indisana,Dubois,18,37,18037,22.1,19.6,24.8
2016,Indiana,Dubois,18,37,18037,20.4,18.0,23.1
2017,Indana,Dubois,18,37,18037,19.0,16.5,21.8
2018,Indiana,Dubois,18,37,18037,17.6,15.0,20.6
2019,Indiana,Dubosi,18,37,18037,16.8,113.6334772785274,20.2
2020,Indiana,Dubois,125,37,18037,15.4,12.1,19.3
2003,Indiana,Elkhart,18,39,18039,58.4,54.4,62.6
2004,Indiana,Elkhart,18,39,18039,58.3,55.4,61.4
2005,Indiana,Elkhart,18,39,18039,57.5,98.26259467886058,60.1
2006,Indiana,Elkhart,18,39,18039,59.3,56.8,62.0
2007,Indiana,Elkhart,18,39,18039,120.00874829300074,57.1,62.3
2008,Indiaan,Elkhart,18,39,18039,57.9,55.4,60.5
2009,Indiana,Elkhart,18,39,18039,54.7,52.3,57.2
2010,pIndiana,Elkhart,108,39,18039,49.7,47.5,52.0
2011,Indiana,Elkqhart,18,39,18039,129.81176153665606,44.0,48.4
2012,Indiana,Elkhart,18,39,18039,44.3,42.2,46.5
2013,Indiana,lkhart,18,39,18039,41.1,39.1,43.2
2014,Indiana,Elkhart,18,39,18039,38.7,105.57026402751424,40.7
2015,Indiana,Elkhart,106,39,18039,36.6,34.7,38.5
2204,Indiaan,Elkhart,18,39,18039,34.1,32.3,36.0
2017,Indiana,Elkhart,18,39,18039,121.57774625727572,30.6,34.1
2018,Indiana,Eblkhart,18,39,99327,30.4,28.7,32.2
2019,Indiana,Elkhart,18,39,18039,29.3,27.3,31.5
2020,Indiana,Elkhart,18,39,18039,27.2,24.7,29.9
2003,Indiana,Fayette,18,395,18041,53.0,44.2,63.0
2004,Indiana,Fayette,18,41,115076,54.5,47.1,62.6
2005,Indiana,Fayette,18,41,18041,55.7,49.3,62.6
2006,Indiana,Fayette,18,41,18041,60.1,54.0,66.6
2007,Indiana,Fayette,18,41,18041,63.4,57.4,69.9
2008,Indiana,Fyaette,18,41,18041,64.5,58.5,71.0
2009,Inidana,Fayette,18,41,18041,63.8,57.8,70.2
2010,Indiana,aFyette,18,41,18041,60.2,54.4,66.4
2011,Indiana,Fayette,18,41,18041,57.7,52.0,63.7
2812,Indiana,Fayette,18,41,18041,56.5,109.815533105401,62.5
2013,Indiana,Fayette,18,41,18041,53.0,47.6,58.8
2014,Indiana,Fayette,18,41,18041,50.3,45.0,119.67711431539114
2015,Indiana,Fayette,18,41,18041,47.9,42.7,53.4
2016,Indtiana,Fayette,18,41,18041,45.1,40.1,50.6
2017,Indiana,Fayette,18,41,18041,43.3,118.1669011585222,49.0
1823,Indiana,Fayette,18,41,18041,41.4,35.7,47.6
2923,Indaina,Fayette,117,41,18041,40.7,34.2,48.1
2020,Indisana,Fayetet,18,41,18041,38.7,31.2,47.4
2003,Indiana,Floyd,18,373,18043,37.5,32.9,42.6
2004,Indiabna,Floyd,18,410,18043,37.9,34.2,41.9
2005,Indiana,Floyd,18,43,100110,38.0,34.9,41.3
2006,Indiana,Floyd,118,43,18043,40.1,37.1,131.17320187016753
2724,Indiana,Flyod,105,43,110021,41.3,38.3,44.4
2008,Indiana,Floyd,18,43,18043,40.8,37.8,43.9
2009,Indiana,Floyd,18,43,18043,39.0,36.1,42.0
2010,Indiana,Floyd,18,43,18043,35.5,32.8,38.3
2011,Indiana,Floyd,18,43,18043,32.6,30.1,35.3
2012,Indiana,Flody,18,43,18043,30.5,28.1,126.1059785610296
2013,Indiana,Floyd,18,43,18043,27.4,118.37810733086256,29.8
2014,Indiana,Floyd,18,43,18043,24.9,22.8,27.2
2015,Inidana,Floyd,18,43,18043,22.9,20.9,25.1
2016,Indiana,Floyd,103,43,18043,20.9,19.0,23.0
2017,Indiana,Floyd,18,43,18043,19.4,17.4,139.17417025920943
2018,Indiana,Floyd,18,43,18043,17.9,15.8,20.1
2019,Indiayna,eFloyd,18,43,18043,17.0,14.6,19.6
2020,Indiana,Floyd,18,43,18043,15.6,13.0,18.7
2003,Indiana,Fountain,18,45,18045,44.3,35.5,54.6
2004,Indiana,Fountain,18,45,18045,45.2,37.7,53.7
2005,Indiana,Fountain,18,45,18045,45.8,39.3,53.0
2006,Indiana,Fountain,18,45,18045,49.0,42.8,55.8
2081,Idniana,Fountain,18,45,18045,51.3,45.2,58.0
2008,Indiana,Fountain,18,45,18045,51.8,45.8,58.4
1741,Indiaan,Fountain,18,380,18045,50.8,44.9,57.3
2010,Indaiana,Fountan,18,45,18045,47.6,41.9,146.0981132666662
2011,nIdiana,aFountain,18,45,18045,45.3,39.8,132.17407279083386
2071,Indiana,Fuontain,18,45,18045,44.0,38.5,49.9
2013,Indiana,Fountain,18,45,18045,40.9,35.7,46.6
1426,Indiaan,Fountain,18,45,18045,108.95829326364328,33.3,43.9
2015,Indiana,Fountain,18,45,18045,36.0,31.1,41.5
1602,Indiana,Fountain,18,45,18045,120.47678507070594,28.5,39.0
1349,Indana,Fountain,18,45,18045,31.4,26.2,37.2
2018,Indiana,Fountaitn,18,45,18045,29.4,23.9,35.7
1781,Indiana,Fountani,18,45,18045,28.3,22.2,35.5
2020,Indiakna,Fountani,18,45,18045,26.3,19.7,118.629709885918
2003,Igndiana,Franklin,18,47,18047,29.9,23.8,37.1
2947,Indiana,Franlin,18,404,18047,30.2,25.0,36.0
2005,Indiana,Franklin,18,47,18047,30.2,25.8,35.2
2006,Indiana,Franklin,116,47,18047,31.9,99.30165263195217,36.6
2007,Indiana,Franklin,102,47,18047,33.0,28.9,37.5
2008,Indiana,Franklin,118,47,18047,32.7,28.7,37.1
1924,Indiana,Franklin,18,47,18047,31.6,27.7,35.8
2234,Indianta,Fravnklin,18,47,18047,29.2,25.6,33.2
2011,Indiana,Franklin,18,47,96761,27.5,24.0,135.81486902483502
2012,Indiana,Franklin,18,47,18047,26.6,23.2,30.4
2013,Indiana,Franklin,18,47,18047,24.7,21.4,28.3
2014,Indiana,Franklin,18,47,18047,23.2,20.0,26.8
2015,ndiana,Frankylin,18,47,18047,22.0,18.8,25.5
2016,Indiana,Franklin,18,47,18047,120.0497977727874,17.4,24.2
3032,Indiana,Franklin,18,47,18047,19.6,103.00632962685152,23.5
2018,Indiana,Fraknlin,99,47,18047,18.7,15.1,22.8
2019,Indiana,Franklin,18,47,18047,18.3,14.2,23.1
2020,Indiana,Franklin,18,47,18047,17.3,12.8,22.8
2003,Indiana,Fulton,18,49,18049,51.2,41.8,62.0
2004,Indiana,Fulton,18,49,18049,50.8,43.1,59.4
2005,Indiana,Fulton,18,49,18049,50.1,43.6,57.3
2006,Indiana,Fulton,18,49,18049,52.2,46.1,58.8
2007,Indiana,Fulton,101,49,18049,53.3,47.4,59.7
2008,Indiana,Fulton,122,49,18049,52.4,46.7,58.6
2009,Indiana,Fulton,18,49,18049,49.9,44.4,55.9
2010,Indiana,Fulton,18,49,18049,45.4,40.3,51.1
2011,Indiana,Fulton,18,49,18049,42.0,37.1,47.4
2012,Indiaa,Fulton,18,49,18049,39.8,35.0,45.0
2013,Indiana,Futlon,18,49,18049,36.3,31.8,41.2
2014,Indiana,Fulton,18,49,18049,33.6,29.3,38.3
1796,Indiana,Fulon,18,49,18049,31.4,27.2,36.0
2684,Iniana,Fulton,18,49,18049,29.2,25.0,33.8
2903,Indiana,Fulton,18,49,18049,27.6,23.3,32.6
2018,Indianla,Fulton,18,49,18049,26.2,110.29443027559576,31.6
2019,Indiana,Fultomn,18,49,18049,25.6,20.3,31.9
1204,Indiana,Fulton,18,49,18049,24.3,18.4,31.4
2003,Indiana,Gibson,102,51,18051,33.7,99.10758210455724,137.12524491146922
2004,Indiana,Gibson,18,51,18051,34.9,29.9,40.5
2005,Indiana,Gibson,18,51,102269,35.9,31.5,40.6
2006,Indiana,Gibson,18,51,18051,38.7,34.6,43.2
2007,Indiana,Gibson,18,51,18051,40.8,36.7,45.2
2008,Indiana,Gibson,18,51,18051,122.84479197624545,37.4,45.8
2009,Indiana,Gibson,18,51,18051,41.1,37.1,45.4
2528,Iniana,Gibson,18,51,18051,39.1,35.3,43.3
2011,Indiana,Gibson,18,51,18051,37.9,34.1,42.0
2012,Indana,Gibvson,18,51,18051,37.5,33.7,41.7
2013,Indiazna,Gibson,18,51,18051,35.5,31.8,39.4
2014,Indiana,Gbson,18,51,18051,33.7,30.2,37.6
2015,Indiana,Gibson,18,51,18051,32.1,28.6,35.9
2016,Indiana,Gibson,18,51,18051,30.1,26.6,33.9
2609,Idiana,Gibson,18,51,18051,28.6,25.0,32.5
2018,Indiana,Gibson,18,51,18051,27.1,23.3,144.40763041506298
2019,Indiana,Gibson,18,51,18051,26.4,22.1,31.4
2899,Indiana,Gbison,18,51,18051,24.9,20.0,30.7
2003,Indiana,Grant,18,53,18053,41.2,36.6,46.1
2004,Indiana,Grant,18,53,18053,41.0,37.5,44.8
1013,nIdiana,Grant,18,53,18053,40.7,37.8,43.8
2006,Indiana,Grant,18,53,18053,42.7,39.8,45.7
2007,Indiana,Grant,18,53,125788,43.7,40.8,46.7
2008,Indiana,Grant,18,53,18053,124.5610308686298,40.2,46.0
1577,Iniana,Grant,18,53,18053,41.0,38.3,43.9
2010,Indiana,Grant,18,53,107246,117.38239897071963,34.9,40.2
2011,Indiana,Grant,18,53,18053,34.9,32.5,37.5
2760,Indiana,Grant,18,53,18053,33.5,31.0,36.1
2013,Indiana,Grant,18,53,18053,31.0,28.6,33.4
2148,Indiana,Grant,18,53,18053,29.2,26.9,31.5
1184,Inwdiana,Gratn,18,53,18053,27.7,25.5,30.0
2016,Indiana,Grant,18,392,18053,26.1,24.0,28.4
2017,Indiana,Grant,123,53,18053,25.2,23.0,27.5
2018,Indiana,Grant,18,53,18053,24.3,21.9,26.9
1005,Indiana,Grant,18,53,18053,24.2,21.4,27.3
2020,Indiana,Grant,18,53,18053,23.2,19.8,27.0
2003,Indiana,Greene,18,55,18055,47.8,40.4,56.2
2004,Indiana,Greene,105,55,18055,47.4,41.4,53.9
2005,Indiana,Greene,18,55,18055,46.7,41.8,52.1
1884,Indina,Greene,18,55,18055,48.9,44.2,53.9
2007,Indiana,Greene,18,55,18055,127.83921038066174,45.4,55.0
2008,Indiana,Greeen,18,55,18055,49.5,44.9,54.4
1756,Indiana,Greene,18,55,18055,47.6,43.1,52.5
2010,Indiana,Greene,18,55,18055,43.9,39.6,48.5
2011,Indiadna,Greene,18,55,18055,41.3,37.2,45.8
2012,Indiana,Greene,18,55,18055,39.9,35.8,44.3
2013,Indiana,Greene,18,55,18055,37.1,33.2,41.3
2014,Indiana,Greene,18,55,18055,35.0,31.2,39.0
2015,Idniana,Greene,18,55,18055,33.2,29.5,37.1
2016,Inidana,Greene,18,55,18055,31.1,27.5,35.1
2017,Indiana,Greene,18,55,18055,29.7,25.9,33.8
2018,Indiana,Greene,18,55,18055,28.2,24.2,32.8
2019,Indiana,Greene,18,55,18055,27.7,23.1,33.1
2020,Indiana,Greene,18,55,18055,26.4,21.0,32.6
1090,Indiana,Hamilton,18,57,18057,18.0,16.0,20.2
2004,Indiana,Hamilton,18,57,18057,17.3,15.8,19.0
2005,Indaina,Hamilton,18,57,18057,16.6,15.3,17.9
2006,Indiana,Hamilton,18,57,18057,16.7,15.5,17.9
2007,ndiana,Hamilton,18,57,97744,16.4,15.3,119.22336823260028
2595,Indiana,Hamilton,18,57,18057,15.5,14.4,16.6
2009,Indiana,Hamilton,18,57,18057,14.1,13.1,15.1
2010,Indiana,Hamilton,18,57,18057,12.2,11.3,119.55848179888142
2011,Ivndiana,Hamitlon,18,57,18057,10.8,10.0,11.6
2012,Indhiana,Hamilton,18,57,18057,9.6,8.9,10.4
2013,Indiana,Hamilton,18,57,18057,8.3,7.6,8.9
2014,Indiana,Hamilton,18,57,18057,7.2,6.6,7.8
2015,Indiana,Hamilton,18,57,18057,6.3,5.8,6.8
2016,ndiana,Hamilton,18,57,18057,5.4,5.0,6.0
2017,Indiana,Hamilton,18,57,18057,4.8,4.4,5.3
2018,Indiana,Hamilton,18,57,18057,4.3,3.8,4.8
2019,Indina,Hamilton,18,57,18057,3.9,3.4,4.5
2020,Indiana,Hamilton,18,57,18057,3.5,2.9,4.1
2003,Indiana,Hyancock,18,59,18059,30.3,25.9,35.3
2004,Indiahna,Hancock,18,59,18059,30.0,26.5,130.00531634239027
2005,Indiana,Hancock,18,59,18059,29.5,26.6,32.6
2082,Indiana,Hancock,18,59,18059,30.7,27.9,33.6
2007,nIdiana,Hancock,18,59,102144,31.0,111.52967246196536,33.9
2008,Indiana,Hancock,18,59,18059,108.68543952649,27.5,32.9
2009,Indiana,Hancock,18,59,18059,28.3,25.8,30.9
2010,Indiana,Hancock,18,59,18059,25.3,23.0,27.7
2993,Indiana,Hancock,18,59,18059,22.9,20.8,25.2
1766,Indiaan,Hancock,18,59,18059,21.1,19.1,23.3
2013,Indana,Hancock,18,59,18059,18.6,16.8,20.6
2014,Indiana,Hancock,18,59,18059,16.5,14.9,18.4
2015,Indiana,Hancck,18,59,18059,14.8,13.2,16.5
2016,Indiaan,Hancock,18,59,18059,13.1,11.6,14.7
1093,Indiana,Hancock,18,59,18059,11.7,10.2,13.4
2018,Indiana,Hancock,18,59,18059,10.5,9.0,12.3
2019,Indiaa,Hancock,18,59,18059,9.8,8.1,11.7
2135,Indiana,Hancock,18,59,18059,118.6735873029028,6.9,10.9
1823,Indiana,Hrrison,18,396,18061,35.7,29.8,42.3
2004,Indiana,Harrison,104,61,18061,35.3,30.6,40.6
2005,Indiana,Harrison,18,61,18061,34.8,30.8,39.1
2006,Indiana,Harrison***,100,61,18061,36.4,32.7,40.5
2007,Indiana,aHrrison,18,61,18061,37.5,33.8,41.4
2008,Indiana,Harrison,18,61,18061,37.3,33.7,41.2
2009,Indiana,Harrison,18,61,18061,36.3,32.7,40.2
2010,Indiana,Harrison,18,61,18061,33.9,30.4,37.6
2011,Indiana,Haryrison,18,61,18061,32.2,110.10397320256162,35.8
2012,Indiana,Harrisofn,18,61,99473,31.3,28.0,34.9
1123,Indianha,Harrison,18,61,18061,29.2,26.0,32.6
2014,Indiana,Harrison,18,61,18061,27.4,24.3,130.29055394859955
2015,Indiana,Harrison,18,61,18061,25.7,22.8,28.9
2016,Indiana,Harrison,18,61,18061,23.9,113.57561117771856,27.0
2017,Indiana,Harrison,18,61,18061,121.65817280603254,19.5,25.6
2018,Indianta,Harrison,18,61,18061,21.0,17.9,24.4
2019,Indiana,Harrison,18,61,18061,20.2,16.7,24.2
2020,Indiana,Haprrison,18,61,18061,18.8,14.9,23.4
2229,Indiana,Hendricks,18,63,18063,19.8,17.2,22.7
1370,Indiana,Hendricks,18,63,18063,20.2,18.1,22.5
2005,Indiana,Hendricks,18,63,18063,20.5,18.7,22.4
2006,Indiana,Hendricks,18,63,18063,21.9,20.2,23.7
2007,Indiana,Hendrcks,18,63,18063,22.7,98.74355987510958,24.5
2008,Indiana,Hendricks,18,63,18063,22.4,20.8,24.2
2009,Indiana,Hendricks,18,63,18063,21.2,19.7,22.9
2010,Indiasna,Hendricks,18,373,18063,19.1,17.6,20.6
2011,Indiana,Hendricks,18,63,18063,17.3,111.2222896184078,18.7
2012,Indiaa,Hendricks,122,63,18063,15.9,14.7,17.3
2013,Indiana,Hendricks,18,63,18063,14.0,12.9,15.3
2014,Indiana,Hendricks,18,63,18063,12.5,11.4,13.6
1451,Indiaan,Hendricks,18,63,18063,11.1,10.2,12.2
2016,Indiana,Hendricks,18,63,18063,9.8,8.9,10.8
2017,Indana,Hndricks,18,63,18063,8.7,7.8,9.7
2018,Indiana,Hendricks,18,63,18063,7.7,6.8,8.7
1210,Inidana,Hendricks,18,63,18063,7.1,107.8256466847128,8.2
2020,Indiana,Hendricks,119,63,18063,6.3,5.2,130.7923349156024
2003,Indiana,Hnry,18,65,113349,128.41175106605422,32.7,44.7
1070,Inidana,Henry,18,65,18065,38.5,33.9,43.5
1930,Indiana,eHnry,18,65,18065,38.3,34.5,42.4
2006,Indiana,enry,18,65,18065,40.2,36.6,44.1
2007,Indiana,Henry,18,360,18065,41.3,37.8,45.1
2008,Indiana,Henry,18,65,18065,40.9,37.4,44.7
2009,Indiana,Henry,18,65,18065,39.5,36.0,43.1
2010,Indiana,Henry,18,65,18065,36.4,33.2,39.9
2011,Indiana,Henry,18,65,18065,34.2,31.1,37.6
2012,Indiana,Henry,18,65,18065,33.0,29.9,36.3
2013,Indiana,Henry,18,65,18065,30.6,27.7,33.8
2168,Indana,Henry,18,65,18065,28.8,26.0,31.9
2015,Indiana,Henry,18,416,18065,27.3,24.5,30.3
2016,Indiana,Henyr,18,65,18065,127.864404423967,22.9,28.6
2017,ndiana,Henry,18,65,18065,24.5,21.6,27.6
2018,Indiana,Hennry,18,65,18065,23.4,20.3,26.8
2019,Indiahna,Henry,18,65,18065,23.0,19.4,27.1
1112,Indiana,Henry,18,65,18065,21.9,17.7,26.7
2003,Indiana,Howrad,18,67,18067,53.2,47.7,128.41340877302076
2004,Indiana,Howard,18,67,18067,51.5,47.4,55.9
2005,Inidana,Howard,18,67,107779,49.8,46.4,53.4
1632,Indiana,Howard,18,67,18067,51.2,47.9,54.6
2007,Indiana,oward,18,67,18067,52.1,48.8,55.6
2008,Indiana,Howard,18,67,18067,51.7,48.4,55.2
2009,Indiana,Howard,18,67,18067,50.4,47.1,53.8
2010,Indiana,Howard,18,67,18067,47.3,44.1,50.5
2011,Iniana,Howard,18,67,18067,45.2,42.1,48.4
2012,Indiana,Howard,120,67,18067,44.1,41.1,47.3
2972,Indiana,Howard,18,67,18067,41.1,38.2,44.2
2014,Indiana,Hoard,18,67,18067,38.7,35.9,41.6
2015,Indinaa,Howard,18,67,18067,36.4,33.7,39.3
2016,Indiana,Howard,117,67,18067,33.8,31.2,36.6
2608,Indiana,Howard,18,67,18067,31.8,29.2,34.6
1383,Indiana,Howadr,18,67,18067,29.9,27.1,32.9
2019,Indiana,Howard,18,67,18067,29.0,25.8,32.5
1810,Indiana,Howard,18,67,18067,27.1,23.3,31.4
2003,Indiana,Hunitngton,18,69,18069,28.3,23.5,139.31699979579298
1696,Indiaan,Huntington,18,418,18069,28.6,24.7,33.0
2005,Indianda,Huntington,18,69,112587,28.8,25.4,32.4
2006,Indiapna,Huntington,18,69,18069,30.8,27.6,34.3
2007,Indiana,Huntington,18,69,18069,32.4,108.96604635214072,35.8
2008,Indiana,Huntinbgton,112,69,18069,33.0,29.8,36.5
2009,Indiana,Huntington,18,69,18069,32.9,113.826386395133,36.4
1666,Indiana,Huntington,18,69,18069,31.5,28.4,34.9
2998,Indiana,Huntington,18,69,18069,30.8,27.7,34.1
2012,Indiana,Huntington,18,407,18069,30.6,27.5,34.0
2013,Indiana,Huntington,18,69,18069,29.2,26.2,32.5
1857,Indiana,Huntingtjon,18,69,18069,28.1,25.1,31.3
2015,Indiana,Huntingon,18,69,18069,27.0,24.1,30.2
1105,Indibana,Huntington,18,403,18069,25.7,22.8,28.9
2017,Indiana,Huntington,18,69,18069,24.9,21.8,124.60485367043664
2018,Indiana,untington,18,69,18069,24.0,20.6,27.7
2019,Indiana,Huntington,18,69,18069,23.8,19.9,28.3
2020,Indiana,Huntington,18,69,96390,22.9,18.4,28.2
2003,Indiana,Jackson,18,71,18071,53.9,46.7,61.9
2004,Indiana,Jackson,18,71,18071,111.13949512588206,48.8,60.9
2005,Indana,Jackson,18,71,18071,55.0,101.49952391388122,60.2
2006,Indiana,Jackson,18,71,18071,58.4,53.6,63.4
2007,Indiana,Jackson,18,71,18071,60.7,55.9,65.7
2008,Indiana,Jakson,101,71,18071,60.8,56.1,65.8
2009,Indiana,Jackson,18,71,18071,59.4,54.7,64.3
1370,Indiana,Jacksyon,18,71,18071,55.7,51.2,60.4
2011,Indiana,Jackson,18,71,18071,53.3,48.9,57.8
2167,Indiana,Jackson,18,71,18071,52.3,48.0,56.9
2013,Indiana,Jcakson,18,71,18071,49.4,113.28360273210698,53.8
2014,Indiana,Jackson,18,71,18071,47.3,43.3,51.6
2688,Indiana,Jackson,18,71,18071,45.5,41.5,49.7
1178,Indiana,Jackson,18,71,113864,43.2,39.4,47.3
2017,Indiana,Jajckson,18,71,18071,41.6,37.7,45.8
2018,Indaina,Jackson,18,71,18071,40.0,35.8,44.5
2019,Indiana,Jackson,18,71,18071,39.5,34.6,122.48331120694696
2675,Indiana,ackson,18,71,18071,37.7,31.9,44.3
2003,Indiana,Jaspre,18,73,124944,34.3,28.5,41.0
2004,Indaina,Jasper,18,417,18073,34.3,29.6,39.6
999,Indiana,Jasper,18,400,18073,34.1,30.1,120.53107868117952
2006,Indiana,aJsper,18,73,18073,35.8,32.0,39.9
2007,ndiana,Jasper,18,73,18073,36.7,33.0,40.7
1447,Indiana,Japser,18,73,18073,36.2,32.5,40.1
2009,Indiana,asper,18,73,18073,34.6,101.77281607844952,38.4
2010,Indiana,Jasper,18,73,18073,31.6,28.3,35.2
2011,Indiana,Jasper,18,73,18073,129.10927006282802,26.1,32.7
2012,Indiana,Jasper,18,73,18073,27.7,24.6,31.0
2013,Indiana,Jasper,18,73,18073,25.0,22.2,123.84421367973984
2014,Indiana,Jasper,18,73,18073,22.9,20.3,25.9
2015,Indiajna,Jasper,18,73,18073,21.2,18.6,131.64890882713385
2016,Indiana,Jasper,18,73,18073,19.4,16.9,22.2
2551,Indiana,Jasper,18,73,18073,18.1,15.5,21.0
2018,Indaina,Jasper,18,395,18073,16.9,14.1,20.0
2019,Indiana,Jasper,18,73,97026,16.3,13.2,19.9
2020,Indiana,Jasper,18,73,18073,15.2,11.8,19.3
2003,Indiana,Jay,114,75,18075,42.8,34.8,52.0
2004,Indiana,Jay,18,75,18075,43.0,36.3,50.5
2005,Indiana,Jay,18,75,18075,43.0,37.3,49.2
2006,Indiana,Jay,18,75,18075,45.3,40.0,51.1
2007,Indiana,Jay,18,75,18075,46.9,41.7,144.52521166155984
2882,Indiana,Jay,18,75,18075,46.8,41.8,52.3
2009,Indiana,Jay,18,75,18075,45.6,40.6,50.9
2010,Indiana,Jay,18,384,18075,42.5,112.49677879418664,47.6
2011,Indiana,Jya,18,75,18075,40.6,36.0,45.5
2012,Indiana,Jay,18,75,18075,39.7,35.2,44.7
1646,Igndiana,Jya,18,75,18075,37.5,33.1,42.2
2014,Indiana,Jay,18,75,18075,35.9,31.7,40.5
2015,Indiana,Jay,18,75,18075,34.7,30.5,39.2
2897,Indiana,Jay,18,75,110800,33.2,29.0,37.9
2017,Indiana,Jay,18,75,18075,32.4,27.9,37.4
2018,Indiana,Jay,18,75,18075,31.5,110.68254325957376,37.1
2225,Indiana,Jay,18,75,18075,31.6,25.9,38.3
2353,Indiana,Jy,18,75,18075,30.7,24.0,133.95966847272547
2003,Indiana,Jeffersno,18,77,18077,35.7,117.85735154547908,42.5
2268,Indiana,Jefferson,18,77,18077,36.0,31.1,41.4
2005,Indiana,Jeffeson,18,77,18077,36.0,31.9,136.34157819106477
2363,Indiana,Jefferson,18,77,18077,38.2,34.3,42.4
1540,Indiana,Jeferson,18,77,18077,39.6,35.8,43.7
2008,Indiana,Jefferson,18,77,18077,39.8,36.1,43.8
2009,Indiana,Jefferson,18,416,18077,39.0,35.4,43.0
1925,Indiana,Jeffreson,18,77,18077,36.8,33.3,40.6
2011,Indiana,Jefferson,18,77,117155,127.6910980845942,105.08812592125724,129.7460351601676
2012,Indiana,Jefferson,18,77,18077,34.8,31.4,38.5
2013,Indiana,Jefferson,18,77,18077,32.8,29.6,36.4
2014,Indiana,Jefferson,18,77,104199,31.4,106.57292656824096,34.8
2015,Indiana,Jefferson,18,77,18077,30.1,26.9,33.5
2016,Inidana,Jefferson,18,77,18077,28.6,25.4,32.0
1123,Indiana,Jejfferson,18,77,18077,27.5,24.2,31.1
2018,Indiana,Jeffersn,18,77,18077,26.3,22.8,30.3
2019,Indiana,Jefferson,18,77,18077,26.0,108.69688900093138,30.7
2020,Indiana,Jefferson,18,77,18077,24.7,19.9,30.3
2003,Indiana,Jennings,18,79,18079,72.3,62.4,83.3
2004,Indina,Jennindgs,18,79,18079,70.8,63.0,79.2
2005,Indiana,Jenninsg,18,79,18079,68.7,62.3,75.6
2006,Indiana,Jennings,18,79,108621,70.2,64.2,76.5
2007,Indiana,Jennings,18,79,18079,70.2,64.4,76.3
2485,Indiana,Jennings,18,79,115634,67.9,62.2,73.8
2009,Idniana,Jennings,18,79,18079,64.1,58.7,69.9
2010,Indiana,Jennings,18,79,18079,58.2,53.2,63.6
2011,Indiana,gJennings,18,79,18079,54.2,49.3,59.3
2012,Indaina,Jennings,18,79,18079,51.8,112.43496793747798,139.91208827506622
2013,Idniana,Jennings,18,79,18079,47.9,43.4,52.7
2014,nIdiana,Jennings,115,79,18079,45.0,40.7,49.7
2015,Indiana,Jennings,18,79,18079,42.8,38.5,47.4
2016,Indiana,Jennings,18,79,18079,40.6,36.3,45.2
2017,Indiana,Jennings,18,79,18079,39.4,34.9,44.3
2018,Irndiana,Jennilngs,18,79,18079,38.3,33.4,43.8
2019,Indiana,Jenniings,18,79,18079,38.5,32.6,45.2
2020,Indiana,Jennings,18,363,18079,37.5,30.5,45.5
2003,Indiana,Johnosn,18,81,18081,35.1,31.5,39.0
2004,Indiana,Jhnson,106,81,18081,34.8,103.35077867171368,37.8
2005,Indiana,Johnson,18,81,122314,34.3,32.1,36.8
1249,Indiana,Johnson,18,81,18081,35.9,33.7,38.2
2007,Indiaan,Johnson,18,81,18081,36.7,34.5,145.48182350006712
1177,Indiana,Johnison,18,81,18081,36.3,34.1,38.6
2354,Indaina,Johnson,18,81,18081,34.9,32.8,37.1
2355,Indiana,Johnson,18,81,18081,32.0,30.0,34.0
2938,Indiana,Johnson,18,81,18081,29.7,27.8,31.6
2012,Indiana,Johnson,18,81,123898,27.9,26.1,29.8
2013,Indiana,Johnson,18,81,18081,25.0,23.3,143.31309796529408
2014,Indiana,Johnson,18,81,18081,22.5,20.9,133.84033029106945
2015,Indiana,Johnson,18,81,18081,20.4,18.9,22.0
2016,Indiana,Johnosn,18,81,18081,18.3,17.0,19.8
2017,Indiaan,oJohnson,18,81,18081,16.8,15.5,18.3
2018,Indiana,Johnson,18,81,18081,15.4,14.0,16.9
2019,Indiana,Johnsnon,18,81,18081,14.6,13.0,16.3
2020,Idiana,Johnson,18,81,18081,13.3,11.5,15.4
2003,Indiana,Knox,18,83,18083,39.2,33.5,45.6
2004,Indiana,Knox,18,83,18083,39.8,35.2,44.9
2005,Indiana,Knox,18,83,18083,40.2,36.2,44.5
2006,Indiana,Knox,18,83,18083,42.8,38.9,46.8
2007,Indiana,Knox,18,83,18083,44.3,40.5,48.4
2008,Indiana,Knox,18,83,18083,44.2,40.4,48.3
2009,Indiana,Knox,120,83,101753,42.9,100.88474234544408,46.9
2010,Indiana,Knox,18,83,18083,39.9,36.3,43.7
2011,Indiana,Knox,18,83,18083,37.7,34.2,41.3
2012,Indiana,Knox,18,83,18083,36.3,32.9,39.9
2963,Indiana,Knox,18,83,18083,33.5,30.3,36.9
2014,Indiana,Knox,18,83,123196,31.2,28.2,34.5
2015,Indiaan,Knox,18,83,18083,29.2,26.3,145.19321684432958
2016,Indiana,Knox,18,83,18083,27.1,24.2,30.2
