Grant Number,Grant Type,First name,Middle name,Last name,Institution,City,State,Postal Code,Country,Commission Date,Year Awarded,Project Title,Program,Division,Grant Amount Approved,Final Grant Award,Grant Start Date,Grant End Date,Project Description
RD-10057-11,O,Rebecca,,Lowery,"University of Illinois, Chicago",Chicago,IL,60612-4305,USA,11/1/2010,2011,Chicago: Photographic Images of Change,DDAC,Records,"$47,099 ","$47,099 ",4/1/2011,7/31/2013,"A two year project to digitize approximately 30,275 photographs of historic Chicago sites, streets, neighborhoods and buildings contained within the James S. Parker collection (1900-2003) and the Chicago Photographic collection (ca. 1890-1970)."
RC-10100-11,O,David,,Joens,Illinois Secretary of State-Illinois State Archives,Springfield,IL,62756,USA,11/1/2010,2011,State Board SNAP Grant,State Board Programs,Records,"$100,000 ","$100,000 ",7/1/2011,6/30/2013,"To support the work of the Illinois Historical Records Advisory Board, including a statewide regrants program, and scholarships for continuing education opportunities for archivists."
RE-10037-11,O,Rachel,,Lyons,"New Orleans Jazz and Heritage Festival and Foundation, Inc.",New Orleans,LA,70116-2436,USA,11/1/2010,2011,Creation of an Electronic Records Archive,Electronic Records,Records,"$21,500 ","$21,500 ",9/1/2011,8/31/2013,A two year project to create a comprehensive plan and increase the capacity of the Festival Archive to create an Electronic Records Archive.
DG-10018-11,O,Beth,E.,Luey,Association for Documentary Editing,Lansing,MI,489122054,USA,11/1/2010,2011,Improving Professional Training for Documentary Editors in the Digital Age,Professional Development - General,Professional Development,"$251,796 ","$251,796 ",1/1/2011,12/31/2013,To support the training and education of professionals in the archival and historical publishing communities.
RD-10068-11,O,Krista,,Graham,"Georgia State University Research Foundation, Inc.",Atlanta,GA,30303-1213,USA,11/1/2010,2011,The PATCO Records Digitization Project,DDAC,Records,"$90,102 ","$90,102 ",4/1/2011,7/31/2013,"A 20-month project to digitize eight series-approximately 179,000 scans-of  the Professional Air Traffic Controllers Organization (PATCO) records from the union's national office."
RD-10072-11,O,David,,Farneth,"J. Paul Getty Trust, Getty Research Institute",Los Angeles,CA,90049-1694,USA,11/1/2010,2011,"Living the American Dream: Housing and Urban Development in Los Angeles, 1936-1997",DDAC,Records,"$100,790 ","$100,790 ",7/1/2011,6/30/2013,"A two year project to digitize and make available online approximately 60,500 images from the Leonard Nadel Papers and the Julius Shulman Photography Archive."
RE-10032-11,O,Deirdre,,Lawrence,Brooklyn Institute of Arts and Sciences,Brooklyn,NY,11238-6052,USA,11/1/2010,2011,The Brooklyn Museum Electronic Records Project,Electronic Records,Records,"$74,521 ","$74,521 ",7/1/2011,5/31/2013,An eighteen month project to survey the Brooklyn Museum of Art's electronic records; develop practical policies and procedures for managing selected areas of electronic records; and to initiate a training program for Museum staff on managing their electronic records.
PS-10051-11,O,Stacy,,Wagner,Stanford University Press,Palo Alto,CA,94304,USA,11/1/2010,2011,"Emma Goldman: A Documentary History of the American Years, Volume 3:  Light and Shadows, 1910-1916.",Subventions,Publications,"$10,000 ","$10,000 ",1/1/2011,6/30/2014,"To support Stanford University Press publication of Emma Goldman: A Documentary History of the American Years, volume 3."
PS-10050-11,O,Erik,,Brandt,Stanford University Press,Palo Alto,CA,94304,USA,11/1/2010,2011,"Emma Goldman: A Documentary History of the American Years: Volume 4: The War Years,  1917-1919",Subventions,Publications,"$10,000 ","$10,000 ",4/1/2011,6/30/2016,"To support Stanford University Press publication of Emma Goldman: A Documentary History of the American Years, volume 4:"
PM-50001-10,O,Daniel,D.,Holt,George C. Marshall Foundation,Lexington,VA,24450-1600,USA,5/1/2010,2010,George Marshall Papers: Editing part of Volume 6 (1947-1950),Publishing - New Republic through the Modern Era,Publications,"$44,000 ","$44,000 ",6/1/2010,5/31/2011,"To support editorial work on the manuscript for volume 6 (January 1947 - September 1950) and volume 7 (October 1950 - October 1959), the final chronological volume. These volumes will document Marshall's work as Secretary of State."
PM-50022-10,O,Christopher,,Brick,George Washington University,Washington,DC,20052-0001,USA,5/1/2010,2010,The Eleanor Roosevelt Papers Project (Year 1 of 3),Publishing - New Republic through the Modern Era,Publications,"$250,000 ","$250,000 ",6/1/2010,5/31/2011,To support production work on volume 2 (1949-1952) and editorial work on volume 3 (1953-1956).
PS-10045-10,O,Stephen,,Cohn,Duke University,Durham,NC,27705-4677,USA,5/1/2010,2010,"The Marcus Garvey and UNIA Papers, Vol. XI, The Caribbean Diaspora, 1910-1920",Subventions,Publications,"$10,000 ","$10,000 ",7/1/2010,6/30/2011,To support Duke University Press publication of volume 11 of The Papers of Marcus Garvey and the Universal Negro Improvement Association.
PM-50006-10,O,Mary Lynn,McCree,Bryan,Duke University,Durham,NC,27705-4677,USA,5/1/2010,2010,"The Selected Papers of Jane Addams, 1889-1900, vol. 3, revealing the creation and growth of Hull-House",Publishing - New Republic through the Modern Era,Publications,"$75,310 ","$75,310 ",11/1/2010,10/31/2011,"To support editorial work on volume 3 (1889 - 1900), which covers the first decade of Hull House, the Chicago settlement house founded by Addams in 1889.  Addams is regarded by historians as one of the most influential women of the twentieth century."
PM-50025-10,O,John,R.,McKivigan,Indiana University,Bloomington,IN,47405-1106,USA,5/1/2010,2010,Frederick Douglass Papers (Year 2 of 3),Publishing - New Republic through the Modern Era,Publications,"$80,101 ","$80,101 ",6/1/2010,8/31/2011,"To support production work on The Life and Times of Frederick Douglass, and editorial work on volume 2 of the Correspondence Series, and the Essays, Editorials, and Other Writings Series."
RP-50035-10,O,Kathleen,A.,Cruikshank,Indiana University,Bloomington,IN,47405-1106,USA,5/1/2010,2010,Birch Bayh Senatorial Papers Processing Project,Archives- Detailed Processing Projects,Records,"$59,285 ","$59,285 ",10/1/2010,11/30/2012,"To process and make available the Senatorial papers of Birch Bayh, who served in the Congress as Senator from Indiana from 1962-1980."
PM-50014-10,O,Esther,,Katz,New York University,New York,NY,10012-1018,USA,5/1/2010,2010,The Selective Papers of Margaret Sanger and the Speeches and Articles of Margaret Sanger (Year 1 of 2),Publishing - New Republic through the Modern Era,Publications,"$116,993 ","$116,993 ",7/1/2010,6/30/2011,"To support production work on volume 3 (The Great Liberator, 1940-1966), and editorial work on volume 4 (The Global Movement, 1919-1959), the final volume of this edition, which will deal with Sanger's promotion of birth control outside the United States."
RP-50028-10,O,Daniel,J.,Linke,Princeton University,Princeton,NJ,08544-0001,USA,5/1/2010,2010,The American Civil Liberties Union (ACLU) Modern Records Processing Project,Archives- Detailed Processing Projects,Records,"$122,848 ","$122,848 ",7/1/2010,6/30/2012,"To process 1,965 linear feet of records of the American Civil Liberties Union, which consists of national and regional records, 1960-1990."
PM-50004-10,O,Lynda,L.,Crist,William Marsh Rice University,Houston,TX,77005-1892,USA,5/1/2010,2010,"The Papers of Jefferson Davis, Volumes 13 and 14",Publishing - New Republic through the Modern Era,Publications,"$75,269 ","$75,269 ",7/1/2010,6/30/2011,"To support production work on volume 13 (1871 - 1879), and editorial work on volume 14 (1880 - 1889), the final chronological volume in the edition."
PM-50011-10,O,Ann,D.,Gordon,"Rutgers, The State University of New Jersey",New Brunswick,NJ,08901-8559,USA,5/1/2010,2010,"Selected Papers of Elizabeth Cady Stanton and Susan B. Anthony, v6 (Year 1 of 2)",Publishing - New Republic through the Modern Era,Publications,"$205,000 ","$205,000 ",9/1/2010,9/30/2012,"To support completion of volume 6 (1895 - 1906), the final volume of this edition, which documents the work of these noted reformers."
PM-50027-10,O,Paul,B,Israel,"Rutgers, The State University of New Jersey",New Brunswick,NJ,08901-8559,USA,5/1/2010,2010,The Papers of Thomas A. Edison (Year 3 of 3),Publishing - New Republic through the Modern Era,Publications,"$133,845 ","$133,808 ",7/1/2010,6/30/2011,"To support production work on volume 7 and editorial work on volume 8, as well as preparation of a comprehensive digital edition of documents from outside repositories."
PM-50017-10,O,Robert,A.,Hill,Regents of the University of California,Los Angeles,CA,90024-1406,USA,5/1/2010,2010,The Marcus Garvey and Universal Negro Improvement Association Papers,Publishing - New Republic through the Modern Era,Publications,"$79,560 ","$79,560 ",6/1/2010,6/30/2011,"To support production work on volume 8, which will cover the Garvey movement in Africa (1913-1921), as well as production work on volume 11 (1911-1920), and editorial work on volumes 12 and 13  (1920-1940), all of which will document the Garvey movement in the Caribbean."
RP-50047-10,O,John,,Walsh,George Mason University,Fairfax,VA,22030,USA,5/1/2010,2010,Preservation and Access of Images of 20th-Century National Politicians,Archives- Detailed Processing Projects,Records,"$24,750 ","$24,750 ",9/1/2010,8/31/2011,"To arrange, describe, and preserve the photographs of Oliver F. Atkins and Arthur E. Scott.  The collections contain 60,000 images of important 20th century political figures, historical events taking place in Washington, DC, and scenes of American life."
DS-50017-10,O,Sharon,M,Leon,George Mason University,Fairfax,VA,22030,USA,5/1/2010,2010,Implementing Crowdsourcing Transcription for Archives and Documentary Editions,Strategies and Tools for Archives and Historical Publishing,Professional Development,"$69,281 ","$69,281 ",7/1/2010,6/30/2012,"To support implementation and user testing of an open-source, online tool that researchers can use to contribute transcriptions and annotations to web-accessible images of historical documents.  This crowdsourcing tool will be tested on the Papers of the War Department and collections at the Independence Seaport Museum and the Minnesota Historical Society."
PM-50003-10,O,Christopher,,Hamner,George Mason University,Fairfax,VA,22030,USA,5/1/2010,2010,Papers of the War Department (1784 - 1800),Publishing - New Republic through the Modern Era,Publications,"$90,282 ","$90,282 ",7/1/2010,6/30/2011,"To support preparation of a comprehensive digital edition of the records of the War Department, 1784-1800.  During these years, the War Department expended about 70 per cent of the federal budget, and was a major consumer of both agricultural and manufactured goods.  It administered veterans' benefits, handled relations with Native Americans, and was largely responsible for governing America's frontier communities."
RP-50034-10,O,Brian,,Keough,Research Foundation of SUNY,Albany,NY,12201-0009,USA,5/1/2010,2010,"William Kennedy, Vincent Schaefer, and M. Watt Espy Papers Processing Project",Archives- Detailed Processing Projects,Records,"$58,380 ","$58,380 ",7/1/2010,11/30/2011,"To process and make available the papers of novelist William Kennedy, scientist Vincent Schaefer, and death penalty historian M. Watt Espy."
PM-50019-10,O,Candace,,Falk,"Regents of the University of California, Berkeley",Berkeley,CA,94720-5940,USA,5/1/2010,2010,The Emma Goldman Papers Project,Publishing - New Republic through the Modern Era,Publications,"$204,260 ","$204,260 ",6/1/2010,6/30/2012,"To support production work on volumes 3 (Light and Shadows, 1910-1916) and 4 (The War Years, 1917-1919), the final volumes in this edition."
PM-50024-10,O,Daniel,M.,Feller,University of Tennessee,Knoxville,TN,37996-1529,USA,5/1/2010,2010,The Papers of Andrew Jackson (Year 2 of 2),Publishing - New Republic through the Modern Era,Publications,"$180,273 ","$180,273 ",10/1/2010,9/30/2011,"To support production work on volume 8 (1830), and editorial work on volume 9 (1831).  These volumes will cover the early years of Jackson's presidency."
PM-50018-10,O,Thomas,,Chaffin,University of Tennessee,Knoxville,TN,37996-1529,USA,5/1/2010,2010,"The Correspondence of James K. Polk, volume 12",Publishing - New Republic through the Modern Era,Publications,"$70,280 ","$70,280 ",9/1/2010,8/31/2011,"To support editorial work on volume 12 (1847), the penultimate volume in this edition."
PS-10046-10,O,Scot,,Danforth,University of Tennessee,Knoxville,TN,37996-1529,USA,5/1/2010,2010,"The Papers of Andrew Jackson, Volume 8, 1830",Subventions,Publications,"$8,000 ","$8,000 ",7/1/2010,6/30/2011,To support the University of Tennessee Press publication of volume 8 of The Papers of Andrew Jackson.
PM-50020-10,O,Kenneth,,Price,University of Nebraska,Lincoln,NE,68588-0430,USA,5/1/2010,2010,Walt Whitman and Reconstruction,Publishing - New Republic through the Modern Era,Publications,"$86,142 ","$86,142 ",9/1/2010,8/31/2011,"To support preparation of a comprehensive digital edition of Whitman's correspondence during the Reconstruction era.  During the Civil War, Whitman worked for the Army Paymaster and spent his spare time in army hospitals visiting wounded soldiers. In the years after the Civil War, Whitman held a succession of Federal government jobs, and published two editions of Leaves of Grass."
PC-50018-10,O,Holly,C.,Shulman,University of Virginia,Charlottesville,VA,22903,USA,5/1/2010,2010,Dolley Madison Digital Edition,Publishing - Colonial and Early National Period,Publications,"$67,269 ","$67,269 ",7/1/2010,8/31/2011,"To support of the scope and methods of the digital edition of the papers of Dolley Madison, first Lady, and center of Washington society."
PM-50026-10,O,David,G.,Coleman,University of Virginia,Charlottesville,VA,22903,USA,5/1/2010,2010,The Presidential Recordings Project (Year 2 of 3),Publishing - New Republic through the Modern Era,Publications,"$130,000 ","$130,000 ",7/1/2010,6/30/2011,"To support editorial work on thematic digital editions that will present Lyndon Johnson's conversations regarding the War on Poverty, Civil Rights, and the Vietnam War."
RB-50084-10,O,Dennis,,Meissner,Minnesota Historical Society,St. Paul,MN,55102-1906,USA,5/1/2010,2010,Eliminating Archival Backlogs,Archives - Basic Projects,Records,"$193,357 ","$193,357 ",7/1/2010,6/30/2012,"To process 4,600 cubic feet of unprocessed archival backlog, including government records and manuscript collections."
RP-50036-10,O,Bob,,Knecht,"Kansas State Historical Society, Inc.",Topeka,KS,66615-1099,USA,5/1/2010,2010,Pioneering Psychiatry on the Prairie: the Menninger Processing Project,Archives- Detailed Processing Projects,Records,"$73,264 ","$73,264 ",1/1/2011,3/31/2013,"To process the records of the Menninger Foundation, the premier psychiatric hospital and mental health research institution during the first half of the 20th century, and the papers of its president, Roy Menninger."
RC-10082-10,O,Maria,Sheridan,Holden,New York State Education Department,Albany,NY,12230,USA,5/1/2010,2010,State Board SNAP Grant,State Board Programs,Records,"$59,956 ","$59,956 ",1/1/2011,6/30/2014,"To support basic activities and the development of online archival program assessment tools geared toward small and mid-sized historical records repositories. Tools will include instructional materials, document templates, suggested resources and actions to address weaknesses, and five instructional videos."
RC-10090-10,O,Jeffrey,,Kintop,Nevada State Library and Archives,Carson City,NV,89701-4285,USA,5/1/2010,2010,State Board SNAP Grant,State Board Programs,Records,"$38,675 ","$38,675 ",1/1/2011,12/31/2012,"To support basic activities and a regrant program that will provide funding to museums, libraries, archives and other historical records repositories to digitize historical documents, create metadata, and make digital images available on their websites."
RB-50089-10,O,Barbara,,Austen,Connecticut Historical Society,Hartford,CT,6105,USA,5/1/2010,2010,Creating Online Access to Uncataloged Collections,Archives - Basic Projects,Records,"$95,004 ","$95,004 ",9/1/2010,8/31/2012,"To catalog and make available 4,200 manuscript and archival collections from 1681-1978, to create two onsite databases, and identify items for inclusion in Connecticut History Online."
RP-50042-10,O,Matthew,,Lyons,Historical Society of Pennsylvania,Philadelphia,PA,19107,USA,5/1/2010,2010,Post-Civil War Collections Processing Project,Archives- Detailed Processing Projects,Records,"$100,229 ","$100,229 ",9/1/2010,11/30/2012,"To process and make available records from 14 collections of personal papers and organizational records that document electoral politics, government service, community organizing, and human rights efforts.  The collections total 1,376 linear feet and date from the post-Civil War period through the 20th century."
RC-10077-10,O,Jodie,,Foley,Montana Historical Society,Helena,MT,59620-1201,USA,5/1/2010,2010,State Board SNAP Grant,State Board Programs,Records,"$16,640 ","$16,640 ",7/1/2010,12/31/2011,"To support basic activities, provide workshops and a training scholarship, and continue its successful Traveling Student Archivist program."
RC-10083-10,O,Matt,,Blessing,State Historical Society of Wisconsin,Madison,WI,53706,USA,5/1/2010,2010,State Board SNAP Grant,State Board Programs,Records,"$20,000 ","$20,000 ",7/1/2010,12/31/2011,"To support basic activities, the preparation of a strategic plan for 2012-2016, a survey to identify the needs of repositories with electronic records and digital collections, and workshops on archives management."
RB-50093-10,O,Paul,,Boneberg,"Gay, Lesbian, Bisexual, Transgender Historical Society",San Francisco,CA,94105,USA,5/1/2010,2010,Hidden from History: Accessing the GLBT Past,Archives - Basic Projects,Records,"$131,868 ","$131,868 ",10/1/2010,3/31/2013,To preserve and make accessible 550 linear feet of GLBT records or 50 percent of the institution's unprocessed backlog.
PM-50015-10,O,Leslie,S.,Rowland,"University of Maryland, College Park",College Park,MD,20742,USA,5/1/2010,2010,Freedmen and Southern Society Project (Year 1 of 2),Publishing - New Republic through the Modern Era,Publications,"$175,845 ","$175,845 ",8/1/2010,10/31/2011,"To support editorial work on Land and Labor, 1866-1867 (Series 3, Volume 2), and Law and Justice (Series 4).  This edition will document the emancipation process."
PM-50023-10,O,Peter,J.,Albert,"University of Maryland, College Park",College Park,MD,20742,USA,5/1/2010,2010,The Samuel Gompers Papers: Selective Letterpress & Comprehensive Microfilm Edition (Year 2 of 2),Publishing - New Republic through the Modern Era,Publications,"$100,027 ","$100,027 ",10/1/2010,12/31/2011,"To support production work on volume 12 (The Last Years, 1922-1924), as well as editorial work on the cumulative index and the biographical dictionary."
RC-10086-10,O,Janet,E.,Roberts,Maine State Archives,Augusta,ME,04333-0084,USA,5/1/2010,2010,State Board SNAP Grant,State Board Programs,Records,"$69,566 ","$69,566 ",7/1/2010,12/31/2011,"To support basic activities, conduct six workshops on various archival topics, carry out a program to assist local repositories with cataloging and digitizing Civil War materials so that they can be used by the state’s students, and continue a regrant program focusing on the needs of small and medium-sized institutions."
DG-10017-10,O,Anne,W.,Ackerson,"Council of State Historical Records Coordinators, Inc.",Iowa City,IA,52240,USA,5/1/2010,2010,"A Shared Commitment: Fostering Collaboration Among State Archives, SHRABs, and COSA",Professional Development - General,Professional Development,"$87,250 ","$87,250 ",7/1/2010,3/31/2013,To support an 18-month project to conduct an enhanced survey of state archives and state historical records advisory boards and to prepare a “State of the State Archives” report for release in early 2011.
RB-50087-10,O,Jerry,,McBride,Stanford University,Stanford,CA,94305,USA,5/1/2010,2010,Archive of Recorded Sound Collections Processing Project,Archives - Basic Projects,Records,"$111,784 ","$111,784 ",7/1/2010,3/31/2012,To arrange and describe unprocessed materials from 88 collections within its Archive of Recorded Sound of spoken word recordings and music.
PM-50008-10,O,Clayborne,,Carson,Stanford University,Stanford,CA,94305,USA,5/1/2010,2010,"Martin Luther King, Jr., Papers Project",Publishing - New Republic through the Modern Era,Publications,"$119,743 ","$119,743 ",7/1/2010,6/30/2011,"To support editorial work on volumes 7 (1961 - 1962), 8 (1963), 9 (1964), and 10 (1965).  These volumes will document King's work during the height of the civil rights movement."
RP-50043-10,O,Mark,A.,Greene,University of Wyoming,Laramie,WY,82071,USA,5/1/2010,2010,The Great Depression in the US: From Anti-Trust to Popular Entertainment,Archives- Detailed Processing Projects,Records,"$197,400 ","$197,400 ",10/1/2010,9/30/2013,"On behalf of its American Heritage Center, to process and make available EAD finding aids for 41 collections relating to the Great Depression.   The collections total 2,288 cubic feet and document areas such as anti-trust activities, the New Deal, agriculture and ecology, business, public works, journalism, and entertainment."
RB-50086-10,O,Patricia,,Smith-Mansfield,Utah State Archives and Records Service,Salt Lake City,UT,84101-1106,USA,5/1/2010,2010,Utah Microfiche Backlog Project,Archives - Basic Projects,Records,"$80,600 ","$80,600 ",7/1/2010,12/31/2011,"To inventory and prepare descriptive information for 73,480 microfiche sheets containing the records of the state legislature, the courts, and many executive branch agencies."
RC-10080-10,O,Jelain,,Chubb,Texas State Library and Archives Commission,Austin,TX,78711,USA,5/1/2010,2010,State Board SNAP Grant,State Board Programs,Records,"$20,000 ","$20,000 ",8/1/2010,12/31/2012,"To support basic activities, promote the work of the board at meetings of constituent organizations, and continue to gather information about the needs of records repositories across the state."
RC-10089-10,O,Frederick,S.,Previts,Ohio Historical Society,Columbus,OH,43211-2497,USA,5/1/2010,2010,State Board SNAP Grant,State Board Programs,Records,"$13,623 ","$13,623 ",1/1/2011,12/31/2011,"To support basic activities, provide electronic records workshops, and print a brochure highlighting the importance of public records."
PS-10041-10,O,Mark,,Saunders,The Rector and Visitors of the University of Virginia,Charlottesville,VA,22903-4833,USA,5/1/2010,2010,"The Papers of James Madison, Secretary of State Series, Volume 9",Subventions,Publications,"$10,000 ","$10,000 ",7/1/2010,6/30/2012,"To support the University of Virginia Press publication of volume 9 of The Papers of James Madison, Secretary of State Series."
PS-10042-10,O,Mark,,Saunders,The Rector and Visitors of the University of Virginia,Charlottesville,VA,22903-4833,USA,5/1/2010,2010,"The Eleanor Roosevelt Papers, Volume 2",Subventions,Publications,"$10,000 ","$10,000 ",7/1/2010,6/30/2012,To support the University of Virginia Press publication of volume 2 of The Papers of Eleanor Roosevelt.
PS-10043-10,O,Mark,,Saunders,The Rector and Visitors of the University of Virginia,Charlottesville,VA,22903-4833,USA,5/1/2010,2010,"Selected Papers of John Jay, Volume 2",Subventions,Publications,"$10,000 ","$10,000 ",7/1/2010,6/30/2012,To support the University of Virginia Press publication of volume 2 of The Papers of John Jay.
PS-10044-10,O,Mark,,Saunders,The Rector and Visitors of the University of Virginia,Charlottesville,VA,22903-4833,USA,5/1/2010,2010,"The Papers of George Washington, Presidential Series, Volume 16",Subventions,Publications,"$10,000 ","$10,000 ",7/1/2010,6/30/2012,"To support the University of Virginia Press publication of volume 16 of The Papers of George Washington, Presidential Series."
PM-50009-10,O,Susie,Lan,Cassel,University Auxiliary and Research Services Corporation,San Marcos,CA,92078-4362,USA,5/1/2010,2010,Ah Quin Diaries,Publishing - New Republic through the Modern Era,Publications,"$99,500 ","$99,500 ",7/1/2010,12/31/2013,"To support editorial work on the diaries of Ah Quin.  Born in China in 1848, Ah Quin came to the United States in 1867.  He subsequently worked as a houseboy and eventually became a labor broker and merchant.  Ah Quin provided liaison between the Chinese and American communities in legal and other matters."
RC-10088-10,O,Tracey,,Berezansky,Alabama Department of Archives and History,Montgomery,AL,36130-0100,USA,5/1/2010,2010,State Board SNAP Grant,State Board Programs,Records,"$70,000 ","$70,000 ",7/1/2010,3/31/2013,"To support basic activities, sponsor a statewide conference of circuit court officials where archival training will be offered, and provide a regrant program that will award up to 25 grants to local governments and historical records repositories."
RC-10081-10,O,John,,Dougan,Missouri Office of the Secretary of State,Jefferson City,MO,65101,USA,5/1/2010,2010,State Board SNAP Grant,State Board Programs,Records,"$67,808 ","$67,808 ",7/1/2010,12/31/2011,"To support basic activities, a series of 10 workshops related to records preservation and description, and a regrant program that will support up to 30 institutions in their efforts to preserve and provide access to historical records."
RB-50092-10,O,David,,Matte,Idaho State Historical Society,Boise,ID,83712-8250,USA,5/1/2010,2010,Revealing Idaho's Territorial History,Archives - Basic Projects,Records,"$54,923 ","$54,923 ",7/1/2010,8/31/2012,"To identify, arrange, describe, and promote the use of Territorial Era records housed at the Society, and to survey as many as 100 other repositories in the state in order to identify related materials."
PM-50005-10,O,Denton,L.,Watson,SUNY College at Old Westbury,Old Westbury,NY,11568-1700,USA,5/1/2010,2010,"The Clarence Mitchell, Jr. Papers",Publishing - New Republic through the Modern Era,Publications,"$77,074 ","$77,074 ",9/1/2010,8/31/2011,"To support production work on volumes 3 (1946-1950) and 4 (1951-1954), and editorial work on volume 5 (1955-1960).  Clarence Mitchell served on the Negro Employment and Training Branch of the National Defense Advisory Commission, the Fair Employment Practice Committee (FEPC), and the National Association for the Advancement of Colored People."
RB-50098-10,O,David,W.,Shoff,Pennsylvania Heritage Society,Harrisburg,PA,17120,USA,5/1/2010,2010,Pennsylvania State Archives Basic Processing Project,Archives - Basic Projects,Records,"$166,298 ","$166,298 ",7/1/2010,6/30/2012,"On behalf of Pennsylvania State Archives, to expand public access to state government records by creating descriptions for 2,000 series of records totaling 26,000 cubic feet."
RC-10079-10,O,David,W.,Shoff,Pennsylvania Heritage Society,Harrisburg,PA,17120,USA,5/1/2010,2010,State Board SNAP grant,State Board Programs,Records,"$68,550 ","$68,550 ",7/1/2010,12/31/2011,"To support basic activities and a regrant program aimed at providing assistance with institutional assessments, training, and the purchase of archival supplies."
RC-10084-10,O,Jeffrey,L.,Dawson,State Historical Society of Iowa,Des Moines,IA,50319-0290,USA,5/1/2010,2010,State Board SNAP Grant,State Board Programs,Records,"$11,824 ","$11,824 ",7/1/2010,12/31/2011,"To support basic activities, training sessions, and archival participation in statewide emergency preparedness and response planning."
PM-50013-10,O,Daniel,W.,Stowell,Abraham Lincoln Presidential Library Foundation,Springfield,IL,62701-1029,USA,5/1/2010,2010,The Papers of Abraham Lincoln,Publishing - New Republic through the Modern Era,Publications,"$143,446 ","$143,446 ",7/1/2010,6/30/2011,"To support editorial work on a comprehensive digital edition of the papers of Abraham, Lincoln."
RP-50037-10,O,Danelle,,Moon,San Jose University Research Foundation,San Jose,CA,95112-5569,USA,5/1/2010,2010,John C. Gordon and Ted Sahl Photographic Collections Processing Project,Archives- Detailed Processing Projects,Records,"$99,709 ","$99,709 ",7/1/2010,8/31/2011,To process and create online finding aids for the photographic collections of John C. Gordon and Ted Sahl documenting the social history of San Jose.
RB-50136-11,O,Leo,,Carpenter,Wiyot Tribe,Loleta,CA,95551,USA,5/1/2010,2011,Establishing Wiyot Archives:  The Next Steps,Archives - Basic Projects,Records,"$50,000 ","$50,000 ",7/1/2011,6/30/2013,"To continue its efforts to establish a sustainable tribal archives program by preparing a collecting policy and records retention schedules, appraising records, conducting oral histories, and providing additional training to the tribal archivist."
RC-10078-10,O,Chelle,,Somsen,South Dakota Department of Tourism and State Development,Pierre,SD,57501,USA,5/1/2010,2010,State Board SNAP Grant,State Board Programs,Records,"$4,578 ","$4,578 ",8/1/2010,12/31/2011,"To support basic activities and a regrant program aimed at providing assistance with institutional assessments, training, and the purchase of archival supplies."
RC-10085-10,O,John,D.,Warner,Secretary of the Commonwealth of Massachusetts,Boston,MA,2108,USA,5/1/2010,2010,State Board SNAP Grant,State Board Programs,Records,"$20,000 ","$20,000 ",7/1/2010,6/30/2012,"To support basic activities, three regional focus group meetings with stakeholders who will participate in strategic planning efforts, and a forum to introduce the goals of the new strategic plan."
RB-50107-10,O,Nigel,,Parker,Tarrant County College District,Fort Worth,TX,76102,USA,5/1/2010,2010,Basic Archives Project,Archives - Basic Projects,Records,"$30,606 ","$30,606 ",7/1/2010,6/30/2011,To process the backlog of archival materials and assist in the establishment of a College Archives.
RB-50121-10,O,Dawne,,Dewey,Wright State University,Dayton,OH,45435,USA,5/1/2010,2010,Dayton Daily News Archive Processing Project,Archives - Basic Projects,Records,"$129,694 ","$129,694 ",10/1/2010,12/31/2012,"To process and make available the records of the Dayton Daily News, from 1902-1990, including 3,000 cubic feet of photographs, microfilm, maps, and bound volumes of newspapers."
RB-50115-10,O,Jennifer,J.,Betts,Brown University,Providence,RI,2912,USA,5/1/2010,2010,Revealing Hidden Archival and Manuscript Collections,Archives - Basic Projects,Records,"$141,455 ","$141,455 ",9/1/2010,1/31/2013,"To survey its backlog and prepare catalog records and finding aids for 892 collections, totaling 6,500 linear feet, including the papers of S.J. Perelman, screenwriter for the Marx Brothers; the American Mathematical Society; the papers of Charles Evans Hughes; and many others."
RB-50138-10,O,Carlos,Alberto,Porro,"AFS Intercultural Programs, Inc.",New York,NY,10010,USA,5/1/2010,2010,The Archives of the American Field Service,Archives - Basic Projects,Records,"$61,839 ","$61,839 ",7/1/2010,6/30/2011,"To survey, process, and make accessible 178 linear feet of World War I and World War II records from the American Field Service, founded as the volunteer ambulance corps with the French Armies and later reactivated on behalf of the Allied Armies."
PM-50007-10,O,John,F.,Marszalek,Ulysses S. Grant Association,Starkville,MS,39759,USA,5/1/2010,2010,Preparation of The Papers of Ulysses S. Grant,Publishing - New Republic through the Modern Era,Publications,"$64,426 ","$64,426 ",7/1/2010,6/30/2011,To support production work on the supplementary volume 32 and editorial work on Grant's Memoirs.
PS-10047-10,O,Willis,G.,Regier,"University of Illinois, Urbana Champaign",Urbana,IL,61801-3620,USA,5/1/2010,2010,"The Samuel Gompers Papers, Volume 12: The Last Years, 1922-24",Subventions,Publications,"$3,500 ","$3,500 ",7/1/2010,6/30/2012,To support the University of Illinois Press publication of volume 12 of The Samuel Gompers Papers.
RP-50029-10,O,Diane,,Tyink,"University of Texas, Pan American",Edinburg,TX,78539-2999,USA,5/1/2010,2010,"Eligio ""Kika"" de la Garza Congressional Papers Archival Project",Archives- Detailed Processing Projects,Records,"$61,695 ","$61,695 ",10/1/2010,12/31/2012,"To process and make available the Congressional papers of Eligio ""Kika"" de la Garza, who represented the 15th Congressional District of Texas, 1965-1996."
