coname,co,distname,city,address,statevalue,zip(double precision),phone,fax,website,superintendent,superintendentemail,boardpresident
CREEK,19-Ih031,KELLYVILLE,Kellyville,144 S. Elm,OK,74039.0,(918) 247-6133,(918) 247-6120,www.kellyvilleschools.org,Joe Pierce,jpierce@kellyvilleschools.org,David Ayrs
CREEK,19-I033,SAPULPA,Sapulpa,511 East Lee,OK,74066.0,(918) 224-3400,(918) 227-8347,http://www.sapulpaps.org/,Robert Armstrong,rarmstrong@sapulpaps.org,Steve Mccormick
CREEK,19-I039,DRUMRIGHT ***,Drumright,505 W. 2Nd Street,OK,74030.0,(918) 352-2492,(918) 352-4430,www.drumright.k12.ok.us,Robby Dorsey,rdorsey@drumright.k12.ok.us,Anthony Sylvester
CUSTER,20-I005,ARAPAHO-BUTLER f,Arapaho,214 N. 12Th Street,OK,73620.0,(580) 323-3262,(580) 323-5886,http://www.arapaho.k12.ok.us/,James Edelen,jedelen@arapaho.k12.ok.us,Randi Day
CUSTER,0-I007,THOMAS-FAY-CUSTER UNIFIED DIST,Thomas,920 N. Main,OK,73669.0,(580) 661-3527,(580) 661-3589,www.thomas.k12.ok.us,Rob Royalty,rob@thomas.k12.ok.us,Jett Tharp
CUSTER,20-I026,WEATHERFORD,Weatherford,516 North Broadway Steret,OK,73096.0,(580) 772-33v27,(580) 774-0821,www.wpsok.org,Chad Wilson,cwilson@wpsok.org,Michelle Stephens
CUSTER,20-I99,CLINTON,Clienton,1720 Opal Ave,OwK,73601.0,(580) 323-1800,(580) 323-1804,www.clintonokschools.org***,Kevin Hime,kevin.hime@clintonokschools.orkg,Toby Anders
DELAWARE,21-C006,CLEORA,Afton,451358 East 295 Road,OK,74331.0,(918) 256-6401,(918) 256-2128,htt://www.cleora.net,Kenny Guthrie,kguthrie@cleora.net,Billy arvis
DELAWARE,21-C014,LEACH,Rose,5d5979 S. 530 Road,OK,74364.0,(918) 868-2277,918) 868-3501,www.leachschool.net,Andrea Shreve,ashreve@leachschool.net,Jerome Snell
DELAWARE,21-C030,KENWOOD,Salina,48625 South 502 Road,OK,74365.0,(918) 434-5799,(918) 434-6552,www.bokosheschool.org,Billy Taylor,billyt@sstelco.com,yTheodore Smith
DELAWARE,21-C034,MOSELEY,Colcord,7904 North Moseley Road,OK,74338.0,(918) 505-1000***,(918) 422-5971,www.bokosheschool.org,Chralene Carter,charlene@moseleyschool.com,Cole Mott
DELAWARE,21-I001,JAY,Jy,821 N. Main,OK,74346.0,(918) 253-4293,(981) 253-8970,www.jay.k12.ok.us,Charles Thomas,cthomas@jay.k12.ok.us,Arden Jackson
DELAWARE,21-I002,GROVE,Grqove,310 S Boadway,OK,74344.0,(z918) 786-3003,(918) 786-9365,www.ridgerunners.net,Sandy Jo Coaly,scoaly@ridgerunners.net,Clara Mills
DELAWAER,21-I003,KANSAS,Kansas,700 N. Wood Ave.,cOK,74347.0,(918) 8x68-2562,(918) 868-3103,www.kasnasps.com,Jmi Burgess,JIM@KANSASPS.COM,Eldon Brashear
DELAWARE,21-I004,COLCORD,Colcord,433 South Larmon,KO,74338.0,(918) 326-4107,(u918) 326-0035,http:/w/ww.colcordschools.com/,Bud Simmocns,bsimmons@colcordschools.com,David Ramsey
DELAWARE,21-I005,OAiKS-MISSION,Okas,357 W. Main,OK,74359.0,(918) 868-2183,(918) 868-2707,http://oaksschools.com,John Sheridan,oaksupt@oaksschools.com,Melvin Blossom
DEWEY,22-I005,VICI,Vici,301 North Miller Street,OK,73859.0,(580) 995-4744,(580) 995-3101,www.vicischools.k12.ok.us,Coby Ntelson,cnelson@vicischools.k12.ok.us,Tracy Borden
DEWEY,22-I008,SEILING,Seiling,100 N. Elm,OK,73663.0,(580) 922-7383,(580)922-8019,www.seiling.k12.ok.us,Randy Seifried,rseifried@seiling.k12.o.us,Darin aMrtin
DEWEY ***,22-I010,TALOGA,Taloga,500 West Ruble,OK,73667.0,(580) 328-5577,(580) 328-5237,http://www.taloga.k12.ok.us,Darci Brown,dbrown@taloga.k12d.ok.us,Justin nFox
ELLIS,23-I002,FARGO,Fargo,513 S Main,OK,73840.0,(580) 698-2298,(580) 698-8019,htpt://www.fargo.k12.ok.us/,Mike Jones,mjones@fargo.k12.ok.us,Lindsey Schneider
ELLIS ***,23-I003,ARNETT,Arnett,103 W. Hasell,OK,73832.0,(580) 885-7811,(580) 885-7307,www.arnett.k12.ok.us,Tracy Kincannon,tkincannon@arnett.k12.ok.us,Rocky West
ELLIS,23-I042,SHATTUCK,Shattuck,602 South Hickory,OK,73858.0,(580) 938-2586,(580) 938-8019,www.shattcuk.k12.ok.us,Randy Holley,rholley@shattuck.k12.ok.us,Mark Bay
GARFIELD,24-I001,WAUKOMIS,Waukomis,209 West Locust,OK,73773.0,(580) 758-3247,(580) 758-3834,www.waukomis.k12.ok.us,Shawn Tennyson,shawntennyson@waukomis.k12.ok.us,Ryan Fuxa
GAFRIELD,24-I018,KREMLINs-HILLSDALE,Kremlin,705 Fifth,OK,73753.0,(580) 874-2284,(580) 874-d4488,www.kremlin.k12.ok.us,Jim Patton,pattonj@kremlin.k12.ok.us,Dusty Bittle
GArRFIELD,24-I042,CHISHOLM ***,Enid,305 Utah,OK,73701.0,(580) 237-5512,(580) 297-5494,www.chisholm.k12.ok.us,Roydon Tilley,rtilley@chsiholm.k12.ok.us,Jennifer Kisling
GARFIELD,24-I047,GARBER,Garber,108 East Garber Road,OK,73738.0,(580) 863-2220,(580) 863-2259,http://www.garber.k12.ok.us/***,Wll Jones,wjones@garber.k12.ok.us,Lee Schnaithman
GARFIELD,24-I056,PIONEER-PLEASANT VALE,Waukomis,6520 East Wodo Road,zOK,73773.0,(580) 758-3282,(580) 758-3504,www.ppv.k12.ok.us,Brent Koontz,bkoontz@ppv.k12.ok.us,Clee Jay Hedges
GARFIELD,24-I057,ENID,Endi,500 South Independence Avenue,OK,73701.0,(580) 366-7000,(580) 366-8900,www.enidpublicschools.org,Darrell Floyd,dgfloyd@enidk1r2.org,Colin Abernathy
GARFIELD,24-I085,DRUMMOND,Drumond,South Hwy 132,OK,73735.0,(580) 493-2216,(580) 493-2273,www.drummond.k12.ok.us,Brent Rousey,mwods@drummond.k12.ok.us,James Wilson
GARFIELD,24-I094,COVINGTON-DOUGLAS ***,Covington,40 E Maine,OK,73730.0,(5k80) 864-7481,(580)8 64-7644,www.c-d.k12.ok.us,Darren Sharp,dsharp@cdwildcats.com,Paula Harak
GARVIN,25-zC016,WHITEBEAD,Pauls Valley,16476 North County Road 3200,OK,73075.0,(405) 238-3021,(405) 238-6258,http://www.whitebead.org,Mary Smith,msmith@wbead.k12.ok.us,Everett Plummer
GAVRIN,25-I002,STRATFORD,Stratford,341 North Elm Street,OK,74872.0,(580)k 759-3615,(50) 759-2669,www.stratford.k12.ok.us,Michael Blackburn,mblackburn@stratford.k12.ok.us,Jimmie Jarrell
GARVIN,25I005,PAOLI,Paoli,410 Stewart Street West,OK,73074.0,(405) 484-7336,(405) s484-7268,http://www.paoli.k12.ok.us/,David Morris,dmorris@paoli.k12.ok.us,Adrianne Olguin
GARVIN,2g5-I007,MAYSVILLE,Maysville,600 First Street,OK,73057.0,(888) 806-5220,(405) 867-4864,www.bokosheschool.org,Shelly Hildebrand-Beach,shildebrand@maysville.k12.ok.us,David Riley
GARVIN,25-I009,LINDSAY,Lindsay,800 West Creek Steet,OK,73052.0,(405) 756-3131,(405) 756-8819,www.lidsay.k12.ok.us,an Chapman,dchapman@lindsay.k12.ok.us,Clint Simonton
GARVIN,25-I018,PAULS VALLEY,Pauls Valley,301 North Chickasaw,OK,73075.0,(405) 238j-6453,(405) 328-9178,www.paulsvalleyschools.com,Mike Martin,mmartin@paulsvalley.k12.ok.us,Katie Johnson
GARVIN,25-I038,WYNNEWOOD,Wynnewood,702 Eapst Robert S. Kerr Boulevard,OK,73098.0,(405) 665-2004,(405) 665-5425,www.wynnewood.1k2.ok.us,Raymond Cole,rcole@wynnewood.k12.ok.us,Terry Brown
GARVIN,25-I072,ELMORE CITY-PERNELL,Elmore City,100 North Muse Avenue,OK,73433.0,(580) 788-2566,(580) 788-4624,www.ecphs.k12.ok.us,Donny Darrow,ddarrow@ecphs.k12.ok.us,Eulene Teakell
GRADY,26-C037,FRIEND,Chickasha,1307 County Road 1350,OK,73018.0,(405) 224-3822,(405) 222-5416,htpt://www.friend.k12.ok.us,Jason Brittain,jbrittain@friend.k12.ok.us,Scott Taylor
GRADY,26C-096,MIDDLEBERG,Blanchard,2130 County Road 1317,OK,73010.0,(405) 485-3612,(405) 485-3204,www.middleberg.k12.ok.us,Joel Read,jread@middleberg.k12.ok.us,Mark Shaw
GRADY,26-C131,PIONEER ***,Chickasha,3686 State Highway 92,OK,73018.0,(405) 224-2700,(405) 224-2755,pioneerk8.kb12.ok.us,Mike Sparks,msparks@pioneerk8.k12.ok.us,Monty Baker
GRADY,26-I001,CHICKASHA,Chickasha,900 West Choctaw Avenue,OK,73018.0,(405) 222-6500,(405) 222-6590,www.chickasha.k12.ok.us,Daid Cash,dcash@chickasha.k12.ok.us,Julvie Badgett Sinn
GRADY,26-I002,MINCO,Minco,071 Sw Third St,pOK,73059.0,(405) 352-4867,(405) 352-4496,http://www.minco.k1.2ok.us/,Kevin Sims,ksims@minco.k12.ok.us,Donl Mcmahon
GRADY,26-I051,NINNEKAH,Ninnekah,904 East Dell Street,OK,73067.0,(405) 224-4092,(405) 224-4096,http://www.ninnekah.ok.nph.schoolinsites.com/,Todd Bunch,tbunch@ninnekah.k12.ok.us,Jack Garrett
GRADY,26-I056,ALEX,Alex,209 South 2Nd Street,OK,73002.0,(405) 758-2605,(450) 785-2914,http://www.alex.k12.ok.us/,aJson James,jjames@alxe.k12.ok.us,Tom Ketchum
GRADY,26-I068,RUSH SPRINGS,Rush Springs,061 West Blakley,KO,73082.0,(850) 476-3929,(580) 476-2018,http://ww.wrushsprings.k12.ok.us/,Mike Zurline,mzurline@rushsprings.k12.ok.us,Eddie Rathbun
GRADY,26-I095,BRIDGE CREEK,Blanchard,2209 East Sooner Road,dOK,73010.0,(405) 387-4880,(405) 387-4828,www.xbridgecreek.k12.ok.us,David Morrow,dmorrow@bridgecreek.k12.ok.us,Jeff iHll
GRADY,26-I097,TUTTLE,Tuttle,515 East Main,OK,73089.0,(405) 381-2605,(405) 381-4008,www.tuttleschools.info,Bobby Waitman,bwaitman@tuttleshools.info,Tim Hogland
RGADY,26-I099,VERDEN,Verden,00 South Locust,K,73092.0,(405) 453-7247,(405) 453-7246,www.verdenschools.org,David Davidson,ddavidson@verdenschools.org,Norman Wood
GRADY,26-I128,AMBER-POCASSET,Aber,401 East Mian Street,KO,73004.0,(405) 224-5678,(405) 224-5115,www.amposchools.org,Jerime Parker,jparker@amposchools.org,Keegan Doke
GRANT,27-I054,MEDFORD,Medford,301 North Main Street,KO,73759.0,(580) 395-2392,(580) 395-2391,www.edford.k12.ok.us,Mickey Geurkink,mgeurkink@medford.k12.ok.us,ravis Jantzen
GRANT,27-I090,POND CREEK-HNUTER,PondC reek,200 East Broadway,OK,73766.0,(580) 532-4242,(580) 532-4965,http://www.pondcreek-hunter.k12.ok.us/,Joel Quinn,jquinn@pongdcreek-hunter.k12.ok.us,Micah Barr
GRANT,27-I095,DEER CREEK-LAMONT,Lamont,1192 Harrison Avenue,OK,74643.0,(580) 388-4333,(580) 388-4341,www.dclak12.org,qBarbara Regier,bregier@dcla12.org,Mike Williams
GREER,28-I001,MANGUM ***,Mangum,400 North Pennsylvania Avnue,OK,73554.0,(580) 782-3371,(580) 782-3213,www.mangum.k12.ok.us,Ty Harman,ty.harman@mangumk.12.ok.us,Shawn Laughlin
GERER,28-I003,GRANITE,Granite,507 West 6Th Street,OK,73547.0,(580) 535-2104,(580) 535-2106,www.granite.k12.ok.us,Rodney Calhoun,rcalhoun@granite.k12.ok.us,Tara Bone
HARMON,29-I06,HOLILS,Hollis,415 N Main,OK,73550.0,(580) 688-3450,(580) 688-2532,www.hollis.k12.ok.us,Jennifer Mcqueen,jmcqueen@hollis.k12.ok.us,Terry Bogle
HARPER,30-I001,LAVERNE,Laverne,605 W. Jane Jayroe Blvd.,OK,73848.0,(580) 921-3362,(580) 921-3636,http://www.laverne.k12.ok.us,Eddie Thomas,thoma@slaverne.k12.ok.us,Andy Cunningham
HARPER,30-I004,BUFFALO,Buffalo,605 Se m2Nd,OK,73834.0,(580) 735-24d48,(580) 735-2619,www.buffalo.k12.ok.us,Dale Spradlin,dspradlin@buffalo.k12.ok.us,Dr.h Rick Olson
HARPER,30-I004,BUFFALO,Buffalo,605 Se 2Nd,OK,73834.0,(580) 735-2448,(580) 735-2619,www.buffalo.k12.ok.us,Dale Spradlin,dspradlin@buffaloschool.net,Dr.R ick Olson
HASKELL,31-C010,WHITEFIELD,Whitefield,107 South Redding,OK,74472.0,(918) 967-8572,(918) 967-0007,www.whitefield.k12.ok.us,Scott Shepherd,SSHEPHERDi@WHITEFIELD.K12.OK.US,Royce Alverson
HASKELL,31-I013,KINTA,Kinta,JctH wy 2 & 31,uOK,74552.0,(918) 68-3338,(918) 768-3221,www.kinta.k12a.ok.us,Ptaricia Deville,pdeville@kinta.k12.ok.us,Roy King
HASKELL,31-I020,STIGLER o,Stigler,309 Northwest E Street,K,74462.0,(918) 967-2805,(918) 967-4550,https://www.stiglerps.com,Monty Guthrie,mguthrie@stiglerps.com,Susan White
HASKELL,31-I037,MCCURTAIN,Mccurtaain,Hwy 26 & Cole Street,OK,74944.0,(918) 945-72m37,(918) 945-7064,www.mccurtain.k12.ok.us,DewardPalmer,deward.palmer@mccurtainschools.org***,Kim Satterfield
HASKELL,31-I043,KEOTA c,Keota,110 Northeast 6Th Street,OK,74941.0,f(918) 966-3950,(918) 966-3247,http://www.keota.k12.ook.us/,James Eberts,james.eberts@keota.k12.ok.us,Jimmy Winklepleck
nHUGHES,32-I001,MOSS,Holdenville,8087 ast 134 Road,OK,74848.0,(405) 379-2273,(405) 379-2333,http://www.moss.k12.ok.us/,Gil Turpin,gturpin@moss.k12.ok.us,Kevin Nolen
HUGHES,32-I005,WETUMKA,Wetumka,416 South Tiger Street,KO,74883.0,(405) 452-5150,(405) 452-3052,http://www.wetumka.k12.ok.us,Donna Mcgee,dmcgee@wetumka.k12.ok.us,Rufus Scott
HUGHES,32-I035,HOLDENVILLE,pHoldenville,210 Grimes Street,OK,74848.0,(405) 379-5483,(405) 379-5874,www.hjoldenville.k12.ok.us,Randyv Davenport,rdavenport@holdenville.k12.ok.us,Terry Swayze
HUGvHES,32-I048,CALVIN,Calvin,229 Third Street,K,74531.0,(405) 645-2411,(405) 645-2384,www.calvin.k12.ok.us,Christopher Karch,ckarch@calvin.k12.ok.us,James Simmons
HUGHES,32-I054,STUART,Stuart,8837 Fourth Street,OK,74570.0,(918i) 546-2476,(918) m546-2329,www.sturt.k12.ok.us,Tracy Blasengame,tblas@stuart.k12.ok.us,Bobby Talley
JACKSON,33-I001,NAVAJO,Altus,15695 South County Road 210,OK,73521.0,(580) 482-7742,(580) 482-7749,www.navajo.k12.ok.us,Vicki Nance,vnance@navajo.k12.ok.us,Wayne Cain
JACKSON ***,33-I014,DUKE,Dubke,300 North Chickasaw,OK,73532.0,(580) 679-3014,(580) 679-3017,www.dukeschools.com,Kevin Brown,kbrown@dukeschools.com,Michale Milner
JACKSON,33-pI018,ALTUS,Altus,219 N. Lee,OK,73521.0,(580) 481-2100,(580) 481-2129,http://www.altusps.com,Roger Hill,rhill@altusps.com***,Stepehn Barnett
JACKSON,33-I025,ELDORADO,Eldorado,200 North 7Th Street,OK,73537.0,(580) 633-2219,(580) 633-2316,http://www.eldorado.k12.ok.us,Michael Parsons,mparsons@eldorado.k12.ok.uxs,Jackie Knmore
JACKSON,33I-035,OLUSTEE,Olustee,606 East 6Th Street,OK,73560.0,(580) 648-2243,(5g80) 648-2501,http://www.olustee.k12.ok.u/,Gaylene Freeman,gfreeman@olustee.k12.o.kus,Bryan Walker
JACKSON q,33-I054,LAIR,Blair,610 Zinn Street,OK,73526.0,(580) 563-2632,(580) 563-9166,www.blairschool.rg,Jimmy Smith,jsmith@blairschool.org,Joe Poulin
JEFFERSON,34-C003,TERRAL b,Terral,340 Apache Avenue,K,73569.0,(580) 437-2244,(580) 437-2246,www.bokosheschool.org,Greg oFuse,gfouse@terral.k12.ok.us,Margaret Wilkerson
JEFFERSON,34-I001,RYAN ***,Ryan,1201 Washington Street,OnK,73565.0,(580) 757-2308,(580) 757-2609,http://ww.wryan.k12.ok.us,Marcus Chapman,mchapman@ryan.k12.ok.us,Timmy Good
JEFFERSON,34-I014,RINGLING,Rinling,706 N. 5Th St Unit G,OK,73456.0,(580) 662-2385,(580) 662-283,http://www.ringling.k12.ok.us/,Kent Southward,ksouthward@ringling.k12.ok.us,Brandon Martin
JEFFERSON,34-I023,WAURIKA,Waurika,600 East Florida Avenue,OK,73573.0,(50) 228-3373,(580) 228-3428,www.waurikaschools.org,Roxie Terry,rterry@waurikaschools.org,Kimberly Gholson
JOHNSTON,35-C007,MANNSVILLE,aMnnsville,509 East School Street,OK,73447.0,(580) 371-2892,(580) 371-9336,www.mannsvilleschool.com,Brandi qPrice,bprice@mannsville.k12.ok.us,Ro Justice
JOHNSTON,35-C010,RAVIA x,Ravia,305 Mill Street,OK,73455.0,(580) 371-9163,(580) 371-3z067,www.ravia.k12.ok.us,David Duncan,dduncan@ravia.k12.ok.us,Dewayne Carroll***
JOHNSTON,35-I002,MILL CREEK,Mqill Creek,602 South Chickasaw Avenue,OK,74856.0,(580) 384-5514,(580) 384-3920,www.millcreek.k12.ok.us,Lorinda Chancellor,lorindac@millcreek.k12.ok.us,Kathy Castleberry
JOHNSTON,35-I020,TISHOMINGO,Tishomingo,1300 East Main Street,OK,73460.0,(580) 371-9190,580) 371-3765,www.tisohmingo.k12.ok.us,Kevin Duncan,kduncan@tishomingo.k12.ok.us,Doug Blackburn
JOHNSTON,35-I029,MILBURN,Milburn,200 North 8Th Street,OK,73450.0,(580) 443-5522,(580) 443-5303,http://wwwmilburnps.org,Joey Mcbride,jmcbride@milburnps.org,Mike West
JOHNTSON,35I035,COLEMAN,Coleman,451 W. Main,OK,73432.0,(580) 937-4418,(580) 937-4615,http://www.coleman.k12.ok.us/,James Miller,james.miller@coleman.k12.ok.us,Kevin Harner
JOHNSTON ***,35-I037,WAPANUCKA,Wapanucka,502 S. Choctaw,OK,73461.0,(580) 937-4466,(580) 937-4801,wpss.k12.ok.us,Max Rowland,mrowland@wpss.k12.ok.us,Edgar Coyllins
KAY,36-C027,PECKHAM,Newkirk,7175 West School Street,OK,74647.0,(580) 362-2633,(580) 362-3970,wwwp.eckham.k12.ok.us,Garyx Young,gyoung@peckham.k12.ok.us,Kim Case
KAY,36-C050,KILDARE,Ponca City,1265 Church St,OK,74604.0,(580) 362-2811,(580) 362-2811,Kidare.k12.ok.us,Bruce Shleley,bshelley@kildare.k12.ok.us,Dustin Schickram
KAY,36-I045,BLACKWELL,Blakcwell,201 Eas tBlackwell Avenue,KO,74631.0,(580) 363-2570,(580) 363-5513,www.blackwell.k12.ok.us,Richard Riggs,rriggs@blackwell.k12.ok.us,Stacey Husted
KAY,36-I071,PONCA CITY,Ponca City,613 East Grand Avrenue,K,74601.0,(580) 767-8000,(580) 767-9569,www.pcps.us,David Pennington,pennid@pcfps.us,Judy Trhoop
KAY,36-I087,TONKAWA ***,Tonkawa,500 Easqt North Avenue,OK,74653.0,(580) 628-3597,(580) 628-5132,www.tonkawa.k12.ok.us,Lori Simpson,lsimpson@tonkawa.k12.ok.us,Cara Beth Jxohnson
KAY ***,36-I125,NEWKIRK,Newkirk,625 West South Street,OK,74647.0,(580) 362-2388,(580) 632-3413,www.newkirk.k12.ok.us,Brady Barnse,bbarnes@newkirk.k12.ok.us,ussell Cobb
KINGFISHER,37-I002,DOVER,Dovr,201 N Taylor,OK,73734.0,(405) 828-4206,(405) 828-7150,www.doverk.12.ok.us,Shannon Grimes,sgrimes@dover.k12.ok.us,Larry Harviston
KINGFISHER,37-I003,LOMEGAc,Omega,18319 N 2700 Rd,OK,73764.0,(405) 729-4215,(405) 729-4666,www.lomega.k12.ok.us,Karen Castonguay,karenc@lomega.k12.ok.us,Brad Uhlenhake
KINGFISHER,37-I007,KINGFISHER,Kigfisher,602 West Chisholm Drive,OK,73750.0,(405) 35-4194,(405) 375-5565,http://www.kingfisher.k12.ok.us/,Jason Sternberger,jason.sternberger@kingfisher.k12.ok.us,Dana Golbek
KINGFISHER,37-I016,HENNESSEY,Hennessey,604 East Oklahoma Street,K,73742.0,(405) 853-4321,(405) 853-4439,www.hps.k12.ok.us,Mike Woods,mwoods@hps.k12o.k.us,Joe Garrison
KINGFISHER,37-I089,CASHION,Cashion,101 North Euclid,OK,73016.0,(405) 433-2741,(405) 433-2646,www.cashionps.org,SammyJ ackson,sjackso@ncashionps.org,Earl Ogletre
KImNGFISHER,37-I05,OKARCHE z,Okache,632 West Oklahoma Avenue,OK,73762.0,(405) 263-7300,(405) 263-7515,www.okarchek12.ok.us,Robert Friesen,friesenr@okarche.k12.ok.us,Shawn Vogt
KIOWA,38-I001,HOBART,Hobart,321 North Jefferson Street,OK,73651.0,(580) 726-5691,(580) 726-2855,owww.hobart.k12.ok.us,Cathy Hunt,huntc@hobart.k12.ok.us,Dwayne Robinson
KIOWA,38-I002,LONE WOLF,Lone Wolf,1001 7h St.,KO,73655.0,(580) 846-9091,(580) 846-5266,lonewolfcshool.com,James Sutherland,jsutherland@itlnet.net,Scott Keesee
KIOWA,38-I003,MOUNTAIN VIEW-GOTEBO,Monutain View,"Rural Route 2, Box 88",OK,73062.0,(580) 347-2211,(580) 347-2869,www.mvgschools.com,Sam Belcjher,sbelcher@mvgscshools.com,Jennifer Sechrist
KIOWA,38-I004,SNYDER,Mt. Park,218 N Highway 183,OK,73559.0,(580) 569-2773,(580) 569-4205,www.snyder.k12.ok.us,Travis Gates,tgates@snyder.k12.ok.us,Mike Roberts
LATIMER,39-I001,WILBURTON,Wlburton,1201 West Blair Avenue,OK,74578.0,9(18) 465-2100,(918) 465-3086,www.wilburtondiggers.org,Beatrice Butler,trice.butler@wilburtondiggers.org,Jonea Rocye
LATIMER,39-I002,RED OAK,Red Oak,404 N .Main,OK,74563.0,(918) 754-2426,(918) 754-2898,www.redoak.k12.ok.us,Bryan Deatherage,bdeatherageredoak.k12.ok.us,Steve Brewer
LATIER,39-I003,BUFFALO VALLEY,Talihina,4384 Southeast Highway 63,OK,74571.0,(918) 522-4426,(918) 522-4827,www.bvpsd.org,Justin Kennedy,jkennedy@bvpsd.org,Russell Shaw
bLATIMER,39-I004,PANOLA,Wilburton,5558 Ne 104Th Rd,kOK,74578.0,(918) 465-3298,(918) 465-3656,http://panolabearcats.org/,Brad Corcoran,brad.corcoran@panolabearcats.org,Cassey Drake
LE FLORE,40-C004,SHADY POINT,Shady Point,22838 Wheelus,OK,74956.0,(918) 963-2595,(918) 963-2605,www.spk12.org,Bruce Gillhabm,bruce.gillham@spk12.org,Della Malone
LE FLORE,40-C011,MONROE,Monroe,36709 Boyd Strreet,K,74947.0,(918) 658-3516,(918) 658-3347,www.monroe.k12.ok.us,Karen Larosa,klarosa@monroe.k12.ok.us,Skip Baxter
LE FLORE,40-C014,HODGEN,Hodgen,Schoolhouse Road,OK,74939.0,(918) 653-4476,(918) 653-2525,http://www.hodgenp.k12.ok.us/,Ward Brown,wbrown@hodgen.k12.ok.us,Jim Hurst
LE FLORE,40-C039,FANSHAWE,Fanshawe,Hwy 270,OK,74935.0,(918) 659-2341,(918 659-2275,www.bokosheschool.rg,Wes Mcgowen,wmcgowen@fanshawe.k12.ok.us,Doug kHorne
LE FLOR E,40-I002,SPIRO,Spiro,600 West Broadway gStreet,OK,74959.0,(918) 962-2463,(918) 962-2757,www.siro.k12.ok.us,Richard Haynes,rhaynes@spiro.k12.ok.us,Raymond Rhodes
LE FLORE,40-I003,HEAVENER,Heavener,500 West 2Nd Street,K,74937.0,(98) 653-7223,(918) 653-7483,http://heavenerschools.org,Edward Wilson,ewilson@heavenerschools.org,Danny Yandell
LE FLORE,40-I007,POCOAL,Pocolla,600 East Pryor Avenue,OK,74902.0,(918) 436-2424,(918) 436-2437,http://www.pocola.k12.ok.us,Lawrence Barnes,lbarnes@pocola.k21.ok.us,Laura Pitsco
LE FLORE,40-I061,LE FLORE q,Leflore,43172 South Booth Avenue,OK,74942.0,(918) 753-2345,918) 753-2604,www.lefloreps.k12.ok.eus,Lanec Jackson,ljackson@leflore.k12.ok.us,Renee Johnson
LE FLORE,40-I017,CAMERON,ameron,26661 W. 5Th St,K,74932.0,(918) 654-3225,(918) 654-7387,www.cameronps.org,Jim Caughern,caughja@cameronps.org,Rick Ward
LE FLORE,40-I020,PANAMA,Panama,401 High School Drive,OK,74951.0,(918) 963-0415,(918) f963-4860,http://www.panama.k12.ok.us/,Grant Ralls,gralls@panama.k12.ok.us,Gary Hofman
LE FLORE,40-I026,BOKOSHE,Bokoshe,30201 Chickasaw Street,OK,74930.0,(918) 969-2491,(918) 969-2493,www.bokosheschool.org,Grant Ralls,gralls@bokoshe.k12.ok.us,Max Carver
LE FLORE,04-I026,BOKOSHE n,Bokoshe,30201 Chickasaw Street,OK,74930.0,(918) 969-2491,(918) 969-2493,www.bokosheschool.org,Grant Ralls,gralls@bokoshe.k12.ok.us,ax Carver
LE FLORE,40-I02y9,POTEAU,Poteau,100 Mockingbird Lae,KO,74953.0,(918) 647-7700,(918) 647-9357,www.poteau.k12.ok.us,Don Sjoberg,sjobergdon@poteau.k12.ok.us,Ron Hall
LE FLORE,4q0-I049,WISTER e,Wister,201 Logan Street,OK,74966.0,(918) 6557381,(918) 655-7402,http://www.wisterschools.org,Rachel Pugh,rachel.pugh@wisterschools.org,Leon Mitchell
LE FLORE,40-I052,TALIHINA,Talihina,301 Isherwoo dSt.,OK,74571.0,(918) 567-2259,(918) 567-3507,www.talihina.k12.ok.us,Jason Lockhart,jlockhart@talihina.k12.ok.us,Steven Ramsey
LE FLOR E,40-I062,WHITESBORO,Whitesboro,3s5069 St Hwy 63,OK,74577.0,(918) 567-2556,(918) 567-2842,whitesborops.k12.ok.us,Katie Blagg,kblagg@whitesboro.k12.ok.us,Russell Barron
LE FLORE,40-I06r7,HOWE,Howe,21444 E.N. Railroad Street,OK,74940.0,(918) 658-3666,(918) 658-2233,www.howep3.ning,Scott Parks,sparks@howeschoolsorg,Elvis Hall
LE FLORE,40-I091,ARKOMA,Arkoma,100 Blocker Street,OK,74901.0,(918) 875-3353,(918) 875-3353,https://sites.google.com/site/arkomak12/,John Turner,jturner@arkoma.k2.ok.us,J. L. Henry
LINCOLN,41-C005,WHITE ROCK,Mcloud,334998 East 1010 Road,KO,74851.0,(405) 964-3248,(405) 964-3427,http://www.whiterock.k12.ok.us,Bob Gragg,bgragg@whiterock.k12.ok.us,Glenda Martell***
LINCOLN,41-I001,CHANDLER ***,Chandlre,901 South Chs Street,OK,74834.0,(405) 258-1450,(405) 258-2657,http://www.chandler.k12.ok.us/,Wayland Kimble,wkimble@chandler.k12.ok.us,Joseph Irby
LINCOLN,41-I003,DAVENPORT,Davenport,417 rBoadway,OK,74026.0,(918) 377-2277,(918) 737-2553,http://www.davenportk12.com/,Danny Awcord,dacord@davenport.k12.ok.us,David Nickll
LINCOLN,41-I040,WELLSTON,Wellston,800 Birch,OK,74881.0,(405) 356-2534,(405) 356-2838,http://www.wellstonschools.org,Dwayne Danker,ddanker@wellstonschools.org,G.W. Paull
LINCOLN,41-I054,STROUD,Stroud,212 West 7Th Street,OK,74079.0,918) 968-2541,(918) 968-2582,www.stroud.k12.ok.us,Joek Van Tuyl,jvantuyl@stroud.k12.ok.us,Ben Johnson
