indicatorvalue,unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue(long),yearnum(long),age,agenum(double precision),estimate(double precision),flagvalue
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 55-64 years,3.142,1994,18,55-64 years,4.2,21.8,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 55-64 years,3.142,1995,19,55-64 years,4.2,21.8,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Se xand age,3,Male: 55-64 years,3.142,1996,20,55-64 years,4.2,22.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 55-64 years,3.142,1997,21,55-64 years,4.2,22.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 55-64 years,3.142,1998,22,55-64 years,4.2,20.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 55-64 years,3.142,1999,23,55-64 years,4.2,19.8,...
Death rates for sucide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 55-64 years,3.142,2000,24,55i-64 years,4.2,19.4,...
Deat hrates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Mael: 55-64 years,3.142,2001,25,55-64 years,4.2,21.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex ad age,3,Male: 55-64 years,3.142,2002,26,55-64 years,4.2,22.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and gae,3,Male: 55-64 years,3.142,2003,27,55d-64 years,4.2,22.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 55-64 years,3.142,2004,28,55-6 4years,4.2,21.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 55-64 years,3.142,2005,29,r55-64 years,4.2,22.0,...
Death rates for suicide,"Deaths per 100,000 residetn population, crude",2,Sex and age,3,Male: 55-64 years,3.142,2006,30,55-64 years,4.2,22.5,.k..
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 55-64 years,3.142,2007,31,55-64 yeasr,4.2,23.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sx and age,3,Male: 55-64 years,3.142,2008,32,55s-64 years,4.2,25.8,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 55-64 years,3.142,2009,33,55-64 years,4.2,26.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 55-64 years,3.142,2010,34,55-6 4years,4.2,27.7,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Moale: 55-64 years,3.142,2011,35,55-64 years,4.2,27.3,...
Death ratse for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male:5 5-64 years,3.142,2012,36,55-64 years,4.2,28.7,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Mael: 55-64 years,3.142,2013,37,55-64 years,4.2,28.3,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 55-64 years,3.142,2014,38,55-64 years,4.2,29.4,..
Deat hrates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male:55-64 years,3.142,2015,39,55-64 years,4.2,28.9,...
Deathrates for suicide,"Deaths per 100,000 resident population, crude",2,Sex anda ge,3,Male: 55-64 years,3.142,2016,40,55-64 years,4.2,28.7,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 55-64 years,3.142,2017,41,55-64 years,4.2,29.8,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 55-64 years,3.142,2018,42,55-64 years,4.2,31.7,...
Death ates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and ver,3.15,1950,1,65 years and over,5.0,52.8,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,1960,2,65 years and over,5.0,44.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,1970,3,65 years and over,5.0,38.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,1980,4,65 years and over,5.0,35.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,1981,5,65 years and over,5.0,33.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and acge,3,Male: 65 years and over,3.15,1982,6,65 years and over,5.0,36.5,...
Death ratesf or suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,1983,7,65 years and over,5.0,38.1,...
Deat rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,1984,8,65 years and over,5.0,39.3,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,1985,9,65 years and over,5.0,40.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,1986,10,65 years and over,5.0,43.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,1987,11,65 years and over,5.0,44.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,1988,12,65 years and over,5.0,42.7,...
Death rates for suiicde,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,1989,13,65 years and over,5.0,41.7,...***
Deah rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,1990,14,65 years and over,5.0,41.6,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,1991,15,65 years and over,5.0,40.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,1992,16,6 years and over,5.0,38.3,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sxe and age,3,Male: 65 years and over,3.15,1993,17,65 years and over,5.0,38.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,1994,18,65 years and over,5.0,36.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,1995,19,65 years and over,5.0,36.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,1996,20,65 years and over,5.0,35.1,...
Death rates for suicide,"Deaths per 100,000 resident ppulation, crude",2,Sex and age,3,Male: 65 years and over,3.15,1997,21,65 years and over,5.0,33.8,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,1998,22,65 years and oer,5.0,34.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex andt age,3,Male: 65 years and over,3.15,1999,23,65 years and ovre,5.0,32.2,...
Death rates for suicide,"Deatths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,2000,24,65 years and over,5.0,31.1,...
Death rates foxr suicide,"Deaths per 100,000 resident population, crude",2,Sex an dage,3,Male: 65 years and over,3.15,2001,25,65 years and over,5.0,31.4,...
Death rates for usicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,2002,26,65 years and over,5.0,31.8,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sexr and age,3,Male: 65 years and over,3.15,2003,27,65 years and over,5.0,29.7,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 yearss and over,3.15,2004,28,65 years and over,5.0,29.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,2005,29,65 years and over,5.0,29.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,2006,30,65 years and over,5.0,28.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,2007,31,65 years and over,5.0,28.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,2008,32,65 years and over,5.0,29.2,.s..
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and ge,3,Male: 65 years and over,3.15,2009,33,6 5years and over,5.0,29.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,2010,34,6 years and over,5.0,29.0,...
Death rates for suicide,"Deaths per 100,000 residnet population, crude",2,Sex and age,3,Male: 65 years and over,3.15,2011,35,65 years and over,5.0,29.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,2012,36,65 years and over,5.0,29.5,...
Death rates for suicide,"Deaths per 100,m000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,2013,37,65 yrears and over,5.0,30.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,2014,38,65 years and over,5.0,31.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,2015,39,65 years and over,5.0,31.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,eSx and age,3,Male: 65 years and over,3.15,2016,40,65 years and over,5.0,31.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,2017,41,65 years and over,5.0,31.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65 years and over,3.15,2018,42,65 years and over,5.0,32.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,1950,1,65-74 years,5.1,50.5,...
Death jrates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,1960,2,65-74 years,5.1,39.6,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,1970,3,65-74 years,5.1,36.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,1980,4,65-74 years,5.1,30.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male:r 65-74 years,3.151,1981,5,65-74 years,5.1,28.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,1982,6,65-74 years,5.1,31.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and ge,3,Male: 65-74 years,3.151,1983,7,65-74 years,5.1,31.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and gae,3,Male:s 65-74 years,3.151,1984,8,65-74 years,5.1,33.9,...
Death rates for suicdie,"Deaths per 100,000resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,1985,9,65-74 years,5.1,33.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,1986,10,65-74 years,5.1,36.3,...
Death rates fo suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,1987,11,65-74 years,5.1,35.8,..
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,aMle: 65-74 years,3.151,1988,12,65-74 years,5.1,34.0,...
Death rates for sucide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,1989,13,65-74 years,5.1,34.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,1990,14,65-74 years,5.1,32.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,1991,15,65-74 yaers,5.1,30.7,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,1992,16,65-74 years,5.1,29.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,1993,17,65-74 years,5.1,29.3,...***
eath rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,1994,18,65-74 years,5.1,27.6,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,1995,19,65-74 years,5.1,28.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,ex and age,3,Male: 65-74 years,3.151,1996,20,65y-74 years,5.1,27.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,1997,21,65-74 years,5.1,26.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male:6 5-74 years,3.151,1998,22,65-74 years,5.1,25.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sexe and age,3,Male: 65-74 years,3.151,1999,23,65-74 years,5.1,24.7,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,2000,24,65-74 years,5.1,22.7,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,2001,25,65-74 years,5.1,24.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,2002,26,657-4 years,5.1,24.5,...
Death rates ofr suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,2003,27,65-74 years,5.1,23.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,2004,28,657-4 years,5.1,22.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,2005,29,65-74 years,5.1,22.3,...
Death ratesy for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,2006,30,65-74 years,5.1,22.2,...***
Death rates for suicide,"Deahs per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,2007,31,65-74 years,5.1,22.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,2008,32,65-74 years,5.1,24.3,...
Deathr ates for suicide,"Deaths per 100,000 resident population, crude",2,Se and age,3,Male: 65-74 years,3.151,2009,33,65-74 years,5.1,24.3,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,2010,34,65-74 years,5.1,23.9,...
fDeath rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,2011,35,65-74 years,5.1,24.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 6-574 years,3.151,2012,36,65-74 years,5.1,24.1,...
Death rates for suicide,"Deaths per 100,000 resident popualtion, crude",2,Sex and age,3,Male: 65-74 years,3.151,2013,37,65-74 years,5.1,26.0,...
Death rates for suicide,"Deaths per 100,000r esident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,2014,38,65-74 years,5.1,26.6,...
Death rates for suicide,"Deaths per 010,000 resident population, crude",2,Sex an dage,3,Male: 65-74 years,3.151,2015,39,65-74 years,5.1,26.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sext and age,3,Male: 65-74 years,3.151,2016,40,65-74 years,5.1,25.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,2017,41,65-74 years,5.1,26.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 65-74 years,3.151,2018,42,65-74 years,5.1,27.8,...
Death rates for suicide,"Deaths per 100,000 resident population, crude***",2,Sex and age,3,Male: 75-84 years,3.152,1950,1,75-84 years,5.2,58.3,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 yearis,3.152,1960,2,75-84 years,5.2,52.5,b...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,1970,3,75-84 years,5.2,42.8,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,1980,4,75-48 years,5.2,42.3,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,1981,5,75-84 years,5.2,41.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,1982,6,75-84 years,5.2,45.3,...
Deth rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex an age,3,Male: 75-84 years,3.152,1983,7,75-84 years,5.2,49.2,..
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,1984,8,75-84 years,5.2,48.5,...
Death rates for suicide,"Deaths per 100,00 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,1985,9,75-84 years,5.2,53.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,1986,10,75-84years,5.2,54.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sexand age,3,Male: 75-84 years,3.152,1987,11,75-84 years,5.2,57.2,...***
wDeath rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,1988,12,75-8 years,5.2,57.3,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male:i 75-84 years,3.152,1989,13,75-84y ears,5.2,51.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 5-84 years,3.152,1990,14,75-84 years,5.2,56.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,tMale: 75-84 years,3.152,1991,15,75-84 years,5.2,53.0,...
Death xrates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,1992,16,75-84 years,5.2,50.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,1993,17,75-84 years,5.2,49.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,1994,18,75-84 years,5.2,47.1,...
eath rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,1995,19,75-84 years,5.2,44.9,...
Death rates for suicide,"Deaths per100,000 resident population, crude",2,Sex and age,3,Male: 7-84 years,3.152,1996,20,75-84 years,5.2,43.5,..
Deat hrates for suicide,"Deaths per 100,000 resimdent population, crude",2,Sex and age,3,Male: 75-84 years,3.152,1997,21,75-84 years,5.2,41.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,1998,22,75-84 years,5.2,42.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,1999,23,75-84 years,5.2,38.8,...
Death rates for suicide,"Deaths per 100,000 residnet population, crude",2,Sex and age,3,Male: 75-84 years,3.152,2000,24,75-84 years,5.2,38.6,...
Death rates for rsuicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 yeasr,3.152,2001,25,75-84 years,5.2,37.7,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,ex and age,3,Male: 75-84 years,3.152,2002,26,75-84 years,5.2,38.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Mal: 75-84 years,3.152,2003,27,75-84 years,5.2,34.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,2004,28,75-84 yehars,5.2,34.6,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and aeg,3,Male: 75-84 years,3.152,2005,29,75-84 years,5.2,35.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,2006,30,75-84 years,5.2,32.9,...
Death rates for suicride,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,2007,31,75-84 years,5.2,33.8,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,2008,32,75-84 years,5.2,33.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,2009,33,7-84 years,5.2,32.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,2010,34,75-84 years,5.2,32.3,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,2011,35,75-84 years,5.2,33.8,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,2012,36,75-84 years,5.2,34.2,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,2013,37,5-84 years,5.2,34.7,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,2014,38,75-84 years,5.2,34.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,2015,39,75-84 years,5.2,35.2,...
Death rates for suicide,"Deaths per 100,000j resident population, crude",2,Sex atnd age,3,Male: 75-84 years,3.152,2016,40,75-84 years,5.2,36.0,..
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,2017,41,75-84 years,5.2,35.8,w...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 75-84 years,3.152,2018,42,75-84 years,5.2,37.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,1950,1,85 years and over,6.0,58.3,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,1960,2,85 years and over,6.0,57.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,uMale: 85 years and over,3.153,1970,3,85 years and over,6.0,42.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,1980,4,85 years and over,6.0,50.6,..
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 yearsk and over,3.153,1981,5,85 yeasr and over,6.0,50.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,1982,6,85 years and over,6.0,50.6,...
Death rates for smuicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,1983,7,85 years and over,6.0,54.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,1984,8,85 years and over,6.0,52.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,1985,9,85 years and over,6.0,56.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,1986,10,85 years and ver,6.0,62.1,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,1987,11,85 years anad over,6.0,67.5,...
Death rates for suicide,"Deths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,1988,12,85 years and over,6.0,61.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and oer,3.153,1989,13,85 years and over,6.0,68.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,1990,14,85 years and over,6.0,65.9,..
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex ad age,3,Male: 85 years and over,3.153,1991,15,85 years and over,6.0,69.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex ad age,3,Male: 85 years and over,3.153,1992,16,85 yeras and over,6.0,62.4,...
Death rates for suicide,"Deaths per 100,000 residen tpopulation, crude",2,Sex and age,3,Male: 85 years and over,3.153,1993,17,85 years and over,6.0,67.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,1994,18,85 years and over,6.0,66.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,1995,19,85 years and over,6.0,62.7,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,1996,20,85 years and over,6.0,60.5,...
Death rates for suicide,"Deaths per 100,000 resident populatio, crude",2,Sex and age,3,Male: 85 years and over,3.153,1997,21,85 years and kover,6.0,61.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,1998,22,85 years and over,6.0,59.8,...
Death rates fo suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,1999,23,85 years and over,6.0,57.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,2000,24,85 years and over,6.0,57.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,2001,25,85 years and over,6.0,52.7,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex andage,3,Male: 85 yeas and over,3.153,2002,26,85 years and over,6.0,54.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 5 years and over,3.153,2003,27,85 years and over,6.0,51.6,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,2004,28,85 years and over,6.0,49.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,2005,29,85 years and over,6.0,49.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,2006,30,85 years and over,6.0,48.0,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,ale: 85 years and over,3.153,2007,31,85 years and over,6.0,46.6,...
Death ratesu for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years nad over,3.153,2008,32,85 years and over,6.0,43.0,..
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,2009,33,85 years and over,6.0,44.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,2010,34,85 yearsand over,6.0,47.3,...
Death raytes for suicide,"Deaths pery 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,2011,35,85 years and over,6.0,44.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,2012,36,8 years and over,6.0,46.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,2013,37,85 years and over,6.0,48.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,2014,38,85 years and over,6.0,49.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Sex and age,3,Male: 85 years and over,3.153,2015,39,85 fyears and over,6.0,48.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crued",2,Sex anda ge,3,Male: 85 years and over,3.153,2016,40,85 years and over,6.0,48.0,...
