OBJECTID_1,OBJECTID,Perimeter,Area,ACRES,DELINSQMI,TINWSYS_IS,PWS_ID,PWS_Name,PWS_label,TINWSYS_D_,TINWSF_IS,TINWSF_NAM,TINWSF_WAT,Src_label,DWS_ID,OREGON_DWP,CITY,CNTY_NAME,EPA_METHOD,OR_METHOD,Comments,FIPS_CNTY,OR_CNTY_NU,TINWSYS_ST,UTM_ZONE,SDWIS_link,UpStrm_Cd,UpStrmPWSs,DwnStrm_Cd,Assessment,SUBBASIN,SUBBASIN_N,HUC12_NHD,HUC12_WBD,WRD_basin,DATE_DEL,INITIALS_D,DATE_DIG,INITIALS_1,DATE_PROC,INITIALS_P,METHOD,Comment,HUC4_edit,Separate,SQMI,Shape__Area,Shape__Length
42,45,241504.947031,2381379610.71,54669.1720905,85.4205814025,3914,4100847,"SUTHERLIN, CITY OF",City of Sutherlin,C,11772,CALAPOOYA CREEK NON-PARIEL, ,Calapooya Creek Non-Pariel,101316,159,SUTHERLIN,DOUGLAS, , , ,19,10,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00847,53,NO,191,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100847,17100303,Umpqua, , , ,2000/04/13 00:00:00+00,AECZ,2000/04/13 00:00:00+00,AECZ,2000/04/13 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,85.4205814025,420152378.78125,101432.809352395
43,46,282157.100219,2285989982.06,52479.3187798,81.9989356041,4690,4100953,"WILLAMINA, CITY OF",City of Willamina,C,11748,WILLAMINA CREEK, ,Willamina Creek,101463,67,WILLAMINA,YAMHILL, , , ,71,36,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00953,54,NO,224,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100953,17090008,Yamhill, , , ,2000/03/13 00:00:00+00,KTS,2000/03/13 00:00:00+00,KTS,2000/03/13 00:00:00+00,KTS,DRG_AI, ,done,JoinToRight,81.9989356041,427568971.429688,122040.454697253
44,47,240522.550476,2000543343.05,45926.3394226,71.7599053571,3985,4100689,RAINIER WATER DEPARTMENT,Rainier Water Department,C,11723,COLUMBIA RIVER, ,Columbia River,101076,11,RAINIER,COLUMBIA, , , ,9,5,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00689,55,NO,58,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100689,17080003,Lower Columbia-Clatskanie, , , ,2000/05/01 00:00:00+00,KTS,2000/05/01 00:00:00+00,KTS,2000/05/01 00:00:00+00,KTS,DRG_AI, ,done,JoinToRight,71.7599053571,384519950.578125,105498.792849322
45,48,353844.944632,1767399664.35,40574.0756191,63.396993163,3884,4100225,"CORVALLIS, CITY OF",City of Corvallis,C,11794,WILLAMETTE RIVER, ,Willamette River,100327,120,CORVALLIS,BENTON, , , ,3,2,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00225,56,YES,200,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100225,17090003,Upper Willamette, , , ,2000/09/26 00:00:00+00,AECZ,2000/09/26 00:00:00+00,AECZ,2000/09/26 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,63.396993163,321819736.046875,151026.188075194
46,49,213150.67417,1728030931.91,39670.2902676,61.9848285512,3953,4100302,SOUTH COAST WATER DIST INC,South Coast Water District Inc.,C,11697,SILTCOOS LAKE, ,Siltcoos Lake,100461,142,FLORENCE,LANE, , , ,39,20,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00302,57,NO,150,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100302,17100207,Siltcoos, , , ,2000/08/30 00:00:00+00,AECZ,2000/08/30 00:00:00+00,AECZ,2001/09/04 00:00:00+00,AECZ,DRG_AI,City name changed from Tigard (sda 31MAY2013)., ,JoinToRight,61.9848285512,309383332.398438,90181.2426263347
47,50,211781.634399,1700995301.11,39049.6351036,61.0150548572,3963,4100466,LANGLOIS WATER DISTRICT,Langlois Water District,C,11886,FLORAS CREEK, ,Floras Creek,100702,183,LANGLOIS,CURRY, , , ,15,8,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00466,58,NO,153,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100466,17100306,Sixes, , , ,2000/03/21 00:00:00+00,AECZ,2000/03/21 00:00:00+00,AECZ,2000/03/21 00:00:00+00,AECZ,DRG_AI, ,done,JoinToRight,61.0150548572,294766768.875,88147.9713792051
48,51,184848.061388,1614079452.06,37054.3137833,57.897365294,5068,4101515,ROW RIVER VALLEY WATER DIST,Row River Valley Water District,C,22809,LAYNG CREEK, ,Layng Creek,100339,147,DORENA,LANE, , , ,39,20,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=01515,59,NO,23,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4101515,17090002,Coast Fork Willamette, , , ,2000/05/11 00:00:00+00,AECZ,2000/05/11 00:00:00+00,AECZ,2000/05/11 00:00:00+00,AECZ,DRG_AI,Sold by City of Cottage Grove (sda 02NOV2012)., ,JoinToRight,57.897365294,287365082.976563,77989.4755060855
49,52,192976.469545,1556036290.5,35721.8208141,55.8153450292,3179,4193461,BREITENBUSH HOT SPRINGS,Breitenbush Hot Springs,C,11657,BREITENBUSH RIVER, ,Breitenbush River, ,206,DETROIT,MARION, , , ,47,24,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=93461,60,NO,107,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4193461,17090005,North Santiam, , , ,2006/05/19 00:00:00+00,SDA,2006/05/19 00:00:00+00,SDA,2006/05/19 00:00:00+00,SDA,DRG_AI, ,done,JoinToRight,55.8153450292,286856053.648438,82832.5612289482
50,53,279341.20374,1537829562.7,35303.8501845,55.1622659205,2056,4105737,BERNDT CREEK WATER CORP,Berndt Creek Water Corp,C,11532,ROCK CREEK, ,Rock Creek, ,208,VERNONIA,COLUMBIA, , , ,9,5,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=05737,61,NO,95,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4105737,17100202,Nehalem, , , ,2006/05/17 00:00:00+00,SDA,2006/05/17 00:00:00+00,SDA,2006/05/17 00:00:00+00,SDA,DRG_AI, ,done,JoinToRight,55.1622659205,294234719.007813,122162.968240545
51,54,270983.932229,1458187682.49,33475.5168792,52.3054951306,3904,4100719,UMPQUA BASIN WATER ASSOCIATION,Umpqua Basin Water Association,C,11781,NORTH UMPQUA RIVER, ,North Umpqua River,101125,160,ROSEBURG,DOUGLAS, , , ,19,10,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00719,62,YES,121,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100719,17100301,North Umpqua, , , ,2000/04/24 00:00:00+00,AECZ,2000/04/24 00:00:00+00,AECZ,2000/04/24 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,52.3054951306,256331619.078125,113617.912456069
52,55,209646.061128,1414140068.42,32464.3187556,50.7254980622,4360,4100414,"JOSEPH, CITY OF",City of Joseph,C,11707,WALLOWA LAKE, ,Wallowa Lake,100625,58,JOSEPH,WALLOWA, , , ,63,32,OR,11,https://yourwater.oregon.gov/inventory.php?pwsno=00414,63,NO,207,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100414,17060105,Wallowa River, , , ,2000/10/23 00:00:00+00,AECZ,2000/10/23 00:00:00+00,AECZ,2000/10/23 00:00:00+00,AECZ,DRG_AI, ,done,JoinToRight,50.7254980622,264884582.765625,90788.239457722
53,56,214184.449318,1384353661.41,31780.5142067,49.6570534544,3948,4100257,DETROIT WATER SYSTEM,Detroit Water System,C,11865,BREITENBUSH RIVER (SUMMER ONLY), ,"Breitenbush River; Summer only",100394,91,DETROIT,MARION, , , ,47,24,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00257,64,NO,115,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100257,17090005,North Santiam, , , ,2000/03/17 00:00:00+00,KTS,2000/03/17 00:00:00+00,KTS,2001/11/26 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,49.6570534544,255436913.070313,91998.7519150164
54,57,229711.856896,1379068335.79,31659.1793406,49.4674677262,3910,4100823,"SILVERTON, CITY OF",City of Silverton,C,11820,ABIQUA CREEK, ,Abiqua Creek,101268,81,SILVERTON,MARION, , , ,47,24,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00823,65,NO,89,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100823,17090009,Molalla-Pudding, , , ,2000/03/15 00:00:00+00,KTS,2000/03/15 00:00:00+00,KTS,2000/03/15 00:00:00+00,KTS,DRG_AI, , ,JoinToRight,49.4674677262,255595830.867188,98871.5016963362
55,58,249231.199942,1323795570.35,30390.2861696,47.4848221461,3910,4100823,"SILVERTON, CITY OF",City of Silverton,C,11485,SILVER CREEK, ,Silver Creek,11485,209,SILVERTON,MARION, , , ,47,24,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00823,66,NO,85,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100823,17090009,Molalla-Pudding, , , ,2006/05/31 00:00:00+00,SDA,2006/05/31 00:00:00+00,SDA,2006/05/31 00:00:00+00,SDA,DRG_AI, , ,JoinToRight,47.4848221461,245142344.296875,107261.392704886
56,59,213155.466075,1309792404.53,30068.8164306,46.9825256789,4303,4100799,SEASIDE WATER DEPARTMENT,Seaside Water Department,C,11889,NECANICUM RIVER, ,Necanicum River,106490,22,SEASIDE,CLATSOP, , , ,7,4,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00799,67,YES,90,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100799,17100201,Necanicum, , , ,1999/09/15 00:00:00+00,CJB,1999/09/15 00:00:00+00,CJB,1999/12/16 00:00:00+00,AECZ,DRG_AV, ,done,JoinToRight,46.9825256789,251246553.085938,93346.078637891
57,60,197852.093877,1257258346.35,28862.7955786,45.0981180974,3197,4194300,ROSEBURG FOREST PROD-DILLARD,Roseburg Forest Products - Dillard,NTNC,11767,SOUTH UMPQUA RIVER, ,South Umpqua River,105099,177,ROSEBURG,DOUGLAS, , , ,19,10,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=94300,68,YES,160,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4194300,17100302,South Umpqua, , , ,2000/04/28 00:00:00+00,KTS,2000/04/28 00:00:00+00,KTS,2002/02/26 00:00:00+00,AECZ,DRG_AI, ,N/A,JoinToRight,45.0981180974,218880540.953125,82540.331744774
58,61,147771.26386,986919990.685,22656.6560692,35.4010251128,3940,4100169,"CANYONVILLE, CITY OF",City of Canyonville,C,11688,CANYON CREEK, ,Canyon Creek,100263,189,CANYONVILLE,DOUGLAS, , , ,19,10,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00169,69,NO,169,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100169,17100302,South Umpqua, , , ,2000/05/01 00:00:00+00,KTS,2000/05/01 00:00:00+00,KTS,2002/03/05 00:00:00+00,AECZ,DRG_AI, ,done,JoinToRight,35.4010251128,170743280.90625,61453.3495378245
59,62,187662.484989,968321685.263,22229.6960184,34.7339000332,4295,4100324,KERNVILLE-GLENEDEN-LINCOLN BCH W D,Kernville-Gleneden-Lincoln Beach Water District,C,11799,DRIFT CREEK, ,Drift Creek,100490,83,GLENEDEN BEACH,LINCOLN, , , ,41,21,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00324,70,NO,136,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100324,17100204,Siletz-Yaquina, , , ,2000/05/24 00:00:00+00,KTS,2000/05/24 00:00:00+00,KTS,2001/09/19 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,34.7339000332,179438719.90625,80753.7634512118
60,63,346126.848236,3329459351.51,76434.1751466,119.428398682,3946,4100250,MILO ACADEMY,Milo Academy,C,11864,SOUTH UMPQUA RVR.(06/01-10/31), ,South Umpqua River,100376,181,DAYS CREEK,DOUGLAS, , , ,19,10,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00250,71,YES,168,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100250,17100302,South Umpqua, , , ,2000/05/12 00:00:00+00,KTS,2000/05/12 00:00:00+00,KTS,2002/02/27 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,119.428398682,576239683.398438,144075.959100862
61,64,203494.947252,812261531.922,18647.0335394,29.1359899091,3942,4100199,BEAVER WATER DISTRICT,Beaver Water District,C,11837,BEAVER CREEK, ,Beaver Water District,100298,59,BEAVER,TILLAMOOK, , , ,57,29,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00199,73,NO,214,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100199,17100203,Wilson-Trask-Nestucca, , , ,1999/09/15 00:00:00+00,CJB,1999/09/15 00:00:00+00,CJB,1999/12/28 00:00:00+00,KTS,DRG_AV, ,done,JoinToRight,29.1359899091,152678160.6875,88213.6810941092
62,65,175383.242108,782085372.461,17954.2814695,28.0535647997,3885,4100248,"DALLAS, CITY OF",City of Dallas,C,11800,RICKREAL CREEK, ,Rickreal Creek,100374,84,DALLAS,POLK, , , ,53,27,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00248,74,NO,83,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100248,17090007,Middle Willamette, , , ,2000/03/23 00:00:00+00,KTS,2000/03/23 00:00:00+00,KTS,2000/03/23 00:00:00+00,KTS,DRG_AI, ,done,JoinToRight,28.0535647997,144919303.109375,75465.1948095007
63,66,177003.291775,766452037.343,17595.3880432,27.492793821,3916,4100869,THE DALLES.CITY OF,City of The Dalles,C,11808,FORK MILL CREEK, ,Fork Mill Creek,101342,47,THE DALLES,WASCO, , , ,65,33,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00869,75,NO,68,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100869,17070105,Middle Columbia-Hood, , , ,2000/10/24 00:00:00+00,AECZ,2000/10/24 00:00:00+00,AECZ,2000/10/24 00:00:00+00,AECZ,DRG_AI, ,done,JoinToRight,27.492793821,144814139.226563,76924.9468760701
64,67,148224.51759,762546057.822,17505.7187331,27.3526855241,4688,4100041,"AMITY, CITY OF",City of Amity,C,11859,SOUTH YAMHILL RIVER, ,South Yamhill River,100042,76,AMITY,YAMHILL, , , ,71,36,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00041,76,YES,222,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100041,17090008,Yamhill, , , ,2000/03/14 00:00:00+00,KTS,2000/03/14 00:00:00+00,KTS,2000/03/14 00:00:00+00,KTS,DRG_AI, ,N/A,JoinToRight,27.3526855241,142080746.257813,63973.7230250253
65,68,195035.47142,746995807.09,17148.7326695,26.7948947995,3906,4100731,SALEM PUBLIC WORKS,Salem Public Works,C,22295,N SANTIAM RIVER & INFILTRATION GALLERY, ,North Santiam River I.G.,105916,92,SALEM,MARION, , ,TINWSF updated 27JUL2018 from 11868,47,24,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00731,77,YES,111,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100731,17090005,North Santiam, , , ,2001/11/28 00:00:00+00,AECZ,2001/11/28 00:00:00+00,AECZ,2001/11/28 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,26.7948947995,137861821.960938,83740.735298177
66,69,124498.630253,678003912.486,15564.8903698,24.320141206,4006,4100985,HILLSBORO-CHERRY GROVE,Hillsboro-Cherry Grove,C,11753,UPPER TUALATIN R. - HAINES FALLS INTAKE, ,Up Tun R - Haines,101512,44,HILLSBORO,WASHINGTON, , , ,67,34,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00985,78,NO,183,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100985,17090010,Tualatin, , , ,2000/03/17 00:00:00+00,AECZ,2000/03/17 00:00:00+00,AECZ,2000/03/17 00:00:00+00,AECZ,DRG_AI, ,done,JoinToRight,24.320141206,128201946.703125,54138.4620518208
67,70,151250.912608,609936123.023,14002.26269,21.8785354559,3918,4100932,"WARRENTON, CITY OF",City of Warrenton,C,11742,LEWIS & CLARK RIVER, ,Lewis & Clark River,101438,17,WARRENTON,CLATSOP, , , ,7,4,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00932,79,NO,50,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100932,17080006,Lower Columbia, , , ,2000/08/10 00:00:00+00,AECZ,2000/08/10 00:00:00+00,AECZ,2000/08/10 00:00:00+00,AECZ,DRG_AI, ,done,JoinToRight,21.8785354559,117220802.78125,66294.3793184846
68,71,97575.978601,554799504.865,12736.4950429,19.9007735072,4233,4100047,ASHLAND WATER DEPARTMENT,Ashland Water Department,C,11817,ASHLAND CREEK, ,Ashland Creek,100051,200,ASHLAND,JACKSON, , , ,29,15,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00047,80,NO,81,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100047,17100308,Middle Rogue, , , ,2000/03/30 00:00:00+00,AECZ,2000/03/30 00:00:00+00,AECZ,2000/03/30 00:00:00+00,AECZ,DRG_AI, ,done,JoinToRight,19.9007735072,93658747.984375,40099.6268104326
69,72,148729.889231,445201317.59,10220.4568044,15.969463759,3911,4100826,"SISTERS, CITY OF",City of Sisters,C,11790,POLE CREEK, ,Pole Creek,101272,137,SISTERS,DESCHUTES, , , ,17,9,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00826,82,NO,192,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100826,17070301,Upper Deschutes, , , ,2000/10/17 00:00:00+00,AECZ,2000/10/17 00:00:00+00,AECZ,2000/10/17 00:00:00+00,AECZ,DRG_AI, ,done,JoinToRight,15.969463759,80552755.0859375,63259.6828204246
70,73,128392.181938,435792455.297,10004.4581835,15.6319659137,3939,4100124,FISHHAWK LAKE RECREATION CLUB,Fishhawk Lake Recreation Club Inc.,C,11687,FISHAWK CREEK, ,Fishhawk Creek,100189,10,BIRKENFELD,COLUMBIA, , , ,9,5,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00124,83,NO,96,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100124,17100202,Nehalem, , , ,2000/03/01 00:00:00+00,KTS,2000/03/01 00:00:00+00,KTS,2000/03/01 00:00:00+00,KTS,DRG_AI, ,done,JoinToRight,15.6319659137,84033951.921875,56369.7536868631
71,74,104090.975403,417816767.282,9591.79151868,14.9871742499,3894,4100483,LINCOLN CITY WATER DISTRICT,Lincoln City Water District,C,11708,SCHOONER CREEK, ,Schooner Creek,100723,80,LINCOLN CITY,LINCOLN, , , ,41,21,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00483,84,NO,135,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100483,17100204,Siletz-Yaquina, , , ,2000/03/23 00:00:00+00,KTS,2000/03/23 00:00:00+00,KTS,2001/09/19 00:00:00+00,AECZ,DRG_AI, ,N/A,JoinToRight,14.9871742499,77534766.4765625,44826.7149988748
72,75,97426.1996405,339209383.814,7787.20708576,12.1675110731,3996,4100898,TIMBER WATER ASSOCIATION,Timber Water Association,C,11836,NEHALEM RIVER, ,Nehalem River,101378,34,TIMBER,WASHINGTON, , , ,67,34,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00898,85,NO,102,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100898,17100202,Nehalem, , , ,2000/03/20 00:00:00+00,AECZ,2000/03/20 00:00:00+00,AECZ,2000/03/20 00:00:00+00,AECZ,DRG_AI, ,done,JoinToRight,12.1675110731,64605610.0390625,42504.8596498462
73,76,152941.038453,333148217.101,7648.06128784,11.9500957638,3872,4100012,"ALBANY, CITY OF",City of Albany,C,11680,SOUTH SANTIAM RIVER - LEBANON-ALBANY CANAL, ,South Santiam River - Lebanon - Albany Canal,100012,117,ALBANY,LINN, , , ,43,22,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00012,86,YES,199,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100012,17090003,Upper Willamette, , , ,2011/01/14 00:00:00+00,SDA,2011/01/14 00:00:00+00,SDA,2011/01/14 00:00:00+00,SDA,DRG_AI, , ,JoinToRight,11.9500957638,61049947.5859375,65431.9253358362
74,77,105813.373111,306011553.692,7025.08672501,10.9766980093,4113,4100707,LAWSON ACRES WATER ASSOCIATION,Lawson Acres Water Association,C,11728,COW CREEK, ,Cow Creek,101109,185,RIDDLE,DOUGLAS, , , ,19,10,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00707,87,YES,167,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100707,17100302,South Umpqua, , , ,2000/05/01 00:00:00+00,KTS,2000/05/01 00:00:00+00,KTS,2002/03/06 00:00:00+00,AECZ,DRG_AI, ,done,JoinToRight,10.9766980093,53036698.7421875,44064.5616328584
75,78,74349.6625697,229811932.43,5275.77712766,8.24340176304,3889,4100379,HILLSBORO-FOREST GROVE-BEAVERTON,Hillsboro & JWC Plant,C,11705,NORTH FORK TRASK RIVER (BARNEY RESERVOIR), ,North Fork Trask River,100570,51,FOREST GROVE,WASHINGTON, , , ,67,34,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00379,89,NO,210,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100379,17100203,Wilson-Trask-Nestucca, , , ,2000/03/20 00:00:00+00,AECZ,2000/03/20 00:00:00+00,AECZ,2000/03/20 00:00:00+00,AECZ,DRG_AI, ,done,JoinToRight,8.24340176304,43351501.4296875,32280.0413649878
76,79,73067.563647,226204152.942,5192.95357579,8.11398996322,4303,4100799,SEASIDE WATER DEPARTMENT,Seaside Water Department,C,11775,SOUTH FORK NECANICUM RIVER, ,South Fork Necanicum River,101231,23,SEASIDE,CLATSOP, , , ,7,4,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00799,91,NO,91,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100799,17100201,Necanicum, , , ,1999/09/15 00:00:00+00,CJB,1999/09/15 00:00:00+00,CJB,1999/12/16 00:00:00+00,AECZ,DRG_AV, ,done,JoinToRight,8.11398996322,43326998.8125,31980.0808355243
77,80,92682.4305608,197404346.668,4531.79835372,7.08093492861,3912,4100843,STAYTON WATER SUPPLY,Stayton Water Supply,C,11770,NORTH SANTIAM RIVER, ,North Santiam River,101303,94,STAYTON,MARION, , , ,47,24,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00843,92,YES,110,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100843,17090005,North Santiam, , , ,2000/03/16 00:00:00+00,KTS,2000/03/16 00:00:00+00,KTS,2001/11/27 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,7.08093492861,36449817.0390625,39789.522408256
78,81,66164.9393271,191715438.487,4401.19846994,6.87687261017,3907,4100789,"SANDY, CITY OF",City of Sandy,C,11731,ALDER CREEK, ,Alder Creek,101213,63,SANDY,CLACKAMAS, , , ,5,3,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00789,93,NO,62,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100789,17080001,Lower Columbia-Sandy, , , ,2000/03/07 00:00:00+00,KTS,2000/03/07 00:00:00+00,KTS,2000/03/07 00:00:00+00,KTS,DRG_AI, ,done,JoinToRight,6.87687261017,36051780.453125,28695.2089625712
79,82,68511.8341904,188809091.504,4334.47765708,6.77262134006,3954,4100304,ALDERWOOD WATER DEVELOPMENT CO,Alderwood Water Development Co.,C,11698,WOAHINK LAKE, ,Woahink Lake,100462,143,FLORENCE,LANE, , , ,39,20,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00304,94,NO,149,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100304,17100207,Siltcoos, , , ,2000/08/30 00:00:00+00,AECZ,2000/08/30 00:00:00+00,AECZ,2001/09/04 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,6.77262134006,33839641.609375,29017.8348607475
80,83,62625.9756427,184155530.248,4227.64616327,6.60569713097,3974,4100550,"MYRTLE CREEK, CITY OF",City of Myrtle Creek,C,11716,SOUTH UMPQUA RIVER, ,South Umpqua River,100836,182,MYRTLE CREEK,DOUGLAS, , , ,19,10,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00550,96,YES,164,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100550,17100302,South Umpqua, , , ,2000/04/28 00:00:00+00,KTS,2000/04/28 00:00:00+00,KTS,2002/03/11 00:00:00+00,AECZ,DRG_AI, ,N/A,JoinToRight,6.60569713097,32000122.9921875,26108.8003761968
81,84,58859.2035099,169638357.284,3894.37639668,6.08496312059,3908,4100792,"SCAPPOOSE, CITY OF",City of Scappoose,C,11732,SOUTH FORK SCAPPOOSE CREEK, ,South Fork Scappoose Creek,101217,29,SCAPPOOSE,COLUMBIA, , , ,9,5,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00792,97,NO,64,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100792,17090012,Lower Willamette, , , ,1999/09/15 00:00:00+00,CJB,1999/09/15 00:00:00+00,CJB,1999/12/20 00:00:00+00,KTS,DRG_AV, ,done,JoinToRight,6.08496312059,32375469.1171875,25714.3799150515
82,85,63999.6482192,168668833.86,3872.11911242,6.05018611395,3892,4100463,LAKESIDE WATER DISTRICT,Lakeside Water District,C,11773,EEL LAKE, ,Eel Lake,100693,150,LAKESIDE,COOS, , , ,11,6,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00463,98,NO,26,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100463,17100304,Coos, , , ,2000/04/03 00:00:00+00,AECZ,2000/04/03 00:00:00+00,AECZ,2000/04/03 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,6.05018611395,29928799.484375,26975.3498075468
83,86,60850.1370839,155123313.386,3561.1555069,5.56430548026,3998,4100922,"VERNONIA, CITY OF",City of Vernonia,C,11822,ROCK CREEK, ,Rock Creek,101422,24,VERNONIA,COLUMBIA, , , ,9,5,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00922,99,YES,97,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100922,17100202,Nehalem, , , ,2006/05/17 00:00:00+00,SDA,2006/05/17 00:00:00+00,SDA,2006/05/17 00:00:00+00,SDA,DRG_AI, ,done,JoinToRight,5.56430548026,29718083.5546875,26628.2975684472
84,87,57971.6514942,147862975.941,3394.48042687,5.30387566768,3947,4100254,"DEPOE BAY, CITY OF",City of Depoe Bay,C,11887,ROCKY CREEK, ,Rocky Creek,106434,95,DEPOE BAY,LINCOLN, , , ,41,21,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00254,101,NO,139,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100254,17100204,Siletz-Yaquina, , , ,2000/03/31 00:00:00+00,KTS,2000/03/31 00:00:00+00,KTS,2001/09/18 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,5.30387566768,27270408.546875,24891.8846716803
