characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue,standarderroroncount,noteoncount
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,9.0,1.2815752786591807,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,9.0,1.2947427948552357,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2000,9.0,1.2041306280950992,Data not available.,—,—,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,9.0,1.4468889582803492,Data not available.,—,—,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,9.0,2.26,Data not available.,—,—,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2379,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,9.0,3.0332928591237027,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,9.0,1.627452624019675,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",1522,9.6,2.59,Reporting standards not met.,72237,19928.2,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",1132,10.9,2.75,Reporting standards not met.,82259,21231.5,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2002,8.4,2.42,Reporting standards not met.,63545,18893.9,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2003,9.2,2.6,Reporting standards not met.,69279,19986.1,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",1151,8.5,2.4,Reporting standards not met.,62799,18132.8,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2005,6.2,2.13,Reporting standards not met.,46121,16201,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2006,14.9,1.4902605164881364,Reporting standards not met.,112386,27433.6,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2007,5.1,1.47,Reporting standards not met.,37363,11111.9,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2569,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2009,7.2,2.65,Reporting standards not met.,50734,19188.7,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",1077,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2000,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2001,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2002,9.0,1.7092207679499491,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2004,9.0,3.400577402344493,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",1535,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2009,9.0,3.025529258903892,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2822,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2523,9.0,1.736217665298911,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2000,4.225487829800176,2.847502650560292,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2001,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2002,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2114,19.9,6.59,Reporting standards not met.,42925,14796.4,Reporting standards not met.
Hispanic,Female,Hispanic,2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,1514,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2008,9.0,3.324811574022619,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2432,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,1162,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,Data not available.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,9.0,3.171358295551167,Data not available.,—,—,Data not available.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,9.0,2.26,Data not available.,—,—,Data not available.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",3011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,9.0,1.3798494357217046,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,9.0,1.5034017374764217,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",1110,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,9.0,3.3788370054839363,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,9.0,2.26,Data not available.,—,—,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,9.0,2.26,Data not available.,—,—,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1828,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,9.0,1.9189782389618808,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2306,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,9.0,1.451279643220854,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,9.0,1.3282081825343428,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,9.0,1.351300804109066,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,9.0,1.20254358058073,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2452,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,9.0,3.0154801875560104,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,9.0,2.26,Data not available.,—,—,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,9.0,2.26,Data not available.,—,—,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",1084,9.0,2.976049883728664,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2355,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,9.0,2.9615156111579592,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",1197,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
