OBJECTID,FOLIO_ID,EVENT_ADDR,FIELD_INSP_BY,CREATED_DATE,LAST_EDITED_DATE,YEAR_,MONTH_,DAY_,COMMENTS,PARCELS_IMPACTED,RECID,P_AREA,SHAPE_Length,SHAPE_Area
1924,96-97 Storm,5617 30th Ave SW,,2016/08/08 23:31:05+00,2021/02/23 23:32:12+00,1997,1,,Not slide outline. Refer to point overlapped in this shape.,5611 30th Ave SW & 5617 30th Ave SW,1924,53.14830149,33.3368762400059,53.148213745873
2241,96-97 Storm,646 32nd Ave E,,2016/08/09 15:42:26+00,2021/02/23 23:32:12+00,1997,3,19,"This polygon doesn't represent the outline of the slide, just the impacted parcels. Refer to point overlapping this shape.",642 32nd Ave E & 646 32nd Ave E,2241,127.79833974,54.0136266147857,127.798455276542
2257,"1997, SED L-10-A",1820 Lakeview Blvd E,,2016/08/10 18:20:58+00,2021/02/23 23:32:12+00,1997,3,19,Not slide outline. Refer to point overlapping this shape,1820 Lakeview Blvd E,2257,83.81878249,53.0130377694877,83.8196167974344
2258,96-97 Storm,"9201, 9209, 9215 24th Ave NW",,2016/08/10 20:18:33+00,2021/02/23 23:32:12+00,1996,12,31,,"9201, 9209, 9215 24th Ave NW",2258,8859.23688185,441.68535948033,8859.23748879416
2273,DCLU J156,9322 Mayes Court S,,2016/08/10 21:02:31+00,2021/02/23 23:32:12+00,1986,2,1,"This polygon does not represent the shape of the slide, just the parcels impacted. Refer to point overlapping this shape.",9322 Mayes Court S,2273,12136.27952035,445.981644650953,12136.2804988853
2274,DCLU J171,6532 37th Ave NW,,2016/08/10 23:10:16+00,2021/02/23 23:32:12+00,1986,1,18,"This shape represents the parcels impacted by the slide, not the outline of the slide.  Refer to point overlapping shape.",6532 37th Ave NW,2274,478.89840378,98.7217075048776,478.900118417461
2561,96-97 Storm,1509 Logan Ave W,,2016/08/16 22:53:22+00,2021/02/23 23:32:12+00,1996,12,31,Not slide outline. Refer to point overlapping this shape.,1509 Logan Ave W,2561,333.82678479,89.0673468344501,333.82661134057
2562,DCLU J57(J5),12723 23rd Ave NE,,2016/08/17 16:24:34+00,2021/02/23 23:32:12+00,1986,1,23,"This polygon represents the parcels impacted by sliding, not the outline of the slide. Refer to point on 12723 23rd Ave NE.","12717, 12723, 12725 (12729?) 23rd Ave NE, 2115 NE 130th St",2562,3104.33865214,290.564390456211,3104.34462184835
2563,DCLU J217,4027 25th Ave S,,2016/08/17 17:09:29+00,2021/02/23 23:32:12+00,1986,2,1,This is not a slide outline. Refer to point overlapping this shape.,4027 25th Ave S,2563,322.3325812,75.0553208341383,322.331627312162
2565,96-97 Storm,"1523, 1525 Grand Ave & 1456, 1462 38th Ave",,2016/08/17 23:28:30+00,2021/02/23 23:32:12+00,1997,1,1,Also refer to the slide point overlapping this shape.,"1523, 1525 Grand Ave & 1456, 1462 38th Ave",2565,2115.23584199,230.535868549649,2115.23414821283
2566,96-97 Storm,10025 46th Ave S,,2016/08/18 18:59:20+00,2021/02/23 23:32:12+00,1996,12,30,Rough estimate of slide shape based on photos and inspector reports. Refer to slide point overlapping shape.,10020 MLK Jr Way S & 10025 46th Ave S,2566,12817.26956724,595.258935695663,12817.266453904
2567,96-97 Storm,6721 34th Ave NW,,2016/08/18 22:33:57+00,2021/02/23 23:32:12+00,1997,1,1,"This shape tags the parcels impacted by the slide, and does not represent the slide's shape. Refer to slide point on 6721 34th Ave NW.",6721 34th Ave NW & 6720 35th Ave NW,2567,1033.58773496,133.865260938882,1033.58854177755
2882,"DCLU J17, J52",5039 51st Ave SW,,2016/08/19 18:44:23+00,2021/02/23 23:32:12+00,1986,1,18,This is not the landslide outline. Refer to slide point on 5039 51st Ave SW. DCLU J17 corresponds with 5064 Beach Dr SW & DCLU J52 corresponds with 5039 51st Ave SW.,5039 51st Ave SW & 5064 (5056) Beach Dr SW,2882,2874.10244133,354.597115050021,2874.10407241921
2885,"DCLU J121, J122",6518 47th Ave SW,,2016/08/19 22:41:55+00,2021/02/23 23:32:12+00,1986,1,18,Rough estimate of slide outline based on photos and geotechnical reports. Refer to the slide point on 6675 Beveridge Pl SW.,6675 Beveridge Pl SW & 6518 47th Ave SW,2885,1846.61343706,211.869211275871,1846.61298675564
3201,96-97 Storm,1526 Alki Ave SW,,2016/08/22 18:48:35+00,2021/02/23 23:32:12+00,1997,1,1,"Sliding occurred along the bluff upslope from condos at 1526, 1534, and 1564 Alki Ave.",1526 Alki Ave,3201,2964.57222935,245.378381635835,2964.57236302475
3203,96-97 Storm,1564 Alki Ave SW,,2016/08/22 21:51:36+00,2021/02/23 23:32:12+00,1997,1,1,"Rough estimate of slide outline based on photos, reports, and 1999 aerial photos. Refer to slide point on the SE side of the slide.",1564 Alki Ave SW,3203,26998.52180627,642.616049075468,26998.5167568393
3217,96-97 Storm,1408 Van Buren Ave W & 1408 Elliott Ave W,,2016/08/23 19:59:57+00,2021/02/23 23:32:12+00,1997,3,19,"Estimated landslide shape based on sketches, photos, and reports. Refer to slide initiation point overlapping the top of this shape.",1408 Van Buren Ave W & 1408 Elliott Ave W,3217,14452.63952893,698.702731812868,14452.6487316511
3267,96-97 Storm,9215 View Ave NW & 3282 NW Esplanade,,2016/08/24 18:29:47+00,2021/02/23 23:32:12+00,1997,1,1,"Estimate of slide outline based on contours, reports, and photos. Refer to slide point on 9215 View Ave NW overlapping this shape.",9215 View Ave NW & 3282 NW Esplanade,3267,5967.46781806,508.874129562529,5967.46875662877
3277,96-97 Storm,3282 NW Esplanade,,2016/08/24 18:42:28+00,2021/02/23 23:32:12+00,1997,1,1,"Estimate of slide outline based on contours, reports, and photos.",3282 NW Esplanade,3277,2446.48179347,225.08089706747,2446.48169670949
3278,96-97 Storm,"2425, 2429 Harbor Ave SW",,2016/08/29 18:05:15+00,2021/02/23 23:32:12+00,1997,1,,This polygon represents a set-down area based on sketch in attached DCLU file. ,"2425, 2429 Harbor Ave SW",3278,1371.84696901,218.571333263269,1371.84697985577
3537,1997,3233 Magnolia Blvd W,,2016/08/29 20:55:45+00,2021/02/23 23:32:12+00,1997,3,,"Estimated slide outline based on aerial photos, inspection report, and a sketch. Refer to slide points on 3233 Magnolia Blvd W and 3211 Magnolia Blvd W. Three locations of high bluff peel-off that sloughed during the 96-97 Storm.  Some runout reached the Perkins Lane roadway.  Refer to Shannon & Wilson 1997 Geotechnical Report, Landslide 1.  Slide began in January and extended in March.","3231, 3233, 3211 Magnolia Blvd W",3537,12403.09283007,699.990396038578,12403.0936298903
3558,96-97 Storm,3033 W Galer St,,2016/08/30 18:28:31+00,2021/02/23 23:32:12+00,1997,1,,"Estimate on slide outline based on photos, contours, aerial photos, and inspection reports. Note that at this time there was also a slide on the hillside directly to the north of this residence.",3033 W Galer Street,3558,558.65374788,103.071824658121,558.654047102214
3560,96-97 Storm,444 36th Ave ,,2016/09/01 17:26:07+00,2021/02/23 23:32:12+00,1997,1,1,"Estimated slide outline based on photos, inspection reports, & a sketch. Refer to slide point on 444 36th Ave","444, 436 36th Ave & 515 Randolph Ave",3560,5168.72392711,463.288017243454,5168.72676689442
3563,"SED G-7, EOC264",9252 Greenwood Ave N,,2016/09/02 19:27:24+00,2021/02/23 23:32:12+00,2010,12,14,"Estimated slide outline based on photos, contours, past slide, and printed e-mails.
Inspection: 6269784",9252 Greenwood Ave N,3563,1030.37401981,147.300177532335,1030.37562131163
3576,96-97 Storm,3232 23rd Ave W,,2016/09/06 17:19:54+00,2021/02/23 23:32:12+00,1997,1,1,This is not a slide outline. Refer to slide point on 3222 23rd Ave W,"3225, 3229, 3233, 3237 22nd Ave W & 3222, 3232, 3238 23rd Ave W",3576,7862.2866294,367.759910911993,7862.28313970302
3577,"DCLU J134, J135",7146 Woodside Pl SW & 4406 SW Othello St,,2016/09/06 19:26:02+00,2021/02/23 23:32:12+00,1997,1,18,Not a slide outline. Refer to slide point on 7146 Woodside Pl SW,7146 Woodside Pl SW & 4406 SW Othello St,3577,117.13239657,44.3434089635187,117.132308277953
3842,96-97 Storm,14204 38th Ave NE,,2016/09/06 23:32:42+00,2021/02/23 23:32:12+00,1997,1,1,Slide outline based on sketches. Refer to slide point ~17' west of the SW corner of this slide shape.,"14204, 14220 38th Ave NE",3842,6875.81875344,328.145433173445,6875.81912627205
3843,SED 38-C,14204 38th Ave NE,,2016/09/07 16:51:21+00,2021/02/23 23:32:12+00,1986,5,13,Estimated slide outline based on sketch. Refer to point ~37' SW from the SW corner of the slide.,14204 38th Ave NE & 14212 Westwood Pl NE,3843,6826.72356512,348.084338268438,6826.71779823464
3844,2007,1708 Arch Ave SW,,2016/09/13 18:05:21+00,2021/02/23 23:32:12+00,2007,12,,"The shape of the polygon does not represent the shape of the slide.  The landslide on these properties occurred following a period of heavy rainfall.  Refer to the attached documents for information on this event, and the documents attached to the nearby point (#4165) for historic activity and miscellaneous drainage information.","1700, 1708 Arch Ave SW",3844,1898.4083348,186.264157840353,1898.41039715639
3845,96-97 Storm,1929 Bonair Dr SW,,2016/09/14 19:27:53+00,2021/02/23 23:32:12+00,1996,12,31,Slide outline based on sketch. Bottom of slide outline a vague estimate based on photos.,"1929 Bonair Dr SW & 1760, 1758 Alki Ave SW",3845,13161.52253811,518.958340892213,13161.5199187238
3846,"DCLU J228, DCLU J229",,,2016/09/14 21:31:11+00,2021/02/23 23:32:12+00,1986,1,18,"The shape of this polygon does not represent the shape of the landslide, just the impacted parcels. Refer to slide point on 1720 Palm Ave SW.","1720, 1718 Palm Ave SW",3846,2987.90729386,251.801736566108,2987.90292612476
3848,"DCLU A-5, SED 38-D",9230 38th Ave SW,DC/PERMIT,2016/09/15 23:43:23+00,2021/02/23 23:32:12+00,1991,4,5,This slide outline is based on photos and sketches from SED and geotechnical engineer.,9230 38th Ave SW,3848,10666.56697421,523.814822908523,10666.5661249122
4161,DCLU A-36,7921-29+- 5TH AVE SW,JP/PERMIT,2016/09/19 17:45:35+00,2021/02/23 23:32:12+00,1988,,,This slide outline is based on the Terra Associates slide outline sketch. Refer to the attached documents.,"7921, 7927, 7933, 7939 5TH AVE SW",4161,11571.39234294,570.336762206059,11571.3925943706
4163,SED 47-D 1987,10401 47th Ave SW,,2016/09/20 18:15:36+00,2021/02/23 23:32:12+00,1987,2,1,Approximate slide outline based on sketches by Pacific Testing Laboratories and Converse Consultants NW. Refer to attached documents and slide point just above top of slide.,10401 47th Ave SW,4163,4458.86057106,336.39017500875,4458.86436455402
4166,SED 47-D 2005,10447 47th Ave SW,,2016/09/20 20:54:19+00,2021/02/23 23:32:12+00,2005,10,21,Rough estimate of landslide outline. Actual limits of slide may vary. Slide onto Maplewood Pl SW. Refer to attached files.,10447 47th Ave SW,4166,481.85353018,100.985571962684,481.852453857608
4167,SED 47-D 1960,10405 47th Ave SW,,2016/09/26 18:58:41+00,2021/02/23 23:32:12+00,1960,12,23,This is a very rough approximation of the slide outline based on sketch in the attached file.,,4167,16315.52352626,537.6861591136,16315.5290693138
4169,SED 47-D 1960,10203 47th Ave SW,,2016/09/26 19:34:34+00,2021/02/23 23:32:12+00,1960,12,23,This polygon was derived from a sketch map in the file.  Refer to SED 47-D.,,4169,28806.87355968,646.473840380692,28806.872108191
4176,DCLU J118,11304 32nd Ave SW,,2016/09/29 22:04:14+00,2021/02/23 23:32:12+00,1986,1,18,"This shape tags the parcels impacted by the slide, and does not represent the slide's shape. Refer to the slide point overlapping this polygon.",11304 32nd Ave SW,4176,516.97568496,95.1515534268599,516.975215390565
4486,SED 47-D 1996,47th Ave SW & Maplewood Pl SW,,2016/09/27 18:55:50+00,2021/02/23 23:32:12+00,1996,4,,Estimate of slide area occurring in 1996-1997 based on GeoEngineers 4-8-1997 Report. Refer to attached documents. ,,4486,23109.60757992,780.224086576196,23109.616849047
4487,DCLU J219,2183 Sunset Ave SW,,2016/10/14 00:27:00+00,2021/02/23 23:32:12+00,1986,1,1,"This shape tags the parcels impacted by the slide, and does not represent the slide's shape.  Refer to slide point overlapping this polygon.",2183 Sunset Ave SW,4487,764.00372263,114.443230662319,764.003264693141
4801,SED 17-A 1974,1700 17th Ave E,,2016/10/14 17:11:25+00,2021/02/23 23:32:12+00,1974,3,,Approximate location of March 1974 slide. Slide occurred in association with a break in a 2-inch water line. Refer to slide point just south of the this polygon,1700 17th Ave E,4801,1223.50262942,199.190479629892,1223.50259161214
4802,1999,1700 17th Ave E,,2016/10/14 17:28:14+00,2021/02/23 23:32:12+00,1999,3,,Approximate location of March/April 1999 slide. Landslide attributed to a frozen & subsequently leaking irrigation pipe. A portion of the foundation for the concrete retaining wall was undermined.,1700 17th Ave E,4802,1235.95821055,193.489208861239,1235.95723886334
4803,2001,1700 17th Ave E,,2016/10/14 17:35:41+00,2021/02/23 23:32:12+00,2001,4,,Approximate location of the April 2001 slide. Small slide due to another broken irrigation line. Saturated debris from landslide flowed onto Interlaken Boulevard below.,1700 17th Ave E,4803,1295.16461111,193.776371595142,1295.16515766004
4806,DCLU J119,4023 21st Ave SW,,2016/10/20 23:08:28+00,2021/02/23 23:32:12+00,1986,1,,This rectangle does not represent the slide outline. Slide of neighbors' property onto other neighbors. Refer to slide point overlapping this polygon.,"4023 21st Ave SW, 4022 22nd Ave SW",4806,2385.04168204,198.21609231783,2385.04531609162
4807,DCLU J131,4803 18th Ave SW,,2016/10/21 15:58:48+00,2021/02/23 23:32:12+00,1986,1,,"This does not represent the outline of the slide, just the impacted parcels. Slide across park property. No danger to house or garage.",4803 18th Ave SW,4807,655.94069324,103.65579930843,655.941348068483
5441,DCLU J57-60,"630, 644 Randolph Pl 629, 635 38th Ave",,2016/11/02 00:00:16+00,2021/02/23 23:32:12+00,1986,1,1986,This is not a landslide outline. Home at 635 38th Ave removed. Underpinning work was done at 630 and 644 Randolph Pl. Refer to slide point on 630 Randolph Pl,"630, 644 Randolph Pl 629, 635 38th Ave",5441,18614.19350509,566.089085727305,18614.1805292311
5457,"DCLU J86, J96, J97, J98","13035, 13041, 13047, 13055 12th Ave NW",,2016/11/03 20:59:29+00,2021/02/23 23:32:12+00,1986,2,13,"This shape tags the parcels impacted by the slide, and does not represent the slide's shape. Crack across the Puget Sound side of 13041. Settling near the NW portion of the fenced area of 13035. Refer to slide points on 13041 & 13055. Refer to attached docs.","13035, 13041, 13047, 13055 12th Ave NW",5457,13062.76433383,546.498213013044,13062.7592136119
5761,96-97 Storm,11246 Renton Ave S,,2016/11/12 22:07:25+00,2021/02/23 23:32:12+00,1997,1,4,Estimated slide outline based on sketch. Footings to deck undermined. Small step down 2-3' & flow down hill. 8-10' wide creek below. Refer to attached document.,11246 Renton Ave S,5761,1639.90184736,192.573780095487,1639.89991980985
6081,DCLU J252,3929-3935 S Angeline St,,2016/12/08 23:43:42+00,2021/02/23 23:32:12+00,1986,,,This is not a slide outline. Only to tag parcel that earth movement occurred. Crack at edge of fill.,3929-3935 S Angeline St,6081,462.10033227,174.39531325263,462.101632670139
6082,DCLU J193,1523 19th Ave S,,2016/12/09 23:00:54+00,2021/02/23 23:32:12+00,1986,2,24,This is not a slide outline. Drainage issues with 19th St and catch basins. Washout near retaining wall. No structural damage or danger,1523 19th Ave S,6082,1529.95133618,156.535303023535,1529.94965696717
6083,SED B-6 1990,1660 E Boston Ter,,2016/12/15 23:12:32+00,2021/02/23 23:32:12+00,1990,9,,Refer to attached Shannon & Wilson report.,1660 E Boston Ter,6083,641.77363261,107.861594970553,641.774852373558
6084,SED B-6 1942,"1646, 1660, 1630 E Boston Ter",,2016/12/15 23:32:24+00,2021/02/23 23:32:12+00,1942,12,1,"Estimated slide outline based on sketches. Destroyed homes at 1646, 1660 E Boston Terrace and resulted in a fatality.","1646, 1660, 1630 E Boston Ter",6084,14545.26427526,647.995968432214,14545.2647440337
6401,"SED B-3-A; DCLU J43, J73","10329, 10337 Bedford Ct NW",,2016/12/19 21:20:35+00,2021/02/23 23:32:12+00,1986,1,19,Polygon based on S&W sketch. 4-6' scarp at 10337 and 3-5' scarp at 10329. See point 453.,"10329, 10337 Bedford Ct NW",6401,7900.44354148,350.15609907394,7900.44366249727
6402,"DCLU J16, SED H-13",5317 S Hudson St,,2016/12/20 00:20:43+00,2021/02/23 23:32:12+00,1986,1,18,This is not a slide outline. This is to tag parcel 5317 S Hudson St in earth movement. Refer to slide point in R.O.W,5317 S Hudson St,6402,1943.95949576,198.498664504782,1943.96066584643
6403,"96-97 Storm, SED L-10-A",806 E Blaine St,,2016/12/20 19:38:18+00,2021/02/23 23:32:12+00,1997,1,4,Estimated slide outline based on sketch and photos. Heavy timber retaining wall at top of very step slope & adjacent deck. May be jeopardized by slide or additional sliding. Refer to slide point on 806,806 E Blaine St,6403,2460.07571693,187.274241208672,2460.07690481989
6404,96-97 Storm,"2901, 2919, 2923 Franklin Ave E",,2016/12/21 23:20:32+00,2021/02/23 23:32:12+00,1997,1,0,"This polygon represents the parcels impacted, not the slide outline. Cracking began in January and continued in March. In march there was a slide where 2 large trees fell down.  Retaining wall and foundations show distress. Potentially deep seated.","2901, 2919, 2923 Franklin Ave E 2920 Eastlake Ave E",6404,5952.36585949,353.360079721357,5952.35627088141
6405,96-97 Storm,2048 NW Blue Ridge Dr,,2016/12/29 20:26:21+00,2021/02/23 23:32:12+00,1997,,,"This shape tags the parcels impacted by the slide, and does not represent the slide's shape. Refer to slide point on 10320 Bedford Ct NW.","2048, 2054 Blue Ridge Dr and 10320 Bedford Ct NW",6405,2796.47427055,213.415195417325,2796.46919413414
6406,DCLU J76,1922 Victoria Ave SW,,2016/12/30 19:55:53+00,2021/02/23 23:32:12+00,1986,1,1,This is not a landslide outline. Refer to the slide point in the SE corner of this polygon.,1922 Victoria Ave SW,6406,1530.41602118,161.878270418287,1530.41448665495
6412,1997,"7717 44th Ave SW, 7721 44th Ave SW, 7726 45th Ave SW, 7728 45th Ave SW, 7804 45th Ave SW",,2017/01/13 22:06:40+00,2021/02/23 23:32:12+00,1997,3,19,"This shape tags the parcels impacted by the slide, and does not represent the slide's shape.  Refer to attached documents.","7717, 7721, 7726, 7728, 7804",6412,4241.78942957,280.141213865902,4241.78669069538
6721,1997,"1100, 1200 Block California Way SW",,2017/01/20 17:49:09+00,2021/02/23 23:32:12+00,1997,3,19,"Settling and cracking observed on a 200ft section of roadway in a Seatran file, following heavy rainfall.  Geotechnical report and recommendations by Shannon and Wilson.","1100 and 1200 Block of California Way SW, road surface",6721,14478.12667814,982.543723281385,14478.137023634
6722,1997,9351-9369 Beacon Ave S,,2017/01/20 21:30:21+00,2021/02/23 23:32:12+00,1997,5,1,Air photos and distances recorded in the field sketch suggest the scarp lies outside of the properties listed in the address.  Polygon does not represent slide shape.,"9188200415, 918200410, 9188200405, 9188200400, 9188200395, 9188200390.",6722,1027.34781965,341.413564789623,1027.34423889073
6724,1999,2472 55th Ave SW,,2017/01/25 17:37:34+00,2021/02/23 23:32:12+00,1999,3,1,"This polygon tags the parcels impacted by the slide, but does not represent the slide outline. Refer to attached documents.","2472 55th Ave SW; 5352 and 5344 SW Lander.",6724,213.24918104,64.3176724875892,213.251754455318
7041,96-97 Storm,2326 54th Pl SW,,2017/01/27 16:19:14+00,2021/02/23 23:32:12+00,1997,1,2,Active slide from hillside behind house.  Also see point at 2385 Hughes Ave SW.,2326 54th PL SE,7041,3460.76099789,378.124235018155,3460.75037962091
7042,96-97 Storm,2606 NW 91st St,,2017/01/27 22:35:02+00,2021/02/23 23:32:12+00,1997,1,2,This shape does not represent the shape of the landslide.  There was a 75' set-down along these two properties.  See attached files.,"2606 NW 91st St, 9025 26th Ave NW, Park ravine to W",7042,304.53710833,85.2352310025688,304.53474053494
7043,1997,1248-50 NW 126th St,,2017/02/02 18:54:07+00,2021/02/23 23:32:12+00,1997,3,20,"This shape tags the parcels impacted by the slide, and does not represent the slide's shape or size.  See point overlapping this polygon.","1248, 1250 NW 126th St",7043,232.82948857,81.3182664400153,232.830985448136
7044,"96-97 Storm, SED 50-A, SED 49-A",,,2017/02/02 19:35:10+00,2021/02/23 23:32:12+00,1997,,31,"SED 49-A, SED 50-A.  The polygon does not represent slide outline, though covers the general area affected by the slide activities. 49-A Occurred only on city ROW in 1990,  Refer to S+W point 176.  50-A occurred on City right-of-way, undermining one lane of 50th Ave SW.  The toe of the slide extended onto the property at 9829 50th Ave SW.  Affiliated with SW point 177.","City ROW, 9829 50th Ave SW",7044,17266.0841831,569.018684759634,17266.0788625344
7045,96-97 Storm,3021 SW Bradford St,,2017/02/03 17:35:08+00,2021/02/23 23:32:12+00,1997,1,2,"This polygon does not represent slide geometry.  Refer to overlapping point, recid 605.","3021 SW Bradford St, 3905 Avalon",7045,473.44340544,144.901228921592,473.446056263975
7046,1997,13020 39th Ave NE,,2017/02/03 22:24:38+00,2021/02/23 23:32:12+00,1997,3,1,"This polygon is not a slide outline.  Slide extended from backyard of 13020 39th Ave NE into backyard of 13023 42nd Ave NE, and stopped at a playhouse.  Refer to point overlapping this polygon.","13020 39th Ave NE, 13023 42nd Ave NE",7046,3251.29390887,441.734557386604,3251.29813740577
7047,96-97 Storm,4408 2nd Ave NW,,2017/02/04 00:05:50+00,2021/02/23 23:32:12+00,1997,1,2,Inspection reports state the slide initiated at 4408 and crossed the street to 4411.  The polygon does not represent slide shape.  Refer to overlapping point.,"4408 2nd Ave NW, 4411 2nd Ave NW",7047,570.63402021,202.67035476614,570.627852486463
7048,96-97 Storm,7715 20th Ave SW,,2017/02/07 22:08:22+00,2021/02/23 23:32:12+00,1996,12,31,"The polygon does not represent a slide outline.  Settling occurred in the planting strip, sidewalk, and driveway of 7705, 7711, and 7715 20th Ave SW.  Some residences were affected by ground movement.  Refer to overlapping point and attached documents.","7705, 7715, 7719 20th Ave SW.",7048,910.36245885,194.195323454837,910.362527750145
7049,96-97 Storm,9408-9428 20th Ave NE,,2017/02/07 23:08:27+00,2021/02/23 23:32:12+00,1996,12,,"Hill began to move winter of 95-96.  Movement increased after 12/96, even though drainage and visquine had been installed.  Resulting landslides affected Lake City Way.  See overlapping points and overlapping Geotech reports.  This shape tags the parcels impacted by the slide, and does not represent the slide's shape.","9408, 9416, 9422, 9428 20th Ave NE, and 9401 Lake City Way.",7049,6283.11398358,428.901263138961,6283.1017359938
7050,1997,1923 17th Ave S,,2017/02/08 00:28:12+00,2021/02/23 23:32:12+00,1997,3,19,"This shape tags the parcels impacted by the slide, and does not represent the slide's shape.  Slide began upslope of property, pushing house into street and threatening house at 1917.  Refer to point on 1922 16th Ave S.","1922 16th Ave S, 1923, 1917 17th Ave S.",7050,417.52831702,82.5023433126854,417.528083123086
7051,1996,4249 45th Ave NE,,2017/02/10 20:35:19+00,2021/02/23 23:32:12+00,1996,2,9,This polygon does not represent a slide outline.  Slide occurred in early 1996.  City was accused of causing slide during construction of Paisley Dr NE.  Slide experienced additional activity during 96-97 Storm event.  Refer to overlapping point.,"4249, 4245 45th Ave NE",7051,431.72957338,141.156406384562,431.726192121534
7052,96-97 Storm,11733 4th Ave NW,,2017/02/10 21:02:22+00,2021/02/23 23:32:12+00,1997,1,23,"This polygon does not represent the outline of the slide.  A 25'x35' piece of the yard slid into the greenbelt, about 100' away from the house.",Western portion of short plat at 11733 4th Ave NW.,7052,1898.30137002,183.132841625309,1898.30005970919
7053,96-97 Storm,2562 5th Ave N,,2017/02/10 21:30:11+00,2021/02/23 23:32:12+00,1997,1,2,This polygon is not a slide outline.  Slope east of 2562 residence slid into Aurora.  Some slope activity continued in February.,2562 5th Ave N,7053,3656.61481254,256.091344493183,3656.62042436796
7054,DCLU J32,1550 Alki Ave SW,,2017/02/17 17:57:19+00,2021/02/23 23:32:12+00,1986,1,18,"This polygon does not represent a slide outline, but tags parcels impacted by the slide.  Refer to slide point overlapping this shape. ",1550 Alki Ave SW,7054,1801.48382463,277.032044666812,1801.48495477117
7055,96-97 Storm,1738 Alki Ave SW,,2017/02/17 18:19:36+00,2021/02/23 23:32:12+00,1997,1,17,This polygon does not represent a slide outline.  Minor debris from hillside in the rear of the property.  Large slide in property to the south.,1738 Alki Ave SW,7055,585.34706226,166.812072503516,585.344160218892
7056,1997,3142 Alki Ave SW,,2017/02/17 20:57:28+00,2021/02/23 23:32:12+00,1997,3,19,"This shape tags the parcels impacted by the slide, and does not represent the slide's shape. See attached file and slide point on 6640 SW Admiral Way.","6640 SW Admiral Way, 3142 Alki Ave SW",7056,1223.03491377,143.031196972246,1223.03697713725
7361,96-97 Storm,1750-1756 Alki Ave SW,,2017/02/17 18:39:38+00,2021/02/23 23:32:12+00,1997,1,1,"Slide outline was obtained by field sketch, photos, and notes in the file.  At 1750, slide debris filled basement and back yard.  at 1752, debris damaged porch, stairs, and basement.  Trees struck house.  At 1756, rear yard was flooded with silt and water.","1750, 1752, 1756 Alki Ave SW",7361,8730.78151904,508.030037266675,8730.77462688264
7362,96-97 Storm,1764-1766 Alki Ave SW,,2017/02/17 19:35:36+00,2021/02/23 23:32:12+00,1997,1,8,"This polygon does not represent the slide outlines.  At 1766, debris slid into the rear yard, and water was running through the house.  Refer to slide point #713 on 1929 Bonair Dr SW","1764, 1766 Alki Ave SW",7362,208.81643045,62.5025908847616,208.817050699054
7363,96-97 Storm,1768-1744 Alki Ave SW,,2017/02/17 19:58:37+00,2021/02/23 23:32:12+00,1997,1,1,Slide outline derived from sketch in file.  Refer to overlapping slide point #716 and attached files.,"1768, 1772, 1774 Alki Ave SW, 1929, 1935 Bonair Dr SW",7363,11182.05124156,441.438954085958,11182.0471471721
7364,96-97 Storm,"5401 Baker Ave NW, 5300 Block 3rd Ave NW",,2017/02/17 21:43:08+00,2021/02/23 23:32:12+00,1997,1,2,"This shape covers the general area impacted by the slide, and does not represent the slide's shape.  This was a shallow landslide on private and city property that threatened the garage at 5401 and blocked 3rd Ave NW.  SED closed 3rd Ave NW. ","5300 block 3rd Ave NW, 5401 Baker Ave NW",7364,5600.04230297,314.935798721517,5600.05252175252
7365,96-97 Storm,1854 NW Roundhill Circle,,2017/02/17 22:47:26+00,2021/02/23 23:32:12+00,1997,1,19,"Surface slide in rear yard resulted in the loss of one deck support.  This shape tags the parcels impacted by the slide, and does not represent the slide's shape.",1857 NW Roundhill Circle,7365,206.62500963,58.9223240543408,206.625449281992
7366,96-97 Storm,2917 12th Ave S,,2017/02/22 21:06:31+00,2021/02/23 23:32:12+00,1997,1,6,"This shape tags the parcels impacted by the slide, and does not represent the slide's shape.  Refer to overlapping slide point for more details.","2917 12th Ave S, 2921 12th Ave S.",7366,475.46798544,171.873624287576,475.470484239341
7368,1997,902-912 Elliot Ave W,,2017/02/24 21:34:53+00,2021/02/23 23:32:12+00,1997,3,20,This polygon does not represent a slide outline.  Slide from Kinnear park pushed debris up against building.  Refer to overlapping point.,902-912 Elliot Ave W,7368,13662.08017341,658.890189922457,13662.0943880509
7369,96-97 Storm,1515 Lakeview Blvd E,,2017/02/27 17:05:01+00,2021/02/23 23:32:12+00,1997,1,3,Slide outline estimated from sketch in file.  Refer to slide point on this parcel.,1515 Lakeview Blvd E (addresses 1515-1519),7369,4596.15503199,282.186776488007,4596.15414041227
7370,SED 19-A 2001,"3720, 3802, 3808, 3810 19th Avenue SW",,2017/03/15 21:23:56+00,2021/02/23 23:32:12+00,2001,2,28,This polygon does not represent the slide's outline.  Refer to overlapping slide point and attached documents.,"3720, 3802, 3808, 3810 19th Ave SW",7370,8430.92620321,454.808459068035,8430.91649802777
7371,DCLU J187,311 Randolph Ave,,2017/03/15 22:21:43+00,2021/02/23 23:32:12+00,1986,3,1,This is not a landslide outline. Refer to slide point and attached document.,"311, 319 Randolph Ave",7371,343.58711272,85.1949721196773,343.586046704462
