"rpt_rec_num","Provider CCN","Facility Name","Street Address","City","State Code","Zip Code","County","Medicare CBSA Number","Rural versus Urban","Fiscal Year Begin Date","Fiscal Year End Date","Type of Control","Total Days Title V","Total Days Title XVIII","Total Days Title XIX","Total Days Other","Total Days Total","Number of Beds","Total Bed Days Available","Total Discharges Title V","Total Discharges Title XVIII","Total Discharges Title XIX","Total Discharges Title Other","Total Discharges Total","SNF Average Length of Stay Title V","SNF Average Length of Stay Title XVIII","SNF Average Length of Stay Title XIX","SNF Average Length of Stay Total","SNF Admissions Title V","SNF Admissions Title XVIII","SNF Admissions Title XIX","SNF Admissions Other","SNF Admissions Total","SNF Days Title V","SNF Days Title XVIII","SNF Days Title XIX","SNF Days Other","SNF Days Total","SNF Number of Beds","SNF Bed Days Available","SNF Discharges Title V","SNF Discharges Title XVIII","SNF Discharges Title XIX","SNF Discharges Title Other","SNF Discharges Total","NF Number of Beds","NF Bed Days Available","NF Days Title V","NF Days Title XIX","NF Days Other","NF Days Total","NF Discharges Title V","NF Discharges Title XIX","NF Discharges Title Other","NF Discharges Total","NF Average Length of Stay Title V","NF Average Length of Stay Title XIX","NF Average Length of Stay Total","NF Admissions Title V","NF Admissions Title XIX","NF Admissions Other","NF Admissions Total","Total RUG Days","Total Salaries From Worksheet A","Overhead Non-Salary Costs","Total Charges","Total Costs","Wage-related Costs (core)","Total Salaries (adjusted)","Contract Labor","Cash on hand and in banks","Temporary Investments","Notes Receivable","Accounts Receivable","Less: Allowances for uncollectible notes and accounts receivable","Inventory","Prepaid expenses","Other current assets","Total Current Assets","Land","Land improvements","Buildings","Leasehold improvements","Fixed equipment","Major movable equipment","Minor equipment depreciable","Total fixed Assets","Investments","Other Assets","Total other Assets","Total Assets","Accounts payable","Salaries, wages, and fees payable","Payroll taxes payable","Notes and Loans Payable (short term)","Deferred income","Other current liabilities","Total current liabilities","Mortgage payable","Notes Payable","Unsecured Loans","Other long term liabilities","Total long term liabilities","Total liabilities","General fund balance","Total fund balances","Total Liabilities and fund balances","Total General Inpatient Care Services Revenue","Inpatient Revenue","Outpatient Revenue","Gross Revenue","Less Contractual Allowance and discounts on patients' accounts","Net Patient Revenue","Less Total Operating Expense","Net Income from service to patients","Total Other Income","Total Income","Net Income","Inpatient PPS Amount","Nursing and Allied Health Education Activities","Allowable Bad Debts"
1238252,366288,SUNRISE NURSING HEALTHCARE,3434 STATE ROUTE 132,AMELIA,OH,45102,CLERMONT,17140,U,12/01/2018,12/31/2018,5,,32,607,267,906,78,2418,,1,,2,3,,32,,302,,,,2,2,,32,607,267,906,78,2418,,1,,2,3,,,,,,,,,,,,,,,,,,32,94498,116177,17704,14465,6195,94498,8802,36660,,,155011,,,4470,,196141,,,,,37154,,,36629,,,,232770,118185,48767,,,,38430,205382,,,,,38000,243382,-10612,-10612,232770,191175,208879,,208879,8816,200063,210675,-10612,,-10612,-10612,11965,,
1238263,395345,RIVER RUN HEALTHCARE & REHAB,615 WYOMING AVENUE,KINGSTON,PA,18704,LUZERNE,42540,U,12/01/2018,12/31/2018,4,,265,1804,184,2253,134,4154,,11,,,11,,24.09,,204.82,,,,,,,265,1804,184,2253,134,4154,,11,,,11,,,,,,,,,,,,,,,,,,265,264686,468932,218011,111392,40526,264686,91419,93799,,,553392,,,187680,,834871,,,,1910,,57411,,58214,,-109022,-109022,784063,95712,430486,,,,,526198,,298695,,,298695,824893,-40830,-40830,784063,738320,956640,,956640,343986,612654,733618,-120964,80135,-40829,-40828,126227,,
1238281,525646,CCC OF PEWAUKEE LLC,N26 W23977 WATERTOWN RD,WAUKESHA,WI,53188,PEWAUKEE,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238351,155522,PCH  DBA  ELWOOD HEALTH & LIVING,2300 PARKVIEW,ELWOOD,IN,46036,MADISON,26900,U,10/01/2018,12/31/2018,9,,236,,4306,4542,92,8464,,6,,10,16,,39.33,,283.88,,9,,8,17,,236,,4306,4542,92,8464,,6,,10,16,,,,,,,,,,,,,,,,,,236,638557,725506,120852,108320,134935,638557,195605,439434,,,488479,,,,,1171365,,,,,,,,,,,,1171365,634452,102302,7976,500525,,8678,1253933,,,,,,1253933,-82568,-82568,1171365,1099016,1219869,,1219869,-58396,1278265,1364063,-85798,3230,-82568,-82568,117366,,6419
1238363,155718,PCH  DBA NORTHVIEW HEALTH & LIVING,1235 WEST CROSS STREET,ANDERSON,IN,46011,MADISON,26900,U,10/01/2018,12/31/2018,9,,932,,5012,5944,101,9292,,32,,26,58,,29.13,,102.48,,30,,27,57,,932,,5012,5944,101,9292,,32,,26,58,,,,,,,,,,,,,,,,,,932,911301,1057186,383839,288652,210173,911301,382351,346292,,,935998,,,,,1468673,,,,,,,,,,,,1468673,824064,133282,9895,608683,,9718,1585642,,,,,,1585642,-116969,-116969,1468673,1508009,1891848,,1891848,43662,1848186,1968487,-120301,3332,-116969,-116969,441113,,10553
1238376,155839,PCH  DBA SUMMIT HEALTH & LIVING,701 S. MAIN STREET,SUMMITVILLE,IN,46070,MADISON,26900,U,10/01/2018,12/31/2018,9,,227,,2673,2900,34,3128,,4,,5,9,,56.75,,322.22,,4,,1,5,,227,,2673,2900,34,3128,,4,,5,9,,,,,,,,,,,,,,,,,,227,434813,290879,67340,62723,76130,434813,32340,385455,,,254290,,,,,673493,,,,,,,,,,,,673493,327868,73914,5518,288824,,5241,701365,,,,,,701365,-27872,-27872,673493,586922,654262,,654262,-41692,695954,725692,-29738,1866,-27872,-27872,105582,,
1238493,325038,CASA REAL,1650 GALISTEO STREET,SANTA FE,NM,87505,SANTA FE,42140,U,11/01/2018,12/31/2018,4,,384,4165,2053,6602,118,7198,,11,19,27,57,,34.91,219.21,115.82,,23,52,20,95,,384,4165,2053,6602,118,7198,,11,19,27,57,,,,,,,,,,,,,,,,,,384,617683,935400,499355,159398,97345,617683,,2100,,,1425525,,28548,,,1432778,,,,25657,,352,,26009,,-882860,-857608,601179,223344,120394,,,6777,74517,425032,,,,147278,147278,572310,28869,28869,601179,1496766,1994560,,1994560,411540,1583020,1553083,29937,,29937,29937,226869,,3015
1238498,345537,SILVER STREAM HEALTH & REHAB CENTER,2305 SILVER STREAM LANE,WILMINGTON,NC,28401,NEW HANOVER,48900,U,01/01/2019,01/31/2019,4,,313,2143,347,2803,140,4340,,14,6,22,42,,22.36,357.17,66.74,,22,7,8,37,,313,2143,347,2803,140,4340,,14,6,22,42,,,,,,,,,,,,,,,,,,313,324069,474671,183776,230065,42309,324069,,4961,,,,,,2309,,650903,,,58539,478125,694113,,,26378,,,102951,780232,545323,180960,238570,,,100597,1065450,301247,,,-6670309,-6369062,-5303612,6083844,6083844,780232,2141077,2324854,,2324854,1668352,656502,798740,-142238,136,-142102,-142102,144304,,17974
1238586,106120,SCOTT LAKE HEALTH & REHAB,8000 E COUNTY ROAD 540A,LAKELAND,FL,33813,POLK,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238649,265872,IGNITE MEDICAL RESORTS KANSAS CITY,2100 NW BARRY ROAD,KANSAS CITY,MO,64154,JACKSON,28140,U,11/09/2018,12/31/2018,6,,585,,435,1020,90,4770,,18,,8,26,,32.5,,39.23,,37,,20,57,,585,,435,1020,90,4770,,18,,8,26,,,,,,,,,,,,,,,,,,585,615522,648296,445076,248167,75446,615522,,181324,,,1316195,,,28291,,1527810,,,23150,,108735,,,123781,,322989,322989,1974580,219216,260088,,,,147821,627125,,,,,,627125,1347455,1347455,1974580,320600,784973,,784973,278572,506401,1263818,-757417,-753,-758170,-758170,329100,,
1238897,676216,REMINGTON TRANSITIONAL CARE OF S.A.,5423 HAMILTON WOLFE RD.,SAN ANTONIO,TX,78229,BEXAR,41700,U,10/01/2018,12/31/2018,6,,1984,,2687,4671,60,5520,,120,,387,507,,16.53,,9.21,,327,,380,707,,1984,,2687,4671,60,5520,,120,,387,507,,,,,,,,,,,,,,,,,,1984,765473,1576375,1445242,865063,130430,765473,438746,9656,,,1712937,,,5578,13181,1741352,,,,31786,,142856,,212561,,-1412638,-1412638,541275,248132,,,46250,,211639,506021,,,,,,506021,35254,35254,541275,929834,2375076,,2375076,,2375076,2341848,33228,2026,35254,35254,1062677,,
1238960,375553,MEMORY CARE CENTER AT EMERALD  LLC,2700 NORTH HICKORY ST,CLAREMORE,OK,74017,ROGERS,46140,U,11/01/2018,12/31/2018,6,,320,1243,1562,3125,60,3660,,7,1,11,19,,45.71,1243,164.47,,10,1,12,23,,320,1243,1562,3125,60,3660,,7,1,11,19,,,,,,,,,,,,,,,,,,320,319916,310617,69539,57041,48788,319916,,275238,,,268754,10208,,,,533784,,,,,,,,,,14649,14649,548433,98026,61933,4048,155323,,177969,497299,,,1157,,1157,498456,49977,49977,548433,672687,734730,,734730,54221,680509,630533,49976,,49976,49976,156940,,
1239050,106119,FOUNTAIN INN NURSING AND REHAB CTR,4501 WATERMAN WAY,TAVARES,FL,32778,LAKE,36740,U,10/15/2018,12/31/2018,1,,520,153,263,936,120,936,,19,,2,21,,27.37,,44.57,,31,3,5,39,,520,153,263,936,120,936,,19,,2,21,,,,,,,,,,,,,,,,,,520,830203,1389681,243085,238225,117957,830203,,-303934,,,328084,,,3960,6745,24972,,631724,20977400,46022,5779553,2554419,,29167331,,,,29192303,246759,78717,3091,,,8903057,9231624,,,,,,9231624,19960679,19960679,29192303,285000,526623,,526623,152916,373707,2219884,-1846177,-59296,-1905473,-1905473,288274,,
1239143,365278,TROY CENTER,512 CRESCENT DRIVE,TROY,OH,45373,MIAMI,19380,U,01/01/2019,01/31/2019,6,,201,2584,489,3274,155,4805,,6,8,10,24,,33.5,323,136.42,,6,2,10,18,,201,2584,489,3274,155,4805,,6,8,10,24,,,,,,,,,,,,,,,,,,201,355466,2170639,233966,151084,59688,355466,124147,5098,,,1314726,269014,,-94264,,866187,,55885,,935795,416573,713722,,7557,,641848,641848,1515592,594518,200882,,11356,74033,220406,1101195,5954201,,,165,5954366,7055561,-5539969,-5539969,1515592,1116151,1358130,,1358130,578501,779629,2526105,-1746476,692,-1745784,-1745784,88328,,3685
1239150,365451,WEST BAY CENTER,27601 WESTCHESTER PARKWAY,WESTLAKE,OH,44145,CUYAHOGA,17460,U,01/01/2019,01/31/2019,6,,34,2801,400,3235,190,5890,,,7,11,18,,,400.14,179.72,,1,1,9,11,,34,2801,400,3235,190,5890,,,7,11,18,,,,,,,,,,,,,,,,,,34,305319,1048592,104799,68025,49497,305319,104211,6998,,,1216828,383428,,-129992,,766549,,,,,,605876,,-66935,,-22200123,-22200123,-21500509,542326,186125,,,13600,486399,1228450,,,,,,1228450,-22728959,-22728959,-21500509,922765,1027770,,1027770,353819,673951,1353911,-679960,1222,-678738,-678738,17653,,28131
1239151,365661,THE HEIGHTS,2801 EAST ROYALTON ROAD,BROADVIEW HEIGHTS,OH,44147,CUYAHOGA,17460,U,01/01/2019,01/31/2019,6,,158,2731,466,3355,159,4929,,2,11,10,23,,79,248.27,145.87,,4,4,13,21,,158,2731,466,3355,159,4929,,2,11,10,23,,,,,,,,,,,,,,,,,,158,319132,1342546,185133,98042,54940,319132,107816,5191,,,1254656,324027,,-113000,,657179,,85105,,160693,489186,302107,,,,1143821,1143821,1801000,441961,175229,,,15318,299171,931679,5588235,,,,5588235,6519914,-4718914,-4718914,1801000,1036333,1222559,,1222559,454242,768317,1661678,-893361,494,-892867,-892867,76005,,5980
1239152,365745,SWANTON VALLEY CENTER,401 W AIRPORT HIGHWAY,SWANTON,OH,43558,FULTON,45780,U,01/01/2019,01/31/2019,6,,107,1899,309,2315,92,2852,,1,4,4,9,,107,474.75,257.22,,3,,2,5,,107,1899,309,2315,92,2852,,1,4,4,9,,,,,,,,,,,,,,,,,,107,210228,779889,91305,56784,37376,210228,55752,3236,,,488603,71803,,-27571,,321554,,30651,8674548,116838,171960,158490,,7809919,,2098080,2098080,10229553,245978,107966,,,16264,97009,467217,10927932,,,,10927932,11395149,-1165596,-1165596,10229553,566399,657915,,657915,132987,524928,990117,-465189,187,-465002,-465002,46842,,16031
1239340,395651,BIRCHWOOD HEALTHCARE & REHAB,395 EAST MIDDLE ROAD,NANTICOKE,PA,18634,LUZERNE,42540,U,12/01/2018,12/31/2018,4,,363,2500,569,3432,121,3751,,14,,,14,,25.93,,245.14,,,,,,,363,2500,569,3432,121,3751,,14,,,14,,,,,,,,,,,,,,,,,,363,314745,546550,315261,135951,55459,314745,135810,140807,,,541509,,,138940,,821256,,,,4111,,55027,,56755,,-178326,-178326,699685,147771,399479,,,,,547250,,,,,,547250,152435,152435,699685,1128913,1445635,,1445635,488260,957375,861295,96080,56356,152436,152434,187103,,
1239531,185015,MADISONVILLE HEALTH & REHABILITATION,419 NORTH SEMINARY STREET,MADISONVILLE,KY,42431,HOPKINS,99918,R,10/12/2018,12/31/2018,4,,841,4698,1297,6836,94,7614,,,,,,,,,,,,,,,,841,4698,1297,6836,94,7614,,,,,,,,,,,,,,,,,,,,,,,841,630788,850987,203917,229118,85794,630788,,-25733,,,792478,,,90486,,933523,,,,,72667,,,121005,,,,1054528,550638,133089,5165,-303442,,456054,837075,,,,,,837075,217453,217453,1054528,1600839,1764043,,1764043,115552,1648491,1481775,166716,485,167201,167201,418361,,
1239564,315434,FAMILY OF CARING AT VAN DYK RIDGEWOO,304 S VAN DIEN AVENUE,RIDGEWOOD,NJ,07450,BERGEN,35614,U,10/03/2018,12/31/2018,5,,2541,1242,2773,6556,96,8640,,136,17,18,171,,18.68,73.06,38.34,,148,25,80,253,,2541,1242,2773,6556,96,8640,,136,17,18,171,,,,,,,,,,,,,,,,,,2541,1292732,1793445,924467,573782,261016,1292732,401814,278966,,,1786450,,,45016,-25,2110407,,,98486,,,80711,,177877,,,,2288284,1046116,336670,10665,800000,39708,,2233159,,,,,,2233159,55125,55125,2288284,3041867,3966334,,3966334,839225,3127109,3086177,40932,14195,55127,55127,1748740,,8966
1239568,325100,CLAYTON,419 HARDING STREET,CLAYTON,NM,88415,UNION,99932,R,11/01/2018,12/31/2018,4,,139,1422,372,1933,45,2745,,3,3,3,9,,46.33,474,214.78,,6,3,1,10,,139,1422,372,1933,45,2745,,3,3,3,9,,,,,,,,,,,,,,,,,,139,145339,245554,120416,78173,22920,145339,,1800,,,356597,,10887,,,365179,,,,14822,,7646,,22468,,-209482,-205047,182600,106547,37893,,,4187,18029,166656,,,,,,166656,15944,15944,182600,387504,507920,,507920,100374,407546,390893,16653,,16653,16653,48770,,
1239613,445495,COLLIERVILLE NURSING AND REHABILITAT,490 W POPLAR AVENUE,COLLIERVILLE,TN,38017,SHELBY,32820,U,10/13/2018,12/31/2018,4,,976,5371,505,6852,114,9120,,,,,,,,,,,,,,,,976,5371,505,6852,114,9120,,,,,,,,,,,,,,,,,,,,,,,976,996180,1192932,200282,391866,117629,996180,,-62583,,,1963315,,,255919,,2617430,,,,,20197,,,365406,,,14437,2997273,844220,99826,10931,1779684,,71166,2784798,,,,,,2784798,212475,212475,2997273,2212908,2367875,,2367875,132529,2235346,2189112,46234,,46234,46234,544573,,
1239646,045297,MANILA NURSING CENTER,814 NORTH DAVIS,MANILA,AR,72442,MISSISSIPPI,99904,R,11/01/2018,12/31/2018,4,,202,2049,399,2650,70,4270,,4,4,2,10,,50.5,512.25,265,,5,5,4,14,,202,2049,399,2650,70,4270,,4,4,2,10,,,,,,,,,,,,,,,,,,202,244976,346619,117904,61566,37981,244976,36550,-14607,,,469188,,,16285,,427817,,,,,3813,,,3772,,,,431589,260845,57240,,150000,,1859,469944,,,,,,469944,-38355,-38355,431589,570515,688419,,688419,135179,553240,591595,-38355,,-38355,-38355,91267,,
1239898,325091,SILVER CITY,3514 FOWLER AVENUE,SILVER CITY,NM,88061,GRANT,99932,R,11/01/2018,12/31/2018,4,,252,3880,626,4758,100,6100,,10,9,28,47,,25.2,431.11,101.23,,17,25,22,64,,252,3880,626,4758,100,6100,,10,9,28,47,,,,,,,,,,,,,,,,,,252,435776,497343,442223,128708,74320,435776,,2000,,,758426,,24194,,,778994,,,,71851,,13935,,85786,,-526732,-517232,347548,238567,93648,,,9643,43777,385635,,,,13392,13392,399027,-51479,-51479,347548,1131840,1574063,,1574063,692423,881640,933119,-51479,,-51479,-51479,128875,,17431
1239932,525386,ASHLAND HEALTH AND REHAB CENTER,1319 BEASER AVE,ASHLAND,WI,54806,ASHLAND,99952,R,01/01/2019,01/31/2019,4,,246,1255,420,1921,117,3627,,7,3,11,21,,35.14,418.33,91.48,,9,4,4,17,,246,1255,420,1921,117,3627,,7,3,11,21,,,,,,,,,,,,,,,,,,246,216650,328660,111173,98787,34119,216650,,54979,,,,,,7635,,699044,,,5262856,700762,367491,,,4690328,,922,323162,5712534,435789,73868,92749,,,86082,688488,5371504,,,-1384290,3987214,4675702,1036832,1036832,5712534,1342782,1453955,,1453955,982359,471596,545310,-73714,-39,-73753,-73753,129623,,
1239977,045315,LAKESIDE NURSING CENTER,1207 WILLOW RUN ROAD,LAKE CITY,AR,72437-0578,CRAIGHEAD,27860,U,11/01/2018,12/31/2018,4,,142,2133,1066,3341,75,4575,,8,9,4,21,,17.75,237,159.1,,12,3,5,20,,142,2133,1066,3341,75,4575,,8,9,4,21,,,,,,,,,,,,,,,,,,142,321249,373552,105621,61165,45206,321249,24764,-13794,,,507069,,-1,20089,,439125,,,,,5390,,,5330,,,,444455,249524,71579,,150000,,5428,476531,,,,,,476531,-32076,-32076,444455,674934,780555,,780555,117830,662725,694801,-32076,,-32076,-32076,76584,,
1240036,155229,THE WOODLANDS,3820 W. JACKSON STREET,MUNCIE,IN,47304,DELAWARE,34620,U,12/01/2018,12/31/2018,9,,262,1921,269,2452,96,2976,,4,6,6,16,,65.5,320.17,153.25,,10,6,6,22,,262,1921,269,2452,96,2976,,4,6,6,16,,,,,,,,,,,,,,,,,,262,281733,378600,106439,69941,42379,281733,9490,238206,,,472070,9816,,101935,,798471,,,,,,,,,,36370,37356,835827,607992,33781,,,,228,642001,,,,149881,150137,792138,43689,43689,835827,595221,704035,,704035,,704035,660389,43646,44,43690,43690,125886,,670
1240098,335765,TEN BROECK COMMONS,ONE COMMONS DRIVE,LAKE KATRINE,NY,12449,ULSTER,28740,U,10/01/2018,12/31/2018,4,,2195,18213,2947,23355,258,23736,,47,26,34,107,,46.7,700.5,218.27,,77,6,22,105,,2195,18213,2947,23355,258,23736,,47,26,34,107,,,,,,,,,,,,,,,,,,2195,3596470,2926361,720200,720036,834853,3596470,100926,778296,,,3613148,105000,,521687,123854,4931985,,,,755992,,613764,,1344962,,,1755000,8031947,1483688,1289056,,1416216,149709,-286596,4052073,,1800000,,,1800000,5852073,2179874,2179874,8031947,6417103,7137303,,7137303,561577,6575726,6522831,52895,276979,329874,329874,1211186,,
1240129,385137,MARQUIS PLUM RIDGE POST ACUTE REHAB,1401 BRYANT WILLIAMS DR,KLAMATH FALLS,OR,97601,KLAMATH,38170,U,10/01/2018,12/31/2018,4,,2252,3145,1768,7165,95,8740,,54,12,49,115,,41.7,262.08,62.3,,70,5,37,112,,2252,3145,1768,7165,95,8740,,54,12,49,115,,,,,,,,,,,,,,,,,,2252,1062532,2079579,3726151,963963,136892,1062532,535104,944293,,,2570881,,20156,1302,,3096917,,33154,,476534,294504,826185,,466852,,,40000,3603769,837961,244347,114705,,,173837,1370850,,962947,,,962947,2333797,1269972,1269972,3603769,3311771,7037922,,7037922,3724473,3313449,3142111,171338,21998,193336,193336,1417425,,
1240139,395290,PLEASANT ACRES NURSING AND REHAB,118 PLEASANT ACRES ROAD,YORK,PA,17402,YORK,49620,U,10/03/2018,12/31/2018,4,,1379,29408,4313,35100,407,36630,,28,91,51,170,,49.25,323.16,196.21,,68,51,43,162,,1379,29408,2373,33160,375,33750,,28,91,50,169,,,,,,,,,,,,,,,,,,1379,2000548,5672171,576794,622160,405161,2000548,,607045,,,5170597,81448,,196239,,5892433,,,,6100,,163448,,164037,,5070475,5070475,11126945,3274573,676262,,,,5312820,9263655,,1420646,,,1420646,10684301,442644,442644,11126945,7436972,7932518,,7932518,-175128,8107646,7672719,434927,7717,442644,442644,659906,,
1240197,045275,ADVANCED HEALTH AND REHAB OF UNION C,1700 SHORT EAST HILLBORO,EL DORADO,AR,71730,UNION,99904,R,10/01/2018,12/31/2018,4,,82,4546,829,5457,122,11224,,4,3,3,10,,20.5,1515.33,545.7,,6,4,6,16,,82,4546,829,5457,122,11224,,4,3,3,10,,,,,,,,,,,,,,,,,,82,457527,559661,132238,60364,89953,457527,,97222,,,282890,9380,,15335,,334221,,,,,,26989,,79983,,25878,25878,440082,195332,92195,,,,120467,407994,,48194,,9948,58142,466136,-26054,-26054,440082,868770,1001008,,1001008,494,1000514,1026568,-26054,,-26054,-26054,34341,,
1240237,145699,AVANTARA OF ELGIN,1950 LARKIN AVENUE,ELGIN,IL,60123,KANE,20994,U,10/01/2018,12/31/2018,6,,2013,550,3093,5656,112,10304,,87,5,113,205,,23.14,110,27.59,,110,2,99,211,,2013,550,3093,5656,112,10304,,87,5,113,205,,,,,,,,,,,,,,,,,,2013,862600,1790685,1899799,632670,183481,862600,500748,764,,,2157051,53423,,105977,5598,2215967,,,,23652,,78397,,102049,,30000,39830,2357846,996067,124932,6659,640000,,693623,2461281,,,,,,2461281,-103435,-103435,2357846,2280653,4180452,,4180452,1633465,2546987,2653285,-106298,2863,-103435,-103435,1226023,,
1240267,245186,BROOKVIEW  A VILLA CENTER,7505 COUNTRY CLUB DR,GOLDEN VALLEY,MN,55427-0000,HENNEPIN,33460,U,10/01/2018,12/31/2018,6,,267,5496,157,5920,144,13248,,6,39,3,48,,44.5,140.92,123.33,,9,13,3,25,,267,5496,157,5920,144,13248,,6,39,3,48,,,,,,,,,,,,,,,,,,267,887229,1297965,264646,113011,158557,887229,124366,505,,,873889,70221,,23441,93429,929243,,,,12035,,117198,,94518,,13350,13350,1037111,266519,287255,,496910,,1525312,2575996,,,,760742,760742,3336738,-2299627,-2299627,1037111,1647008,1911654,,1911654,191982,1719672,2185194,-465522,12,-465510,-473085,143437,,25617
1240373,075322,ESSEX MEADOWS HEALTH CENTER,30 BOKUM ROAD,ESSEX,CT,06426,MIDDLESEX,25540,U,11/20/2018,12/31/2018,5,,171,,1383,1554,45,1890,,8,,7,15,,21.38,,103.6,,9,,5,14,,171,,1383,1554,45,1890,,8,,7,15,,,,,,,,,,,,,,,,,,171,1140904,2011830,79769,85103,285592,1140904,33398,2158726,,,897547,,88082,376946,2176223,5697524,4930363,,46043138,,,1721212,,52587788,,6664207,6664207,64949519,672058,861301,,,376655,1203605,3113619,,,,41375897,41375897,44489516,20460003,20460003,64949519,678931,758700,,758700,226718,531982,3152734,-2620752,10067790,7447038,7447038,121096,,
1240384,145524,GENERATIONS AT RIVERVIEW  LLC,500 CENTENNIAL DRIVE,EAST PEORIA,IL,61611,TAZEWELL,37900,U,11/01/2018,12/31/2018,6,,1294,299,696,2289,71,4331,,65,5,41,111,,19.91,59.8,20.62,,72,2,30,104,,1294,299,696,2289,71,4331,,65,5,41,111,,,,,,,,,,,,,,,,,,1294,435761,697145,1122929,353368,104770,435761,203272,7558,,,1044512,,,57417,,1126574,,,,,33162,,,87077,,,4189,1217840,527541,86690,14030,576036,,82684,1286981,,,,,,1286981,-69141,-69141,1217840,1001188,2124116,,2124116,1060353,1063763,1132906,-69143,,-69143,-69143,500696,,
1240456,375499,EMERALD CARE CENTER CLAREMORE  LLC,2800 N HICKORY,CLAREMORE,OK,74017,ROGERS,46140,U,11/01/2018,12/31/2018,5,,1139,4625,1006,6770,129,7869,,42,15,14,71,,27.12,308.33,95.35,,47,11,12,70,,1139,4625,1006,6770,129,7869,,42,15,14,71,,,,,,,,,,,,,,,,,,1139,751316,710696,277361,247563,129615,751316,,204834,,,955078,22578,,,,1137334,,,,,,1784,,1742,,30038,30038,1169114,313696,189102,10756,410470,,60453,984477,,,141432,,141432,1125909,43205,43205,1169114,1481178,1724097,,1724097,218883,1505214,1462012,43202,6,43208,43208,590875,,
1240493,555910,TRELLIS CHINO,5454 WALNUT AVE,CHINO,CA,91710,SAN BERNARDINO,40140,U,10/10/2018,12/31/2018,4,,979,,125,1104,59,4897,,42,,4,46,,23.31,,24,,53,,8,61,,979,,125,1104,59,4897,,42,,4,46,,,,,,,,,,,,,,,,,,979,654854,615255,412240,313180,114609,654854,,22486,,,714191,30716,,9962,1029,967806,,,,,,,10895,10895,,1685989,1685989,2664690,180248,162655,46617,,,17000,2104733,,1250000,,,1250000,3354733,-690043,-690043,2664690,948361,1360675,,1360675,780830,579845,1270109,-690264,224,-690040,-690040,615222,,
1240592,275132,WHITEFISH CENTER,1305 E. SEVENTH STREET,WHITEFISH,MT,59937,FLATHEAD,99927,R,11/01/2018,12/31/2018,6,,633,2776,854,4263,100,6100,,22,15,14,51,,28.77,185.07,83.59,,25,8,15,48,,633,2776,854,4263,100,6100,,22,15,14,51,,,,,,,,,,,,,,,,,,633,420890,697501,127793,132744,110289,420890,,43974,,,874378,17218,3875,45911,21462,526372,,,,,,47111,,44014,,,,570386,391468,111054,32419,,,62087,597028,,,,,,597028,-26642,-26642,570386,1184755,1312398,,1312398,221052,1091346,1118391,-27045,404,-26641,-26641,2,,
1240593,285058,RIVER CITY NURSING & REHABILITATION,7410 MERCY ROAD,OMAHA,NE,68124,DOUGLAS,36540,U,10/04/2018,12/31/2018,4,,891,,7323,8214,174,15486,,24,,18,42,,37.13,,195.57,,22,,27,49,,891,,7323,8214,174,15486,,24,,18,42,,,,,,,,,,,,,,,,,,891,842295,1250938,767436,319361,176488,842295,,72259,,,1785368,20197,,149859,50000,2037289,,,,6809,,864,5169,12564,,244092,244092,2293945,585798,107869,1495,1658266,,34215,2387643,,,,,,2387643,-93698,-93698,2293945,1852936,2620372,,2620372,620988,1999384,2093233,-93849,150,-93699,-93699,461787,,
1240599,325070,RED ROCKS,3720 CHURCH ROCK ROAD,GALLUP,NM,87301,MCKINLEY,99932,R,11/01/2018,12/31/2018,4,,713,4387,813,5913,102,6222,,22,10,27,59,,32.41,438.7,100.22,,39,24,5,68,,713,4387,813,5913,102,6222,,22,10,27,59,,,,,,,,,,,,,,,,,,713,523316,529402,444184,178836,84602,523316,,1000,,,1046169,,24677,,,1057671,,,,45166,,11104,,56029,,-622315,-622315,491385,198464,111906,,,6383,41794,358547,,,,66948,66948,425495,65890,65890,491385,1050400,1494584,,1494584,375159,1119425,1052718,66707,,66707,66707,337441,,837
1240615,395564,RIVERSIDE HEALTHCARE & REHAB,500 WEST HOSPITAL STREET,TAYLOR,PA,18517,LACKAWANNA,42540,U,12/01/2018,12/31/2018,4,,212,3237,460,3909,161,4991,,6,,,6,,35.33,,651.5,,,,,,,212,3237,460,3909,161,4991,,6,,,6,,,,,,,,,,,,,,,,,,212,368213,633531,298525,140081,61626,368213,158302,13345,,,897320,,,173971,,1084636,,,-10000,1910,,60004,,50668,,,,1135304,179128,374940,,,,,554068,,504747,,,504747,1058815,76489,76489,1135304,1386720,1685668,,1685668,680407,1005261,1001744,3517,72971,76488,76489,113908,,
