ObjectId,Data_Set_Name,Brief_Description_of_Data,Data_Source,Home_Department,Home_Department_Division,Data_Steward__Business__Name,Data_Custodian__Technical__Name,Data_Classification,Data_Format,Frequency_of_Data_Change,Time_Span,Start_Date,End_Date,Geographic_Coverage,Geographic_Granularity,Link_to_Existing_Publication
78,Syringe Exchange Program Activity Log,​A list of Syringe Exchange Program visits with indication of services provided.,Syringe Exchange Program Data,Public Health & Wellness,Syringe Exchange Program,Yuting Chen,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Not applicable,Open Data Portal
79,Syringe Exchange Program Drug Use History,​A list of history of drug use by drug history date.,Syringe Exchange Program Data,Public Health & Wellness,Syringe Exchange Program,Yuting Chen,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Not applicable,Open Data Portal
80,Syringe Exchange Program Syringe Log,​A list of syringes collected and provided by visit date.,Syringe Exchange Program Data,Public Health & Wellness,Syringe Exchange Program,Yuting Chen,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Not applicable,Open Data Portal
81,Total Hours Worked,"​This dataset shows the number of hours worked by Metro employees during a pay period. The data is broken down by department, division, and type of hours worked and includes the last 6 years worth of pay periods.",PeopleSoft Reader,Office of Performance Improvement,Performance Improvement,"Moreno-Rivera, Carmen A.","Moreno-Rivera, Carmen A.",Public,csv file,Bi-Weekly,Today - 6 years,,,Other,Not applicable,https://data.louisvilleky.gov/dataset/total-hours-worked
82,Traffic Signal Timing Plans,Traffic Signal timing plans for all signals in the Louisville Metro area​,Centracs,PW&A - Streets and Roads,Traffic Engineering,Stacy Keith,Andrea Marconi,Internal,Unknown,Continuous,,,,Citywide,Not applicable,
83,Training Records,"​Spreadsheets of trainings sent to UofL, UK and Fred Pryor training courses (Same)",,PW&A - Streets and Roads,,Jessica Brunk,Julie Toler,Internal,Excel Spread Sheets,Monthly,,2015/07/01 03:59:59+00,,Other,Not applicable,
84,TRIP CARD - ADMIN,"​input data from trip cards (start time, end time, mileage, weight of load, truck number, name of driver/crew, supervisor, truck number, date and route number.  All information is keyed into Share Point; hard copies are archived (Moved to Accela)
",,PW&A - Solid Waste Mgmt Srvs,,Julia Cole,,Internal,Unknown,Continuous,daily,,,Subset of city,Not applicable,
85,Trip Cards,"​Daily work management tracking regarding waste collection routes, bulk waste, and street sweeping. Data input includes locations, weights, times, employees, drivers, etc. (Moved to Accela)
",Sharepoint,PW&A - Solid Waste Mgmt Srvs,,SWMS Supervisors,SWMS Admin Specialists,Internal,Excel Spread Sheets,Daily,Daily,,,Subset of city,Street address,
86,TRIP CARDS - SUPERVISOR,"​creation of daily trip cards - information on card includes Division, Collection Type, Route/Area, Date, Vehicle Number, Crew Size, Name of Supervisor, Driver/Operator, tippers; Activity (start/end, break down, finish break down, start/end getting complaints, dump, bathroom break, lunch break) Time, Mileage, Truck #, Load Weight, Dump location; on back of trip cards list of complaints; area created to list breakdown details, enforcement issus and addtional comments (Moved to Accela)
",,PW&A - Solid Waste Mgmt Srvs,,SWMS supervisors,,Public,Excel Spread Sheets,Continuous,daily,,,Subset of city,Not applicable,
87,Turnover,"​This dataset shows the number of employees who left Metro Government each month. The data is broken down by department, type of employee (regular or temporary), age, ethnicity, gender, time in Metro, and type of leave and includes the last 6 years worth of counts.",PeopleSoft Reader,Office of Performance Improvement,Performance Improvement,"Moreno-Rivera, Carmen A. ","Moreno-Rivera, Carmen A. ",Public,csv file,Bi-Weekly,Today - 6 years,,,Citywide,Not applicable,https://data.louisvilleky.gov/dataset/turnover
88,Umojo Daily Activity,"​Details on call activity for Parc Operations Command, (Ongoing)
",Umojo,Parking Authority of River City,,,,Internal,Excel Spread Sheets,Continuous,2018-Today,,,Citywide,Not applicable,
89,USD Street Sweep Routes,"USD Street Sweep Route areas


",LOJIC,PW&A - Solid Waste Mgmt Srvs,GIS,Metro Public Works,Metro Public Works GIS,Public,Oracle Database,Yearly,Current,,,Citywide,Planning district,
90,Vehicles,"​List of vehicles with Unit #, Year, Make, Model and Department
",Networkfleet,OMB - Fleet & Facilities,Fleet,Kathleen Doran,,Internal,Other,Continuous,Ongoing,,,Citywide,Not applicable,
91,Enforcement Daily Activity Logs,"​Tracks dates, times, locations, violation types, name, and officer name (Ongoing)
",Sharepoint,PW&A - Solid Waste Mgmt Srvs,Enforcement,Pete Flood,Rob Lush,Public,Excel Spread Sheets,Hourly,Daily,2012/01/01 05:00:00+00,,Citywide,"Street address;#Not applicable",
92,Waste Collection Equipment Status,"​outline of equipment issues, breakdowns, availibility of trucks​ (Used daily)

",,PW&A - Solid Waste Mgmt Srvs,Waste Collection,Abe Maraman,,Public,Excel Spread Sheets,Continuous,daily,,,Subset of city,Not applicable,
93,Waste Reduction Center Data,"​tracking of weights, cash receiveables and material types for collected items (Same, no change)
",,PW&A - Solid Waste Mgmt Srvs,Waste Reduction,Kimberly Sullivan,Pete Flood,Internal,Excel Spread Sheets,Daily,Daily,,,Citywide,Street address,
94,Waze Alerts,"​All alerts reported to the Waze app for Louisville, KY. 
",Waze for Cities,Metro Technology Services,Civic Innovation,Michael Schnuerle,Mike Reynolds,Internal,SQL Database (stand alone),Continuous,June 2016 to the present,,,Citywide,Latitude/longitude,
95,Waze Cooridor Travel Data,"​All travel data reported to the Waze app for Louisville, KY that has been added as a corridor using Waze's tools. Once added, information about travel times along the corridor is tracked and stored.  
",Waze for Cities,Metro Technology Services,Civic Innovation,Michael Schnuerle,Mike Reynolds ,Internal,SQL Database (stand alone),Continuous,June 2016 to the present ,,,Citywide,"Latitude/longitude;#Not applicable",
96,Waze Jams,"​All jams detected by the Waze app for Louisville, KY.  Includes information on traffic jams, cities reports, and geographic coordinates.
",Waze for Cities,Metro Technology Services,Civic Innovation,Michael Schnuerle,Mike Reynolds,Internal,SQL Database (stand alone),Continuous,June 2016 to the present,,,Citywide,Latitude/longitude,
97,Work Order Archives,"​Work Order history of Metro Properties maintained by Facilities Management  (Ongoing)
",Sharepoint,OMB - Fleet & Facilities,Facilities,Kathleen Doran,,Internal,SharePoint Lists,Continuous,,2011/10/15 03:59:59+00,,Subset of city,Street address,
98,Work Order Log New,"​New work orders entered for Facilties in SharePoint
",SharePoint lists,OMB - Fleet & Facilities,Facilities,Kathleen Doran,,Internal,SharePoint,Continuous,Ongoing,,,Citywide,Not applicable,
99,Yelp Businesses,​A list of food service businesses posted for use by Yelp website and/or application for publication.,EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Street address,Open Data Portal
100,Yelp Inspections,​A list of restaurant inspection results for use by Yelp to publish in their webiste and/or application.,EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Not applicable,Open Data Portal
101,Yelp Violations,​A list of inspection violations of restaurants for use by Yelp website and/or application for publishing,EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Not applicable,Open Data Portal
102,Zoning District Changes,"​A GIS featue class of recent zoning map changes, including the original zoning district and the new zoning district, the application date, and the approval date. Updated frequently and provided upon Open records request.
",LOJIC,Develop Louisville,Office of Planning and Design Services,Dante St. Germain,,Internal,GIS Feature Class,Continuous,,2010/06/01 03:59:59+00,,Citywide,Parcel (block/lot),
103,Zoning Districts,"​Parcel-level zoning layer.(Updated Frequently)
",LOJIC,Develop Louisville,Office of Planning and Design Services,,,Public,GIS Feature Class,Continuous,Today,,,Citywide,Parcel (block/lot),http://lojic.org
104,Facilities Building Contact List,"​Contact information for Facilities buildings.
",SharePoint lists,OMB - Fleet & Facilities,Facilities,Kathleen Doran,,Internal,Other,Continuous,Ongoing,,,Citywide,Not applicable,
105,Facilities Idle Time,"​Overview of idle time for Facilities vehicles.  Contains FY 2019, 2020, and 2021 data that is broken down monthly.
",Networkfleet,OMB - Fleet & Facilities,Facilities,Kathleen Doran,Kathleen Doran,Public,Other,Monthly,3 years,,,Citywide,Not applicable,Published on Open Data Portal
106,"Five (5) Years of Disposition Data for the Louisville and Jefferson County Landbank Authority, Inc. ","​This list is comprised of parcels of real estate located inside Jefferson County, Kentucky, that have been sold by the Louisville and Jefferson County Landbank Authority, Inc. within the last five (5) years.  The Office of Community Development manages this list.",,Develop Louisville,"Louisville Forward, Community Development",Connie Sutton,,Public,csv file,Continuous,Monthly,2020/11/03 05:00:00+00,,Citywide,Not applicable,https://data.louisvilleky.gov/dataset/five-5-years-disposition-data-louisville-and-jefferson-county-landbank-authority-inc
107,Fleet Auction List,"​List of vehicles for auction.
",Excel Spreadsheet,OMB - Fleet & Facilities,Fleet,Kathleen Doran,Kathleen Doran,Public,Excel Spread Sheets,Irregularly,,2021/01/01 05:00:00+00,9/30/2021,Citywide,Not applicable,Published on Open Data Portal
108,Form Districts,"​Parcel-level form district layer. (Updated Frequently)
",LOJIC,Develop Louisville,Office of Planning and Design Services,,,Public,GIS Feature Class,Continuous,Today,,,Citywide,Parcel (block/lot),http://lojic.org
109,Garbage Route Areas,"​​Garbage   Route Areas

",LOJIC,PW&A - Solid Waste Mgmt Srvs,GIS,Metro Public Works,Metro Public Works GIS,Public,Oracle Database,Continuous,Current,,,Citywide,Planning district,
110,Guest Data Governance Participation,"​List the guests that have attended Data Governance events during the current calendar year.  Fields include: Guest Name, Role, Department, Number of events attended, and month of attendance",Data Governance Member Participation,Metro Technology Services,Civic Innovation  ,Michael Schnuerle ,Michael Schnuerle ,Internal,Excel Spread Sheets,Monthly,Jan 2018 to today,,,Other,Not applicable,
111,Hub Revenue,"​Revenue information for garage transients(ticket based transactions) (Ongoing)
",Umojo,Parking Authority of River City,,,,Internal,text file delimited,Continuous,Updated per transaction,,,Citywide,Not applicable,
112,Inspection Results Food Service Establishments,​List of permitted food service establishments with last three score and letter grade results if applicable.,EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Street address,Open Data Set
113,Inspection Results Pools,​List of permitted swimming facilities with last 3 scores of recent inspections,EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Street address,Open Data Porta
114,Inspection Results Public Facility Establishments,​List of permitted public facility establishments with last three recent inspection scores,EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Street address,Open Data Portal
115,Inspection Results School Food Service,​List of subset of food service facilities (school food service) with 3 recent inspection scores and grades,EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Street address,Open Data Portal
116,Inspection Violations of Failed Restaurants,​List of violations from Restaurants that failed an inspection,EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Street address,Open Data Portal
117,Jefferson County KY Buildings without Building Heights ,"​The Buildings (BG) layer consists of photogrammetrically interpreted polygons representing roof outlines of manmade structures in Jefferson County, Kentucky. A building is a manmade structure which may be habitable by human beings, animals or which stores materials and is at a minimum 10' x 10' in roof surface area. A building may house a variety of activities at one time, or sequentially over its life. A building may also sit vacant, be in a partial state of destruction, or construction. A feature classified as building but not having a roof (silo, tank or water tower) will show outline of the features shape.",LOJIC,Metro Technology Services,LOJIC,LOJIC,LOJIC,Public,ARCgis,Irregularly,,2020/08/01 03:59:59+00,8/27/2020,Citywide,Not applicable,Published on Open Data Portal
118,Jefferson County KY Enterprise Zone ,"​Polygon coverage depicting the Preference Zone for Jefferson County, target area for development incentives. Formerly known as Enterprise Zone, the Preference Zone is the same area and offers the same incentives under the Kentucky Enterprise Initiative Act.",LOJIC,Unknown,Lojic,Lojic,,Public,Lojic,Continuous,,2020/08/28 03:59:59+00,,Citywide,Not applicable,Open Data Link
119,Jefferson County KY Fiscal Court,"​
Jefferson County Fiscal Court District boundaries in Jefferson County, Kentucky.
This dataset contains polygons and attributes which represent County Commissioner, Constable and Justice of the Peace districts within Jefferson County, KY. The data was generated following the release of the 2010 Census data and was finalized in 2013 after a court ordered redistricting revision. During the redistricting process a number of precinct boundaries were redrawn. Precinct boundaries are the fundamental building blocks of all political layers in Jefferson County, KY.​


",LOJIC,Metro Criminal Justice Comm,,LOJIC,LOJIC,Public,Unknown,Continuous,,,,Citywide,"Other;#Not applicable",Published on open data portal
120,Jefferson County KY Parcels,"​
Parcels in Jefferson County, Kentucky.
The Parcels boundaries are not legal survey accurate and should be used for general representation only. They are maintained by the Jefferson County Property Administrator's Office. To get detailed parcel information, Contact the PVA. Use the LRSN field as the unique parcel identifier. The data is updated quarterly.


",LOJIC,Unknown,,LOJIC,LOJIC,Public,Unknown,Continuous,,,,Citywide,"Parcel (block/lot);#Not applicable",Published on open data portal
121,Jefferson County KY Post Offices ,"​U.S. Post Office Locations within Jefferson County, Kentucky.",LOJIC,Metro Technology Services,,LOJIC,LOJIC,Public,CSV and ArcGIS,Continuous,,2020/08/27 03:59:59+00,,Citywide,"Street address;#Zip code;#City",Published on Open Data Portal
122,Jefferson County KY Proposed Subdivisions,"​Polygon layer of proposed subdivisions in Jefferson County, Kentucky for the last 35 years.",LOJIC,Emergency Mgt Agency/MetroSafe,Lojic,Lojic,,Public,Lojic,Continuous,,2020/08/28 03:59:59+00,,Citywide,Not applicable,Open Data Link
123,Jefferson County KY Right of Ways,​The Right of Ways are not legal survey accurate and should be used for general representation only. They are maintained by the Jefferson County Property Administrator's Office. The data  will updated be quarterly.,LOJIC,PW&A - Streets and Roads,"Public Works, Lojic",Lojic,,Public,Lojic,Continuous,Quarterly,2020/08/31 03:59:59+00,,Citywide,Parcel (block/lot),Open Data Link
124,Jefferson County KY Road System Development Zones,​System Development Zones is a polygon shapefile representing the areas that are scheduled for future roadway improvements.,LOJIC,PW&A - Streets and Roads,Lojic,Lojic,,Public,Lojic,Continuous,,2020/08/29 03:59:59+00,,Citywide,Other,Open Data Link
125,Jefferson County KY Schools,"​Individual, primary and secondary Louisville and Jefferson County schools: Parochial, Private, Public, Miscellaneous, and Special education.",LOJIC,Metro Technology Services,Lojic,Lojic,,Public,Lojic,Not updated (historical only),,2016/10/30 03:59:59+00,10/30/2016,Citywide,Not applicable,Open Data Link
126,Jefferson County KY Soil Survey ,"​This data set is a digital soil survey and generally is the most detailed level of soil geographic data developed by the National Cooperative Soil Survey. The information was prepared by digitizing maps, by compiling information onto a planimetric correct base and digitizing, or by revising digitized maps using remotely sensed and other information. This data set consists of georeferenced digital map data and computerized attribute data. The map data are in a soil survey area extent format and include a detailed, field verified inventory of soils and miscellaneous areas that normally occur in a repeatable pattern on the landscape and that can be cartographically shown at the scale mapped. A special soil features layer (point and line features) is optional. This layer displays the location of features too small to delineate at the mapping scale, but they are large enough and contrasting enough to significantly influence use and management. The soil map units are linked to attributes in the National Soil Information System relational database, which gives the proportionate extent of the component soils and their properties.",LOJIC,Develop Louisville,Office of Sustainability A Division of Develop Louisville,LOJIC,LOJIC,Public,ArcGIS,Continuous,,2020/08/01 03:59:59+00,,Citywide,Not applicable,Published on Open Data Portal
127,Jefferson County KY Spot Heights ,"​Point feature class that comprises the photogrammetrically compiled Spot Heights (SH) or digital elevation model (DEM) for Jefferson County, Kentucky in Spring of 2019. These points serve as the DEM for for generating 2-foot terrain surface contours as part of the LOJIC planimetric and topographic database. All elevations are in U.S. Feet and cast on the North American Vertical Datum (NAVD) of 1988.",LOJIC,Develop Louisville,Office of Sustainability A Division of Develop Louisville,LOJIC,LOJIC,Public,Unknown,Irregularly,,2020/08/01 03:59:59+00,8/27/2020,Citywide,"Street address;#Other",Published on Open Data Portal
128,Jefferson County KY Street Intersections,​Street Intersections generated from the Jefferson County KY Street Centerline data layer.,LOJIC,PW&A - Streets and Roads,Lojic,Lojic,,Public,Lojic,Continuous,,2020/08/29 03:59:59+00,,Citywide,Not applicable,Open Data Link
129,Jefferson County KY Survey Control Markers,​LOJIC Survey monuments placed approximately 1 1/2 to 2 miles from nearest neighbor.,LOJIC,PW&A - Streets and Roads,Lojic,Lojic,,Public,Lojic,Continuous,,2020/08/27 03:59:59+00,,Citywide,Not applicable,https://data.louisvilleky.gov/dataset/jefferson-county-ky-survey-control-markers
130,Jefferson County KY Traffic Web Cameras,"​
RIMARC (Traffic Response and Incident Management Assisting the River City) camera locations in Jefferson County, Kentucky.
TRIMARC (Traffic Response and Incident Management Assisting the River City) camera locations in Louisville Metro Kentucky. This feature layer was created from a TRIMARC JSON files of camera locations. This item includes description, direction, and videos links and is used in the Louisville Metro Snow Map. The cameras are used to monitor the roadways and verify incidents to assist in freeway and incident management This feature is a static extract and will be reviewed before each snow season for updates. For more information on this feature layer and it's use please contact Louisville Metro GIS or LOJIC. To learn more about TRIMARC please visit the following website Trimarc.​


",LOJIC,Unknown,,LOJIC,LOJIC,Public,Unknown,Continuous,,,,Citywide,"Other;#Not applicable",Published on open data portal
131,Jefferson County KY Voting Locations ,​Jefferson County Precinct Voting Locations are only validated for use 4 weeks before a primary or general elections.,LOJIC,Metro Technology Services,,LOJIC,LOJIC,Public,CSV and ArcGIS,Continuous,,2020/08/27 03:59:59+00,,Citywide,Street address,published on Open Data Portal
132,Jefferson County KY Voting Precincts Location History,​Below you will find Voting Precincts locations for past years.,LOJIC,Unknown,Lojic,Lojic,,Public,LOJIC,Continuous,,2020/08/28 03:59:59+00,,Citywide,Not applicable,Open Data Link
133,Jefferson County KY Zoning,"​Polygon layer of zoning districts; arcs contain COGO attributes; polygons contain zoning code, zoning name, zoning type and polygon shade symbol.​
",LOJIC,Unknown,,Lojic,Lojic,Public,Unknown,Continuous,,,,Citywide,"Zoning district;#Not applicable",Published in open data portal
134,Job Bids,"​posting of employees who have signed posted job bids for union vacancies (SAME)
",Excel Spreadsheet,PW&A - Streets and Roads,Personnel,Kelsey Thomas,Jessica Brunk,Internal,Excel Spread Sheets,Continuous,weekly,2013/01/30 05:00:00+00,,Citywide,Not applicable,
135,Job Safety Audits,"​Safety Audits inputted per Supervisor and Manager requirements (Same on sharepoint)
",Sharepoint,PW&A - Streets and Roads,Safety ,Chris Scamahorne,John Renn,Internal,Excel Spread Sheets,Daily,Daily,2014/10/01 03:59:59+00,,Citywide,Street address,
136,Junk Route Areas,"Junk   Route Areas

",LOJIC,PW&A - Solid Waste Mgmt Srvs,GIS,Metro Public Works,Metro Public Works GIS,Public,Unknown,Continuous,Current,,,Citywide,Planning district,
137,Kentucky National Register Landmarks,​This dynamic map service shows National Register Landmarks in the Commonwealth of Kentucky.,LOJIC,Unknown,Lojic,Lojic,,Public,Lojic,Not updated (historical only),,2018/01/10 05:00:00+00,1/10/2018,Citywide,Not applicable,Open Data Link
138,Ky 10K Tile Imagery Index,​This dynamic map service provides download access via the 10K grid to the 2006 2-foot color orthoimagery of the Commonwealth of Kentucky (NAIP-FSA).,LOJIC,Unknown,LOJIC,Lojic,,Public,Lojic,Not updated (historical only),,2016/08/29 03:59:59+00,8/29/2016,Citywide,Not applicable,Open Data Link
139,Ky 20K Tile Imagery Index,"​This dynamic map service provides download access via the 20K grid to the 2004, 2008, 2010, 2012 and 2014 1-meter color orthoimagery of the Commonwealth of Kentucky (NAIP-FSA)",LOJIC,Unknown,Lojic,Lojic,,Public,Lojic,Continuous,,2020/08/28 03:59:59+00,,Citywide,Not applicable,Open Data Link
140,Ky Airport Footprints ,"​This dataset represents Federal Aviation Administration (FAA) paved public airport runway, taxiway and ramps in Kentucky as polygons. Dataset derived from various years of NAIP imagery and is current to 2016. Some polygons were created using remote sensing techniques; various years of imagery for heads up digitization @ 1""=1000' in others. Unpaved (grass/dirt) FAA public airports however are unmapped.Polygons can symbolized by usage as interpreted from various years of NAIP imagery. Location ID's and Name's as designated by the Federal Aviation Admiration are available in this dataset. For additional information about the airport go tohttp://airnav.com/airports/",LOJIC,Unknown,Lojic,Lojic,,Public,Lojic,Continuous,,2020/08/28 03:59:59+00,,Citywide,Not applicable,Open Data Link
141,Ky Data Tiles PointCloud,​This dynamic map service contains the current tile index for KYAPED LiDAR-based Point Cloud data for the Commonwealth.,LOJIC,Unknown,Lojic,Lojic,,Public,Lojic,Continuous,,2020/08/28 03:59:59+00,,Citywide,Other,Open Data Link
142,Ky DEM Data Tiles,​This dynamic map service provides access to 5K data tiles for the Commonwealth of Kentucky. The Commonwealth manages its elevation data (DEM) holdings using this grid. Information regarding year acquired is included in the attributes.,LOJIC,Unknown,Lojic,Lojic,,Public,Unknown,Continuous,,2020/08/28 03:59:59+00,,Citywide,Not applicable,Open Data Link
143,LEAP,​Accounts Payable Module-Processing and Payment of invoices for goods/services procured.,Oracle Financials (LEAP),OMB - Finance,,OMB Financial Systems,OMB Financial Systems,Public,Oracle Database,Continuous,,2004/07/01 03:59:59+00,,Citywide,Street address,http://services.louisvilleky.gov/LouisvilleCheckBook/agencysearch/AgencyHome.aspx
144,LEAP Purchase Orders,"​Purchase Orders and Contracts for Metro Governement
",Oracle Financials (LEAP),OMB - Finance,OMB Purchasing,OMB Financial Systems,OMB Financial Systems,Public,Oracle Database,Continuous,Ongoing,2004/07/01 03:59:59+00,,Other,Street address,http://services.louisvilleky.gov/LouisvilleCheckBook/agencysearch/AgencyHome.aspx
145,Leasing Master Spreadsheet,"​Facilities leased byLouisville Metro Government
",Sharepoint,OMB - Fleet & Facilities,Facilities,Kathleen Doran,,Internal,Excel Spread Sheets,Continuous,Ongoing,,,Citywide,Not applicable,
146,Library Materials Inventory,"Full materials inventory at LFPL updated on a monthly basis.
",Polaris Integrated Library System,Library,,Eliza Coleman,Greg Schwartz,Public,csv file,Monthly,1 month,,,Citywide,Not applicable,
147,Licensing,"​Enables LMAS to track the number of owned cats, dogs, and ferrets in Jefferson County. Assists in reuniting pets with their owners. Allows LMAS to track rabies vaccination compliance",,Metro Animal Services,Business Office,Adam Hamilton,Skip Kalkhof,Public,Unknown,Continuous,,2006/01/01 05:00:00+00,,Citywide,"Street address;#Zip code;#City",
148,Lien Holder Final Orders,"​The Lien Holder Notification System allows lien holders and others to register to receive weekly email notification about all final orders issued since the last notification. The purpose of this notification is to enable lien holders to fix the property, pay the fine, and any abatement costs prior to a lien being taken on a property they have a financial interest in.
This notification system was created pursuant to KRS Section 65.8828, commonly known as ""House Bill 422"". This data set provides the data for those weekly emails and serves to provide the data for those who do not wish to register. To view specific violation information for cases listed on the notification go to http://portal.louisvilleky.gov/codesandregs/mainsearch and enter the Case Number in the Permit/Case/Docket Number field. (Being updated regularly)",Accela,Codes & Regulations,,Benjamin Anderson,Mike Reynolds,Public,csv file,Weekly,,,,Citywide,"Street address;#Not applicable",https://data.louisvilleky.gov/dataset/lien-holder-final-orders
149,LIHEAP Data,​All services that are provided through the Office of Resilience and Community Services that pertain to the Low Income Home Energy Assistance Program.,CASTINET,Community Services,Resilience and Community Services,Al Humphries,,Public,Excel Spread Sheets,Continuous,,,,Citywide,Not applicable,Published on Open Data Portal
150,List of Locations with COVID Related Investigation Action ,​These data tables contain lists of locations that Environmental Health personnel from the Department of Public Health and Wellness have performed a COVID related investigation of some type.,,Public Health & Wellness,Public Health and Wellness,Gerald Kaforski,,Public,Excel Spread Sheets,Continuous,,,,Citywide,Not applicable,Open Data Link
151,Local Public Agency Capital Transportation Projects,"​spreadsheet tracks project budget and schedule for Capital Projects (Same, no change)
",Excel Spreadsheet,PW&A - Streets and Roads,Transportation,Dirk Gowin,each Project Manager,Internal,Excel Spread Sheets,Monthly,Monthly,,,Citywide,Street address,
152,Locations,"​List of Facilities maintained by Fleet and Facilities
",Sharepoint,OMB - Fleet & Facilities,Facilities Management,Kathleen Doran,,Internal,SharePoint List,Continuous,2011-Current,2011/10/15 03:59:59+00,,Citywide,"Street address;#Not applicable",
153,Louisville KY Free Public Libraries ,​Point locations of the all Louisville Free public library branches and facilities.,LOJIC,Library,LOJIC,LOJIC,LOJIC,Public,CSV and ArcGIS,Not updated (historical only),,2020/08/27 03:59:59+00,8/27/2020,Citywide,Street address,Published on Open Data Portal
154,Louisville KY Litter Bins,"​This dataset contains a current record of garbage bins by type across Metro Louisville USD. Records contained were initially digitized using SWMS records and aerial photography. Since its inception, this dataset is being updated with field verified existance, location and the type of bins serviced by the Solid Waste Division of Public works.",LOJIC,PW&A - Solid Waste Mgmt Srvs,"Waste Management, LOJIC",LOJIC,LOJIC,Public,CSV and ArcGIS,Continuous,,2020/08/01 03:59:59+00,,Citywide,Not applicable,Published on Open Data Portal
155,311 Service Requests,"​Citizen requests for service in multiple categories to be resolved by multiple agencies.
",Accela,Emergency Mgt Agency/MetroSafe,Metro311,Jody Duncan,Jody Duncan,Internal,csv file,Continuous,Daily,1997/01/01 05:00:00+00,,Citywide,Latitude/longitude,https://data.louisvilleky.gov/dataset/311-service-requests
156,ABC License Data and other location based licenses,"​Listing of all active ABC licenses including the name of the establishment, type of license, location and more.
Homeless Shelter
Pawn Broker
Outdoor Advertising
 
(Relying on Accela resolution)",Hansen 8,Codes & Regulations,License and Permits,Benjamin Anderson,,Public,csv file,Not updated (historical only),,,,Citywide,"Street address;#Not applicable",https://data.louisvilleky.gov/dataset/abc-license-data
157,Absenteeism,​This dataset shows the number of hours employees were absent from work during a given pay period. The data is broken down by department and type of absence and includes the last 6 years worth of pay periods.  Vacation and holiday time is not consider an absence.,PeopleSoft Reader,Office of Performance Improvement,Performance Improvement,"Moreno-Rivera, Carmen A. ","Moreno-Rivera, Carmen A. ",Public,csv file,Bi-Weekly,  Today - 6 years ,,,Other,Not applicable,https://data.louisvilleky.gov/dataset/absenteeism
158,Accela automation closed GitHub pull requests,"​Pull requests (branch merge requests) on GitHub for Accela automation (scripting)
",GitHub Accela Automation Repository,Metro Technology Services,Digital Services,Bryan Frazar,Matt Gantner,Internal,Application Database,Continuous,1/1/2020 to date,,,Citywide,Not applicable,Closed pull requests for Accela automation for LMG
159,Accela Issue Tracker,"​Problems, issues, and needed enhancements to our implementation of the Accela Civic Platform, with status
",SharePoint lists,Metro Technology Services,Digital Services,Karen Ackerman,Bryan Frazar,Internal,SharePoint list,Continuous,2018 to date,,,Citywide,Not applicable,Accela Issue Tracker
160,Accela Promotion Tracker,"​Promotion requests and complated promotions of fixes to issues with our implementation of the Accela Civic Platform. Works together with the Accela Issue Tracker.
",SharePoint lists,Metro Technology Services,Digital Services,Bryan Frazar,,Internal,SharePoint list,Continuous,1/1/2020 to date,,,Citywide,Not applicable,Accela Promotion Tracker
161,Accident Review Committee Reports,"​weekly summary of events regarding accidents/injuries (Same)
",Excel Spreadsheet,PW&A - Streets and Roads,Safety,John Renn,Amy Axsom,Internal,Excel Spread Sheets,Continuous,daily,,,Citywide,Street address,
162,Acquisitions and Lien Waivers ,"​Includes all donation requests that have been sent to VPPA and shows the outcome of each donation and lien waiver request.
",Sharepoint,Develop Louisville,Vacant and Public Property Administration,Connie Sutton ,,Internal,csv file,Daily,Spans back to 2011,,,Citywide,Parcel (block/lot),https://data.louisvilleky.gov/dataset/property-donations
163,Active Data Governance Member Participation,"Lists all the current members of Data Governance and shows there level of participation for the current calendar year.  Fields include: Member Name, Role, Department, Number Working Groups, Number Badges Earned, Number of Events Attended, Division, Supervisor, Leader, Month and year Joined/Left, and Attendance for each month",Data Governance Member Participation,Metro Technology Services,Civic Innovation,Michael Schnuerle,Michael Schnuerle,Internal,Excel Spread Sheets,Monthly,Jan 2018 to today,,,Other,Not applicable,
