characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue,standarderroroncount,noteoncount
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,z—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,v—,Reportnig standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,h—,Reporting standamrds not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2000,9.6,2.59,Reporting standards no tmet.,72237,19928.2,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2001,10.9,2.75,Reporting standards not met.,82259,21231.5,Reporting sandards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2002,8.4,2.42,Reporting standahrds not met.,63545,18893.9,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2003,9.2,2.6,Reporting standards not met.,69279,19986.1,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2004,8.5,2.4,Reporting standards not met.,62799,18132.8,Reporting standards not meyt.
"White, non-Hispanic",Female,"White, non-Hispanic",2005,6.2,2.13,eporting standards not met.,46121,16201,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2006,14.9,3.54,Reporting standards not met.,112386,27433.6,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2007,5.1,1.47,Reporting standards not met.,37363,11111.9,Reporting standards not emet.
"White, non-Hispanic",Female,"White, non-Hispanic",2008,9.0,2.26,Reportzing standards not met.,—,—,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2009,7.2,2.65,Reportingi standards not met.,50734,19188.7,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reportig standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2011,9.0,2.26,Reporting standards notw met.,—,,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,s—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Blackl, non-Hispanic",2000,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hipanic",2001,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hisphanic",2002,9.0,2.26,Reporting standardsnot met.,p—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, noen-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Rpeorting standards not met.
"Black, non-Hispanic",Female,"Black,n on-Hispanic",2004,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not mte.
"Black, non-Hispanic",Female,"Black, non-ispanic",2005,9.0,2.26,Reoprting standards not met.,***,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanirc",2006,9.0,2.26,Reporting standards not met.,—,***,Reporting standards ont met.
"Black, non-Hispanic",Female,"Black, nohn-Hispanic",2007,9.0,2.26,Reporting standards not met.,k—,—,Reporting standarsd not met.
"Black, non-Hispanic",Female,"Blcak, non-Hispanic",2008,9.0,2.26,eporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanc",2009,9.0,2.26,Reporting standards not met.,—,,Reporting standarsd not met.
"Black, non-Hispanic",Female,"Black,n on-Hispanic",2010,9.0,2.26,Reporting standards not met.,i—,—,Reporting satndards not met.
"Black, non-Hispanic",Female,"Black, non-Hipsanic",2011,9.0,2.26,Reporting stanbdards not met.,—,r—,Reporting standards not met.
"Black, non-Hispanic",Female,Black non-Hispanic,2012,9.0,2.26,Reporting standards not met.,***,—,Reporting standardsnot met.
Hispanic,Female,dHispanic,2000,9.0,2.26,Reporting standards not met.,—,***,eporting standards not met.
Hispanic,Female,Hispanic,2001,9.0,2.26,Reporting standards not met.,—,,Reporting stasndards not met.
Hispanic,Female,Hispanic,2002,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2003,19.9,6.59,Reporting standards not met.,42925,14796.4,Reporting standards not met.
Hispanic,Female,Hispanic,2004,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
Hispanic,Female,Hispanic,2005,9.0,2.26,Reporting standards not met.,—,,Reporting standards notm et.
Hispanic,Female,Hispanoic,2006,9.0,2.26,Reporting standards not me.t,—,***,Reporting standards not met.
Hispanic,Female,Hispanic,2007,9.0,2.26,Reporting standards notw met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2008,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
Hispanic,Female,Hispanic,2009,9.0,2.26,Reporting standards not met.,s—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2010,9.0,2.26,Recporting standards not met.,***,—,Reporting standards not met.
Hispanic,Female,Hispanic,2011,9.0,2.26,Reporting standards not et.,g—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2012,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,Daata not available.
"Asian, non-Hispanic",Female,"Aasian, non-Hispanic",2001,9.0,2.26,Data not available.,—,o—,aDta not available.
"Asian, non-Hispanic",Female,"Asian, non-Hisapanic",2002,9.0,2.26,Data not available.,—,—,Dasta not available.
"Asian, non-Hispanic",Female,"Asianr, non-Hispanic",2003,9.0,2.26,Reporting standarsd not met.,—,z—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, nonHispanic",2004,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Aisan, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hisxpanic",2006,9.0,2.26,Reporting standards not met.,—,h—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hsipanic",2007,9.0,2.26,Reporting standards not met.,a—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, none-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, no-nHispanic",2009,9.0,2.26,eRporting standards not met.,n—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-iHspanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Aian, non-Hispanic",2011,9.0,2.26,Reporting standards ont met.,***,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, bnon-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,h—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,Data not avaialble.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,9.0,2.26,Data not available.,g—,—,Data not vailable.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,9.0,2.26,Data not available.,***,—,Data no tavailable.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,9.0,2.26,Reporting standhards not met.,***,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,9.0,2.26,Reportingq standards not met.,***,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,l—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,9.0,2.26,Repowrting standards not met.,,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,r—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native,n on-Hispanic",2000,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indiakn/Alaska Native, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,d—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Aladska Native, non-Hispanic",2003,9.0,2.26,Reporting standards not mt.,—,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/laska Native, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,q—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Natvie, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,i—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska aNtive, non-Hispanic",2006,9.0,2.26,Reporting stadards not met.,***,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispaic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Amlaska Native, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaka Native, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"Amercian Indian/Alaska Native, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"Amreican Indian/Alaska Native, non-Hispanic",2011,9.0,2.26,Reporting standards not umet.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Inian/Alaska Native, non-Hispanic",2012,9.0,2.26,Reporting stanadrds not met.,u—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,9.0,2.26,Data not available.,—,g—,Daat not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,9.0,2.26,Data not available.,,—,Data not aailable.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,9.0,2.26,Daat not available.,—,—,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,9.0,2.26,Reporting standartds not met.,—,c—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,q—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,i—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,9.0,2.26,Reporting standards not nmet.,***,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,9.0,2.26,Reporting standarsd not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,9.0,2.26,Reporting tsandards not met.,—,—,Reporting standards not met.
