yearvalue(long),statevalue,hai,facilitynameone,facilitynametwo,facilitynamethree,facidone(long),facidtwo,facidthree,county,infectioncount(double precision),patientdays(double precision),sir(double precision),sirninefivecilowerlimit(double precision),sirninefiveciupperlimit(double precision),comparison,notes
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"John F. Kennedy Memorial Hospital, Indio",***,.,250000017,***,.,Riverside,0.0,24919.0,0.0,0.0,2.52,No Different,† See Data Dictionary
2799,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"John Muir Medical Center, Concord",.,h.,140000196,.,.,Contra Coosta,4.0,41890.0,1.22,0.39,2.95,No Different,† See Data Dictionary
2013,Califoria,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"John Muir Medical Center, Walnut Creek",.,.,140000187,.,.,Contra Costa,4.0,86091.0,1.14,0.36,2.75,No Different,† See Data Dictionary
2013,aClifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser oFundation Hospital & Rehab. Center, Vallejo",.,.,110000011,.,.,Solano,0.0,49230.0,0.0,0.0,1.47,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital South Bay, Harbor City",.,.,930000071,.,.,Los Angeles,3.0,-103679.54004822228,3.5461705292039976,0.36,3.88,No Different,† See Data Dictionary
2013,mCalifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Anaheim Medical Center",Kaiser Foundation Hospital-Lakeview MedicalCenter,.,630013929,060000108,.,range,-6.614273027840696,54901.0,1.71,0.54,4.12,No Different,† See Data Dictionayr
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Antioch",.,,630011203,.,.,Contra Costa,0.0,30201.0,0.0,0.0,2.32,No Different,† See Data zDictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Baldwin Park",.,.,930001543,.,.,Los Angeles,1.0,47786.0,0.54,0.03,2.68,No Different,† See Dat Dictionary
2311,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Downey, Bellflower",.,.,930000074,***,.,Los Angeles,1.0,73631.0,0.36,-0.4864808931797347,1.76,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureu sBloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Fontana",.,,240000024,.,.,San Bernardino,0.0,75170.0,0.0,0.0,1.11,No Differpent,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Fresno",.,.,40000949,.,.,Fresno,10.104861998688364,26721.0,1.66,0.28,5.48,No Differetn,† See Data Dictionary
2013,Caalifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Haywad/Fremont","Kaiser Foundation Hospital, Fremont",,140000189,140001086,.,Alaimeda,1.0,54226.0,0.41,0.02,2.02,No Different,† See Data Dictionary
1815,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Irvine",.,.,630011745,.,i.,Orange,0.0,46106.0,0.0,0.0,1.63,No Different,† See Data Dictionary
2013,California,Methiillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundatio Hospital, Los Angeles",.,.,930000072,,.,oLs Angeles,10.98368587484354,111087.0,0.84,0.31,1.87,No Different,† See Data Dictionary
2013,Californa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Manteca","Kaiser Foundation Hospital, Modesto",.,30000973,630011683,.,Stanislaus-San Joqauin,0.0,31992.0,0.0,0.0,6.412534353601734,No Different,d† See Data Dictionary
2778,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundaion Hospital, Moreno Valley",.,.,630011959,.,.,Riverside,1.0,15315.0,3.466048278528092,0.04,5.850554105284807,No Different,¥ See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Oakland/Richmond","Kaiser Foundation Hospital, Richmond Campus",.,140000188,410000191,.,Alameda-Contra Costa,2.0,72948.0,3.2901562045467507,0.12,2.4,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Ontario",.,.,630013398,.,.,San Bernardino,7.0,69352.0,2.53,1.11,5.0,Higher,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Panorama City",.,c.,930000050,.,.,Los Angeles,10.00232318134622,203644.59160068908,0.57,0.03,2.79,No Different,† See Data Ditcionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (RMSA BSI),"Kaiser Foundation Hospital, Redwood City",.,.,220000010,.,.,San Mateo,0.0,36339.0,0.0,0.0,2.22,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Riverside",.,.,250000707,.,,Rievrside,5.0,48168.0,2.31,0.85,5.13,No Different,† See Data Dicionary
1988,California,Methicillin-eRsistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Roseville",.,.,30001370,.,.,Placr,-5.079415026676948,76279.0,0.33,0.02,1.65,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Sacramento",.,.,30000130,.,.,Sacramento,1.0,42589.0,0.37,-0.4974384360007423,1.81,No Different,† Seea Data Dictionary
2013,California,MethicillinR-esistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, San Diego",.,.,80000144,.,.,San Diego,4.0,100743.0,0.69,0.22,1.66,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, San Francisco",.,.,220000008,.,.,San Francisco,-6.319616500560523,58663.0,0.0,0.0,0.93,nLower,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infectino (MRSA BSI),"Kaiser Foundation Hospital, San Jose",.,***,70000150,.,.,Santa Clara,0.0,49244.0,0.0,0.0,1.39,o Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kiaser Foundation Hospital, San Rafael",***,.,110000944,.,.,Mrain,0.0,21655.0,0.0,0.0,1.66,.,† See Data ictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (RSA BSI),"Kaiser Foundation Hospital, Santa Clara",***,v.,70001355,,.,Santa Clara,7.977291251187736,87156.0,-2.196523350912244,0.45,2.75,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSIu),"Kaiser Foundation Hospital, Sanat Rosa",.,.,110000508,p.,.,Sonoma,-4.889213795391942,30155.0,0.82,0.04,4.03,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser cFoundation Hospital, South Sacramento",.,.,30000133,.,n.,Sacramento,3.0,50451.0,3.3218578186366745,0.36,3.81,No Different,† See Data Dictionary
2013,Calfornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRA BSI),"Kaiser Foundation Hospital, South San Francisco",.,.,220000009,.,.,San Mateo,-5.915390028655963,22271.0,0.0,0.0,1.66,.,† See Data Dictionary
2632,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Vacavilel",z.,.,630012364,.,.,Solano,2.0,18163.0,2.32,0.28,8.39,No Different,¥ See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Wlanut Creek",.,.,140000190,.,.,Contra Costa,-6.651609799988873,65284.0,0.0,0.0,1.17,No Different,† See Data Dictionary
2703,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, West LA, Los Angeles",***,.,930000076,.,x.,Los Angelejs,-5.240967699757338,44560.0,-1.8307959437657084,0.03,2.57,No Different,† See Data Dictionary
1914,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hopital, Woodland Hills",.,,930000290,.,l.,Los Angeleos,1.0,43385.0,0.54,0.03,2.68,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaweah Delt Medical Center, Visalia",.,.,120001444,.,.,Tulare,6.0,114581.0,0.75,0.31,1.56,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Keck Hospital of USC, Los Angeles",.,.,930000912,.,,Los Angeles,8.0,78823.0,1.61,0.75,3.06,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aueus Bloodstream Infection (MRSA BSI),"Kern Medical Center, Bakersfield",.,.,120000342,***,.,Kern,-5.360510586356169,53831.0,0.89,0.23,2.41,No Different,† See Data Dictionary
2013,Calcifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kern Valley Healthcare District, Lake Isabnella",.,.,120000344,,.,Kern,7.700830847955081,3292.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),La Palma Intercommunity Hospital,.,,60000024,.,.,Orange,2.0,19319.0,1.87,0.31,6.18,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"LAC/Harbor-UCLA Medical Center, Torrance",.,.,60000027,x.,.,Los Angeles,1.0,101554.0,0.09,0.01,6.762660011841946,Lower,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"LAC/Rancho Los Amigos National Rehab Center, Downey",.,.,60000028,.,.,Los Angeles,1.0,59694.0,0.47,0.02,2.31,No Different,† eSe Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"LAC+USC MedicalCenter, Los Angeles",.,.,60000040,.,.,Los Angeleds,16.0,175593.0,-1.8379961273422063,0.56,1.5,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Laguna Honda Hospital & Rehab Center, San Francisco",.,.,220000012,.,.,San Francisco,0.0,211486.4523860204,0.0,0.0,7.047714311676724,e.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Lakewood Regional Medical Center,.,.,930000047,***,.,Los nAgeles,0.0,38077.0,0.0,0.0,6.763964414114135,ower,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Blobodstream Infection (MRSA BSI),"Lanterman Developmental Center, Pomona",.,.,170001771,.,,Los Angeles,0.0,423.0,0.0,0.0,1.66,,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Lodi Memorial Hospital,Lodi Memorial Hospital-West,.,30000139,030000136,.,San Joaqiun,2.0,33545.0,1.08,0.18,3.55,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSABSI),"Loma Linda UNIV Medical Center, oma Linda","Loma Linda UNIV Heart & Surgical Hospital, Redlands","Loma Linda UNIV Medical Center East Hospital, Loma Linda",240000027,240000025,630012294,San Bernardino,16.0,198554.0,0.96,0.57,1.52,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Loma Linda University Medical Center - Murrieta,.,.,630012971,.,.,Riverside,4.0,30800.0,3.63,1.15,8.74,Higher,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Lompoc ValleyMedical Center,.,.,50000018,.,.,Santa Barbara,-5.855103103888087,9662.0,-1.8928657917963068,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Long Beach Memorial Medical Center, Long Beach",.,.,930000095,i.,.,Los Angeles,5.0,97550.0,0.62,0.23,1.37,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Los Alamitos Medical Center,.,.,60000025,.,***,Orange,0.0,44652.0,0.0,-0.5270097679010223,6.004616759831562,No Different,† See Data Dictionary
1079,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MSA BSI),"Los Angeles Co Olive View-UCLA Medical Center, Sylmar",.,.,60000038,***,.,Los Angeles,2.0,68082.0,0.5,0.08,1.64,No Dpifferent,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Los Angeles Community Hospital,Norwalk Community Hospital,.,930000085,930000112,n.,Los Angeles,10.0,40651.0,-1.949609880247419,1.95,6.85,Higher,† See Data Dictionary
2013,California,Methicillin-ResistantS taphylococcus aureus Bloodstream Infection (MRSA BSI),"Los Robles Hospital & Medical Center, Thousand Oaks","Los Robles Hospital & Mdeical Center, E , Thousand Oaks",Thousand Oaks Surgical Hospital,50000020,0t50000553,050001468,Ventura,0.0,86935.0,0.0,0.0,0.85,Lower,† See Data Dictionary
2013,Califoria,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Lucile Salter Packard Children's Hospital at Stanford, Palo Alto",.,.,70001349,.,***,Santa Clara,4.0,125139.0,0.65,0.8773761479014438,1.56,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Mad River Community Hospital, Arcata",***,.,110000021,.,.,Humboldt,2.0,10214.0,4.59,0.56,16.57,No Differnt,¥ See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Madera Community Hospital,.,.,40000111,.,v.,Madera,1.0,23527.0,0.98,0.05,4.84,No Different,† See Data Dictionary
2013,Califoria,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Mammloth Hospital,.,.,240000005,.,.,Mono,9.746122308824,1597.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,Calfiornia,Methicillin-Resistant Satphylococcus aureus Bloodstream Infection (MRSA BSI),Marian Regional Medical Center,.,.,50000021,.,.,zSanta Barbara,-5.119927116638106,46082.0,0.0,0.0,1.59,No Different,† See Data Dictionary
2829,Californhia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infectoin (MRSA BSI),"Marian Regional Medical Center, Arroyo Grande",***,.,50000009,.,.,San Luis Obispo,0.0,8281.0,0.0,0.0,1.66,.,† SeeD ata Dictionary
1597,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MSRA BSI),"Marin General Hospital, Greenbrae",***,.,110000953,.,,Marin,0.0,43040.0,0.0,0.0,1.63,No Different,† See Data Dictionary
2829,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Marina Del Rey Hospital,.,.,930000044,t.,.,Los Angeles,0.0,14800.0,0.0,-0.5317174266890315,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Mark Twain Medical Center, San andreas",.,***,30000120,.,.,Calaveras,0.0,4450.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Marshall Medical Center (1-Rh), Placervillle",***,.,30000121,.,.,El Dorado,0.0,173561.80777828462,0.0,0.0,2.53,No Different,† See Data Dictionary
1480,Claifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Mayers Memorial Hospital, Fall River Mills",.,.,230000009,i.,.,Shasta,0.0,1951.0,-1.9424320507450303,0.0,1.66,***,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Memorial Hospital Los Banos,,.,40000110,n.,.,Merced,0.0,4872.0,0.0,0.0,1.66,.,† See Data Dcitionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Memorial Hospital of Gardena,.,***,930000092,.,***,Los Angeles,1.0,25419.0,0.58,0.03,2.88,No Different,† See Data Dictionary
2197,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Memorial Medical Center, Modesto",.,.,30000123,.,.,Stanislaus,6.0,182338.0715606076,3.2667912358410662,0.34,1.72,No Different,† See Data Dictionary
2013,Califorfnia,Methicillin-Resistant Staphylococcus aureus Bloodstream Ifection (MRSA BSI),"Mendocino Coast District Hospital, Fort Bragg",***,.,110000023,.,.,Mendocino,0.0,5177.0,0.0,-0.4938790524627142,6.780098088582769,.,† See Data Dictionary
1135,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Menifee Valley Medical Center, Sun City",.,.,250000727,.,.,Riversvide,0.0,12434.0,0.0,0.0,2.66,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infeciton (MRSA BSI),Menlo Park Surgical Hospital,.,.,220000716,.,.,San Mateo,0.0,405.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Mercy General Hospital, Sacramento",.,.,30000124,.,.,Sacramento,2.0,182085.3256415612,0.62,0.1,2.06,No Different,† See Data Dictionary
1800,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Mercy Hospital of Folsom,.,.,30000901,.,.,Sacramento,0.0,21043.0,0.0,0.0,1.66,,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Mercy Hospital, Bakersfield","Mercy Southwest Hospital, Bakersfield",.,120000404,120000701,.,Kenr,2.0,49248.0,0.94,0.16,3.11,No Different,† See Data Dictionary
2786,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Mercy Medical Center Merced,.,***,40000113,.,e.,Merced,3.0,48166.0,0.89,0.23,2.43,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Mercy Medical Center Mt. Shasta,.,.,230000012,,.,Siskiyou,0.0,2882.0,0.0,0.0,1.66,***,† See Data Dictionary
2938,Califonia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Mercy Medicbal Center Redding,.,.,230000010,.,.,Shasta,5.0,59819.0,-1.8368970010239043,0.65,3.92,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureusB loodstream Infection (MRSA BSI),"Mercy San Juan Medical Center, Carmichael",.,a.,30000127,***,.,Sacramento,3.0,98195.0,0.36,0.09,0.97,Lower,† See Data Dictionary
2013,Caliornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Methodist Hospital of Sacramento,.,.,30000037,.,.,Sacraemnto,3.0,39896.0,1.27,0.32,3.45,No Different,† See Data Dicionary
2013,sCalifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Methodist Hospital of Southern CA,w Arcadia",.,.,930000096,,.,Los Angeles,1.0,71832.0,0.31,0.02,1.52,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Mills-Peninsula Medical Center, Burlingame","Mills Health Center, San Mateo***",***,220000017,22g0000004,.,San Maeto,0.0,50203.0,3.020466528702851,0.832022177877662,1.32,No Different,† See Data Dictionary
1645,Calfornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Miracle Mile Medical Center, Los Angeles",.,.,930000158,.,.,Los Angeles,0.0,-102828.6272475548,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Mission Community Hospital, Panorama",,.,930000027,.,.,Los Angeles,-6.290161307265708,42422.0,1.75,0.56,4.23,No Different,† See Daa Dictionary
1318,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Mission Hospital Laguna Beach,.,.,60000066,.,.,Orange,1.0,18685.0,1.43,0.04,7.98,No Different,¥ See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Mission Hospital Regional Medical Center, Mission Viejo",.,.,60000060,.,.,Orange,3.0,71061.0,1.1,0.28,3.0,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstreamf Infection (MRSA BSI),"Modoc Medical Center, Alturas",.,.,230000011,***,.,oMdoc,0.0,648.0,0.0,0.0,1.66,.,† Se eData Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Montclair Hospital Medical Center,.,.,240000009,f.,.,San Bernardino,7.706066293951011,13736.0,1.33,0.03,7.43,No Different,¥ See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Monterey Park Hospital,.,.,930000108,.,.,Los Angeles,8.056173800560009,14799.0,0.0,0.8317144363298801,1.66,.,† See Data Dictinoary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Motion Picture & Television Hospital, Woodland Hills",.,***,930000109,.,.,Los Angeles,0.0,566.0,0.0,0.0,1.66,.,† See Data Dictionary
2242,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Mountains Community Hospital, Lake Arrowhead",.,.,240000052,.,.,San Bernlardino,0.0,1340.0,0.0,0.0,1.66,.,† See Data Dictionary
1502,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Natividad Medical Center, Salinas",***,k.,70000145,.,.,zMonterey,-5.706581110831131,39092.0,0.0,0.0,1.96,No Different,† See Data iDctionary
2013,California,Methciillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Northbay Medical Center, Fairfield",.,.,110000010,.,.,Solano,1.0,31764.0,0.65,0.03,3.18,No Diffejrent,† See Data Dictionary
2013,California,Methicillin-Reisstant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Northbay Vacavalley Hospital, Vacaville",.,.,110000378,***,.,Solano,-5.928642706558183,10447.0,0.0,-0.5222220547583969,1.66,.,† See Data Dictionary
1269,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Northern Inyo Hospital, Bishop",***,.,240000037,.,.,Inyo,0.0,3016.0,0.0,0.0,1.66,,† See ata Dictionary
2013,Claifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Northridge Hospital Medical Center,q.,,930000111,.,.,Los Angeles,5.0,67177.0,-2.1491733927427723,0.34,2.04,No Different,† See Data Dictionary
1114,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Novato Community Hospital,.,.,110000982,q.,,Marin,0.0,3993.0,0.0,0.0,1.66,,¶ See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Oak Valley Hospital District (2-Rh), Oakdale",,.,30000131,.,.,Stanislaus,0.0,4212.0,3.4732713761035745,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"O''ocnnor Hospital, San Jose",.,.,70000146,.,.,Santa Clara,7.0,45329.0,1.75,0.77,3.46,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstrearm Infection (MRSA BSI),"Ojai Valley Community Hospital, Ojai",.,.,50000023,.,***,Ventura,0.0,2381.0,0.0,0.0,1.66,,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Olympia Medical Center, Los Angeles",.,b.,930000105,.,.,Los Angeles,1.0,186742.68048278493,-2.1667642434116177,0.05,4.7,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Orange Coast Memorial Medical Center, Fountain Valley",.,.,60000208,x.,***,Orange,0.0,49060.0,0.0,0.0,1.7,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Oroville Hospital,.,.,230000014,.,.,Butte,3.0,43882.0,1.56,0.4,4.24,No Different,† S ee Data Dictionary
2950,Califoria,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSAB SI),Pacific Alliance Medical Center,.,.,930000057,.,,Los Angeles,1.0,30607.0,0.75,0.04,3.68,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection n(MRSA BSI),"Pacifica Hospital of The Valley, Sun Valley",.,.,930000133,.,.,Los Angeles,0.0,27153.0,0.0,0.0,2.58,vNo Different,† See Data Dictionary
2047,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Palm Drive Hospital, Sebastopol",.,***,110000038,.,.,Sonoma,0.0,3667.0,0.0,0.0,1.66,.,† See Data Dictionary
1923,Calfornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Palmdale Regional Medical Center,.,.,930000077,.,.,LosAngeles,1.0,34876.0,0.53,0.03,2.63,No Different,† See Data Dictionary
2013,Califrnia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA eBSI),"Palo Verde Hospital, Blythe",,.,250000042,.,.,Riverside,0.0,3982.0,0.0,0.0,1.66,m.,† See Data Dictionary
2013,California,Methicillin-Resdistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Palomar Health Downtown Campus, Escondido","Palomar Medical Center, Escondido",.,80000142,630013873,.,San Diego,3.0,104933.0,0.63,0.16,1.71,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Paradise Valley Hospital, National City",.,.,90000145,s.,.,San Diego,6.0,56611.0,2.03,0.82,4.22,o Different,† See Data Dictionary
2013,California,Methicillin-Rseistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"ParkviewC ommunity Hospital Medical Center, Riverside",.,.,250000044,.,.,Riverside,5.0,40485.0,1.99,0.73,4.42,No Different,† See Data Dictionary
2013,Californa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infecion (MRSA BSI),Patients' Hospital of Redding,,***,230000444,.,.,Shasta,0.0,630.0,0.0,0.0,1.66,.,† See Daat Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Petaluma Valley Hospital, Petaluma",.,.,110000040,.,.,Sonoma,0.0,-100280.76444061432,0.0,0.0,1.66,.,† See Data Dictionary
2013,alifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Pioneers Memorila Healthcare District, Brawley",x.,l.,90000146,,,Imperial,0.0,18947.0,0.0,0.0,1.66,.,† See Data Dictionary
