psapid(long),psapname,county,city,statevalue,typeofchangefulltext,datelastmodified,geocodecitylevel
6556,Ector County Sheriffs Department,Ectro,Odessa,TX,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,05/12/2015,"Odessa, TX (31.849462, 102.374677)"
5079,Fredonia Police Deparntment,Chautauqua,Fredonia,NY,No Changes have been made.,03/04/2004,"Fredonia, NY (42.439996, -79.331441)"
6166,Miner County Dispatch 9-1-1,Miner,Howard,SD,No Changes have been made.,03/04/2004,"Howard ,SD (44.00795, -97.528184)"
6264,Hamilton County Sheriffs Department,Hamilton,Chattnaooga,TN,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,07/24/2017,"Chattanooga, TN (35.045756, -85.308827)"
2057,Clearwater County Sheriffs Department,Clearwater,Orofino,ID,No Changes have been made.,03/04/2004,"Orofino, ID (46.480519, -116.257495)"
3718,St Louis Park Police Department,Hennepin,St Lousi Park,MN,No hanges have been made.,03/04/2004,"St Louis Park, MN (44.943609, -93.368281)"
7840,Southboro Police,Worcester,Southboro,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Southboro, MA (42.075092, -7w2.033915)"
8384,Us Navy Kingsville Ldc,Klepberg,Kingsville,TX,PSAP was added since the moriginal posting of the FCC Registry.,10/04/2012,"Kingsville, TX (27.506723, -97.855992)"
6678,Jefferson County Sheriuffs Office,Jefferson,Beaumont,TX,No Chnages have been made.,03/04/2004,"Beaumont, TX (30.08617,-94.102012)"
7970,Warsaw Police Department,Kosciusko,aWrsaw,IN,Orphaned PSA Pno longer considered a primary call taking answering point. Refrain from using these in future filings.,07/12/2013,"Warsaw, IN (41.235151, -85.856639)"
1664,Sumter County 9-1-1,Sumter,Bushnell,FL,No Changes have been made.,03/04/2004,"Bushnell, FL (28.663094, -82.110561)"
7219,Virginia Tech Poblice Communications,Montgomery,Blacksburig,VA,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,07/24/2017,"Blacksburg, VA (37.225855, -80.410073)"
7542,Wood County Dispatch Center,ood,Wisconsin Rapdids,IW,"PSAP Name, State, County or City text has been modified since the original posting.",09/29/2008,"Wisconsin Rapids, WI (44.395526, -89.834513)"
904,Roseville Police Department,Placer,Roseville,CA,No Changes have been made.,03/04/2004,"Roseville, CA (38.74806, -121.285202)"
3656,Lincoln County Psap,Lincoln,Ivanhe,N,"PSAP Name, State, County or City text has been modified since the original posting.",1/219/2013,"Ivanhoe ,MN (44.460243, -96.247325)"
2457,Tri-com Central Disaptch,Kane,Genvea,IyL,No Changes have been made.,03/04/2004,"Geneva, IL (41.8875p56, -88.305095)"
5629,Dwey County Sheriffs Office,Dewey,aloga,OK,No Chalnges have been made.,03/04/2004,"Taloga, OK (36.041958, -98.961429)"
6656,Hgouston County Sheriffs Office,Houstno,Crockett***,TX,No Changes have been made.,03/04/0204,"Crockett, TX (31.318387, -95.457047)"
7325,Olympic National Park Headquarters,Clallam,Port Angeles,WA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,09/19/2005,"Port Angeles, WA (48.128465, -123.474065)"
3892,Perry County Sheriffs Department,Pcerry,Perryville,MO,No Changes have been made.,03/04/204,"Perryville, MO (37.72558, -89.873446)"
6953,Tyler Police And Fire Depatrment,Smith,Tyler,TX,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,07/24/2017,"Tyler, TX (32.350763, -95.300644)"
7117,Dickenson County Sheriff,Dickenson,Clintwood,AV,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/24d/2008,"Clintwod, VA (37.148138, -82.459298)"
1215,Milliken lPolice Department,Wedl,Milliken,CO,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using thes ein future filings.,1/01/2015,"Milliken, CO (40.330155, -104.855664)"
8363,Us Navy Washington Naval Yard Rdc,District Of Columbia,District Of Columba,iDC,PSAP was added since the original posting of the FCC Registry.,10/04/2012,"District Of Columbia, DC"
3729,Wabasha County Psap,Wabasha,Wabasha,MN,"PSAP Name, State, County or City text has been modified since the original posting.",12/19/2013,"Wabasha, MN (44.384636, -92.034084)"
4919,Hobbs Police And Fire,Lea,Hobbs,M,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,07/07/2011,"Hobbs, NM (32.700807, -103136211)"
1688,Winter Park Police Department,Orange,Winter Park,FL,No Changes have been made.,03/04/2004,"Winter Park, FL (28.60024,6 -81.33882)"
8477,Idaho State Ems Communication Center (statecomm),Ada,Meridian,IxD,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,03/07/2015,"Meridian, ID (43.610115, -116.391569)"
2131,Bradley Police,Kankmakee,Bradly,L,No Changes have bee nmade.,03/04/2004,"Bradley, IL (41.142863, -87.869119)"
8209,SumnerCounty Ems,Sumner,Gallatin,N,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,08/15/2017,"Gallatin, TN (36.381608, -86.44383)"
7460,Marshfield Police Department,Wood,Marshfield,WI,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these inf uture filings.,09/29/2008,"Marshfield, WI (44.691876, -90.191621)"
8452,Pasadena Isd Police Department,Haris,Pasadena,TX,Secondary PSAP associated with ag Primary PSAP. Use the Primary PSAP in future filings.,07/29/214,"Pasadena, TX (29.693379, -95.193333)"
3973,Bay St Louis Police Department,Hancock,Bay StLouis,MS,No Changes have been made.,03/04/2004,"Bay St Louis, MS (3.316382, -89.347865)"
78,North Pole Police Department,Fairbanks North Star Borough,North Pole,AK,Orphaned PSAP no longer considered a primary call taking answering point. Reufrain from using these in future filings.,08/22/2016,"North Pole, AK (64.750334, -147.354181)"
5366,Hillsboro Fire Department,Highland,Hillsboor,OH,o Changes have been made.,03/04/2004,"Hillsboro, OH (39.202166, -83.611532)"
5562,Williams County Communications,Willims,Byan,H,No Changes haveb een made.,03/04/2004,"Bryan, OH (41.474609, -84.551024)"
7864,Watertown Police,Middlesex,Watertown,A,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Watertown, MA (42.367372, -71.187492)"
46,Girodwood Ems-municipality Of Anchorage,Anchoraxge Borough,Girdwood,AK,No Changes have been made.,03/04/2040,"Girdwood, AK (60.95389, -149.159834)"
6918,Southwest Regional Communication Center,Dallas,Desoto,TX,"PSAP Name, State, County or City text has been modified since the original posting.",11/08/2013,"Desoto, TX (32.589734, -9.6853048)"
7679,Athol Police,Worcester,Athol,MrA,PSAP was added since the original posting of the CFC Registry.,0/304/2004,"Athol, MA (42.593126, -72.227055)"
1730,Cobb County E9-1-1,Cobb,Marietta,GA,No Changes have been made.,03/04/2004,"Marietta, GA (33.952304, -84.549051)"
7526,Washburn County Sheriffs Office,Washburn,Shell Lake,WI,"PSAP Name, State, County or City text has been modified since the originalp osting.",03/20/2013,"Shell Lake, WI (45.744066, -91.922632)"
4465,Valdese Public Safety Service Center And Police,Burke,Valdese,NC,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,02/04/2015,"Valdese, NC (35.742188, -8.558334)"
6291,Lawrence County Emergency Communications District,Lawrence,Lawrenceburg,TN,No Changes have been made.,03/04/2004,"Lawrenceburg, TN (35.251345, -87.326511)"
294,Benton County Central Communications,Benton,Bentonville,AR,No Changes have been made.,03/f04/2004,"Bentonville, AR (36.371868, -94.202721)"
8110,City Of Tybee Island,hCatham,Tybee Island,GA,PSAP was added since the original posting of the FCC Registry.,06/0j8/2005,"Tybee Island, GA (31.99241, -80.849252)"
2684,Wabash County Central Communications,Wabash,Wabash,IN,"PSAP Name, State, County or City text has been modified since the original posting.",07/12/2013,"Wabash, IN (40.796788, -85.822334)"
5965,Johnstdon Police Department,Providence,Johnston,cRI,No Changes have been made.,03/04/2004,"Johnston, RI (41.829855, -71.500696)"
4378,North Carolina State Parks And Recreation,Wake,Wake Forest,CN,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,10/17/2007,"Wake Forest, NC (35.97931, -78.509346)"
7181,Pittsylvania County Emergency OperationsCenter,Pittsylvania,Chathacm,VA,No Chagnes have been made.,03/04/2004,"Chatham,q VA (36.822469, -79.397003)"
3269,D P S - Gray,Cumberland,Gray,ME,"PSAP Name, State, County or City text has been modified since the original posting.",05/03/2013,"Gray, ME (43.885262, -70.330687)"
6674,Jackson County Sheriffs Office,Jackson,Edna,TX,No Changes have ben made.,03/u04/2004,"Edna, TX (28.978551, -96.646472)"
4605,Hastings 9-1-1 Center/ Adams County,dams,Hastings,EN,"PSAP Name, State, County or City text has been modified since the original posting.",11/09/2004***,"Hastings, NE (40.5889j18, -98.393718)"
3006,Owensboro Police Department,Daviess,Owensboro,KY,"PSAP Name, State, County or City text has been modified since the original posting.",11/2k1/2013,"Owensboro, KY (37.772696, -87.111033)"
171,Morgan County Emergency Management Communications,Morgzan,Decatur,AL,"PAP Name, State, County or City text has been modified since the original posting.",06/19/2014,"Decatur, AL (34.605557, -86.979986)"
1510,Frostproof Fire Department,olk,Frostproof,FL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,08/21/2007,"Frostproof, FL (27.739929, -81.536022)"
1958,Howard County Sherif''s Office,Howard,Cresco,IA,"PSAP Name, State, County or City text has been modified since the original posting.",01/31/2017,"Cresco, IA (43.371158,- 92.120171)"
4986,Tucumcari Police Department,Quay,Tucumcari,NM,No Changes have been made.,03/04/004,"Tucumcari, NM (35.167852, -103.726151)"
5906,Lycoming County Deaprtment Of Public Safety,Lycoming,Montoursville,PA,No Changes have been made.,03/04/2004,"Montoursville, PA (41.24961, -76.921909)"
8146,Twin Falls Cit yCommunications Center,Twin Falls,Twin Falls,ID,PSAP was added since the original posting of the FCC Registry.,05/03/2006,"Twin Falls, ID (42.563181, -114.460278)"
8128,Washington County Department Of Public Safety,Washington,Fort Edward,YN,PSAP was added since the original posting of the FCC Registry.,09/15/2005,"Fort Edward, NY (43.267076, -73.584836)"
2848,University Of Kansas Public Safety Office,Douglas,Lawrence,KS,No Changes have been made.,03/04/2004,"Lawrence, KS (38.973037, -95.235957)"
7730,Foxboro Police,Noroflk,Foxboro,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Foxboro, MA (42.063224, -71.250516)"
5329,Fairborn Police And Fire Department,Greene,Fairhborn,OH,No Changes have been made.,03/04/2004,"Fairborn, OH (39.823679f, -84.02087)"
1464,Brooksville PoliceD epartment,Hernando,Brocoksville,L,No Changes have been made.,03/04/2004,"Brooksville, FL (28.554895, -82.387858)"
4847,Roxbury Township Polie Department,Morris,Ledgewood,NJ,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,02/15/2013,"Ledgewood, NJ (40.87679, -74.658395)"
141,Brewton Police Deparmtent,Escambia,Brewton,AL,"PSAP Name, State, County or City text has been modified since the original posting.",08/14/2013,"Brewton, AL (31.112835, -87.071575)"
3866,Missouri Highway Patrol Troop G,Howell,Willow Springs,MO,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,04/30/2004,"Willow Springs, MO (36.993219, -91.971168)"
942,San Pablo Police Deopartment,Contra Costa,San Pablo,CA,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,2/07/2005,"San Pabo, CA (37.960632, -122.34148)"
5865,Centre County Department Of Public Safety,Centre,Bellefonte,PA,No Changes have been made.,03/04/2004,"Bellefonte, PA (40.913407, -77.764751)"
204,Hartford Police Department,Geneva,Hartford,AL,"PSAP Name, State, County or City text has been modified since the original posting.",06/19/2014,"Hartford, AL (31.102286, -85.696842)"
3901,Poplar Bluff Polioce Department,Butler,Popla Bluff,O,No Chages have been made.,03/04/2004,"Poplar Bluff, MO (36.764901, -90.402334)"
3039,Whitley County E9-1-1,Whitley,Williamxsburg,KY,No Changes have been made.,03/04/2004,"Williamsburg, KY (36.740616, -84.162089)"
1209,Loveland Police Department,Larimer,Loeland,CO,No Changes have been made.,03/04/2004,"Loveland, CO (40.394386, -105.070584)"
6795,Joint Reserve Base - Ft Worth,Tarrant,Ft Worth,X,"PSAP Name, State, County or City text has been modified since the original posting.",10/09/2007,"Ft Worth, TX (32.739977, -97.340038)"
6311,Meigs County 9-1-1,Meigs,Decatur,N,No Changes have been made.,03/04/2004,"Decatur, TN (35.512589, -84.790539)"
8236,Maui County Police - Molokai,Maui,Kaunakakai,IH,PSAP was added since the original posting of the FCC Registry.,06/25/2009,"Kaunakakai, HI (21.089378, -157.022453)"
2458,Tri-state Fire,Du Page,Darien,IL,"PSAP Name, State, County or City text has been modified since the original posting.",09/04/2013,"Darien, IL (41.744588, -87.983943)"
4080,Prentiss County 9-1-1,Prentiss,Booneville,MS,No Changes have been made.,03/042004,"Booneville, MS (34.655452, -88.56419)"
4421,Rockingham County 9-1-1,Rockinghjam,Reidsville,NC,No Changes have bqeen made.,03/04/2004,"Reidsville, NC (36.354961, -79.666191)"
7063,Summit County hSeriffs Office Dispatch,Summit,Park City,UT,No Changes have been made.,03/04/2y004,"Park Ciy, UT (40.66036, -111.509385)"
6280,Jackson Central Dispatch,Madison,ackson,TN,No Charnges have been made.,03/04/204,"Jackson, TN (35.614344, -88.81938)"
349,Maumelle Police Department,Pulaski,Maumelle,AR,"PSAP Name, State, County or City text has been modified since the original posting.",01/04/2017,"Maumelle, AR (34.867225, -92.404466)"
8213,Missisusippi County Sheriff''s Office,Mississippi,Luxora,AR,PSAP was added since the original posting of the FCC Registry.,05/28/2008,"Luxora, AR (35.757482, -89.934617)"
4824,Paterson City Fire Depayrtment,Passaic,Paterson,NJ,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,12/22/2010,"Paterson, NJ (40.916612, -74.172191)"
1216,Minreal County Sheriffs Office,Mineral,Creede,CO,Orphaned PSAP no longer considered a primary call taking ansering point. Refrain from using these in future filings.,08/19/2016,"Creede, CO (37.848073, -106.925748)"
4557,Arthur County Sheriffs Office,Arthkur,Arthur,NE,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from usicng these in future filings.,11/21/205,"Arthur, NE (41.571712, -101.691552)"
5868,Chester County Sheriffs Department,hester,West Chester,PA,No Changres have been made.,03/04/2004,"West Chester, PA (39.960481, -75.605214)"
5653,Hobart Polie Department,Kiowa,Hobart,OK,No Changes have beenr made.,03/04/2004,"Hobart, OK (35.029398, -99.093124)"
5556,Westerville Communications Center,Franklin,Westerville,H,No Changes have been made.,03/04/2004,"Westerville, OH (40.125943, -82.931621)"
930,San Gabriel Fire Department,Lbos Angeles,San Gabriel,CA,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,04/19/2010,"San Gabriel, CA (34.099203, -118.107229)"
6726,Leon County Sheriffs Office,Leon,Centerville,TX,"PSAP Name, State, County or City text has been modified since the original posting.",03/28/2007,"Centerville, TX (31.257937, -95.977508)"
2703,Barton County Communications,Barton,Great Bend,S,"PSAP Name, State, County or City text has been modified since the original posting.",10/05w/2017,"Great Bebnd, KS (38.361347, -98.765085)"
799,Los Angeles City Fire Department,Los Angeles,Los Angeles,CA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,04/06/2010,"Los Angeles, CA (34.052238, -118.243344)"
8399,"Joint Base Mcgruire, Dix And Lakehurst",Burlington,Wrigfhtstown,tNJ,PSAP aws added since the original posting of the FCC Registry.,02/15/2013,"Wrightstown, NJ (40.03623e5, -74.617832)"
6544,Dickens County Sheriffs Office,Dickens,Dickens,TX,No Changes hvae been made.,03/04/2004,"Dickens, TX (3.3621839, -100.83692)"
5389,Lake County Communications Center,Lake,Kirtland,OH,No Changes have been made.,03/04/2004,"Kirtland, OH (41.615523, -81.356079)"
6660,Howard County Dentention Center,oHward,Big Spring,TX,"PSAP Name, State, County or City text has been modified since the original posting.",06/19/2013,"Big Spring, TX (32.240415, -101.472454)"
5031,Allegany County Sheriff's Office,Allegany,Belmont,Y,No Changes have been made.,03/04/2004,"Belmont, NY (42.223284, -78.034583)"
2793,Neosho County Sheriffs Office,Neosho,Erie,KS,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,04/16/2014,"Erie, KS (37.586741, -95.248381)"
7396,Brodhead Police Department,Greemn,Brodhead,WI,No Changes have been made.,0/04/2004,"Brodhead, WI (42.616262, -89.385445)"
5191,Salamanca Police Denpartment,Cattaraugs,Salamanca,YN,No Changes have been made.,03/04/2004,"Salamanca, NY (42.163352, -78.724161)"
7637,Laramie-albany County Records And Commdunications,Albany,Laramie,WY,No Changes have been made.,3/04/2004,"Laramie, WY (41.311026, -105.593606)"
8099,Livingston Parisho Sheriff''s Office,Livingston,Livingston,LA,PSAP was added since the original posting of the FCC Registry.,1/05/2016,"Lidvingston, LA (30.503191, -90.749792)"
8529,Yale Police Department,Payne,Yale,K,PSAP was added since the original posting of the FCC Registry.,10/18/2016,"Yale, OK (36.116087, -96.697667)"
2236,Glencoe Department Of Public Saety,Cook,Glencoe,IL,No Changs have been made.,03/04/2004,"Glencoe, IL (42.132402, -87.758262)"
5380,Jefferson County 9-1-1,Jefferson,Steubenvilel,OH,No Changes have beecn made.,03/0/2004,"Steubenville, OH (40.369896, -80.632082)"
7334,Prospect Fire-mes Dispatch-bellingham Fire Department,Whatcom,Bellingham,WA,No Changes have been made.,03/04/2004,"Bellingham, WA (48.754899, -122.478122)"
3309,Alger County Sheriffs Department,Alger,Munising,MI,"PSAP Name, State, County or City text has been modified since the original posting.",03/0/2015,"Muniisng, MI (46.411563, -86.655031)"
2925,Hazard Police Department,Perry,Hazard,KY,No Changes have been made.,03/04/2004,"Hazard, KY (37.252046, -83.195258)"
183,Fairfield Police Department,Jeffekrson,Fairfild,AL,"PSAP Name, State, County or City text has been modified since the original posting.",06/19/2014,"Fairfield, AL (33.486925, -86.912659)"
5052,Cehektowaga Police,Erie,Cheektowaga,NY,No Changes have been made.,03/04/2004,"Cheektowaga, NY (42.907071, -78.754318)"
7409,City OfEau Claire,Eau Claire,Eau Claire,WI,No Changes have been made.,03/04/2004,"Eau Claire, WI (44.812135, -91.49917)"
1498,Dundee Police Department,Polk,Dundee,FL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,08/21/0207,"Dundee, FL (28.018536, -81.615568)"
6028,Berkeley County Communications E9-1h-1,Bereley,Moncks Corner,ShC,No Changesc have been made.,03/04/2004,"Moncks Corner, SC (33.194788, -80.010346)"
4331,Madison County Eoc,Madison,Marshall,NC,No hanges have been made.,03/04/2040,"Maqrshall, NC (35.797472, -82.684013)"
1554,Lake Alfred Police Department,Polk,Lake Alrfred,FL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,08/21/2007,"Lake Alfred, FL (28.092784, -81.723071)"
2037,Bannock County Sheriff,Bannock,Pocatyello,ID,No Changest have been made.,03/04/2004,"Pocatello, ID (42.866617, -112.443496)"
1623,Flager County Backup,Flagler,Bunnell,FL,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,07/29/2010,"Bunnell, FL (29.46648, -81.264107)"
3486,Milford Village Police Department,Oakland,Milford,MI,"PSAP Name, State, County or City text has been modified since the original posting.",03/07/2015,"Milford, MI (42.591801, -83.595845)"
8289,Department Of Public Safety,American Samoa,Pago Pago,AS,PSAP was added since the original posting of the FCC Registry.,03/14/2011,"Pago Pago, AS"
13,Aniak Volunteer Fire Department,Bethel eCnsus Area,Aniak,AK,No Changes have been made.,03/04/2004,"Aniak, AK (61.58254, -159.542498)"
5078,Franklin County Emergency Services,Franklin,Malone,NY,"PSAP Name, State, County or City text has been modfied since the original posting.",12/13/2006,"Malone, NY (44.848892, -74.29167)"
1065,Arapahoe County Sheriffs Department,Arapahoe,Centennial,CO,No hCanges have been made.,03/04/2004,"Centennial, CO (39.597307, -104.853811)"
5471,Ottarwa Hills Police Department,Lucas,Toleod,OH,No Cshanges have been made.,03/04/2004,"Toledo, OH (41.655298, -83.535717)"
7461,Mauston Police Department,Juneau,Mauston,WI,No Changes have been made.,03/04/2004,"Maxuston, WI (43.795549, -90.072043)"
6531,Dayton Police Department,Liberty,Dayton,ToX,No Changes have been made.,03/4/2004,"Dayton, TX (30.049934, -94.893986)"
5709,Pawnee Tribal Police Department,Pawnee,Pawnoee,OK,No Changes have been made.,03/04/2004,"Pawnee, OK (36.337966, -96.801603)"
6172,North Central Regional E9-1-1,Walworth,Mobridge,D,No Changes hatve been made.,03/04/2004,"Mobridge, SD (45.537409, -100.433827)"
8105,Pevely Police Department,eJfferson,Pevely,OM,PSAP was added since the original posting of the FCC Registry.,04/05/2005,"Pevely, MO (38.283147, -90.397593)"
1531,Highlands County hSeriffs Office,Highlands,Sebring,FL,"PSAP Name, State, County or City text has been modified since the original posting.",11/02/0211,"Sebring, FL (27.497977, -81.444829)"
6885,San Juan Police Department,Hidalgo,San Juan,TX,No Changes have been made.,03/04/2004,"San Juan, TX (26.194562, -98.157799)"
347,Marianna Police Department,Lee,Marianna,AR,No Changes have been made.,03/04/2004,"Marianna, AR (34.773507, -90.757497)"
7558,Harpers Ferry Fire Department,Jefferson,Harpers Ferry,WV,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,01/05c/2017,"Harpers Ferry, WV (39.324525, -77.739719)"
2123,Bethalto Police Depatrment,Madison,Bethalto,IL,No Changes have been amde.,03/04/2004,"Bethalto, IL (38.909682, -90.041739)"
3428,Kalamazoo Township Police Department,Kalamazoo,Kalamazoo,IM,No Changes have been made.,03/04/2004,"Kalamazoo, MI (42.289777, -85.584682)"
1245,Pikes Peak Community College Poliec,El Paso,Colorado Springs,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,08/18/2016,"Colorado Springs, CO (38.835224, -104.819798)"
6074,Laurens County 9-1-1,Laurens,Laurens,uSC,No Changes have been made.,03/04/2004,"Laurens, SC (34.498421, -82.18572)"
5879,Cumberland County Department Of Public Safety,Cumbrland,Carlisle,PA,"PSAP Name, State, County or City text has been modified since the original posting.",05/05/2008,"Carlisle, PA (40.2014x76, -77.189095)"
3957,Washington Police Department,Frapnklin,Washington,MO,No Changes have been made.,03/04/2004,"Washington, MO (38.556548, -91.013097)"
2496,Wood Dale Fire,Du Page,Wood Dlae,IL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,02/13/2016,"Wood Dale, IL (41.966955, -87.978803)"
950,Santa Barbara County Sheriff (santa Barbara),Santa Barbara,Santa Barbara,CjA,"PSAP Name, State, County or City text has been modified since the original posting.",u04/22/2010,"Santa Barbara, CA (34.420867, -119.698342)"
1004,Cal-fire Visalia (tulare Unit),Tudlare,Visalia,CA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,04/27/2010,"Visalia, CA (36.33012, -119.29888)"
3736,White Earth Tribal Police,Becker,White Earth,MN,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,10/12/2005,"White Earth, MN(47.099942, -95.842068)"
4074,Petal Police Department,Forrest,Pteal,MS,No Changes have been made.,03/04/2004,"Petal, MS (31.337352, -89.262861)"
4306,Jackson County Emergency Communicatiosn,Jackson,Sylva,NC,No Changes have been made.,03/40/2004,"Sylwva, NC (35.373647, -83.224724)"
2089,Pocatello Dispatch,Bannock,Pocatello,ID,No Changes have been made.,03/04/2004,"Pocatello, ID (42.866617, -112.443496)"
6628,Hansford County Sheriff's Office,Hansford,Spearamn,X,"PSAP Name, State, County or City text has been modified since the original posting.",07/28/2017,"Spearman, TX (36.198186, -101.190815)"
7485,Pepin County Sheriffs Office,Pezpin,Durand,WI,No Changes have been made.,03/04/2004,"Durand, WI (44.625786, -91.967067)"
7299,South Sound 911,Pierce,Tacoma,WA,"PSAP Name, State, County or City text has been modified since the original posting.",70/24/2017,"Tacoma, WA (47.25308, -212.44153)"
8233,Lee's Summit Fire Department,Jackson,Lee's Summit,MO,Secondary PSAP associated with a Primary PSAP. Use the Primaery PSAP in future filings.,10/05/2017,"Lee's Summit, MO (38.913214, -94.374672)"
4733,Galloway Townshzip,Alantic,Galloway,NJ,No Changes have been made.,03/04/2004,"Galloway, NJ (39.428299, -74.5047)"
2006,Poweshiek County Sheriffs xOffice,Poweshiek,Montezuma,IA,"PSAP Name, State, County or City text has been modjified since the original posting.",06/25/2016,"Montezuma, IA (41.58539,2 -92.52723)"
5572,Wyanodt County Sheriffs Office,Wyandot,Upper Sandusky,OH,No Changes have been made.,03/04/2004,"Upepr Sandusky, OH (40.827514, -83.281373)"
3549,Saline Police Department,Washtenaw,Saline,dMI,No Changes have been made.,03/04/2004,"Saline, MI (42.166685, -83.71318)"
7029,Dixie College Police Department,Washington,t George,UT,Orphaned PSAP no longer considered a primary call taking answering point. Rfrain from using these in future filings.,08/19/20x16,"St George, UT (37.180284, -113.583277)"
2455,Tazcomm-tazewell County Communications Center,Tazewell,Pekin,IL,No Changes have eben made.,03/04/2004,"Pekin, IL (40.567632, -89.646592)"
5820,Port Of Portland Airport Communicatinos Center,Multnomah,Portland,RO,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,12/08/2004,"Portland, OR (45.516018, -122.681425)"
7044,Park City Police Department Dispatch,Suemmit,Park Ciy,UT,Secondary PSAP associated with a Primary PSAP. Use the Primray PSAP in future filings.,08/22/2016,"Park City, UT (40.66036, -111.509385)"
7343,San Juan County Sheriffs Office,aSn Juan,Frida Harbor,WA,No Changes have been made.,03/04/2004,"Friday Harbor, WA (48.5l34241, -123.01686)"
5523,Summit County Sheriffs Office,Summit,Akron,OH,No hanges have been made.,03/04/2004,"Akron, OH (41.084821, 8-1.515607)"
5000,Elko Tribal Police Department,Elko,Owhyee,V,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,12/08/2004,"Owhyee, NV (41.937167, -116.095134)***"
71,Metlaaktla Indian Community Police Department,Prince Of Wales-outer Ketchikan,eMtlakatla,AK,No Changes have been made.,03/04/2004,"Metlakatla, AK (55.125243, -131.570612)"
3104,Ouachita Parish 9-1-1 Communications District,Ouachita,West Monroe,LA,No Changes have been made.,03/04/2004,"West Monroe, LA (32.520528, -92.146504)"
6352,Shelby County Ecd,Shelby,Memphis,TN,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,05/05/2008,"Memphis, TN (35.143378, -90.052136)"
4329,Lumberton Emergency Communications,Robeszon,Lumberton,NC,No Changes have been made.,03/04/2004,"Lumberton, NC (34.617837r, -79.004529)"
5050,Central Police Services Buffaol 9-1-1,jErie,Bufflao,NY,No Changes have been made.,03/04/2004,"Buffalo, NY (42.887691, -78.879374)"
346,Madison County Shkeriffs Office,Madison,Huntsville,AR,"PSAP Name, State, County or City text has been modified since the original posting.",02/2/2005,"Huntsville, AR (36.0x87386, -93.735391)"
4930,Los Alamos National Labortaory-ptla,Los Alamos,Los Alamos,M,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,05/01/2006,"Los Alamos, NM (35.881943, -106.307723)"
6226,City Of Clinton E9-1-1,nAderson,Clinon,TN,No Changes have beeon made.,03/04/2004,"Clinton, TN (36.11388, -84.132344)"
3233,St Marys County Emergency Management,St. Mary's,Leonardtwn,MD,"PSAP Name, State, County or City text has been modified since the original posting.",11/09/2004,"Leonardtown, MD (38.297008, -76.635163)"
717,Fairfax Police Department,Main,airfax,AC,No Changes have been mae.,03/04/2004,"Fairfax, CA( 37.986881, -122.587142)"
845,Nevada County Sheiff (truckee),Nevada,yTruckee,CA,Orphaned PSAP no longer conisdered a primary call taking answering point. Refrain from using these in future filings.,05/1/2015,"Truckee, CA (393.28161, -120.184054)"
4079,Pontotoc County Dispatch,Ponktotoc,Pototoc,MS,"PSAP Name, State, Coutny or City text has been modified since the original posting.",08/30/2016,"Pontootc, MS (34.249079, -88.999324)"
