X,Y,OBJECTID,ID,LOCAL_ID,ASMNT_DT,ADMIN_ST,ADM_UNIT_CD,RPRN_WTLND_AREA_NM,AREA_ID,NWI_NHD_RCH_CD,ASMNT_APRCH,ACRES,AREA_BREAK_RATIONALE,PTNTL_DESC,ALTR_PTNTL,LENTIC_TYPE,SPRING_TYPE,GEOL_STR_TYPE,PRMRY_LITHOLOGY,DISCHARGE_PERMANENCE,DEV_NOTES,LIVESTOCK_SEASON,COMMENTS,RPRN_WTLND_AREA_SAT,RATIONALE,FLUCTUATE_WTR_LVL_NOT_EXCSVE,RATIONALE_2,RPRN_WTLND_AREA_ENLRGE,RATIONALE_3,WTRSHD_NOT_CONTRIBUTE_DEGRADE,RATIONALE_4,WTR_QLTY_SFCNT,RATIONALE_5,SRFCE_SBSRFCE_FLOW_NOT_ALT,RATIONALE_6,STRCTRE_ACCOMMODATE,RATIONALE_7,DVRSE_AGE_DSTRBN_VEG,RATIONALE_8,DVRSE_CMPSTN_VEG,RATIONALE_9,SPCS_INDCT_MAINT_SOIL,RATIONALE_10,ROOT_WTHSTND_EVENT,RATIONALE_11,RPRN_PLANT_HIGH_VIGOR,RATIONALE_12,VEG_DSPTE_ENERGY,RATIONALE_13,HEAVE_NOT_PRSNT,RATIONALE_14,FVRBL_MICROSITE_CND_MAINT,RATIONALE_15,CHEM_NOT_AFFECT_PLANT,RATIONALE_16,SOIL_SAT_SFCNT,RATIONALE_17,WTR_PERCOLATION_RSTRCT,RATIONALE_18,RPRN_WTLND_AREA_IN_BAL,RATIONALE_19,SHORELINE_CHAR_DSPTE_EVENT,RATIONALE_20,RATE_TREND,RATE_RATIONALE,TREND_MTHD,TREND_RATIONALE,THERMOMETER,PRIORITY,VEG_NOTES,FCTR_PRSNT,FLOW_REGLTN,CHANNELIZATION,DEWATERING,DREDGING,LND_OWN,MINING,ROAD,SPRING_DEV,WTRSHD_CND,OIL_FLD_WTR_DISCH,AGMNT_FLOW,OTHER,FCTR_EXPLN,REPORT,CMLTVE_NOTES,SG_GRS_FRBS,DSTNC_SG_BRSH,CREATE_DATE,MODIFY_DATE,created_date,last_edited_date,GlobalID,SG_GRS_PRSNT,PRFD_FRB_AVLBL
336563.0841,4255837.0486,167,{08E19D38-7117-45E1-8DFA-4CBBC310BA6D},F-046,2019/07/11 00:00:00+00,CO,COS06000,Sloss Spring #2,F-046,,COMPLETE_RECON,3,,helocrene forming wet meadow in valley bottom,helocrene forming wet meadow in valley bottom,SPRING_SEEP,HELOCRENE,,EXTRUSIVE,PERENNIAL,"no development, but several cow paths throughout meadow",Unknown,"insects, cow patties, cow trails, signs of grazing.  spring high up on ridge",YES,"Carex species found below spring head and in pockets throughout drainage, standing/flowing water present in areas throughout valley",YES,no evidence of excessive flooding  or drying,NO,"patches of meadow are dominated by juncus and sagebrush, suggesting there used to be more moisture in the system",YES,"no disturbance apparent up valley, spring near top of ridge",YES,"water quality does not appear to be hindering growth of riparian vegetation, though algae is present in pockets of standing water near spring head",NO,"substantial amounts of trampling and hummocking throughout system, trailing near spring head appears to be chennelizing flow in spots",NA,no structures present,YES,"significant amounts of carex throughout system, many patches of salix with mature and young individuals ",YES,"DAFRF, RIIN2, ROWO, SAGE2, TAOF, ACMI2, POPR, IRMI, PASM, CAUT, TRWO, SAMO2, THDI4, JULO, VEAM2, POTR, unknown dock, unknown vetch",YES,see 1,YES,"riparian area is dominated by carex, salix and juncus",YES,Rationale Not Recorded,YES,about 90% vegetative cover throughout drainage,NA,Not Applicable,YES,healthy patches of salix throughout drainage ,YES,Rationale Not Recorded,YES,see 1,YES/NO,"sections of the system appear dry and have sagebrush in meadows, but water daylights again after about 50 yards",YES,no excessive erosion or deposition present,NA,Not Applicable,FARNA,"some hummocking; livestock trailing; sagebrush encroachment; loss of connectivity",MONITORED,,,MED,"GERI, Potentilla, SINE, DAFR5, CAUT, Salix, JUAR, VIAM, Tickseed, RIBES, SYAS3. Abundant forbs.",,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,,,,,,2021/09/15 16:03:23+00,2022/10/31 14:43:28+00,{76B48E48-C7CD-4123-B7C2-B8C4F1AE35D8},,
335713.1234,4255073.9805,168,{24FC96BF-6B35-4956-B346-5E0F5CA2FC9F},C-174,2019/07/17 00:00:00+00,CO,COS06000,Mineral Spring Hill Spring,C-174,,COMPLETE_RECON,0.7,,Helocrene feeding wet meadow in valley bottom,"pipe daylighting water in small wetted area (10 ft across), full stock tank below (also being fed by pipe in ground",SPRING_SEEP,HELOCRENE,,EXTRUSIVE,INTERMITTENT,"pipe in ground causing water to daylight, metal stock tank",Unknown,"main focus is on small wetted area caused by pipe. cheat grass at pipe, lots of cow pies, mosquitoes ",NO,"no carex or juncus present in wetted area.  dominated by PASM and HOBR2, ",YES,"no apparent signs of flooding or drying, though the vegetation suggests this area may not be consistently this wet",NO,"while wetted area is not dominated by obligate wetland species, suggesting the area is wetter than normal, sagebrush is encroaching around the area, in places that are dominated by JUARL, which indicates those areas were formally wetland",YES,"no obvious signs of disturbance affecting the spring.  some signs of minor erosion on road above spring from recent storms, but no evidence that is reaching this system",NO,"few obligate species present, no carex, and 50-75% of standing water has bright green algae",NO,"no apparent hummocking around spring, no berm present, no channelization, but water is daylighting through a pipe, indicating the subsurface flow is being altered",YES,no headcut or dam affecting flow,NO,"no salix, carex, or juncus in spring area.  spotty individuals of epilobium, and strong presence of HOBR2",NO,"BRTE, HOBR2, PASM, JUARL, LIAQ, EPCI, CIAR4, TROW, DEINI2, POPR, veronica",NO,see 1,NO,"JUARL is present in meadow around spring, but not in wetted area itself. wetted area is dominated by grasses",NO,very few obligate species exist,NO,significant bare ground around 60-75% of wetted area,NA,Not Applicable,NA,"no salix around wetted area, though some exist in meadow above pipe",YES,significant bare ground around pond may be indication that area is unsuitable to growth of vegetation,NO,see 1,YES,"standing water as a result of flow out of pipe, though wetted area is small and water may be percolating back into ground ",YES,no signs of excessive erosion  or deposition ,NA,Not Applicable,FARD,"spring heads trampled; bare ground at spring head; loss of riparian vegetation at spring head",MONITORED,,FAR-LOW,HIGH,"PASM, JUAR. Highly disturbed, very few forbs.",,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,Protect spring,,,,,2021/09/15 16:03:23+00,2022/10/31 14:44:36+00,{57256695-E52C-461D-9CCA-5CDAFF5EE961},,
341450.7089,4248897.3045,169,{A0AF1F71-02E3-4581-A1B0-901060862289},C-225,2019/08/07 00:00:00+00,CO,COS06000,Post Ridge Spring,C-225,,COMPLETE_RECON,0.5,,helocrene in valley bottom,helocrene in valley bottom feeding stock pond,SPRING_SEEP,HELOCRENE,,EXTRUSIVE,PERENNIAL,"small depression with small burm creating shallow stock pond. mine activity 250 meters uphill in Valley bottom, signed as closed and dangerous, other mining activity present in the area ",Unknown,"standing water present, moderate to severe trampling and hummocking throughout system, all veg heavily grazed, pond 25 ft diameter, algea cover 0-25%, oil sheen throughout, aquatic insects, dead sagebrush at perimeter of pond, ",YES,"OBL and FACW riparian veg, standing water, upland species at perimeter of tank dying ",YES,"FAC species dominate the riparian area adjacent to tank, no drying or flooding debris ",YES,"riparian area is enlarging, new sagebrush dying, soil is squishy wet outside of tank <5ft, tank has access to floodplain however no spillway ",NO,"obviously heavy mine activity, unclear whether closed mine 250 meters up hill from tank is contributing to degradation.",YES,OBL and FACW species present,NO,"hummocking, trampling, small berm ",NO,no true spillway present ,YES/NO,"riparian veg is distributed throughout system, however does not appear robust and is clumpy not mat forming across ",YES,"JUARL, THDI4, ACMI2, TRWO, TRLO, HOBR2, SYAS3, DAFRF, CAUT, RIIN2, SECR, ROWO, TAOF, POPR, IRMI, POJU, CAAT3, JULO, salix",YES,see 9,YES,"juncus and carex present, not thick tho ",NO,"all veg is heavily grazed, carex utriculata is yellowing and growing in clumps, juncus brown and trampled, salix is heavily grazed and only 2 ft tall max  ",YES,no excessive bare ground,NA,Not Applicable,NO,no shrubby or large woody canopy cover,NO,"see development notes about mine, unclear whether this is contributing to low vigor of riparian veg or oily sheen in the water ",YES,FACW species through the system,YES,standing water present in pond,YES,"no excessive erosion or deposition, other than moderate to severe hummocking and hoof action trampling in the riparian area ",NA,Not Applicable,PFC,,MONITORED,,PFC-MID,MED,"few OBL species, salix grazed and unable to grow, site dominated by juncus ",,,NO,NO,NO,NO,YES,NO,NO,NO,,,NO,,YES,,,,,,2021/09/15 16:03:23+00,2022/01/11 23:34:32+00,{B0B14202-3AC8-47AC-9EFE-2612505EC4D3},,
339999.5057,4248360.9454,170,{D7BD06FF-8A2F-4AB8-B0A2-4E84E314EF5F},Unmapped Spring,2019/09/05 00:00:00+00,CO,COS06000,Lower Means Unmapped Spring,Lower Means Unmapped Spring,,COMPLETE_RECON,1,,Spring and connected wet meadow,,SPRING_SEEP,HELOCRENE,,EXTRUSIVE,PERENNIAL,Stock pond and old stock tank (disconnected),Unknown,,NO,Some areas with riparian vegetation but wet meadow has been featured due to developments,NA,Rationale Not Recorded,NO,Not enlarging and has not reached potential extent,YES,Rationale Not Recorded,YES,Rationale Not Recorded,NO,Flows have been dramatically altered by spring development,NO,Pipelines are disconnected and leaking,YES,Rationale Not Recorded,YES,But not throughout entire meadow,NO,Generally no,NO,Mostly weedy upland vegetation in meadow,YES,Rationale Not Recorded,NO,Large area of bare ground around trough and high percentage of bare ground in meadow relative to what would be expected,NA,Not Applicable,NA,Rationale Not Recorded,YES,Rationale Not Recorded,YES,In most but not all places,YES,Rationale Not Recorded,NO,erosion evident in meadow due to soil loss. Major hummocking in pond,NA,Not Applicable,FARD,Evident that the meadow is at risk of being lost and continuing current management will contribute,APPARENT,,FAR-LOW,HIGH,"Highly disturbed site. ACMI2, GERI, SYAS3, JUAR, IRMI, POPR, TAOF.",,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,,,,,,2021/09/15 16:03:23+00,2022/10/31 15:11:36+00,{DB43E372-F437-491F-9327-948B0B235A2A},,
340568.1542,4248999.1979,171,{EEE649AC-CF23-4B4E-A12E-EF2733FE97DB},C-327,2019/08/07 00:00:00+00,CO,COS06000,Oyster Spring,C-327,,COMPLETE_RECON,2,,helocrene forming wet meadow in valley bottom,"helocrene for,ingredients wet meadow in valley bottom",SPRING_SEEP,HELOCRENE,,INTRUSIVE,PERENNIAL,"no development in meadow or right around spring head, but road 3163d crosses valley and has pooling water",Unknown,"ground squirrels, flies, mosquitoes,severe hummocking (consistently 12-16 inches tall) throughout meadow at and below spring head, trailing, a lot of IRMI above spring head, humming birds",YES,"standing water near spring head, carex and juncus throughout meadow",YES,"riparian vegetation exists throughout meadow, no signs of excessive flooding or drying",YES,"no apparent encroachment of sagebrush or other upland species, no berm preventing flow of water ",YES,no signs of disturbance up valley,YES,"no signs of vegetation yellowing or dying as a result of poor water quality, but cow patties throughout wetted area and meadow",NO,"severe hummocking throughout meadow at and below spring head. almost no level ground exists, with hummocks consistently 12-18 inches tall. trailing and trampling affecting flow of water throughout meadow.  flow becomes channelized down valley and flows into road.",YES,no berm or development preventing flow of water.  road below meadow has pooling water indicating water is able to flow past it,YES,"young and mature willows exist, though signs of significant grazing are apparent.  mats of carex throughout meadow below spring head, but these also appear to have been extensively grazed. ",YES,"JUEN, PHPR3, CAAT3, JUARL, CACA4, TAOF, IRMI, DAFRF, HOBR2, THDI4, RUDE2, TRWO, SICA3, EPSA, CAUT, ACMI2, SINE3, POPR, POJU, ROWO, JUCO2, POTR, VETE4, 2 species of salix, 2 species of veronica",YES,see 9,YES,"carex, juncus, and salix throughout wetted part of meadow, though grasses and DAFRF dominate area of meadow between wetted areas and sagebrush",NO,75-100% of riparian plants have been grazed,YES,"despite severe trampling, hummocking, and trailing, there is about 0-25% bare ground",NA,Not Applicable,YES,willows have been grazed but maintain enough leaves to provide shade,YES,Rationale Not Recorded,YES,see 1,YES,"obligate species throughout meadow, standing and flowing water from spring head to road",YES,no signs of excessive deposition or erosion aside from hummocking,NA,Not Applicable,FARD,"road crossing in meadow; severe hummocking",MONITORED,,FAR-LOW,HIGH,"GERI, DAFR5, THMO, CAUT, Veronica, VECA, PHPR, POPR, Cadabrosia aquatica. Abundant forbs.",,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,,,,,,2021/09/15 16:03:23+00,2022/10/31 15:07:21+00,{77C1D598-792E-4E02-B0A7-496E6AB778B6},,
336384.9298,4247099.0527,172,{3912767D-56DE-4F26-81A7-24D86A0742C5},D-192,2019/06/24 00:00:00+00,CO,COS06000,Sloss Spring #19 Meadow,D-192 Meadow,,COMPLETE_RECON,2,,"wet meadow in valley bottom/drainage with unknown spring head
",wet meadow in valley bottom with minimally channelized flow,WET_MEADOW,HELOCRENE,,EXTRUSIVE,PERENNIAL,road bisecting wet meadow with culvert allowing flow from channel.  road has pooling water at culvert,Unknown,"cow patties, algae, flies",YES,"most of meadow has standing water, carex species present in and around channel",YES,"no evidence of flooding/riparian vegetation thriving
",NO,"sage brush is present between channel and wet meadow with smaller plants popping up downstream of culvert, patches of BRIN are present in patches in middle of meadow",YES,no evidence of disruption up valley,YES,healthy obligate species present,NO,"road bisecting meadow with culvert to allow flow, headcut with deep pool approx. 50 yards upstream from road",YES,"culvert is facilitating flow of water, but a headcut exists 50 yards upstream from culvert and flow is becoming more incised downstream of culvert",YES,different age classes of salix present in and around meadow.  mature mats of carex also present,YES,"CAAQ,  JUARL, TAOF, TRLO, CAPA52, DAFR6, CANE2, SAGE2, ACMI2, potentilla, lomatium, GETR,  mustard, geranium, THAR2",YES,see 9,YES,see 9,YES,Rationale Not Recorded,YES,90-100% vegetative cover,NA,Not Applicable,YES,Rationale Not Recorded,YES,no signs of chemicals harm to vegetation,YES,see 1,YES,"large meadow with juncus, carex, and Salix present and standing water throughout much of meadow",YES,"no signs of excessive erosion or sedimentation, though headcut is present and channelization is occurring in some places as mentioned above",NA,Not Applicable,FARNA,hummocking and channelization,MONITORED,,FAR-MID,HIGH,"TAOF, JUAR, POPR, DAFR5, IRMI, DECE, CALE. Abundant forbs.",,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,,,,,,2021/09/15 16:03:23+00,2022/10/31 15:29:38+00,{FF0FB835-A8BD-46AA-9A62-0E43B151B779},,
335691.8107,4247090.1777,173,{1A49983C-EBE4-4F3F-94C2-6A51FF1274BD},D-194,2019/06/24 00:00:00+00,CO,COS06000,Upper Stub Spring,D-194,,COMPLETE_RECON,0.1,,rheocrene on forested hill ,rheocrene on forested hill ,SPRING_SEEP,RHEOCRENE,,EXTRUSIVE,PERENNIAL,no known development ,Unknown,"PFC: AB, TD, RM. minor hummocking at spring head. song birds, flying insects, benthic macorinverterbrates, elk deer scat, algea present in water. no known juncus or carex present",YES,"shrubby riparian veg present, flowing water ",YES,"no juncus or carex present, salix present and aquatic species directly saturated in water,  this site is dominated by FAC species ",YES,"upland species encroaching, spring has access to floodplain plane, some erosion and exposed banks ",YES,no know sources of pollution upstream ,YES,"minor-medium amounts of algae present in spring, no significant die off, discoloration or smell",YES,"minor hummocking at spring head, minor channelization and bank erosion down stream from spring head",NA,no known human-made structure ,YES,salix of varying size ,YES,"wild strawberry, ACMI2, DEGL3, VESC2, CACO6, SETR, COSC2, salix, geranium",NO,system outside of wetted spring channel is dominated by FAC and FACU species ,YES,salix present  although grass is the dominant species outside of spring and there is bank erosion ,YES,"riparian species present doesn't look overly grazed, new growth present ",NO,no juncus or carex ,NA,Not Applicable,YES,"large woody, shrubs, ground cover all present. areas of spring discharge are shaded by veg ",YES,no die off or yellowing ,YES,no standing water or access to floodplain  outside of spring system ,YES,Rationale Not Recorded,YES,Rationale Not Recorded,NA,Not Applicable,PFC,minor hummocking at spring.,MONITORED,,PFC-MID,MED,"majority of ground cover is grass. three spring heads present, channels flowing into one channel. salix growing throughout system but no juncus or carex only aquatic species directly in wetted area. spring does not seem to have access to its flood plane because of eroding banks and upland species directly adjacent to channel ",,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,,,,,,2021/09/15 16:03:23+00,2022/01/25 23:18:44+00,{E9AA726C-4B57-4F37-AFDB-0794C57A4115},,
335356.3465,4248820.0374,174,{E7CD6C84-5BBE-4749-94E9-5A3BC0428F71},C-336,2019/07/10 00:00:00+00,CO,COS06000,Sloss Spring #13,C-336,,COMPLETE_RECON,0.5,,helocrene on sagebrush slope in wet meadow riparian system,helocrene feeding stock pond with a functioning spillway feeding a wet meadow system,SPRING_SEEP,HELOCRENE,,EXTRUSIVE,PERENNIAL,"stock pond formed by berm, has spillway effectively releasing water to wet meadow below ",Unknown,"spring head flow to pond, which is 25 ft diameter, 0-25% algea, adjacent to small aspen grove, song birds, terrestrial and aquatic insects, pronghorn horn, cattle, elk, road uphill of spring head 10 ft but does not appear to be influencing negatively",YES,"riparian veg dense and mature, extends beyond the wetted edge of the pond ",YES,no apparent flooding or excessive drying ,NO,"some upland species encroachment, water has access to floodplain via spillway but is ponded on all other sides ",YES,no known causes of degrdation. there is a road close to spring head about 10 feet up hill but does not appear to be negatively influencing the system,YES,riparian veg appears healthy and abundant,NO,"road uphill from spring head (see 4); berm is causing surface water to pool. ",YES,"spillway is actively allowing water to move downhill into meadow, channel not downcutting and is vegetated with rushes and sedges ",YES,dense mat of carex and juncus ,YES,"VESC2, VEAM2, ALAE, HOBR2, TAOF, ACMI2, JULO, POPR, POJU, TRWO, PHOR3, JUARL, PODI2, SINE, ELVI3",YES,"dense and mature cover of juncus and carex extending up beyond standing water, sagebrush is moving into riparian area ",YES,see 9,YES,"diverse composition,  dense, healthy looking ",YES,"no excessive bare ground, there is quite quite a bit of grass but it's mixed in with riparian species ",NA,Not Applicable,YES,"willows present below berm in wet meadow, aspens just outside of pond but do not provide shade to pond ",YES,"no odor, die off, yellowing, other signs of chemicals present ",YES,Rationale Not Recorded,YES,standing water present ,YES,no signs of excessive erosion or deposition ,NA,Not Applicable,PFC,,MONITORED,,,,"TAOF, LUAR3, ACMI2, CAAQ2, JUAR, LUAR3. Abundant forbs.",,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,,,,,,2021/09/15 16:03:23+00,2022/10/31 15:30:37+00,{D9C062E1-73A6-4872-B0A5-B82A59A3F9B3},,
338296.6334,4249183.6404,175,{121CC4C2-D2BF-4E05-9F03-2858918B1973},C-333,2019/08/05 00:00:00+00,CO,COS06000,Sloss Spring #15,C-333,,COMPLETE_RECON,2,,helocrene on hill slope ,"helocrene feeding stock pond and cattle tank on hill slope 
",SPRING_SEEP,HELOCRENE,,EXTRUSIVE,PERENNIAL,"stock pond formed by berm holds standing water. cattle tank fed by pipe holds water, small Creek drains from tank forming small wet meadow. tank and pond are adjacent but it's unclear whether pipe leads from pond to tank or there are two separate spring heads. between both systems there is a gas/ pressure",Unknown,"developed riparian area is on hill slope in an aspen grove, incects, aquatic insects, song birds, evidence of ungulate activity, moderate browsing of willow",YES,"standing and flowing water present, OBL riparian vegetation present ",YES,"site dominated by riparian vegetation, OBL and FACW species ",NO,"system is not enlarging, mild upland species encroachment, stock pond does not have access to spillway, however cattle tank does have access to floodplain and is forming small wet meadow with standing and flowing water ",YES,no known causes of degradation cause by watershed ,YES,"riparian veg has high vigor, no die off or discoloration ",NO,"stock pond impounded by berm, water piped to cattle tank below ground via piping ",NO,"current water level does not have access to spillway, upland veg present in spillway, no erosion or incision  in spillway ",YES,riparian veg is mature and mature forming across meadow ,YES,"THAR2, SALIX, ROWO, JUARL, CAUT, SINE3, POPR, ACMI2, PASM, PODI2, CAAT3, DAFRF, RIIN2, THDI4, JULO, VEAM2, erigeron, epiloibum, thistle",YES,see 9 ,YES,"carex, juncus and salix dominate riparian area",YES,"herbacious riparian veg is healthy and robust, woody veg (salix) has been moderately browsed, appears to only be young age class present in stockpond. larger willows growing downslope from pond ",YES,no bare soil or excessive errosion ,NA,Not Applicable,YES,"shrubby and large woody veg present, aspen does not appear to ever provide canopy cover for stock pond, however cattle tank flows into shady aspen grove ",YES,no known sources of chemicals and no evidence of chemicals affecting spring system,YES,"see 9, multiple age classes ",YES,"standing water in Stock pond, water flowing across surface below tank but only for 20m ",YES,no erosion or deposition ,NA,Not Applicable,PFC,,MONITORED,,,,"POTR5, CAUT, ACMI2, TAOF, Mustard, LUAR3, DAFR5, DECE, Potentilla. Abundant forbs.",,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,,,,,,2021/09/15 16:03:23+00,2022/10/31 15:28:05+00,{E758DF43-4723-4362-A3D3-42F082C11EB1},,
338162.4722,4249430.4607,176,{15EDB787-24F3-430F-9A09-A77D4E3920EA},F-308,2019/08/05 00:00:00+00,CO,COS06000,Blackjack Gulch Spring,F-308,,COMPLETE_RECON,0.5,,helocrene in valley bottom,helocrene in valley bottom,SPRING_SEEP,HELOCRENE,,EXTRUSIVE,PERENNIAL,no development to note,Unknown,"helocrene in Valley bottom daylighting in spotty fashion, small channel with moist soil but no current flow, cheat grass present, beetles, crickets, flies, mosquitos, ",YES,"patches of carex, salix and juncus present, suggesting consistent perennial moisture",YES,no evidence of extreme flooding or drying,NO,some sagebrush growing in meadow adjacent to wetted valley bottom,YES,no signs of disturbance up valley,YES,no sign of dying vegetation as a result of water quality,NO,some mild hoof action and hummocking present (2 to 6 inch hummocks),YES,no berm or development to prevent flow of water down valley,YES,"young and mature salix present, healthy mats of CAUT",YES,"CAUT, COSC2, CASU12, DAFRF, CACA4, ASAG2, POPR, ACMI2, SAGE2, SABO2, CAAT3, HOBR2, THDI4, ranunculus",YES,see 1,YES,"very bottom of valley is dominated by carex, salix, and juncus, but meadow on either side is dominated by grasses and forbs",YES,Rationale Not Recorded,YES,90-100% veg cover,NA,Not Applicable,YES,"numerous mature salix appear healthy, ",YES,no apparent accumulation of chemicals,YES,see 1,NO,"some standing water around multiple spring heads, but area down valley is dry with no obligate species.  water throughout spring area daylights, returns underground, and daylights again in a spotty fashion",YES,"very minor channelization in spots, no excessive sedimentation apparent",NA,Not Applicable,PFC,,MONITORED,,,,"THMO, GERI, TAOF, Potentilla, LILE, Salix, DAFR5, ACMI2. Abundant forbs.",,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,,,,,,2021/09/15 16:03:23+00,2022/10/31 15:26:47+00,{93BA93E2-5AF2-4E5A-A3DA-14A0B8ED78AD},,
337944.083,4249733.7818,177,{EC10C339-C9B0-4454-B28B-07400ADBFA76},C-334,2019/08/05 00:00:00+00,CO,COS06000,Sloss Spring #15,C-334,,COMPLETE_RECON,0.25,,helocrene in valley bottom,helocrene feeding large stock pond (50 ft across),SPRING_SEEP,HELOCRENE,,EXTRUSIVE,PERENNIAL,"large stock pond (50 ft across), dry spillway/drainage ditch out of pond with burm separating gully from valley bottom",Unknown,"spring head outside of stock pond; cheat grass, flies, dragonflies, damselflies, water striders, hummingbirds, snakes",YES,"at least 1.5 feet of water in middle of pond, carex, salix, juncus present",YES,no signs of excessive flooding or drying ,NO,"large berm preventing natural flow of water, sagebrush encroaching all around pond, on berm, and in ditch below pond",YES,no signs of disturbance up valley,YES,no signs of dying riparian vegetation  as a result of water quality.  75-100% of pond covered with duckweed,NO,"berm and ditch below pond prevent natural flow of water, erosion occurring on bank of pond, minor hoof action/hummocking apparent",NO,"it appears a spillway exists and formerly flowed into ditch, but both are dry. ditch has significant sagebrush encroachment",YES,"young and mature salix present, significant mats of carex in pond",YES,"LEMI3, JUARL, CAUT, EPSA, SINE3, ELPA3, ALPR3, ACMI2, ASAG2, GEMAP, POPR, SAGE2, SABO2, TRWO",YES,see 1,YES,"spring head and pond dominated by carex, significant amount of salix around and below pond, but burm and area surrounding pond are dominated by upland species",YES,Rationale Not Recorded,YES,90-100% veg cover ,NA,Not Applicable,YES,willows present on 60% of bank and below,YES,"no oily sheen or other signs of chemicals present, no sign of riparian vegetation being hindered ",YES,see 1,YES,stock pond has at least 1.5 ft of standing water,YES,no excessive erosion or deposition apparent,NA,Not Applicable,PFC,,MONITORED,,,,"SINE, CAUT, CAAQ, Salix.",,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,,,,,,2021/09/15 16:03:23+00,2022/10/31 15:19:49+00,{278A3E89-7B48-4553-BD9F-14DD34D492C6},,
337837.7252,4249667.3075,178,{BC95C348-0A49-48D9-AAC8-022EA56DF309},C-332,2019/08/05 00:00:00+00,CO,COS06000,Wing Ding Spring meadow,C-332 Meadow,,COMPLETE_RECON,1,,wet meadow in mixed conifer/ aspen forest ,wet meadow in mixed conifer/ aspen forest ,WET_MEADOW,HELOCRENE,,EXTRUSIVE,INTERMITTENT,no known development ,Unknown,"wet meadow consists of FAC and FACW species mostly, the ground is spongy saturated but no daylighting water was found. heavy rains over the last 3 days could contribute to moist soils. no upland species in meadow sagebrush abuts valley bottom, but remains on upland hills. ",YES,"sedge present. no standing water tho, ground moist could be from recent heavy rain. veg shows signs of drying out  ",YES,"no evidence of flooding or significant drying, though meadow shows slight signs of drying, no erosion or deposition. site dominated by FAC species ",YES,"no upland species encroaching, wet meadow is wide across entire valley bottom, has access to floodplane and spreading out across surface ",YES,no known causes of degradation cause by uplands ,YES,Rationale Not Recorded,YES,"no known human alterations of meadow 
",NA,no structures ,YES,"veg is mature and fully covers the ground , shrubby veg and ground cover dominate the site, veg shows slight signs of drying ",YES,"ALPR3, SINE3, DAFRF, POPR, ARAN7, VETE4, CAUT, JUARL, HOBR2, CAAT3, Thistle, salix, COSC2, ACMI2, SICA3, ARLO6, AGID, JUME3",YES,"OBL, FACW, and FAC species present, no upland species ",YES,site dominated by riparian veg ,YES,"veg appears robust, although signs of drying are apparent ",YES,"no exposed soil, erosion or deposition,",NA,Not Applicable,YES,shrubby veg present ,YES," no die off no known sources of chemicals in meadow, no obvious plants effected by chemicals",YES,see 9,YES/NO,"soil is moist, riparian veg present, however recent precipitation could have contributed to wet soil and there is no water daylighting or flowing on the surface ",YES,Rationale Not Recorded,NA,Not Applicable,PFC,,MONITORED,,,,"Site dominated by FAC species, only a few FACW and OBL species. DAFR5, VECA, GERI, ACMI2, Salix, JUAR, Carex. Abundant forbs.",,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,,,,,,2021/09/15 16:03:23+00,2022/10/31 15:25:28+00,{97BE4FE1-FB81-44FC-A6B0-7E83A75CEFA6},,
