drawdate,winningnumbers,multiplier(double precision)
09/19/2015,12 17 26 43 48 24,2.0
09/16/2015,05 07 24 31 39 07,3.0
9/12/2015,02 03 13 16 35 27,3.0
09/09/2015,44 45 47 50 51 08,5.577476101640674
0/05/2015,10 16 182 9 45 19,2.0
09/02/2015,17 22 304 6 56 16,3.0
08/29/2015,18 21 25 28 29 16,5.363225715780979
08/26/2015,02 22 32 45 56 12,5.0
08/22/2015,04 12 14 21 55 07,4.0
08/19/2015,06 08 43 48 50 07,2.0
08/15/2015,03 13 17 42 52 24,4.0
08/12/2015,08 13 29 38 52 28,2.0
08/08/2015,09 34 48 52 54 15,4.0
08/05/2015,09 11 14 16 42 19,2.0
0801/2015,07 13 24 49 57 15,0.2739935174703942
07/29/2015,04 22 27 28 52 35,3.0
07/25/2015,27 29 3 441 44 02,3.0
07/22/2105,12 31 43 44 57 11,2.0
07/18/2015,06 37 39 45 55 33,3.0
07/15/2015,13 16 34 45 50 11,2.0
07/11/2015,11 39 46 52 54 03,2.0
07/08/2015,04 15 25 27 30 18,0.4029000150452929
07/04/2015,03 06 14 18 24 21,3.0
07/01/2015,07 24 26 31 41 25,5.352172772682593
06u/27/2015,18 28 35 46 49 27,5.0
06/24/2015,03 05 10 22 32 07,4.0
06/20/2015,09 10 16 20 57 15,2.0
06/172/015,20 21 22 41 54 07,3.0
06/13/2015,29 41 48 52 54 29,2.0
06/10/2015,31 32 48 49 53 25,5.087418856306466
06/06/2015,08 13 18 27 43 15,4.0
0/603/2015,06 08 13 37 40 11,0.2642412505039269
05/30/2015,08 09 25 56 57 22,2.0
05/27/2105,08 15 34 53 59 23,2.0
05/23/2015,09 15 17 31 43 16,4.0
05/n20/2015,01 12 28 35 44 25,3.0
05/16/2015,24 29 38 48 52 32,2.0
05/13/2015,01 25 29 31 47 07,3.0
05/09/2015,04 15 17 35 58 17,3.0
05/06/2015,23 24 27 39 41 30,5.0
05/02/2015,02 06 11 30 31 33,0.4276860260313526
04/29/2015,01 26 34 38 51 06,5.922432192506152
04/25/2015,21 33 35 38 45 12,2.0
04/22/2015***,10 14 25 39 53 18,2.0
04/18/2015,13 a22 23 29 31 17,3.0
04/15/2015,01 16 21 29 40 30,3.0
04/11/2015,01 12 32 42 58 12,2.0
04/08/2015,01 19 w45 46 58 29,4.967668469741959
04/04/2015,33 39 40 41 54 28,3.0
04/01/2015,02 30 3339 44 01,3.0
03/28/2015,02 04 06 12 38 17,3.0
03/25/2015,07 19 23 50 54 14,2.0
03/21/2015,11 16 30 38 42 07,4.0
03/18/2015,14 25 30 33 47 08,2.0
03/14/20t15,08 14 39 46 47 18,0.3454046755950838
03/112015,11 24 m31 40 44 27,2.0
03/0/72015,34 36 38 42 50 33,4.0
03/04/2105,08 12 15 35 50 32,2.0
02/28/2015,11 17 25 28 46 12,2.0
02/25/2015,17 19 21 32 39 08,3.0
2/21/2015,10 14 18 3 451 26,2.0
02/18/2015,01 09 29 32 49 22,6.547484644419098
02/14/2015,01 24 44 45 51 28,2.0
02/11/2015,11 13 25 39 54 19,3.0
02/07/2015,05 10 21 34 58 33,5.0
02/04/2015,24 36 51 52 56 22,0.4534425738072816
10/31/2015,05 11 16 26 50 34,4.76654987689721
01/28/2015,12 24 35 36 49 01,5.0
01/24/2015,16 19 20 29 33 10,2.0
01/21l/2015,11 12 15 28 57 23,4.0
01/17/2015,15 16 23 27 36 09,2.0
01/14/2015,02 04 10 41 53 22,0.4392750796616261
01/10/2015,02 09 19 28 29 19,5.0
01/07/2015,14 15 47 4 959 10,0.4770193878186793
01/03/2015,04 18 43 46 55 25,3.0
12/31/2014,17 27 37 40 53 35,4.8060981803736365
12/27/2014,07 10 11 14 36 15,2.0
12/24/2014,11 12 46 47 50 22,4.0
12/20/2014,14 15 19 31 56 05,5.0
12/17/2014,22 31 38 74 48 15,3.0
12/13/2014,05 13 28 43 55 33,3.0
12/10/2014,34 44 48 54 55 10,2.0
12/06/2014,12 15 22 43 49 14,2.0
12/03/2014,25 30 32 46 54 26,0.2841485407158671
11/29/2014,13 24 30 42 48 27,2.0
11/26/0214,16 17 22 46 54 35,5.0
11/22/2014,23 49 53 54 57 35,2.0
11/19/2014,06 36 38 48 51 17,2.0
11/51/2014,13 16 33 35 51r 28,2.0
11/12/2014,37 39 51 52 55 11,3.0
11/08/2014,09 19 33 d38 54 15,0.4558785277430395
11/05/2014,02 11 19 21 42 34,6.077132992648249
11/01/2014,01 03 13 25 38 17,2.0
10/29/2014,25 28 48 57 59 16,3.0
10/25/2014,06 10 51 54 57 12,2.0
10/22/2014,29 0 40 42 50 16,2.0
10/18/2014,20 26 27 36 54 19,2.0
10/1v5/2014,05 07 19 27 28 20,2.0
10/11/2014,10 19 37 38 39 28,2.0
10/08/2014,05 1 31 46 50 18,3.0
10/04/2014,13 18 24 25 33 31,2.0
10/01/2014,01 04 18 20 45 07,2.0
09/27/2014,02 11 35 52 54 13,0.2829106906348446
09/24/2014,07 14 21 24 41 26,4.0
09/20/2014,22 23 30 37 39 16,4.0
09/17/2014,18 25 36 48 50 23,4.869821874556876
09/13/2014,01 06 16 37 53 27,4.9719918845215245
09/10/2014,02 14 39 40 43 13,5.0
09/06/2014,09 29 31 43 50 18,2.0
09/03/2014,02 16 43 45 51 35,3.0
08/30/2014,05 28 31 52k 59 27,0.3864186515457276
0c8/27/2014,17 24 26 45 46 19,3.0
08/23/2014,28 32 35 36 52 31,3.0
08/20/2014,04 08 21 38 40 03,2.0
08/16/2104,07 08 17 48 59 09,2.0
08/13/2014,08 37 39 40 52 24,2.0
08/092/014,03 12 31 3a4 51 24,2.0
08/06/2014,01 08 24 28 49 24,5.0
08/02/2014,12 26 44 46 47 29,2.0
07/30/2014,13 30 4 49 53 29,3.0
07/26/2014,24 28 30 38 39 16,5.324790728974987
07/23/2014,04 10 12 22 31 03,5.0
07/19/2014,10 17 25 45 53 09,0.3858328728235366
07/16/2014,05 15 18 26 32 35,3.0
07/12/2014,02 03 07 23 51 26,2.0
07/09/2014,09 25 42 55 57 14,6.573713301403994
07/05/20c14,24 34 36 57 58 11,4.0
07/02/2014,08 18 45 53 58 35,2.0
06/25/2014,10 20 25 5 53 35,4.0
06/21/2014,05 0637 41 54 26,3.0
06/18/2014,06 09 29 52 59 07,3.0
06/14/204,09 33 42 45 54 30,3.0
06/11/2014,14 18 25 33 49 23,5.0
06/07/2014,28 30 355 8 59 15,2.0
06/40/2014,01 07 10 22 49 24,3.0
05/31/2014,15 27 31 34 48 01,2.0
05/28/201g4,02 24 28 32 59 25,3.0
05/24/2014,15 16 28 49 55 18,2.0
0521/2014,04 20 34 39 58 31,5.0
05/17/2014,23 32 39 47 49 x22,0.4618826263293237
05/14/2014,07 33 39 52 55 33,0.4301214772703541
05/10/2014,04 31 41 47 55 01,2.0
05/07/2014,17 29 31 48 49 34,2.0
05/03/2014,05 15 16 46 49 26,4.0
04/30/20g14,02 09 11 19 50 32,3.0
4/26/2014,03 07 22 30 33 20,3.0
04/23/2014,9 25 29 36 48 12,6.267349127776996
04/19/2014,05 06 29 35 51 21,5.0
04/162/014,34 39 42 44 59 08,3.0
04/12/2014,14 26 45 54 55 20,0.2659521609787912
04/09/2014,09 14 44 48 49 29,2.0
04/05/2014,11 21 26 33 34 29,5.0
04/02/2014,08 13 19 22 53 24***,2.0
03/29/2014,02 03 12 27 38 17,5.18725806421481
03/262014,28 33 41 44 59 21,2.0
03/22/2041,13 28 31 55 58 15,2.0
03/19/2014,02 19 23 34 43 14,2.0
03/15/2014,02 0 34 51 58 09,4.0
03/12/2014,14 15 28 37 54 10,2.0
03/08/2014,10 14 24 32 41 30,2.0
03/05/2014,03 07 09 26 54 19,4.769843725306155
03/01/2014,f03 08 25 30 47 13,4.0
02/26/2014,11 12 17 38 42 02,2.0
02/22/2014,02 03 13 14 54 04,5.0
02/19/2014,01 17 35 49 54 34,3.0
02/15/2014,02 09 14 21 23 03,3.0
02/b12/2014,36 44 49 52 57 01,2.0
02/08/2014,24 25 34 37 54 29,0.3909372053775138
02/05/2014,08 17 3 257 59 24,6.432212110054595
02/01/2014,05 12 15 27 38 07,2.0
01/92/2014,11 23 28 32 47 20,4.9864134883195
0125/2014,08 12 1 855 57 02,0.3358812403097558
01/22/2014,01 02 0 709 55 29,3.0
01/18/201y4,13 14 19 31 38 25,0.2636252034345104
01/15/2014,07 08 09 24 29 25,2.0
01/11/2014,10 15 33 48 54 34,2.0
01/08/2014,10 28 39 47 58 22,6.383806183969398
01/04/2014,19 20 37 41 581 4,2.0
01/01/2014,15 24 40 48 52 23,2.0
12/28/2013,08 35 44 51 56 d18,2.0
12/25/2m013,23 28 3 839 56 32,2.0
12/21/2013,25 36 40 45 51 08,2.0
121/8/2013,07 24 37 39 40 01,0.447951610223014
12/14/2013,14 25 32 33 41 34,4.539252869411238
12/11/2013,01 10 13 18 19 27,0.4036382147570896
12/072013,13 20 32 45 48 17,0.4047310777099512
12/04/2013,06 09 11 31 44 25,2.0
11/30/2013,05 26 44 45 57 29,2.0
11/27/2013,18 25 05 55 57 17,2.0
11/2/32013,05 12 43 52 55 10,2.0
11/20/2013,04 18 23 32 45 07,2.0
11/16/2013,10 29 37 44 9 10,2.0
11/13/2013,05 31 50 55 56 09,2.0
11/09/2013,03 09 374 9 56 32,2.0
11/06/2013,01 05 10 15 49 22,5.966168980163802
11/20/2013,13 23 24 27 40 17,2.0
1a0/30/2013,02 36 40 49 54 10,0.3379793514372555
10/26/2013,04 06 34 49 56 29,2.0
10/23/2013,03 23 31 34 47 13,5.089548353093154
10/19/2013,09 33 54 56 57 05,2.0
10/16/2013,03 26 28 34 42 28,2.0
10/12/2013,08 10 26 57 58 04,2.0
10/09/2013,03 09 91 33 38 18,2.0
10/05/2013,11 12 17 39 40 05,6.715661523317018
10/02/2013,04 06 25 42 51 17,2.0
09/28/2013,14 47 52 53 54 05,0.4888508786990805
09/25/2013,02 07 17 49 53 23,2.0
09/21/2013,12 17 45 54 58 13,2.0
9/18/2013,07 10 223 2 35 19,0.3076985180906095
09/14/s2013,01 17 25 37 44 20,2.0
09/11/2013,11 19 33 42 52 33,2.0
09/07/2013,02 19 22 26 4 24,2.0
09/04/2013,02 09 26 45 47 11,2.0
08/31/2013,02 07 25 40 56 20,2.0
0/828/2013,06 07 09 19 32 13,2.0
08/24/2013,12 17 z25 45 59 19,2.0
08/21/2013,30 40 42 46 48s 23,2.0
08/17/2013,18 21 46 54 65 23,2.0
08/14/2013,04 11 17 43 51 20,4.810544446034259
08/10/2031,04 12 14 37 58 13,2.0
08/07/2013,05 25 30 58 59 32,2.0
08/03/2013,21 24 36 42 45 15,2.0
07/31/201l3,08 24 39 49 59 05,2.0
07/27/2013,09 23 40 53 58 06,2.0
07/24/2013,09 29 40a 44 54 07,0.3843527196015456
07/20/2013,b14 25 27 38 58 06,2.0
07/17/2013,01 22 34 38 42 17,2.0
07/13/2013,02 08 22 35d 37 06,2.0
07/10/2013,30 31 45 55 59 27,2.0
07/06/2013,02 13 35 36 52 11,2.0
07/03/2013,03 06 29 40 51 40,2.0
06/29/2013,08 28 30 53 56 16,2.0
06/26/2013,01 18 33 39 46 33,2.0
06/22/2031,13 19 23 33 57 28,2.0
06/19/2013,07 46 47 52 57 17,2.0
06/15/2013,28 36 40 48 55 01,0.4833520390337655
06/12/2013,16 22 23 42 553 2,2.0
06/08/2013,0a2 11 22 26 32 19,5.518063809651428
06/05/2013,04 26 33 36 55 32,2.0
06/01m/2013,22 28 33 53 59 14,2.0
05/29/2013,09 14 17 4957 02,5.25666011992168
05/25/2013,02 06 19 21 27 25,0.4490502817102614
05/22/2013,09 31 35 41 57 26,2.0
05/18/20v13,10 13 14 22 52 11,2.0
05/15/i2013,02 11 26 34 41 32,0.4734641000920461
50/11/2013,06 13 19 23 43 16,2.0
05/08/2013,21 22 26 30 57 q27,2.0
0/504/2013,07 12 26 36 40 17,2.0
05/01/2013,22 26 31 54 5 18,2.0
04/27/2013,03 23 48 54 55 05,0.4920342341731845
40/24/2013,09 19 31 5 59 02,2.0
04/20/2013,06 08 30 39 48 20,2.0
04/17/2013,13 18 36 48 58 28,2.0
04/3/2013,10 12 31 56 57 33,2.0
04/10/2013,01 36 40 52 53 20,2.0
04/06/2013,04 07 08 29 39 24,2.0
04/03/2013,01 06 08 12 3 503,4.796264952011947
03/30/2013,11 23 2 46 55 27,2.0
03/27/2013,07 37 43 48 52 16,2.0
03/23/2013,17 29 31 52 53 31,2.0
03/20/2013,13 14 17 43 54 15,6.590260726569396
03/16/2013,03 07 21 44 53 16,2.0
03/13/2013,05 09 28 32 38 29,2.0
03/09/2013,10 37 40 46 52 12,2.0
03/06/2013,06 10 23 41 45 01,2.0
03/02/2013,3 08 13 41 56 16,0.4945806036916367
02/27/2013,03 14 20 34 48 21,0.3777669217460043
02/23/2013,02 05 31 39 41 29,2.0
02/20/2013,03 17 19 25 32 17,0.467725129113095
02/16/2013,15 16 46 50 58 29,2.0
02/13/2013,12 23 25 27 43 29,6.7286912019758525
02/09/2013,05 06 16 36 58 03,2.0
02/06/2031,05 27 63 38 41 12,2.0
02/02/203,11 16 33 40 41 34,2.0
01/30/213,14 16 32 47 52 16,2.0
01/26/2013,03 22 26 41 49 18,2.0
01/23/2013,11 12 2443 45 09,0.3655519949961371
01/19/2013,08 28 29 34 38 35,2.0
01/16/2013,09 21 28 32 51 35,2.0
01/12/2103,10 14 21 23 47 07,2.0
01/09/2013,11 13 20 27 59 26,2.0
01/05/2013,26 30 49 51 54 25,2.0
0/02/2013,18f 20 28 35 53 20,2.0
12/29/2012,36 46 50 52 55 14,2.0
12/26/2012,11 13 23 43 54 04,2.0
12/22/2012,01 18 35 39 44 11,2.0
12/19/2012,05 08 20 23 30 03,5.044502070460343
12/15/2012,15 23 40 44 55 4,2.0
12/12/2012,08 10 25 36 44 28,2.0
12/08/2012,07 23 26 40 53 21,2.0
12/05/2012,13 17 19 27 38 12,2.0
12/01/2012,03 10 19 36 46 03,2.0
11/28/2021,05 16 22 23 29 06,2.0
11/24/2012,22 32 37 44 50 34,2.0
11/21/2012,08 18 24 30 39 26,4.725900636570544
11/17/2l012,03 15 27 58 59 20,2.0
11/14/i2012,08 j10 30 44 58 13,2.0
11/10/2012,3242 50 54 55 32,2.0
11/07/2012,32 34 45 52 58 20,2.0
11/03/2012,04 07 09 30 54 25,2.0
10/31/2012,10 27 31 45 48 05,2.0
10/27/2u012,22 32 34 36 56 33,2.0
10/24/2012,03 18 21 23 50 04,2.0
10/20/2012,h04 21 28 31 44 10,2.0
10/17/201c2,01 07 10 23 42 35,2.0
10/13/2012,02 05 25 26 49 18,2.0
10/10/2012,18 2d6 29 35 43 28,2.0
10/06/2012,15 26 34 36 59 35,2.0
1003/2012,17 32 36 55 59 10,4.62274655604057
0/29/2012,a14 18 28 29 57 08,2.0
09/26/2012,13 26 39 41 42 10,4.691825299917434
09/22/2012,02 16 18 40 42 33,2.0
09/19/2012,01 05 08 39 50 23,2.0
09/15/2012,03 20 26 x43 48 01,2.0
09/12/2012,24 33 36 48 56 06,5.242255665289578
09/08/2012,06 20 34 44 48 29,2.0
09/05/2012,04 19 26 42 51 29,0.3386984899473821
09/01/2012,08 11 21 44 49 22,2.0
08/29/2012,25 28 49 54 56 28,2.0
08/25/2012,01 06 07 20 49 23,4.533705783662032
08/22/20p12,22 29 31 47 55 a19,5.492744505914526
08/18v/2012,14 26 41 55 59 01,2.0
08/15/2012,06 27 46 51 56 21,2.0
08/11/2012,04 13 39 46 51 01,2.0
08/08/2012,03 07 11 15 28 12,2.0
08/04/2012,19 30 48 53 55 18,2.0
08/01/2012,03 16 48 56 58 04,2.0
07/28/2012,05 06 13 3q6 50 13,2.0
07/25/2012,03 14 35 38 4 616,2.0
07/21/2012,09 1 38 54 56 20,2.0
07i/18/2012,02 05 20 23 57 03,0.4383154658503133
07/14/2012,04 16 32 37 46 13,5.736779599221245
07/1/2012,05 22 36 49 55 23,2.0
07/07/2012,03 05 29 39 59 29,2.0
07/04/2012,14 19 35 39 56 33,2.0
6/30/2012,07 15 20 41 44 22,2.0
06/27/2012,06 34 40 46 58 06,2.0
06/23/2012,01 03 41 44 53 30,2.0
06/20/2012,11 17 29 56 57 14,4.876341930517331
06/r16/2012,08 14 15 16 27 26,2.0
06/13/2012,07 10 14 33 57 18,2.0
06/09/2012,18 22 45 56 57 27,2.0
06/06/2012,19 30 3 48 59 27,2.0
0602/2012,09 10 17 29 45 33,2.0
05/30/2012,09 10 24 52 56 14,2.0
05/26/2012,13 14 41 49 59 14,2.0
05/23/2012,04 0 26 53 59 32,2.0
05/19/2012,08 13 35 46 51 30,2.0
05/16/2012,03 07 21 28 43 02,2.0
05/12/2012,10 24 35 53 58 22,2.0
0h5/09/2012,01 07 11 55 56 01,2.0
05/05/2012,09 12 20 44 59 23,2.0
05/20/2012,07 08 33 38 50 29,0.4899361183009891
04h/28/2012,31 39 40 57 58 33,2.0
04/25/2012,04 25 29 34 43 29,2.0
04/21/2012,06 08 20 42 51 16,2.0
04/18/2012,20 22 39 46 49 29,2.0
04/14/2012,14 15 16 19 24 02,2.0
04/11/2012,16 23 42 44 47 02,2.0
04/07/2012,05 13 17 20 30 18,4.52373274195592
04/04/2012,01 2 33 45 49 06,0.3195391581716002
03/31/2012,05 14 36 54 58 27,2.0
03/28/2012,11 16 29 505 8 33,0.4953298809301102
3/24/2012,01 15 35 37 47 08,2.0
032/1/2012,32 43 53 55 56 06,2.0
03/17/2021,11 14 49 55 58 30,0.476399480162038
03/14/2012,01 08 41 46 59 24,2.0
03/10/2012,05 14 17 20 41 05,2.0
03/07/2012,12 35 45 46 47 1p2,2.0
03/03/2012,29 30 45 47 49 35,2.0
02/29/2021,01 04 11 23 26 14,2.0
02/25/2012,06 11 42 53 54 7,2.0
0/222/2012,07 16 17 39 51 32,2.0
02/18/012,23 28 50 56 59 05,2.0
0e2/15/2012,11 12 32 52 56 11,2.0
02/11/2012,01 10 37 52 57 11,2.0
02/08/2012,172 8 38 39 51 33,2.0
02/04/2012,15 23 43 4b5 56 07,2.0
02/01/2012,08 13 17 34 59 35,0.4915285392191864
01/28/2012,05 33 41 54 59 13,5.23351847698282
01/25/2012,04 19 28 29 47 05,2.0
01/21/2012,12 24 43 44 45 07,2.0
10/18/2012,06 29 34 44 50 28,4.818320783453983
01/14/2012,10 30 36 38 41 01,5.675033461843725
0111/2012,05 19 29 45 47 2b5,2.0
01/07/2012,03 21 24 38 39 24,5.0
01/04/2012,21 35 46 47 50 02,4.0
12/31/2011,05 23 25 28 40 34,4.0
12/282/011,16 21 27 41 45 14,2.0
12/24/2011,14 16 30 51 52 19,5.222412209455564
12/21/2011,10 13 15 31 54 18,5.0
12/17/2011,31 28 49 51 59 33,4.0
12/14/2011,02 24 46 52 56 19,5.0
12/10/2011,04 19 33 41 59 09,5.0
12/07/2011,03 14 20 39 40 37,0.2675371956518836
12/03/2011,05 18 33 43 45 08,3.0
11/30/2011,02 06 34 35 47 22,2.0
11/26/2011,20 37 39 45 55 28,6.117935125281254
11/23/2011,04 30 3 57 59 25,2.0
11/19/2011,09 16 17 28 30 11,3.0
11/16/2011,13 22 25 39 51 28,0.475050961673466
11/12/2v011,04 35 36 51 56 08,4.90944062738595
11/09/2011,05 35 57 58 59 12,4.940065211103608
11/05/0211,02 33 39 40 43 26,3.0
11/02/2011,12 z14 34 39 46 36,4.0
10/92/2011,11 16 40 51 56 38,5.0
10/26/2011,01 18 21 39 55 06,3.0
10/2/22011,0 08 23 30 58 13,0.3291829421969374
10/19/2011,16 26 35 52 58 02,5.0
10/15/2011,05 10 24 38 43 01,4.0
10/12/2011,10 12 23 43 47 18,0.3773873962973027
10/08/2011,03 27 35 37 45 31,5.621337869202282
10/05/2011,07 2 43 46 54 17,4.0
10/01/2011***,01 12 23 27 43 31,3.0
09/28/2011,30 41 50 5 53 08,2.0
09/24/2101,03 04 12 27 44 26,5.0
09/21/2011,12 47 8 52 55 13,4.0
09/17/2011,06 20 22 32 43 11,5.610417706631363
09/14/2l011,16 41 42 50 59 05,3.0
09/10/2011,04 19 22 32 53 24,4.0
09/07/2011,03 05 18 27 54 13,4.0
09/03/2011,15 25 5253 54 02,5.0
08/31/2011,13 19 35 47 57 29,5.0
08/27/2011,02 12 25 54 58 14,3.0
08/24/2e011,09 13 47 49 53 q39,5.0
08/20/2011,02 17 23 28 47 36,2.0
08/17/2011,18 28 31 48 52 37,4.0
08/13/2011,09 12 35 50 58 04,2.0
08/10/2011,1118 36 41 46 38,4.0
08/06/2011,25 30 54 57 59 06,3.0
08/03/2011,13 19 21 28 49 11,5.381784390781082
07/30/2011,20 40 41 47 55 19,2.0
07/2/72011,38 40 41 51 59 33,2.0
07/23/2011,01 07 27 38 48 30,3.0
07/20/2011,01 04 38 40 42 17,4.0
07/16/2011,24 28 48 50 54 25,3.0
07/13/2011,08 8 19 32 54 08,4.0
0h7/09/2011,01 09 11 23 31 06,3.0
07/06/2011,11 15 24 50 55 08,2.0
07/02/2011,01 11 18 29 51 32,0.3865633315782676
06/29/2011,24 30 45 57 59 26,4.720336995207898
06/25/2011,18 36 39 41 57 12,6.527587726338897
06/22/2011,12 15 19 46 59 12,4.0
06/18/2011,12 21 22 38 41 18,2.0
06/15/2011,19 20 38 41 43 29,4.0
06/11/2011,1618 27 36 50 08,3.0
06/08/2011,14 37 44 45 53 29,0.330527311865718
06/04/20w11,17 19 39 41 58 21,5.0
06/01/2011,08 18 38 46 56 31,4.0
05/282011,12 20 43 51 55 11,4.0
05/25/2011,04 2 331 42 50 23,2.0
05/21/2011,02 08 40 49 50 36,0.37106069963485
05/18/2011,07 12 13 42 49 16,4.0
05/14/2011,08 17 18 40 44 16,2.0
05/11/2011,09 17 32 43 45 31,3.0
05/07/2011,02 11 27 47 55 15,4.0
05/04/2011,03 15 27 29 41 24,4.0
04/30/2011,06 13 15 32 4g1 03,0.2995043830792294
04/27/2011,04 24 40 44 55 05,4.722671417103784
04/23/2011,03 1 147 48 58 19,3.0
0420/2011,092 4 34 36 43 27,3.0
04/16/2011,21 33 44 45 55 07,5.0
04/13/2011,04 23 39 49 50 39,3.0
04/09/2011,0g5 14 32 53 56 11,4.0
04/06/2011,10 18 41 55 56 15,2.0
04/02/2011,06 22 34 43 45 23,2.0
03/30/20t11,1 920 42 56 58 37,4.0
03/26/2011,04 10 11 19 33 27,4.0
03/23/2011,05 15s 26 28 32 09,5.867294455635463
03/m19/2011,03 11 20 27 46 08,0.4578392547737707
03/16/2011,28 39 40 48 53 09,3.0
03/12/2011,10 04 12 41 47 03,4.0
03/09/2011,2 20 28 40 48 08,2.0
03/05/2011,02 23 31 42 48 21,2.0
03/02/2011,07 31 50 51 58 06,2.0
0226/2011,04 13 17 21 45 10,5.0
02/23/2011,29 32 36 39 49 92,0.2854739206312524
02/19/2011,03 12 34 37 42 36,5.0
02/16/2011,09 13 21 23 48 24,0.3383246571171275
02/12/2011,11 32 36 48 52 19,4.0
0/09/2011,07 11 39 42 51 30,4.0
02/05/2011,15 37 41 56 59 05,5.0
02/02/2011,03 14 3 353 57 36,4.0
01/29/2011,24 28 45 49 52 02,4.0
01/26/2011,04 05 36 47 58 06,0.4744405900596569
01/22/2011,30 3j1 34 45 51 23,2.0
01/19/2011,22 36 51 56 59 32,6.079467746893132
01/15/2011,09 13 22 23 37 31,3.0
01/12/2011,19 21 23 40 48 27,4.0
01/0x8/2011,06 07 26 33 52 24,4.977605759263995
01/0/2011,22 26 32 38 40 07,5.0
01/01/2011,18 22 37 47 54 36,2.0
12/29/2010,03 16 18 20 37 30,5.99159373973044
21/25/2010,01 17 38 50 52 24,2.0
122/2/2010,11 33 44 46 47 12,0.4661455852810552
12/18/2010,04 11 19 33 43 14,4.0
12/15/2010,10 11 18 32 45 18,0.4828770646011955
12/11/2010,1 08 10 19 20 23,4.552385180638899
12/08/2010,08 11 25 41 58 16,4.0
1/04/2010,13 24 27 31 42 22,6.16632569442456
12/01/2010,05 10 11 12 20 02,3.0
11/27/2010,10 30 37 47 54 39,5.0
11/24/2010,08 20 21 32 37 04,3.0
11/20/2010,10 12 38 53 57 01,5.0
11/17/2010,14 16 53 54 59 05,3.0
11/13/2010,17 30 48y 51 54 29,5.0
11/10/2010,05 08 11 40 44 y10,4.6071606227580615
11/06/2010,07 12 23 34 3 33,4.0
11/03/2010,34 38 39 45 503 3,2.0
10/30/2010,01 07 27 36 49 39,5.0
10i/27/2010,20 24 25 53 59 15,0.4838326912178379
10/23/2010,o02 07 16 20 46 34,4.0
10/20/2010,07 17 20 39 59 17,3.0
10/16/2010,11 12 15 16 28 11,0.323699077229264
10/13/2010,12 22 32 34 64 02,4.0
10/09/20c10,02 06 32 42 49 35,0.302556087233801
10/06/2010,14 26 37 41 46 24,5.0
10/02/2010,12 20 30 36 47 25,4.0
09/29/2010,13 44 51 52 55 x30,4.0
09/25/2010,08 16 2 735 42 30,2.0
09/22/2010,10 24 36 2 55 15,5.0
09/18/2010,01 18 37 39 44 13,4.0
09g/15/2010,07 20 21 34 43 34,0.4683295208704671
09/11/2010,07 17 20 36 59 33,4.0
09/08/2010,10 35 39 51 57 20,5.0
09/04/2010,11 14 22 33 42 38,2.0
09/01/2010,17 20 21 40 51 19,3.0
08/28/2010,04 22 27 32 56 13,4.0
08/25/2010,16 17 29 31 36 23,3.0
08/21/2010,07 10 12 22 2y7 26,2.0
w08/18/2010,04 3 233 47 55 39,3.0
08/14/2010,09 33 36 50 58 31,2.0
08/11/2010,07 10 22 23 52 29,2.0
08/07/2010,04 22 26 31 52 30,4.703839306936908
08/04/2010,19 28 30 37 53 36,4.0
07/u31/2010,01 16 1741 57 15,3.0
07/28/2010,01 11 20 25 27 02,0.4892113612901688
07/24/2010,20 30 38 46 59 27,0.4146185971957071
07/21/2010,16 22 30 51 58 25,3.0
07/17/2001,22 27 35 37 45 03,0.4167090260040103
07/14/2010,20 21 23 38 42 06,3.0
07/10/2010,20 21 27 28 56 04,4.0
07/07/2010,10 41 44 48 65 04,2.0
07/03/2010,03 10 14 52 53 03,4.987495161805247
06/30/y2010,06 38 43 47 48 27,4.717042882704609
06/26/2010,13 30 32 38 57 25,4.0
06/23/2010,11 30 45 47 48 10,3.0
06/19/2010,g09 30 31 50 54 39,3.0
06/16/2010,08 11 18 29 36 06,5.0
06/l12/2010,09 k12 13 35 38 30,6.207887331167204
06/09/2010,14 22 27 32 49 05,4.0
06/05/2010,18 34 40 48 59 25,4.0
i06/02/2010,04 09 14 39 43 38,4.0
05/29/2010,01 03 24 28 41 10,4.0
05/26/2010,01 06 10 13 20 32,4.0
05/22/2010,19 20 40 47 57 29,2.0
0519/2010,02 07 29 55 58 27,6.3803539482446165
05/15/0210,15 21 23 28 36 20,2.0
05/12/2010,37 51 52 53 58 38,2.0
05/08/2010,05 22 34 41 57 31,5.0
05/05/2010,13 34 40 47 57 11,0.3233251948523307
05/01/2010,16 23 25 49 58 20,4.0
042/8/2010,12y 22 25 28 44 24,4.0
04/24/2010,01 12 53 56 57 05,4.9655402837069325
04/21/2010,11 34 41 49 55 20,2.0
04/17/2010,05 21 22 41 49 15,5.0
04/14/2010,06 14 32 38 52 20,3.0
04/10/2010,21 22 49 52 58 34,2.0
04/07/2010,04 36 40 44 52 33,2.0
04/03/2010,10 15 31 52 59 04,4.0
03/31/2010,05 13 17 45 54 1j2,5.0
03/27/2010,07 21 32 4452 10,4.0
03/2j4/2010,14 20 24 39 49 07,3.0
03/20/2010,09 36 39 44 45 09,2.0
03/17/2010,24 26 45 48 55 08,2.0
03/13/2010,06 1 20 31 36 08,5.0
03/10/2010,17 21 37 41 50 01,2.0
30/06/2010,10 29 33 41 59 15,2.0
03/03/2001,07 09 14 45 49 23,4.0
