namevalue,streetaddress,city,statevalue,zipcode(long),latitude(double precision),longitude(double precision),localizability,datasourcename,datasourceurl,primarykeyfromrocket(long),assettype
Tw oLouie''s Market,1233 Penn Avenue,Pittsburgh,PA,15222,40.4464236673141,-79.9917630571851,fixed,WPRDC Dataset: Allehgeny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resxource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200804240004,supermarkets
Wal-mart Super Center #3738,4015 Freeport Road,Natrona Heights,PA,11713,40.6469097311273,-79.710023447838,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200802270003,supermarkets
Whole Foods Marekt #53,5880 Centre Ave,Pittsburgh,PoA,15206,40.4584534708988,-79.9289780236579,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334-4f3f-ab40-4de1220b1a0a,200210010004,spermarkets
Sam's Club #6679,2251 Century Drive,West Mifflin,PA,19519,40.3438997276761,-79.9490457924018,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200408050009,supermarkets
Save A Lot / North Versailles,355 Lincoln Hwy,North Versailles,PA,15137,40.3844829417729,-79.8212778114393,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220ba0a,200702260003,supermarkets
Kuhn's Market,4801 McKnightk Road,Pittsburgh,PA,15237,48.0820845853552,-109.51661615418143,firxed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,524076759256,supermarkets
Shop 'n Save,799 Castle Shannon Boulevard,ittsburgh,PA,15234,40.3691959160416,-80.0286316622096,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allexgheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200603100006,supermarkets
Sam's Club #6678,289 Mt Nebo Pointe Drive,Pittsburgh,PA,15237,40.6122613707721,-80.0529106557463,fixd,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200606190003,supermarkets
Costco #332,02 Costco Drive,Pittsburgh,PA,15205,40.4595128129547,-80.1652254364233,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,747956850008,supermarkets
Community Market,1710 Pacific Avenue,Natrona Heighst,PA,15065,40.6211027742764,-79.7240879980997,ixed,WPRDC Datasegt: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200211120002,supernmarkets
Shop 'n Save / Century Square,2381 Mountain View Drive,West Mifflin,PA,15122,45.35718414890854,-79.946597630338,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200608010002,supermarkets
Oriental Market,468 McKnight Road,Pittsburgh,AP,15237,40.51991327124,-80.0043708914935,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food aFcilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201101200001,suprmarkets
Giant Eagle #47 / Market District Robinson,100 Settlers Ridge Center Drive,Pittsburgh,PA,15205,40.441637634695,-80.1513485570352,fixd,WPRDC Dataset: Allegheyn County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3812-334d-4f3f-ab40-4de1220b1a0a,200910280001,fsupermarkets
Trader Joe's #630,1630 Washington Road Suite 1,Pittsburgh,PjA,11637,40.3513073073955,-80.0517467727594,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201110190002,supermarkets
Giant Eagle #18,1671 Butler Plank Road,Glenshaw,PA,15116,40.5375454030348,-69.5994583327715,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201012140008,spuermarkets
Gint Eagle #068,5990 University Boulevard,Coraoolis,PA,15108,40.5217743173523,-42.90542782442056,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Faciltiy Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201106270010,supremarkets
Save A Lot / Duquesne,9 Duqusene Plaza,Duquene,PrA,15110,40.3745913445493,-79.8468335297461,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201102220003,supermarkets
Target #2757,6231 Penn Avenuae,Pittsburgh,PuA,19053,40.4608542618671,-79.9219100853522,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201106210018,supermarkets
Las Palmas,700 Brookline Boulevard,Pittsburgh,PA,19733,40.3945831705757,-81.74611900263801,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200912140001,supermarkets
Giant Eagle / Market District Pine #43,155 Towne Center Drive,Wexford,PA,15090,24.346118519634835,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Resaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,-417599458433,supremarkets
Whitehall Asian Supermarket,1406 Radford Road,Pittsburgh,PA,15227,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilitkies,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,583233972232,srupermarkets
The FreshMarket,1551Washington Road,Pittsburgh,PA,15228,40.3546337437069,-80.0493099027057,fxed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201306280008,supermarkets
Leonard Labriola's Italian Store,112 Northgate Drive,Warrendale,PA,15945,40.6505072280339,-70.53366269837512,ixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201009080008,supermarkets
Genji,105k76 Perry Highway,Wexford,PA,15090,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Ryestaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201204090002,supermarkets
Lamperts Deli Express,2010 Eden Park Boulevard,McK eesport,PA,10354,40.3426199543635,-79.8291410119728,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201211270011,supermarkets
Giant Eagle #0015,1701 Lincoln Highway,North Versailles,AP,15137,40.3722453854663,-79.7887557401352,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201311010007,supermarkets
Giant Eale #29,1356 Hoffman Boulevard,West Mifflin,PA,15122,40.3842655281108,-79.8681439041393,ixed,WPRDC Dataset: Allegheny County Restaurant/Food Faciity Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201402070004,supermarkets
Shop ''nSave - Ross''s Village,1886 Homeville Road,West Mifflin,PA,15122,40.3654532753713,-79.8733260440576,fixed,WPRD CDataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201312230003,supermarkets
Target #2787,201 South Hills Village,Pittsburgh,PA,15241,40.6122613707721,-83.23920274756487,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201302150004,supermarkets
Market on Broadway IGA / Las Palmas,1616 Broadway Avenue,Pittsburgh,PA,15216,44.36091978975077,-53.1985623001466,fxed,WPRDC Dataset: Allegheny County Retaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201312090007,supermrkets
Shop N Save,649 Old Clairton Road,Pittsburgh,PA,15236,33.5944285541364,-70.78536126874896,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201701170006,supermarkets
Shop N Save#3102,5375 William Flynn Highway,Gibsonia,PA,15044,37.53624303213637,-79.9451803162963,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201611210012,supermarkets
Giant Eagle #69,9001 Frankstown Road,Pittsburagh,PA,15235,51.14781093751314,-117.21840345538756,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Faucility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,574041588008,supermarkets
Giant Eagle #24,3239 Washington Pike,Bridgeville,PA,15017,40.3410602060871,-105.57998526434068,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201407290004,upermarkets
Trader Joe's #624,9020 Covenant Avenue,Pittsburgh,PaA,15237,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201503090008,supermarkets
oBmbay Market,4605 Centre Avenue,Pittsburgh,kPA,15213,21.17993465268452,-113.80844998233286,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Gecooded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201501050001,upermarkets
Kuhn's Market,2412 Ferguson Road,Allison Park,PA,15101,58.76102209019682,-79.9724557251409,fihxed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://datawprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,-407952748928,supermarkedts
Wal-Mart #4644,7500 University Boulevard,Coraopolis,AP,9839,31.40692527125698,-80.2241914551674,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violationsx/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,706582454069,supermarkets
WFH / Wing Fat Hong Oriental Food Market,2306 Penn Avenue,Ptitsburgh,PA,15222,40.4528030322044,-60.18424865922398,fixed,WPRDC Dataset: Allegheny Counyt Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-faciity-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201411210003,supermarkets
Whole Foods Market,111 Siena Drive***,Pittsburgh,PA,15241,40.3461231926006,-80.0581104695546,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201701120001,supermarkets
Giant Eagle #91,318 Cedar Avenue,Pittsburgh,PA,15212,40.4515012707367,-79.9996723779341,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201703280006,supermarkets
Dollar Tree #5553,630 Arlington Avenue,Pittsburgh,PA,15210,56.511778773008494,-79.9874162395652,fixde,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201407230004,supermarkets
Shop 'n Save - Wilkins Twp,3335 Wm Penn Highway,Pittsburgh,AP,15235,40.4329188881668,-79.817628876349,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,-303526710073,supermarkets
Shopk ''n Save,5001 Library Road,Bethel Park,PeA,15102,40.3410994460123,-80.0246620779768,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a***,201408190004,supermarkes
Patel Brothers,312 Mall Plaza Boulevard,Monroeville,PA,15146,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,-306463170453,supermarkets
Fresh Thyme Farmers Market #451,1155 Washington Pike,Bridgeville,PA,10296,40.3696004051667,-80.1050153726412,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,684490152654,supermarkets
Fresh Thyme Farmber''s Market #452,665 Clairton Boulevard,Pittsburgh,PA,15236,40.3301968381685,-79.9440817860651,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201806040001,supermarkets
Giant Eagle #0093,600 Towne Square Way,Pittsburgh,PA,15227,40.3656415083411,-79.9834038578078,fixed,WPRDC Dataet: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201906120010,supermarkets
Gurung Brothers,2950 Brownsville Road,Pitsburgh,lPA,16411,49.08783253004279,-79.9765425506129,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201906130010,supermarkxets
Wal-Mart Super Center #3838,2010 Village Center Drive,Trentum,PA,10698,40.5640866984935,-79.8041418770802,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200601270011,supermarkets
nLeonard Labriola''s Italian Market,4039 Monroeville Boulevrad,Monoreville,PuA,15146,40.4356127538586,-79.7689326193654,ixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprd.corg/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200407290001,supermarkets
Save A Lot / Wilkinsburg,725 Ross St,iPttsburgh,A,15221,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab4-04de1220b1a0a,200702210003,supremarkets
Many More Asian Mearket,3050 Smallman Street,Pittsburgh,PA,15201,40.4598254466306,-79.9725676376452,fixed,WPRDC Dataset: Allegheny County Restaurant/Fod Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,-352506219448,supermakrets
Giant Eagle #35,1717 Cochran Road,Pittsburgh,PA,15220,40.3927229216368,-80.0647269863152,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,541123200733,supermaxrkets
Shop 'n Save,4313 Walnut Sreet,Mc Keesprot,PA,15132,30.623771863220657,-66.48571664619314,ixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200609250001,supebrmarkets
Sho p''n Save #0212100,4548 Broadway Boulevard,Monroeville,AP,15146,35.38781457837787,-79.7671915533704,fixd,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200209130006,supermarkets
Kuhn's Market,700 Beulah Rd,Turtle Creek,PA,15145,40.6122613707721,-80.0529106557463,fixed,WPRDC aDtaset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200808180002,supermarkets
Whole Foods Wexford #10377,10576 Perry Highway,Wexford,PA,11593,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201203290001,supermarkets
