Year,OSHPD_ID,Facility Name,County,Type of Ownership,Hospital Type,Teaching,Small/Rural,Licensed Beds,Available Beds,Staffed Beds,Patient Days by Payer,Total Patient Days,Total Patient Days Percent,Payer,LTC Patient Days,Location
2012,106121002,MAD RIVER COMMUNITY HOSPITAL,Humboldt,Investor,Comparable,,,80,46,42,$613.00,8174,7.5%,Other Payers,0,"ARCATA, California
(40.868186, -124.090548)"
2010,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,ORANGE,Non-Profit,Comparable,,,223,223,223,$1054.00,54714,1.9%,Other Payers,0,"ANAHEIM, California
(33.834492, -117.915638)"
2010,106196168,E & L MILLER CHILDRENS HOSPITAL,LOS ANGELES,Non-Profit,Comparable,,,324,324,251,$1979.00,87704,2.3%,Other Payers,0,"LONG BEACH, California
(33.767168, -118.193723)"
2015,106190883,WHITTIER HOSPITAL MEDICAL CENTER,Los Angeles,Investor,Comparable,,,178,178,178,$1943.00,36441,5.3%,Other Payers,0,"WHITTIER, California
(33.967318, -118.048051)"
2013,106190681,MIRACLE MILE MEDICAL CENTER,Los Angeles,Investor,Comparable,,,17,17,17,$464.00,594,78.1%,Other Payers,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2015,106410782,SAN MATEO MEDICAL CENTER,San Mateo,City/County,Comparable,,,509,509,509,$788.00,133218,0.6%,Other Payers,110230,"SAN MATEO, California
(37.547166, -122.314351)"
2011,106190243,DOWNEY REGIONAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,199,199,130,$2121.00,42595,5%,Other Payers,0,"DOWNEY, California
(33.940946, -118.12752)"
2012,106190756,ST. JOHN'S HEALTH CENTER,Los Angeles,Non-Profit,Comparable,,,266,234,234,$780.00,50894,1.5%,Other Payers,0,"SANTA MONICA, California
(34.010932, -118.491512)"
2015,106190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,Los Angeles,Investor,Comparable,,,434,413,247,$775.00,86980,0.9%,Other Payers,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2014,106540734,KAWEAH DELTA MEDICAL CENTER,Tulare,District,Comparable,,,581,576,425,$882.00,133949,0.7%,Other Payers,20813,"VISALIA, California
(36.33012, -119.29888)"
2014,106010739,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMPUS,Alameda,Non-Profit,Comparable,,,458,458,296,$554.00,97234,0.6%,Other Payers,0,"BERKELEY, California
(37.869058, -122.270455)"
2010,106370689,SHARP CORONADO HOSPITAL & HEALTHCARE CENTER,SAN DIEGO,Non-Profit,Comparable,,,204,175,144,$720.00,52327,1.4%,Other Payers,42444,"CORONADO, California
(32.693926, -117.190481)"
2011,106190240,LAKEWOOD REGIONAL MEDICAL CENTER,Los Angeles,Investor,Comparable,,,172,172,101,$714.00,36973,1.9%,Other Payers,0,"LAKEWOOD, California
(33.850448, -118.133773)"
2013,106374049,SHARP MCDONALD CENTER,San Diego,Non-Profit,Comparable,,,16,14,10,$479.00,3410,14%,Other Payers,0,"SAN DIEGO, California
(32.71576, -117.163817)"
2010,106450949,MERCY MEDICAL CENTER,SHASTA,Non-Profit,Comparable,,,265,247,247,$2228.00,55946,4%,County/Other Indigent,0,"REDDING, California
(40.574637, -122.38109)"
2014,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,Imperial,District,Comparable,,,107,107,107,$1258.00,16142,7.8%,Other Payers,0,"BRAWLEY, California
(32.978688, -115.539429)"
2011,106361308,REDLANDS COMMUNITY HOSPITAL,San Bernardino,Non-Profit,Comparable,,,229,229,229,$408.00,52097,0.8%,Other Payers,0,"REDLANDS, California
(34.055562, -117.182603)"
2012,106331194,HEMET VALLEY MEDICAL CENTER,Riverside,District,Comparable,,,417,417,159,$1934.00,53493,3.6%,Other Payers,0,"HEMET, California
(33.747562, -116.967316)"
2013,106211006,MARIN GENERAL HOSPITAL,Marin,Non-Profit,Comparable,,,235,150,150,$2022.00,40342,5%,Other Payers,0,"GREENBRAE, California
(37.948611, -122.524722)"
2015,106560481,VENTURA COUNTY MEDICAL CENTER,Ventura,City/County,Comparable,Teaching,,272,259,134,$1454.00,44113,3.3%,Other Payers,0,"VENTURA, California
(34.280832, -119.293107)"
2010,106361318,SAN ANTONIO COMMUNITY HOSPITAL,SAN BERNARDINO,Non-Profit,Comparable,,,279,279,279,$810.00,55818,1.5%,Other Payers,0,"UPLAND, California
(34.099737, -117.650985)"
2010,106150775,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,KERN,Investor,Comparable,,,154,154,115,$435.00,24147,1.8%,Other Payers,0,"BAKERSFIELD, California
(35.373405, -119.018911)"
2011,106300225,ORANGE COAST MEMORIAL MEDICAL CENTER,Orange,Non-Profit,Comparable,,,218,218,133,$767.00,45503,1.7%,Other Payers,0,"FOUNTAIN VALLEY, California
(33.708975, -117.951323)"
2012,106191306,LAC/RANCHO LOS AMIGOS NATIONAL REHAB CENTER,Los Angeles,City/County,Comparable,,,395,289,192,$847.00,60456,1.4%,Other Payers,0,"DOWNEY, California
(33.940946, -118.12752)"
2013,106301340,ST. JOSEPH HOSPITAL - ORANGE,Orange,Non-Profit,Comparable,,,491,379,379,$1487.00,78081,1.9%,Other Payers,0,"ORANGE, California
(33.791489, -117.853096)"
2015,106190434,KAISER FDN HOSP - WEST LA,Los Angeles,Non-Profit,Kaiser Foundation Health,,,288,265,108,$922.00,34024,2.7%,Other Payers,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2012,106371394,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,San Diego,Non-Profit,Comparable,,,158,158,121,$383.00,40883,0.9%,Other Payers,0,"ENCINITAS, California
(33.044805, -117.292447)"
2012,106554011,SONORA REGIONAL MEDICAL CENTER-GREENLEY,Tuolumne,Non-Profit,Comparable,,Rural,152,152,118,$449.00,42426,1.1%,Other Payers,24400,"SONORA, California
(37.982943, -120.382117)"
2011,106380865,LAGUNA HONDA HOSPITAL & REHAB CENTER,San Francisco,City/County,LTC Emphasis,,,780,780,774,$1273.00,275359,0.5%,Other Payers,0,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2010,106334048,MORENO VALLEY COMMUNITY HOSPITAL,RIVERSIDE,District,Comparable,,,101,101,61,$756.00,18831,4%,Other Payers,0,"MORENO VALLEY, California
(33.917114, -117.261144)"
2011,106190298,FOOTHILL PRESBYTERIAN HOSPITAL,Los Angeles,Non-Profit,Comparable,,,105,105,71,$457.00,19904,2.3%,Other Payers,0,"GLENDORA, California
(34.136001, -117.865485)"
2015,106334564,TEMECULA VALLEY HOSPITAL,Riverside,Investor,Comparable,,,140,140,140,$587.00,25364,2.3%,Other Payers,0,"TEMECULA, California
(33.493399, -117.148787)"
2012,106121051,REDWOOD MEMORIAL HOSPITAL,Humboldt,Non-Profit,Comparable,,Rural,35,25,25,$440.00,5684,7.7%,Other Payers,0,"FORTUNA, California
(40.58858, -124.146858)"
2012,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,Orange,Non-Profit,Comparable,,,223,223,223,$1292.00,53719,2.4%,Other Payers,0,"ANAHEIM, California
(33.834492, -117.915638)"
2013,106410852,MILLS-PENINSULA MEDICAL CENTER,San Mateo,Non-Profit,Comparable,,,301,301,187,$855.00,73670,1.2%,Other Payers,0,"BURLINGAME, California
(37.584195, -122.366265)"
2012,106190708,SHERMAN OAKS HOSPITAL & HEALTH CENTER,Los Angeles,Non-Profit,Comparable,,,153,153,153,$848.00,19445,4.4%,Other Payers,0,"SHERMAN OAKS, California
(34.1511, -118.448303)"
2011,106250955,SURPRISE VALLEY COMMUNITY HOSPITAL,Modoc,District,Comparable,,Rural,26,26,26,$504.00,7932,6.4%,Other Payers,7747,"CEDARVILLE, California
(41.529563, -120.171912)"
2012,106070990,KAISER FDN HOSP - WALNUT CREEK,Contra Costa,Non-Profit,Kaiser Foundation Health,,,233,233,232,$662.00,53274,1.2%,Other Payers,0,"WALNUT CREEK, California
(37.901763, -122.061921)"
2011,106362041,HI-DESERT MEDICAL CENTER,San Bernardino,District,Comparable,,Rural,179,179,154,$1159.00,49787,2.3%,Other Payers,38435,"JOSHUA TREE, California
(34.126919, -116.315127)"
2014,106361323,COMMUNITY HOSPITAL OF SAN BERNARDINO,San Bernardino,Non-Profit,Comparable,,,347,345,306,$864.00,81680,1.1%,Other Payers,31558,"SAN BERNARDINO, California
(34.108323, -117.29415)"
2010,106380857,KAISER FND HOSPITAL - GEARY (S.F.),SAN FRANCISCO,Non-Profit,Kaiser Foundation Health,,,247,247,193,$642.00,59862,1.1%,Other Payers,0,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2012,106391042,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,San Joaquin,Non-Profit,Comparable,,,359,359,202,$1837.00,71263,2.6%,Other Payers,0,"STOCKTON, California
(37.957541, -121.292451)"
2012,106270875,SALINAS VALLEY MEMORIAL HOSPITAL,Monterey,District,Comparable,,,269,233,129,$1653.00,44248,3.7%,Other Payers,0,"SALINAS, California
(36.676795, -121.656421)"
2010,106190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,LOS ANGELES,Non-Profit,Comparable,,,254,254,242,$1710.00,84343,2%,Other Payers,0,"MISSION HILLS, California
(32.7528, -117.186096)"
2014,106190081,BEVERLY HOSPITAL,Los Angeles,Non-Profit,Comparable,,,224,185,105,$1978.00,38008,5.2%,Other Payers,0,"MONTEBELLO, California
(34.019457, -118.116473)"
2014,106370705,FALLBROOK HOSPITAL DISTRICT,San Diego,District,Comparable,,Rural,146,146,146,$2046.00,25966,7.9%,Other Payers,22179,"FALLBROOK, California
(33.38206, -117.251355)"
2010,106190475,COMMUNITY HOSPITAL OF LONG BEACH,LOS ANGELES,Non-Profit,Comparable,,,208,158,71,$1820.00,19532,9.3%,Other Payers,0,"LONG BEACH, California
(33.767168, -118.193723)"
2011,106514001,SUTTER-YUBA - PHF,Sutter,City/County,Psychiatric Health Facilities,,,16,16,16,$626.00,3192,19.6%,Other Payers,0,"YUBA CITY, California
(39.13222, -121.625147)"
2015,106560492,LOS ROBLES HOSPITAL & MEDICAL CENTER,Ventura,Investor,Comparable,,,404,385,385,$487.00,85381,0.6%,Other Payers,0,"THOUSAND OAKS, California
(34.176083, -118.848743)"
2012,106190687,SANTA MONICA-UCLA MEDICAL CENTER & ORTHOPAEDIC,Los Angeles,Non-Profit,Comparable,,,266,266,266,$2118.00,77571,2.7%,Other Payers,0,"SANTA MONICA, California
(34.010932, -118.491512)"
2014,106190034,ANTELOPE VALLEY HOSPITAL,Los Angeles,District,Comparable,,,420,393,252,$945.00,83361,1.1%,Other Payers,0,"LANCASTER, California
(34.697472, -118.144521)"
2013,106190930,RESNICK NEUROPSYCHIATRIC HOSPITAL AT UCLA,Los Angeles,Non-Profit,Comparable,,,74,74,74,$2250.00,24838,9.1%,Other Payers,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106440755,DOMINICAN HOSPITAL - SANTA CRUZ/SOQUEL,Santa Cruz,Non-Profit,Comparable,,,251,136,136,$1620.00,50853,3.2%,Other Payers,0,"SANTA CRUZ, California
(36.97414, -122.028795)"
2012,106196035,KAISER FDN HOSP - BALDWIN PARK,Los Angeles,Non-Profit,Kaiser Foundation Health,,,269,254,173,$616.00,40583,1.5%,Other Payers,0,"BALDWIN PARK, California
(34.08538, -117.960355)"
2011,106010858,KAISER FDN HOSP - HAYWARD/FREMONT,Alameda,Non-Profit,Kaiser Foundation Health,,,319,319,168,$727.00,52655,1.4%,Other Payers,0,"HAYWARD, California
(37.672111, -122.083963)"
2010,106013687,MERRITT PERALTA INSTITUTE CDRH,ALAMEDA,Non-Profit,Comparable,,,24,24,21,$647.00,6684,9.7%,Other Payers,0,"OAKLAND, California
(37.804828, -122.27248)"
2012,106370759,PARADISE VALLEY HOSPITAL,San Diego,Non-Profit,Comparable,,,291,291,291,$1133.00,53867,2.1%,Other Payers,0,"NATIONAL CITY, California
(32.671538, -117.105196)"
2014,106040937,OROVILLE HOSPITAL,Butte,Non-Profit,Comparable,,,133,133,133,$606.00,39682,1.5%,Other Payers,0,"OROVILLE, California
(39.512339, -121.554608)"
2014,106440755,DOMINICAN HOSPITAL - SANTA CRUZ/SOQUEL,Santa Cruz,Non-Profit,Comparable,,,251,140,140,$834.00,43853,1.9%,Other Payers,0,"SANTA CRUZ, California
(36.97414, -122.028795)"
2012,106500967,OAK VALLEY DISTRICT HOSPITAL,Stanislaus,District,Comparable,,Rural,150,150,141,$2106.00,41520,5.1%,Other Payers,0,"OAKDALE, California
(37.76861, -120.849475)"
2010,106554011,SONORA REGIONAL MEDICAL CENTER,TUOLUMNE,Non-Profit,Comparable,,Small,173,152,152,$1423.00,42665,3.3%,Other Payers,22381,"SONORA, California
(37.982943, -120.382117)"
2011,106444013,WATSONVILLE COMMUNITY HOSPITAL,Santa Cruz,Investor,Comparable,,,106,106,92,$461.00,18325,2.5%,Other Payers,0,"WATSONVILLE, California
(36.910233, -121.756873)"
2010,106190200,SAN GABRIEL VALLEY MEDICAL CENTER,LOS ANGELES,Non-Profit,Comparable,,,231,231,231,$698.00,44249,1.6%,Other Payers,0,"SAN GABRIEL, California
(34.099203, -118.107229)"
2012,106370694,SHARP MEMORIAL HOSPITAL,San Diego,Non-Profit,Comparable,,,881,629,397,$1202.00,146336,0.8%,Other Payers,0,"SAN DIEGO, California
(32.71576, -117.163817)"
2010,106040802,BIGGS-GRIDLEY MEMORIAL HOSPITAL,BUTTE,Non-Profit,Comparable,,Small,45,45,36,$951.00,11685,8.1%,Other Payers,7095,"GRIDLEY, California
(39.363578, -121.696463)"
2012,106314024,KAISER FDN HOSP - ROSEVILLE,Placer,Non-Profit,Kaiser Foundation Health,,,340,340,228,$765.00,56153,1.4%,Other Payers,0,"ROSEVILLE, California
(38.74806, -121.285202)"
2015,106070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK,Contra Costa,Non-Profit,Comparable,,,572,399,254,$1599.00,96141,1.7%,Other Payers,0,"WALNUT CREEK, California
(37.901763, -122.061921)"
2012,106430837,O'CONNOR HOSPITAL,Santa Clara,Non-Profit,Comparable,,,358,260,202,$1945.00,50362,3.9%,Other Payers,6139,"SAN JOSE, California
(37.334807, -121.888128)"
2013,106196403,KAISER FDN HOSP - DOWNEY,Los Angeles,Non-Profit,Kaiser Foundation Health,,,352,352,266,$1086.00,58885,1.8%,Other Payers,0,"DOWNEY, California
(33.940946, -118.12752)"
2011,106410852,MILLS-PENINSULA MEDICAL CENTER,San Mateo,Non-Profit,Comparable,,,376,376,376,$1020.00,71638,1.4%,Other Payers,15252,"BURLINGAME, California
(37.584195, -122.366265)"
2012,106040875,FEATHER RIVER HOSPITAL,Butte,Non-Profit,Comparable,,,100,100,100,$989.00,21226,4.7%,County/Other Indigent,0,"PARADISE, California
(39.752081, -121.621973)"
2011,106374024,AURORA SAN DIEGO,San Diego,Investor,Comparable,,,80,80,69,$437.00,25685,1.7%,Other Payers,0,"SAN DIEGO, California
(32.71576, -117.163817)"
2011,106130760,PIONEERS MEMORIAL HOSPITAL,Imperial,District,Comparable,,,107,107,107,$554.00,21257,2.6%,Other Payers,0,"BRAWLEY, California
(32.978688, -115.539429)"
2014,106374049,SHARP MCDONALD CENTER,San Diego,Non-Profit,Comparable,,,16,14,10,$420.00,3329,12.6%,Other Payers,0,"SAN DIEGO, California
(32.71576, -117.163817)"
2013,106340947,MERCY GENERAL HOSPITAL,Sacramento,Non-Profit,Comparable,,,342,304,304,$913.00,70435,1.3%,Other Payers,1730,"SACRAMENTO, California
(38.582087, -121.50012)"
2013,106190434,KAISER FDN HOSP - WEST LA,Los Angeles,Non-Profit,Kaiser Foundation Health,,,305,305,137,$902.00,35887,2.5%,Other Payers,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2012,106190298,FOOTHILL PRESBYTERIAN HOSPITAL,Los Angeles,Non-Profit,Comparable,,,105,105,62,$556.00,18040,3.1%,Other Payers,0,"GLENDORA, California
(34.136001, -117.865485)"
2010,106250956,MODOC MEDICAL CENTER,MODOC,City/County,Comparable,,Small,87,87,67,$828.00,16731,4.9%,Other Payers,14982,"ALTURAS, California
(41.490967, -120.542538)"
2011,106190762,ST. VINCENT MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,366,333,333,$719.00,49138,1.5%,Other Payers,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2014,106190198,LOS ANGELES COMMUNITY HOSPITAL,Los Angeles,Investor,Comparable,,,180,180,180,$739.00,54467,1.4%,Other Payers,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2014,106380857,KAISER FDN HOSP - GEARY (S.F.),San Francisco,Non-Profit,Kaiser Foundation Health,Teaching,,247,247,136,$549.00,43779,1.3%,Other Payers,0,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2015,106491064,SANTA ROSA MEMORIAL HOSPITAL,Sonoma,Non-Profit,Comparable,,,414,414,238,$2170.00,64922,3.3%,Other Payers,0,"SANTA ROSA, California
(38.439698, -122.715642)"
2010,106150722,BAKERSFIELD MEMORIAL HOSPITAL,KERN,Non-Profit,Comparable,,,424,380,380,$2014.00,72478,2.8%,Other Payers,0,"BAKERSFIELD, California
(35.373405, -119.018911)"
2010,106430705,REGIONAL MEDICAL CENTER OF SAN JOSE,SANTA CLARA,Investor,Comparable,,,239,216,216,$2077.00,56433,3.7%,Other Payers,0,"SAN JOSE, California
(37.334807, -121.888128)"
2015,106370744,SCRIPPS MERCY HOSPITAL,San Diego,Non-Profit,Comparable,Teaching,,684,548,387,$740.00,139445,0.5%,Other Payers,0,"SAN DIEGO, California
(32.71576, -117.163817)"
2010,106090933,MARSHALL MEDICAL CENTER,EL DORADO,Non-Profit,Comparable,,Small,105,102,102,$1386.00,27195,5.1%,Other Payers,3852,"PLACERVILLE, California
(38.729652, -120.799147)"
2011,106190198,LOS ANGELES COMMUNITY HOSPITAL,Los Angeles,Investor,Comparable,,,180,180,180,$750.00,55110,1.4%,Other Payers,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2012,106340913,KAISER FDN HOSP - SACRAMENTO,Sacramento,Non-Profit,Kaiser Foundation Health,,,287,240,146,$1691.00,42866,3.9%,Other Payers,0,"SACRAMENTO, California
(38.582087, -121.50012)"
2013,106191014,LANTERMAN STATE HOSPITAL AND DEVELOPMENTAL CENTER,Los Angeles,State,State Hospitals,,,1286,991,110,$1948.00,54534,3.6%,Other Payers,0,"POMONA, California
(34.055118, -117.750048)"
2010,106010967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Comparable,,,163,163,163,$475.00,41921,1.1%,Other Payers,0,"HAYWARD, California
(37.672111, -122.083963)"
2012,106311000,SUTTER MEDICAL CENTER - ROSEVILLE,Placer,Non-Profit,Comparable,,,328,328,328,$1491.00,87238,1.7%,Other Payers,0,"ROSEVILLE, California
(38.74806, -121.285202)"
2011,106190434,KAISER FDN HOSP - WEST LA,Los Angeles,Non-Profit,Kaiser Foundation Health,,,305,305,146,$945.00,42951,2.2%,Other Payers,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106334048,KAISER FDN HOSP - MORENO VALLEY,Riverside,Non-Profit,Kaiser Foundation Health,,,71,71,65,$483.00,12059,4%,Other Payers,0,"MORENO VALLEY, California
(33.917114, -117.261144)"
2012,106301379,WEST ANAHEIM MEDICAL CENTER,Orange,Investor,Comparable,,,219,219,219,$1243.00,33846,3.7%,Other Payers,0,"ANAHEIM, California
(33.834492, -117.915638)"
2011,106201281,MADERA COMMUNITY HOSPITAL,Madera,Non-Profit,Comparable,,,106,106,106,$755.00,22572,3.3%,Other Payers,0,"MADERA, California
(36.961961, -120.059585)"
2012,106490919,SUTTER MEDICAL CENTER - SANTA ROSA,Sonoma,Non-Profit,Comparable,,,135,135,115,$826.00,24905,3.3%,Other Payers,0,"SANTA ROSA, California
(38.439698, -122.715642)"
2011,106190636,CITRUS VALLEY MEDICAL CENTER-QV CAMPUS,Los Angeles,Non-Profit,Comparable,,,518,518,518,$2180.00,116798,1.9%,Other Payers,0,"WEST COVINA, California
(34.068896, -117.938239)"
2012,106010858,KAISER FDN HOSP - HAYWARD/FREMONT,Alameda,Non-Profit,Kaiser Foundation Health,,,319,319,174,$587.00,45832,1.3%,Other Payers,0,"HAYWARD, California
(37.672111, -122.083963)"
2011,106301132,KAISER FDN HOSP - ANAHEIM,Orange,Non-Profit,Kaiser Foundation Health,,,350,326,283,$648.00,77348,0.8%,Other Payers,0,"ANAHEIM, California
(33.834492, -117.915638)"
2012,106362041,HI-DESERT MEDICAL CENTER,San Bernardino,District,Comparable,,Rural,179,179,145,$1301.00,50665,2.6%,Other Payers,39991,"JOSHUA TREE, California
(34.126919, -116.315127)"
2014,106194219,KECK HOSPITAL OF USC,Los Angeles,Investor,Comparable,Teaching,,411,349,246,$598.00,86511,0.7%,Other Payers,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2010,106490919,SUTTER MEDICAL CENTER OF SANTA ROSA,SONOMA,Non-Profit,Comparable,,,135,135,115,$666.00,24669,2.7%,Other Payers,0,"SANTA ROSA, California
(38.439698, -122.715642)"
2012,106100797,ADVENTIST MEDICAL CENTER - REEDLEY,Fresno,District,Comparable,,Rural,49,49,12,$397.00,4450,8.9%,Other Payers,0,"REEDLEY, California
(36.597911, -119.456221)"
2010,106190110,BROTMAN MEDICAL CENTER,LOS ANGELES,Investor,Comparable,,,420,225,225,$2044.00,57278,3.6%,Other Payers,0,"CULVER CITY, California
(34.0225, -118.394287)"
2011,106196403,KAISER FDN HOSP - DOWNEY,Los Angeles,Non-Profit,Kaiser Foundation Health,,,352,352,265,$1620.00,74023,2.2%,Other Payers,0,"DOWNEY, California
(33.940946, -118.12752)"
2010,106211006,MARIN GENERAL HOSPITAL,MARIN,Non-Profit,Comparable,,,235,150,150,$1383.00,43030,3.2%,Other Payers,0,"GREENBRAE, California
(37.948611, -122.524722)"
2014,106554011,SONORA REGIONAL MEDICAL CENTER-GREENLEY,Tuolumne,Non-Profit,Comparable,,Rural,152,152,122,$510.00,43561,1.2%,Other Payers,24106,"SONORA, California
(37.982943, -120.382117)"
2012,106481357,NORTHBAY MEDICAL CENTER,Solano,Non-Profit,Comparable,,,190,190,190,$723.00,34666,2.1%,Other Payers,0,"FAIRFIELD, California
(38.251488, -122.049851)"
2010,106481357,NORTH BAY MEDICAL CENTER,SOLANO,Non-Profit,Comparable,,,140,140,140,$426.00,22741,1.9%,Other Payers,0,"FAIRFIELD, California
(38.251488, -122.049851)"
2015,106190529,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,Los Angeles,Non-Profit,Comparable,,,400,286,286,$1339.00,74699,1.8%,Other Payers,0,"ARCADIA, California
(34.136534, -118.040889)"
2012,106190352,GREATER EL MONTE COMMUNITY HOSPITAL,Los Angeles,Investor,Comparable,,,117,117,117,$960.00,17720,5.4%,Other Payers,0,"SOUTH EL MONTE, California
(34.043996, -118.046258)"
2013,106191306,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION CENTER,Los Angeles,City/County,Comparable,,,289,289,173,$628.00,59693,1.1%,Other Payers,0,"DOWNEY, California
(33.940946, -118.12752)"
2014,106301566,WESTERN MEDICAL CENTER-SANTA ANA,Orange,Investor,Comparable,,,228,228,228,$767.00,33380,2.3%,Other Payers,0,"SANTA ANA, California
(33.749738, -117.869781)"
2014,106190949,HENRY MAYO NEWHALL MEMORIAL HOSPITAL,Los Angeles,Non-Profit,Comparable,,,238,232,157,$1885.00,56226,3.4%,Other Payers,0,"VALENCIA, California
(34.389444, -118.564722)"
2014,106301379,WEST ANAHEIM MEDICAL CENTER,Orange,Investor,Comparable,,,219,219,219,$596.00,31259,1.9%,Other Payers,0,"ANAHEIM, California
(33.834492, -117.915638)"
2015,106500967,OAK VALLEY DISTRICT HOSPITAL,Stanislaus,District,Comparable,,Rural,150,144,144,$1066.00,39361,2.7%,Other Payers,0,"OAKDALE, California
(37.76861, -120.849475)"
2013,106121002,MAD RIVER COMMUNITY HOSPITAL,Humboldt,Investor,Comparable,,,78,46,42,$541.00,8455,6.4%,Other Payers,0,"ARCATA, California
(40.868186, -124.090548)"
2013,106291023,SIERRA NEVADA MEMORIAL HOSPITAL,Nevada,Non-Profit,Comparable,,Rural,121,121,121,$447.00,17270,2.6%,Other Payers,204,"GRASS VALLEY, California
(39.219102, -121.062951)"
2014,106361166,MONTCLAIR HOSPITAL MEDICAL CENTER,San Bernardino,Investor,Comparable,,,102,102,102,$718.00,11087,6.5%,Other Payers,0,"MONTCLAIR, California
(34.077674, -117.693908)"
2012,106196403,KAISER FDN HOSP - DOWNEY,Los Angeles,Non-Profit,Kaiser Foundation Health,,,352,352,258,$1420.00,71331,2%,Other Payers,0,"DOWNEY, California
(33.940946, -118.12752)"
2013,106370730,KAISER FDN HOSP - SAN DIEGO,San Diego,Non-Profit,Kaiser Foundation Health,,,392,392,305,$1007.00,77255,1.3%,Other Payers,0,"SAN DIEGO, California
(32.71576, -117.163817)"
2011,106190392,GOOD SAMARITAN HOSPITAL - LA,Los Angeles,Non-Profit,Comparable,,,408,313,181,$990.00,70368,1.4%,Other Payers,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2015,106410852,MILLS-PENINSULA MEDICAL CENTER,San Mateo,Non-Profit,Comparable,,,301,301,193,$479.00,63191,0.8%,Other Payers,0,"BURLINGAME, California
(37.584195, -122.366265)"
2012,106190754,"ST. JOHN'S WELL CHILD AND FAMILY CENTER, INC.",Los Angeles,Non-Profit,Comparable,,,384,384,384,$2076.00,95409,2.2%,Other Payers,0,"LYNWOOD, California
(33.928063, -118.199166)"
2015,106420514,SANTA BARBARA COTTAGE HOSPITAL,Santa Barbara,Non-Profit,Comparable,Teaching,,450,363,255,$742.00,86311,0.9%,Other Payers,0,"SANTA BARBARA, California
(34.420867, -119.698342)"
2015,106560473,COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA,Ventura,Non-Profit,Comparable,,,242,242,135,$487.00,48342,1%,Other Payers,0,"VENTURA, California
(34.280832, -119.293107)"
2010,106430905,STANFORD UNIVERSITY HOSPITAL,SANTA CLARA,Non-Profit,Comparable,Teaching,,613,466,466,$1392.00,136418,1%,County/Other Indigent,0,"STANFORD, California
(37.437516, -122.165747)"
2010,106190470,PROVIDENCE LITTLE CO OF MARY MC-TORRANCE,LOS ANGELES,Non-Profit,Comparable,,,436,436,321,$1668.00,102180,1.6%,Other Payers,12476,"TORRANCE, California
(33.836318, -118.340038)"
2013,106190400,HUNTINGTON MEMORIAL HOSPITAL,Los Angeles,Non-Profit,Comparable,,,548,548,326,$2132.00,121632,1.8%,Other Payers,0,"PASADENA, California
(34.14955, -118.141452)"
2010,106400466,ARROYO GRANDE COMMUNITY HOSPITAL,SAN LUIS OBISPO,Non-Profit,Comparable,,,65,65,58,$848.00,11816,7.2%,Other Payers,1618,"ARROYO GRANDE, California
(35.124098, -120.576388)"
2011,106370705,FALLBROOK HOSPITAL DISTRICT,San Diego,District,Comparable,,Rural,146,146,146,$1131.00,32981,3.4%,Other Payers,25826,"FALLBROOK, California
(33.38206, -117.251355)"
2014,106494019,KAISER FDN HOSP - SANTA ROSA,Sonoma,Non-Profit,Kaiser Foundation Health,,,173,173,81,$349.00,26011,1.3%,Other Payers,0,"SANTA ROSA, California
(38.439698, -122.715642)"
2010,106340950,MERCY SAN JUAN HOSPITAL,SACRAMENTO,Non-Profit,Comparable,,,370,370,370,$998.00,93908,1.1%,Other Payers,0,"CARMICHAEL, California
(38.636604, -121.327265)"
2010,106390923,LODI MEMORIAL HOSPITAL,SAN JOAQUIN,Non-Profit,Comparable,,,261,261,160,$1212.00,38907,3.1%,Other Payers,3368,"LODI, California
(38.135674, -121.279196)"
