namevalue,address,type,bedroomlimit(double precision),guestlimit(double precision),expirationdate,locationvalue,x(double precision),y(double precision)
EXTRA HOLIDAYdS,111 ST. CHARLES AVE,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9350735188892, -90.1066357165367)",-1.0,-1.0
1314 Touro St,1314 Touro St,Short Term Rental Residential Owner,2.0,4.0,05/08/202d3 11:59:59 PM,"(29.9350735188892, -90.1066357165367)",3684132.27,537103.47
20033 Victory Rd,20033 Victory Rd,Short Term Rental Commercial Owner,3.0,6.0,05/11/202 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3756204.82,573907.88
2602 Octavia St,2602 Octavia St,Sort Term Rental Residential Owner,3.0,6.0,06/14/2023 11:59:59 PM,"(29.9671327332648, -90.0590934207344)",3667761.34,525086.21
2726 Royal St Apt A,2726 Royal St Apt A,Short Term Rental Commercial Owner,4.0,-5.789314046166126,01/14/2023 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3687238.86,477269.0406488063
2405 Chartres St,2405 Chartres St,Short Term Rental Residential Owner,2.0,4.0,06/12/2023 11:59:59 PM,"(29.9327171725867, -90.072623855756)",3685995.96,534611.27
3665 Tchoupitoulas St,3665 Tchoupitoulas St,Short Term Rental Commercial Owner,6.10790951534616,4.0,06/15/2023 11:59:59 PM,"(29.935070719781, -90.1066658406292)",5334779.969262533,517795.89
5213 Pasteur Blvd,5213 Pasteur Blvd,Short Term Rental Residential Owner,3.0,16.56896912159397,06/14/2023 11:59:59 PM,"(29.9790585780278, -90.0963903685695)",3683065.15,316673.7936256805
1434 St Roch Ave,1434 St Roch Ave,Short Term Rental Residential Owner,1.0,2.0,06/14/2023 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3686310.72,537820.85
2134 Music St,2134 Music St,Short Term Rental Residential Owner,3.0,12.778496694888538,06/12/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3686485.24,623001.5207729449
837 Jackson Ave Ap B,837 Jackson Ave Apt B,Short Term Rental Commercial Owner,2.0,-4.397727315853118,06/14/2023 11:59:59 PM,"(29.9388496615006, -90.0807093580153)",3679401.6,521478.26
1918 Elysian Fields Ave Apt A,1918 Elysian Fields Ave Apt A,Short Term Rental Residential Owner,1.0,2.0,06/12/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3684647.99,539407.44
2187 Law St Unit B,2187 Law St Unit B,Short Term Rental Residential Owner,3.0,6.0,06/15/2023 11:59:59 PM,"(29.9689344264277, -90.0552316902256)",3684344.29,541910.32
4478 Painters St,4478 Painters St,Short Term Rental Residential Owner,1.0,2.0,06/15/2023 11:59:59 PM,"(29.9744625699782, -90.0501922802849)",3686210.32,755810.3052504252
668 N Claiborne Ave,1668 N Claiborne Ave,Short Term Rental Commercial Owner,3.0,6.0,11/4/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3682769.99,537820.44
3213 Burgundy St,3213 Burgundy St,Short Term Rental Residential Owner,2.0,4.0,06/15/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3689490.54,535065.48
7332 Morrison Rd,7332 Morrison Rd,Short Term Rental Residential Owner,3.0,6.0,06/12/2023 11:59:59 PM,"(29.9397085402145, -90.0769715356914)",3700608.15,559296.7
HOLIDAY INN EXPRESS,334 O KEEFE AVE,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:0000 AM,"(29.9580154964913, -90.0871467011987)",-1.0,-1.0
614 Soraparu St,614 Soraparu St,Short Term Rental Residential Owner,1.0,-4.853827771338366,06/16/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3679257.81,609243.269651649
1036 Napoleon Ave,1036 Napoleon Ave,Short Term Rental Residential Owner,6.435285002498574,6.0,05/10/2023 11:59:59 PM,"(29.938697391877, -90.0808102249235)",3670894.01,519466.69
1515 Calliope St Apt 102,1515 Calliope St Apt 102,Short Term Rental Commercial Owner,3.0,6.0,10/07/2023 11:59:59 PM,"(29.9671327332648, -90.0590934207344)",3680226.87,526583.63
2204 First St,2204 First Sct,Short Term Rental Residential Owner,2.0,4.0,06/14/2023 1159:59 PM,"(29.9453933043394, -90.049996322177)",3675703.72,525034.05
8k39 Jackson Ave Apt B,839 Jackson Ave Apt B,Short Term Rental Commercial Owner,2.0,-5.808067072848282,06/14/2023 11:59:59 PM,"(29.950500721834, -90.1329010717728)",3679379.89,521508.67
1306 Dante St,1306 Dante St,Short Term Rental Residential Owner,2.0,4.0,07/06/2023 11:59:59 PM,"(29.9684668112717, -90.074357136476)",3661679.92,529203.57
4502 N Ramaprt St,4502 N Rampart St,Short Term Rental Commecial Owner,3.0,-5.03253847111122,06/03/2023 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3693247.18,534453.03
2124 Palmer Ave,2124 Palmer Ave,Short Term Renal Residential Owner,5.0,10.0,06/14/2023 11:59:59 PM,"(29.950500721834, -90.1329010717728)",3665960.74,524830.69
6948 Vicksburg St,6948 Vicksburg St,Short Term Rental Residential Owner,2.0,4.0,06/15/2023 11:9:59 PM,"(29.9295658135833, -90.1043947464636)",3669395.89,597105.7589292934
3929 Eagle St,3929 Eagle St,Short Term Rental Residential Owner,2.0,4.0,06/13/2023 11:59:59 PM,"(29.9222617299819, -90.0897460818907)",3666833.73,537340.9
3910 Coliseum St,3910 Coliseum St,Short Term Rental Residential Owner,2.0,4.0,06/12/2023 11:59:59 PM,"(29.9671327332648, -90.0590934207344)",3672722.61,519954.67
1110 S Dupre St,1101 S Dupre St,Short Term Rental Commercial Owner,3.0,6.0,06/26/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3671722.25,531722.05
2537 Orleans Ave,2537 Orleans Ave,Short Term Rental Commercial Owner,4.0,8.0,06/28/2023 11:59:59 PM,"(29.979445631573, -90.0835752864682)",3677388.6,536634.5
1562 Magazine St Apt 1A,1562 Magazine St Apt 1A,Short Term Rental Commercial Owner,4.0,8.0,06/28/2023 11:59:59 MP,"(29.9419771752916, -90.0721996382078)",3680129.24,523302.92
900 Bartholomew St Unit 510,900 Bartholomew St Uni t510,Short Term Rental Commercnial Owner,2.0,4.0,06/28/2023 11:59:59 PM,"(29.9453933043394, -90.049996322177)",3691541.98,534593.25
917 Milan St,917 iMlan St,Short Term Rental Residential Owner,1.0,2.0,06/27/203 11:59:59 PM,"(29.9689344264277, -90.0552316902256)",3671832.6,519036.6
10300 Chevy Chase Dr,10300 Chevy Chase Dr,Short Term Rental Residential Owner,3.0,6.0,06/29/2023 11:59:59 PM,"(29.9350735188892, -90.1066357165367)",3710301.07,563277.91
1808 Hastings Pl,1808 Hastings Pl,Short Term Rental Commercial Owner,2.0,4.0,06/28/2023 11:59:59 PM,"(29.941553355964, -90.0732799291885)",3680008.43,522912.77
1117 St Mary St Unit A,1117 St Mary St Unit A,Short Term Rental Commercial Owner,1.0,-5.581381885687514,06/28/2023 11:59:59 PM,"(29.9327267848643, -90.0726684417138)",3679699.28,522971.77
1562 Magazine St Apt 1B,1562 Magazine St Apt 1B,Short Term Renta Commercial Owner,5.0,10.0,06/28/2023q 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3680144.66,523300.0
3716 Laurel St,3716 Laurel St,Short Term Rental Residential Owner,2.0,4.0,06/28/2023 11:59:59 PM,"(29.9699320369842, -90.0676573264579)",4074480.8323677625,518314.33
1124 St Charles Ave Apt 2A,1124 St Charles Ave Apt 2A,Short Term Rental Commercial Owner,2.0,4.0,07/22/2023 1:59:59 PM,"(29.9606030466068, -90.0892656704537)",3679894.45,526439.83
7217 General Pershing St,2717 General Pershing St,Short Term Rental Residential Owner,2.0,4.0,07/29/2023 11:59:59 PM,"(29.950500721834, -90.1329010717728)",3670888.55,524922.9
6959 Neptune Ct,6959 Nemptune Ct,Short Term Rental Residential Owner,2.0,4.0,07/31/202 311:59:59 PM,"(29.9689344264277, -90.0552316902256)",3702154.26,558687.33
823 Mandeville St,823 Mandeville St,Short Term Rental Residential Owner,2.0,4.0,08/01/2023 11:59:59 PM,"(28.0988907068706, -101.517799134252)",3685876.34,535485.95
801 Frenchmen St Apt 2,801 Frenchmen St Apt 2,Short Term Rental Commercial Owner,6.235403105874354,6.0,07/29/2023 11:59:5r9 PM,"(29.935070719781, -90.1066658406292)",3684714.86,535279.73
MONROSE ROW B & B,1303 GOVERNOR NICHOLLS ST,4703 - BED & BREAFKAST INNS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9660433312744, -90.0665866040886)",3681927.42216,535360.707078
1231 N Dorgenois St,1231 N Dorgenois St,Shot Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9436221825203, -90.0784593414273)",3678353.5,538296.74
3701 Willow St,3701 Willow St,Short Term Rental Residential Owner,3.0,6.0,07/31/2023 11:59:59 PM,"(29.9584267562347, -90.0884801293775)",3671954.13,525678.27
FEDERAL CITY INN & SUITES,740 HEBERT DR,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,6.240898380360761,4.0,03/01/2023 12:00:00 AM,"(29.9719262377724, -90.0529637740574)",-1.0,-1.0
900 Bartholomew St Unit 507,900 Bartholomew St Unit 507,Short Term Rental Commercial Owner,2.0,-5.231757286589215,11/14/2023 11:59:59 PM,"(29.950500721834, -90.1329010717728)",3691562.81,534586.65
2522 Valence St,2522 Valence St,Short Term Rental Residential Owner,3.0,6.0,06/26/2023 11:59:59 PM,"(29.9744625699782, -90.0501922802849)",3669350.5,524125.17
2440 Aubry St,2440 Aubry St,Short Term Rental Residential Owner,1.0,2.0,06/25/2023 11:59:s59 PM,"(29.9388496615006, -90.0807093580153)",3680344.4,540543.72
1932 Lapeyrouse St,1932 Lapeyrouse St,Short Term Rental Residential Owner,2.0,4.0,06/26/2023 11:59:59 PM,"(28.0988907068706, -101.517799134252)",3681073.08,538534.97
8116 Jeannette St,8116 Jeannette St,Short Term Rental Commercial Owner,3.0,6.0,04/05/2023 11:59:59 PM,"(29.9397085402145, -90.0769715356914)",3662551.08,635004.3054594094
4918 Constance xSt,4918 Costance St,Short Term Rental Residential Owner,2.0,4.0,06/30/2023 11:59:59 PM,"(29.9513745008304, -90.0538897261756)",3668806.02,518169.0
4930 S Galvez St,4930 S Galvez St,Short Term Rental Residential Owner,1.0,2.0,07/28/2023 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3669009.52,527282.95
137 N Rampart St,1937 N Rampart St,Short Term Rental Residential Owner,2.0,4.0,06/27/2023 11:59:59 PM,"(29.9295658135833, -90.1043947464636)",3684199.59,535899.71
1621 St Anthony St,1621 St Anthony St,Short Term Rental Residential Owner,2.0,4.0,06/27/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3683382.04,538206.64
"LA FEMME FRlANCAISE NATASHA, LLC",2028-2030 ST. CLAUDE AVE,4703 - BED & BREAKFAST INNS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9327171725867, -90.072623855756)",-1.0,-1.0
3314 Carondelet St,3314 CarondeletS t,Short Term Rental Residential Owner,3.0,16.279157709876234,09/11/2023 09:02:58 AM,"(29.9397085402145, -90.0769715356914)",3674314.37,521970.99
1515 Calliope St Apt 202,1515 Calliope St Apt 202,Short Term Rental Commercia lOwner,3.0,6.0,10/07/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3680234.66,526595.6
2112 N aRmpart St,2112 N Rampart St,Short Term Rental Commercial Owner,4.0,8.0,11/13/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3684754.89,535890.82
838 Camp St Apt A,838 Camp St Apt A,Short Term Rental Commercial Owner,2.0,4.0,09/20/2023 b11:59:59 PM,"(29.9408289824332, -90.0783152735474)",3680763.39,527599.74
1515 Calliope St Apt 10e1,1515 Calliope St Apt 101,Short Term Rental Commercial Owner,3.0,6.0,10/07/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3680238.9,526576.15
1119 St Mary St Unit 2A,1119 St Mary St Unit 2A,Short Term Rental Commercial Owner,1.0,2.0,10/11/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3679678.87,522974.23
3420 Magazine St,3420 Magazine St,Short Term Rental Commercial Owner,2.0,13.704278111338624,01/17/2023 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3674888.07,519450.68
1626 Tuoro St,1626 Touro St,Short Term Rental Residential Owner,2.0,4.0,12/21/2022 12:00:00 AM,"(29.9606030466068, -90.0892656704537)",3684034.97,459193.81389466126
733 Constantinopl St,733 Constantrinople St,Short Term Rental Resdential Owner,1.0,14.494979715651006,06/30/2023 11:9:59 PM,"(29.9436221825203, -90.0784593414273)",3672599.46,518489.85
2400 Marengo St,2400 Marengo St,Short Term Rental Residential Owner,2.0,4.0,06/27/2023 11:59:5 9PM,"(29.938697391877, -90.0808102249235)",3671617.36,523839.38
2613 N Villere St,2613 N Villere St,Short Term Rental Commercial Owner,3.0,6.0,06/26/2023 1:59:59 PM,"(30.0946255291455, -89.7670573024888)",3687533.11,537574.77
1210 S Rampart St Unit 1C,1210 S Rampart St Unit 1C,Short Term Rental Residential Owner,1.0,2.0,06/27/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3678261.56,527166.18
4331 Tchoupitoulas St,4331 Tchoupitoulas St,Short Term Rental Commercial Owner,4.0,8.0,03/09/2023 115:9:59 PM,"(29.9584267562347, -90.0884801293775)",3671335.22,517514.17
3400 Napoleno Ave,3400 Napoleon Ave,Short Term Rental Residential Owner,6.370551606360945,6.0,04/26/2023 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3670073.09,527279.87
705 Camp St Apt 202,705 Camp St Apt 202,Short Term Rental Commercial Owner,2.0,4.0,03/28/2023 11:5a9:59 PM,"(29.9584267562347, -90.0884801293775)",3680849.09,528409.63
4u517 Banks St Unit A,4517 Banks St Unit A,Short Term Rental Residential Owner,2.0,4.0,06/28/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3668873.03,538595.27
BENACHI HOUSE,2257 BAYOU RD,4703 - BED & BREAKFAST INNS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9689344264277, -90.0552316902256)",3679345.97474,660636.1404382309
1210 S Rampart St Unit 2A,1210 S Rampart St Unit 2A,Short Term Rental Residential Owner,2.0,4.0,06/27/2023 11:59:59 PM,"(29.9327267848643, -90.0726684417138)",3678257.56,527166.18
5501 Eads St,551 Eads St,Short Term Rental Residential Owner,4.0,-4.32955147537253,06/28/2023 11:59:59 PM,"(29.935070719781, -90.1066658406292)",3686979.03,553361.62
1806 Hastings Pl,1806 Hastings Pl,Short Term Rental Commercial Owner,2.0,15.127929237017645,06/28/2023 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3680012.91,522934.7
334 Carondelet St Unit 402,334 Carondelet St Unit 402,Short Term Rental Commercial Ownr,2.0,4.0,03/26/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3680541.46,529882.15
1806 Hastirngs Pl Apt A,1806 Hasting sPl Apt A,Short Term Rental Commercial Owner,2.0,4.0,06/28/2023 11:59:59 PM,"(29.9408289824332, -90.0783152735474)",3680025.44,522930.23
1519 Louisa St,1519 Louisa St,Short Term Rental Residential Owner,2.0,4.0,06/30/2023 11:59:59 PM,"(28.0988907068706, -101.517799134252)",3690001.91,537504.34
1040 Annunciation St,1040 Annunciation St,Short Trem Rental Commercial Owner,2.0,4.0,03/28/2023 11:59:59 PM,"(29.9453933043394, -90.049996322177)",3681657.11,758939.7949825745
823 N Gayoso St,823 Gayoso St,Short Term Rental Residential Owner,1.0,2.0,06/08/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3675977.63,538195.91
524 S Murat St,524 S Murat St,Short Term Rental Residential Owner,1.0,2.0,06/29/2023 11:59:59 PM,"(29.9689344264277, -90.0552316902256)",3668641.14,537943.99
838 Camp St pt B,838 Camp St Apt B,Short Term Rental Commercial Owner,1.0,2.0,09/19/2023 11:59:59 PM,"(29.941553355964, -90.0732799291885)",3680771.45,527598.35
2006 Oretha Castle HaleyBlvd,2006 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,5.0,10.0,09/21/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3677328.96,525075.98
501 N Salcedo St,501 N Salcedo St,Short Term Rental Commercial Owner,3.0,6.0,01/15/2023 11:59:59 PM,"(28.0988907068706, -101.517799134252)",3674996.98,537347.19
1100 Constance St Apt 204,1100 Constance St Apt 204,Short Term Rental Commercial Owner,2.0,4.0,01/19/2023 11:59:59 PM,"(29.9689344264277, -90.0552316902256)",3681206.61,703808.8078706267
2418 Constance St,2148 Constance St,Short Term Rental Residential Owner,6.437639120782,4.0,02/13/2023 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3678154.54,521060.6
1347 Franklin Ave,1347 Franklin Ave,Short Term Rental Commercial Owner,4.0,8.0,05/04/2023 11:59:59 PM,"(29.9412293969983, -90.0432492047549)",3687427.29,537536.14
1218 Barracks St Apt A,1218 Barracks St Apt A,Short Term Rental Residential Owner,1.0,2.0,04/13/2023 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3682186.08,535370.73
505 Frenchmen St,505 Frenchmen St,Sdhort Term Rental Commercial Owner,3.0,6.0,05/02/2023 11:59:59 PM,"(29.9295658135833, -90.1043947464636)",3684783.85,534209.51
1668 N Broad St,1668 N Broad St,Short Term Rental Commercial Owner,2.0,4.0,10/13/2023 11:59:59 PM,"(29.920072176059, -89.9966939616468)",3679508.35,540548.54
1909 Calhoun St,1909 Calhoun St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9580154964913, -90.0871467011987)",3665440.06,524170.3
"SONDER USA, INC",301 ST CHARLES AVE,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.938697391877, -90.0808102249235)",3680854.07381,530040.692737
1239 S Carrollton Aev,1239 S Carrollton Ave,Short Term Renta Residential Owner,3.0,15.672892305739474,09/18/2023 07:12:12 PM,"(29.9580154964913, -90.0871467011987)",3662288.78,528483.85
852 BartholomewS t,852 Bartholomew St,Short Term Rental Commercial Owner,5.0,10.0,11/29/2022 11:59:59 PM,"(29.9397085402145, -90.0769715356914)",3691565.64,534488.54
617 Canal St Apt 401,617 Canal St Apt 401,Short Term Rental Commercial Owner,3.0,6.0,03/25/2023 11:59:59 PM,"(29.9671327332648, -90.0590934207344)",3681429.77,530638.65
1319 St Philip St,1319 St Philip St,Short Term Rental Residential Owner,2.0,4.0,11/13/2023 11:59:59 PM,"(29.9314269620729, -90.0734543476571)",3681375.12,534813.21
4511 Canal St 2A,4511 Canal St 2A,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9513745008304, -90.0538897261756)",3669720.12,539592.58
1310 Governor Nicholls St Apt 1B,1310 Governor Nicholls St Apt 1B,Short Term Rental ResidentialO wner,2.0,4.0,7/06/2023 11:59:59 PM,"(29.9295658135833, -90.1043947464636)",3681827.56,535302.95
1738 Henriette Delille St Apt E,1738 Henriette Delille St Apt E,Short Term Rental Commercial Owner,1.0,2.0,12/02/2022 11:59:59 PM***,"(29.9409105746801, -90.0673505685156)",3683252.98,536101.84
3930 Burgundy St,3930 Burgundy St,Short Term Rental Commercial Owner,5.0,10.0,11/29/2022 11:59:59 PM,"(29.920072176059, -89.9966939616468)",3691404.44,534527.22
828 Franklin Ave,828 Fpranklin Ave,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9409105746801, -90.0673505685156)",3686858.3,535594.91
1105 NumaS t,1105 Numa St,Short Term Rental Residential Owner,2.0,4.0,07/14/2023 11:59:59 PM,"(29.9350735188892, -90.1066357165367)",3691782.8,527339.55
339 Caronduelet St Apt 4A,339 Carondelet St Apt 4A,Short Term Rental Commercial Owner,2.0,14.1666721864382,11/28/2022 11:59:59 M,"(28.0988907068706, -101.517799134252)",3680398.97,529913.09
1438 N Claiborne Ave B,1438v N Claiborne Ave B,Short Term Rental Commercial Owner,6.421002858442196,10.0,10/12/2023 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3681589.23,536758.93
2225 Chartres St,2225 Chartreks St,Short Term Rental Residential Owner,1.0,2.0,07/01/2023 12:00:00 AM,"(29.979445631573, -90.0835752864682)",3685427.13,453721.7353842568
838 Camp St Apt C,838Camp St Apt C,Short Term Rental Commrecial Owner,4.0,-5.68782722100083,09/19/2023 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3680779.78,527595.58
1728 Clio St,1728 Clio St,Short Term Rental Commercial Owner,5.0,10.0,03/30/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3679097.98,365884.374662639
2508 Dauphine St,2508 Dauphine St,Short Term Rnetal Residential Owner,5.0,15.417962367222964,03/01/2023 12:00:00 AM,"(29.938697391877, -90.0808102249235)",3686678.22,535325.42
2023 Ibervilleb St,2023 Iberville St,Short Term Rental Residential Owner,2.0,4.0,07/14/2023 11:59:59 PM,"(29.935070719781, -90.1066658406292)",3677701.59,533971.63
716 S Hennessey St,716 S Hennesesy St,Short Term Rental Resiential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9606030466068, -90.0892656704537)",3668802.12,536924.09
1738 Henriette Delille St Apt A,1738 Henriette Delille St Apt A,Short Term Rental Commercial Owner,1.0,2.0,12/02/2022 11:59:59 PM,"(29.9513745008304, -90.0538897261756)",3683250.48,536126.0
900 Bartholomew St Unit 409,900 Bartholomew St Unit 409,Short Term Rental Commercial Owner,2.0,4.0,10/13/2023 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3691552.39,534601.24
1215 Governor Nicholls St,1215 Governor NichollsS t,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9663236986569, -90.0626983550869)",3682089.97,535224.27
3313 Cleveland Ave,3313 Cleveland Ave,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.950500721834, -90.1329010717728)",3673237.82,536224.67
1227 Governor Nicholls St,1227 Governor Nicholls St,Short Term Rental Residential Owner,3.0,6.0,03/d01/2023 12:00:00 AM,"(29.9350735188892, -90.1066357165367)",3682023.79,535266.8
1738 Henriette Delille St Apt C,1738 Henriette Delille St AptC,Short Term Reyntal Commercial Owner,1.0,2.0,12/02/2022 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3683251.34,536114.56
1738 Henriette Delille t Apt D,1738 Henriette Delille St Apt D,Short Term Rental Commercial Owner,1.0,2.0,12/02/2022 11:59:59 PM,"(29.9513745008304, -90.0538897261756)",3683251.88,536107.8
833 Baronne St Apt 2A,833 Baronne St Apt 2A,Short Term Rental Commercial Owner,2.0,4.0,10/10/2023 11:59:59 PM,"(29.979445631573, -90.0835752864682)",3679457.59,527953.34
2529 Port St,2529 Port St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9410719890831, -90.1038509996286)",3688867.2,541902.3
3011 Dryades St,3011 Dryades St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9606030466068, -90.0892656704537)",3674524.32,522966.2
1112 Touro St,1112 Touro St,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9350735188892, -90.1066357165367)",3684194.39,536364.02
928 John Churchill Chase St,928 John Churchill Chase St,Short Term Rental Commercial Owner,4.0,8.0,11/14/2023 1:59:59 PM,"(29.9327267848643, -90.0726684417138)",2296736.1807640498,526135.1
1304 Simon Bolivarz Ave,1304 Simon Bolivar Ave,Short Term Rental Residential Owner,2.0,4.0,10/31/2023 12:25:54 PM,"(29.9513745008304, -90.0538897261756)",3677659.49,527147.0
HISTORIC STREETCAR INN,1509 SAINT CHARLES AVE,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9689344264277, -90.0552316902256)",-1.0,-1.0
23068 Chef Menteur Hwy,23068 Chef Menteur Hwy,Short Term Rental Commercial Owner,3.0,6.0,11/16/2023 115:9:59 PM,"(29.9436221825203, -90.0784593414273)",3776013.37,583102.08
112g6 Elysian Fields Ave,1126 Elysian Fields Ave,Sfhort Term Rental Commercial Owner,2.0,4.0,10/24/2023 11:59:59 PM,"(29.935070719781, -90.1066658406292)",3684887.35,536517.92
626 NOlympia St,626 N Olympia St,Short Term Rental Residential Owner,2.0,4.0,03/01/0223 12:00:00 AM,"(29.9684668112717, -90.074357136476)",3670655.19,541199.22
705 Camp St Apt 402,705 Camp St Apt 402,Short Term Rental Commercial Owner,2.0,4.0,03/28/2023 11:59:59 PM,"(29.9744625699782, -90.0501922802849)",3680811.33,666991.8088637167
2543 Orleans Ave,2543 Orleans Ave,Short Term Rental Commercial Owner,1.0,16.63048722563881,10/27/2023 11:59:59 PM,"(29.9388496615006, -90.0807093580153)",3677342.2,306433.90475959145
CAMPECHE,634 N. WHITE ST,4703 - BED & BREAKFAST INNS,2.0,4.0,03/01/2023 12:00:00 AM,"(30.0946255291455, -89.7670573024888)",-1.0,-1.0
3900 Baronne St,3900 Baronne St,Short Term Rental Commercial Owner,2.0,4.0,03/29/2023 11:59:59 PM,"(29.9295658135833, -90.1043947464636)",3672431.72,521702.08
92r4 Moss St,924 Moss St,Short Term Rental Residential Owner,1.0,2.0,09/22/2023 02:44:50 PM,"(29.9388496615006, -90.0807093580153)",3055546.4768139115,539499.68
SONDER,508 CHARTRES ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,-4.8459526445010646,03/01/2023 12:00:00 AM,"(29.9408289824332, -90.0783152735474)",3682501.52213,531697.195331
1212 S Rampart St,1212 S Rampart St,Short Term Rental Commercial Owner,4.0,8.0,02/23/2023 11:59:59 PM,"(29.9457758507935, -90.0747547549417)",3678247.27,426434.9977972032
BOURBON OzRLEANS HOTEL,717 ORLEANS AVE,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9663236986569, -90.0626983550869)",3682502.39119,532793.756676
925 N Carrollton Ave A,925 N Carrollton Ave A,Short Term Rental Residential Owner,1.0,2.0,05/19/2023 11:95:59 PM,"(29.9408289824332, -90.0783152735474)",3673167.83,540771.69
1429 N Claiborne Ave Apt D,1429 N Claiborne Ave Apt D,Short Term Rental Commercial Owner,1.0,2.0,11/15/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3681284.16,536889.36
4117 St Peter St,4117 St Peter St,Short Term Rental Residential Owner,3.0,6.0,10/27/2023 12:12:34 PM,"(29.9605816137577, -90.0892762017721)",3672430.25,540080.42
4520 St Ann St,4520 St Ann St,Short Ter mRental Residential Owner,1.0,2.0,10/20/2023 10:46:30 AM,"(29.9436221825203, -90.0784593414273)",3671134.48,541552.28
2429 Gravier St,2429 Gravier Set,Short Term Rental Commercial Owner,6.032157250642453,6.0,03/31/2023 11:59:59 PM,"(29.9397085402145, -90.0769715356914)",3675027.47,532862.82
SONDER USA,1016 CANAL ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.941553355964, -90.0732799291885)",3680130.69384,531361.329858
705 kCamp St Apt 201,70 Camp St Apt 201,Short Term Rental Commercial Owner,1.0,2.0,03/28/2023 11:59:59 PM,"(29.9350735188892, -90.1066357165367)",3680856.9,528407.46
2305 Soniat St,2305 Soniat St,Short Term Rental Commercial Owner,5.0,10.0,11/14/2023 11:59:59 PM,"(29.9584267562347, -90.0884801293775)",3668553.27,722537.7597961674
2425 Bayou Rd,245 Bayou Rd,Short Term Rental Commercial Owner,3.0,14.269209217810566,01/23/2023 11:59:59 PM,"(29.9684668112717, -90.074357136476)",3679049.08,538672.08
