OBJECTID,DISTRICT,ParkID,Name,Address,County,ParkType,Zip,Owner,PublicPrivate,Acreage,PerviousSurf,WEBSITE,PHOTO,HOURS,ACCESSIBLERESTROOMS,ALCOHOLALLOWED,CLASSIFICATION,OperatedBy,PlanningType,GlobalID,AssetID,created_user,created_date,last_edited_user,last_edited_date,ShortLabel,ShapeSTArea,ShapeSTLength
65,2,P219,THELIN PARK,3800 N GALAXY LN,Minnehaha,PARK,57107,CITY OF SIOUX FALLS,Public,26.49692459,,https://siouxfalls.org/parks/parks/locations/thelin,https://gis.siouxfalls.org/data/ActivitiesPhotos/signs/thelinentrancesign.jpg,5am-10pm,,,Neighborhood,Parks Field User Elmwood,,{0C037608-9078-4B5B-BEE5-0F6B52A46ED3},{0C037608-9078-4B5B-BEE5-0F6B52A46ED3},,,C6776,2022/12/05 17:25:51+00,THELIN,1154201.41816561,4944.83426717657
66,99,P104,SPRING CREEK GOLF COURSE,27122 480TH AVE,Lincoln,GOLF COURSE,57108,,Private,118.63850732,,https://www.springcreekcountryclub.com/,,,,,Special Use,,,{096474E3-DBD5-4B46-A5E4-493A6C234845},{096474E3-DBD5-4B46-A5E4-493A6C234845},,,C6776,2022/12/05 17:25:46+00,SPRING CREEK GC,5167872.70737501,13608.1061194864
68,99,P105,COUNTRY CLUB OF SIOUX FALLS,3400 W 22ND ST,Minnehaha,GOLF COURSE,57106,WESTWARD HO C C INC,Private,201.03069341,,,,,,,Special Use,,,{8801786F-28CC-4460-B610-E0C76F62D30E},{8801786F-28CC-4460-B610-E0C76F62D30E},,,C6776,2022/12/05 17:20:23+00,COUNTRY CLUB,8756861.97730578,18835.7498019932
69,99,P102,MINNEHAHA COUNTRY CLUB,3101 W 22ND ST,Minnehaha,GOLF COURSE,57105,MINNEHAHA COUNTRY CLUB,Private,142.45753382,,,,,,,Special Use,,,{F150AC8A-DB4E-4C4D-A016-34F7E522C1B3},{F150AC8A-DB4E-4C4D-A016-34F7E522C1B3},,,C6776,2022/12/05 17:23:57+00,MINNEHAHA CC,6205425.35143902,14820.4386917195
70,4,P405,GRANITE VALLEY PARK,1601 E 69TH ST N,Minnehaha,PARK,57104,CITY OF SIOUX FALLS,Public,4.92383465,,https://siouxfalls.org/parks/parks/locations/granite-valley,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/granitevalleymainview.jpg,5a.m.-10p.m.,,,Neighborhood,Parks Field User Great Bear,,{BDAC0E5A-03FE-43F2-B019-4F828B303CB4},{BDAC0E5A-03FE-43F2-B019-4F828B303CB4},,,C6776,2022/12/05 17:21:25+00,GRANITE VALLEY,214481.379377276,1878.94076953576
71,2,P202,ELMEN TRAILHEAD,3200 W 12TH ST,Minnehaha,PARK,57104,CITY OF SIOUX FALLS,Public,2.78749342,,https://siouxfalls.org/parks/parks/locations/elmen-trailhead,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/elmentrailheadsignview.jpg,5a.m.-10p.m.,,Yes,Greenway,Parks Field User Elmwood,,{02B24ACA-5B80-4BED-9D46-BA06A3C911CF},{02B24ACA-5B80-4BED-9D46-BA06A3C911CF},,,C6776,2022/12/05 17:20:47+00,ELMEN,121422.727855326,1772.64513765931
72,3,P316,SOUTHERN VISTAS PARK,8000 W 53RD ST,Minnehaha,PARK,57106,CITY OF SIOUX FALLS,Public,8.93981143,,https://siouxfalls.org/parks/parks/locations/southern-vistas,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/southervistasmainview.jpg,5am-10pm,,,Neighborhood,Parks Field User Kuehn,,{958347B9-93A7-4AC9-A3B7-385E42DF3739},{958347B9-93A7-4AC9-A3B7-385E42DF3739},,,C6776,2022/12/05 17:25:38+00,SOUTHERN VISTAS,389416.628169342,2979.51283774246
73,2,P212,SANFORD SPORTS COMPLEX,4020 N BOBHALLA DR,Minnehaha,COMPLEX,57107,CITY OF SIOUX FALLS,Public,43.95518349,,https://siouxfalls.org/parks/parks/locations/sanford-sports-complex,,,,,Regional,Parks Field User Elmwood,,{AC20B0E1-C87C-4551-BEC1-7DEDA56AB298},{AC20B0E1-C87C-4551-BEC1-7DEDA56AB298},,,C6776,2022/12/05 17:25:22+00,SANFORD,1914680.13386806,6859.9633445317
74,3,P304,GALWAY PARK,7420 W 64TH ST,Lincoln,PARK,57106,CITY OF SIOUX FALLS,Public,6.36938147,,https://siouxfalls.org/parks/parks/locations/galway,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/galwaymainview.jpg,5a.m.-10p.m.,,,Neighborhood,Parks Field User Kuehn,,{66BDC046-7ED5-4A0E-9BC9-855BF4256586},{66BDC046-7ED5-4A0E-9BC9-855BF4256586},,,C6776,2022/12/05 17:21:20+00,GALWAY,277449.147168314,2441.53859843029
76,2,P205,FAMILY PARK,300 N ELLIS RD,Minnehaha,NATURE AREA,57107,CITY OF SIOUX FALLS,Public,244.37330653,,https://siouxfalls.org/parks/parks/locations/family,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/familysignview.jpg,,,Yes,Nature Preserve,Parks Field User Dunham,,{159B6682-324C-4F09-BC0E-4B3A6E5A6662},{159B6682-324C-4F09-BC0E-4B3A6E5A6662},,,C6776,2022/12/05 17:21:02+00,FAMILY,10644858.6528169,17949.0149199277
77,4,P413,LINWOOD PARK,4409 E WALKER WAY,Minnehaha,PARK,57103,CITY OF SIOUX FALLS,Public,2.87683748,,https://siouxfalls.org/parks/parks/locations/linwood,,5am-10pm,,,Neighborhood,Parks Field User Great Bear,,{940EFE7C-C375-48D2-8DD9-9781AE52FEBC},{940EFE7C-C375-48D2-8DD9-9781AE52FEBC},,,C6776,2022/12/05 17:22:53+00,LINWOOD,125314.539486152,1457.37989319024
78,5,P501,FRED DAWLEY PARK,5801 E RED OAK DR,Minnehaha,PARK,57110,CITY OF SIOUX FALLS,Public,7.24412768,,https://siouxfalls.org/parks/parks/locations/fred-dawley,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/freddawleymainview.jpg ,5am-10pm,,Yes,Neighborhood,Parks Field User Arrowhead,,{B65B3787-1FAB-412D-B94C-E6086055AA08},{B65B3787-1FAB-412D-B94C-E6086055AA08},,,C6776,2022/12/05 17:21:19+00,FRED DAWLEY,315552.939649324,3448.5614977714
79,4,P404,KIRBY DOG PARK AT FT SOD,201 S 2ND AVE,Minnehaha,PARK,57104,CITY OF SIOUX FALLS,Public,0.41310825,,https://siouxfalls.org/parks/parks/locations/fort-sod,https://vueworks.siouxfalls.org/VWDocs/Parks/KirbyDogParkatFortSod.jpg,5a.m.-10p.m.,,No,Special Use,Parks Field User Downtown,,{DEA24842-D0BC-4A08-8206-7731F9175DEF},{DEA24842-D0BC-4A08-8206-7731F9175DEF},,,GIS,2023/06/05 16:38:46+00,KIRBY,17994.9232387083,579.449516082002
80,2,P207,HAYWARD PARK,300 N VALLEY VIEW RD,Minnehaha,PARK,57107,CITY OF SIOUX FALLS,Public,6.12277548,,https://siouxfalls.org/parks/parks/locations/hayward,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/haywardmainview.jpg,5a.m.-10p.m.,,,Neighborhood,Parks Field User Dunham,,{B2A54135-EBF7-4966-BA62-5D6293078372},{B2A54135-EBF7-4966-BA62-5D6293078372},,,C6776,2022/12/05 17:21:44+00,HAYWARD,266707.032928374,2262.18000387862
81,5,P510,MORNINGSIDE PARK,2500 S BAHNSON AVE,Minnehaha,PARK,57103,CITY OF SIOUX FALLS,Public,20.32099379,,https://siouxfalls.org/parks/parks/locations/morningside,,5am-10pm,,,Community,Parks Field User Arrowhead,,{5517BDAA-F24A-4B58-B1B0-6AA180B8EC48},{5517BDAA-F24A-4B58-B1B0-6AA180B8EC48},,,C6776,2022/12/05 17:24:15+00,MORNINGSIDE,885178.948694919,4599.47590167499
82,4,P417,NELSON PARK,321 S FAIRFAX AVE,Minnehaha,PARK,57103,CITY OF SIOUX FALLS,Public,6.75954406,,https://siouxfalls.org/parks/parks/locations/nelson,,5am-10pm,,,Community,Parks Field User Nelson,,{B7B9817C-FF69-456B-9522-026AEDB2CD9C},{B7B9817C-FF69-456B-9522-026AEDB2CD9C},,,city\svcvwgis,2023/03/30 15:52:02+00,NELSON,294444.561503232,3174.47392806681
83,4,P415,MANSOR PIONEER PARK,1800 E WALNUT ST,Minnehaha,PARK,57103,CITY OF SIOUX FALLS,Public,3.5999876,,https://siouxfalls.org/parks/parks/locations/mansor-pioneer,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/mansorpioneermainview.jpg,5am-10pm,Yes,,Neighborhood,Parks Field User Great Bear,,{EE36DDD3-72B2-4DDF-B592-7ABBC4A7A051},{EE36DDD3-72B2-4DDF-B592-7ABBC4A7A051},,,C6776,2022/12/05 17:23:16+00,MANSOR PIONEER,156814.832737513,1715.99071056576
84,3,P514,PRAIRIE TRAIL PARK,5401 S TOMAR RD,Lincoln,PARK,57108,CITY OF SIOUX FALLS,Public,8.47689637,,https://siouxfalls.org/parks/parks/locations/prairie-trail,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/prairietrailmainview.jpg,5am-10pm,,,Neighborhood,Parks Field User Sertoma,,{79EFC068-4A67-4013-A429-417E2F789EB9},{79EFC068-4A67-4013-A429-417E2F789EB9},,,C6776,2022/12/05 17:25:02+00,PRAIRIE TRAIL,369593.582051767,2876.29547525372
86,8,P103,PRAIRIE GREEN PUBLIC GOLF COURSE,600 E 69TH ST,Lincoln,GOLF COURSE,57108,CITY OF SIOUX FALLS,Public,193.02094099,,,,5am-10pm,,,Special Use,,,{04ADD586-B453-452C-BC34-AD2404A3B3E5},{04ADD586-B453-452C-BC34-AD2404A3B3E5},,,C6776,2022/12/05 17:24:50+00,PRAIRIE GREEN GC,8407958.5575316,40790.3339189644
87,2,P209,LEGACY PARK,7001 W 12TH ST,Minnehaha,NATURE AREA,57103,CITY OF SIOUX FALLS,Public,43.30733573,,https://siouxfalls.org/parks/parks/locations/legacy,,,,,Nature Preserve,Parks Field User Dunham,,{C45CD868-EBF5-4048-A443-A7EA7DB1550A},{C45CD868-EBF5-4048-A443-A7EA7DB1550A},,,C6776,2022/12/05 17:22:45+00,LEGACY,1886459.99873714,9569.25495460848
88,8,P101,KUEHN PUBLIC GOLF COURSE,2501 S KUEHN PARK RD,Minnehaha,GOLF COURSE,57106,CITY OF SIOUX FALLS,Public,44.47509955,,https://dakotagolf.com/course/kuehn-park/,,,,,Special Use,,,{D643E8D5-0825-4C57-A81A-05EE744AA41C},{D643E8D5-0825-4C57-A81A-05EE744AA41C},,,C6776,2022/12/05 17:22:38+00,KEUHN GC,1937327.58707014,6336.25916623525
89,3,P307,KUEHN PARK & POOL,2309 S KUEHN PARK RD,Minnehaha,PARKPOOL,57106,CITY OF SIOUX FALLS,Public,39.75709964,,https://siouxfalls.org/parks/parks/locations/kuehn,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/kuehnmainview.jpg,5am-10pm,Yes,,Community,Parks Field User Kuehn,,{BC1A15EC-A10F-4149-87C7-44B866CCFE07},{BC1A15EC-A10F-4149-87C7-44B866CCFE07},,,C6776,2022/12/05 17:22:35+00,KEUHN,1731812.33303827,8880.67109353329
90,5,P429,WILLOW RIDGE PARK,7900 E WILLOWWOOD ST,Minnehaha,PARK,57110,CITY OF SIOUX FALLS,Public,6.83324527,,https://siouxfalls.org/parks/parks/locations/willowridge,,,,,Neighborhood,Parks Field User Arrowhead,,{2867BC46-F33D-4B2E-B59B-2DB0107701FC},{2867BC46-F33D-4B2E-B59B-2DB0107701FC},,,C6776,2022/12/05 17:26:25+00,WILLOW RIDGE,297654.973168323,3074.52143886296
91,2,P305,GREAT PLAINS ZOO,805 S KIWANIS AVE,Minnehaha,ZOO,57105,CITY OF SIOUX FALLS,Public,51.49606021,,https://greatzoo.org/,,,,,Special Use,Parks Field User Zoo,,{DCDC3CD4-17AE-40AE-8A7B-DEDBB41F6CB5},{DCDC3CD4-17AE-40AE-8A7B-DEDBB41F6CB5},,,C6776,2022/12/05 17:21:33+00,GREAT PLAINS ZOO,2243162.41207963,7946.6718009026
93,4,P401,BRYANT PARK,1400 E 14TH ST,Minnehaha,PARK,57104,CITY OF SIOUX FALLS,Public,1.80637469,,https://siouxfalls.org/parks/parks/locations/bryant,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/bryantmainview.jpg,5am-10pm,,Yes,Neighborhood,Parks Field User Great Bear,,{57AFA35E-232F-4685-A786-300BDC4EC10C},{57AFA35E-232F-4685-A786-300BDC4EC10C},,,C6776,2022/12/05 17:19:54+00,BRYANT,78685.3669212882,1136.37046803095
94,3,P302,DUGAN PARK,2830 S DULUTH AVE,Minnehaha,PARK,57105,CITY OF SIOUX FALLS,Public,4.27947039,,https://siouxfalls.org/parks/parks/locations/dan-dugan,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/duganparkmainview.jpg,5a.m.-10p.m.,,Yes,Neighborhood,Parks Field User Sertoma,,{3D76BC31-65B7-423E-BC1D-49C7F591BB98},{3D76BC31-65B7-423E-BC1D-49C7F591BB98},,,C6776,2022/12/05 17:20:43+00,DUGAN,186412.984681129,1849.73547306254
95,4,P402,FALLS PARK,131 E FALLS PARK DR,Minnehaha,PARK,57104,"CITY OF SIOUX FALLS, STATE OF SOUTH DAKOTA",Public,89.47950436,,https://siouxfalls.org/parks/parks/locations/falls-park,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/fallsmainview.jpg,5a.m.-10p.m.,,No,Regional,Parks Field User Falls,,{C41D6826-ED35-45EE-AB58-D32E71FBAB07},{C41D6826-ED35-45EE-AB58-D32E71FBAB07},,,C6776,2023/02/22 22:33:51+00,FALLS,3897711.61889504,22274.9070134172
97,99,P900,IZAAK WALTON,5000 N OAKVIEW PL,Minnehaha,OTHER,57110,IZAAK WALTON,Private,9.72914255,,,,,,,Special Use,,,{797ED003-6F9B-400C-994F-A99E71727F68},{797ED003-6F9B-400C-994F-A99E71727F68},,,C6776,2022/12/05 17:21:54+00,IZAAK WALTON,423799.754316225,2895.29423657639
98,4,P500,CHERRY ROCK PARK,1800 E 18TH ST,Minnehaha,GREENWAY,57103,CITY OF SIOUX FALLS,Public,22.142096,,https://siouxfalls.org/parks/parks/locations/cherry-rock,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/cherryrockmainview.jpg ,5a.m.-10p.m.,,,Community,Parks Field User Nelson,,{61678E19-AB7F-4C57-84F6-B4620803CD37},{61678E19-AB7F-4C57-84F6-B4620803CD37},,,C6776,2022/12/05 17:20:18+00,CHERRY ROCK,964505.843924372,7589.23218698142
99,5,P520,RIVER BOULEVARD GREENWAY,520 S CLIFF AVE,Minnehaha,GREENWAY,57104,CITY OF SIOUX FALLS,Public,13.23310136,,https://siouxfalls.org/parks/parks/locations/river-boulevard-greenway,,,,,Greenway,Parks Field User Nelson,,{2032B8D0-9BC6-41C6-A48D-E4DF3269CBC1},{2032B8D0-9BC6-41C6-A48D-E4DF3269CBC1},,,C6776,2022/12/05 17:25:14+00,RIVER BLVD,576431.589501692,5031.83505924946
100,4,P409,LLOYD LANDING SITE,501 N 1ST AVE,Minnehaha,SITE,57104,CITY OF SIOUX FALLS,Public,1.26575259,,https://siouxfalls.org/parks/parks/locations/kiwanis,,5a.m.-10p.m.,,,Urban Plaza,Parks Field User Downtown,,{E41D4B97-D12F-4EA8-B8F5-37CBA5B81D88},{E41D4B97-D12F-4EA8-B8F5-37CBA5B81D88},,,C6776,2023/07/17 13:07:18+00,LLOYD LANDING,40218.6606917469,928.446601492565
101,8,P801,HOWARD WOOD FIELD,1200 N WESTERN AVE,Minnehaha,FIELD,57104,"SIOUX FALLS SCHOOL DISTRICT
",Public,13.40503094,,,,5a.m.-10p.m.,,,Special Use,,,{71D7016D-B454-478A-9AFA-572EC08E110D},{71D7016D-B454-478A-9AFA-572EC08E110D},,,C6776,2022/12/05 17:21:48+00,HOWARD WOOD,583920.811889631,3501.60551782494
103,2,99,SIOUX FALLS STADIUM,1001 N WEST AVE,Minnehaha,COMPLEX,57104,,Private,7.35965376,,,,,,,Special Use,,,{D15D06C9-7369-4B29-9A38-15AA0476999A},{D15D06C9-7369-4B29-9A38-15AA0476999A},,,C6776,2022/12/05 17:25:32+00,STADIUM,320585.235456781,2416.75391111904
104,5,P509,MARY JO WEGNER ARBORETUM,1900 S PERRY LN,Minnehaha,ARBORETUM,57110,CITY OF SIOUX FALLS,Public,82.10592449,,https://www.maryjowegnerarboretum.com/,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/MaryJoWegnerArboretumSign.JPG,,,,Nature Preserve,Parks Field User Arrowhead,,{D1A660BA-87D6-4038-B845-98DE19DF3809},{D1A660BA-87D6-4038-B845-98DE19DF3809},,,C6776,2022/12/05 17:23:29+00,MARY JO WEGNER,3732966.47350258,16637.1054506472
105,5,P513,PERRY NATURE AREA,1901 S PERRY PL,Minnehaha,NATURE AREA,57110,MINNEHAHA COUNTY,Public,30.24092426,,,,,,,Nature Preserve,,,{E771F659-865E-441A-A3EF-798042B4AAE7},{E771F659-865E-441A-A3EF-798042B4AAE7},,,C6776,2022/12/05 17:24:34+00,PERRY,1317289.39172717,7508.69438719853
106,4,P427,NURSERY SITE,600 W 60TH ST N,Minnehaha,NATURE AREA,57104,CITY OF SIOUX FALLS,Public,26.59989652,,,,,,,Nature Preserve,Parks Field User Elmwood,,{340DD48F-5FD9-42EF-86E0-E4280300FA47},{340DD48F-5FD9-42EF-86E0-E4280300FA47},,,C6776,2022/12/05 17:24:23+00,NURSERY,1158686.85781824,4376.57653365343
107,4,P428,DRAKE SPRINGS PARK & POOL,330 S FAIRFAX AVE,Minnehaha,PARKPOOL,57103,CITY OF SIOUX FALLS,Public,11.31245298,,https://siouxfalls.org/contactus/parks/Aquatics/Pool_Drake_Springs,,,,No,Community,Nelson Park Field User,,{6F517246-7558-4D3F-8899-DC6E7C3AA59F},{6F517246-7558-4D3F-8899-DC6E7C3AA59F},,,C6776,2022/12/05 17:20:39+00,DRAKE SPRINGS,492768.480580411,2823.42737058468
109,5,P524,MAJESTIC MEADOWS PARK,3601 S SPARTA AVE,Minnehaha,SITE,57110,CITY OF SIOUX FALLS,Public,7.91561586,,,,,,,Neighborhood,Parks Field User Arrowhead,,{A561F03B-5E2B-4D22-94A1-C881FB22B6FE},{A561F03B-5E2B-4D22-94A1-C881FB22B6FE},,,C6776,2022/12/05 17:23:07+00,MAJESTIC MEADOWS,344802.847500143,2408.54687839353
110,5,P519,ARROWHEAD PARK,1710 S RIVER BLUFF RD,Minnehaha,NATURE AREA,57110,CITY OF SIOUX FALLS,Public,128.81218114,,https://siouxfalls.org/parks/parks/locations/arrowhead-park,https://gis.siouxfalls.org/data/ActivitiesPhotos/otheramenities/barnarrowhead.jpg,5am-10pm,Yes,,Nature Preserve,Parks Field User Arrowhead,,{78DA9757-0BC9-4E13-AA82-FBE646AE47F2},{78DA9757-0BC9-4E13-AA82-FBE646AE47F2},,,C6776,2022/12/05 17:19:48+00,ARROWHEAD,5611036.16640316,12391.4411302698
111,4,P435,DOWNTOWN RIVER GREENWAY,151 E 8TH ST,Minnehaha,GREENWAY,57104,CITY OF SIOUX FALLS,Public,2.89213734,,,,,,,Greenway,,,{3F8D306A-BD41-48CB-9AC8-3B3CE569BFD2},{3F8D306A-BD41-48CB-9AC8-3B3CE569BFD2},enme,2014/04/28 18:22:07+00,C6776,2022/12/05 17:20:36+00,DOWNTOWN GREENWAY,143374.821632834,7924.02862699969
512,3,P322,PRAIRIE HILLS WEST PARK,6601 S HEMINGSTONE TRL,Lincoln,PARK,57108,CITY OF SIOUX FALLS,Public,2.5154075,,https://siouxfalls.org/parks/parks/locations/prairie-hills-west,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/prairiehillsmainview.jpg,5am-10pm,,,Neighborhood,Parks Field User Sertoma,,{A04BD3E5-4B32-4A7F-81B6-248116F37F38},{A04BD3E5-4B32-4A7F-81B6-248116F37F38},ENME,2015/04/28 13:12:01+00,C6776,2022/12/05 17:24:55+00,PRAIRIE HILLS WEST,109570.712472097,1558.95077608541
514,3,P507,LEWIS PARK,1801 E 54TH ST,Minnehaha,PARK,57103,CITY OF SIOUX FALLS,Public,4.82583789,,https://siouxfalls.org/parks/parks/locations/lewis,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/lewisparkmainview.jpg,5am-10pm,Yes,,Neighborhood,Parks Field User McKennan_Tuthill,,{CE0DE948-1AA2-46CB-B2B7-9497D123D7B9},{CE0DE948-1AA2-46CB-B2B7-9497D123D7B9},GIS,2016/01/28 14:14:53+00,C6776,2022/12/05 17:22:51+00,LEWIS,210212.657434632,1841.77726710008
516,2,P223,MCGOVERN PARK SITE,2300 N EAGLES NEST AVE,Minnehaha,SITE,57107,CITY OF SIOUX FALLS,Public,6.99999489,,,,,,,Neighborhood,,,{9A4A3964-805A-4FC8-A93E-042A17AB9D4A},{9A4A3964-805A-4FC8-A93E-042A17AB9D4A},ENME,2016/02/19 16:39:29+00,C6776,2022/12/05 17:23:34+00,MCGOVERN,304918.557706467,2209.11947225489
517,5,P522,WHISPERING WOODS SOUTH PARK,5820 S BAHNSON AVE,Lincoln,PARK,57108,CITY OF SIOUX FALLS,Public,6.94268022,,https://siouxfalls.org/parks/parks/locations/whispering-woods-south,,,,,Neighborhood,Parks Field User Pasley,,{A14E6B82-3C6A-4CE2-83AD-044EC2C8B899},{A14E6B82-3C6A-4CE2-83AD-044EC2C8B899},ENME,2016/02/19 23:07:33+00,C6776,2022/12/05 17:26:18+00,WHISPERING WOODS SOUTH,302421.940515265,2643.74597468708
916,2,P220,VETERANS' MEMORIAL PARK,1021 W BAILEY ST,Minnehaha,PARK,57104,CITY OF SIOUX FALLS,Public,21.45109038,,https://siouxfalls.org/parks/parks/locations/veterans,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/veteransmemorialmainview.jpg,5am-10pm,Yes,No,Regional,Parks Field User Terrace,,{6279DF3C-0A42-4020-8EF2-33B00D760CA0},{6279DF3C-0A42-4020-8EF2-33B00D760CA0},ENME,2016/03/17 15:38:10+00,C6776,2022/12/05 17:26:11+00,VETERANS MEMORIAL,934405.759124521,4817.18823746343
1316,4,P433,KENNY ANDERSON COMMUNITY CENTER,3701 E 3RD ST,Minnehaha,COMMUNITYCENTER,57103,SIOUX FALLS SCHOOL DISTRICT,Public,1.39265063,,https://www.siouxfalls.org/parks/community-centers/listing/kenny-anderson,https://gis.siouxfalls.org/data/ActivitiesPhotos/communitycenter/kennyandersonmainview.jpg,"2:45-6pm M-F; 1-5pm Sat-Sun ",Yes,No,Special Use,,,{BF8AEE1E-9D02-4EE1-AF5B-2E75BB07B871},{BF8AEE1E-9D02-4EE1-AF5B-2E75BB07B871},ENME,2016/05/02 19:17:53+00,PARKSIRRIGATIONEDITOR,2021/10/14 21:22:24+00,,60663.6188178982,994.621310752383
1317,5,P520,MORNINGSIDE COMMUNITY CENTER,2400 S BAHNSON AVE,Minnehaha,COMMUNITYCENTER,57103,SIOUX FALLS SCHOOL DISTRICT,Public,1.51939643,,https://www.siouxfalls.org/parks/community-centers/listing/morningside,https://gis.siouxfalls.org/data/ActivitiesPhotos/communitycenter/morningsidemainview.jpg,"2:45-6pm M-F; 1-5pm Sat-Sun ",Yes,No,Special Use,Parks Field User Arrowhead,,{C6440858-291F-43E3-90B5-4E53EE1A4971},{C6440858-291F-43E3-90B5-4E53EE1A4971},ENME,2016/05/02 19:57:40+00,PARKSIRRIGATIONEDITOR,2021/10/14 21:22:24+00,,66184.6439495168,1084.37428221579
1318,,P221,MARICAR COMMUNITY CENTER,400 N VALLEY VIEW RD,Minnehaha,COMMUNITYCENTER,,SIOUX FALLS SCHOOL DISTRICT,Public,1.15449254,,https://www.siouxfalls.org/parks/community-centers/listing/maricar,https://gis.siouxfalls.org/data/ActivitiesPhotos/communitycenter/maricarmainview.jpg,"2:45-6pm M-F; 1-5pm Sat-Sun ",Yes,No,Special Use,,,{D402CC6E-3798-4177-B23B-4539B999E632},{D402CC6E-3798-4177-B23B-4539B999E632},ENME,2016/05/02 20:10:50+00,PARKSIRRIGATIONEDITOR,2021/10/14 21:22:24+00,,50289.4939327762,921.340490896558
1320,,P224,OYATE COMMUNITY CENTER,2421 W 15TH ST,Minnehaha,COMMUNITYCENTER,57104,SIOUX FALLS SCHOOL DISTRICT,Public,0.79590535,,https://www.siouxfalls.org/parks/community-centers/listing/oyate,https://gis.siouxfalls.org/data/ActivitiesPhotos/communitycenter/oyatemainview.jpg,"2:45-6pm M-F; 1-5pm Sat-Sun ",Yes,No,Special Use,,,{1323F78D-19F1-4B0F-AF1D-975DBB313D9A},{1323F78D-19F1-4B0F-AF1D-975DBB313D9A},ENME,2016/05/02 21:58:05+00,C8640,2022/01/27 18:28:49+00,,34669.4981924621,746.653968252927
1716,2,P201,DUNHAM PARK,1301 S MARION RD,Minnehaha,PARK,57106,CITY OF SIOUX FALLS,Public,91.97814732,,https://siouxfalls.org/parks/parks/locations/dunham,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/dunhamoverheadview.jpg,5a.m.-10p.m.,Yes,Yes,Community,Parks Field User Dunham,,{19B1B529-C30C-44AD-9B2F-F542FEFEF4A6},{19B1B529-C30C-44AD-9B2F-F542FEFEF4A6},ENME,2016/05/18 20:20:04+00,C6776,2022/12/05 17:20:45+00,DUNHAM,4006552.07117737,14757.8755197489
2122,4,P423,TOWER PARK,1000 N MAIN AVE,Minnehaha,PARK,57104,CITY OF SIOUX FALLS,Public,3.72416756,,https://siouxfalls.org/parks/parks/locations/tower,,5am-10pm,,,Neighborhood,Parks Field User Falls,,{6DB41666-179F-4169-899F-2E8A1A19D1F0},{6DB41666-179F-4169-899F-2E8A1A19D1F0},ENME,2016/07/19 22:34:02+00,C6776,2022/12/05 17:25:53+00,TOWER,162224.089958786,2261.16265036338
2516,3,P321,MIDCO AQUATIC CENTER,1601 S WESTERN AVE,Minnehaha,AQUATIC,57105,CITY OF SIOUX FALLS,Public,1.2968305,,https://www.midcoaquaticcenter.org/,,,Yes,No,Special Use,Parks Field User Spellerberg,,{F50EE4EE-A7E0-4983-8B03-4341F8EBBF93},{F50EE4EE-A7E0-4983-8B03-4341F8EBBF93},ENME,2016/11/08 22:54:16+00,city\svcvwgis,2022/08/26 18:56:24+00,,56489.7107219915,1080.84887770908
2517,4,P436,BSR GREENWAY CORRIDOR,2100 N BAHNSON AVE,Minnehaha,SITE,,CITY OF SIOUX FALLS,Public,76.33259319,,,,,No,No,Greenway,,,{D60A86C7-D6FA-4F81-9B96-1E211A2629C3},{D60A86C7-D6FA-4F81-9B96-1E211A2629C3},C8640,2018/05/31 15:23:17+00,C6776,2022/12/05 17:20:11+00,BSR GREENWAY,3325034.4590444,32137.2819152992
2518,5,P523,WILD MEADOWS SITE,5200 E BRENNAN DR,Minnehaha,SITE,57110,CITY OF SIOUX FALLS,Public,4.01782027,4.017792,,,5am-10pm,No,Yes,Neighborhood,,,{546D4C03-9C58-453F-9880-9C191A5C8E16},{546D4C03-9C58-453F-9880-9C191A5C8E16},C8640,2018/08/16 13:49:09+00,C6776,2022/12/05 17:26:23+00,WILD MEADOWS,175015.550806335,1697.07116933412
