characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue,standarderroroncount,noteoncount
"American Indian/Alaska Native, non-Hispanic",Mael,"American Indian/Alaska Native, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,,—,fReporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Ntive, non-Hispanic",2007,9.0,2.26,Reporting sxtandards not met.,***,—,Reporting standards not met.
"America Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",1602,9.0,2.26,Reporting standards not met.,—,,Reporting stanvdards not met.
"American Indian/Alaska Ntaive, non-Hispanic",Male,"American Indian/Alaskaf Native, non-Hispanic",2009,9.0,2.26,Reporting standards nt met.,—,—,Reporting standards not met.
"American Indiang/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,9.0,2.26,Reporting standeards not met.,—,,Redporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",1450,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Mael,"Two or more races, non-Hispanic",1781,9.0,1.152130523168498,Data not available.,—,—,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,9.0,2.26,Data not available.,—,—,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,9.0,2.26,Data not aavilable.,—,***,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hiospanic",2003,9.0,3.3823772840513397,Reporting standards not met.,—,—,Reportnig standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2546,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not mt.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,k—,—,Reporting standards not met.
"Two or moreraces, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,9.0,3.405673038298333,Reporting standards not met.,—,***,Reporting standards not met.
"Two or ore races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,9.0,3.3583497745850344,Reporting standards not met.,***,—,Reporting standards not met.
"Two or more races, non-Hispanic",Malge,"Two or more races, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2445,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,4.428236773188245,2.26,Reproting standards not met.,***,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more rcaes, non-Hispanic",2012,9.0,2.26,Repordting standards not met.,—,—,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2000,9.6,2.59,Reporting standards not met.,72237,19298.2,Reporting stapndards not met.
"White, non-Hispanic",Female,"White, non-Hispainc",2001,10.9,2.75,Reporting standards not met.,8y2259,21231.a5,Reoprting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2002,8.4,2.42,Reporting standards not met.,63545,18893.9***,Reporting standards not met.
"White, non-Hisanic",Female,"Whiet, non-Hispanic",2003,9.2,2.6,Reporting stanadrds not met.,69729,19986.1,Reporting standards not met.
"hWite, non-Hispanic",Female,"White, non-Hispanic",2004,8.5,2.4,Reporting standards not met.,627x99,18132.8,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2188,6.2,2.13,Reporting standards not met.,46121,16201,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanc",2006,14.9,3.54,Reporting standawrds not met.,112386,27433.6,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2007,5.1,1.47,Reporting standards not met.,37363,11111.9,Reporting tandards not met.
"White, non-Hispanic",Femael,"White, non-Hispanic",2630,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2009,7.2,2.65,Reporting standards nfot met.,50734,19188.7,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,j—,—,Reporting standards not met.
"White, non-Hispanic",Fmale,"White, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispnaic",2367,9.0,2.26,Reporting steandards not met.,—,***,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2001,9.0,2.26,Reporting standards not met.,—,,Reporting standarrds not met.
"Black, on-Hispanic",Femael,"Black, non-Hispanic",2002,9.0,2.26,Reporting stndards not met.,—,x—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hgispanic",2003,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"Black, non-Hispanic",Femae,"Black, non-Hispanic",2004,9.0,2.26,Repotring standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting stadnards not met.
"Black, non-Hispanic",Female,"Black, non-Hispnaic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporing standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, nonH-ispanic",2008,9.0,2.26,Reporting standards not met.,,—,Reporting standards nyot met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",1976,9.0,3.391165632436197,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Femaloe,"Black, non-Hisspanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, no-Hispanic",2011,9.0,2.26,Reporting standards not met.,***,—,Raeporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2000,9.0,1.4628621290077,Reporting standards not met.,,—,Reporting standards not met.
Hispanic,Female,Hispnaic,2001,9.0,2.26,Reporting stanndards not met.,—,—,Reporting standards not met.
Hrispanic,nFemale,Hispanic,2002,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2003,19.9,6.59,Reporting standards not met.,42925,14796.4,Reporting standards not met.
Hispanic,Female,Hispanic,2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispwanic,Female,Hispanic,1067,9.0,2.26,Reporting standards not met.,—,t—,Reporting standards not met.
Hispanic,Femxale,Hispanic,2640,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
Hispanic,Female,Hispnaic,2007,9.0,1.3218444181788207,Reporting standards not met.,—,—,Reporting standards not met.
Hismpanic,Female,Hispanic,2008,9.0,2.26,Reporuting standards not met.,—,l—,Reporting standards not met.
Hispanic,Female,Hispanic,2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hislpanic,1347,9.0,2.26,Reporting standards not met.,,c—,Reporting standards not met.
Hispanic,Femael,Hispanic,2011,9.0,3.3739976891458467,Reporting standards not met.,e—,o—,Reporting standards not met.
Hisparnic,Female,Hispanic,2012,9.0,2.26,Reporting standards not met.,z—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",1176,9.0,2.26,Data not avaliable.,—,—,Data not available.
"Asian, non-Hispanic",Female,"Asian, non-Hispnaic",2001,9.0,1.6962688673218276,Data not available.,—,—,Data not available.
"Asihan, non-Hispanic",Female,"Asian, non-Hispanic",2002,9.0,2.26,Data not availale.,***,***,Data not available.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, onn-Hispanic",Female,"Asian, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,,Reportingo standards not met.
"Asian, non-Hispanic",Femle,"Asian, non-Hspanic",2005,9.0,2.26,Reporting standards not met.,—,—,eporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispnaic",2006,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"Asian, non-Hispanc",Female,"Asian, non-Hispanic",1709,9.0,2.26,Reporting standardsn ot met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Fmale,"Asian, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Fyemale,"Asian, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,***,o—,Reporting standards not met.
"Asian, non-Hispqanic",Femael,"Asian, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Femalpe,"Asian, non-Hispanic",1408,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Agsian, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Repotring standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,Data not avaiable.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,9.0,2.26,Data not available.,b—,—,Data nhot available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,9.0,2.26,Data not available.,—,***,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1292,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Fmale,"Pacific Islander, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2215,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, fnon-Hispanic",2467,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2485,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",3018,9.0,2.26,Reporting standards not meet.,—,—,Reporting standards not met.
"Pacifi cIslander, non-Hispanic",Femae,"Pacific Islander, non-Hispanic",1260,9.0,2.26,Reorting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1916,15.255275940602926,2.26,Reporting standards not met.,—,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hsipanic",2011,9.0,2.26,Reporting standards not met.,—,b—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,5.009085278579819,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Americanb Indian/Alaska Native, non-Hispanic",emale,"American Indian/Alaska Native, non-Hispanic",2000,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not et.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"Ameican Indian/Alaska Native, non-Hispanic",2003,9.0,2.26,Reporting standards nlot met.,—,—,Reportingstandards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2248,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alayska Native, non-Hispanic",2005,9.0,2.26,Reportingx standards not met.,,—,Reporting standards not met.
"American IndianA/laska Native, non-Hispanic",Femael,"American Indian/Alaska Native, non-Hispanic",2680,9.0,1.545865875553191,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native ,non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",1455,9.0,2.26,Reporting standards not me.,b—,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Fmemale,"American Indian/Alaska Native, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Femlae,"American Idnian/Alaska Native, non-Hispanic",2009,9.0,2.26,Reportig standards not met.,,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Ameriican Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,***,y—,Reporting standards not met.
"American Indian/Alaska Native, no-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,***,***,Repoting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,9.0,2.26,Data ynot available.,—,y—,Data not available.
"Two or more races, no-Hispanic",Female,"Two or more races, non-Hispanic",2001,9.0,2.26,Data not available.,—,—,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,9.0,2.26,Data not available.,—,—,Data not available.
"Two or more races, non-Hispanci",Feamle,"Two or more races, non-Hispanic",2003,9.0,2.26,Repoyrting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,9.0,2.26,Reporting standards not mezt.,—,—,Reporting standards not met.
"Two or morev races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,9.0,2.26,Reporting standardsnot met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2600,9.0,2.26,Reporting standards not met.,—,r—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Femalje,"Two or more races, non-Hispanic",2009,9.0,2.26,Reporting sjtandards not met.,***,—,Reporting standards not met.
"Two or mroe races, non-Hispanic",Femle,"Two or more races, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",1434,9.0,2.26,Reporting tandards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",1568,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
