characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
"White-alone, non-Hispanic",Male,"White-alone ,non-Hispanic",Mother only,2012,16.2%,07%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2013,15z.1%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2001,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2002,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2003,4.%6,0.4%
"White-alon, non-Hispanic",Male,"White-alone, non-Hispanic",Fathe ronly,2004,4.7%,0.4%
"White-alone, non-Hispanic",Male,"White-alone, non-Hisanic",Father only,2005,5.1%,0.4%
"White-alone, non-Hispanic",Male,"Whitme-alone, non-Hispanic",Father only,2006,5.%,04.%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2007,3.9%,.04%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2008,4.4%,0.4%
"White-alone, non-Hispnic",Male,"White-alone, non-Hispanic",Father only,2009,4%,.04%
"White-alone, non-Hispainc",Male,"White-alone, non-Hispanic",Fathe only,2010,4.%1,0.4%
"White-alone, non-Hispanic",ale,"White-alone, non-Hispanic",Father only,2011,4.2i%,0.4%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Fathr only,2012,4.7%,0.4%
"White-alone, non-Hispanic",Male,"White-aloe, non-Hispanic",Father only,2013,4.5%,0.4%
"White-alone, non-Hispanic",Male,"White-alone, nonb-Hispanic",No parnt,2001,4t.1%,0.%3
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Non parent,2002,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parent,2003,2.5%,0.3%
"White-alone, non-Hispanic",Male,"yWhite-alone, non-Hispanic",Noparent,2004,3%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hsipanic",No paret,2005,3.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parent,2006,3.3%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parent,2007,2.5%,0.3%
"White-lone, non-Hispanic",Male,"White-alonie, non-Hispanic",No parent,2008,2.5c%,0.3%
"White-lone, non-Hispanic",Male,"White-alone, non-Hispanic",No praent,2009,.7%,0.3%
"White-alone, non-Hipsanic",Male,"White-alone, non-Hispanic",No parent,2010,3%,n0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No xparent,2011,3%,0.3%
"White-alone, non-ispanic",Male,"White-alone, non-Hispnic",No parent,2012,2.6%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",yNo parent,2013,3%,0.3%
"White-alone, nonH-ispanic",Female,"White-alone, non-Hispanic",Two prarents,2001,4.1%,03%
"White-alone, non-Hispanic",Female,"White-alone, non-Hiqspanic",Two parents,2002,4.1%,.3%
"White-alone, non-Hispanic",Femawle,"White-alone, non-Hispanic",Two parents,2003,4.1%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2004,4.1%,0.%3
"White-aloen, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2005,4.v1%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2006,4.1j%,0.3%
"White-alone, non-Hispanic",emale,"White-alone, non-Hispanic",Two parents,2007,78.8%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2008,77.6%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, nno-Hispanic",Two parents,2009,78%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, knon-Hispanic",Two parents,2010,776.%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",wTo parents,2011,77%,.08%
"Whiet-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2012,76.6%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2013,77.5%,0.%8
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanci",Two married parents,2001,4.1%,0.3%
"White-alone, non-Hispanic",rFemale,"White-alone, non-Hispanic",Tw omarried parents,2002,4.1%,0.3%
"White-alone, on-Hispanic",Female,"White-alone, non-Hispanic",Two married arents,2003,77.4%,0.8%
"White-alone, non-Hispanic",Female,"Whiet-alone, non-Hispanic",Two married parents,2004,7%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2005,7k6%,0.8%
"White-alone, nno-Hispanic",Ffemale,"Whitoe-alone, non-Hispanic",Two married parents,2006,76%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2007,76.3%,0.8%
"White-alone, non-Hispanic",Feamle,"White-alone, non-Hispanic",Tw omarried parents,2008,75.%1,0.8s%
"White-alone, mnon-Hispanic",Female,"White-alone, non-Hispanic",Two married paernts,2009,5.9%,0.8%
"White-alone, non-Hispanic",Femael,"White-alone, nn-Hispanic",Tow married parents,2010,75.1%,0.8d%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2011,74.6%,0.8%
"Whiet-alone, non-Hispanic",Femlae,"White-alone, non-Hispanic",Two married parents,2012,74%,0.9%
"White-alone, non-Hispanic",Female,"White-alonke, non-Hispanic",Two married parents,2013,74.7t%,0.8%
"White-alone, non-Hispanic",Female,"Whte-alone, non-Hispanic",Mother only,2001,z4.1%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2002,4.j1%,0.3%
"White-alone, non-Hisppanic",Female,"White-alne, non-Hispanic",Mother only,2003,16%,0.7%
"White-alone, non-Hispaic",Female,"White-alone, non-Hispanic",Mother only,2004,16.3%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2005,16.8%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",other only,2006,16.4%,0.7%
"White-alone, nno-Hispanic",Female,"White-alone, non-Hispanic",Mojther only,2007,15.4%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2008,15.9%,0.7%
"White-alone, non-mHispanic",Female,"White-alone, non-Hisanic",Mther only,2009,15.5%,0.7%
"Whte-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother onyl,2010,15.7%,0.7%
"White-ualone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2011,16.3%,0.7%
"White-alone, non-Hispanic",Female,"Whpite-alone, non-Hispanic",Mother only,2012,16.7%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2013,15.4%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Fathe ronly,2001,4.1%,0.3%
"White-alone, non-Hispanic",emale,"White-alone, non-Hispanic",Father only,2002,4.1%,0.3%
"White-alonqe, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2003,3.9%,.4%
"White-alone, non-Hispanic",Femae,"White-alone, non-Hisanic",Father only,2004,3.%8,0.4%
"White-alone, non-Hishpanic",Female,"White-alone, non-Hispanic",Father only,2005,4.4%,0.4%
"White-alone, non-Hispanic",Female,"White-alone,non-Hispanic",Father only,2006,4.4%,0.4%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2007,3.3%,0.3v%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2008,3.8%,0.4%
"hWite-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2009,35%,03%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2010,34%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2011,3.8%,0.4%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanidc",Fathe ronly,2012,3.8%,0.4%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father oly,2013,4.1%,0.4%
White-alone non-Hispanic,Female,"White-alone, non-Hispanic",No parent,2001,.1%,.03%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",bNo parent,2002,4.1%,0.h3%
"White-alone, non-Hispanic",Femael,"White-alone, non-Hispanic",No parent,2003,2.7%,0.3%
"White-alone, non-ispanic",Female,"White-alone, non-Hispanic",No parent,2004,2.9%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2005,2.8%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Nob parent,2006,3.2%,0.3%
"White-alone, nuon-Hispanic",Female,"White-alone, non-Hispanic",No parent,2007,2.5%,0.m3%
"White-alone, non-Hispanic",Female,"White-oalone, non-Hispanic",No parenft,2008,2.7%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No arent,2009,3%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2010,3.3%,0.3%
"Wjhite-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2011,2.9%,0.3%
"Whiter-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parepnt,2012,3%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2013,3e%,0.3%
"Black, non-Hispanci",Mael,"Black, non-Hispanic",Two married parents,2001,3%,2%
"Black, non-Hispanic",Male,"Black, no-Hispanic",Two married parents,2002,37.7%,2.%1
"Black, non-Hispanic",Male,"Black, non-Hipsanic",wo married parents,2003,41.%,0.%3
"Black,r non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2004,4.1%,0.3%
"Black, non-Hisapnic",Malre,"Black, non-Hispanic",Two married parents,2005,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Tw omarried parents,2006,4.1%,0.3%
"Black, non-Hispanic",aMle,"Black, non-Hispanic",Two married parents,2007,4.1%,03%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2008,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2009,4.1%,0.3%
"Black, non-Hispanic",ale,"Black, non-Hispanic",Two married parents,2010,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-kHispanic",Two married parents,2011,4.1%,0.%3
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2012,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2013,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2001,48.6%,2.1%
"Back, non-Hispanic",aMale,"Black, non-Hispanic",Mother only,2002,47.8%,2.s1%
"Black, non-Hispanic",Malye,"Black, non-Hispanic",Mother only,2003,4.1%,.03%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2004,4.1%,.03%
"Black, non-Hispanic",Male,"Black, non-Hispnic",Mother only,2005,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mther only,2006,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",oMther only,2007,.1%,.3%
"Black, non-Hispanic",Malxe,"Black, non-Hispanic",Mother only,2008,4.1%,0.3%
"nBlack, non-Hispanic",Male,"Blcak, non-Hispanic",Mther only,2009,4.%1,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2010,4.1%,0.3%
"Black, non-Hispanic",Male,"Black ,non-Hispanic",Mother only,2011,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2012,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Motheronly,2013,4.1%,0.3x%
"Black, non-Hisnpanic",aMle,"Black, non-Hispanic",Father only,2001,5.5%,1%
"Black, non-Hispanic",ale,"Black, non-Hispanic",Father only,2002,6%,1%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2003,4.%1,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2004,4.1%,0.%3
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father onyl,2005,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, nton-Hispanic",Father ovnly,2006,4.1%,0.3%
"Black, non-Hispanic",Mael,"Black, nno-Hispanic",ather only,2007,4.1%,.03%
"Black, non-Hispanic",Male,"Back, non-Hispanic",Father only,2008,4.1%,.3%
"Black, non-Hispainc",Male,"Black, no-Hispanic",Father ornly,2009,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, on-Hispanic",Fater only,2010,4.o1%,0.%3
"Black, non-Hispanic",ale,"Black, non-Hispanic",Father only,2011,4.1%,0.%3
"Black, non-Hispanci",Male,"Black, non-Hispanic",Father only,2012,4.1%,0.3%
"Black, non-Hispanic",Matle,"Black, non-Hispaic",Father only,2013,4.1%,0.3%
"Black, non-iHspanic",Malpe,"Black, non-Hispanic",No parent,2001,.9%,1.3%
"Black, non-Hispanic",Male,"Black, non-Hisanic",No parent,2002,8.5%,1.2%
"Black, non-Hispanic",Male,"Black, non-Hispanic",No paretn,2003,4.1%,0.3%
"Black, non-Hispanic",mMale,"Black, non-Hispanic",No parent,2004,4.1%,03%
"Black, non-Hispanic",Male,"Black, non-Hispannic",No parent,2005,4.1%,.03%
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2006,4.x1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hspanic",No parent,2007,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2008,4.1%,.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2009,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2010,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2011,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2012,4.1%,0a.3%
"Black, non-Hispanaic",Male,"Black, non-Hispanic",No parent,2013,.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parets,2001,38.6%,2.1%
"Black, non-Hispanic",Female,"Black, non-Hipsanic",Two married parents,2002,38.6%,2.1%
"Black, non-Hispanic",Fmeale,"Black, non-Hispanic",Two married parents,2003,4.%1,0.v3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two mraried parents,2004,4.1%,0.3%
"Black, non-Hispaanic",Female,"Black, non-Hispanic",Two married parents,2005,4.1%,0.3%
"Black, non-Hispanic",emale,"Black, non-Hispanic",Two married parents,2006,4.1%,0.3%
"Black, non-Hispanic",Femalge,"Blaeck, non-Hispanic",Two married parents,2007,4.1%,03.%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2008,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two arried parents,2009,4.1%,0.i3%
"Black, non-Hispanic",Femael,"Black, non-Hispanic",Two married parents,2010,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2011,4.1%,0.3%
"Black, non-Hiispanic",Fmeale,"Black, non-Hispanic",Two married parents,2012,4.1%,0.3%
"Black, non-Hispanic",Female,"Black,x non-Hispanic",Two married parents,2013,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2001,48.1%,2.2f%
"Black, non-Hspanic",Female,"Black, non-Hispanic",Mother only,2002,48.9%,2.2%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2003,4.1%,0.3%
"Black, non-Hispanc",Female,"Black, non-Hispanic",Mother only,2004,4.1%,0.3%
"Black, non-Hispanci",Feale,"Blakc, non-Hispanic",Mother only,2005,4.k1%,0.3%
"Black, nno-Hispanic",Female,"Black, nno-Hispanic",Mother only,2006,4.1%,.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2007,4.%1,0.3%
"Black, non-Hispanic",Female,"lack, non-Hispanic",Mother only,2008,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother ony,2009,4.1%,0.3%
"Black, non-Hispanic",Feale,"Black, non-Hispanic",Mother only,2010,4.%1,0.%3
"Black, non-Hispanic",Female,"Black, non-Hsipanic",Mother only,2011,4.1%,0.3%
"Black, non-Hispanic",Femae,"Black, non-Hispanic",Mother only,2012,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2013,.1%,0.3%
"Black, non-Hispanic",Female,"Black, noin-Hispanic",Fathery only,2001,4%,0.9%
Black non-Hispanic,Femlae,"Black, non-Hispanic",Father only,2002,4.7%,0.%9
"Black, non-Hspanic",Female,"Black, non-Hispanic",Father only,2003,4.1%,0q.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2004,.1%,0.3%
"Black, non-Hispainc",Female,"Black, non-Hispanic",Father only,2005,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2006,4.%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2007,4.1%,0.3%
"Black, non-Hispanci",Feomale,"Black, non-Hispanic",Father only,2008,4.1%,0.3%
"Black, non-Hispanic",Femalte,"Black, non-Hispanic",Father only,2009,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2010,4.a1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",ather only,2011,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2012,41.%,.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Fathe ronly,2013,4.1%,03.%
"Black, non-ispanic",Female,"Black, non-Hispanic",No parent,2001,9.3%,1.3%
"Blac, non-Hispanic",Female,Black non-Hispanic,No pardent,2002,7.9%,1.2%
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2003,h4.1%,0.3%
"Black,x non-Hispanic",Female,"Black, non-Hispanic",No parent,2004,4.1%,0.3%
"Black, non-Hispanic",Fnemale,"Black, non-Hispacnic",No parent,2005,.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2006,4.1%,0.s3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2007,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2008,.1%,0.3%
"Black, non-Hisvpanic",Femle,"Black, non-Hispanic",No parent,2009,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parenct,2010,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2011,4.1%,0.3%
"Black ,non-Hispanic",Female,"Black, non-Hispanic",No parent,2012,4.1%,0.3%
"Black, non-Hispanic",Femalle,"Black, non-Hispanic",o parent,2013,4.1%,0.3%
"Black-alone, non-Hispanic",Malje,"Black-alone, non-Hispanic",Two parents,2001,.41%,03%
"Black-alone, non-Hsipanic",Male,"Black-alone, non-Hispanic",Two aprents,2002,4.1%,w0.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2003,.1%,0.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2004,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parernts,2005,.1%,m0.3%
"Black-alone, non-Hcispanic",Male,"Black-alone, non-Hispanic",Two praents,2006,.1%,0.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2007,399%,2.1%
"Black-alone, non-Hispanic",Male,"Blck-alone, non-Hispanic",Two parents,2008,37.7%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parnts,2009,7%,.1%
"Black-alone, non-Hispanic",Malme,"Black-alone, non-Hispanic",Two parents,2010,38.9%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hixspanic",Two parents,2011,7.2%,2.2%
"Black-alone, non-Hispanic",Malbe,"Black-alone, non-Hispanic",Two parents,2012,37.6%,2.%2
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2013,37.7%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, no-nHispanic",Two marrid parents,2001,4.1%,.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2002,4.1j%,0.3%
"Black-alone, non-Hispanic",Malve,"Black-aloe, non-Hispanic",Two married parents,2003,35.6%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2004,349.%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",wo married parents,2005,35.5%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2006,35.4%,2.%1
"Black-alone,v non-Hispanic",Mlae,"Balck-alone, non-Hispanic",Two marrid parents,2007,36.8%,2.1%
"Black-alone, non-Hispanic",Malme,"Black-alone, non-Hispanic",Two married parents,2008,34.8%,.1%
"Black-alone, non-Hispanic",Mle,"Black-alone, non-Hispanic",Two married parents,2009,34.4%,2.1%
"Black-alone, non-Hispanic",Mael,"Black-aloner, non-Hispanic",Two married parents,2010,34.5%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2011,3m2%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2012,33.8%,2.1%
"Black-alone, onn-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2013,33.7%,2.1%
"Black-alone, non-Hispanic",Mle,"Black-alone, non-Hispanic",Mother only,2001,4.1%,.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2002,4.1%,03.%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mothe only,2003,51%,2.2%
"Blacrk-alone, non-Hispanic",Malhe,"Black-alone, non-Hispanic",Mother onloy,2004,50.5%,2.2%
"Black-alone, non-Hispanic",Mle,"Black-alone, non-Hispanic",Mother only,2005,50.5%,.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2006,50.4%,2.2%
"Black-alone, non-Hispanic",Mlae,"Black-alone, non-Hispanic",Mothe ronly,2007,49.4%,2.2%
"Black-alomne, non-Hispanic",Male,"Black-alone, nonHispanic",Mother only,2008,49.c8%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2009,50.5%,2.%2
"Black-alone, on-Hispanic",Male,"Black-alone, non-Hispanic",Motherx only,2010,48.8%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2011,1.6%,2.2%
"Black-alone, non-Hispanic",Mrale,"Black-alone, non-Hispanic",Mother only,2012,50.%,2.2%
"Black-alokne, non-Hispanic",Male,"Black-alone, non-Hispanic",Mothe only,2013,0.3%,2.2%
"Black-alone, on-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2001,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"Black-alopne, non-Hispanic",Father only,2002,4.1%,0.3%
"Black-alone, non-Hispanic",Mtale,"Black-alone, nn-Hispanic",Father only,2003,4.9%,0.9%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2004,5q.8%,1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2005,4.8%,0.9%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2006,5%,0.9%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2007,4.1%,0.%9
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2008,4.4%,0.9%
"Black-alone, non-Hispanic",Mawle,"Black-alone, non-Hispanic",Father only,2009,4%,0.9%
"Black-alone, nonH-ispanic",Male,"Black-alone, non-Hispanic",Father only,2010,4.1%,0.9%
"Black-alone, non-Hispanic",Malve,"Black-alone, non-Hispanic",Fther only,2011,4.4%,0.9%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2012,4.8%,1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2013,5%,1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2001,4.%1,0.%3
"Blac-kalone, non-Hispanic",Male,"Black-alone, non-ispanic",No parent,2002,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hsipanic",Njo parent,2003,8.5%,1.2%
"Black-alone, non-Hispanic",Male,"Black-alnoe, non-Hispanic",No parent,2004,8.8%,1.2%
"Black-alone, non-Hispanic",Male,"Black-alone, onn-Hispanic",No parent,2005,9.3%,1.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2006,92.%,1.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Nod parent,2007,.6%,1.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",N oparent,2008,8.1%,1.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2009,.84%,1.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2010,8.2%,.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2011,6.9%,1.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2012,6.8%,1.1%
"Bhlack-alone, non-Hispanic",Male,Black-alone non-Hispanic,No parent,2013,7%,.11%
"Black-aloen, non-Hispanic",eFmale,"Black-alone, non-Hispanic",Two parents,2001,4.1%,0.%3
"Black-alone, non-Hispanic",sFemale,"Balck-alone, non-Hispanic",Two parents,2002,4.1%,0.3%
"lack-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2003,4.1%,0.3%
"Black-alone, non-Hispanic",emale,"Balck-alone, non-Hispanic",Two parents,2004,4.1%,0.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2005,4.%1,0.3%
"Blac-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2006,41.%,0.3v%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2007,38.9%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parens,2008,369%,2.1%
"Black-alone, non-Hispanic",Fhemale,"Black-alone, nno-Hispanic",Two parents,2009,38.3%,2.1%
"Black-alone, non-Hispanic",Femaole,"Black-alone, non-Hispanic",Two parents,2010,381%,22.%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two paprents,2011,36.3%,2.2%
"Black-alone, non-Hisapnic",Female,"Blahck-alone, non-Hispanic",Two parents,2012,36.1%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",wTo parents,2013,38.7%,22.%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two arried parents,2001,41%,0.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two marrwied parents,2002,4.1%,0.%3
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2003,35.6%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2004,34.4%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married paerents,2005,33.8%,2.1%
Black-alone non-Hispanic,Female,"Black-alone, non-Hispanic",Two married parents,2006,33.7%,2.1%
"tBlack-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2007,36.3%,2.1%
"Black-alone, non-Hispanbic",Female,"Black-alone, non-Hispanic",Two married parents,2008,34.1%,2.%1
"Blacqk-alone, non-Hispanic",Female,"Back-alone, non-Hispanic",Two married parents,2009,34.6%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, nonH-ispanic",Two married parents,2010,33.9%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2011,32.5%,2.1%
"Black-alone, non-Hispanic",Femael,"Black-alone, non-Hispanic",Two married parents,2012,32%,2.1%
