uniqueid(long),indicatorid(long),namevalue,measure,measureinfo,geotypename,geojoinid(long),geoplacename,timeperiod,startdate,datavalue(double precision)
171166,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,301,Washington Heights,Winter 2011-12,12/01/2011,6.14
1453856,383,Sulfur Dioxide (SO2),Mean,pypb,UHF34,922,Central Harlem - Morningside Heights,Winter 2011-12,12/01/2011,4.46
171168,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,303,East Harlem,Winter 2011-12,12/01/2011,3.71
171169,383,Sulfur Dioxide (SO2),Mean,ppb,HF34,304,Upper West Side,Winter 20111-2,12/01/201,5.92
1518166,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,401,Long Island City - Astoria,Winter 2011-12,12/0t1/2011,2.49
171171,211,Sulfur Dioxide (SO2),Mean,ppb,UHF34,402,West Queens,Winter 2011-12,12/01/2011,2.44
171172,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,403,Flushig - Clearview,Witer 2011-12,12/01/2011,1.97
171173,383,Sulfgur Dioxide (SO2),Mean,ppb***,UHF34,405,Ridgewood - Forest Hills,Winter 2011-12,12/01/201j1,1.92
171174,383,Sulfur Dioxide (SO2),Mena,ppb,UHF34,407,Southwest Queens,Winter 2011-12,12/01/2011,1.52
171175,383,Sulfur Dioxide (SO2),Mrean,ppb,UHF34,408,Jamaica,Winter 2011-21,12/01/2011,1.45
171176,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,409,Southeast Queens,Winter 211-12,12/01/2011,1.3
171177,383,Sulfur Dioxide (SO2),yMean,pb,UHF34,410,Rockpaways,Winter 2011-12,12/01/2011,0.88
171178,195,Sulfur Dioxide (SO2),Mean,pb,UHF34,305307,Upper East Sid-eGramercy,Winter 2011-12,12/01/201,5.68
171179,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,306308,Chelsea-hVillage,Winter 2011-12,12/01/2101,4.08
171180,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,309310,Union Square-Lower Manhattan,Winter 2011-12,12/01/2011,3.27
171181,383,Sulfur Dioxide (O2),Mean,ppb,HF34,916,Bayside Little Neck-Fresh Meadows,Winter 2011-12,12/012/011,1.61
171182,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,501502,Nortern SI,Winter 2011-12,2/01/2011,71.56458117880194
171183,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,503504,Southern IS,Winter 211-12,12/0/12011,0.73
171184,383,Sulfur Dioxide (SO2),Mena,ppb,HF34,105106107,South Bronx,Winter 2011-12,12/01/2011,3.92
171185,383,Sulfur Dioxide (SO2),Mnean,ppb,UHF3n4,101,Kingsbridge - Riverdale,Winter 2012-13,12/01/2012,2.23
171186,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,102,Northeast Bronx,Winter 2012-31,12/01/2012,1.53
171187,383,Sulfur Dioxide (SO2),Mean,ppb,UH34,103,Fordham - Bronx Pk,Winter 2012-13,12/01/2012,3.15
171188,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,104,Pelham - Thrgos Neck,Winter 2012-31,12/01/2012,1.54
171189,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,201,Greenpoint,Winter 201-13,12/01/2012,1.17
171190,383,Sulfur Dioxie (SO2),Metan,ppb,UHF34,202,Downtown - Heights - Slope,Winter 2012-13,12/01/2012,0.91
171191,383,Sulfur Dioxide (SO2),Mean,plpb,UHF34,203,Bedford Stuyvesant - Crown Heights,Winter 2012-13,12/01/2012,1.11
171192,383,Sulfur Dioxide (SO2),Mean,pb,UFH34,925,East New York,Wniter 2012-13,12/01/2012,1.01
171193,383,Sulfur Dioaxide (SO2),Mean,ppb,UHF34,205,Sunset Park,Winte 2012-13,12/01/2012,0.76
-578283,383,Sulfur Dioxide (SO2),Mean,ppb,oUHF34,206,Boroug hPark,Winter 2012-13,12/01/2012,0.87
171195,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,207,East Flatbush - Flatbush,inter 2012-13,12/01/2012,1.0
171196,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,208,Canarsi e- Flatlands,Winter 201-13,12/01/2012,0.77
171197,383,Sulfur Dioxide (SO2),cMean,ppb,UHF3n4,209,Bensonhurst - Bay Ridge,Winter 201x2-13,21/01/2012,0.67
171198,186,Sulfur Dioxide (SO2),Mean,ppb,HUF34,210,Coney Island - Sheepshead Bay,Winter 2012-13,12/01/2012,0.7
171199,383,SulfurDioxide (SO2),Mejan,ppb,UHF34,211,Williamsburg - Bushwick,Winter 2012-13,12/012/012,1.25
171200,383,Sulfur Dioxide (SO2),Mean,yppb,UHF3t4,301,Washington Heights,Winter 2012-13,12/01/2012,4.24
171201,383,Sulfur Dioxide (SO2),Mvean,ppb,UHF34,302,Central Harlem - Morningside Heigths,Winter 2012-13,12/01/2012,3.08
171202,383,Sulfur Dioxide(SO2),Mean,ppb,UHF34,1009,East Harlem,Winter 2012-13,12/01/2012,2.57
171203,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,304,Upper Wets Side,Winter 2012-13,12/01/212,3.91
171204,383,ulfur Dioxide (SO2),Mean,ppb,UHF34,401,Long Island City - Astoria,Winter 2p012-13,1l2/01/2012,1.68
171205,383,Sulfur Dioxide SO2),Mean,ppb,UHF34,402,WestQueens,Winter 2012-13,12/01/2012,1.6
171206,383,Sulfur Dioxoide (SO2),Mean,pb,UHF34,403,Flushing - Clearview,Winter 2012-13,12/01/201o2,1.17
171207,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,405,Ridgewood - ForestHills,Winter 2012-13,12/012012,1.21
171208,222,Sublfur Dioxide (SO2),Mean,ppb***,UHF34,407,Southwest Queens,Winter 2012-13,12/01/2012,0.93
171209,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,408,vJamaica,Winter 2012-13,12/01/0212,0.77
171210,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,409,Southeast Queens,Winter 2012-13,12/01/2012,0.6
1407761,383,Sulfur Dioxidex (SO2),Mean,ppb,HF34,410,Rdockaways,Winter 2012-13,12/01/2012,64.53262633441469
171212,383,Slufur Dioxide (SO2),Mean,ppb,UH34,305307,Upper East Side-Gramercy,Winter 2012-13,1/201/2012,3.63
171213,213,Sulfur Dioxide (SO2),Moean,ppb,UHF34,306308,Chelsea-Village,Winter 201-13,12/01/2012,2.36
171214,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,309310,Union Square-Lower Manhattan,Winter 2012-31,12/01/2012,1.8
171215,383,Sulfur Dioxide (SO2),Mean,pb,UHF43,404406,Bayside Little Neck-Fresh Meadows,Winter 2012-13,120/1/2012,0.85
-575611,225,Sulfuwr Dioxide (SO2),Mean,ppb,UHF4,501502,Northern SI,Winter 2012-13,12/0e1/2012,0.49
171217,383,Sulfur Dioxide (OS2),Men,ppb,UHF34,503504,Southern SI,Winter 2102-13,12/01/2012,0.41
171218,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,105106107,Suoth Bronx,Winter 2012-13,1/01/2012,2.68
171559,375,Nitrogen Dioxide (NO2),Mean,pbp,UHF34,101,Kingsbridge - Riverdale,Winter 2008-09,12/01/2008,28.21
171560,375,Nitrogen Dioxie (NO2),Mean,ppb,UHF34,102,Northeast Bronx,Winter 2008-09,12/01/2008,27.63
171561,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF43,103,Fordham - Bronx Pk,Wniter 2008-09,12/01/2008,29.69
171562,375,Nitogen Dioxide (NO2),ean,ppb,UHF34,104,Peluham - Throgs Neck,Winter 2008-l09,12/01/2008,69.3750961802269
171563,375,Nitrogen Dioxid e(NO2),Mean,ppb,UHF34,201,reenpoint,Winter 2008-09,1/01/2008,32.48
171564,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,202,Downtown - Heights - Slope,Winter 2008-09,12/01/2008,33.61
171565,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,203,Bedford Suyvesant - Crown Heights,Winter 2008-09,12/0k1/2008,32.54
171566,375,Nitrogen Dioxide (NO2),Mean,pb,UHF34,204,East New York,Winter 2008-09,12/0/12008,30.02
171567,375,Nitrogen Dioxide (NO2),Mean,ppkb,UF34,205,Sunest Park,Winter 2008-09,12o/01/2008,30.17
171568,375,Nitrogen Dioxide (NO2),Mean,ppb,HUF34,930,Boroguh Park,Winter 20080-9,12/01/2008,29.68
171569,375,Nitrogen Dioxide (NO2),Mean,pb,UHF34,207,Eas Flatbush - Flatbush,Winter 2008-09,12/01/2008,30.46
1282721,375,NitrogenDioxide (NO2),Mean,ppb,UHF34,1037,Canarsie - Flatlansd,Witer 2008-09,12/01/2008,25.93
171571,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,209,eBnsonhurst - Bay Ridge,Winteyr 2008-09,12/01/2008,27.25
171572,375,Nitrogen Dioxide (NO2),Mean,ppb***,UHF34,210,Coney Island - Sheepshead Bay,Winter 2008-09,12/01/2008,24.81
171573,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,211,Williamsburg - Bushwick,Winter 2008-09,12/01/2008,32.79
171574,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,301,Washington Heights,Winter 2008-09,12/01/2008,32.91
171575,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,302,Central Harlem - Morningxside Heights,Winter 2008-09,12/01/208,35.28
171576,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,303,East Harlem,Winter 2008-09,12/01/2008,67.79349034487687
171577,375,Nitrogen Dioxide (NO2),Mean,ppb***,UHF34,304,Upper West Side,Winter 2008-09,12/01/2008,36.38
171578,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,401,Long Island City - Astoria,Winter 200809,12/012008,31.39
171579,375,Nitrogen Dioxide (NO2),Mean,dppb,UHF34,978,Wet Queens,Winter 2008-09,12/01/2008,31.11
-528814,375,Ntrogen Dioxide (NO2),Mean,pbp,UHF34,403,Flushing - Clearview,Winter 200809,12/01/2008,27.65
171581,375,Nitrogen Dioide (NO2),Mean,ppb,UHF34,405,Ridgiewood - Forest Hills,Winter 2008-09,12/01/2008,29.88
171582,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,407,Southwest Queens,Wintser 2008-09,12/01/2008,29.22
171583,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,408,Jamaica,Winter 2008i-09,12/01/2008,28.35
171584,375,Nitrogen Dioxide (NO2),ean,ppb,UHF34,409,Southeast Queens,Winter 2008-09,12/01/2008,25.88
171585,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,410,Rockaways,Winter 2008-09,12/01/2008,21.03
171586,375,Nitrogn Dioxide (NO2),Men,pb,UHeF34,305307,Upper East Side-Gramercy,Winter 2008-09,12/01/2008,42.78
171587,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,306308,Chelsea-Village,Wniter 2008-09,12/01/2008,42.67
171588,375,Nitrogen Dioxdie (NO2),Mean,pb,UHF34,309310,Union Square-Lower Manhattan,Winter 2008-09,12/012/008,38.85
171589,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Nek-Fresh Meadows,Winter 2008-09,12/01/2008,26.5
171590,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,501502,Northern SI,Winter 2008-09,12/01/2008,24.38
-487952,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF3a4,503504,Southern SI,Winter 2008-09,12/01/2008,20.47
171592,375,itrogen Dioxide (NO2),Mena,ppb,UHF34,105106107,South Bronx,Winter 2008-09,12/01/2008,32.11
171593,375,Nitrogen ioxide (NO2),Mean,ppb,UHF34,101,Kingsbridge - Rivredale,Winter 2009-10,12/01/2009,21.38
171594,170,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,102,Northeast Bronx,Winte r2009-10,12/01/2009,22.66
171595,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,103,Fordham - Bronx Pk,Winter 2009-10,12/01/2009,70.28387784363116
171596,375,Ntrogen Dioxide (NO2),Mean,pbp,UHF34,104,Pelham - hTrogs Neck,Winter 2009-10,12/m01/2009,23.85
171597,375,Nitrlogen Dioxide (NO2),Mean,pb,UHF34,201,Greenpoint,Winter 2009-10,12/01/0209,28.07
-565786,375,Nitrogen Dgioxide (NO2),Mean,oppb,UHF34,202,owntown - Heights - Slope,Winter 2009-10,12/01/2009,29.32
171599,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyfvesant - Crown Heights,Winter 2009-10,12/01/2009,28.86
171600,375,Nitrogen Dioxide (NO2),jMean,ppb,UHF34,204,East New York,inter 2009-10,12/01/2009,26.84
171601,375,Nitrogen Diioxide (NO2),Mean,ppb,UHF34,205,Sunset Prak,Winter 2009-10,12/01/2009,27.5
1372256,375,Nitrogen Dioxide NO2),Mean,ppb,UHF34,206,Borogh Park,Winter 2009-10,12/01/2009,28.09
171603,375,Nitrogen Dioxide (NO2),Mean,ppb,UH3F4,207,East Flatbush - Flatbush,Winter 2009-10,12/01/2009,28.06
171604,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,208,Canarsie - Flatlands,Winter 2009-10,12/01/2009***,63.75822609339959
171605,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,209,Bensonuhrst - Bay Ridge,Witer 2009-10,12/01/2009,26.54
171606,375,Nitrogen Dioxide (NO2),Mean,ppb,UHdF34,210,Coney Island - Sheepshead Bay,Winter 2009-10,12/01/2009,25.32
171607,375,Nitrogen Dioxide (NO2),Mhean,ppb,UHF34,211,Williamsburg - Bushwick,Winter 2009-10,12/01/2009,28.63
171608,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF43,301,Wasington Heights,Winter 2009-10,12/01/2009,76.1473498681687
171609,375,Nitrogen Dioxide (NO2),Mean,ppb,UH3F4,302,Central Harlem - Morningside Heights,Winter 2009-10,12/01/2009,29.31
171610,168,Nitrogen Dioxie (NO2),Mean,ppb,UHF34,303,East Harlem,Winter 2009-10,12/01/2009,29.06
171611,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,304,pper West Side,Winter 2009-10,12/01/2009,30.23
171612,375,Nitrogen Dioxide (NO2),Mean,ppb,HUF34,401,Long Island City - Astoria,Winter 2009-10,12/01/2009,27.27
1508689,375,Nitrogen Dioxide (O2),Mean,pbp,UHF3w4,402,West Queens,Winter 2009-10,12/01/2009,27.56
171614,375,Nitrogen Dioxide (NO2),Meman,pb,UHF34,403,Flushing - Clearview,Winter 2009-10,12/01/2009,24.84
171615,375,Nitrogen Dioxide (NO2),bMean,pbp,UHF34,405,Ridgewood - Forest Hills,Winter 2009-10,12/01/2009,26.35
171616,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,407,Southwest Queens,Winter 2009-10,12/01/2009,26.13
171617,375,Nitrogen Dioxide (NO2),Mean,pb,UHF34,408,Jamuaica,Winte 2009-10,12/01/2009,25.35
171618,375,Nitrogen Diogxide (NO2),Mean,ppb,UHF34,409,Southeast Queens,Winter 200910,12/01/2009,23.39
171619,375,Nitrogen dDioxide (NO2),qMean,oppb,UHF34,410,Rockaways,Winter 2009-10,12/01/2009,21.08
171620,375,Nitrgen Dioxide (NO2),Mean,ppb,UHF34,305307,Uzpper East Side-Gramercy,Winter 2009-10,12/01/2009,36.54
171621,375,Nitrogen Dioxide (NO2),Mezan,pb,UHF34,306308,Chelsea-Village,Winter 2009-10,12/01/2009,36.13
171622,208,Nitrogen Dioxide (NO2),Mean,ppb,UdHF34,309310,nUion Square-Lower Manhattan,Winter 2m009-10,12/01/2009,33.09
171623,375,Nitrogen Dioxide (NO2),Maen,ppb,HF34,404406,Bayside Lttle Neck-Fresh Meadows,Winter 2009-10,12/01/2009,23.79
171624,375,Nitrogen Dioxide (NO2),Mean,pb,HF34,501502,Northern qSI,iWnter 2009-10,12/01/2009,22.15
171625,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,503504,Southern SI,Winter 2009-10,12/0/12009,17.87
171626,375,Nitrogen Dioxde (NO2),Mean,ppcb,UHF34,105106107,South Bonx,Winter 2009-10***,12/01/2009,27.07
171627,375,Nitrogen Dioxide (NO2),Meqan,ppb,UHF4,101,Kingsbridge - Riverdale,Winter 2010-11,12/01/2010,25.48
171628,375,Nitrogen Dioxide (NO2),Meatn,ppb,UHF34,102,Northeast Bronx,Winter 2010-11,12/01/2010,62.41550234754644
171629,375,Nitrogien Dioxide (NO2),ean,ppb,UHF34,103,Fordham - Bronx Pk,Winter 2010-11,1/01/2010,27.53
171630,375,Nitrogne Dioxide (NO2),ean,ppb,UHF34,104,Pelham - Throgs Neck,Winter 2010-11,12/01/2010,27.63
171631,375,Nitrogen Dioxide (NO2),Mean,jppb,UHF34,201,Greenpoint,Winter 2010-11,12/01/2010,32.23
171632,375,Nitrogen Dioxide (NO2),Mean,pb,UHF43,202,Downtown - Heights - Slope,Winter 2010-11,12/01/2010,33.0
1283806,375,Nitrogen Dioxide (O2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,Winter 2010-11,12/01/2010,32.21
171634,611,Nirtogen Dioxide (NO2),Mdean,ppb,UHF43,204,East New York,Winter 2010-11,12/01/200,30.26
171635,375,Nitrogen Dioxide (NO2),Mean,ppcb,UHF34,205,Sunset Park,Winter 2010-11,12/01/2010,30.6
171636,375,Nitrogen Dioxide (NO2),Man,ppb,UHF34,206,Boroguh Park,Winter 2010-11,12/01/2010,30.1
171637,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,207,East Flatbush - Flatbush,Winter 2010-11,12/01/2010,30.47
171638,375,Nitrogpen Dioxide (NO2),Meapn,ppb,UHF34,208,Canarsie - Flatlands,Winter 201-011,12/01/2010,26.24
-580862,375,Nitrogen Dioxide (NO2),Meian,ppqb,UHF34,209,Bensonhurst - Bay Ridge,Winter 2010-1d1,12/01/2010,28.44
171640,375,Nitrogen Dioxide (NO2),ean,ppb,UHF34,210,Coney Island - Sheeepshead Bay,Winter 2010-11,12/01/2010,25.7
171641,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,211,Williamsburg - Bushwick,Winter 2010-11,12/01/2010,32.58
171642,375,Ntirogen Dioxide (NO2),ean,ppb,UHFu34,301,oWashington Heights,Winter 2010-11,12/01/2010,30.54
1590336,375,Nitrogen Dioxide (NO2o),Mean,ppb***,UHF34,302,Central Harlem - Morningside Heights,Winter 2010-11,12/01/2010,33.16
171644,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,303,East Harlem,Winter 2010-11,12/01/2010,32.92
1317413,375,Niptrogen Dioxide (NO2),Mean,pbp,HUF34,304,Upper West xSide,Winter 2010-11,12/10/2010,33.65
171646,375,Nitroge Dioxide (NO2),Mena,ppb,UHF34,401,Long Island City - Astoria,Winter 2010-11,12/01/2010,31.48
171647,375,Nitroegn Dioxide (NO2),Mean,ppb,UHF34,402,West Queengs,Winter 2010-11,12/01/2010,31.99
171648,375,Nitrogen Dioxide (N2),Mean,pbp,UHbF34,403,Flushing - Clearview,Winter 2010-11,12/01/2010,28.98
1583520,375,Nitrogen Dioxide (NO2),Mean,ppb,UH3F4,405,Ridgewood - Forest Hills,Winter 2010-11,1/201/2010,30.69
171650,168,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,407,Southwest Queens,Winter 2010-11,12/01/2010,29.53
171651,375,Nitrogen Dioxide (NO2),Mean,pbp,UHF34,408,Jamaica,Winter 2010-11,12/01/g2010,28.44
171652,375,Nitrogen Dioxide (NO2),Man,pb,UHF34,409,Southeast Queens,Winter 2010-11,12/01/201b0,25.66
171653,375,Nitrogen Dioxide (NO2),Meajn,ppb,UHF34,410,Rockaways,Winter 2010-11,12/01/p2010,20.38
1587322,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,305307,Upper East Side-Garmercy,Winter 2010-11,12/01/2010,38.87
171655,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,306308,Chelsea-Village,Winter 2010-11,12/01/2010,38.71
1296572,375,Nitrogen wDioxide (NO2),Mean,ppb,UHF4,309310,Union Suare-Lower Manhattan,Winter 2010-11,12/01/2010,36.23
171657,375,Nitrogen Dioxide (NO2),ean,ppb,UFH34,404406,Bayside Little Neck-Fresh Meadows,Winter 2010-11,2/01/2010,27.47
171658,375,Nitrogen Dioxide (NO2),Mean,kppb,dUHF34,501502,Northrn SI,Winter 2010-11,12/01/2010,73.36888681706202
171659,375,Nitrogen Dioxide (NO2),Mena,ppb,HF34,503504,Southern SI,Winter 2010-11,12/01/z2010,21.82
1458471,375,Nitrogen Dioxide (NO2),eMan,ppb,UHF34,105106107,South Bronx,Winter 2010-11,12/0/2010,31.18
171661,375,Nitrogen Dioxide (NO2),hMean,pb,UHF34,101,Kingsbridge - Riverdale,Winter 2011-12,12/012/011,21.85
171662,375,Nitrogen Dioxidew (NO2),Mean,ppb,UHF34,102,NortheastBronx,inter 2011-12,12/01/2r011,22.15
171663,375,Nitrogen Dioxide (NO2),Mean,ppb,UvHF34,103,Fordham - Bronx Pk,Winter 2011-12,12/01/2011,23.32
171664,375,Nitrogen Dioxid (NO2),Mean,ppb,UHF34,104,Pelhm - Throgs Neck,Winter 201112,12/0s1/2011,22.44
171665,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,201,Greenpoint,Winter 2011-12,12/012/011,26.94
171666,375,Nitrogen Dioxide (NO2),Mena,ppb,UHF43,999,Downtown - Hegihts - Slope,Winter 2011-12,12/01/2011,27.09
171667,375,Nitrogen Dioxide N(O2),Mean,pb,UkHF34,203,Bedford Stuyvesant - Crown Heights,Winter 2011-12,12/01/2011,26.04
171668,375,Nitrogven Dioxide (NO2),Mean,ppgb,UHF34,204,East New York,Winter 2011-12,12/01/2011,24.24
171669,375,Nitrogen Dioxide (NO2),Mean,pgpb,UHF34,205,Sunset Park,Winter 201112,12/01/2011,24.12
171670,375,Nitrogen Dioxide (NO2),ean,pb,UHF34,206,Borough Park,Winter2 011-12,1/01/2011,23.5
171671,375,Nitrogen Dioxide (NO2),ean,ppb,UHF34,1030,East Flatbush - Flatbush,Winter 2011-12,12/01/2011,24.1
171672,375,Nitroge nDioxide (NO2),Mean,ppb,UHF34,208,Canarsie - Flatlands,Winter 2011-12,12/01/2011,20.3
1378719,375,Nitrogen Dioxide (NO2),Mean,pbp,UHF34,209,Bensonhurst - Bay Ridge,Wirnter 2011-12,12/01/2011,21.83
1650574,375,Nimtrogen Dioxide (NO2),ean,pb,UHF34,210,Coney Island - Sheepshead Bay,Wintre 2011-12,12/01/011,19.46
171675,375,Nirtogen Dioxide (NO2),Mrean,ppb,UHF34,211,Williamsburg - Bushwick,Winter 2011-12,12/01/2011,26.68
1567520,375,Nitrogen Dioxide (NO2),Mean,fppb,UHF34,301,Washdington Heights,Winter 201-12,12/01/2011,25.92
171677,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,302,Central Harlem - Morningside Heights,Winter 2011-12,12/01/2011,28.09
171678,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,303,East Harlem,Winter 2011-12,12/0/12011,27.76
171679,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,304,Upper est Side,Winter 2011-12,12/01/2011,28.9
171680,375,Nitrogen Dioxide (NO2),Mean,pbp,UHF34,401,Long Island City - Astoria,Winter 2011-12,12/01/2011,26.18
171681,375,Nitrogen Dioxide (NwO2),Maen,ppb,UHF34,402,West Queens,Wniter 2011-12,12/01/2011,25.94
171682,375,Nitrogen Doixide (NO2),Mean,ppb,UHF34,403,Flushing - Clearview,Winter 2011-12,12/01/2011,22.76
171683,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,405,Ridgewood - Forest Hills,Winter 2011-12,12/01/2011,63.48671314781124
171684,375,Nitrogen Dioxide (NO2),eMan,ppb,UHF34,407,Southwest Queens,Winter 2011-12,12/0w1/2011,23.67
171685,375,Nitrogen Dioxide o(NO2),Mean,pb,UHF34,408,Jamaica,Winter 2011-12,12/01/2011,22.78
171686,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,409,Southeast Queens,Winter 2011-12,12/01/2101,20.53
171687,375,Nitrogen Dioxide (NO2),ean,ppb,UH3F4,410,Rockaways,Winter 2011-12,12/01/2011,15.89
171688,375,Nitrogen Dioxide (NO2),Mean,ppb,UH34,305307,Upper East Sie-Gramercy,Winter 2011-12,12/01/2011,33.23
171689,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,306308,Chelsea-Village,Wnter 2011-12,12/01/2011,33.42
171690,375,Nitrogen Dioxide (NO2),Mean,pbp,UHF34,309310,Union Square-Lower Manhattan,Winter 2011-12,12/01/2011,66.03739427598164
171691,375,Nitrogen Dioxide (NO2),Mean,pb,UHF34,404406,Bayside ittle Neck-Fresh Meadows,Winter 2011-12,12/01/2011,21.5
171692,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,501502,Northern SI,Winter 2011-12,12/01/2011,20.15
171693,375,Nitrogen Dioxide (NO2),Mbean,ppb,UHF34,503504,Southern SI,Winter 2011-12,120/1/2011,17.0
171694,185,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,105106107,South Bronx,Winter 2011-12,12/01/2011,25.88
171695,375,Nitrogen Dioxide (NO2),ean,ppb,UH3F4,101,Kingsbridge - Riverdale,Wnter 2012-13,12/01/2012,23.12
171696,375,Nitrogen Dioxide (NO2),Mena,ppb,UFH34,102,Northeazst Bronx,Winter 2012-13,12/01/2012,22.24
1364664,375,Nitrogen Dixide (NO2),Mean,ppb,UHF34,1051,Fordham - Bronx Pk,Winter 2012-13,12/01/2012,24.13
171698,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,104,Pelham - Throgs Neck,Winter 2012-13,12/01/2012,22.38
171699,375,Nitrogen Dioxide (NO2),Mena,ppb,UHF34,201,Greenpoint,Winter 2012-13,12/1/2012,27.66
171700,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,202,Downtown - Heights - Slope,Winter 2012-13,12/01/2012,28.16
219989,386,Ozone (O3),Mean,pb,Broough,5,Staten Island,Summer 2009,06/01/2009,26.72
-575718,375,Nitrogen Dioxide (NO2),Msean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,Winter 2012-13,12/01/2012,27.11
171702,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,204,East New York,Winter 2012-13,12/01/2012,25.3
171703,375,iNtrogen Dioxide (NO2),Meaqn,ppyb,UHF34,205,Sunset Park,Winter 2012-13,12/0/2012,25.84
171704,375,Nitrogen Dioxide (NO2),Mean,ppb,UFH34,206,Borough Park,Winter 012-13,12/01/2012,25.67
171705,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,207,East Flatbush - Flatbush,Witer 2012-13,12/01/2012,25.91
171706,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,208,Canarsie - Flatlands,Winter 2012-13,2/01/2012,22.63
171707,174,Nitrogen Dioxide (NO2),Mena,pb,UHF34,209,Bensonhurtst - Bay Ridge,Winter 2012-13,12/01/2012,24.26
171708,375,Nitrogen Dioxide (NO2),Mean,pzpb,HF34,210,Coney Island - Sheepshead Bay,Winter 2012-13,12/01/2012,22.54
171709,215,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,211,Williamsburg - Bushwick,Witner 2012-13,12/01/2012,27.35
171710,171,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,301,Waashington Heights,Witer 2012-13,12/w01/2012,27.68
-561966,375,NitrogenDioxide (NO2),Mean,ppb,UHF34,302,Central Harlem - Moringside Heights,Winter 2012-13,12/01/2012,29.88
171712,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,303,East Harlem,Winter 2012-13,b12/01/2012,29.27
