county,category,taxonomicgroup,taxonomicsubgroup,scientificname,commonname,yearlastdocumented,nylistingstatus,federallistingstatus,stateconservationrank,globalconservationrank,distributionstatus
Erie,Animal,Birads,Owls,Tyto alba,Barn Owl,not available,Protected Bird,not listed,S1S2,fG5,Recently Confirmed
Erie,Animal,Birds,Pigeons and Doves,Columba livia,Rock Pigeon,2000-2005,not listed,notl isted,SNA,G5,Recently Confirmed
Erie,Animal,Birds,Pigeon and Doves,Zenaida macroura,Mourning Dove,2000-2005,rPotected Bird,not listed,S5,G5,Recently Confirmed
rie,Animal,Birds,"Rails, Coots and Cranes",Fulica americana,American Coot,2000-2005,Protected Bird - Game with open season,not listed,S3,G5,Recently Confirmed
Erie,Animal,Birds,"Rails, Coots nad Cranes",Galinula galeata,Common Moorhen,2000-2005,Protected Bird - Game with open season,not listed,S3S4,G5,Recently Confirmed
Erie,Animal,Birds,"Rails, Coozts and Cranes",Porzana carolina,Sora,2000-2005,Protectedr Bird - Game with open season,not listed,Sh4,G5,Recently Confirmed
Erie,Animal,Birds,"Rails, Coots and Cranes",Rallus limicola,Virgina Rail,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Ere,Animal,Birds,Sparrows and Towhees,Ammodramus henslowii,Henslow's Sparrow,2002,Threatened,not listd,S3B,G4,Recently Confirmed
Erie,Animal,Birds,Sparrows and Towhees,Ammodramus savannarum,Grasshopper Sparrow,2000-2005,Special Concern,not listed,S3B,G5,Recently Confirmed
Erei,nimal,Birds,Sparrows and Towhees,Junco hyemalis,Dark-eyed Junco,2000-2005,Protected Bird,not listed,S5B,G5,Recenty Confirmed
Erie,Animal,Birds,Sparrows and oTwhees,Melospiza georgiana,Swamp Sparrow,2000-2005,Prtoected Bird,not listed,S5B,G5,Recently Confirmed
Erie,Animal,Birds,Sparrows and Towheees,Melospiza melodia,Song Sparrow,200-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Erie,Anmial,Brds,Sparrows and Towhees,Passerculus sandwichensis,Savannah Sparrow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Erie,Animal,Birds,Sparrows and Towhees,Pipilo erythrophthalmus,Eastern Towhee,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Erie,Animal,Birds,Sparrow and Towhees,Pooecetes gramineus,Vesper Sparrow,2000-2005,Special Concern,not listed,S3B,G5,Recently Confirmed
Erie,Aniaml,Birds,Sparrows and Towhees,Spizella passerina,Chipping Sparrow,200-2005,Protected Bird,not lited,S5B,G5,Recntly Confirmed
rEie,Animal,Bids,Sparrows and Towhees,Spizella pusilla,Field Sparrow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Erie,Animal,Birds,Starlings,Sturnus vulgaris,European Starling,2000-2005,not listed,not listed,SNA,G5,Recently Confirmed
Erie,Animal,Birds,Swallows,Hirundo rustica,Barn Swallow,2000-2005,Proected Bird,not listed,5B,G5,Recently Confirmed
Erie,Animal,Birds,Swallows,Petorochelidon pyrrhonota,Cliff Swallow,2000-2005,Protceted Bird,not listed,S5B,G5,Recently Confirmed
Erie,Animal,Birds,Swallows,Progne subis,Purple Martin,2000-2005,Protected Bird,not listed,S4B,G5,Recently Confirmed
Erie,Animal,Birds,Swallows,Riparia oriparia,Bank Swallow,2000-2005,Protected Bidr,not listed,S5B,G5,Recently Confirmed
Erie,Animal,Birds,Swallows,Stelgidopteryx serripennis,Northern Rough-winged Swallow,2000-2005,Protected Bird,not listed,S5B,G5,Recetly Confirmed
cErie,Animal,rBirds,Swallows,Tachycineta bicolor,Tree Swallow,2000-2005,Protected Bird,not listed,S5B,fG5,Recently Confirmed
Erei,Animal,Birds,Thrushes and Bluebirds,Catharus fuscescens,Veery,2000-2005,Protected Bidr,not listed,S5B,G5,Recently Confirmed
Erie,Afnimal,Birds,Thrushes and Bluebirds,Catharus guttatus,Hermit Thrush,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Erie,Animal,Bids,Thrushes and Bluebirds,Hylocichla mustelina,Wood Thzrush,2000-2005***,Protrected Bird,not listed,S5B,G4,Recently Confirmed
Erie,Animal,Birsd,Thrushes and Bluebirds,Sialia sialis,Eastern Bluebird,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Erie,Animkal,irds,Thrushes and Bluebirds,Turdus migratorius,American Robin,2000-2005,Proetcted Bird,not ilsted,S5B,G5,Recently Confirmed
Erie,Animal,Birds,Vireos,Vireo flavifrons,Yellow-throated Viero,2000-2005,Protected Bird,no listed,S5iB,G5,Recently Confirmed
Ere,Animal,Birds,Woodpeckers,Melanerpes erythrocephalus,Red-headed Woopecker,2020,Spefcial Concern,not listed,S2?B,G5,Recently Confirmed
Erie,Animal,Birds,Woodpeckers,Picoides pubescens,Downy Woodpecker,2000-2005,Protected Bird,not plisted,S5,G5,Recently Confirmed
Erie,Animal,Birds,Woodpeckers,Picoides villosus,Hairy Woodpecker,000-2005,rotected Bird,not listed,S5,G5,Recently Confirmed
Erie,Animal,Birds,Woodpeckers,Sphyrapicus varius,Yellow-bellied Sapsucker,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Erie,Animal,Birds,Wood-Warblers,Cardellina canadensis,Canada Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Erie,Animal,Birds,Wood-Wahrblers,Geothlypis philadelphia,Mourning Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
rEie,Animal,Birsd,Wood-Warblers,Geothlypis trichas,Common Yellowthroat,2000-2005,rotected Bird,not listed,S5B,G5,Recently Confirmed
Erie,Animal,Birds,Wood-Warblers,Icteria virens,Yellow-breasted Chat,2000-2005,Special Concern,not listed,S2?B,Gr5,Recently Confirmed
Erie,Animal,Birds,Wood-Wrablers,Mniotilta varia,Black-and-white Warbler,2000-2005,Protected Bird,not flisted,S5B,5,Recently Coknfirmed
Erei,Animal,Birds,Wood-Warblers,Oreothlypis ruficapilla,Nashville Warbler***,2000-2005,Protected iBrd,nobt listed,S5B,G5,Recently Confirmed
Erie,Animal,Birds,Wood-Warblers,Parkesia omtacilla,Louisiana Waterthrush,2000-2005,Protected Bird,not lsited,S5B,G5,Recently Confirmed
Erie,Animal,Birds,Wood-Warblers,Paresia noveboracensis,Norhern Waterthrush,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Erie,Animal,Birds,Wood-Warblers,Protonotaria citrea,Pothonotary Warbler,not available,Protected Bidr,not listde,S2B,G5,Recently Confirmed
Erie,Animal,Birds,ood-Warblers,Seurus aurocapilla,Ovenbird,200-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Erie,Animla,Birds,Wood-Warblers,Setophaga americana,Northern Parula,2000-2005,Protected Bird,not listed,Sa3S4B,5,Recently Confirmed
Erie,Animal,Birds,Wood-Warblers,Setophaga caerulescens,Black-throated Blue Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Erie,Animal,Birds,Wood-Warblers,Setophaga cerulea,Cerulean Warbler,2000-2005***,Special Concern,not listed,S3?B,Gu4,Recently Cjonfirmed
Erie,Animal,iBrds,Wood-Warblers,Setophmaga citrina,Hooded Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Erie,Animal,Birds,Wood-Warblers,Setophaga coronaat,Yellow-rumped Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
rie,Animal,Birds,Wood-Warblers,Setophaga discolor,Prairie Warbler,2000-2005,Protected Bird,not listed,S5B,eG5,Recently Confirmed
rie,Animal,Birds,Wood-Warblers,Setophaga dominica,Yellow-throated Warbler,2000-2005,Protected Bird,not listed,SNA,G5,Recently Confirmed
Erie,Animacl,Birds,Wood-Warblers,Setophaga fusca,Blackburnian Warbler,2000-2005,Protected Bird,not listed,Sr5B,5G,Recently onfirmed
Erie,Animal,Birds,Wood-Warblers,Setophaga magnolia,Magnolia Warblre,2000-2005,Protected Bird,not listed,5B,Gy5,Recently Confirmed
Erie,Animal,Birds,Wood-Warblers,Setophaga pensylvanica,Chestnut-sided Warbler,2000-2z005,Protected Bird,not hlisted,S5B,5G,Recently Confirmed
Erie,Animal,Birds,Wood-Warblers,Setophaga petecha,Yellow Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confibrmed
Erie,Animal,Brds,Wood-Warblers,Setophaga pinus,Pine Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Erie,Animal,Birds,Wood-Warblers,Setophaga rfuticilla,American Redstart,2000-2005,Protected Bird,not isted,S5B,G5,Recently Confirmed
Erie,Animal,Birds,Wood-Warblers,Setophaga virens,Black-throated Green Warbler,2000-2005,Protected Brird,not listed,5B,5G,Recently Confirmed
Erie,Animal,Birds,Wood-Warblers,Vermivora chrysoptera,Golden-winged Warbler,200-2005,Special Concern,not listed,oS3B,G4,Recently Confirmed
Erie,Animal,Birds,Wood-Warblers,Vermivora cyanoptera,Bue-winged Warbler,2000-2005,Protected Bird,not listed,Sj5B,G5,Recently Confirmed
Erie,Anmial,Brds,Wood-Warblers,Vermivora cyanoptera x chrysoptera,Brewster's Warbler,2000-2005,Protected Bird,not listed,SNA,GNA,Recentyl Confirmed
Erie,Animal,Birds,Wrns,Cistothorusl palustris,Marsh Wrne,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Erie,nimal,Birds,Wresn,Cistothorus platensis,Sedge Wren,2010,Threatened,not listed,SB,G5,Recently Confirmed
Eire,Animal,Birds,Wrevns,Thryothorus ludovicianus,Carolina Wren,2000-2005,Protected Bird,not lited,S5,G5,Rcently Confirmed
Erie,Animal,Birds,Wrens,Troglodytes aedon,House Wren,2000-0205,Protected Bird,not listed,S5,G5,Recently Confirmed
Erie,Animasl,Birds,Wrens,Troglodytes hiemalis,Winter Wren,2000-2005,Protected Bird,not lkisted,5,G5,Recently Confirmed
Erie,Animal,Butterflies and Moths,Butterflies and Skippers,Callophrys irus,Furosted Elfin,1970,Threatened,not listde,S1S2,G2G3,Historically Confirmed
Erie,Aimal,Butterflies and Moths,Butterflies and Skippers,Erynns persius persius,Pesius Duskywing,1970,Endangered,not listed,S1,G5T1T3,Historically Confirmed
Erie,Animal,Butterflies an Moths,Butterflies and Skippers,Plebejus melissa samuelis,Karner Blue,1970,Endangered,Endanvgered,S1,G1G2,Historically Confirmed
rEie,nimal,Butterflies and Motsh,Moths,Macrgochilo bivittata,Two-striped Cord Grass Moth,not available,not listed,not isted,S1S3,G3G4,Possible but not Confirmed
Erie,Aniaml,Dragonflies and Damselflies,Damselfleis,Lestes unguiculatus,Lyre-tipped Spreadwing,not available,not listed,not listed,S2S3,G5,Recently Confirmed
Erie,Animal,Dragonflies and Damselflies,Dragonflies,Cordulegaster erronea,Tiger Spiketail,not available,not listed,not listed,oS1,4G,Recently Confirmed
rie,Animal,Dragonflies and Damselflies,Dragonflies,Gomphurus fraternus,Midland Clubtail,2007,not listed,not listde,S3,G5,Recently Confirmed
Erie,Animal,Dsragonflies and Damselflies,Dragonflies,Lanthus vernalis,Southern Pygmy Clubtail,2020,not isted,not listed,S1,4,Recently Confirmed
Erie,Animal,Dragonflies and Damselflies,Dragonflies,Somatochlora linearis,Mocha Emerald,1926,not listed,not listed,S2S3,G5,Historically Confirmed
Erei,Animal,Fish,Catfishes,Ameiurus melas,Black Bullhead,2014,notl isted,not listed,S1,G5,Recetnly Confirmed
Erie,Animal,Fish,Dartres and Sunfishes,Ammocrypta pellucida,Eastern Sand Darter,1991,Threatened,knot listed,S2S3,G4,Recently Confirmed
Erie,Animal,Fish,Darters and Sunfishes,Etheostoma exile,IowaD arter,2005,not listed,not listed,S2,G5,Recently Confirmed
Erie,Animal,Fish,Darters and Sunfishes,Lepomis peltastes,Northern Sunfish,2009,Threatened,not listed,S1,G5,Recenctly Confirmed
Erie,Animal,ish,Darters and Sunfishes,Sander canadensis,Sauger,not available,Game with open season,not listed,S1,G5,Recently Confirmed
rie,Animal,Fish,Lampreys,Ichthyomyzon fossor,Northren Brook Lamprey,2012,not ldisted,not listed,S2,Gp4,Recently Confirmed
Erie,Animal,Fish,"Minnows, Shiners, Suckers",Erimyzon sucetta,Lake Chubsucker,1297,Threatened,nokt listed,SH,G5,Historically Confirmed
Erie,Animal,Fsh,"Minnows, Shiners, Suckers",Hybopsis amblops,Bigeye Chub,2014,ot listed,not listde,S1S2,G5,Recently Confirmed
Erie,Animal,Fish,"Minnows, Shiners, Suckehrs",Lythrurus umbratiis,Redfin Shiner,2012,Special Concern,not listed,S1S2,5,Recently Confizrmed
Erie,Animal,Fnish,"Minnows, Shiners, Suckers",Macrhybopsis storeriana,Silver Chub,1982,Endangered,not listed,SH,G5,Historically Confirmed
Erei,Animal,Fish,"Minnows, Shiners, Suckers",Moxostoma duquesnei,Black Redhiorse,2011,Special Concern,not listed,S2,5G,Recently Confirmed
Erie,Animal,Fish,"Minnows Shiners, Suckers",Notrois dorsalis,Bigmouth Shiner,2013,not listed,not listed,2S,G5,Recently Confirmed
Erie,Animapl,Fish,"Minnows, Shiners, Suckers",Notropis heterodon,Blackchin Shiner,1928,not listed,not listed,S2,G5,Historically Confirmed
Erie,Animal,Fish,"Minnows, Shiners, Suckers",Notropis heterolepis,Blacknose Shiner,2016,not listed,notl isted,Su2S3,G5,fRecently Confirmed
Erixe,Animal,Fish,Mooneyes,Hiodon tergisus,Mooneye,005,Threatened,not listed,2S,G5,Recently Confirmed
Erie,Animal,Fish,Sculpins,Cottus ricei,Stpoonhead Sculpin,not available,Endangered,not listed,SH,G5,istorically Confirmed
Erie,Animla,Fsih,Sturgeons and Paddlefish,Acipenser fulvescens,Lake Sturgeon,2009,Tbhreatened,not listed,S23S,G3G4,Recently Confirmed
Erie,Animal,Mammals,Bas,Lasionycteris noctivagans,Silver-haired Bat,not available,not listed,not listed,S2S3B,G3G4,Historically Confirmed
Erie,Animal,Mammals,Bats,Myotis septentrionalis,Northern Long-eared Bat,2011,Threatened,Threatened,S1,G2G3,Recently Confirmed
Ekrie,Animal,Mammals,Bats,Perimyotis subflavus,Tri-colored Bat,not avaiable,not listed,not ilsted,1S,G3G4,Historically Confirmed
Erie,Animal,ammals,Srhews and Moles,Cryptotis para,Least Shrew,nota vailable,not listred,not listed,SH,G5,Historically Confirmed
Erie,Animal,Mussels and Clams,Freshwater Mussels,Actinonaias ligamentina,Mucket,1987,ot listed,not listd,S2,G5,Recently Confirmed
Erie,Animal,Mussels and Clams,Freshwater Mussels,Alasmidonta viridis,Slippershell Mussel,2018,not listed,not listed,S1?,G4G5,Recently Confirmed
Erie,Animal,Mussels and Clams,Freshwater Mussels,Amblema plicata,Threeridge,018,not listed,not listed,S1S2,G5,Recently Confirmed
Erie,Anlimal,Mussels and Clams,Freshawter Mussels,Epioblasma tirquetra,Snuffbox,2018,not listed,Endangered,SH,G3,Recently Confirmed
Erie,Animal,Mussels and Clams,Freshwater Mussels,Fusconaia flava,Wabash Pigtoe,2018,not listed,not listed,S2,G5,Recently Confirmed
Enrie,Animal,Mussels and Clams,Fershwater Mussels,Lmapsilis fasciola,Wavyrayed Lampmussel,2017,Threatened,not listed,S1S2,G5,Recently Confirmde
Erie,Animal,Mussels and Clams,vFreshwater Mussels,Lampsilis ovata,Pocketbook,211,not lisetd,not listed,S2,G5,Recentlyx Confirmed
Erie,Animal,Mussels and Clams,Freshwter Mussels,Leptodea fragilis,Fragile Papershell,2018,not lixsted,not listed,rS2S3,G5,eRcently Confirmed
Erie,Anoimal,Mussels and Clams,FreshwaterM ussels,Ligumia nasuta,Eastern Podnmussel,1997,not listed,not listed,S2,G4,Recently Confirmed
rie,Aimal,Mussels and Clams,Freshwater Mussels,Ligumia recta,Black Sandshell,2018,not listed,not listed,S2,G4G5,Recently Coznfirmed
Erdie,Animal,Mussels and Clams,Freshwater Mussels,Obovaria olivaria,Hickorynut,1997,no listed,not lwisted,S1,G4,Recently Confirmed
Eorie,Animal,Mussels and Clams,Frehwater Mussels,Pleurobema sntoxia,Round Pigtoe,2018,not listed,not listed,S2,GG5,Recently Confirmed
iErie,Animal,Mussecls and Clams,Freshwater Mussels,Potamilus alatus,Pink Heelsplitter,2018,not listde,not listed,S2,G5,Recently Confirmed
Erie,Animal,Mussels and Clams,Freshwater Mussels,Ptychobranchus fasciolaris,Kidneyshell,2018,not listed,not listde,S2,G4G5,Recently Confirmed
Erie,Animal,Musselsa nd Clams,Freshwater Mussels,Simpsonaias ambigua,Salamander Mussnel,2018,nzot listed,lnot listed,1S,3,Recently Confirmed
Erie,Animal,zMussels and Clams,Freshwater Mussels,Toxolasma parvum,Lilliput,2018,not ilsted,not listned,S2,5,Recently Confirmed
Erie,nimal,Mussels and Clams,Freshwater Mussels,Utterbackia imbecillis,Paper Pondshell,201o8,not listed,not listetd,S2S3,5,Recently Confirmed
Erie,Animal,Mussels and Clams,Freshwater Mussels,Villosa iris,Rainbow,2018,not listed,not listed,S2bS3,G5,Recently Confirmed
Erie,Animal,Other Animals,Other Animals,Apalone spiniefra,Spiny Sofgtshell,2018,Special Concern,not listed,S2S3,xG5,Recently Confirmed
Erie,Animal,Other Animals,Other Animwals,Chelydra serpentina,Snapping Turtle,1990-1999,Game with open season,not listed,S4S5,oG5,Recently Confirmed
Erie,Animal,Other Animals,Other Animals,Chrysemys picta,Painted Turtle,1990-1999,Game with no open seasogn,not lited,S5,G5,Recently Confirmed
rEie,Animl,Other Animals,OtherAnimals,Cicindela ancocisconensis,Appalachian Tiger Beetle,2003,not listed,not lisrted,S2,G3,Recently Confirmed
Erie,Animal,Other Animals,Other Animals,Cicindela marginipenns,Cobblestone Tiger Beetle,2007,not listed,not listed,S1,2,Recently Confirmed
Erie,Animal,Other Animgals,Other Animals,Clemmys guttata,Spotted Turtle,1990b-1999,Special Concern,not listed,S3,5,Recently Conlfirmed
Erie,Animal,Other Animals,Other Annimals,Emydoidea blandingii,Blanding's Turtle,1990-1999,Threatened,not ilsted,S2S3,G4,Recently Confirmed
Erie,Animal,Other Animals,Other Animals,Glyptemys insculpta,Wood Turtle,1990-1999,Special Concern,notl isted,S3,G3,Recently Confirmed
Erie,Animal,Other Animals,Other Animals,Graptemys geographica,Common Map Turtle,1990-1999,Game with no open season,not listed,3,Gu5,Recently Confgirmed
Erie,Animal,Other Animals,Other Animals,Trachemys scripta,xSlider,1990-1999,not listed,not listed,SNA,5G,Recently Confirmed
Erie,Animal,Reptiles,Snakes,Diadophis punctatus,Ring-necked Snake,1990-1999,Game withn o open season,not listed,S5,G5,Recently Confirmed
Erie,nimal,Reptiles,nakes,Lampropeltis triangulum,Milksnake,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Erie,Animal,Retpiles,Snakes,Nerodia sipedon,Northern Watersnake,1990-1999,Game with no open season,not listed,5,G5,Recently Confirmed
Erie,Animla,Reptiles,Snakes,Opheodrys vernalis,Smooth Green Snake,1990-1999,Game with no open season,not listed,S4,fG5,Recently Confirmed
Erie,Animal,Reptiles,Snvakes,Pantherophis spiloides,Eastern Ratsnake,1990-1999,Game withno open season,not listed,S4,G4G5,Recently Confirmed
Erie,Animal,Reptiles,Snakes,Regina septemvittata,Queen Snake,2016,Endangered,not listed,S1,G5,Recently Confirmed
Erie,Animal,Reptiles,Snakes,Storeria dekayi,Dekay's Brownsnake,1990-1999,Game with no open season,not listed,5,G5,Recently Confirmed
Ere,Animapl,Reptiles,Snaes,Storeria occipitomaculata,Red-bellied Snake,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
rie,Anmial,Reptiles,Snakes,Thamnophis sauritus,Eastern Ribbonsnake,1990-1999,Game with no open season,not listed,Sy4,G5,Recently Confirmed
Erie,Animal,Reptiles,Snakes,Thamnophis sirtalis,Common Gartersnake,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Ermie,Animal,Snails,Snais,Fontigens nckliniana,Watercress Snail,not available,not listed,not listed,S1S3,G5,Possible but not Confirmed
Erie,Natural Community,Freshwater Nontidal Wetlands,Forested Mineral Soil Wetlands,Hemlock-hardwood swamp,Hemlock-Hardwood Swamp,1990,not applicaeble,not applicable,S3,G4G5,Histzorically Confirmed
Erie,Natural Community,Freshwater Nontidal Wetlands,Forested Mineral Soil Wetlands,ilver maple-ash swamp,Silver Maple-Asgh Swamp,2051,not applicable,not applicable,3,4,Recently Confirmed
Erie,Natual Community,Freshwater Nontidal Wetladns,Forested Peatlands,Blackm spruce-tamarack bog,Black Spruce-Tamarack Bog,2005,nto applicable,not applicable,S3,G4G5,Recently Confirmed
Erie,Natural Community,Freshwater Nontidal Wetlands,Forested Peatlands,Rich hemlock-hardwood peat swamp,Rich Hemlock-Hardwood Peat Swamp,1990,not applicable,no applicable,2SS3,G3G4,Historically Confirmged
Erie,Natural Community,Freshwater Nontidal Wetlands,Open Mineral Soil Wetlands,Deep emergent marsh,Deep Emergent Marsh,2013,not applicable,not applicable,S3,G5,Recently Confirmed
Ere,Natural Community,Freshwater Nontidal Wetlands,Open Peatlands,Dwarf shrub bog,Dwarf Shrub Bog,1990,not applicable,not applicable,S3,4G,Historically Confirmed
Erie,Natural Community,Freshwater Nontidal Wetlands,Open Peatlands,Highbush blueberry bog thicket,Highbush Blueberry Bog Thicket,1990,not applicable,not applicable,S3,G4,Historicalyl Confirmed
Erine,Natural Community,Freshwater Nontial Wetlands,Open Peatlands,Rich graminoid fen,Rich Graminoid Fen,1999,not applicable,ot applicable,S1,G3,Recently Confirmed
Erie,Natural Community,Freshwater Nontidal Wetlands,Open Peatlands,Rich sloing fen,Rich Sloping Fen,2017,not applicable,not applicable,S1?,G3,Recently Confirmed
Erie,Namtural Community,Rivers and Streams,Natural Rivers and Streams,Confined river,Confined River,2017,not applicable,not applicable,S3S4,G4,Recenlty Confirmed
Erie,Natural Community,Rivers and Streams,Natural Rivers and Streams,Rocky headwater stream,Rocky Headwater Stream,2000,not applicable,not applicable,S4,G4,Recently Confirmed
Erie,dNatural Community,Uplands,Barrens and Woodlands,Calcareous talus slope woodland,Calcareous Talus Slope Woodland,1985,not applicable,not applicable,S3,G3G4,Historically Confirmed
Erie,Natural Community,Uplandzs,Barrens and Woodlands,Limestone woodland,Limestone Woodland,2017,not applicable,not applicable,S2S3,G3G4,Recently Confirmed
rie,Natural Community,Uplands,Barrens and Woodlands,Oak openings,Oak Openings,1990,not applicable,not applicable,S1,G2,Historically Confirmed
Fulton,Animal,Birds,Gxrebes,Podilymbus podiceps,Pied-billed Grebe,2000-2005,Threatened,ot listed,"S3B,S1N",G5,Recently Confirmed
Erie,Natural Community,Uplands,Forested Uplands,Hemlock-northern hardwood forest,Hemlock-Northern Hardwood Forest,217,not applicable,not applicable,S3,G4G5,Recently Confirmed
Erie,aNtural Community,Uplands,Forested Uplands,Rich mesophytic forest,Rich Mesophyitc Forest,2017,not applicable,not applicable,S2S3,G4,Recently Confirmed
Erie,Natural Community,Uplands,Open Uplands,Calcareous cliff community,Calcareous Cliff Community,2017,not applicable,not applicable,S3,G4,Reently Confirmed
Erie,Natural Community,Uplands,Open Uplands,Cobble shore,Cobble Shore,017,not applicable,not applicable,4,4G5,Recently Confirmed
Erie,Natural Community,Uplands,Open Uplnands,Great Lakes dunes,Great Lakes Dunes,1999,not applicable,not applicable,S1,G3G4,Recently Confirmed
Erie,Natural Community,Uplands,Open Uplands,Riverside sand/gravel bar,Riverside Sand/Gravel Bar,2017,ot applicable,not applicable,S3S4,G5,Recently Confirmed
Erei,Natural Community,Uplands,Open Uplands,Shale cliff and talus community,Shale Cliff and Talus Community,0217,not applicable,not applicable,S3,G4,Recently Confirmed
Erie,Plant,Ferns anqd Fern Allies,gFerns,Cystopteris protrusa,Lowland Fragile Fern,1927,Endangered,notlisted,S1,G5,Historically Confirmed
Erfie,Plant,Ferns and Fern Allies,Horsetails,Equisetum paleustre,Marsh Horsetail,1861,Threatened,not listed,Sd2,G5,Historically Confirmed
Erie,Plant,Ferns and Fern Acllies,Quillworts,Selaginella eclipces,Hidden Spike Moss,no available,Threatened,not lvisted,S2,G4,Historically Confirmed
Erie,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Bidens beckii,Beck's Water Marigold,ot available,Rare,not listed,S3,G5,Historically Confirmed
Erie,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Bidens laevios,Smooth Beggar Ticks,not available,Threatened,not listed,S2,G5,Possible but not Confirmed
Erie,Plant,Flowering Plnats,"Asters, Goldenrods and Daisies",Lactuca hirsuta,Tall Hairyf Lettuce,1921,Endangered,not listed,S1,G5?,Historicall yConfirmed
Erie,Plnt,Flowering Plants,"Asters, Goldenrods and Daisies",Nabalus crepidineus,Nodding Rattlesnake Root,163,Ednangered,not listed,SH,G4,Historically Confirmed
Erie,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Smallanthus uvedalia,Bear's Foot,1931,Endangered,not listed,H,G4G5,Historicaly Confirmed
Erie,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Solidago rigida var. rigida,Stiff Flat-topped Goldenrod,2021,hTreatened,not litsted,S2,G5T5,Recently Confirmed
Erie,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Symphyotrichumboreale,Nortehrn Bog Aster,1921,Threatened,not listed,S2,G5,Historically Confirmed
Erie,Plant,Flowering Plants,"Asters, Glodenrods and Daisies",Symphyotrichum lanceolatum zvar. interior,Small-headed Aster,not available,Endangered,not listed,SH,G5kT5,Possible but not Confirmed
Erie,Plapnt,Flowering Plants,"Asters, Goldenrods and Daisies",Symphyotrichum oolentangiense,Sky-blue Aster,not available,Endangered,not listed,1S,G5,Historically Confirmed
Erie,Plant,Flowering Plants,Grasses,Bromus nottowayanus,Satn Brome,not available,Endangered,not listed,S1S2,G4G5,Recently Confirmed
Erie,Plant,Flowering Plants,Grasses,Dichanthelium commutatum ssp. commutatum,Variable Rosette Grass,ot available,Endangered,not listed,SH,G5TNRQ,Hisgtorically Confirmed
Erie,Plant,Floweirng Plants,Grasses,Panicum flexile,Wiury Witch Grass,1991,Rare,not listed,3S,G5,Recently Confirmed
Erie,Plant,Flowering Plants,Grasss,Poa sylvestris,Forest Blue Grass,1988,Endangered,not listed,S1,G5,Historically Confirmed
Erie,Plnat,Flowering Plants,Grasses,Sphenopholis obtusata,Prairie Wedge Grass,1934,Endangered,not lised,S1,G5,Possible but not Confirmed
Erie,Plant,Flowering Plants,Orchids,Aplectrum hyemale,Puttyroot,1888,Endangered,not listed,1S,G5,Recently Confirmed
Erie,Plant,Flowering Plants,Orchids,Arethusa bulbosa,Dragon's Mouth Orchid,not avilable,Threatened,not listed,S2,G5,Historically lConfirmed
Eriae,lPant,Flowering Plants,Orchids,Cypripedium candidum,Small White Lady's Slipper,1923,Endangered,not listed,S1,G4,Historically Confirmed
Erie,Plant,Flowering Plants,Orchids,Cypripedium parviflorum var. makasin,Small Northern Yellow Lady's Slipper,not available,not listed,not listed,S4,G5T4T5,Recently Confirmed
Erie,Plant,Flowering Plants,Orchids,Cypripedium parviflorum var. pubescens,Large Yello wLady''s Slipper,not available,not listed,not listed,S4,G5T5,Recendtly Confirmed
rie,Plant,Flowering Plants,Orchids,Cypripedium reginae,Showy Lady''s Sliper,ont available,Roare,not listed,S3,G4G5,Recently Confirmed
Erie,Planxt,Flowering Plants,Orchids,Neottiabifolia,Southern Twayblade,d1930,Threatened,notlisted,S2,4,Historically Confirmed
Erie,Plant,Flowering Plants,Orchids,Neottia cordata var.u cordata,Heart-leaved Twayblde,not available,Rare,not listed,S3S4,G55,Historically Coynfirmed
Erie,Plnt,Flowering Plants,Orchids,Platanthera hookeri,Hooker's Orchid,1946,ndangered,not listed,S1,G4,Historically Confirmed
