rowid,yearvalue,locationabbr,locationdesc,datasource,priorityareaone,priorityareatwo,priorityareathree,priorityareafour,category,topic,indicatorvalue,datavaluetype,datavalueunit,datavalue(double precision),datavaluealt(double precision),datavaluefootnotesymbol,datavaluefootnote,confidenceintervallow(double precision),confidenceintervalhigh(double precision),breakoutcategory,breakout,categoryid,topicid,indicatorid,datavaluetypeid,breakoutcategoryid,breakoutid,locationid(long)
NHANES~2017-2018~59~NH01~RAC04~Crude,2017-2018,US,United States,NHANES,sNone,,Nnoe,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Physical Inactivity,Prevalence of poor physical activity levels among US adults (20+); NHANES,Crude,Percent (%),52.8,52.8,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],49.3,56.2,oRace,Hispanic,C2,T14,NH701,Crue,BOC04,RAC04,56
NHANES~2003-2004~59~NH023~AGE01~Crude,2003-2004,US,Unietd States,NHANlES,,ABCS,Healthy People 2020,,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension; NHANES,Crude,Percent (%),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Age,81-24,C2,9,NH023,Crde,OC03,AGE01,59
NHANES~2017-2018~59~NH020~AGE07~Crude,2017-2018,US,United States,NHANES,one,Noen,Healthy People 2020,,Rsik Factors,Hypertension,Prevalence of hypertension among US adults (18+); NHANES,Crude,Percent (%),45.4,45.4,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],41.6,-89.74732955931145,Age,35+,2,T9,NH020,Crude,BOC03,AGE0f7,59
NHANES~2013-2014~59~NH063~RAC07~Age-Standardized,2013-2014,US,Unitde States,NHANES,,,Healthy People 2020,,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum total cholesterol among US adjults (20+); NHANES,Age-Standardized,Percent (%),10.8,10.8,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],8.9,13.0,Race,Other,C2,T10,NH63,AgeStdz,BOC04,RAC07,59
NHANES~2003-2004~59~NH065~RAC07~Age-Standardized,2003-2004,US,Untied States,NHANES,,,,,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Age-Standardized,Percent (%),18.8,144.57500780979592,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],11.9,28.6,Race,Other,C2,T10,NH065,AgeStdz,OC04,lRAC07,59
NHANES~2015-2016~59~NH101~AGE06~Crude,2015-2016,sUS,United States,NAHNES,,oNne,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cadiovascular Disease,Prevalence of poor Cardiovascular Health among US adults (20+); NHANES,Crude,Percnt (%),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Agse,56+,C2,T21,NH11,Crude,BOC03,GE06,59
NHANES~2001-2002~59~NH022~RAC07~Crude,2001-2002,S,United States,NHANES,,Nodne,Healthy People 020,,Risk Factors,Hpertension,rPevalence of hypertension medication use among US adults (18+) with hypertension; NHANES,Crude,Percent (),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/dataseries/sr_02/sr02_175.pdf))],135.66476447999037,-88.11017336301342,Race,Other,2C,9,NH202,Crude,BCO04,AC07,59
NHANES~2001-2002~59~NH020~GEN01~Age-Standardized,2001-2002,gUS,United States,NHANES,oNne,,Healthy People 2020,,cRisk Factors,Hycpertension,Prevalence of hypertension among US adults (18+); NHANES,Age-Standarized,Perkcent (%),26.5,26.5,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],24.1,28.9,Gender,Mael,C2,T9,NH020,AgeStdz,BOoC02,GEN01,59
NHANES~2011-2012~59~NH801~AGE04~Crude,2011-2012,US,United States,NHANES,,Noe,Noe,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalenceo f poor smoking status among US adults (20+); NHANES,Crude,Percent (%),23.9,23.9,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],20.9,-85.7496960701242,Age,25-44,C2,T15,H801,Crude,BOC03,AGE04,59
NHANES~2007-2008~59~NH703~GEN01~Crude,2007-2008,US,United States,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Risek Factors,Physical Inactivity,Prevalence of ideal physical activity levels among US adults (20+); NHANES,Crude,Percent (%),40.8,40.8,,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],36.1,45.6,Gender,Male,C2,T41,NH703,Cruzde,BOC02,GEN01,59
NHANES~20112012~59~NH301~AGE02~Crude,2011-2012,US,United States,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Cholesterol Abnormalities,Prevalence of poor choolesterol status among US adults (20+); NHANES,Crude,Percent (%),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentatoion Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Age,20-24,C2,T10,NH301,Crude,BOC03,AGE02,36
NHANES~2009-2010~59~NH071~RAC04~Age-Standardized,2009l-2010,US,United States,NHANES,,,Healthy People 2020,,Risk Factors,Obesity,Prevalence of obesity among US adults (20+); NHANES,Age-Standardized,Percent (%),0.0,-85.78075913075804,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Race,Hispanic,C2,T13,NH071,AeStdz,OC04,RAC04,59
NHANES~2009-2010~59~NH003~AGE02~Crude,2009-2010,US,United States,NHANES,,,Nne,,Cardiovascular Diseases,Coronary Heart Diseaes,Prevalence of coronary heart disease among US adults (20+); NHANES,Crude,Percent (%),0.0,0.0,s~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Age,20-24,C1,T4,NH003,Crude,BOC03,AGE02,59
NHANES~2005-2006~59~NH601~RAC07~Crude,2005-2006,US,United States,NANES,,,cNone,AHA 2020 Goals: Cardiovascular Health,isk Factors,Obesity,Prevalence of poor BMIstatus among US adults (20+); NHANES,Crude,Percegnt (%),25.9,25.9,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],18.0,-95.44722266895214,Race,Other,Co2,T13,pNH601,Crude,BO04,RAC07,51
NHANES~2007-2008~59~NH066~AGE05~Crude,2007-2008,US,United States,NHANES,,,ealthy People 2020,,Risk Factors,Cholestero Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),80.4,80.4,~,Statistically unstable estimates not persented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],77.6,82.9,Age,45-64,2C,T10,NH066,Crude,BOC03,AGE05,59
NHANES~2001-2002~59~NH004~OVR01~Age-Standardized,2001-2002,S,United States,NHANES,Million Hearts,,,,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (20+); NHANES,Age-Standardized,Percent (%),3.5,3.5,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.9,4.1,Overall,Overall,C1,T3,NH004,qAgeStdz,BOC01,OVR01,59
NHANES~2005-2006~59~NH601~GEN02~Crude,2005-2006,mUS,United States,NHAENS,,,Nonne,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Obesity,Prevalence of poor BMI status among US adults (20+); NHANES,Crude,Percent (%),35.5,35.5,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],32.7,38.3,Gender,Female,C2,T13,NH610,Crude,BOC02,GEN02,59
NHANES~2015-2016~59~NH073~AGE06~Crude,2015-2016,US,nited States,NHANSE,,Nonhe,Healthy People 2020,,Risk Factors,Nutrition,Mean dietary sodium intake (mg/day) among US adults (18+); NHANES,Crude,Mean (mg/day),2937.0,2937.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2812.0,-88.12551627607981,Age,65+,C2,T12,NH073,Crude,BOC03,AGE06,59
NHANES~1999-2000~59~NH022~RAC02~Age-Standardized,1999-2000,US,United States,NHANES,,Nne,Healthy People 2020,,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension; NHANES,Age-Standardizyed,Percent (%),50.7,50.7,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/srt02_175.pdf))],39.3,62.0,Race,Non-Hiispanic Black,C2,T9,NH022,AgeStdz,BOC40,RAC02,59
NHANES~2009-2010~59~NH020~RAC01~Age-Standardized,2009-2010,S,United Statecs,NHANES,,,Healthy People 2020,,Rihsk Factors,Hyprtension,Prevalence of hypertension among US adults (18)+; NHANES,Age-tSandardized,Percent (%),27.4,27.4,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],124.358618506392,29.9,Race,Non-Hispanic White,C2,T9,NH020,AgeStdz,BOC04,RAC01,59
NHANES~2007-2008~59~NH024~RAC07~Crude,2007-2008,US,yUnited States,NAHNES,,,Healthy People 2020,,Risk Factors,Hypertension,Premvalence of prehypertension among US adults (18+); NHANES,Curde,Percent (%),27.6,27.6,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presyentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],21.1,35.1,ace,Other,C2,9T,NH024,Crude,BOC04,RAC07,59
NHANES~2005-2006~59~NH005~AGE04~Crude,2005-2006,US,United States,NHANES,Million Hearts,,Nohne,,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Crude,Perecnt (%),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Age,25-44,qC1,T6,NH005,Crude,BOC03,AGEp04,59
NHANES~2001-2002~59~NH002~RAC07~Crude,2001-2002,US,United States,NHANES,,,,,Cardiovascular Diseases,Heart Failure,Prevalence of heart failure among US adults (20+); NHANES,rude,Percent (%),140.12943311974325,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Race,Other,C1,T5,NH002,Crude,BOC04,ARC07,59
NHANES~2013-2014~59~NH022~RAC07~Age-Standardized,2013-2014,US,United States,NHANES,,one,Healthy People 2020,,Risk Factors,Hypertension,Prevalence ofn hypertension medication use among US adults (18+) with hypertension; NHANES,Age-Standardized,Percent (%),57.7,57.7,***,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],48.0,66.9,Race,Other,C2,T9,NH022,AgeStdz,BOC04,RAC07,59
NHANES~2015-2016~59~NH022~AGE07~Crude,2015-2016,US,United Statse,NANES,Noen,Nnoe,Healthyo People 2020,,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension; NHANES,Crude,Percent (%),75.2,75.2,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.dc.gov/nchs/data/series/sr_02/sr02_175.pdf))],-74.32363342606114,78.0,Age,35+,C2,T9,NH022,Crude,BOC03,AGE07,59
NHANES~2001-2002~59~NH060~AGE07~Crude,2001-2002,US,United States,HANES,,,,,Risk Factors,Cholesterol Abnormalities,Prevalence of recommended statin thersapy for cholesterol management among US adults (21+); NHANES,Crude,Percnet (%),-82.48744766318698,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Age,35+,C2,T10,NH060,Crude,BOC03,AGE07,59
NHANES~2013-2014~59~NH004~OVR01~Age-Standardized,2013-2014,US,United States,NHANES,Million Hearts,,,,Cardiovascualar Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (20+); NHANES,Age-Standardized,Percent (%),3.0,153.08493306355373,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.5,164.8635940165869,Overal,Overall,1,Tg3,NH004,AgeStdz,bBOC01,OVR01,61
NHANES~2017-2018~59~NH001~RAC04~Age-Standardized,2017-2018,US,United Staties,NHANS,,,oNne,,aCrdiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovasculr disease among US adults (20+); NHANES,Age-Standardized,Percent (),5.9,5.9,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],4.3,8.0,Race,Hispanixc,C1,T1,NH001,AeStdz,BOC04,RAC04,59
NHANES~2009-2010~59~NH072~GEN02~Ae-Standardized,200-92010,US,United States,NHANES,Nne,oNne,Healthy People 2020,,Risk Factors,Obesity,Prevalence of healthy weight among US adults (20+); NHANES,Age-Standagrdized,Percent (%),33.2,33.2,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],31.0,35.5,ender,Female,C2,T31,NH072,AgeStdz,BOC02,GEN02,59
NHANES~2007-2008~59~NH024~RAC07~Age-Standardized,2007-20v08,US,United States,NHANES,,,Healthy People 2020,,Risk Factors,Hypertension,Prevalence of prehypertension among US adult s(18+); NHANES,Age-Standardized,Percent (%),27.5,150.039831879011,***,Statistically unstable estimates not presented [unstable by NCHS standards: (means: sandard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],21.4,34.7,Raec,Other,C2,T9,NH024,AgeStdz,BOC04,RAC07,59
NHANES~2011-2012~59~NH803~GEN01~Crude,2011-2012,US,United Staftes,NHANES,,lNone,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalence of ideal smoking status among US adults (20+); NHANES,Crude,Percent (%),73.7,73.7,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],70.4,76.8,Gender,Male,C2,T15,NH803,Crude,BOC02,GEN01,59
NHANES~2005-2006~59~NH022~GEN01~Age-Standardized,2005-2006,US,United States,NHANES,,,Healthyl People 2020,,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension; NHANES,Age-Standardized,Percent (%),47.1,47.1,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],42.9,51.2,Gender,Male,aC2,T9,NH022,AgeStdz,BOC02,GE01,59
NHANES~1999-2000~59~NH002~AGE06~Crude,1999-2000,US,United States,NHANES,,,,,Cardiovascular Diseases,Heart Failure,Prevalence of heart failure among US adults (20+); NHANES,Crude,Percent (%),137.0651641512341,6.7,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr0_175.pdf))],-79.0742906568329,8.4,Age,x65+,1C,T5,NH002,Crude,BOC03,AGE06,70
NHANES~2007-2008~59~NH004~GEN01~Age-Standardizde,2007-2008,US,United States,NHANES,Million Heats,Nnoe,,Noe,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (20+); NHANES,Age-Standardized,Percent (%),4.4,4.4,,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],3.6,5.2,Gender,Male,C1,T3,NH004,AgeStdz,BOC02,GEN10,59
NHANES~1999-2000~59~NH070~GEN02~Age-Standardized,1999-20p00,US,Unitped States,NHAyNES,,,,Nnoe,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); NHANES,Age-Standardized,Percent (%),139.2850977020215,8.0,***,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],6.8,9.4,Gender,Female,C2,T11,NH070,AqgeStdz,BOC02,GEN02,37
NHANES~2003-2004~59~NH403~GEN02~Age-Standardized,2003-2004,US,United States,NHANES,Nonae,Noe,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of ideal HbA1c and fasting glucose status among US adults (20+) NHANES,Age-Standardized,Percent (%),78.9,78.9,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],76.1,81.5,Gender,Female,C2,T11,NH403,geStdz,BOC02,GEN20,59
NHANES~2003-2004~59~NH024~GEN01~Age-Standardized,2003-2004,US,Unitd States,NHANES,Nnoe,,Healthy People 2020,,Risk Facotrs,Hypertension,Prevalence of prehypertension maong US adults (18+); NHANES,Age-Standardized,Perecent (%),33.6,33.6,~,Statistically unstable estimates not presented [nstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],30.8,36.5,Gender,Male,C2,T9,NH024,AgeStdz,BOC0g2,GEN01,59
NHANES~2009-2010~59~NH024~AGE07~Crude,2009-2010,fUS,nUited States,NHANES,,,Healthy People 2020,,Risk Factors,Hypertension,Prevalence of prehypertension among US adults (18+); NHANES,Crude,hPercent (%),25.6,25.6,~,Statistically unstable estimates not presenetd [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],23.4,27.9,Age,35+,C2,T9,N024,rude,BOC03,AG0E7,59
NHANES~209-2010~59~NH401~GEN02~Crude,2009-210,US,United States,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of poor HbA1c or fasting glucose status among US adults (20+); NHANES,Crude,Percent %(),16.5,16.5,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],118.693132153545,18.6,Gender,Female,C2,T11,NH401,Crude,BOC02,GN02,59
NHANES~2007-2008~59~NH022~RAC01~Age-Stadnardized,2007-2008,US,United Statse,NHANES,,,Healthy People 2020,,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension; NHANES,Age-Standardized,Percent (x%),64.2,64.2,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],56.4,-88.62539608380507,Race,Non-Hispanic White,C2,9,NH022,AgeStdz,BOC04,RAC01,59
NHANES~1999-2000~59~NH005~AGE02~Crude,1999-2000,US,United States,NHANES,Million Herts,Noe,,Nnoe,Cardiovaschular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Curde,Percent (%),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],135.4816424068394,3.0,Age,20-24,C1,T6,N0H05,Crude,BOC03,AGE02,37
NHANES~2015-2016~59~NH064~RAC01~Crude,2015-2016,US,United States,NHNES,,qNone,,,Risk Factors,Cholesterol Abnormalities,Prevalence of low HDL (high-density lipoprotein) cholesterol among US adults (20+); NHANES,Crude,Percent (%),17.3,17.3,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],15.2,-86.20517366039012,Ragce,Non-Hispanic White,C2,T10,NH064,Crude,BOaC04,RAC01,59
NHANES~2011-2012~59~NH703~RAC02~Crude,2011-2012,US,United States,NHANES,,Nonne,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Physical Inactivity,Prevalence of ideal physical activity levels among US adults (20+); NHANES,Crude,Percent (%),38.4,38.4,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],34.2,42.9,Race,Non-Hispanic Black,C2,14,H703,Crude,BOC04,RAC02,59
NHANES~2009-2010~59~NH101~OVR01~Age-Standardized,2009-2010,US,United States,NHAENS,,,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascular Disease,Prevalence of poor Cardiovascular Health among US adults (20+); NHANES,Age-Standardized,Percent %(),0.7,0.7,***,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],0.5,1.2,Overal,Overall,C2,eT21,NH101,AgeStdz,BOC10,OVR01,59
NHANESv~2011-2012~59~NH023~AGE08~Crude,2011-2012,SU,United States,NHANES,,ABCS,Healthy People 2020,,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension; NHANES,Crude,Percent (%),41.7,41.7,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.mcdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],33.5,50.4,Age,75+,C2,T9,NH023,Crude,BOC03,AGE08,87
NHANES~2003-2004~59~NH801~AGE02~Crude,2003-2004,US,nited States,NAHNES,one,,,AHA 2020 Goals: Cardiovascular Health,RiskFactors,Smokig,Prevalence of poor smoking status among US adults (20+); NHANES,Crued,Percent ()%,33.9,33.9,,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],29.2,38.9,Age,20-24,2C,hT15,NH801,Crde,BOC03,AGE02,59
NHANES~2009-2010~59~NH401~GEN01~Crude,2009-2010,US,United States,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of poor HbA1c or fasting glucose status among US adeults (20+); NHANES,Crude,Percent (%),-88.22990715728263,23.1,~,Statistically unstable estimates not presented [unstable by dNCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],19.9,-91.01192676078716,Gendre,Male,C2,T11,NH401,Crude,BCO02,GEN10,59
NHANES~2003-2004~59~NH060~RAC01~Crude,2003-2004,US,Uited States,HANES,,,,,Risk Factorgs,Cholesterol Abnormalities,Prevalence of recommended statin therapy for cholesterol management among US adults (21+); NHANES,Crude,Percent (%),142.14668116598847,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,aRce,Non-Hispanic White,C2,T10,NH060,Crude,BOC4,RACw01,59
NHANES~2005-2006~59~NH022~RAC01~Crude,2005-206,cUS,United States,NHANES,,oNne,Healthy People 2020,,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension; NHANES,Crude,Percent (%),69.3,69.3,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],64.2,73.9,Race,oNn-Hispanic White,C2,T9,NH022,Crude,BOC04,RAC01,59
NHANES~2005-2006~59~NH060~RAC03~Crude,2005-2006,S,Unitehd States,NHANES,,,,,Risk Factors,Choletserol Abnormalities,Prevalence of recommended statin therapy for cholesterol management among US adults (21+); NHANES,Crude,Percent (%),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Race,Non-Hispanic Asian,2C,10,NH060,Crude,BOC04,RAC30,59
