OBJECTID,TRBG80,TRACT80,BLKGRP80,AREA_SQFT,AREA_ACRES,SF1LOGRECNO,SF3LOGRECNO,SHAPE_Length,SHAPE_Area
305,6300.2,6300,2,3029247.69149458,69.5,05856,03012,10677.3618663553,3029247.68089545
306,6300.3,6300,3,3473145.64019336,79.7,05858,03013,10089.8728989403,3473145.57384359
307,6300.4,6300,4,3849681.94848829,88.4,05860,03014,13846.1221397629,3849681.75976323
308,6300.5,6300,5,6323093.81348554,145.2,05864,03016,14816.3198691046,6323093.88461693
309,6300.6,6300,6,2356773.93517261,54.1,05866,03017,7345.62823850335,2356773.72430806
310,6400.1,6400,1,1758520.25427147,40.4,05870,03019,9119.28909938686,1758520.13056856
311,6400.3,6400,3,1796854.13860476,41.3,05874,03021,6534.98537300117,1796854.12797882
312,6400.4,6400,4,1153379.2569319,26.5,05876,03022,4351.6707043374,1153379.26617588
313,6400.6,6400,6,3353826.02721898,77,05880,03024,7759.07054423959,3353826.45537957
314,6500.1,6500,1,1212422.30464435,27.8,05884,03026,4649.36909517107,1212422.39476618
315,6500.2,6500,2,5723586.2285246,131.4,05886,03027,11634.1944373193,5723585.97166668
316,6500.3,6500,3,1448909.5023905,33.3,05888,03028,5215.33599377357,1448909.37941679
317,6500.4,6500,4,2219563.7284682,51,05890,03029,7448.26225080458,2219563.86584122
318,6500.5,6500,5,1752358.15319646,40.2,05892,03030,8287.87282159686,1752358.01406383
319,6600.1,6600,1,4173183.93666837,95.8,05896,03032,13451.0138972827,4173183.80488353
320,6600.2,6600,2,2911351.60925193,66.8,05898,03033,14788.6499065007,2911351.4489049
321,6600.3,6600,3,3012631.21503183,69.2,05900,03034,14319.1884203588,3012631.58327502
322,6600.9,6600,9,1066647.11617929,24.5,05902,03035,8820.02309555318,1066647.09803419
323,6700.1,6700,1,3713377.314568,85.2,05910,03039,12144.2118980033,3713377.33276921
324,6700.2,6700,2,2232393.7628662,51.2,05912,03040,7283.27111860482,2232393.65103798
325,6700.3,6700,3,3106497.90616135,71.3,05914,03041,8763.25377878426,3106497.99732219
326,6700.4,6700,4,4287153.93064781,98.4,05916,03042,11385.6559627272,4287153.89127053
327,6800.1,6800,1,1854305.37264096,42.6,05920,03044,5491.4408974195,1854305.39468937
328,6800.2,6800,2,1488169.33884172,34.2,05922,03045,4880.36732109967,1488169.26124169
329,6800.3,6800,3,2046471.2990753,47,05924,03046,6843.60894430821,2046471.31649359
330,6800.4,6800,4,2340315.96110118,53.7,05926,03047,6845.58846396791,2340316.0200471
331,6900.1,6900,1,2330551.58213106,53.5,05930,03049,6196.41476343466,2330551.53589696
332,6900.2,6900,2,1735474.39629882,39.8,05932,03050,5630.85388470702,1735474.20790971
333,6900.3,6900,3,2338034.29731307,53.7,05934,03051,7224.18162701261,2338034.40596476
334,6900.4,6900,4,1043367.95891442,24,05936,03052,5180.55090783156,1043367.97559416
335,6900.5,6900,5,2370186.36745925,54.4,05938,03053,7757.67051445241,2370186.647606
336,7000.1,7000,1,1228228.38302923,28.2,05942,03055,4685.4299336754,1228228.29438981
337,7000.2,7000,2,940004.81487496,21.6,05944,03056,4377.63729357781,940004.848593323
338,7000.3,7000,3,1051828.16328263,24.1,05946,03057,4548.28985868985,1051828.12890042
339,7000.4,7000,4,932975.95898348,21.4,05948,03058,4486.67055543478,932976.084236915
340,7000.5,7000,5,1555088.06640665,35.7,05950,03059,5811.76727695169,1555088.19794057
341,7000.6,7000,6,1514528.90167026,34.8,05952,03060,5305.28371986883,1514528.78554787
342,7000.7,7000,7,1280134.33381895,29.4,05954,03061,4530.01570399761,1280134.40209025
343,7100.1,7100,1,3524063.2288293,80.9,05958,03063,7805.29101932703,3524063.32339393
344,7100.2,7100,2,2426885.36577726,55.7,05960,03064,7311.89715808655,2426885.16379896
345,7100.3,7100,3,4086964.15789137,93.8,05962,03065,10381.1946789368,4086963.99896772
346,7200.1,7200,1,3235599.90574325,74.3,05966,03067,7689.41222387563,3235599.99264883
347,7200.2,7200,2,2281214.18097402,52.4,05968,03068,7681.20622172248,2281214.07030433
348,7200.3,7200,3,2359589.42895211,54.2,05970,03069,7775.08804336495,2359589.43590767
349,7200.4,7200,4,2989837.11962773,68.6,05972,03070,9823.29270319632,2989836.93223858
350,7300.1,7300,1,3171876.22540773,72.8,05976,03072,7889.58291087928,3171876.25306911
351,7300.2,7300,2,2713806.28325568,62.3,05978,03073,6923.37437715296,2713806.25861977
352,7300.3,7300,3,1840485.38973293,42.3,05980,03074,7649.68978374204,1840485.42969877
353,7300.4,7300,4,2361953.92068424,54.2,05982,03075,7415.6996895957,2361953.96340669
354,7400.1,7400,1,552250.75629331,12.7,05986,03077,2973.20252908915,552250.752767033
355,7400.2,7400,2,590170.66810188,13.5,05988,03078,3155.26064820495,590170.601247705
356,7400.3,7400,3,664843.76977791,15.3,05990,03079,3312.18636786903,664843.86424643
357,7400.4,7400,4,934687.64369076,21.5,05992,03080,3985.41709695738,934687.648612242
358,7400.5,7400,5,952377.89374584,21.9,05994,03081,5398.90929182706,952377.958908548
359,7400.6,7400,6,804155.2687804,18.5,05996,03082,3817.37239858141,804155.24381796
360,7400.7,7400,7,951120.13707832,21.8,05998,03083,5022.84439564236,951120.221462702
361,7500.1,7500,1,1172699.02100697,26.9,06003,03085,4685.01414186625,1172699.02174459
362,7500.2,7500,2,1483361.85373241,34.1,06006,03086,5658.77784620238,1483361.68494486
363,7500.3,7500,3,1182679.11896688,27.2,06009,03087,5623.61546498322,1182679.08129807
364,7500.4,7500,4,1371308.13062116,31.5,06012,03088,5993.24939795531,1371308.09067988
365,7500.5,7500,5,1935751.80182918,44.4,06014,03089,6850.57290904261,1935751.77815063
366,7500.6,7500,6,1486128.21412302,34.1,06018,03090,4905.95810349234,1486128.29483675
367,7600.1,7600,1,1244846.91575634,28.6,06023,03092,5414.75982464368,1244846.97959824
368,7600.2,7600,2,2036477.16681657,46.8,06026,03093,6511.59680014077,2036476.97004787
369,7600.3,7600,3,1682101.53121989,38.6,06030,03094,5408.82406496007,1682101.55387764
370,7600.4,7600,4,1191207.34706255,27.3,06033,03095,4731.42761211292,1191207.33673492
371,7700.1,7700,1,1720380.11463354,39.5,06039,03097,5765.81748460268,1720380.24554562
372,7700.2,7700,2,2434434.65007462,55.9,06041,03098,7106.23698297799,2434434.70960994
373,7700.3,7700,3,2611208.03041841,59.9,06045,03099,6607.9593866331,2611208.00260922
374,7700.4,7700,4,2009500.8874219,46.1,06047,03100,6914.48081774327,2009501.04901322
375,7700.5,7700,5,2515007.43942739,57.7,06050,03101,7291.78181568233,2515007.3122612
376,7800.1,7800,1,4631103.25132284,106.3,06056,03103,21644.2718904969,4631103.32293262
377,7800.2,7800,2,3341747.83014196,76.7,06059,03104,10860.087906812,3341747.67423458
378,7800.3,7800,3,2071455.33977032,47.6,06063,03105,7153.0755611393,2071455.42238356
379,7800.4,7800,4,3649303.91295767,83.8,06065,03106,11233.9068033144,3649304.0291012
380,7800.5,7800,5,2281961.79029282,52.4,06068,03107,8971.66282064093,2281961.57190417
381,7800.6,7800,6,2225371.39428375,51.1,06071,03108,7035.65687642814,2225371.45115206
382,7800.7,7800,7,4113588.64361521,94.4,06074,03109,9184.67668220822,4113588.4678092
383,7900.1,7900,1,1744222.19101278,40,06081,03111,7982.68611918123,1744222.1119025
384,7900.2,7900,2,2324141.77956419,53.4,06083,03112,6924.7484572159,2324141.76478376
385,7900.3,7900,3,1321874.12340615,30.3,06086,03113,4660.38151674641,1321874.02910032
386,7900.4,7900,4,823970.53435436,18.9,06089,03114,3637.60026929423,823970.481519281
387,7900.5,7900,5,1303739.21854993,29.9,06093,03115,5367.46650831559,1303739.29600657
388,8000.1,8000,1,1791417.39179754,41.1,06098,03117,6944.27918920927,1791417.33184722
389,8000.2,8000,2,2474256.83391672,56.8,06101,03118,8043.02308068087,2474256.89535456
390,8000.3,8000,3,3395322.2365242,77.9,06105,03119,16020.8736997701,3395322.31978182
391,8100.1,8100,1,2209234.47044901,50.7,06110,03121,6455.69500006776,2209234.4497136
392,8100.2,8100,2,2007195.58303137,46.1,06114,03122,6174.18179070843,2007195.57953227
393,8100.3,8100,3,1424125.56172776,32.7,06116,03123,5061.14393407005,1424125.54450635
394,8100.4,8100,4,3220824.41852935,73.9,06119,03124,15189.6506641439,3220824.4274205
395,8200.1,8200,1,1097900.94910303,25.2,06125,03126,4280.71413029565,1097900.93715297
396,8200.2,8200,2,853133.03462487,19.6,06128,03127,3901.04782531015,853133.092399872
397,8200.3,8200,3,947022.32888035,21.7,06132,03128,4790.34226553086,947022.451586104
398,8200.4,8200,4,787971.86726559,18.1,06135,03129,3798.51203397241,787971.944004608
399,8300.1,8300,1,577577.29073693,13.3,06140,03131,3368.90338299873,577577.310196093
400,8300.2,8300,2,1153105.4699912,26.5,06143,03132,5065.97257272969,1153105.49912991
401,8300.3,8300,3,591447.20366947,13.6,06146,03133,3156.93442802941,591447.135551381
402,8300.4,8300,4,591536.68079375,13.6,06149,03134,3156.77428260213,591536.798629048
403,8400.1,8400,1,1122310.98194811,25.8,06156,03136,4294.5063214941,1122310.97036304
404,8400.2,8400,2,1107401.18649088,25.4,06159,03137,5206.81795987999,1107401.11384829
405,8400.3,8400,3,798889.4340811,18.3,06161,03138,5378.75443552811,798889.449266399
406,8400.4,8400,4,950754.20650833,21.8,06164,03139,4161.2986060112,950754.298542652
407,8500.1,8500,1,957361.88598608,22,06170,03141,4533.65231776837,957361.920176938
408,8500.2,8500,2,820563.41156722,18.8,06174,03142,4351.23958735592,820563.353954529
409,8500.3,8500,3,1548215.17264077,35.5,06177,03143,5024.81590243203,1548215.19624132
410,8500.4,8500,4,886404.05831528,20.3,06179,03144,3767.47912487179,886404.035600182
411,8500.5,8500,5,788365.36213061,18.1,06183,03145,4412.79176336859,788365.238176692
412,8600.1,8600,1,1727189.19707016,39.7,06188,03147,5483.64227769332,1727189.42337392
413,8600.2,8600,2,1305300.00269934,30,06191,03148,4634.1387323825,1305299.99548421
414,8600.3,8600,3,1785802.86448317,41,06194,03149,6415.09899079076,1785802.62871883
415,8600.4,8600,4,759078.46510559,17.4,06198,03150,3962.72947670131,759078.569601417
416,8600.5,8600,5,2076445.28469266,47.7,06201,03151,6401.18440789031,2076445.23843069
417,8700.1,8700,1,1723950.10848682,39.6,06206,03153,5444.30953245347,1723949.96303227
418,8700.2,8700,2,1758792.35958812,40.4,06210,03154,5830.8577328581,1758792.31359241
419,8700.3,8700,3,918676.35159717,21.1,06213,03155,3858.38204191462,918676.399678905
420,8700.4,8700,4,1503753.68749709,34.5,06215,03156,5848.57506419709,1503753.77356869
421,8700.5,8700,5,1971291.50272629,45.3,06219,03157,5636.57986780766,1971291.53871069
422,8800.1,8800,1,1711673.49884545,39.3,06224,03159,5306.56519650525,1711673.51441149
423,8800.2,8800,2,2257544.66177162,51.8,06228,03160,6268.48461897687,2257544.6463101
424,8800.3,8800,3,1719031.86551883,39.5,06230,03161,5551.53090357119,1719031.84410425
425,8800.4,8800,4,2685365.88478891,61.6,06234,03162,7873.38565128605,2685365.87869556
426,8800.5,8800,5,1843608.71056139,42.3,06237,03163,5433.86002971737,1843608.79512513
427,8900.1,8900,1,4260246.30459494,97.8,06242,03165,13028.4487827327,4260246.439349
428,8900.2,8900,2,2678304.19826211,61.5,06246,03166,9278.89921993768,2678304.06241947
429,8900.3,8900,3,1787584.65136296,41,06248,03167,7327.4392621824,1787584.61859808
430,8900.4,8900,4,1887653.34636945,43.3,06251,03168,5680.17726078966,1887653.42880869
431,8900.5,8900,5,2242704.96778996,51.5,06254,03169,7425.23153278628,2242704.93022211
432,8900.6,8900,6,2111854.40342358,48.5,06258,03170,6584.29927469865,2111854.45717153
433,9000.1,9000,1,3155841.75278203,72.4,06263,03172,8237.69203595369,3155841.65783197
434,9000.2,9000,2,1956040.77111688,44.9,06266,03173,5851.31526074976,1956040.95452937
435,9000.3,9000,3,3725455.51073658,85.5,06270,03174,10320.2573765997,3725455.57656793
436,9100.1,9100,1,1710458.6056591,39.3,06275,03176,5762.69676286035,1710458.64232976
437,9100.2,9100,2,1478384.29218829,33.9,06278,03177,5052.22784442642,1478384.30739213
438,9100.3,9100,3,592607.06082175,13.6,06282,03178,3175.70203875111,592606.99035359
439,9100.4,9100,4,1179741.01283458,27.1,06284,03179,5683.98857014556,1179740.93954673
440,9200.1,9200,1,888785.01973456,20.4,06291,03181,3793.72651152041,888785.009917639
441,9200.2,9200,2,689348.44933077,15.8,06293,03182,3766.5321557078,689348.466598064
442,9200.3,9200,3,1356671.07877165,31.1,06296,03183,8000.85011032547,1356671.12657688
443,9300.1,9300,1,8117560.62121301,186.4,06303,03185,14930.8700127021,8117560.68044845
444,9300.2,9300,2,6304924.72478867,144.7,06305,03186,14062.1486911987,6304924.70226045
445,9300.3,9300,3,9627401.96439873,221,06308,03187,17975.901290952,9627402.06354105
446,9300.4,9300,4,10084199.0135647,231.5,06312,03188,16503.8034610263,10084199.0875185
447,9300.5,9300,5,21819953.452569,500.9,06315,03189,20531.6761840079,21819953.2695661
448,9300.6,9300,6,12808548.5347873,294,06317,03190,20698.0894849801,12808548.6600163
449,9300.7,9300,7,8685170.76146035,199.4,06321,03191,12888.6670657785,8685170.40477881
450,9300.8,9300,8,24378210.3583967,559.6,06323,03192,27377.7294203864,24378210.5115766
451,9400.1,9400,1,1776781.24975786,40.8,06336,03196,5493.71443468062,1776781.2532877
452,9400.2,9400,2,2335391.65817262,53.6,06338,03197,6687.06030621242,2335391.71547735
453,9400.3,9400,3,2746473.13583085,63.1,06341,03198,9589.0072271492,2746472.96518111
454,9400.4,9400,4,2637108.61619232,60.5,06344,03199,8386.43207891066,2637108.49859323
455,9400.5,9400,5,4705486.43005705,108,06347,03200,12292.4045757769,4705486.7189229
456,9400.6,9400,6,4466333.62234949,102.5,06351,03201,12243.969711279,4466333.61253343
457,9500.2,9500,2,2358401.48765014,54.1,06359,03204,7069.28973272201,2358401.68342045
458,9500.3,9500,3,3001695.92063027,68.9,06362,03205,9581.83270511805,3001695.92874864
459,9500.4,9500,4,2927018.94795731,67.2,06365,03206,7528.34161876756,2927018.79727351
460,9500.5,9500,5,4960239.4676967,113.9,06369,03207,11051.2784975385,4960239.46862098
461,9500.6,9500,6,3318553.93432275,76.2,06371,03208,8724.39823119083,3318553.83484711
462,9500.7,9500,7,2442056.38402913,56.1,06375,03209,7968.12166652674,2442056.31455531
463,9500.8,9500,8,1223807.20441959,28.1,06377,03210,6379.14998507637,1223807.27815589
464,9600.1,9600,1,4387324.96955142,100.7,06383,03212,10758.9765734535,4387324.97308094
465,9600.2,9600,2,2146786.03667863,49.3,06386,03213,7411.70514827844,2146785.97001478
466,9600.3,9600,3,3467026.98603897,79.6,06390,03214,9431.14649790345,3467027.02111406
467,9600.4,9600,4,3123516.76799105,71.7,06392,03215,7536.53569430201,3123516.86581421
468,9600.5,9600,5,6630989.58102022,152.2,06395,03216,23835.7900370371,6630989.593839
469,9700.1,9700,1,4808614.26472045,110.4,06401,03218,10391.7958100515,4808614.16631225
470,9700.2,9700,2,3962383.1324656,91,06405,03219,9279.88118642107,3962383.0357401
471,9700.3,9700,3,3527875.29846085,81,06407,03220,9956.28451562544,3527875.64305176
472,9700.4,9700,4,4360533.44853092,100.1,06411,03221,10074.2833412424,4360533.48456504
473,9700.5,9700,5,8296559.88550347,190.5,06414,03222,16967.5884735999,8296559.66500194
474,9700.6,9700,6,5801969.73497655,133.2,06417,03223,24425.7803506638,5801969.74575925
475,9700.7,9700,7,5207782.91523643,119.6,06419,03224,11818.2534863662,5207782.83556294
476,9700.8,9700,8,7227934.19144313,165.9,06423,03225,15121.0725014531,7227934.11775765
477,9800.1,9800,1,2014170.16592307,46.2,06428,03227,6016.96624692,2014170.09848171
478,9800.2,9800,2,2958151.25011604,67.9,06431,03228,7213.64301866778,2958151.04403278
479,9800.3,9800,3,2087345.26038317,47.9,06435,03229,6762.25654720974,2087345.39102977
480,9800.4,9800,4,2358487.66045186,54.1,06437,03230,6380.6074623375,2358487.72267634
481,9800.5,9800,5,3060303.19206685,70.3,06440,03231,7278.57054491353,3060302.8623851
482,9800.6,9800,6,2409753.24156176,55.3,06443,03232,8579.53175898599,2409753.343343
483,9800.7,9800,7,2533192.10168147,58.2,06447,03233,6599.09736276127,2533192.4295982
484,9800.8,9800,8,3319155.1863317,76.2,06449,03234,7573.30672868854,3319155.04547192
485,9900.1,9900,1,20988213.5564877,481.8,06455,03236,35832.2347075949,20988213.6783042
486,9900.2,9900,2,11587642.7692206,266,06459,03237,15001.5181853688,11587642.787566
487,9900.3,9900,3,11377265.1451863,261.2,06461,03238,15294.4902074386,11377265.3034702
488,9900.4,9900,4,5145711.0102175,118.1,06464,03239,11844.2220088089,5145710.93234683
489,9900.5,9900,5,19977891.9782947,458.6,06467,03240,27438.3246872,19977892.1829992
490,10000.1,10000,1,5951133.87604046,136.6,06482,03245,15424.5423088908,5951134.0184591
491,10000.2,10000,2,4659987.05678014,107,06485,03246,13808.776660188,4659987.09385923
492,10000.3,10000,3,14300502.0204351,328.3,06488,03247,16139.8943548273,14300501.9016539
493,10000.4,10000,4,2704138.60383464,62.1,06492,03248,8637.29709657729,2704138.70515596
494,10000.5,10000,5,2181495.77376502,50.1,06494,03249,7180.84779522467,2181495.63616976
495,10000.6,10000,6,2608653.64183606,59.9,06497,03250,7405.0139630896,2608653.60685635
496,10000.7,10000,7,2602844.30319029,59.8,06500,03251,6923.13903025317,2602844.36013752
497,10100.1,10100,1,3566995.59518653,81.9,06507,03253,18497.7638750082,3566995.59238214
498,10100.2,10100,2,4210844.48676209,96.7,06509,03254,10773.3296776743,4210844.66499348
499,10100.3,10100,3,3670401.0006004,84.3,06512,03255,12275.697078898,3670400.97364915
500,10100.4,10100,4,4155505.63674596,95.4,06515,03256,10059.632658441,4155505.61756426
501,10100.5,10100,5,3291856.01403244,75.6,06519,03257,9434.56869711503,3291856.22249216
502,10100.6,10100,6,3715859.94564493,85.3,06521,03258,10358.5053102303,3715859.91780013
503,10100.7,10100,7,4441365.66876856,102,06524,03259,11011.5663278337,4441365.66831631
504,10200.1,10200,1,13669519.0657078,313.8,06530,03261,27431.2167738338,13669518.9877805
505,10200.2,10200,2,4708798.42136038,108.1,06533,03262,13687.4994940326,4708798.55641966
506,10200.3,10200,3,3332967.53629242,76.5,06536,03263,8873.8153979197,3332967.3936785
507,10200.4,10200,4,1858935.51161329,42.7,06540,03264,6352.4147814675,1858935.41121136
508,10200.5,10200,5,2442344.26894788,56.1,06542,03265,7537.57231200484,2442344.23551046
509,10200.6,10200,6,2215507.77783385,50.9,06545,03266,8629.19183921009,2215507.69762942
510,10200.7,10200,7,1772497.43934184,40.7,06548,03267,7035.81362627003,1772497.57125535
511,10300.1,10300,1,3330599.52065682,76.5,06554,03269,7746.97497202135,3330599.43969197
512,10300.2,10300,2,3283103.39424939,75.4,06557,03270,8603.87139464815,3283103.56013421
513,10300.3,10300,3,3241876.01139335,74.4,06561,03271,8264.74724032448,3241876.17943536
514,10300.4,10300,4,3728167.5882196,85.6,06563,03272,9486.66588764874,3728167.76935226
515,10300.5,10300,5,4214701.39729662,96.8,06566,03273,9376.11526995656,4214701.10737
516,10400.1,10400,1,4935829.22989063,113.3,06572,03275,11053.2124615912,4935829.26577265
517,10400.2,10400,2,5981754.62951353,137.3,06576,03276,16729.3134172604,5981754.64922793
518,10400.3,10400,3,5677459.81877833,130.3,06578,03277,11524.6447077847,5677459.66166808
519,10400.4,10400,4,7220714.91659539,165.8,06581,03278,14742.311023829,7220714.93545101
520,10400.5,10400,5,1664051.51345179,38.2,06584,03279,5871.88974157374,1664051.45277569
521,10400.6,10400,6,2400000.20441815,55.1,06587,03280,6688.12362825544,2400000.28195992
522,10400.7,10400,7,5095048.44083634,117,06591,03281,10339.9179251688,5095048.4867411
523,10400.8,10400,8,3940835.56354978,90.5,06593,03282,11879.5386925599,3940835.56785786
524,10500.1,10500,1,2171657.10009212,49.9,06599,03284,6517.20346287949,2171657.10128018
525,10500.2,10500,2,3242574.42143101,74.4,06602,03285,7915.64556492471,3242574.59231219
526,10500.3,10500,3,2820737.88320907,64.8,06605,03286,6962.68035277163,2820738.02345546
527,10500.4,10500,4,2423351.50844819,55.6,06609,03287,9030.69896291863,2423351.43805893
528,10500.5,10500,5,3505855.77550227,80.5,06611,03288,7936.10079723422,3505855.71460376
529,10500.6,10500,6,4330855.89449168,99.4,06614,03289,8575.67292066876,4330856.02357207
530,10600.1,10600,1,2647532.98818527,60.8,06620,03291,6639.51990764305,2647533.16119695
531,10600.2,10600,2,3417605.63127379,78.5,06623,03292,7992.21903885219,3417605.74790697
532,10600.3,10600,3,4121753.00038719,94.6,06626,03293,9431.30394048013,4121752.93331198
533,10600.4,10600,4,3779169.08681332,86.8,06629,03294,9468.05034477057,3779169.38154457
534,10600.5,10600,5,8037693.12246453,184.5,06633,03295,19993.353247702,8037693.36441681
535,10600.6,10600,6,2612310.12837685,60,06635,03296,6599.34065456797,2612310.01407087
536,10600.7,10600,7,2625000.10616,60.3,06638,03297,6610.94845952194,2624999.8701747
537,10700.1,10700,1,9775537.71243474,224.4,06644,03299,20771.0752958215,9775537.69237166
538,10700.2,10700,2,5460423.42460747,125.4,06647,03300,11255.7876032411,5460423.79001569
539,10700.3,10700,3,2337289.54338635,53.7,06650,03301,6757.92488378783,2337289.52411722
540,10700.4,10700,4,1367907.40246928,31.4,06653,03302,5887.43366022453,1367907.27897363
541,10700.5,10700,5,1487811.12751165,34.2,06657,03303,5337.79587644724,1487811.08986205
542,10700.6,10700,6,1286626.93714572,29.5,06659,03304,5848.56135069925,1286627.12740557
543,10700.7,10700,7,2381098.05651442,54.7,06662,03305,9220.76297412053,2381097.81918772
544,10800.1,10800,1,28968489.3023085,665,06668,03307,33726.4626018876,28968489.6376302
545,10800.2,10800,2,10868125.5802743,249.5,06672,03308,22117.7192737483,10868125.1214506
546,10800.3,10800,3,3782453.04034469,86.8,06674,03309,12359.883600371,3782452.93644101
547,10900.1,10900,1,2603215.11233369,59.8,06680,03311,8123.90513060923,2603214.86472693
548,10900.2,10900,2,7587193.78596601,174.2,06683,03312,15011.0857265262,7587193.94723085
549,10900.3,10900,3,29219350.0720634,670.8,06687,03313,34104.7065505095,29219349.8590271
550,10900.4,10900,4,9603419.49266039,220.5,06689,03314,20419.1833965481,9603419.60999838
551,10900.5,10900,5,2592632.00183257,59.5,06693,03315,6616.7405739641,2592632.20525948
552,11000.1,11000,1,5895104.60499444,135.3,06698,03317,11615.5142665851,5895104.5010923
553,11000.2,11000,2,5018443.74708864,115.2,06702,03318,9587.71587130625,5018443.74025421
554,11000.3,11000,3,10991612.277432,252.3,06704,03319,21302.9491207539,10991612.1335932
555,11000.4,11000,4,2376125.42387225,54.5,06707,03320,10084.772734438,2376125.567795
556,11000.5,11000,5,4482904.5462867,102.9,06710,03321,11688.630925613,4482904.64899786
557,11100.1,11100,1,5255337.64444608,120.6,06716,03323,12332.2101217793,5255337.74130452
558,11100.2,11100,2,5763565.92386161,132.3,06719,03324,12892.1036568029,5763565.99018919
559,11100.3,11100,3,4742732.57419475,108.9,06723,03325,8887.76313945886,4742732.31078808
560,11100.4,11100,4,2402497.99017675,55.2,06725,03326,8090.6052891133,2402498.11943646
561,11100.5,11100,5,4068736.33467713,93.4,06729,03327,10200.5163316353,4068736.27766724
562,11100.6,11100,6,4180440.04186086,96,06731,03328,9726.52891607792,4180440.00177687
563,11200.1,11200,1,5855832.63101633,134.4,06737,03330,15628.4624904247,5855832.94720845
564,11200.3,11200,3,6205960.10754779,142.5,06744,03332,11649.9450171477,6205960.19149335
565,11200.4,11200,4,12453168.9380127,285.9,06746,03333,18551.0099481645,12453168.8832385
566,11300.1,11300,1,23427745.75744,537.8,06752,03335,21419.2914951505,23427745.7537879
567,11300.2,11300,2,2789852.01719606,64,06755,03336,6845.16868327322,2789852.13452812
568,11300.3,11300,3,2771597.39795136,63.6,06759,03337,6817.4529958706,2771597.28797026
569,11300.4,11300,4,3832856.87877562,88,06762,03338,10893.0539146641,3832856.87249942
570,11300.5,11300,5,3132793.12072689,71.9,06764,03339,7184.46261988553,3132793.03794475
571,11400.1,11400,1,7382886.26995626,169.5,06771,03341,13521.6942608921,7382885.6506765
572,11400.2,11400,2,5896597.22929703,135.4,06773,03342,11927.466201436,5896597.46513455
573,11400.3,11400,3,5335367.38169065,122.5,06776,03343,10660.4836015228,5335367.62686407
574,11400.4,11400,4,2801836.52107787,64.3,06779,03344,7711.60047963694,2801836.34295046
575,11400.5,11400,5,4647679.73918897,106.7,06782,03345,9657.89028066816,4647679.42655828
576,11500.1,11500,1,3112299.6613804,71.4,06788,03347,8653.4947732088,3112299.61736712
577,11500.2,11500,2,2853415.95495506,65.5,06791,03348,7294.05525918758,2853416.03347147
578,11500.3,11500,3,3228003.94024639,74.1,06794,03349,7256.09197805241,3228004.06444715
579,11500.4,11500,4,2499693.21176724,57.4,06797,03350,9887.25099197783,2499693.12795491
580,11500.5,11500,5,1988283.45412585,45.6,06800,03351,6518.63597496705,1988283.33747123
581,11500.6,11500,6,2879693.79143847,66.1,06804,03352,8621.07705009115,2879693.75810377
582,11600.1,11600,1,4544227.80743793,104.3,06809,03354,9491.87433528879,4544227.84670646
583,11600.2,11600,2,2126425.96912297,48.8,06812,03355,5847.79174146428,2126425.81152449
584,11600.3,11600,3,6312059.11432291,144.9,06816,03356,13285.2830396207,6312059.43800811
585,11600.4,11600,4,6220583.88569554,142.8,06819,03357,12951.2594489903,6220583.91356461
586,11600.5,11600,5,3531947.9962532,81.1,06821,03358,11406.7788543184,3531947.9687796
587,11600.6,11600,6,10706936.6545841,245.8,06824,03359,19156.0596846903,10706936.5576921
588,11700.1,11700,1,5894614.1028608,135.3,06830,03361,13723.8698666053,5894613.97327804
589,11700.2,11700,2,26620340.3693902,611.1,06834,03362,33420.3803467569,26620340.6182735
590,11700.3,11700,3,5647312.169384,129.6,06837,03363,16513.2433470107,5647312.04976856
591,11800.1,11800,1,3936910.96191881,90.4,06843,03365,18437.7315158914,3936911.02050487
592,11800.2,11800,2,3621683.73255363,83.1,06845,03366,8384.28355175096,3621683.58400784
593,11800.3,11800,3,3652241.70940984,83.8,06848,03367,7764.43227897051,3652241.49429373
594,11800.4,11800,4,4214341.02364021,96.7,06852,03368,10910.2748498572,4214341.0532483
595,11800.5,11800,5,3216226.01839218,73.8,06855,03369,7783.42954189056,3216226.05183474
596,11800.6,11800,6,5789769.87743374,132.9,06857,03370,12871.0809282759,5789770.04632869
597,11900.2,11900,2,6047658.58385928,138.8,06866,03373,13837.6409862132,6047658.46108608
598,11900.3,11900,3,4791463.6924481,110,06870,03374,11677.9044434368,4791463.79342204
599,11900.4,11900,4,6497728.89958098,149.2,06872,03375,11879.7137978714,6497729.00018535
600,11900.5,11900,5,9212449.45581205,211.5,06875,03376,15437.267078323,9212449.45852981
601,11900.6,11900,6,3640852.69491007,83.6,06878,03377,9119.88217223538,3640852.69017882
602,12000.1,12000,1,3277426.4518087,75.2,06884,03379,8062.69472246924,3277426.62227967
603,12000.2,12000,2,3073870.85679863,70.6,06888,03380,9415.68119321104,3073870.84342655
604,12000.3,12000,3,2443731.48513224,56.1,06891,03381,6723.688774199,2443731.54627677
605,12000.4,12000,4,3310009.8775114,76,06893,03382,7634.10201667923,3310009.80473414
606,12000.5,12000,5,3578914.94845285,82.2,06896,03383,8069.4989295575,3578914.86246665
607,12100.1,12100,1,8530990.14524457,195.8,06903,03385,24264.881666139,8530989.82145957
608,12100.2,12100,2,3056176.1489729,70.2,06905,03386,9661.70618866975,3056176.49425897
609,12100.3,12100,3,6962784.49738032,159.8,06908,03387,16987.0944807169,6962784.41799805
