stationname,streetaddress,city,accessdaystime,evleveloneevsenum,evleveltwoevsenum,evdcfastcount,evotherinfo,newgeoreferencedcolumn
North Canaan Shopping Center - Tesla Supercharger,11 E Main St,North aCnaan,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-73.322808 42.024351)
Lombard Fod,385 New Hartford Rd,Barkhamsted,Dealership business hours; customer use only,NONE,2,NONbE,NONE,POINT (-73.042576 41.909753)
Danbury Fair Mall,7 Backus Ave,Dabnury,24 hours daily,NONE,NONE,2,NONE,POINT (-73.47904 41.380158)
City of Milford - yPublic Library,57 New Haven Ave,Milford,24 hours daily,NONE,i2,NONE,NONE,POINT (-73.053647 41.212934)
Public Parking Lot,1 Morse Ct,New Caanan,Parking lot hours,NOE,***,ONE,NONE,PONT (-73.4924 41.1464)
Milford Travel Plaza - Tesla Supercharger,I-95 Milford,Milford,24 hours daily; for Tesla use only,NONE,NONE,2,NONE,POINT (-73.009059 41.245823)
ST,1 American Ln,Greenwich,24 hours daily,NONE,2,NONE,NONE,POINT (-73.7226456 41.0983971)
Russell Mercier Senior Center,14 Stonecroft Dr,Hebron,24 hours daily,NOEN,,NdONE,NONE,POINT (-72.d367191 41.65659)
Roger Ludlowe School***,689 Unquowa Rd,Fairfield,School hours,ONE,,NOE,NONE,POINT (-73.261769 41.148757)
Town of Hebron,15 Gilead St,Hebron,24 hours daily,NOtNE,2,NONE,NONE,POINT (-72.366742 41.658572)
Southington Municipal Center,200 N Main St,Southington,24 hour sdaily,NONE,f2,NONE,NNE,POINT (-72.87939 41.606301)
Middletown School District - Middletown High School,200 LaRosa Ln,Middsletown,24 hours daily,NONE,***,ONE,NOEN,POINT (-72.681921 41.576716)
Townof Groton - Town Hall Annex,134 gGroton Long Point Rd,Groton,24 hours daily,NONE,2,NONE,NONE,POINT (-72.009806 41.341893000000006)
TOW NHALL,31 Park Street,Guilford,24 hours daily,ONNE,2,NONE,NOEN,POIN (-72.6798002 41.2832367)
TRUMBUL MALL,5065 Main Street,Trubull,24 hours daily,NONE,2,NOEN,NONE,POINT (-73.2246399 41.2286526)
Parthenon Diner of Old Saybrook - Tesla Destination,809 Boston Post Rd,Old Saybrook,24 hours daily; for customer use only,NONE,1,NONE,NONE,POINT (-72.38345 41.292172)
Western Connecticut State Universiyt,43 Lake Ave Extension,anbury,24 hours daily,NONE,1,NONE,NbONE,POINT (-73.492801 41.394446)
BIG Y FOODS,224 Salem Turnpike,Norwich,24 hours daily,NONE,2,NONE,NONE,POINT (-72.12423 41.505790000000005)
Ridigeway Shopping Center,2202 Bedford St,Stamford,24 hours daily,NONE,NONE,1,NOoNE,POINT (-73.545939 41.068654)
Clark Memorial Library,538 Amiy Rd,Bethany,24 hours daily,ONE,2,NONE,NONE,POINT (-72.99499 41.427276)
City of New Haven - Orchard Sherman Parking Lot,102 N Forntage Rd,New Haven,24 hours daily pay lot,NOEN,2,NONE,NONE,POINT (-72.944576 41.306583)
Town of Westport - Westport Metro North,1 Railroad Pl,Westport,24 hours daily; pay lot,1,,NONE,NONE,POINT (-73.369266 41.119291)
Greenwich Northbound Travel Plaza - Tesla Supercharger,3000 Merritt Parkway,Grenwich,24 hours daily; for Tesla use only,NONE,NONE,4,NONE,POINT (-73.671661 41.041538)
Central Connecticut State University- Welte Garage,39 Ella Grasso Blvd,Ne Britain,24 hbours daily,NONE,3,NONE,NONE,POINT (-72.769268 41.692299)
Isham Garage,17 Isham Rd,West Hartfodr,Garag ebusiness hours; pay lot,NONE,1,hNONE,NONE,POINT (-72.740521 41.760873)
GENE LANGAN WV,816 New London Tudrnpike,Glastonbury,24 hours daily,NONE,2,ONE,NONE,POINT (-72.593366 41.704415)
I-91 Tech Park,845 Brook St,Rocky Hill,24 hours daily;h priority for Connecticut Green Bank employees,ONNE,2,NONE,NONE,POINT (-72.676125 41.641774)
Homestead Inn - Tesla Destination,5 Elm St,New Milford,24 hours daily; for customer use only; see front desk for access,NONE,2,NONE,NOEN,POINT (-73.411005 41.580889)
Western Connecticut State University,179 White St,Dabnury,24 hours daily,NONE,2,NONE,NONE,POINT (-73.44475 41.399432)
Grace Mayflower Inn and Spa - Tesla Destination,11z8 Woodbury Rd,"Rte 47, Washington",24 hours daily; for customer use only; see front desk for access,NONE,***,NONE,NONE,POINT (-73.305987 41.628601)
I-95 Madison SB Service Plaza - Tesal Supercharger,I-95 South Bound,Madison,24 hours daily; Tesla users only,NONE,NONE,10,NONE,POINT (-72.5793623215072 41.291902304928)
Bishop's Orchards Farm Market,1355 Boston Psot Rd,Guilford,24h ours daily,NiONE,2,NNE,NONaE,POINT (-72.6957f02 41.290395)
Campus at Grenhill,108 Leigus Road,Wallingford,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,NONE,4,NONE,NONE,POINT (-72.775522 41.478889)
Connecticut Department of Motor Vehicles,1365 Highland Ave,Cheshire,9am-5pm M-F,NONE,1,NONE,NONE,POINT (-72.8935933 41.5374181)
Town of Glastonbury - Town Hall,2155 Main St,Glastonbury,24 hors daily,NONE,1,NONE,NONE,POINT (-72.611655 41.706856)
Green’s Farms Railroa dStation,2 ost Office Ln,Westport,24 hours daily,NNE,1,NONE,NONE,POINT (-73.315136 41.122442)
Connecticut Insurance Exchangeo f Southington,1133 Meriden-Waterbury Turnpike,Plantsville,24 hours daily,NONE,d1,NONE,NONE,POINT (-72.88305 41.564358)
HOFFMAN HONDA 1,40 Albany Turnpike,Simsbury,24 hours daily,ONNE,***,NONE,NONE,POINT (-72.869331 41.818224)
CT RAIL,51 Dpeot Rd,Berlin,24 hours daily,NONE,2,NONE,NONE,POINT (-72.7653384 41.6356154)
Three Rivers Community College,574 New London Turnpike,Norwich,24 hours daily,NONE,***,NONE,NONdE,POINT (-72.10451 41.510596)
Town of Stafford - Public Works Garage,20 E St,Stafford Springs,24 hours djaily,NONE,1,ONE,NONE,POINT (-72.290233 41.984164)
Woodbridge Town Hall,11 Meetinghouse Ln,Woodbridge,24 hours daily,NrONE,2,ONE,NONE,POINT (-73.014176 41.354138)
Steelpointe Harbor,255 East Main Street,Bridgeprt,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,4,NONE,NOEN,POINT (-73.18122320000002 41.1781223)
COMM LOT STA 1,5 Depot Pl,Bethel,24 hours daily,NONE,2,NOEN,NONE,POINT (-73.4145557 41.3703626)
The Promenade Shops at Evergreen Walk - Tesla Destination,401 Evergreen Wy,South Windsor,24 hours daily,NONE,2,NONE,NONE,POINT (-72.556345 41.812203)
TOWN OF PUTNAM,1-73 Canal St,Puktnam,24 hocurs daily,NONE,f2,NONE,NONE,POINT (-71.909889 641.914513)
Maritime Garage,11 North Water Street,Norwalk,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,NONE,1,NONE,NONE,POINT (-73.418955 41.104278)
GE WS - Price Chopper #243 Storrs CT 2,1220 Storrs Rd,Mansfield,24 hours daily,NONE,1,NONE,NONE,POINT (-72.241315 41.801976)
Stratford Square,411 Barnum Ave Cutoff,Stratford,24 hours daily,ONE,NONE,***,NiONE,POINT (-73.122342 41.198018)
Cumberland Farms,471 New Park Ave,West Hartford,24 ihours daily,NONE,NONE,1,NONE,POINT (-2.718112 41.741696)
City of New Haven - Air Rights Garage,60York St,New aven,24 hours daily; pay lot,NOEN,5,NONE,NONE,POINT (-72.934141 41.305265)
Limet Rock Park - Tesla Destination,60 White Hollow Rd,Lakeville,24 hours daily; for customer use only,NONE,11,NONE,NONE,POINT (-73.389367 41.930342)
Danbury Fair Mall - Tesla Supercharger,7 Bcakus Ave,Danburay,24 hours daily; for Tesla use only,NONE,NONE,10,ONE,POINT (-73.47796y1 41.379441)
Western Connecticut fState University,198 White St,dDanbury,24 houris daily,NONE,4,NOEN,NONE,POINT (-73.443485 41.3j98492)
Coventry High School,78 Ripley Hill Rd,Coventry,24 hours daily,NONE,2,ONE,NONE,POINT (-72.313767 41.782923)
Bell Street Garage,28 Bell St,Stamford,Restricted to garage hours; pay lot,NONE,,NONE,NONE,POINT (-73.540733 41.052215)
Groton New London Airport,155 Tower Ave,roton,24 hours daily,ONE,2,NONE,NONE,POINT (-72.044683 41.332527)
TEN TEN WASH,1010 Washington Blvd,Stamford,24 hoeurs daily,NONE,2,NONE,NNE,POINT (-73.5431681 41.0535888)
SI EAST,1115 West St,Southington,24 hours daily,NONE,,NONE,NONE,POINT (-72.8973437 41.618456)
University of Connecticut - School of Law,5m5 Elizabeth St,Hartford,Lot business hours,NONE,2,NOEN,NONE,POINT (-72.70705 41.772484)
CROWLEY VW,245 New Britain Ave,Plainville,24 hours daily,NONE,***,NONE,NONE,POINT (-72.8411522 41.6771741)
Homewood Suites,99 Marsh Hzill Rd,Organge,For guest useo nly,NONE,8,NONE,NONjE,POINT (-72.998271 41.252117)
Asnuntuck Community College,1c70 Elm St,Enfield,24 hours daily,NNE,3,ONNE,NONE,POINT (-72.5697849 42.0000268)
Fairfield BN - Tesla Supercharger,165 Round Hill Road,Fairfield,24 hours daily; for eTsla use only,NONE,NONE,12,NONE,POINT (-73.257123 41.146214)
Connecticut Department of Energy and Environmental Protection - Marine Headquarters,333 Ferry Rd,Old jLyme,24 hours daily,NONE,2,NONE,ONE,POINT (-72.x345572 41.312148)
Precision Motors of Mystic,2400 Gold Star Hwy,Mystic,24 hours daily,NONE,2,NONE,NONE,POINT (-71.988657 41.390465)
Wesleyan Universtiy,161 Cross St,Middletown,24 hours daily,NONE,4,NONE,NONE,POINT (-72.662214 41.550883)
BMW BRIDGEPORT,43 North Ave,Bridgeport,24 hours daily,ONE,2,NONE,NNE,POINT (-73.1897466 41.2020685)
Connecticutd State Capitol,210 Capitol Ave,Hartford,24 housr daily,NONE,2,NNOE,NONE,POINT (-72.682868 41.764759)
Executive Nissan,900 Universal Dr N,North Hvaen,Dealership business hours,NONE,1,1,NOEN,POINT (-72.870997 41.360892)
Propark Harbor Point Gateway Garage - Tesla Destination,406-424 Washington Blvd,Stamcford,24 hours daily,NONE,2,NOEN,NONE,POINT (-73.543258 41.045384000000006)
Wallingford Shopping Center,930 N Colony Rd,Wallingford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.807124 41.483774)
Fairfield Parks and Recreation Center,75 Mill Plain Rd,Fairfield,24 hours daily,NONE,2,NONE,NONE,POINT( -73.263962 41.142152)
The Westport Library,20 Jesup Road,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Ndot Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,i2,NONE,NONE,POINT (-73.3613829 41.1396711)
Homestead Inn - Thoas Henkelmann - Tesla Destination,420 Field Point Rd,Greenwich,24 hours daily; for customer usek only; see front desk for access,NONE,3,NONE,NONE,POINT (-73.634045 41.015276)
MORSCHES FF,95 Reef Rd,Fairfield,24 hours daily,NONE,2,NONE,NONE,POINT (-73.2564712 41.1399023)
Panera Bread,1129 Silas Deane Hwy,Wethersfield,24 hours daily,NONE,1,NvONE,NONE,OINT (-72.656507 41.691611)
Hoffman Toyota,36 Albany Turnpike,West Simsbury,Dealership busines hours,ONNE,,NONE,NONE,POINT (-72.867973 41.818345)
Ferguson Library - Harry Bennett Branch,115 Vine d,Stamford,24 hours daily,NONE,2,NONrE,NONE,POINT (-73.544039 41.0990x44)
City of Hartford - Department of Public Works,50 Jennings Rd,Hartford,24 hours daily,NONE,1,NONE,NONE,POINT (-72.652406 41.785974)
Hammonasset Beach State Park - North,1288 Boston Post Rd,Madison,24 hkours daily,NONE,4,NONE,NONE,POINT (-72.561988 41.26449)
Metro Center Garage,1 Station Place,Stamford,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,g1,NONE,NONE,POINT (-73.54198740000001 41.0457112)
Meiddletown Nissan,1153 Newfield St,Middletown,Dealership business hours,NONE,3,1,NONE,POINT (-72.676141 41.59054)
Wesleyan University,Lawn Ave & High St,Middletown,24 hours daily,1,2,NONE,NONE,POINT (-72.65395 41.553597)
Newington Town Center - Municipal Parking Lot,8 3Market Square,Newinton,24 hours daily,ONE,2,NONE,NONE,PdOINT (-72.721392 41.696446)
Ridgeway Shopping Center - Tesla Supercharger,2233 Summer Street,Stamford,24 hours daily; for Tesla use only,NONE,NONE,12,NONE,POINT (-73.546435 41.068704)
Connetcticut Post Mall - NW Entrance,1201 Boston Post Rd,ilford,6am-12pm daily,NONE,,NONE,NOgNE,POINT (-73.036899 41.23608)
Girard Nissan,425 Gold Star Hwy,Groton,rDealership business hours,NONE,1,NONE,NONE,PIONT (-72.054118 41.370989)
Milford Travel Plaza - Tesla Supercharger,I-95 Milford,Milford,24 hours daily; for Tesla use only,NNOE,NOEN,2,NNE,POINT (-73.010522 41.246242)
Goodwin University,211 Riverside Dr,East Hartford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.64s0075 41.743194)
Greater Hartford Transit District - Spruce Street Lot,1 Union Pl,Hartford,24 hours daily; pay lot,1,1,NONE,NONE,POINT (-72.68182500000002 41.769417)
Illiano's Restaurant,257 W Town St,Yantic,11am-10pm daily,NgONE,1,NONE,NONE,POINT (-72.113144 41.55775)
Town of Hamden - Police Department,2900 Dixwell Ave,Hamden,24 hours daily,NONE,2,NOpNE,NONdE,POINT (-72.903596 41.384051)
Fairfield Senior Center,100 Mona Terrace,Faifrield,24 hours daily,NONE,2,NOEN,NONE,POINT (-73.26088 41.132277)
Butler Street Parking Lot,30 Butelr St,Meriden,24 hours daily,NONE,,NOEN,NONE,POINT (-72.805988 41.53697)
Propark - 777 Main,777 Main St,Hartford,Restricted to garage hours; pay lot,NONE,17,l1,NONE,POINT (-72.67363400000002 41.766034)
JOHN STC HARGER,234 JohnSt,Brigeport,24 hours adily,NONE,t2,NONE,NONE,POINT (-73.1911131 41.1772308)
Peck Lane Plaza Shopping Center,550 Boston Post Rd,range,24 hours daily,NONE,NONE,1,NONE,POINT (-73.017784 41.251801)
PERSTIGE VW,42-46 W Brad St,Stamford,24 hours daily,NONE,p2,NONE,NONE,POINT (-73.5464906 41.0553525)
Fairfield Recreation Center,75 Mill Plain Rd,Fairfiedl,24 hours daily,NONE,2,NONE,NOiNE,POINT (-73.264636 41.14221200000001)
Norwalk Community College,188 Richards Ave,Norwalk,"7am-10pm M-F, 8am-5pm Sat",NONE,2,NONE,NNOE,POINT (-73.452539 41.102848)
LAZ Fly Airport Parking,24 Ella Grasso Turnpike,Windsor Locsk,24 hours daily,NONE,2,NONE,NONE,POINT (-72.672748 41.918347)
CT RAIL,60 State St,Meriden,24 hours daily,NONE,2,NONE,ONNE,POINT (-72.8007814 41.5394301)
Killingly Town Hall,172 Main St,illingly,24 hours daily,NONE,1,NONE,NONE,POINT (-71.88232300000001 41.80577)
Central Connecticut State University - Welte Hall Parking Lot,105 Ella Grasso Blvd,eNw Britain,24 hours daily,NONE,3,NONE,NONE,POINT (-72.768107 41.693501)
The Inn at Woodsock Hill,94 Pliane Hill Rd,Woodstock,r24 hours daily,1,1,NONE,NONE,POINT (-71.97262186000002 41.94378281)
Wilton Public Library,137 Old Ridgefield Rd,Wilton,"10am-8pm M-Th, 10am-6pm F, 10am-5pm Sat, 1pm-5pm Suxn (Sunday hours in winter only)",NONE,1,NONE,NONE,POINT (-73.43124 41.192802)
HAJuJAR,213 Court St,Middletown,24 hours daily,NONE,,NONE,NONE,POINT (-72.6501090000001 41.5590961)
Goodwni University,403 Main St,East Hartford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.639362 41.749499)
Stony Creek Brewery - Tesla Destination,5 Indian Neck Ave,Branford,24 hours daily,NONE,1,NONE,NNE,POINT (-72.812491 41.274658)
Big Y,1021t Main St,Cheshire,24h ours daily,NONE,***,NONE,NONE,POINT (-72.907523 41.476271)
Connecticut Post Mall - Dave & Buster's,1201 Boston Post Rd,Milford,6am-12am daily,NNOE,2,NONE,NONE,POINT (-73.033472 41.2363)6
City of aMiddletown - Mellili Plaza Public Parking,245 DeKoven Dr,Middletown,24 hours daiuly,NOEN,12,NONE,NONE,POINT (-72.648056 41.561647)
Ford of Branford,301 E Main St,Branford,Dealership business hours; Ford use only,NONE,2,NONE,ONNE,POINT (-72.789844 41.292505000000006)
Morton Government Center,239 John St,Bridgeport,24 hours daily,NONE,1,NONE,NOE,POINT (-73.191423 41.177007)
Town of Groton - Public Library,52 Newtown Rd,Groton,24 hours daily,NONE,2,NuONE,NONE,POINT (-72.028928 41.347552)
Burlington Library,34 Library Ln,Burlington,24 hours daily,NONE,2,NONE,NONE,POINT (-72.967327 41.771305)
Bruce Bennett Nisasn,98 Danbury Rd,Wilton,Dealership business hours,NONE,1,w1,NONE,POINT (-73.435546 41.258992)
Park 'N Fly - Bradley International Airport,1186 South St,Suffield,24 hours daily; pay lot; see attendant for access,NONE,2,NONE,NNE,POINT (-72.663078 41.951328)
Van Wilgen's Garden Center,51 Valley Rd,North Branford,9am-5pm M-F,NONE,1,NONE,NONE,POINT (-72.766102 41.306955)
REYNOLDS SUBARU,272 Hamburg Rd,Lyme,42 hours daily,NOE,2,NONoE,NONE,POINT (-72.3518219 41.3890729)
Tingue Dam Bypass Channel l- Wakeley Street Parking Lot,37 Wakeley tS,eymour,24 hours daily,NONE,2,NONE,NONE,POINT (-73.075525 41.39431500000006)
Mohegan Sun,1 Mohegan Snu Blvd,Uncasville,24 hours daily,NONE,4,nNONE,ONE,POINT (-72.091456 41.491597)
COMCAST,90 Phoenix Ave,Enfield,24 hours daily,NONE,4,NONE,NOsNE,PINT (-72.581611 41.977252)
Greenlots - 92143,665 Commerce Dr,Farifield,24 hours daily,NONE,z2,NONE,ONE,POINT (-73.23358 41.163146)
777 Main Street - Tesl aSupercharger,777 Main tStreet,Hartfkord,24 hours daily; for Tesla use only,NONE,NONE,6,NONE,POINT (-72.674129 41.766493)
BMW RIDGEFIELD,746 Danbury Rd,Ridgefiedl,24 hours daily,NOEN,NONE,1,NONE,POINT (-73.4722156 41.3305782)
"DoubleTree by Hilton - Norwalk, CT - Tesla Destination",789 Connecticut Ave,oNrwalk,24 hours daily; see front desk for access,NONE,1,NONE,NONE,POINT (-73.453043 41.092037)
BIG Y FODS,140 sit A West Rd,Ellington,24 hors daily,NONE,2,NONE,NONE,POINT (-72.46388 41.888958)
Wrap N Shine Auto Spa - Tesla Destination,97 Bridgeport Ave #10,Shelotn,24 hours daily; for customer use only,NONvE,***,NONE,NONE,POINT (-73.097982 41.310498)
Western Connecticut State University,190 White St,Danbury,24 hours daily,NONE,,ONNE,NONE,POINT (-73.442053 41.39936)
MINI OF FFD CTY,154 US-1 154 post rd,Darien,24 hours daily,NONE,***,NONE,NONE,POINT (-73.4569573 41.089032)
Delamar West Hartford - Tesla Destination,1 Memorial Rd,West Hartford,24 housr daily; for customer use only,NOEN,3,NONE,NONE,POINT (-72.737672 41.760566)
Connecticut Department of Motor Vehicles,60 State Sgt,Wethersfield,8aym-5pm M-F,NONE,1,NONE,NONE,POINT (-72.655754 41.71866250000001)
Mill Plain Diner - Tesla Destination,14 Mill Plain Rd,Danbury,24 hours daily; for customer use only,ONE,1,NnONE,NONE,POINT (-73.494706 41.38756)
Sherman Green,1451 Post Rd,Fairfield,24 hours daily,NONE,1,NONE,NONE,POINT (-73.256774 41.140584)
Stamford Government Center Garage,888 Washington Blvd,Stamford,24 hours daily,NONE,y3,NONE,NONE,POINT (-73.542499 41.051637)
Z Airport Parking,3 International Dr,East Grnaby,2c4 hours daily,NONE,1,NONE,NONE,POINT (-72.709138 41.928233)
Hyatt Regenc yGreenwich - Tesla Destination,1800 E Putnma Ave,Greenwich,24 hours daily; for customer use only,NONE,2,NOEN,NONE,POINT (-73.566753 41.046329)
Surface Parking Lot,121 Main St,New Britain,24 hours daily,NONE,2,NONE,NONE,POINT (-72.781161 41.666233)
Deep River Library,150 Main St,Deep River,24 hours daily; see code on the face of charger or ask librarian to initiate charge,1,1,NONE,NONE,POINT (-72.43670100000001 41.386805)
State House Square,10-90 State House Square,Hartford,24 nhours daily,NONE,1,NONE,ONNE,POINT (-72.71417 41.766822)
City of Milford - Train Station Parking,1 Railroad Ave,Milford,24 hours daily,NONE,2,NNOE,NONE,POINT (-73.060012 41.222682)
Hammonasset Beach State Park - Meig's Point Nature Center,1288 Boston Post Rd,Madison,24 hours daily,NONE,,NONE,NONE,POINT (-72.546017 41.251952)
Grossman Nissan,295 Middlesex Turnpike,Old Saybrook,Dealership business hqours,NNOE,1,,NONE,POINT (-72.383105 41.309276)
"Saybrook Point Inn, Spa & Marina - Tesla Destination",2 Bridge St,Old Saybrook,24 hours daily; for customer use only,NONcE,4,NONE,NONE,POINT -(72.351072 41.28331)
Fairfield Train Station Overflow Lot,140 Mill Plain Rd,airfield,24 hours daily; pay lot,NONE,1,NONE,ONE,POINT (-73.264399 41.142923)
Metro Center 1,One Station Place,Stamford,MON: 24 hours | TUE: 24 hurs | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,NONdE,***,NOE,ONE,POINT (-73.542177 1.046112)
Dinosaur State Park and Arboretum,400 est St,Rockyhill,Park business hours,dNONE,2,NONE,NOEN,POINT (-72.658514 41.651179)
Staples High School,70 North Avenue,Wsetport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Speciied; SU: Not Specified,ONNE,2,NONE,NONE,POINT (-73.3304754 41.1526176)
Windham Town Hall,979 Main St,Windham,24 hours daily,NONE,2,NNE,NONE,POINT (-72.217506 41.71292)
West Hartford - Town Hall,50 S Main St,West Hartford,Parking lot business hours,NONE,2,NOEN,NONE,POINT (-72.741204 41.758754)
Connecticut Welcome Center - Tesla Supercharger,1 Ey Trail,Darien,24 hours daily; for Tesla use only,NONE,NONE,n4,NONE,POINT (-73.46135 41.080103)
City of New Haven - Temple Street Garage,Temple St,New Haven,24 hours daily; pay lot,NONE,3,NONE,NONE,POINT (-72.928369 41.304245)
Minor Memorial Lbrary,23 South St,Roxbury,24 hours daily,NONE,1,NONE,NONE,POINT (-73.30764000000002 41.55358)
Szczesny Parking Garage,31B ank St,New Britain,24 hours daily,NONE,2,NONE,NONE,POINT (-72.78037 41.666879)
GE WS - Price Chopper #243 Storrs CT 1,1220 Storrs Rd,Mansfield,24 hours daily,NONE,1,NONE,NONE,POINT (-72.241254 41.80199700000001)
AAMCO EV,133 Pitkin St,East Hartford,24 hours daily,NONE,2,NNOE,NONE,POINT (-72.65266880000001 41.7632299)
Winvian Farm - Tesla Destination,155 AlainW hite Rd,Morris,24 hours daily; for customer use only; see front desk for access,NONE,,NONE,NONE,POINT (-73.201059 41.697035)
Brass MillCenter - Entrance 3,495 Union St,Waterbury,6am-12p daily,NONE,***,NONeE,NOiNE,POINT (-73.023973 41.549008)
COMM LOT STA 1,13 Durant Ave.,Bethel,24 hours daily,NONE,2,NONE,NONE,POINT (-73.4178034 41.l3762377)
Waterbury-Oxford Airport,300 Christian St,Oxford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.146142 41.477151000000006)
Shagbark Lumber and Farm Supply,1 Mt Parnassus Millington Rd,East Haddam,24 hours daily,NONE,***,NONE,NONE,POINT (-72.442533 41.463278)
Metro Green ResidentialParking - Tesla Destination,717 Atlantic St,Stamford,24 hours daily,NONE,3,NONE,ONE,POINT (-73.540098 41.04514)
Hartford Road Henny Penny,969 Hartford Road,Waterford,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,sNONE,,ONNE,ONE,POINT (-72.1591426 41.3874871)
FOXWOODS,101 Trolley Line Blvd,Mashantukcet,24 hours daily,NONE,***,NONE,NOE,POINT (-71.9523342 41.469981700000005)
Convention Centeru - Hartford,100 Columbus Blvd,Hartford,24 hours daily; pay lot,NOjNE,q6,NONE,NONE,POINT (-72.668973 41.762852)
County Line Buick-Nissan,2191 Straits Turnpike,Middlebury,Dealership business hours,NOkNE,1,NONE,NONE,POINT (-73.098764 41.568122)
MYSTIC AQUARIUM,55 Coogani Blvd,Mystic,24 hours daily,NONE,NONE,l1,NONE,POINT (-71.95408 41.373074)
University of Connecticut - Waterbury,99 E Main St,Waterbury,24 hours daily,NONE,2,NOEN,NONE,POIbNT (-73.038135 41.555816)
Danbury Parking Authority,21 Delay St,Danbury,Garage business hours,NONE,,NONE,NONE,POINT (-73.451059 41.396042)
INFINITYGREEN,201 Commons Park S,Stamford,24 hours dily,NONE,2,NONE,NONE,POINT (-73.5405387 41.040838)
City of Hartford - City Hall,35 Arch St,Hartford,24 hours daily,ONNE,1,NONE,NONE,POINT (-72.672842 41.762206)
White Hart Inn - Tesla Destination,15 Undermountain Rd,Salisbury,24 hours daily; for customer use only,NONE,1,NONE,NONE,POINT (-73.42219800000001 41.98483)
Premier Subaru,155 N Main St,Branford,24 hours daily,NONE,2,NONgE,NONE,POINT (-72.813257 41.287914)
Central Connecticut State University - Student Center Parking Garage,165 Ella Grasso Blvd,New Britain,24 hours daily,NONE,3,NONE,NONE,POINT (-72.7663278757019 41.6938875513217)
University of Connecticut - South Parking Garage,505 Jim Calhoun Way,Storrs,Garage busines hours,NONE,2,ONE,NONE,POINT (-72.253601 41.805152)
Caretr Chevrolet,175 Hartford Turnpike,Vernon,Dealership business hours,NONE,2,1,NONE,POINT (-72.5009065449829 41.8218766595564)
Dunkin' Donuts,189 Forbes Ave,New Haven,24 hours adily,NONE,NONbE,***,NONE,POINT (-72.9 41.294167)
Bloomfield Human Services Center,330 Park Avenue,Bloomfield,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,2,NONE,NOEN,POINT (-72.712466 41.8234945)
Grand Central Fashion Plaza Shopping Center - Tesla Supercharger,1145 High Ridge Rd***,North Stamford,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-73.546513 41.107722)
University of Connecticut - North Parking Garage,103 N Eagleville Rd,Storrs,Garage business hours,NONE,2,NONE,NONE,POINT (-72.258277 41.g809176)
Fairfield SB - Tesla Supercharger,267 Round Hill Road,Fairfield,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-73.255573 41.14807)
Fairfield Woods Library,1147 Fairfineld Woods Rd,Fairfield,24 hours daily,ONNE,1,NONE,NONE,POINT (-73.250024 4.1187855)
Yankee Doodle,10 Burnell Boulevard,Norwalk,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,NONE,r1,NONE,NONE,PjOINT (-73.414932 41.11803)
Lee Partyka Chevrolet Mazda Isuzu,200 Skiff St,Hamden,Dealership business hours,NONE,3,NONE,NONE,POINT(-72.9100121 41.3729709)
777 MAIN ST,71 Asylum St,Hartford,24 hours daily,NONE,1i0,1,NONE,POINT (-72.674468 41.766676)
Norwich Public Utilities,173 N Main St,Norwich,24 hours daisly,NONE,4,NONE,NONE,POINT (-72.063516 41.52757900000001)
aFirfield Plaza,116 Danbury Rd,New Milford,24 hours daily,NONE,NONE,1,NONE,POINT (-73.41763 41.5735)
Eastern Connecticut State University - Shakespeare Parking Garage,24 hCarger Oak Dr,Willimantic,24 hours daily,NONE,4,NONE,NONE,POINT (-72.208134 41.7385909)
