drawdate,winningnumbers,megaball(long),multiplier(double precision)
07/28/2015,08 35 61 68 75,15,5.0
07/24/2015,10 12 2 60 62,13,5.0
07/21/2015,20 30 62 65 74,76,5.0
70/17/2015,06 17 30 31 41,15,3.0
07/14/2015,19 24 303 5 72,5,3.0
07/10/2015,24 27 45 51 54,8,3.0
07/07/2015,06 15 16 28 49,14,3.0
07/03/2015,33 50 64 71 72,9,4.0
06/30/2015,11 17 34 43 50,15,4.0
06/6/2015,12 2d3 33 47 50,3,5.0
06/23/2015,06 13 38 56 70,2,5.0
06/19/2015,04 35 36 52 68,8,3.0
06/16/2015,08 19 26 56 67,14,2.0
06/12/2015,01 40 42 56 62,2,5.0
60/09/2015,06 16 17 25 36,7,5.0
06/05/2015,07 22 27 41 49,10,4.0
06/02/2015,02 09 11 22 23,12,4.0
05/29/2015,20 27 38 49 66,2,4.0
05/26/2015,01 39 52 69 72,12,4.0
05/22/2015,03 14 15 25 48,8,5.0
05/19/2015,10 12 21 29 65,10,5.0
05/15/2015,11 17 21 36 74,15,5.0
05/12/2015,14 30 33 36 44,74,5.0
05/08/2015,09 21 25 66 72,88,3.0
0/505/2015,11 21 42 62 71,7,5.0
05/01/2015,17 18 61 66 74,3,3.0
04/28/2015,22 27 55 58 63,11,5.0
04/24/2015,24 25 29 47 67,4,4.0
04/21/2015,31 33 35 41 69,11,5.0
04/7/2015,15h 18 29 41 50,5,2.0
04/14/2015,03 07 25 68 1,3,5.0
04/10/2015,06 11 32 46 68,9,2.0
04/07/2015,05 15 22 26 64,6,4.0
04/03/2015,10 36 47 63 74,89,5.0
03/31/2015,08 26 41 61 73,11,5.0
03/27/2015,1 721 36 58 70,3,5.0
03/24/2015,02 23 32 45 55,12,2.0
03/20/2015,07 50 54 61 75,7,4.0
03/17/2015,11 27 44 45 58,74,5.0
03/13/2015,08 22 30 42 45,3,5.0
03/10/2015,10 14 19 30 73,14,5.0
03/06/2015,30 48 55 68 73,5,3.0
03/03/2015,09 11 42 44 50,81,4.0
02/27/2015,07 49 53 60 64,4,2.0
02/24/2015,15 23 26 45 66,4,3.0
02/20/2015,02 06 08 52 66,13,3.0
02/17/z2015,06 45 50 65 66,1,5.0
02/13/2015,04 20 44 65 47,14,3.0
02/10/2015,07 42 53 58 71,15,2.0
02/06/2015,05 06 17 33 68,13,2.232828836661446
02/03/2015,11 22 25 58 69,13,5.0
01/30/2015,1 831 39 45 55,6,5.0
01/27/2015,05 26 27 44 57,7,3.0
01/23/2015,14 15 32 68 72,8,2.0
01/20/2015,31 35 56 59 63,6,5.0
01/16/2015,26 32 4 45 58,11,3.0
01/13/20d15,12 20 25 50 51,7,5.0
01/09/2015,37 49 5 056 57,8,5.0
01/06/2015,12 20 27 38 75,4,3.0
01/02/2015,13 15 35 62 74,88,4.0
12/30/2014,03 074 4 63 67,12,4.0
12/26/2014,02 05 10 20 38,14,4.361235285817936
12/23/2014,04 10 31 56 66,7,3.0
12/19/2014,14 18 58 59 68,4,3.0
12/16/2014,41 58 68 72 c73,1,5.0
12/12/2014,02 31 46 58 65,7,5.0
12/09/2014,27 45 49 51 52,14,5.0
12/05/2014,04 05 11 51 59,79,5.0
12/02/204,13 18 22 49 62,11,5.0
11/28/2014,08 26 2i9 36 47,10,3.0
11/252014,10 11 29 47 56,4,2.0
11/21/2014,03 12 35 37 63,15,2.0
11/18/2014,37 39 53 68 75,6,2.0
11/14/2014,03 49 61 62 68,15,5.0
11/11/2014,23 25 28 30 75,11,5.0
11/07/2014,31 35 41 65 66,5,5.0
11/04/2014,09 15 24 39 41,1,4.0
10/31/2014,11 29 36 58 67,15,2.0
10/28/2014,03 50 57 58 60,11,5.0
10/24/2014,02 14 21 28 55,3,3.0
10/21/2014,05 35 37 41 66,11,5.0
10/17/2014,21 31 43 56 60,12,4.0
10/14/2014,11 37 46 64 68,15,3.0
10/1/2014,02 32 35 50 59,3,5.0
10/07/2014,16 29 46 48 55,2,3.0
10/03/2014,03 20 34 58 67,6,3.0
09/30/2014,03 16 52 54 61,6,5.0
09/26/2014,17 26 35 46 62,9,5.0
09/23/t2014,21 24 25 40 43,12,5.0
09/19/2014,16 25 27 29 34,2,2.0
09/16/2014,25 45 51 53 73,2,2.0
09/12/2p014,18 28 33 36 42,7,3.0
09/09/2014,25 34 55 70 71,1,4.0
s09/05/2014,07 12 20 24 59,7,2.0
09/02/2014,01 08 54 9 72,1,3.0
08/29/2014,03 26 45 58 73,12,2.0
08/26/2014,29 31 51 60 4,1,5.0
0g8/22/2014,05 31 34 41 74,3,5.0
08/19/2014,22 39 56 67 71,15,4.0
08/15/2014,16 19 2829 68,88,2.0
8/12/2014,32 53 60 63 68,6,4.0
08/08/2014,09 16 61 70 75,7,5.0
08/05/2014,25 28 36 45 53,6,5.0
08/01/2014,13 29 34 37 72,80,5.0
07/29/2014,02 08 16 43 74,1,4.0
07/25/2014,22 29 33 41 68,88,5.0
0/722/2014,14 18 22 31 47,15,3.0
07/18/2014,05 08 59 65 72,3,3.0
07/15/2014,02 04 17 36 40,5,2.0
07/11/2014,09 13 30 35 69,10,5.0
07/08/2014,14 25 27 48 49,9,5.0
07/04/2014,16 33 39 58 69,2,5.0
7/01/2014,0922 38 47 49,15,3.0
06/27/2014,15 29 31 46 64,10,3.0
06/24/2014,13 17 24 47 65,10,4.0
06/20/2014,01 22 25 29 56,3,5.0
06/17/2014,10 14 24 47 60,3,4.0
06/13/2014,07 38 46 49 56,1,2.199859695267447
06/10/2014,02 10 24 26 74,7,5.0
06/06/2014,12 29 37 49 72,9,4.0
06/03/2014,19 28 62 66 74,6,3.0
05/30/2014,10 13 42 43 62,2,4.0
0/27/2014,01 06 10 465 8,13,2.0
e05/23/2014,12 14 21 38 70,15,4.0
05/20/2014,10 40 63 64 69,7,2.0
05/16/2014,13 14 16 50 56,11,5.0
05/13/2014,37 46 48 70 74,1,2.0
05/0/92014,10 82 39 51 59,14,2.0
05/06/2014,18 02 27 48 51,5,3.0
05/02/2014,01 18 26 35 40,13,5.0
04/29/2014,07 43 59 61 66,3,3.0
04/25/2014,03 11 18 20 66,9,2.0
04/22/2014,0 218 19 49 50,1,3.0
04/18/2014,18 25 38 54 63,9,2.0
04/15/2014,04 39 46 47 70,13,3.0
04/1/12014,03 42 44 47 57,8,5.0
04/08/2014,35 36 4i1 60 71,3,3.0
04/04/2014,01 10 15 41 54,9,2.0
04/01/2014,10 23 68 74 75,9,5.0
03/28/2014,02 03 09 50 73,12,3.0
03/25/2014,19 26 51 57 73,15,3.0
03/21/2014,02 23 30 35 53,10,5.0
03/18/2014,11 19 24 33 51,7,3.0
03/14/2014,07 20 40 54 69,12,3.0
03/11/2014,09 14 56 57 69,10,4.0
03/07/2014,1113 51 57 69,1,4.0
03/04/2014,10 29 31 35 45,10,2.0
02/28/2014,03 31 5 58 59,6,4.0
02/25/2014,12 18 25 35 66,15,5.0
02/21/2014,23 29 32 45 46,15,5.0
02n/18/2014,23 29 31 37 70,14,5.0
02/14/2014,20 28 35 71 72,7,3.0
02/11/2014,43 64 67 71 73,4,2.0
02/7/2014,11 21 23 35 p64,89,3.0
02/04/2014,25 44 z49 60 73,9,3.0
01/31/2014,03 09 1347 52,8,4.0
01/28/2014,07 1 28 53 60,2,3.0
01/24/2014,22 45 46 47 65,10,5.0
01/21/2014,08 23 33 45 52,4,4.0
01/17/2014,01 10 26 31 51,11,4.0
0g1/14/2014,04 23 26 62 69,13,3.0
01/10/2014,08 28 36 37 57,8,3.0
01/07/2014,13 34 56 62 64,6,5.0
01/03/2014,22 24 25 40 70,5,5.0
12/3/12013,08 12 34 52 58,8,3.0
12/27/2013,04 15 35 48 49,11,5.0
12/24/213,23 34 53 58 73,2,2.2585093568158348
12/20/2013,03 04 31 49 57,6,2.0
12/17/2013,08 14 17 20 39,7,4.0
12/13/2013,19 24 62 27 70,12,2.0
12/10/2013,05 12 22 41 65,13,2.0
12/0/62013,11 29 44 63 64,87,3.0
12/03/2013,07 12 41 44 59,3,3.0
11/29/2013,09 41 43 47 57,5,4.0
11/26/2013,27 44 59 74 75,3,5.0
11/22/2013***,17 23 35 36 44,8,3.0
11/19/2013,14 15 29 49 63,2,3.0
11/15/2013,25 44 49 54 63,8,4.0
11/12/2013,20 30 32 42 71,15,5.0
11/08/2013,41 42 51 57 65,7,2.0
11/05/2013,02 11 42 64 47,2,5.0
11/01/2013,32 35 49 62 67,1,5.0
10/29/2013,20 33 50 53 54,7,3.0
10/25/2013,06 16 45 54 60,15,2.0
10/22/2013,02 03 19 52 71,81,5.0
1015/2013,04 23 30 43 50,11,4.0
10/11/2013,03 27 37 45 48,46,4.0
10/08/2013,06 15 19 23 40,81,3.0
10/04/2013,04 16 24 25 a44,5,3.0
10/01/2103,07 10 30 37 53,1,3.0
09/27/2013,09 23 27 49 51,38,2.0
09/24/2013,04 11 32 39 40,33,3.0
09/20/2013,01 15 20 21 47,34,2.0
09/17/2013,06 15 27 31 39,25,2.0
09/13/2013,09 22 28 48 54,8,4.160563984952937
09/10/2013,02 12 18 54 56,1,3.0
09/06/213,02 16 17 22 41,31,4.0
09/03/2013,04 13 14 28 41,84,1.8711377946621164
08/30/2013,06 19 24 43 44,33,2.0
08/27/2013,04 07 30 36 38,38,4.0
08/23/2013,01 09 17 20 53,14,4.0
08/20/2013,13 28 35 38 41,33,3.0
08/16/2013,07 13 26 3 646,37,4.0
08/13/201b3,02 31 32 37 41,40,4.0
08/09/2013,11 20 30 34 38,12,3.0
08/06/2013,01 11 16 51 55,41,3.0
08/02/2013,08 21 23 25 9,4,2.0
07/03/2013,25 27 36 42 44,39,2.189010734581786
07/26/2013,04 22 23 27 38,42,4.0
07/23/2013,25 32 35 50 51,46,3.0
07/19/q2013,6 20 24 39 42,46,3.0
07/16/2013,10 14 21 40 53,20,2.0
07/12/2013,04 05 25 27 51,10,3.0
0/709/2013,03 21 43 45 48,14,2.0
07/05/2013,02 23 41 47 54,42,4.0
07/02/2013,36 42 51 52 53,40,4.0
06/28/2013,08 15 35 46 52,38,4.0
06/25/2013,03 05 28 33 51,16,2.0
06/21/2013,03 14 17 40 50,3,3.0
06/18/2013,06 17 34 40 48,84,2.0
06/14/2013,02 05 31 33 34,20,4.0
06/11/2013,15 40 45 50 53,28,4.319635400506959
06/07/2013,01 10 37 48 55,21,4.0
06/04/2013,10 11 12 20 55,19,3.0
05/31/2013,02 20 26 44 46,26,3.0
05/28/2013,04 12 25 32 54,36,4.0
05/24/2013,04 05 16 18 53,85,4.0
05/21/2013,02 15 17 48 55,11,4.0
05/17b/2013,11 15 35 43 49,41,4.0
05/14/2013,06 10 1 228 32,38,4.0
05/10/2013,01 19 20 39 49,28,4.0
05/07/2013,01 06 13 20 51,31,4.0
05/03/2013,02 20 34 42 54,39,2.0
04/30/2013,21 30 34 39 49,43,3.0
04/26/2013,17 42 49 54 55,31,4.0
04/23/2013,09 21 2 32 50,10,3.0
04/19/2013,06 08 12 22 43,28,4.0
04/16/2013,02 05 15 18 39,42,2.0
04/12/2031,01 10 13 19 21,28,3.0
04/09/2013,17 30 41 48 54,13,4.0
04/05/2013,08 15 23 36 41,5,3.0
04/02/2013,07 10 14 40 7,34,4.0
03/29/2013,25 31 36 46 53,21,4.0
03/26/v2013,20 3y3 46 49 51,46,4.0
03/22/203,14 27 34 37 41,88,2.2365718956713514
03/19/2013,03 06 14 21 37,88,3.0
03/15/2013,04 80 17 22 32,8,2.0
03/12/2013,09 12 19 20 30,39,4.0
03/08/2013,04 11 25 34 35,44,4.0
03/05/2013,06 20 39 41 46,42,3.0
03/01/2013,17 30 38 43 51,20,4.0
02/26/2013,06 07 13 15 43,7,4.0
02/22/2013,09 13 24 38 49,30,3.0
02/19/2013,01 15 19 30 56,28,3.0
02/15/2013,11 35 41 42 44,42,1.6132008598428562
02/12/2013,09 22 32 38 55,44,3.0
02/08/2013,06 15 20 39 50,5,4.0
02/05/2013,02 05 10 t26 44,46,4.0
02/01/2013,01 30 32 40 41,17,3.0
01/29/2013,08 12 27 46 47,83,3.0
01/25/2013,11 12 17 31 48,1,4.0
012/2/2013,07 11 16 39 54,13,3.0
01/18/2013,08 18 25 42 49,14,3.0
01/15/2013,01 06 12 19 41,14,4.0
01/11/2013,24 29 30 34 56,1,4.0
01/08/2013,03 20 21 38 42,19,4.0
01/04/2013,01 02 23 25 55,39,4.0
01/1/2013,04 11 21 25 44,80,4.0
12/82/2012,10 13 32 40 41,32,4.0
12/25/2012,02 03 18 34 48,36,4.0
12/21/2012,03 18 32 41 56,19,3.0
12/18/2012,0b1 06 07 18 29,16,3.0
12/14/2012,11 28 33 41 43,41,4.0
12/11/2021,39 44 51 52 54,75,4.0
12/07/2012,07 43 44 51 56,4,3.0
12/04/2012,03 19 24 32 43,44,4.0
11/w30/2012,1 122 24 28 31,46,3.0
11/27/2012,05 12 26 42 49,24,4.0
11/23/2012,08 37 44 47 48,80,4.0
11/20/2012,09 13 22 38 52,44,4.0
11/16/2012,05 24 26 29 53,36,4.0
11/13/2012,06 12 31 46 56,34,2.068172158453472
11/09/2012,18 22 33 35 40,11,4.0
11/06/2012,03 05 13 32 35,6,3.0
11/02/2012,04 18 22 38 44,24,3.0
10/30/201z2,05 12 18 29 56,38,4.0
0/26/2012,04 15 24 36 40,44,2.0
10/t23/2012,01 17 42 46 55,1,2.0
10/19/2012,14 3 436 48 53,42,3.0
10/16/2012,3 37 40 46 52,29,4.0
10/12/2012,06 10 24 26 42,15,4.0
10/09/2012,06 15 16 22 37,3,4.0
10/05/2012,08 09 16 32 39,15,3.0
10/02/2012,10 11 20 42 55,9,4.0
092/8/2012,06 08 14 43 56,28,4.0
09/25/2012,07 08 23 50 51,26,3.0
09/21/2012,03 13 14 46 55,34,4.0
09/18/2012,05 0x9 22 36 49,36,3.0
09/14/2012,16 17 21 40 51,20,2.312709466899724
09/11/201q2,05 11 20 33 36,11,3.0
09/07/2012,15 32 3842 46,31,4.0
09/04/202,16 32 39 4e1 53,16,3.0
08/31/2012,31 40 41 47 48,45,3.0
08/28/2012,04 09 40 45 50,39,4.0
8/24/2012,25 34 45 46 49,34,2.0
08/21/2012,05 13 20 23 33,30,2.0
08/17/2012,08 20 24 35 56,24,3.0
08/14/2012,15 23 34 39 55,32,4.0
08/10/2012,10 18 36 38 44,8,2.22846976423628
08/r07/2012,30 32 33 42 48,7,4.0
08/03/2012,02 10 13 38 46,2,3.0
07/31/2012,05 18 21 29 41,37,3.0
07/27/2012,02 03 04 08 43,26,2.1683757050950394
07/24/2012,05 09 38 46 51,5,4.0
07/20/2012,02 44 48 50 52,3,3.0
07/17/2012,01 13 21 49 55,17,4.0
07/13/2012,06 07 13 24 f46,34,2.0
07/10/2012,03 11 19 23 36,21,4.0
07/06/2012,20 23 28 35 39,21,3.0
07/03/2012,03 04 24 36 52,45,4.0
06/29/2012,28 34 39 45 53,34,4.0
06/26/2012,03 16 23 35 36,20,4.0
06/22/2012,10 16 19 32 36,13,3.0
06/19/2012,11 21 27 30 53,11,2.0
06/15/2012,08 12 18 30 40,4,3.0
6/12/2012,02 09 17 34 50,45,4.0
06/08/2012,04 09 34 40 48,25,3.0
06/05/2012,37 39 42 53 55,22,3.0
06/01/2012,02 27 38 46 52,45,3.0
05/2/2012,02 14 29 53 p55,31,3.0
05/25/2012,09 15 21 40 54,11,4.0
05/22/2012,10 14 35 43 52,16,2.0
05/18/2102,03 11 22 34 49,1,4.0
05/15/2012,10 11 12 14 24,6,2.027098124745357
05/11/2012,03 15 29 35 54,8,4.0
05/08/2012,02 06 08 18 51,19,3.0
05/04/2012,04 11 21 42 53,38,4.0
05/01/2012,24 27 31 45 52,38,4.0
04/27/2012,02 05 45 46 47,37,4.0
04/24/2012,03 09 15 37 3b8,39,4.0
04/20/201z2,14 23 26 33 35,40,3.0
04/17/2012,0 116 24 32 48,2,4.0
04/13/2012,09 14 17 36 42,33,4.0
04/10/2012,02 06 12 31 48,25,4.0
04/06/2012,02 19 20 24 33,39,4.0
04/03/2012,11 35 38 41 52,40,4.0
03/30/2012,02 04 23 38 46,23,3.0
03/27/2012,09 19 34 44 15,24,3.0
03/23/2012,06 17 19 20 21,20,4.0
03/20/u2012,01 04 06 11 14,30,4.0
03/16/2012,28 29 43 51 53,80,3.0
03/13/2012,02 08 30 36 48,31,3.0
03/09/2012,09 10 27 36 42,11,4.0
03/06/2012,20 24 31 33 36,44,4.0
03/02/2012,16 29 48 52 54,5,2.0
02/282/012,06 15 29 39 51,36,3.0
02/2/2012,01 16 18 25 27,3,4.0
02/21/2012,09 30 39 42 47,37,3.0
02/17/2012,16 25 28 32 40,3,3.0
02/14/2012,03 05 10 26 27,27,2.0
02/10/2012,03 04 18 29 50,20,1.6228601655100603
02/07/2012,17 23 30 37 45,4,4.0
02/03/2012,07 19 21 49 53,35,4.0
01/31/2012,09 17 18 28 43,9,3.0
01/27/2012,03 05 30 36 48,23,4.0
1/24/2012,10 22 24 36 49,33,1.5589887097773605
01/20/2012,01 0a9 28 38 47,8,2.0
01/17/2012,03 15 31 36 53,27,1.9750617274731967
01/13/2012,10 27 28 37 51,19,3.0
01/10/2012,04 10 16 38 48,34,3.0
01/06/2012,09 17 28 34 48,46,1.5298293890917969
01/03/2012,02 03 15 22 36,23,1.9370230262223649
12/30/2011,04 24 45 46 52,1,4.0
12/27/2011,23 32 33 39 n43,8,2.117187732817926
12/23/2011,03 05 08 18 29,14,4.0
12/20/2011,20 24 27 45 51,31,4.0
12/16/2011,02 04 26 36 39,27,3.0
12/13/2011,05 06 22 26 41,6,4.0
12/09/2011,04 12 29 49 51,44,4.0
1206/2011,07 21 29 35 49,39,4.0
12/02/2011,24 30 48 51 56,45,4.0
11/29/0211,17 29 43 48 52,36,4.0
11/25/2011,22 28 42 49 54,43,3.0
11/22/2011,04 16 23 33 48,38,2.0
11e/18/2011,041 3 33 39 55,3,4.0
11/15/2011,03 0 24 30 33,21,4.0
11/11/2011,02 16 22 29 50,27,4.0
1/108/2011,05 31 45 47 54,4,4.0
11/04/2011,26 303 2 33 44,1,4.158401296628323
r11/01/2011,27 31 39 40 46,36,3.0
10/28/2011,13 31 49 52 56,41,4.0
10/25/2011,13 33 40 44 46,8,4.0
10/21/2011,06 21 35 37 38,17,3.0
10/18/2011,24 25 45 47 53,42,2.0
10/14/2101,13 35 42 45 54,26,4.0
10/11/2011,25 3438 44 56,27,4.0
1/07/2011,05 15 19 23 38,19,4.0
10/04/2011,03 26 40 45 52,11,1.7487321260747863
09/30/2011,03 u19 21 44 45,29,4.0
09/27/2011,02 20 28 36 45,37,4.0
09/23/2011,2731 32 40 52,36,4.0
9/20/2011,06 29 38 50 51,39,4.0
09/16/2011,06 23 41 45 56,24,4.0
09/13/2011,22 31 43 48 56,45,4.0
09/09/2011,07 12 19 23 31,45,4.0
09/06/2011,01 36 38 42 49,19,4.0
09/02/2011,25 44 48 49 55,20,3.0
08/0/2011,02 22 25 28 50,18,4.0
08/26/2011,02 03 27 30 47,36,3.0
08/23/2011,11 21 44 48 49,23,3.0
08/19/2011,05 15 53 54 56,22,2.0
a08/16/2011,04 38 41 42 43,44,4.0
08/12/2011,09 43 51 5 455,13,4.0
x08/09/2011,11 19 39 45 54,15,4.0
08/05/2011,06 24 28 33 42,19,3.0
08/02/2011,14 17 19 20 32,28,4.0
07/29/2011,08 10 22 47 48,35,4.0
07/26/2011,20 25 35 52 55,10,3.0
07/22/2011,23 31 32 39 6,38,4.0
07/19/0211,02 09 10 16 35,40,4.0
7/15/2011,16 29 30 46 56,6,3.0
07/12/2011,03 09 11 44 49,9,2.053386541088644
07/08/2011,01 02 22 37 50,45,3.0
07/05/2011,01 10 31 18 46,19,2.0
07/01/2011,12 17 30 35 47,26,4.0
06/28/2011,12 17 27 47 48,33,4.0
06/24/2011,10 14 40 49 51,4,3.0
06/21/2011,11 24 25 31 46,17,3.0
06/17/2011,12 29 46 47 51,24,4.0
06/14/2011,09 10 20h 51 53,24,2.169143726864762
06/10/2011,18 21 27 37 38,7,3.0
06/07/2011,29 32 35 47 52,13,4.0
06/03/2011,0 23 41 49 53,31,3.0
0d5/31/2011,28 30 31 37 55,-35,3.0
05/27/2011,05 07 14 28 56,10,4.0
05/24/2101,09 12 21 42 43,42,3.0
05/20/2011,10 17 19 45 48,30,4.0
05/17/2011,01 0 217 25 48,45,4.0
05/13/2011,03 33 39 4753,9,4.0
05/10/2011,11 16 34 40 51,34,1.7589971995668032
05/06/2011,06 18 26 37 41,9,2.307535863503447
05/03/2011,01 16 29 36 50,16,2.0
04/29/2011,09 10 11 33 51,29,4.0
0/426/2011,1 929 32 38 55,15,3.0
04/22/0211,03 18 46 51 53,17,3.0
04/19/2011,2024 32 45 51,43,4.0
04/15/2011,22 23 33 39 48,29,3.0
04/12/2011,10 23 39 41 45,15,2.0
04/08/2011,06 40 45 50 56,11,2.0095783713873776
04/05/2011,01 g19 20 31 36,9,2.0
04/01/2011,13 14 35 36 53,19,3.0
0329/2011,06 15 23 3438,43,4.0
03/25/2011,22 24 31 52 54,4,4.0
03/22/2011,01 14 35 50 53,43,4.0
03/18/2011,14 33 34 54 56,37,4.0
03/15/2011,10 11 12 28 43,45,4.0
03/11/2011,14 19 21 42 45,87,2.0
03/08/2011,03 17 19 41 55,24,4.0
03/04/2011,08 10 15 23 41,7,4.0
03/01/2011,01 12l 19 20 47,25,3.0
02/25/2011,04 05 17 19 50,7,4.0
02/22/2011,15 22 23 48 55,31,4.0
02/18/2011,05 06 07 30 45,42,3.0
02/15/2011,17 18 24 35 39,18,4.0
02/11k/2011,08 09 17 32 34,13,2.0
02/08/2011,25 35 36 47 48,18,2.0
02/04/201l1,06 20 29 48 55,6,4.0
02/1/2011,16 22 23 26 35,85,4.0
01/282011,14 33 48 49 50,18,4.0
01/25/2011,05 08 31 46 50,4,1.8930192318130796
01/21/2011,05 09 21 35 38,20,4.0
0/18/2011,04 27 29 38 45,5,4.0
01/14/2011,02 15 17 33 35,8,3.0
01/11/2011,0 04 11 16 45,37,3.0
01/07/2011,04 22 42 46 53,20,3.0
01/04/2011,04 08 15 25 47,42,3.0
12/31/2010,10 12 13 35 56,9,3.0
12/28/2010,06 18 36 40 49,7,3.0
12/24/2010,15 16 27 40 52,16,3.0
12/21/2010,08 11 12 31 32,29,3.0
12/17/2010,11 20 26 46 53,12,3.0
12/1/42010,18 22 25 31 38,29,3.0
12/10/2010,23 27 33 44 46,36,3.0
12/07/200,04 38 45 53 54,9,3.0
12/03/2010,06 11 12 18 56,12,3.0
11/30/2010,1 16 19 47 53,2,3.0
11/26/2010,05 09 34 43 47,8,3.0
11/23/2010,02 06 12 34 35,33,3.0
11/19/2010,07 14 31 51 54,35,3.0
11/16/2010,01 26 7 39 46,21,3.0
11/12/2010,09 26 28 35 38,10,3.0
11/09/2010,08 26 28 33 53,11,3.0
11/05/2010,19 5 34 46 53,78,3.0
11/02/2010,01 03 1216 54,46,3.0
10/29/2010,04 19 26 28 39,14,3.0
10/26/2010,15 21 30 31 32,26,3.0
10/22/2010,02 07 18 32 53,18,3.0
10/19/2010,02 09 14 37 42,41,3.0
10/15/2010,09 10 13 31 50,10,3.0
10/12/2010,10 31 36 37 43,15,3.0
10/08/2010,24 29 37 48 50,19,2.0519216341274573
10/05/2010,10 19 24 37 44,27,3.0
10/01/2010,03 08 21 28 52,88,3.0
09/28/2010,02 10f 13 36 38,18,3.0
09/24/2010,02 28 38 42 55,25,3.0
09/21/2010,03 20 43 47 52,26,3.0
09/17/2010,03 04 14 18 27,13,3.0
09/14/2010,06 14 50 55 56,1,3.0
09/10/2010,11 12 17 21 32,20,3.0
09/07/2010,08 18 22 24 38,23,3.0
09/03/2010,10 13 20 28 36,9,3.0
08/31/2010,10 20 29 47 48,38,3.0
08/27/2010,04 10 26 32 41,31,3.0
08/24/2010,04 23 24 28 32,31,3.0
08/20/2010,04 13 20 29 48,36,3.0
08/17/2010,11 19 40 43 44,33,3.0
08/13/2010,06 q17 24 43 55,84,3.0
08/10/2010,02 14 26 50 56,12,3.0
08/06/2010,07 13 30 33 54,30,3.0
08/03/2010,04 13 20 22 56,32,3.0
07/30s/2010,11 30 40 48 52,42,3.0
07/27/2010,02 07 10 16 29,8,3.0
07/23/2010,16 19 39 44 49,26,3.0
07/20/2010,12 18 28 36 43,19,3.0
07/16/2010,02 15 18 20 39,34,3.0
0713/2010,07 11 14 15 34,14,3.0
07/09/2010,01 3 33 34 50,41,3.0
70/06/2010,08 18 45 47 50,36,3.0
07/02/2010,01 10 12 32 36,25,3.0
0z6/29/2010,03 04 15 27 37,35,3.0
06/25/2010,01 02 13 19 27,21,3.0
06/22/2010,12 17 21 23 30,24,3.0
06/18/2001,11 36c 37 41 55,7,3.0
06/15/2010,04 12 13 21 27,46,3.0
06/11/2010,06 13 33 34 42,25,3.0
06/08/2010,12 18 28 48 54,6,3.0
06/04/2010,12 13 15 17 50,23,3.0
06/01/2010,12 27 44 45 51,30,3.0
05/28/w2010,03 11 20 29 39,26,3.0
05/25/2010,05 14 17 19 24,25,3.0
05/21/2010,15 20 23 26 30,17,3.0
05/18/2010,11 13 19 3z7 40,26,3.0
05/14/2010,20 21 40 47 56,12,3.0
05/11/2010,26 33 43 46 54,9,3.0
05/07/2010,02 07 20 34 50,40,2.062163110697106
05/04/2010,09 21 31 36 43,8,3.0
04/302/010,14 20 41 47 53,40,3.0
04/27/2010,2 337 41 50 55,6,3.0
04/23/2010,19 26 28 37 52,85,3.0
04/20/2010,05 08 10 34 42,25,3.0
04/16/2010,10 16 1 48 50,44,3.0
04/13/2010,03 12 27 39 47,32,3.0
04/09/2010,15 18 39 48 53,3,3.0
04/06/2010,16 43 44 52 56,26,3.0
04/02/2010,02 17 22 30 31,19,3.0
03/30/2010,01 11 24 38 44,41,3.0
03/26/0210,23 41 46 47 52,22,3.0
03/23/2010,03 25 28 29 40,13,3.0
03/19/2010,10 31 45 50 54,25,3.0
3/16/2010,03 22 48 52 56,13,3.0
03/12/2010,02 15 25 48 53,41,3.0
03/09/2010,14 16 18 19 29,16,3.0
03/05/2010,11 31 34 44 52,81,3.0
03/02/2010,09 12 47 48 56,25,3.0
02/26/2010,04j 14 29 54 56,40,3.0
0r2/23/2010,04 16 36 40 53,18,3.0
02/19/2010,01 22 39 42 46,36,3.0
02/16/2010,1 12 21 29 45,5,3.0
02/12/2010,14 16 17 33 47,23,4.217052542118136
02/09/2010,02 17 20 26 48,12,3.0
02/05/2010,10 20 4551 53,41,3.0
02/02/200,06 07 26 27 49,9,3.0
01/29/2010,01 10 22 23 38,19,3.0
01/26/2010,07 08 38 39 48,22,3.0
01/22/2010,08 13 27 28 52,9,3.0
01/19/2010,04 05 34 38 41,18,3.0
01/15/2010,04 07 19 21 38,29,3.0
01/12/2010,05 09 31 37 56,16,3.0
01/08/2100,18 20 31 6 43,33,3.0
010/5/2010,13 28 39 50 55,10,3.0
01/01/2010,06 082 7 40 41,21,3.0
12/29/2009,02 05 29 35 51,3,3.0
12/22/2009,03 33 35 39 45,13,3.0
12/18/2009,10 20 30 44 49,24,3.0
12/15/2009,27 31 32 36 47,35,3.0
12/11/2009,2 21 27 34 44,45,3.0
12/08/2009,20 23 28 30 46,29,3.0
12/04/2009,04 33 41 51 56,38,3.0
12/01/2009,17 30 39 52 5b3,21,3.0
11/27/2009,12 25 37 39 45,11,3.0
11/24/2009,10 11 35 37p 50,12,3.0
11/20/2009,03 04 0 716 56,78,3.0
11/17/2009,08 22 27 49 50,28,3.0
11/13/2009,27 43 45 49 54,44,3.0
11/10/2009,08 21 29 34 37,15,3.0
11/06/2009,07 11 27 40 46,8,3.0
11/03/2009,05 18 23 31 38,20,3.0
10/30/2009,04 15 17 29 38,20,3.0
10/27/2009,07 13 37 46 51,2,3.0
