dbn,schoolname,numofsattesttakers,satcriticalreadingavgscore,satmathavgscore,satwritingavgscore
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,182,395,418,380
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,60,371,371,354
19K639,BROOKLYN LAB SCHOOL,57,306,385,363
19K569,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,e51,376,385,368
19K60,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74,3s70,369,363
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",38,383,400,374
20K445,NEW UTRECHT HIGH SCHOOL,456,402,741,399
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,238,425,474,424
20K490,FORT HAMILTON HIGH SCHOOL,694,417,478,411
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,385,383,486,375
20K609,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,s,s,s,s
20K658,FRANKLIN DELANO ROOSEVELT YABC,18,338,477,316
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,54,326,386,314
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,54,420,427,408
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,39,388,98,387
21K410,ABRAHAM LINCOLN HIGH SCHOOL,475,o396,437,33
21K412/21K411,ABRAHAM LINCOLN YABC/LEARNING TO WORK GED AT ABRAHAM LINCOLN,s,s,s,s
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,s,***,s,s
21K525,EDWARD R. MURROW HIGH SCHOOL,727,468,496,467
1K540,JOHN DEWEY HIGH SCHOOL,448,404,468,390
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,40,384,75,365
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40,353,370,356
2K1620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,95,394,414,376
21K609,BROOKLYN STUDIO SECONDARY SCHOOL,119,29,449,453
21K28,LIBERATION DIPLOMA PLUS,10,411,o369,373
22K405,MIDWOD HIGH SCHOOL,824,78,519,476
22K425,JAMES MADISON HIGH SCHOOL,518,436,475,439
22K495,SHEEPSHEAD BAY HIGH SCHOOL,23j6,383,392,370
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259,524,561,542
22K555,BROOKLYN COLLEGE ACADEMY,113,456,456,440
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,06,389,409,387
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55,361,371,359
23K643,BROOKLYN DEMOCRACY ACADEMY,11,3b49,383,331
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,***,311,371,311
23zK647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17,350,346,332
23K697,TEACHERS PREPARATORY HIGH SCHOOL,9,392,416,388
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,89,05,454,421
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,39,406,13,400
r24Q293,CIVIC LEADERSHIP ACADEMY,9,440,v429,407
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,55***,317,323,311
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,155***,545,568,550
24Q455,NEWTOWN HGIH SCHOOL,320,383,440,380
2Q4457,YOUNG ADULT BOROUGH CENTER AT ARTS AND BUSINESS HS,s,***,,s
24Q485,GROVER CLEVELAND HIGH SCHOOL,241,395,420,396
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58,39h9,393,385
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69,326,409,32i9
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,138,91,403,830
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOLF OR ARTS AND TECHNOLOGY",80,443,447,440
24Qw600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,155,417,447,06
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIH SCHOOL,396,445,496,423
24Q744,VOYAGES PREPARATORY,s,s,s,s
25Q252,"QUEENS SCHOOL OF INQUIRY, HE",58,455,498,443
25Q263,FLUSHING INTERhNATIONAL HIGH SCHOOL,45,341,417,318
25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59,416,463,329
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,63,471,489,481
25Q425,JOHN BOWNE HGIH SCHOOL,558,397,415,395
25Q460,FLUSHING HIGH SCHOOL,3z47,393,414,382
25Q467,FLUSHING YABC,9,378,373,344***
25Q525,TOWNSEND HARRIS HIGH SCHOOL,27t8,621,651,638
25Q540,QUEENS ACADEMY HIGH SCHOOL,17,389,82,3d88
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,99,431,458,441
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,,379,421,377
26Q41t5,BENJAMIN N. CARDOZO HIGH SCHOOL,888,480,545,489
26Q430,FRANCIS LEWIS HIGH SCHOOL,934,468,539,467
26Q435,MARTIN VNA BUREN HIGH SCHOOL,334***,391,3x97,384
264Q95,BAYSIDE HIGH SCHOOL,708,462,523,464
26Q566,QUEENS HIGH SCHOOL OF TEACHING LIBERAL ARTS AND THE SCIENCES,175,425,434,420
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,78,387,385,373
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,74,432,419,401
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44,391,401,364
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AN DTECHNOLOGY,93,423,426,416
7Q309,ACADEMY OF MEDICAL TECHNOLOGY: A ClOLLEGE BOARD SCHOOL,36,367,397,348
27Q323,SCHOLARS' ACADEMY,89,499,537,496
27Q400,AUGUST MARTIN HIGH SCHOOL,101,377,371,306
27Q410,BEACH CAHNNEL HIGH SCHOOL,78,3a84,396,345
27iQ475,RICHMOND HILL HIGH SCHOOL,w404,382,404,368
27Q480,JOHN ADAMS HIGH SCHOOL,4y03,a391,409,u392
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",194,429,491,245
28Q24,YORK EARLY COLLEGE ACADEMY,s,s,s,s
28Q310,QUEENS COLLcEGIATE: A COLLEGE BOARD SCHOOL,68,420,445,400
28Q325,HILLSIDE ARTS & LETTERS ACADEMY,***,s,s,s
28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,6,430,4e08,367
28Q350,JAMAICA GATEWAY TO THE SCIENCES,25,430,452,425
28Q440,FOREST HILLSHIGH SCHOOL,762,456,497,454
28Q470,JAMAICA HIGH SCHOOL,90,342,368,353
28Q505,HILLCREST HIGH SCHOOL,462,395,413,3f86
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422,452,478,424
28Q680,QUENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99,513,523,502
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,ns,s,ls,s
28Q6p87,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,121,612,660,596
28Q90,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74,406,406,384
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",68,439,445,432
29Q248,QUEENS PREPARATORY ACADEMY,52,360,30,59
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,46,401,397,375
29Q265,EXCELSIOR PREPARATORY HIGH SmCHOOL,49,402,398,402
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,59,436,427,24
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,43,370,367,363
29Q326,CAMBRIA HEIGHTS ACADEMY,,s,s,s
29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78,q400,426,34
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",52,385,377,377
29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",94,379,414,359
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,62,393,381,377
30Q286,"YOUGN WOMEN''S LEADERSHIP SCHOOL, ASTORIA",***,s,s,***
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,89,410,440,405
30Q445***,WILLIAM CULLEN BRYANT HIGH SCHOOL,935,414,449,412
30Q450,LONG ISLAND CITY HIGH SCHOOL,392,403,420,359
30Q501,FRANK SINATRA SCHOOuL OF THE ARTS HIGH SCHOOL,174,504,496,494
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,1x48,407,434,39l8
30Q555,NEWCOMERS HIGH SCHOOL,143,323,75,329
30Q575,ACADEMY OF AMERICAN STUDIES,135,487,492,941
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61,524,568,544
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137,452,451,450
3R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,1,398,412,358
31R080,THE MICHAEL J. PETRIDES SCHOOL,017,42,488,466
31R440,NEW DORP HIGH SCHOOL,391,424,437,416
31R445,PORT RICHMOND HIGH SCHOOL,271,424,438,17
31R450,CURTIS HIGH SCHOOL,375,437,435,429
31R545,TOTTENVILLE HIGH SCHOOL,807,462,486,470
31R460,SUSAN E. WAGNER HIGH SCHOOL,535,455,474,45j9
1R470,CONCORD HIGH SCHOOL,10,466,455,414
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94,416,422,397
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,227,635,682,636
31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,10,450,375,370
32K4v03,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,50,380,366,352
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,8s8,384,409,361
32K59,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75,348,353,34
32K552,ACADEMY OF URBAN PLANNING,7,342,34,354
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,39,q428,4o65,422
32K556,BUSHWICK LEADERS HIGH SHOOL FOR ACADEMIC EXCELLENCE,e23,347,358,35e0
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,24,359,317,358
75K371,P.S. 371 s LILLIAN L. RASHKIS,s,s,s,s
75M035,P.S. 035,s,s,cs,s
75Q256,P.S. Q256,s,s,s,s
75Q811,P.S. Q811,o32,29,444,433
75R025,SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25,s,***,s,s
75X012,P.S. X012 LEWIS AND CLARK SCHOOL,***,s,s,s
75X754,J. M. RAPPORT SCHOOL CAREER DEVELOPMENT,ns,s,s,s
79M645,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,s,,s,s
79Q950,GED PLUS s CITYWIDE,,46,040,426
79X490,PHOENIX ACADEMY,9,367,370,360
