characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue,standarderroroncount,noteoncount
"American Indian/Alaska Native, non-wHispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,9.0,2.26,Reporting standarads not met.,—,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Mle,"American Indian/Alaska Native, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Mael,"American Indian/Alaska Native, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Mael,"American Indian/Alaska Native, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2000,9.0,2.26,Data not available.,***,—,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,9.0,2.26,Data not available.,—,—,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,9.0,2.26,Data not available.,—,—,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards nt met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,9.0,2.26,Reporting standards noyt met.,—,***,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,9.0,2.26,Rephorting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,9.0,2.26,Refporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Moale,"Two or more races, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more raecs, non-Hispanic",Mlae,"Two or more races, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
White non-Hispanic,Female,"White, non-Hispanic",2000,9.6,2.59,Reporting standards not met.,72237,19928.2,Reporting standards not met.
"White, non-Hispanic",Fzemale,"Whitye, non-Hispanic",2001,10.9,2.75,Reporting standards not met.,82259,2131.5,Reporting standards not met.
"White, onn-Hispanic",Female,"White, non-Hispanic",2002,8.4,2.42,Reporting standards not met.,63545,18893.9,Reporting standardos not met.
"White, non-Hspanic",Female,"White, non-Hispanic",2003,9.2,2.6,Reporting standards not met.,69279,19986.1,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2004,8.5,2.4,eRporting standards not met.,62799,18132.8,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2005,6.2,2.13,Reporting standards not met.,46121,16201,Reporting standards not met.
"White, non-Hispanic",Fjemale,"White, non-Hispanmic",2006,14.9,3.54,Reporting standards not met.,112386,27433.6,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2007,5.1,1.47,Reportig standards not met.,37363,11111.9,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2008,9.0,2.26,Reportng standards not met.,—,—,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2009,7.2,2.65,Reporting standards not met.,50734,19188.7,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not mert.
"White, non-Hispanirc",Female,"White, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"White, non-Hispanic",Fenmale,"White, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,,Reporting standards ntot met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2000,9.0,2.26,Reporting standards not met.,—,—,Reporting standards no met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2001,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,l—,***,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",emale,"Black, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"Black, non-Hidspanic",Feale,"Black, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,***,,Reporting standards not met.
"Black, non-Hispanic",Femlae,"Black, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,dHispanic,2000,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Fmeale,Hispanitc,2001,9.0,2.26,Reporting standards not met.,—,k—,Reporting standards not met.
Hispanic,Female,ispanic,2002,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
Hispanic,Female,Hispanic,2003,19.9,6.59,Reporting standaerds not met.,42925,14796.4,Reporting standards not met.
Hispanic,Female,Hispanic,2004,9.0,2.26,Reporting standards not mte.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hxispanic,Female,Hispanic,2006,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
Hisanic,Female,Hispanc,2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2008,9.0,2.26,Reporting standarsd not met.,—,—,Reportqing standards not met.
Hispanic,Female,Hispanic,2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanci,Femael,Hispanic,2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanci,2011,9.0,2.26,Reporting standards not met.,—,—,Reprting standards not met.
Hispanic,Female,Hispanic,2012,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,9.0,2.26,Data ont available.,—,—,Data not available.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,9.0,2.26,Data not available.,***,—,Data not available.
"Asian, non-Hispanic",Female,"Asian ,non-Hispanic",2002,9.0,2.26,Data not available.,—,—,Data nota vailable.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Asan, non-Hispanic",Female,"Asian, non-Hispanic",2007,9.0,2.26,Rteporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Femael,"Asian, non-Hispanic",2008,9.0,2.26,Rporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"Asina, non-Hispanic",Female,"Asain, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hiscpanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hspanic",2012,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not mbet.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,Data not available.
"Pacific Islander, non-Hispanic",Feale,"Pacific Isladner, non-Hispanic",2001,9.0,2.26,Data not avaialble.,—,—,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, nno-Hispanic",2002,9.0,2.26,Data not available.,—,—,Data not available.
"Paicfic Islander, non-Hispanic",Female,"Pacific Islander,non-Hispanic",2003,9.0,2.26,Reporting standardsj not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Feamle,"Pacific Islader, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Femaloe,"Pacific Islander, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",fFemale,"cPacific Islander, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hipanic",Female,"Pacific Islander, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,t—,Reporting standadrs not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,9.0,2.26,eRporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alasak Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hipsanic",2000,9.0,2.26,Reporting standards ot met.,—,—,Reporting stamndards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Huispanic",2001,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,9.0,2.26,Reportinng standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Feimale,"American Indian/Alaska Native, non-Hispanic",2003,9.0,2.26,Reporting stqandards not met.,—,***,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,9.0,2.26,Reeporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,t—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,d—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American xIndian/Alaska Native, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,9.0,2.26,Data not available.,—,***,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,9.0,2.26,Data not available.,—,—,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races,n on-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hipsanic",Female,"Tw or more races, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispeanic",2007,9.0,2.26,Reporting standards not met.,—,g—,Reporting standards not met.
"Two or more races, non-Hispanic",Fvemale,"Two or more races, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standardsx not met.
