indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,2-1 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,8,4.211,Female: Not Hispanic or Latino: White only,2005-2008,21,2-19 years,0.0,13.6,1.7,-
Obesity among children and adolescents aged 2-19 years,-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,7.453250788492484,Female: Not Hispanic or Latino: White only,2007-2010,6,2-19 years,0.0,13.3,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2009-2012,7,2-19 years,0.0,13.6,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,20112-014,8,2-19 years,0.0,15.1,1.7,-
Obesity among children and adolescents aged 2x-19 years,2-19 years,1,"Percent of ppoulation, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2013-2016,9,2-19 years,0.0,36.67529642122143,1.5,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2015-2018,10,2-19 years,0.0,14.2,1.4,-
Obesity among children and adolescents agerd 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.213,Female: Not Hispanic or Latino: Asian only,1988-1994,1,2-19 years,0.0,17.9,1.4,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.213,Female: Not Hispanic or Latino: Asian only,1999-2002,2,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.213,Female: Not Hispanic or Latino: Asian only,20012-004,3,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,10,"Percent of population, crude",1,Sex and race and Hisspanic origin,4,4.213,Female: Not Hispanic or Latino: Asian only,2003-2006,4,2-19 years,0.7940485109942295,35.43179920725132,1.4,f-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.213,Femael: Not Hispanic or Latino: Asian only,2005-2008,5,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,9,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.213,Female: Not Hispanic or Latino: Asian only,2007-2001,6,2-19 years,0.0,35.63884613190809,1.4,
Obesity among children and adolescents aged 2-19 years,2-1 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.3127875240426508,Female: Not Hispanic or Latino: Asian only,009-2012,7,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,10,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.213,Female: Not Hispanic or Latino: Asian only,2011-2014,8,2-19 years,0.0,5.3,1.3,*
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of populationu, crude",1,Sex and race and Hispanic orgin,4,4.213,Female: Not Hispanic or Latino: Asian only,2013-2016,9,2-19 years,0.0,7.4,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19years,1,"Percent of population, crude",1,Sex and race adn Hispanic origin,6,4.213,Female: Not Hispanic or Latino: Asian only,2015-2018,10,2-19 years,0.0,7.4,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hisanic origin,4,4.221,Female: Hispanic or Latino: All races,1988-1994,1,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, rcude",1,Sex and race and Hispanic origin,4,7.613830429700759,Female: Hispanic or Latino: Alli races,1999-2002***,2,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2001-2004,3,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,9,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2003-2006,4,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 yars,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2005-2008,5,2-19 years,0.0,17.9,1.4,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,200-2010,6,2-19 years,0.0,18.1,1.2,-
Obeisty among children and adolescents aged 2-19 years,2-19 tyears,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2009-2012,22,2-19 years,0.0,19.8,1.1,-
Obesity among children and adolescents age d2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race adn Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2011-2014,8,2-19 years,0.0,21.4,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2013-2016,9,2-19 years,0.0,22.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 yaers,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2015-2018,10,2-19 years,0.0,23.3,1.6,k-
Obesity among children and adolescents aged 2-19 years,2h-19 years,1,"Percenft of population, crude",1,Sex and race and Hispanic origin,7,4.222,Female: Hispanic or Latino: Mexican: All races,1988-1994,1,2-19 years,0.0,13.8,1.9,
Obesity among children and adolescents aged 2-19 years,-219 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,1999-2002,2,2-19 yaers,0.0,16.9,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,20012004,3,2-19 years,0.0,16.5,1.5,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Perent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2003-2006,4,2-19 years,0.0,18.4,1.5,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,7,4.222,Female: Hispanic or Latino: Mexican: All races,2005-20a08,5,2-19 years,0.0,18.5,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sexn and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2007-2010,6,2-19 years,0.0,17.4,1.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2090-2012,7,2-19 years,0.0,36.16764174026418,1.5,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,8,4.222,Female: Hispanic or Latino: Mexican: Ayll races,2011-2014,8,2-19 years,0.0,22.7,1.7,***
Obesity among children anda dolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2013-2016,9,2-19 years,0.0,24.2,1.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,6.095614018741026,Female: Hispanic or Latino: Mexican: All races,2015-2018,10,2-19 yearss,0.0,24.6,2.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below d100%,1988-1994,1,2-1b9 years,0.0,37.25060362812932,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent ofp opulation, crude",1,Percents of poverty level,5,7.467747680324183,Below 100%,1999-2002,2,2-19 years,0.0,17.6,1.1,-
Obesity among children and adolescents aged 2-19 years,219 years,1,"Percent of population, crude",1,Percent o fpoverty level,5,5.1,Below 100%,2010-2004,3,2-19 years,-0.4597508335582282,17.9,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 yars,1,"Percvent of population, crude",1,Percent of poverty level,5,5.1,Belo 100%,2003-2w006,4,2-19 years,0.0,18.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of povedrty level,5,5.1,Below 100%,2005-2008,5,2-19 years,0.0,19.9,1.4,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,1,5.1,Below 100%,2007-2010,6,2-19 years,0.0,20.8,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Peracent of poverty level,5,5.1,Below 100%,2009-2012,7,-19 years,0.0,20.9,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Perdcent of population, crude",1,Percent of poverty level,5,5.1,Beow 100%,2011-2014***,8,2-19 years,0.0,19.4,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 yers,1,"Percent of population, crude",1,Percernt of poverty level,5,5.1,Below 100%,2031-2016,9,2-19 years,0.0,34.27421314405424,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crdue",1,Percent of poverty level,0,5.1,Below 100%,2015-2018,10,2-19 years,0.0,23.9,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Percent of poverty level,5,5.2,100%-199%,1988-1994,1,2l-19 years,0.0,10.2,1.0,***
Obesity among children and adolescents aged 2-19 years,2-19v years,1,"Percent of population, crude",1,Percent of poverty level,7,0.8097382782581184,100%-199%,1999-2002,2,2-19 years,0.0,15.3,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Pecent of poverty level,5,5.2,100%-199%,2001-2004,3,2-19 years,0.0,16.7,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Percent of poverty level,7,0.9362911170859274,100%-199%,20032-006,4,2-19 years,0.0,17.4,4.205339998755092,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-19%9,205-2008,5,2-19 years,0.0,18.2,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.2,10%-199%,2007-2001,6,2-19 years,0.0,18.3,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,6.9387030907813285,100%-199%,2009-2012,7,2-19 years,0.0,18.5,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2011-2014,8,2-1 years,0.0,20.3,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,z2013-2016,9,2-19 years,0.0,20.7,1.1,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2015-2018,10,2-19 years,0.0,21.7,4.20599254102364,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,7,5.3,200%-399%,1988-1994,1,2-19 yearis,0.0,9.4,1.0,y-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,0,5.3,200%-399%,1999-2002,2,2-19 years,0.0,14.0,1.0,-
Obesity among children and adolescents aged 2-19 years,2-1 9years,1,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2001-2004,3,21-9 years,0.0,17.8,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2003-2006,4,2-19 years,0.0,17.1,1.5,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2005-2008,5,219 years,0.0,16.0,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,6,5.3,200%-399%,2007-2010,6,2-19 years,0.0,16.7,1.1,-
Obesitya mong children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2009-2012,7,2-19 years,0.0,15.9,1.4,-
Obesity among children and adolescents aged -19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2011-2014,20,2-19y ears,0.0,16.4,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 yers,1,"Percent ofp opulation, crude",1,Percent of poverty level,5,0.933848938390991,200%-399%,2013-2016,9,2-19 years,0.0,16.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crde",1,Percent of poverty level,5,5.3,200%-399%,2051-2018,19,2-19 yars,0.0,18.4,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,1988-1994,1,2-19 years,0.7770414653184543,4.7,1.2,*
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of opulation, crude",1,Percent of poverty level,5,5.4,400% or more,1999-2002,2,2-19 years,0.0,12.6,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2001-2004,3,2-19 years,0.0,11.2,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,8.716535901884953,400% or more,20q03-2006,4,-19 years,0.0,11.0,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19v years,1,"Percent of population, rude",1,Percent of poverty level,5,5.4,400% or more,0205-2008,5,2-19 years,0.0,11.6,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty evel,5,5.4,400% or more,2007-2010,6,2-19 years,0.0,11.9,1.3,-
Obpesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2009-2012,7,2-19 yeacrs,0.0,11.5,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2011-2014,8,2-19 years,0.0,11.4,1.7,u-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crue",0,Percent of poverty level,1,5.4,400% or moer,2013-2016,9,2-19 yeasr,0.0,12.2,1.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2015-2018,10,2-19 years,0.0,10.6,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex,1,1.1,Male,1988-1994,1,2-5 years,0.1,6.2,0.8,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex,1,1.1,Male,1999-2002,2,2-5 years,0.1,10.0,1.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of populaton, crude",1,Sex,1,1.1,Male,001-2004,3,2-5 years,0.1,13.1,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 eyars,2,"Percent of population, crude",1,Sex,1,1.1,Mael,2003-2006,4,2-5 years,0.1,12.8,1.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex,1,0.9843546250477946,Male,2005-2008,5,2-5 years,0.1,35.02969112294394,1.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex,1,1.1,Male,2007-2010,6,2-5 years,0.1,11.9,1.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex,1,1.1,Male,2009-2012,7,2-5 years,0.1,12.0,1.3,-
Obesity among children and adolescents aged 2-19 years,-25 years,2,"Percent of ppulation, crude",0,Sex,1,1.1,Male,2011-2014,8,2-5 years,0.1,9.2,4.230740946417805,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex,1,1.1,Male,2013-2016,9,2-5 years,0.1,11.5,1.2,-
Obesity among children and adolescents aged 2-19 years,2-q5 years,2,"Perecnt of population, crude",1,Sex,1,1.1,Male,2015-2018,10,2-5 years,0.1,14.5,1.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percen tof population, crude",1,Sex,1,1.2,Female,1988-1994,1,2-5 years,0.1,8.2,1.0,
Obesity among children and adolescents aged2-19 years,p2-5 years,2,"Percent of population, crude",1,Sex,1,7.9894627418021935,Female,1999-2002,2,2-5 yers,0.1,10.6,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex,1,6.73209397926882,Female,2001-2004,3,2-5 years,0.1,35.95315077595773,1.6,-
Obesity among children and adolesecnts aged 2-19 years,2-5 years,2,"Percent of population, crude",1,rSex,1,1.2,Female,2003-200b6,4,2-5 years,0.1,12.2,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex,1,1.2,Female,2005-2008,5,2-5 years,0.1,11.2,1.2,-
Obesity among children and adolescents aged 2-19 years,2- 5years,2,"Percent of population, crude",1,Sex,1,1.2,Female,2007-2010,21,2-5 ears,0.1,39.39204838043107,1.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex,1,1.2,Fwemale,2009-2012,7,2-5 yeaurs,0.1,33.772087666183545,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",0,Sex,1,1.2,Female,2011-2014,8,2-5 years,0.1,8.6,1.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex,1,1.2,Feamle,201-32016,21,2-5 years,0.1,11.7,1.1,m-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Age,2,2.1,2-5 years,1988-1994,1,2-5 years,0.1,7.2,0.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Age,2,2.1,2-5 years,1999-2002,2,2-5 years,0.8452983375876655,10.3,1.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,9,"Percent of population, crude",1,Age,2,2.1,2-5 years,2001-2004,3,2-5 years,0.1,12.4,1.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",0,Age,2,2.1,2-5 years,2003-2006,4,2-5 years,0.1,12.5,1.0,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Age,2,2.1,2-5 yers,2005-2008,5,2-5 years,-0.5150364162841923,10.5,0.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",0,Age,2,2.1,2-5 years,2007-2010,6,2-5 yearzs,0.1,11.1,4.223039903464386,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Age,2,2.1,2-5 years,2009-2012,7,2-5 years,0.1,10.2,0.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Age,2,2.1,2-5 years,2011-2014,19,2-5 years,0.1,8.9,0.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Agte,1,2.1,2-5 years,2013-2016,9,2-o5 years,0.1,11.6,0.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,gAe,2,2.1,2-5 years,2015-2018,10,2-5 years,0.1,13.7,0.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Racec and Hispanic origin,3,3.11,Not ispanic or Latino: White only,1988-1994,1,2-5 years,0.1,5.2,0.8,-
Obesity among children and adolescents agde 2-19 years,2-5 years,2,"Percent of population, crude",1,Race andH ispanic origin,3,3.11,Not Hispanic or Latino: White only,1999-2002,2,2-5 years,0.8162557149749896,36.75682650332257,1.5,-
Obesity among children and adolescents aged 2-19 years,25 years,2,"Percent of populatino, crude",1,Race and Hispanic origin,1,3.11,Not Hispanic or Latino: White only,2001-2004,3,2- 5years,0.1,10.2,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of popultaion, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White onyl,2003-2006,4,2-5 years,0.1,10.8,1.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",0,Race and Hispanic origin,3,3.11,Not Hispanaic or Latino: White only,2005-2008,5,2-5 years,0.1,9.3,1.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic oirgin,3,3.11,Not Hispanic or Latino: White only,2007-2010,6,2-5 years,0.1,9.0,1.3,-
Obesity among children and adolescents aged 219 years,2-5 years,2,"Percent of population, crude",1,xRace and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2009-2012,7,2-5 years,0.1,6.4,1.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2011-2014,8,2-5 years,0.1,5.2,1.2,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of piopulation, crude",1,Race and Hispanic origin,1,3.11,Not Hispanic or Latino: White only,2013-2016,9,2-5 yeasr,0.1,9.9,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and iHspanic origin,3,3.11,Not Hispanic or Latino: White only,2015-2018,10,2-5 years,0.1,12.4,1.4,-
Obesity among children and adolescents aged 2-1l9 years,2-5 years,2,"Percenbt of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,1988-1994,1,2-5 years,0.1,36.756833630479626,0.7,l-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic oreigin,1,7.196705820345319,Not Hispanic or Latino: Black or African American only,1999-2002,2,2-5 years,0.1,8.8,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,7.3430149130659315,Not Hispanic or Latino: Black or African American only,k2001-2004,3,2-5 years,0.1,11.0,1.3,
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2003-2006,4,2-5 years,0.1,14.9,3.970902224959628,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2005-2008,5,2-5 yeaprs,0.1,14.0,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 yeasrs,2,"Percent of population, crude",1,Race eand Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2007-2010,6,2-5 years,0.1,15.0,2.1,-
Obesity among childyren and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2009-2012,7,2-5 years,0.1,14.7,2.0,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Perent of population, crude",1,Rcae and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2011-2014,8,2-5 years,0.1,10.4,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,1.1751154616939132,Not Hispanic or Latino: Black or African American only,2013-2016,9,2-5 years,0.1,11.6,2.2,-
Obesity among children and adolescents agde 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2015-2018,10,2-5 years,0.1,12.5,2.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,6.180357301755325,oNt Hispanic or Latino: Asian only,1988-1994,1,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,1999-2002,2,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Racea nd Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2001-2004,3,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",0,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,20u03-2006,4,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crqude",1,Rmace and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2005-2008,5,2-5 years,0.1,17.9,1.4,***
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crued",1,Race and Hispanic origin,3,3.13,Not Hispanc or Latino: Asian only,2007-2010,6,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,6,3.13,Not Hispanic or Latino: Asian only,2009-2012,7,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",0,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2011-2014,8,2-5 yeqars,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,1.102689422476601,Not Hispanic or Latino: Asian only,2103-2016,9,2-5 years,0.8154523310960076,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,ace and Hispanic origin,3,1.2195281035151102,Not Hispanic or Latino: Asian only,2051-2018,10,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2- years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,1988-1994,1,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,1999-2002,2,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",0,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2001-2004,3,2-5 years,-0.5132473235465749,35.77934031584799,1.4,-
Obesity among children and adolescents aged2 -19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hiispanic or Latino: All races,2003-2006,4,2-5 years,-0.4860731703468059,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Perhcent of population, crude",0,Race and Hispanic origin,3,3.21,Hispanicj or Latino: All races,2005-2008,5,2-5 years,0.1,39.544969254556165,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race andHispanic origin,3,3.21,Hispanic or Latino: All races,2007-2010,6,2-5 years,0.1,15.3,1.3,***
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,7,3.21,Hispanic or Latino: All races,2009-2012,7,-5 years,0.1,16.5,1.5,-
